,Concept_ID,cv,fa
254,Großmutter::N,кукамай,مادر‌بزرگ
255,Eltern::N,аҫа-ама,والدین
256,Eltern::N,аҫа-ама,پدر‌و‌مادر
257,Vater::N,атте,پدر
258,Mutter::N,анне,مادر
259,Sohn::N,ывӑл,پسر
260,Tochter::N,хӗр,دختر
261,Bruder::N,ар тӑван,برادر
262,Schwester::N,аппа,خواهر
263,Schwester::N,йӑмӑк,خواهر
264,Onkel::N,мучи,عمو
265,Onkel::N,мучи,دایی
266,Onkel::N,пичче,عمو
267,Onkel::N,пичче,دایی
268,Tante::N,аппа,عمه
269,Tante::N,аппа,خاله
270,Ehemann::N,упӑшка,همسر
271,Ehefrau::N,арӑм,همسر
272,Freude::N,савӑнӑҫ,شادی
273,Freude::N,хаваслӑх,شادی
274,Gelächter::N,кулӑ,خنده
275,Gelächter::N,кулӑ,قاه‌قاه
276,Glück::N,телей,اقبال
277,Glück::N,ӑраскал,اقبال
278,Kummer::N,хурлӑх,غم
279,Kummer::N,хурлӑх,غصه
280,Wunsch::N,ӗмӗт,آرزو
281,Wunsch::N,кӑмӑл,آرزو
282,Lust::N,кӑмӑл,هوس
283,Geist::N,чун-чӗм,روح
284,Geist::N,ыр-усал,روح
285,Geist::N,чун хавалӗ,روح
286,Gedanke::N,шухӑш,فکر
287,Gedächtnis::N,ас,حافظه
288,Verstand::N,ӑс,هوش
289,Verstand::N,ӑс-тӑн,هوش
290,Verstand::N,ӑс-хакӑл,هوش
291,Sinn::N,тупсӑм,معنا
292,Sinn::N,тупсӑм,مفهوم
293,Sinn::N,пӗлтерӗш,معنا
294,Sinn::N,пӗлтерӗш,مفهوم
295,Grund::N,сӑлтав,سبب
296,Grund::N,сӑлтав,دلیل
297,Wahrheit::N,чӑнлӑх,حقیقت
298,Gespräch::N,калаҫу,صحبت
299,Gespräch::N,калаҫу,گفتگو
300,Märchen::N,юмах,قصه
301,Märchen::N,юмах,افسانه
302,Erzählung::N,акалав,داستان
303,Erzählung::N,каласа пани,داستان
304,Nachricht::N,хыпар,خبر
305,Neuigkeit::N,ҫӗнӗ хыпар,خبر تازه
306,Name::N,ят,اسم
307,Rätsel::N,сутмалли юмах,معما
308,Rede::N,сӑмах,سخن
309,Sprache::N,чӗлхе,زبان
310,Stimme::N,сасӑ,صدا
311,Wort::N,сӑмах,کلمه
312,Zeichen::N,паллӑ,نشان
313,Zeichen::N,паллӑ,علامت
314,Ruf::N,йыхрав,صدا
315,Ruf::N,чӗнӳ,صدا
316,Lärm::N,шав,هیاهو
317,Laut::N,сасӑ,صدا
318,Ton::N,сасӑ,آهنگ
319,Lied::N,юрӑ,آواز
320,Lied::N,юрӑ,ترانه
321,Ruhe::N,канӑҫлӑх,آرامش
322,Ruhe::N,лӑпкӑлӑх,آرامش
323,Leute::N,ҫамрӑксем,مردم
324,Leute::N,ҫамрӑк ҫынсем,مردم
325,Volk::N,халӑх,خلق
326,Arbeit::N,ӗҫхӗл,کار
327,Arbeit::N,ӗҫлев,کار
328,Gast::N,хӑна,مهمان
329,Geschenk::N,парне,هدیه
330,Geschenk::N,кучченеҫ,هدیه
331,Spiel::N,вӑйӑ,بازی
332,Gesellschaft::N,общество,جمعیت
333,Hilfe::N,пулӑшу,کمک
334,Freund::N,тус,دوست
335,Kamerad::N,юлташ,رفیق
336,Kamerad::N,тус,رفیق
337,Angelegenheit::N,ӗҫ,امر
338,Angelegenheit::N,ӗҫ,قضیه
339,Anzahl::N,йыш,عده
340,Anzahl::N,йыш,شمار
341,Anzahl::N,хисеп,عده
342,Anzahl::N,хисеп,شمار
343,Art::N,тӗс,نوع
344,Stück::N,татӑк,تکه
345,Stück::N,татӑк,قطعه
346,Teil::N,пай,بخش
347,Teil::N,пай,قسمت
348,Hälfte::N,ҫурӑ,نیم
349,Kreis::N,ункӑ,حلقه
350,Kreis::N,ункӑ,دایره
351,Kreis::N,ҫавракӑш,حلقه
352,Kreis::N,ҫавракӑш,دایره
353,Kreuz::N,хӗрес,صلیب
354,Linie::N,йӗр,خط
355,Linie::N,йӗр,سطر
356,Strich::N,йӗр,خط
357,Abstand::N,хушӑ,فاصله
358,Entfernung::N,хушӑ,مسافت
359,Gegend::N,вырӑн,منطقه
360,Platz::N,хутлӑх,گنجایش
361,Ort::N,вырӑн,جا
362,Ort::N,вырӑн,محل
363,Ort::N,вырӑн,مکان
364,Seite::N,ен,طرف
365,Seite::N,аяк,طرف
366,Seite::N,айӑк,طرف
367,Mitte::N,варӑ,وسط
368,Mitte::N,варӑ,میان
369,Gegenstand::N,япала,چیز
370,Sache::N,япала,چیز
371,Rand::N,вӗҫ,کنار
372,Rand::N,вӗҫ,حاشیه
373,Rand::N,хӗрӗ,کنار
