,Concept_ID,la,no
143,Kiefer[Baum]::N,pinus,furu
144,Weide[Baum]::N,salix,selje
145,Weide[Baum]::N,salix,piletre
146,Tanne::N,abies,gran
147,Horn::N,cornu,horn
148,Feder::N,penna,fjær
149,Fell::N,pellis,skinn
150,Flügel::N,ala,vinge
151,Klaue::N,unguis,klauv
152,Kralle::N,unguis,klo
153,Schwanz::N,cauda,hale
154,Ei::N,ovum,egg
155,Nest::N,nidus,rede
156,Bau::N,cavum,hi
157,Bau::N,latibulum,hi
158,Tier::N,bestia,dyr
159,Herde::N,grex,flokk
160,Kuh::N,vacca,ku
161,Bulle::N,taurus,tyr
162,Pferd::N,equus,hest
163,Schaf::N,ovis,får
164,Schwein::N,sus,gris
165,Schwein::N,porcus,gris
166,Hund::N,canis,hund
167,Katze::N,felis,katt
168,Bär::N,ursus,bjørn
169,Eichhörnchen::N,sciurus,ekorn
170,Elch::N,alces,elg
171,Fuchs::N,vulpes,rev
172,Hase::N,lepus,hare
173,Maus::N,mus,mus
174,Wolf::N,lupus,ulv
175,Wolf::N,lupus,varg
176,Vogel::N,avis,fugl
177,Schwarm::N,examen,sverm
178,Huhn::N,gallina,høne
179,Hahn::N,gallus,hane
180,Gans::N,anser,gås
181,Adler::N,aquila,ørn
182,Ente::N,anas,and
183,Eule::N,ulula,ugle
184,Eule::N,noctua,ugle
185,Kranich::N,grus,trane
186,Krähe::N,cornix,kråke
187,Kuckuck::N,cuculus,gjøk
188,Schwan::N,olor,svane
189,Schwan::N,cycnus,svane
190,Fisch::N,piscis,fisk
191,Barsch::N,perca,abbor
192,Hecht::N,esox,gjedde
193,Schlange[Tier]::N,serpens,orm
194,Schlange[Tier]::N,serpens,slange
195,Wurm::N,vermis,orm
196,Wurm::N,vermis,mark
197,Spinne::N,aranea,edderkopp
198,Ameise::N,formica,maur
199,Laus::N,pediculus,lus
200,Mücke::N,culex,mygg
201,Fliege::N,musca,flue
202,Schmetterling::N,papilio,sommerfugl
203,Beere::N,baca,bær
204,Apfel::N,malum,eple
205,Pilz::N,fungus,sopp
206,Zwiebel::N,cepa,løk
207,Saat::N,seges,sæd
208,Korn::N,granum,korn
209,Heu::N,faenum,høy
210,Schale::N,putamen,skall
211,Grube::N,fovea,grop
212,Falle::N,pedica,felle
213,Schlinge::N,laqueus,snare
214,Spur::N,vestigium,spor
215,Asche::N,cinis,aske
216,Dreck::N,lutum,møkk
217,Dreck::N,lutum,skitt
218,Eisen::N,ferrum,jern
219,Gold::N,aurum,gull
220,Silber::N,argentum,sølv
221,Kohle::N,carbo,kol
222,Kohle::N,carbo,kull
223,Glas::N,vitrum,glass
224,Lehm::N,lutum,leire
225,Sand::N,arena,sand
226,Mensch::N,homo,menneske
227,Mann::N,vir,mann
228,Frau::N,mulier,kvinne
229,Kind::N,puer,barn
230,Kind::N,infans,barn
231,Junge::N,puer,gutt
232,Mädchen::N,puella,pike
233,Mädchen::N,puella,jente
234,Familie::N,familia,familie
235,Großvater::N,avus,bestefar
236,Großmutter::N,avia,bestemor
237,Eltern::N,parentes,foreldre
238,Vater::N,pater,far
239,Mutter::N,mater,mor
240,Sohn::N,filius,sønn
241,Tochter::N,filia,datter
242,Bruder::N,frater,bror
243,Schwester::N,soror,søster
244,Onkel::N,patruus,onkel
245,Onkel::N,avunculus,onkel
246,Tante::N,amita,tante
247,Ehemann::N,maritus,ektemann
248,Ehefrau::N,uxor,hustru
249,Freude::N,gaudium,glede
250,Freude::N,laetitia,glede
251,Gelächter::N,risus,latter
252,Glück::N,felicitas,lykke
253,Kummer::N,aegritudo,sorg
254,Wunsch::N,voluntas,ønske
255,Wunsch::N,desiderium,ønske
256,Lust::N,libido,lyst
257,Lust::N,voluptas,lyst
258,Geist::N,mens,ånd
259,Geist::N,animus,ånd
260,Gedanke::N,sententia,tanke
261,Gedächtnis::N,memoria,minne
262,Gedächtnis::N,memoria,hukommelse
263,Verstand::N,ratio,forstand
264,Verstand::N,ingenium,forstand
265,Sinn::N,sensus,mening
266,Sinn::N,sensus,betydning
267,Grund::N,causa,grunn
268,Wahrheit::N,veritas,sannhet
269,Gespräch::N,sermo,samtale
270,Märchen::N,fabula,eventyr
271,Erzählung::N,fabula,fortelling
272,Erzählung::N,narratio,fortelling
273,Nachricht::N,nuntius,melding
274,Neuigkeit::N,novitas,nyhet
275,Name::N,nomen,navn
276,Rätsel::N,aenigma,gåte
277,Rede::N,oratio,tale
278,Sprache::N,lingua,språk
279,Stimme::N,vox,stemme
280,Wort::N,verbum,ord
281,Wort::N,vocabulum,ord
282,Zeichen::N,signum,tegn
283,Ruf::N,clamor,rop
284,Lärm::N,strepitus,bråk
285,Laut::N,sonus,lyd
286,Ton::N,sonus,tone
287,Lied::N,carmen,vise
288,Ruhe::N,quies,ro
289,Leute::N,homines,folk
290,Volk::N,populus,folk
291,Arbeit::N,labor,arbeid
292,Gast::N,hospes,gjest
293,Gast::N,conviva,gjest
294,Geschenk::N,munus,gave
295,Spiel::N,ludus,lek
296,Spiel::N,ludus,spill
297,Gesellschaft::N,societas,selskap
298,Hilfe::N,auxilium,hjelp
299,Hilfe::N,subsidium,hjelp
300,Freund::N,amicus,venn
301,Kamerad::N,socius,kamerat
302,Angelegenheit::N,res,sak
303,Angelegenheit::N,res,anliggende
304,Anzahl::N,numerus,antall
305,Art::N,genus,art
306,Art::N,genus,slag
307,Stück::N,frustum,stykke
308,Stück::N,fragmentum,stykke
309,Teil::N,pars,del
310,Hälfte::N,dimidium,halvdel
311,Kreis::N,orbis,ring
312,Kreis::N,orbis,sirkel
313,Kreis::N,circus,ring
314,Kreis::N,circus,sirkel
315,Kreuz::N,crux,kors
316,Kreuz::N,crux,kryss
317,Linie::N,linea,linje
318,Strich::N,lineamentum,strek
319,Abstand::N,intervallum,avstand
320,Entfernung::N,spatium,avstand
321,Gegend::N,loca,strøk
322,Gegend::N,regio,strøk
323,Platz::N,locus,plass
324,Ort::N,locus,sted
325,Seite::N,latus,side
326,Mitte::N,medium,midte
327,Gegenstand::N,res,gjenstand
328,Sache::N,res,sak
329,Rand::N,margo,rand
330,Kante::N,angulus,kant
331,Ecke::N,angulus,hjørne
332,Spitze::N,cacumen,spiss
333,Ende::N,caput,ende
334,Loch::N,foramen,hull
335,Winkel::N,angulus,vinkel
336,Muster::N,exemplum,mønster
337,Größe::N,magnitudo,størrelse
338,Länge::N,longitudo,lengde
339,Höhe::N,altitudo,høyde
340,Gewicht::N,pondus,vekt
341,Menge::N,copia,mengde
342,Haufen::N,acervus,haug
343,Haufen::N,acervus,bunke
344,Reihe::N,ordo,rekke
345,Boot::N,navicula,båt
346,Ruder::N,remus,åre
347,Schlitten::N,sclodia,slede
348,Schlitten::N,sclodia,kjelke
349,Ski::N,narta,ski
350,Lagerfeuer::N,ignis,leirbål
351,Last::N,onus,bør
352,Last::N,onus,last
353,Gang::N,cursus,gang
354,Schritt::N,gradus,steg
355,Schritt::N,gradus,skritt
356,Norden::N,septentriones,nord
357,Süden::N,meridies,sør
358,Westen::N,occidens,vest
359,Osten::N,oriens,øst
360,Holz::N,lignum,tre
361,Brett::N,tabula,fjøl
362,Brett::N,tabula,brett
363,Platte::N,lamina,plate
364,Stütze::N,adminiculum,støtte
365,Stange::N,pertica,stang
366,Stock::N,baculum,pinne
367,Stab::N,scipio,stav
368,Stab::N,scipio,kjepp
369,Rohr::N,tubus,rør
370,Haus::N,aedes,hus
371,Heim::N,domicilium,hjem
372,Ofen::N,fornax,ovn
373,Fußboden::N,solum,gulv
374,Tisch::N,mensa,bord
375,Stuhl::N,sella,stol
376,Wiege::N,cunae,vogge
377,Bett::N,lectus,seng
378,Regal::N,foruli,reol
379,Regal::N,foruli,hylle
380,Kiste::N,cista,kasse
381,Fenster::N,fenestra,vindu
382,Tür::N,ianua,dør
383,Tor::N,porta,port
384,Zaun::N,saepes,gjerde
385,Dach::N,tectum,tak
386,Leiter::N,scalae,stige
387,Besen::N,scopae,kost
388,Spaten::N,pala,spade
389,Schaufel::N,pala,skuffe
390,Gabel::N,fuscinula,gaffel
391,Löffel::N,coclear,skje
392,Messer::N,culter,kniv
393,Nagel::N,clavus,spiker
394,Netz::N,rete,nett
395,Haken::N,hamus,krok
396,Griff::N,manubrium,tak
397,Griff::N,manubrium,håndtak
398,Schloss::N,claustra,lås
399,Bild::N,tabula,bilde
400,Bild::N,pictura,bilde
401,Figur::N,statunculum,figur
402,Puppe::N,pupa,dukke
403,Beutel::N,sacculus,pose
404,Bündel::N,fascis,bylt
405,Tasche::N,sacculus,veske
406,Eimer::N,situla,bøtte
407,Deckel::N,operculum,lokk
408,Geschirr::N,vasa,kjøkkentøy
409,Sack::N,saccus,sekk
410,Tasse::N,pocillum,kopp
411,Topf::N,olla,gryte
412,Kessel::N,aenum,kjele
413,Essen::N,cena,mål
414,Nahrung::N,cibus,mat
415,Nahrung::N,cibus,næring
416,Nahrung::N,alimenta,mat
417,Nahrung::N,alimenta,næring
418,Speise::N,cibus,matrett
419,Fleisch::N,caro,kjøtt
420,Getreide::N,frumentum,korn
421,Brei::N,puls,grøt
422,Brot::N,panis,brød
423,Scheibe::N,frustum,skive
424,Fett::N,pingue,fett
425,Butter::N,butȳrum,smør
426,Öl::N,oleum,olje
427,Salz::N,sal,salt
428,Suppe::N,ius,suppe
429,Honig::N,mel,honning
430,Milch::N,lac,melk
431,Tee::N,thea,te
432,Leder::N,corium,lær
433,Leder::N,corium,skinn
434,Wolle::N,lana,ull
435,Stoff::N,textum,tøy
436,Stoff::N,textum,stoff
437,Nadel::N,acus,nål
438,Faden::N,filum,tråd
439,Knopf::N,bulla,knapp
440,Knoten::N,nodus,knute
441,Farbe::N,pigmentum,farge
442,Kleidung::N,vestimenta,påkledning
443,Hemd::N,tunica,skjorte
444,Kragen::N,collare,krage
445,Ärmel::N,manica,erme
446,Hose::N,bracae,bukse
447,Gürtel::N,cingulum,belte
448,Mütze::N,pilleus,lue
449,Schuh::N,calceus,sko
450,Stiefel::N,pero,støvel
451,Stiefel::N,caliga,støvel
452,Ring::N,anulus,ring
453,Band::N,redimiculum,band
454,Kamm::N,pecten,kam
455,Spiegel::N,speculum,speil
456,Riemen::N,lorum,rem
457,Schnur::N,linum,snor
458,Leine::N,retinaculum,line
459,Decke::N,lodix,teppe
460,Kissen::N,pulvinus,pute
461,Tuch::N,velum,tøy
462,Handtuch::N,mantele,håndkle
463,Kraft::N,vis,kraft
464,Stärke::N,robur,styrke
465,Gesundheit::N,valetudo,helse
466,Gesundheit::N,valetudo,sunnhet
467,Krankheit::N,morbus,syke
468,Krankheit::N,morbus,sykdom
469,Schmerz::N,dolor,smerte
470,Wunde::N,vulnus,sår
471,Fieber::N,febris,feber
472,Arznei::N,remedium,medisin
473,Arznei::N,remedium,legemiddel
474,Brücke::N,pons,bro
475,Brunnen::N,puteus,brønn
476,Weide::N,pascua,beite
477,Pfad::N,semita,sti
478,Weg::N,iter,vei
479,Straße::N,via,gate
480,Dorf::N,vicus,landsby
481,Stadt::N,urbs,by
482,Stadt::N,oppidum,by
483,Brief::N,epistula,brev
484,Buch::N,liber,bok
485,Buchstabe::N,littera,bokstav
486,Zeitung::N,diurnum,avis
487,Leben::N,vita,liv
488,Tod::N,mors,død
489,Grab::N,sepulcrum,grav
490,Kirche::N,ecclesia,kirke
491,Sünde::N,peccatum,synd
492,Gott::N,deus,gud
493,Arbeiter::N,operarius,arbeider
494,Chef::N,praefectus,sjef
495,Meister::N,magister,mester
496,Arzt::N,medicus,lege
497,Lehrer::N,magister,lærer
498,Geld::N,aes,penger
499,Geld::N,pecunia,penger
500,Geschäft::N,negotium,forretning
501,Laden::N,taberna,butikk
502,Preis::N,pretium,pris
503,Ware::N,merx,vare
504,Nutzen::N,utilitas,nytte
505,Reichtum::N,opes,rikdom
506,Reichtum::N,divitiae,rikdom
507,Welt::N,mundus,verden
508,Land::N,terra,land
509,Staat::N,res publica,stat
510,König::N,rex,konge
511,Macht::N,potestas,makt
512,Grenze::N,limes,grense
513,Krieg::N,bellum,krig
514,Feind::N,inimicus,fiende
515,Gewalt::N,vis,vold
516,Kampf::N,pugna,kamp
517,Bogen[Waffe]::N,arcus,bue
518,Pfeil::N,sagitta,pil
519,Gewehr::N,sclopetum,gevær
520,Fehler::N,error,feil
521,Lüge::N,mendacium,løgn
522,Schaden::N,damnum,skade
523,Schaden::N,detrimentum,skade
524,Unglück::N,miseria,uhell
525,Unglück::N,calamitas,uhell
526,Schuld::N,culpa,skyld
527,Alter::N,aetas,alder
528,Schluss::N,finis,slutt
529,Zeit::N,tempus,tid
530,Tag::N,dies,dag
531,Morgen::N,mane,morgen
532,Mittag::N,meridies,middag
533,Abend::N,vesper,aften
534,Nacht::N,nox,natt
535,Woche::N,septimana,uke
536,Monat::N,mensis,måned
537,Jahr::N,annus,år
538,Frühling::N,ver,vår
539,Sommer::N,aestas,sommer
540,Herbst::N,autumnus,høst
541,Winter::N,hiems,vinter
542,Januar::N,Ianuarius,januar
543,Februar::N,Februarius,februar
544,März::N,Martius,mars
545,April::N,Aprilis,april
546,Mai::N,Maius,mai
547,Juni::N,Iunius,juni
548,Juli::N,Iulius,juli
549,August::N,Augustus,august
550,September::N,September,september
551,Oktober::N,Octobris,oktober
552,November::N,Novembris,november
553,Dezember::N,December,desember
554,Montag::N,dies lunae,mandag
555,Dienstag::N,dies Martis ,tirsdag
556,Mittwoch::N,dies Mercurii,onsdag
557,Donnerstag::N,dies Iovis,torsdag
558,Freitag::N,dies Veneris,fredag
559,Samstag::N,dies Saturni,lørdag
560,Sonntag::N,dominicus,søndag
561,Sonntag::N,dies solis,søndag
562,groß::A,magnus,stor
563,klein::A,parvus,liten
564,lang::A,longus,lang
565,kurz::A,brevis,kort
566,breit::A,latus,bred
567,schmal::A,angustus,smal
568,dicht::A,densus,tett
569,dick[Gegenstand]::A,crassus,tykk
570,dünn::A,tenuis,tynn
571,fein::A,subtilis,fin
572,fest::A,solidus,fast
573,fest::A,stabilis,fast
574,flach::A,planus,flat
575,glatt::A,levis,glatt
576,hart::A,durus,hard
577,weich::A,mollis,myk
578,weich::A,mollis,bløt
579,rund::A,rotundus,rund
580,spitz::A,acutus,spiss
581,scharf::A,acer,kvass
582,stumpf::A,hebes,stubb
583,schwer::A,gravis,tung
584,schön::A,pulcher,pen
585,schön::A,pulcher,vakker
586,schön::A,formosus,pen
587,schön::A,formosus,vakker
588,heiß::A,fervidus,het
589,warm::A,calidus,varm
590,kalt::A,frigidus,kald
591,kühl::A,frigidus,kjølig
592,frisch::A,recens,fersk
593,feucht::A,umidus,fuktig
594,nass::A,madidus,våt
595,trocken::A,aridus,tørr
596,voll::A,plenus,full
597,leer::A,vacuus,tom
598,offen::A,apertus,åpen
599,geschlossen::A,clausus,lukket
600,sauber::A,lautus,ren
601,schmutzig::A,sordidus,skitten
602,roh::A,crudus,rå
603,reif::A,maturus,moden
604,lecker::A,delicatus,lekker
605,süß::A,dulcis,søt
606,bitter::A,amarus,besk
607,bitter::A,amarus,bitter
608,bitter::A,acerbus,besk
609,bitter::A,acerbus,bitter
610,sauer::A,acidus,sur
611,hell::A,clarus,lys
612,dunkel::A,obscurus,mørk
613,schwarz::A,niger,svart
614,weiß::A,albus,hvit
615,rot::A,ruber,rød
616,gelb::A,flavus,gul
617,blau::A,caeruleus,blå
618,grün::A,viridis,grønn
619,grau::A,canus,grå
620,bunt::A,varius,broket
621,billig::A,vilis,billig
622,teuer::A,carus,dyr
623,wertvoll::A,pretiosus,verdifull
624,blind::A,caecus,blind
625,taub::A,surdus,døv
626,kräftig::A,robustus,kraftig
627,stark::A,firmus,sterk
628,stark::A,validus,sterk
629,schwach::A,debilis,svak
630,schwach::A,infirmus,svak
631,fett::A,crassus,fet
632,schlank::A,procerus,slank
633,hübsch::A,pulcher,pen
634,böse::A,improbus,slem
635,dumm::A,stultus,dum
636,dumm::A,stupidus,dum
637,faul::A,piger,lat
638,faul::A,piger,doven
639,fleißig::A,sedulus,flittig
640,geizig::A,avarus,gjerrig
641,klug::A,prudens,klok
642,geschickt::A,sollers,hendig
643,geschickt::A,sollers,skikket
644,lieb::A,carus,kjær
645,lieb::A,carus,snill
646,lustig::A,iocosus,morsom
647,sanft::A,clemens,blid
648,hungrig::A,impastus,sulten
649,krank::A,aeger,syk
650,nackt::A,nudus,naken
651,traurig::A,maestus,sørgmodig
652,lebendig::A,vivus,levende
653,gut::A,bonus,god
654,schlecht::A,malus,dårlig
655,richtig::A,rectus,riktig
656,schlimm::A,malus,slem
657,wahr::A,verus,sann
658,alt::A,antiquus,gammel
659,neu::A,novus,ny
660,ehemalig::A,pristinus,forhenværende
661,alt[Lebewesen]::A,vetus,gammel
662,jung::A,iuvenis,ung
663,arm::A,pauper,fattig
664,reich::A,dives,rik
665,bekannt::A,notus,kjent
666,berühmt::A,celeber,berømt
667,berühmt::A,illustris,berømt
668,fremd::A,peregrinus,fremmed
669,verschieden::A,varius,forskjellig
670,nah::A,propinquus,nær
671,fern::A,longinquus,fjern
672,linker::A,sinister,venstre
673,rechter::A,dexter,høyre
674,anderer::A,alius,annen
675,erster::A,primus,første
676,zweiter::A,secundus,annen
677,dritter::A,tertius,tredje
678,letzter::A,ultimus,sist
679,allein::ADV,solum,alene
680,auf einmal::ADV,simul,med ett
681,zusammen::ADV,una,sammen
682,lange::ADV,diu,lenge
683,plötzlich::ADV,subito,plutselig
684,plötzlich::ADV,repente,plutselig
685,sofort::ADV,statim,straks
686,später::ADV,postea,senere
687,jetzt::ADV,nunc,nå
688,heute::ADV,hodie,i dag
689,morgen::ADV,cras,i morgen
690,bald::ADV,mox,snart
691,dann::ADV,deinde,så
692,gestern::ADV,heri,i går
693,einst::ADV,olim,engang
694,damals::ADV,tum,den gang
695,danach::ADV,postea,deretter
696,vorher::ADV,antea,før
697,vorher::ADV,antea,i forveien
698,zuerst::ADV,primo,først
699,einmal::ADV,semel,en gang
700,manchmal::ADV,interdum,somme tider
701,oft::ADV,saepe,ofte
702,immer::ADV,semper,alltid
703,niemals::ADV,numquam,aldri
704,hier::ADV,hic,her
705,hierhin::ADV,huc,hit
706,von hier::ADV,hinc,herfra
707,dort::ADV,ibi,der
708,dorthin::ADV,eo,dit
709,geradeaus::ADV,recte,rett fram
710,vorwärts::ADV,porro,fram
711,vorwärts::ADV,porro,framover
712,rückwärts::ADV,retro,baklengs
713,zurück::ADV,retro,tilbake
714,unten::ADV,infra,nede
715,hinab::ADV,pessum,ned
716,hinab::ADV,pessum,nedover
717,oben::ADV,supra,oppe
718,oben::ADV,supra,ovenpå
719,hinauf::ADV,sursum,opp
720,hinauf::ADV,sursum,oppover
721,überall::ADV,ubique,overalt
722,nicht::ADV,non,ikke
723,ein wenig::ADV,paulum,litt
724,kaum::ADV,vix,neppe
725,kaum::ADV,aegre,neppe
726,sehr::ADV,valde,svært
727,sehr::ADV,magnopere,svært
728,so::ADV,ita,så
729,noch::ADV,etiam,enda
730,nur::ADV,solum,bare
731,nur::ADV,tantum,bare
732,schon::ADV,iam,alt
733,schon::ADV,iam,allerede
734,wieder::ADV,rursus,igjen
735,vergebens::ADV,frustra,forgjeves
736,vor::PRP,ante,foran
737,vor::PRP,ante,utenfor
738,hinter::PRP,post,bak
739,hinter::PRP,post,bakom
740,unter::PRP,sub,under
741,durch::PRP,per,gjennom
742,durch::PRP,per,igjennom
743,neben::PRP,iuxta,ved siden av
744,zwischen::PRP,inter,mellom
745,wegen::PRP,propter,på grunn av
746,dies::PRN,hoc,dette
747,das::PRN,id,det
748,alles::PRN,omnia,alt
749,ich::PRN,ego,jeg
750,du::PRN,tu,du
751,er::PRN,is,han
752,er::PRN,ille,han
753,wir::PRN,nos,vi
754,ihr::PRN,vos,dere
755,sie::PRN,ii,de
756,sie::PRN,illi,de
757,was::FPRN,quid,hva
758,wer::FPRN,quis,hvem
759,wo::FADV,ubi,hvor
760,wohin::FADV,quo,hvor ... hen
761,wie::FADV,quomodo,hvordan
762,warum::FADV,cur,hvorfor
763,wieviel::FNUM,quantum,hvor mye
764,eins::NUM,unus,en
765,eins::NUM,unus,ett
766,zwei::NUM,duo,to
767,drei::NUM,tres,tre
768,vier::NUM,quattuor,fire
769,fünf::NUM,quinque,fem
770,sechs::NUM,sex,seks
771,sieben::NUM,septem,sju
772,acht::NUM,octo,åtte
773,neun::NUM,novem,ni
774,zehn::NUM,decem,ti
775,elf::NUM,undecim,elleve
776,zwölf::NUM,duodecim,tolv
777,zwanzig::NUM,viginti,tjue
778,dreißig::NUM,triginta,tretti
779,vierzig::NUM,quadraginta,førti
780,fünfzig::NUM,quinquaginta,femti
781,sechzig::NUM,sexaginta,seksti
782,siebzig::NUM,septuaginta,sytti
783,achtzig::NUM,octoginta,åtti
784,neunzig::NUM,nonaginta,nitti
785,hundert::NUM,centum,hundre
786,tausend::NUM,mille,tusen
787,und::CNJ,et,og
788,und::CNJ,-que,og
789,oder::CNJ,vel,eller
790,stehen::V,stare,stå
791,sitzen::V,sedere,sitte
792,liegen::V,iacere,ligge
793,hängen::V,pendere,henge
794,werden::V,fieri,bli
795,passieren::V,accidere,skje
796,passieren::V,accidere,hende
797,beginnen::V,incipere,begynne
798,enden::V,finem habere,ende
799,enden::V,finem habere,slutte
800,wechseln::V,mutari,veksle
801,aufgehen[Sonne]::V,oriri,stå opp
802,untergehen[Sonne]::V,occidere,gå ned
803,scheinen[Sonne]::V,lucere,skinne
804,donnern::V,tonare,tordne
805,wehen::V,flare,blåse
806,strömen::V,fluere,strømme
807,fließen::V,manare,flyte
808,sich drehen::V,torqueri,dreie seg
809,schwanken::V,vacillare,svaie
810,schwingen::V,vibrare,svinge
811,fallen::V,cadere,falle
812,brennen::V,ardere,brenne
813,rauchen::V,fumare,ryke
814,regnen::V,pluere,regne
815,gefrieren::V,congelari,fryse
816,tauen::V,rorare,tine
817,schmelzen::V,liquescere,smelte
818,trocknen::V,arescere,tørre
819,sieden::V,fervere,koke
820,faulen::V,putescere,råtne
821,verfaulen::V,putescere,råtne
822,reißen::V,scindi,briste
823,versinken::V,mergi,synke
824,versinken::V,mergi,synke ned
825,vergehen::V,praeterire,forløpe
826,erscheinen::V,apparere,synes
827,verschwinden::V,discedere,forsvinne
828,sinken::V,labi,synke
829,abnehmen::V,deminui,avta
830,abnehmen::V,deminui,minske
831,zunehmen::V,augeri,tilta
832,steigen::V,augescere,stige
833,wachsen::V,crescere,gro
834,wachsen::V,crescere,vokse
835,glänzen::V,splendere,skinne
836,funkeln::V,micare,tindre
837,lärmen::V,strepere,bråke
838,läuten::V,sonare,ringe
839,klingeln::V,tinnire,ringe
840,klirren::V,crepare,klirre
841,brausen::V,saevire,bruse
842,rauschen::V,crepare,suse
843,klingen::V,sonare,lyde
844,klingen::V,sonare,klinge
845,bellen::V,latrare,gjø
846,bellen::V,latrare,bjeffe
847,heulen::V,ululare,ule
848,blasen::V,flare,blåse
849,pfeifen::V,sibilare,plystre
850,schreien::V,clamare,skrike
851,stöhnen::V,gemere,stønne
852,zittern::V,tremere,dirre
853,zittern::V,tremere,skjelve
854,zittern::V,trepidare,dirre
855,zittern::V,trepidare,skjelve
856,leben::V,vivere,leve
