,Concept_ID,ga,no
1103,probieren::V,bliais,smake på
1104,riechen::V,bolaigh,lukte
1105,fühlen::V,braith,føle
1106,fühlen::V,mothaigh,føle
1107,scheinen::V,tá an chuma ar,se ut
1108,zu sehen sein::V,tá le feiceáil,synes
1109,vernehmen::V,clois,få vite
1110,frieren::V,tá fuar,fryse
1111,tun::V,déan,gjøre
1112,können::V,féad,kunne
1113,können::V,is féidir le,kunne
1114,wollen::V,tá ag iarraidh,ville
1115,anfangen::V,tosaigh,begynne
1116,anfangen::V,cuir tús le,begynne
1117,beenden::V,críochnaigh,avslutte
1118,beenden::V,cuir deireadh le,avslutte
1119,aufhören::V,stad,slutte
1120,aufhören::V,stad,holde opp
1121,gelingen::V,éirigh le,lykkes
1122,geraten::V,tá deireadh ar,bli
1123,öffnen::V,oscail,åpne
1124,schließen::V,dún,lukke
1125,schließen::V,dún,stenge
1126,schließen::V,iaigh,lukke
1127,schließen::V,iaigh,stenge
1128,stellen::V,cuir,stille
1129,setzen::V,cuir,sette
1130,setzen::V,socraigh,sette
1131,legen::V,cuir,legge
1132,berühren::V,teagmhaigh le,berøre
1133,verbinden::V,ceangail,forbinde
1134,bedecken::V,clúdaigh,dekke
1135,bedecken::V,cumhdaigh,dekke
1136,aufhängen::V,croch,henge
1137,aufhängen::V,croch,henge opp
1138,anzünden::V,las,tenne
1139,anzünden::V,las,antenne
1140,anzünden::V,las,tenne på
1141,anzünden::V,adhain,tenne
1142,anzünden::V,adhain,antenne
1143,anzünden::V,adhain,tenne på
1144,aufheben::V,tóg,løfte
1145,aufheben::V,tóg,ta opp
1146,aufheben::V,ardaigh,løfte
1147,aufheben::V,ardaigh,ta opp
1148,zurücklassen::V,fág,slippe tilbake
1149,verlieren::V,caill,miste
1150,fallen lassen::V,lig uait,droppe
1151,fallen lassen::V,lig uait,la falle
1152,fallen lassen::V,caith uait,droppe
1153,fallen lassen::V,caith uait,la falle
1154,machen::V,déan,lage
1155,machen::V,déan,gjøre
1156,machen::V,réitigh,lage
1157,machen::V,réitigh,gjøre
1158,herstellen::V,táirg,fremstille
1159,bauen::V,tóg,bygge
1160,reparieren::V,deisigh,reparere
1161,verbessern::V,feabhsaigh,rette
1162,verbessern::V,feabhsaigh,forbedre
1163,ändern::V,athraigh,forandre
1164,graben::V,tochail,grave
1165,beugen::V,crom,bøye
1166,biegen::V,lúb,bøye
1167,drehen::V,cas,dreie
1168,wenden::V,tiontaigh,vende
1169,umdrehen::V,iompaigh,snu
1170,umdrehen::V,tiontaigh,snu
1171,heben::V,ardaigh,heve
1172,hochheben::V,tóg,løfte
1173,ergreifen::V,beir ar,gripe
1174,ergreifen::V,beir ar,få tak i
1175,halten::V,coimeád,holde
1176,halten::V,coinnigh,holde
1177,drücken::V,brúigh,trykke
1178,schieben::V,brúigh,skyve
1179,kratzen::V,scríob,klø
1180,kratzen::V,scríob,klore
1181,lecken::V,ligh,slikke
1182,lecken::V,leadhb,slikke
1183,beißen::V,bain greim as,bite
1184,abreißen::V,stróic,rive av
1185,abreißen::V,tarraing,rive av
1186,abschneiden::V,scoith,skjære av
1187,binden::V,ceangail,binde
1188,stecken::V,sáigh,stikke
1189,brechen::V,bris,bryte
1190,brechen::V,bris,briste
1191,klopfen::V,cnag,banke
1192,hauen::V,buail,hogge
1193,kleben::V,gliúáil,klistre
1194,reiben::V,cuimil,gni
1195,streichen::V,leath,stryke
1196,schleifen::V,líomh,slipe
1197,schneiden::V,gearr,klippe
1198,rütteln::V,croith,ruske
1199,schütteln::V,croith,riste
1200,schwenken::V,luasc,svinge
1201,schütten::V,doirt,helle
1202,füllen::V,líon,fylle
