,Concept_ID,myv,uk
92,Regenbogen::N,пурьгинеёнкс,райдуга
93,Donner::N,пурьгине,грім
94,Strömung::N,чудема,струмина
95,Strömung::N,чудевкс,струмина
96,Tropfen::N,петнявкс,крапля
97,Schaum::N,чов,піна
98,Schmutz::N,рудаз,бруд
99,See::N,эрьке,озеро
100,Sumpf::N,чей,драговина
101,Moor::N,чей,болото
102,Wiese::N,луга,луг
103,Wiese::N,луга,лука
104,Wald::N,вирь,ліс
105,Hügel::N,губорь,горб
106,Hügel::N,пандыне,горб
107,Anhöhe::N,губорь,височина
108,Anhöhe::N,пандыне,височина
109,Berg::N,пандо,гора
110,Gipfel::N,пря,вершина
111,Höhle::N,пещера,печера
112,Abhang::N,пандочама,схил
113,Quelle::N,ушодкс,джерело
114,Bach::N,чудикерькс,струмок
115,Fluss::N,лей,річка
116,Ufer::N,чире,берег
117,Küste::N,лейчире,узбережжя
118,Festland::N,мода,суша
119,Meer::N,моря,море
120,Bucht::N,усия,бухта
121,Bucht::N,усия,затока
122,Insel::N,усия,острів
123,Blume::N,цеця,квітка
124,Gras::N,тикше,трава
125,Wurzel::N,юр,корінь
126,Wurzel::N,ундокс,корінь
127,Baum::N,чувто,дерево
128,Stamm::N,рунго,стовбур
129,Rinde::N,суд,кора
130,Rinde::N,керь,кора
131,Ast::N,морго,гілка
132,Zweig::N,тарад,галузь
133,Blatt::N,лопа,лист
134,Birke::N,килей,береза
135,Kiefer[Baum]::N,пиче,сосна
136,Weide[Baum]::N,каль,верба
137,Tanne::N,куз,ялиця
138,Horn::N,сюро,ріг
139,Feder::N,толга,перо
140,Fell::N,пона,хутро
141,Flügel::N,сёлмо,крило
142,Klaue::N,кенже,кіготь
143,Kralle::N,кенже,лапа
144,Schwanz::N,пуло,хвіст
145,Ei::N,ал,яйце
146,Nest::N,пизэ,гніздо
147,Bau::N,варя,лігво
148,Bau::N,пизе,лігво
149,Tier::N,ракша,тварина
150,Herde::N,стада,стадо
151,Kuh::N,скал,корова
152,Bulle::N,бука,бик
153,Bulle::N,бука,бугай
154,Pferd::N,лишме,кінь
155,Schaf::N,реве,вівця
156,Schwein::N,туво,свиня
157,Hund::N,пине,собака
158,Hund::N,киска,собака
159,Katze::N,псака,кішка
160,Bär::N,овто,ведмідь
161,Eichhörnchen::N,ур,білка
162,Elch::N,сярдо,лось
163,Fuchs::N,ривезь,лисиця
164,Hase::N,нумоло,заєць
165,Maus::N,чеерь,миша
166,Wolf::N,верьгиз,вовк
167,Vogel::N,нармунь,птах
168,Schwarm::N,полк,зграя
169,Schwarm::N,стада,зграя
170,Huhn::N,сараз,курка
171,Hahn::N,атякш,півень
172,Gans::N,гала,гуска
173,Gans::N,мацей,гуска
174,Adler::N,куцькан,орел
175,Adler::N,тумоатякш,орел
176,Ente::N,яксярго,качка
177,Eule::N,корж,сова
178,Kranich::N,карго,журавель
179,Krähe::N,варака,ворона
180,Kuckuck::N,куко,зозуля
181,Schwan::N,локсей,лебідь
182,Fisch::N,кал,риба
183,Barsch::N,окунь,окунь
184,Hecht::N,щука,щука
185,Schlange[Tier]::N,гуй,змія
186,Wurm::N,сукс,черв’як
187,Spinne::N,шанжав,павук
188,Ameise::N,коткудав,мурашка
189,Laus::N,сий,воша
190,Mücke::N,сеське,комар
191,Fliege::N,карво,муха
192,Schmetterling::N,нимиляв,метелик
193,Beere::N,умарь,ягода
194,Apfel::N,умарь,яблуко
195,Pilz::N,панго,гриб
196,Zwiebel::N,чурька,цибуля
197,Saat::N,видьметь,сім’я
198,Korn::N,сюро,зерно
199,Heu::N,тикше,сіно
200,Schale::N,кедь,шкірка
201,Schale::N,ваткавкс,шкірка
202,Grube::N,латко,яма
203,Falle::N,тувор,пастка
204,Falle::N,кундамка,пастка
205,Schlinge::N,килькш,петля
206,Spur::N,челькс,слід
207,Spur::N,пильгеки,слід
208,Asche::N,кулов,зола
209,Asche::N,кулов,попіл
210,Dreck::N,рудаз,бруд
211,Eisen::N,кшни,залізо
212,Gold::N,сырне,золото
213,Silber::N,сия,срібло
214,Kohle::N,сэдь,вугілля
215,Kohle::N,уголия,вугілля
216,Glas::N,сулика,скло
217,Lehm::N,сёвонь,глина
218,Sand::N,човар,пісок
219,Mensch::N,ломань,людина
220,Mann::N,аля,чоловік
221,Mann::N,цёраломань,чоловік
222,Frau::N,ава,жінка
223,Kind::N,эйкакш,дитина
224,Junge::N,цёрыне,хлопець
225,Mädchen::N,тейтерне,дівчина
226,Familie::N,семия,сім’я
227,Familie::N,семия,родина
228,Großvater::N,покштя,дідусь
229,Großmutter::N,баба,бабуся
230,Eltern::N,тетят-ават,батьки
231,Vater::N,тетя,батько
232,Mutter::N,ава,мати
233,Sohn::N,цёра,син
234,Tochter::N,тейтерь,дочка
235,Bruder::N,леля,брат
236,Bruder::N,ялакс,брат
237,Schwester::N,сазор,сестра
238,Onkel::N,леля,дядько
239,Tante::N,патя,тітка
240,Ehemann::N,мирде,чоловік
241,Ehefrau::N,ни,жінка
242,Ehefrau::N,ни,дружина
243,Freude::N,кеняркс,радощі
244,Gelächter::N,ракамо,сміх
245,Gelächter::N,пейдема,сміх
246,Glück::N,уцяска,щастя
247,Kummer::N,рискс,горе
248,Kummer::N,мелявкс,горе
249,Wunsch::N,мель,бажання
250,Wunsch::N,бажамо,бажання
251,Lust::N,бажамо,бажання
252,Geist::N,ойме,дух
253,Gedanke::N,мель,думка
254,Gedächtnis::N,мель,пам’ять
255,Verstand::N,прев,розум
256,Sinn::N,толк,зміст
257,Sinn::N,толк,значення
258,Sinn::N,смысла,зміст
259,Sinn::N,смысла,значення
260,Grund::N,тувтал,причина
261,Wahrheit::N,видечи,правда
262,Gespräch::N,кортнема,розмова
263,Märchen::N,ёвкс,байка
264,Erzählung::N,ёвтнема,повість
265,Erzählung::N,ёвтнема,оповідання
266,Nachricht::N,куля,повідомлення
267,Neuigkeit::N,куля,новина
268,Name::N,лем,ім’я
269,Rätsel::N,содамоёвкс,загадка
270,Rede::N,кортамо,промова
271,Sprache::N,кель,мова
272,Stimme::N,ваигель,голос
273,Wort::N,вал,слово
274,Zeichen::N,теште,знак
275,Ruf::N,тердема,оклик
276,Lärm::N,шалнома,шум
277,Laut::N,вайгель,звук
278,Ton::N,гайнема,тон
279,Lied::N,моро,пісня
280,Ruhe::N,оймамо,спокій
281,Leute::N,ломанть,люди
282,Volk::N,народ,народ
283,Arbeit::N,тев,робота
284,Gast::N,инже,гість
285,Geschenk::N,казне,подарунок
286,Spiel::N,налксема,гра
287,Gesellschaft::N,община,товариство
288,Hilfe::N,лездамо,допомога
289,Freund::N,оя,друг
290,Freund::N,оя,приятель
291,Freund::N,ялга,друг
292,Freund::N,ялга,приятель
293,Kamerad::N,оя,товариш
294,Kamerad::N,ялга,товариш
295,Angelegenheit::N,тев,справа
296,Anzahl::N,ламоксчи,число
297,Art::N,вид,рід
298,Stück::N,пакш,кусок
299,Stück::N,пелькс,кусок
300,Teil::N,часть,частина
301,Teil::N,пелькс,частина
302,Hälfte::N,пель,половина
303,Hälfte::N,пелькс,половина
304,Kreis::N,кирькс,круг
305,Kreis::N,кирькс,коло
306,Kreuz::N,крёст,хрест
307,Linie::N,кикс,лінія
308,Strich::N,межа,штрих
309,Abstand::N,ютко,проміжок
310,Entfernung::N,ютко,відстань
311,Gegend::N,тарка,місцевість
312,Gegend::N,пертьпелькс,місцевість
313,Platz::N,васолкс,площа
314,Ort::N,тарка,місце
315,Seite::N,ён,сторона
316,Seite::N,чире,сторона
317,Mitte::N,куншка,середина
318,Gegenstand::N,предмет,предмет
319,Sache::N,тев,річ
320,Sache::N,веща,річ
321,Rand::N,пе,край
322,Rand::N,чире,край
323,Kante::N,ирдез,ребро
324,Ecke::N,ужо,ріг
325,Spitze::N,пряне,кінчик
326,Spitze::N,пе,кінчик
327,Ende::N,пе,кінець
328,Loch::N,варя,діра
329,Winkel::N,ужо,куток
330,Muster::N,сёрма,узор
331,Größe::N,сэрь,розмір
332,Größe::N,покшолма,розмір
333,Länge::N,кувалмо,довжина
334,Höhe::N,сэрь,висота
335,Höhe::N,пандо,висота
336,Gewicht::N,сталмо,вага
337,Menge::N,лововкс,кількість
338,Haufen::N,мар,купа
339,Haufen::N,валявкс,купа
340,Reihe::N,ряд,ряд
341,Boot::N,венч,човен
342,Ruder::N,милё,весло
343,Schlitten::N,нурдт,сани
344,Ski::N,сокс,лижа
345,Lagerfeuer::N,толбандя,вогнище
346,Last::N,сталмо,тягар
347,Last::N,сталмо,вантаж
348,Last::N,кандома,тягар
349,Last::N,кандома,вантаж
350,Gang::N,молема,хід
351,Gang::N,якамо,хід
352,Schritt::N,эскелькс,крок
353,Norden::N,якшамо ёнкс,північ
354,Süden::N,лембе ёнкс,південь
355,Westen::N,чивалгома,захід
356,Osten::N,чилисема,схід
357,Holz::N,чувто,дрова
358,Brett::N,лаз,дошка
359,Platte::N,плита,плита
360,Stütze::N,неже,підпірка
361,Stange::N,олга,жердина
362,Stock::N,мандо,палиця
363,Stab::N,олога,палиця
364,Rohr::N,турба,труба
365,Haus::N,кудо,дім
366,Haus::N,кудо,хата
367,Heim::N,кудо,житло
368,Ofen::N,каштомо,піч
369,Fußboden::N,киякс,підлога
370,Tisch::N,столь,стіл
371,Stuhl::N,стул,стілець
372,Wiege::N,лавсь,колиска
373,Wiege::N,нурямот,колиска
374,Bett::N,ацамо,ліжко
375,Bett::N,ацамо,постіль
376,Regal::N,лався,полиця
377,Regal::N,лавсяланго,полиця
378,Kiste::N,горобия,ящик
379,Kiste::N,сундук,ящик
380,Fenster::N,вальма,вікно
381,Tür::N,кенкш,двері
382,Tor::N,ортат,ворота
383,Zaun::N,пирявт,паркан
384,Zaun::N,пирявт,огорожа
385,Zaun::N,пирвякс,паркан
386,Zaun::N,пирвякс,огорожа
387,Dach::N,кудопря,дах
388,Leiter::N,кузтема,драбина
389,Besen::N,тенсть,мітла
390,Spaten::N,койме,заступ
391,Schaufel::N,кече,совок
392,Schaufel::N,кече,лопата
393,Schaufel::N,келей койме,совок
394,Schaufel::N,келей койме,лопата
395,Gabel::N,сянгине,виделка
396,Löffel::N,пенч,ложка
397,Messer::N,пеель,ніж
398,Nagel::N,эске,цвях
399,Netz::N,алтыма,сіть
400,Haken::N,кечказ,крюк
401,Griff::N,кедне,ручка
402,Griff::N,кедне,держак
403,Schloss::N,замок,замок
404,Schloss::N,панжома,замок
405,Bild::N,картина,картина
406,Figur::N,рунго,фігура
407,Puppe::N,няка,лялька
408,Beutel::N,кескав,мішечок
409,Beutel::N,кескав,торбинка
410,Bündel::N,керькс,в’язка
411,Tasche::N,юдма,сумка
412,Eimer::N,ведра,відро
413,Deckel::N,велькс,кришка
414,Geschirr::N,кедьге,посуд
415,Sack::N,кескав,мішок
416,Tasse::N,чакш,чашка
417,Topf::N,кастрюля,горщик
418,Kessel::N,котёл,котел
419,Essen::N,ярсамо,їжа
420,Nahrung::N,ярсамопель,харч
421,Speise::N,ярсамопель,страва
422,Fleisch::N,сывель,м’ясо
423,Getreide::N,сюро,хліб
424,Getreide::N,сюро,збіжжя
425,Brei::N,каша,каша
426,Brot::N,кши,хліб
427,Scheibe::N,кочом,скибочка
428,Scheibe::N,сускомо,скибочка
429,Fett::N,куя,жир
430,Butter::N,ой,масло
431,Öl::N,ой,олія
432,Salz::N,сал,сіль
433,Suppe::N,ям,суп
434,Honig::N,медь,мед
435,Milch::N,ловсо,молоко
436,Tee::N,чай,чай
437,Leder::N,киське,шкіра
438,Wolle::N,пона,шерсть
439,Stoff::N,коцт,тканина
440,Nadel::N,салмукс,голка
441,Faden::N,суре,нитка
442,Knopf::N,пов,ґудзик
443,Knoten::N,сюлмо,вузол
444,Farbe::N,артомапель,фарба
445,Kleidung::N,оршамот,одяг
446,Kleidung::N,оршамот,убрання
447,Hemd::N,панар,сорочка
448,Kragen::N,сиве,комір
449,Ärmel::N,ожа,рукав
450,Hose::N,понкст,брюки
451,Gürtel::N,каркс,пояс
452,Mütze::N,чапка,шапка
453,Schuh::N,туфля,ботинок
454,Stiefel::N,кем,чобіт
455,Ring::N,суркс,кільце
456,Band::N,лента,стрічка
457,Kamm::N,сурсеме,гребінець
458,Spiegel::N,чавачамо,дзеркало
459,Riemen::N,кшнань каркс,ремінь
460,Schnur::N,пикс,вірьовка
461,Leine::N,ведьме,шворка
462,Decke::N,вельтямо,ковдра
463,Kissen::N,тодов,подушка
464,Tuch::N,паця,хустка
465,Handtuch::N,нардамо,рушник
466,Kraft::N,вий,сила
467,Stärke::N,виевчи,сила
468,Gesundheit::N,шумбрачи,здоров’я
469,Krankheit::N,орма,хвороба
470,Krankheit::N,сэредема,хвороба
471,Schmerz::N,сэредькс,біль
472,Wunde::N,керявкс,рана
473,Fieber::N,маштыкс,гарячка
474,Arznei::N,ормаменькс,ліки
475,Brücke::N,сэдь,міст
476,Brücke::N,мадамо,міст
477,Brunnen::N,лисьма,колодязь
478,Weide::N,ракшань ванома тарка,пасовище
479,Pfad::N,ян,стежка
480,Weg::N,ки,шлях
481,Weg::N,ки,дорога
482,Straße::N,ки,вулиця
483,Dorf::N,веле,село
484,Stadt::N,ош,місто
485,Brief::N,сёрма,лист
486,Buch::N,книга,книга
487,Buch::N,книга,книжка
488,Buchstabe::N,буква,буква
489,Buchstabe::N,буква,літера
490,Zeitung::N,газета,газета
491,Leben::N,эрямо,життя
492,Tod::N,кулома,смерть
493,Grab::N,калмо,могила
494,Kirche::N,церькова,церква
495,Sünde::N,чумочи,гріх
496,Gott::N,паз,бог
497,Arbeiter::N,робочей,робітник
498,Chef::N,прявт,хазяїн
499,Meister::N,кол тевень тенця,умілець
500,Arzt::N,врач,лікар
501,Lehrer::N,учитель,вчитель
502,Lehrer::N,тонавтыця,вчитель
503,Geld::N,ярмак,гроші
504,Geschäft::N,ладязь тев,заняття
505,Laden::N,лавка,магазин
506,Laden::N,лавка,крамниця
507,Preis::N,питне,ціна
508,Ware::N,миевкс,товар
509,Ware::N,рамавкс,товар
510,Nutzen::N,паро,вигода
511,Nutzen::N,паро,користь
512,Nutzen::N,лезэ,вигода
513,Nutzen::N,лезэ,користь
514,Reichtum::N,сюпавчи,багатство
515,Welt::N,мир,світ
516,Welt::N,мастор ланго,світ
517,Land::N,мастор,країна
518,Staat::N,государства,держава
519,König::N,король,король
520,Macht::N,азорксчи,влада
521,Grenze::N,буен тешкс,кордон
522,Krieg::N,война,війна
523,Feind::N,душман,ворог
524,Gewalt::N,нарьгамо,насильство
525,Kampf::N,тюрема,бій
526,Kampf::N,тюрема,боротьба
527,Bogen[Waffe]::N,нал,лук
528,Pfeil::N,нал,стріла
529,Gewehr::N,ружия,рушниця
530,Gewehr::N,ружия,гвинтівка
531,Gewehr::N,винтовка,рушниця
532,Gewehr::N,винтовка,гвинтівка
533,Fehler::N,ильведькс,помилка
534,Fehler::N,ильведевкс,помилка
535,Lüge::N,манчема,брехня
536,Lüge::N,кенгелема,брехня
537,Schaden::N,зыян,шкода
538,Schaden::N,зыян,збиток
539,Unglück::N,зыян,нещастя
540,Schuld::N,чумочи,провина
541,Alter::N,шка,вік
542,Alter::N,шка,літа
543,Schluss::N,пе,кінець
544,Zeit::N,шка,час
545,Zeit::N,пинге,час
546,Tag::N,чи,день
547,Morgen::N,валске,ранок
548,Mittag::N,чикуншка,південь
549,Abend::N,чокшнэ,вечір
550,Nacht::N,ве,ніч
551,Woche::N,недля,тиждень
552,Monat::N,ков,місяць
553,Jahr::N,ие,рік
554,Frühling::N,тундо,весна
555,Sommer::N,кизэ,літо
556,Herbst::N,сёксь,осінь
557,Winter::N,теле,зима
558,Januar::N,якшамков,січень
559,Februar::N,февраль,лютий
560,März::N,март,березень
561,April::N,апрель,квітень
562,Mai::N,май,травень
563,Juni::N,июнь,червень
564,Juli::N,июль,липень
565,August::N,август,серпень
566,September::N,сентября,вересень
567,Oktober::N,октября,жовтень
568,November::N,ноября,листопад
569,Dezember::N,декабря,грудень
570,Montag::N,пондельник,понеділок
571,Dienstag::N,овторник,вівторок
572,Mittwoch::N,серёда,середа
573,Donnerstag::N,цетьверьг,четвер
574,Freitag::N,пеця,п’ятниця
575,Samstag::N,субута,субота
576,Samstag::N,шлямочи,субота
577,Sonntag::N,недлячи,неділя
578,groß::A,ине,великий
579,groß::A,покш,великий
580,klein::A,вишка,малий
581,klein::A,вишка,маленький
582,lang::A,кувака,довгий
583,kurz::A,нурькине,короткий
584,breit::A,келей,широкий
585,schmal::A,теине,вузький
586,dicht::A,тусто,густий
587,dick[Gegenstand]::A,эчке,товстий
588,dünn::A,човине,тонкий
589,fein::A,човине,дрібний
590,fest::A,кеме,міцний
591,flach::A,лапужа,плоский
592,glatt::A,валаня,рівний
593,glatt::A,валаня,гладенький
594,hart::A,калгодо,твердий
595,weich::A,чевте,м’який
596,rund::A,кеверь,круглий
597,spitz::A,пшти,гострокінцевий
598,scharf::A,пшти,гострий
599,stumpf::A,ношка,тупий
600,schwer::A,стака,важкий
601,schön::A,мазый,вродливий
602,heiß::A,пси,жаркий
603,heiß::A,пси,гарячий
604,warm::A,лембе,теплий
605,kalt::A,якшамо,холодний
606,kühl::A,экше,прохолодний
607,frisch::A,свежа,свіжий
608,feucht::A,летьке,вогкий
609,nass::A,начко,мокрий
610,trocken::A,коське,сухий
611,voll::A,пешксе,повний
612,leer::A,чаво,пустий
613,offen::A,панжадо,відкритий
614,offen::A,виде,відкритий
615,geschlossen::A,пекстазь,закритий
616,geschlossen::A,пекстазь,зачинений
617,geschlossen::A,сёлгозь,закритий
618,geschlossen::A,сёлгозь,зачинений
619,sauber::A,ванькс,чистий
620,sauber::A,ванькс,охайний
621,schmutzig::A,ливезев,брудний
622,roh::A,верек,сирий
623,reif::A,кенерезь,зрілий
624,lecker::A,тантей,смачний
625,süß::A,ламбамо,солодкий
626,bitter::A,сэпей,гіркий
627,sauer::A,чапамо,кислий
628,hell::A,валдо,світлий
629,dunkel::A,чопода,темний
630,schwarz::A,раужо,чорний
631,weiß::A,ашо,сивий
632,rot::A,якстере,червоний
633,gelb::A,ожо,жовтий
634,blau::A,сэнь,синій
635,grün::A,пиже,зелений
636,grau::A,шержев,сірий
637,bunt::A,сёрмав,барвистий
638,billig::A,аволь питней,дешевий
639,teuer::A,питней,дорогий
640,wertvoll::A,питней,цінний
641,blind::A,сокор,сліпий
642,taub::A,амариця,глухий
643,kräftig::A,пек виев,могутній
644,stark::A,виев,сильний
645,schwach::A,лавшо,слабкий
646,fett::A,куя,жирний
647,fett::A,куя,товстий
648,schlank::A,виде ронга,тонкий
649,schlank::A,виде ронга,стрункий
650,hübsch::A,мазый,чарівний
651,böse::A,кежей,злий
652,böse::A,кежей,лихий
653,dumm::A,чавола,дурний
654,dumm::A,превтеме,дурний
655,faul::A,нузякс,ледачий
656,fleißig::A,мелень путыця,старанний
657,geizig::A,скупой,скупий
658,klug::A,превей,мудрий
659,klug::A,превей,розумний
660,geschickt::A,маштозь теезь,умілий
661,lieb::A,вадря,милий
662,lustig::A,весёла,веселий
663,sanft::A,сэтьме,лагідний
664,hungrig::A,вачо,голодний
665,krank::A,сэредиця,слабий
666,nackt::A,штапо,голий
667,traurig::A,нусманя,сумний
668,lebendig::A,эриця,живий
669,gut::A,паро,добрий
670,schlecht::A,берянь,поганий
671,schlecht::A,берянь,кепський
672,richtig::A,виде,правильний
673,schlimm::A,берянь,бридкий
674,wahr::A,алкуксонь,справжній
675,alt::A,ташто,старий
676,neu::A,од,новий
677,ehemalig::A,икелень,колишній
678,alt[Lebewesen]::A,сыре,старий
679,jung::A,од,молодий
680,arm::A,кажов,бідний
681,reich::A,сюпав,багатий
682,bekannt::A,содавикс,знайомий
683,berühmt::A,содавикс,славетний
684,fremd::A,лия,чужий
685,fremd::A,асодавикс,чужий
686,verschieden::A,эрьва,різний
687,nah::A,а васолонь,близький
688,fern::A,умонь,далекий
689,fern::A,кезэрень,далекий
690,linker::A,керш,лівий
691,rechter::A,вить,правий
692,anderer::A,лия,інакший
693,erster::A,васень,перший
694,erster::A,васенце,перший
695,zweiter::A,омбоце,другий
696,dritter::A,колмоце,третій
697,letzter::A,меельце,останній
698,allein::ADV,башка,сам
699,allein::ADV,башка,один
700,allein::ADV,ськамонзо,сам
701,allein::ADV,ськамонзо,один
702,auf einmal::ADV,вейсэ,відразу
703,zusammen::ADV,вейс,разом
704,zusammen::ADV,вейс,спільно
705,zusammen::ADV,вейсэ,разом
706,zusammen::ADV,вейсэ,спільно
707,lange::ADV,кувать,довго
708,plötzlich::ADV,апак учо,раптом
709,sofort::ADV,курок,зараз
710,sofort::ADV,нейке,зараз
711,später::ADV,мейле,пізніше
712,jetzt::ADV,ней,тепер
713,heute::ADV,течи,сьогодні
714,morgen::ADV,ванды,завтра
715,bald::ADV,курок,незабаром
716,dann::ADV,мейле,потім
717,dann::ADV,седе мейле,потім
718,gestern::ADV,исяк,вчора
719,einst::ADV,весть,колись
720,einst::ADV,зярдо-бути,колись
721,damals::ADV,сестэ,тоді
722,danach::ADV,мейле,згодом
723,danach::ADV,седе мейле,згодом
724,vorher::ADV,васняяк,раніше
725,zuerst::ADV,васня,спершу
726,zuerst::ADV,васня,спочатку
727,einmal::ADV,весть,один раз
728,manchmal::ADV,лиясто,іноді
729,manchmal::ADV,лиясто,інколи
730,oft::ADV,сеетьстэ,часто
731,immer::ADV,свал,завжди
732,niemals::ADV,а зярдояк,ніколи
733,hier::ADV,тесэ,тут
734,hierhin::ADV,тей,сюди
735,von hier::ADV,тестэ,звідси
736,dort::ADV,тосо,там
737,dorthin::ADV,тов,туди
738,geradeaus::ADV,витьстэ,прямо
739,vorwärts::ADV,икелев,вперед
740,rückwärts::ADV,мекев,назад
741,zurück::ADV,мекев,назад
742,unten::ADV,ало,внизу
743,hinab::ADV,алов,вниз
744,oben::ADV,вере,вгорі
745,hinauf::ADV,верев,вгору
746,überall::ADV,эрьва косо,скрізь
747,nicht::ADV,а,не
748,ein wenig::ADV,аламошка,трохи
749,ein wenig::ADV,аламошка,небагато
750,kaum::ADV,ансяк,ледве
751,sehr::ADV,пек,дуже
752,sehr::ADV,вельть,дуже
753,so::ADV,истя,так
754,noch::ADV,таго,ще
755,nur::ADV,ансяк,лише
756,nur::ADV,ансяк,тільки
757,schon::ADV,уш,вже
758,wieder::ADV,таго,знову
759,vergebens::ADV,стяко,дарма
760,vor::PRP,икеле,перед
761,hinter::PRP,вельде,ззаду
762,hinter::PRP,вельде,позаду
763,unter::PRP,ало,під
764,durch::PRP,пачк,крізь
765,neben::PRP,вакссо,біля
766,zwischen::PRP,ютксо,між
767,wegen::PRP,кис,з-за
768,wegen::PRP,кис,через
769,wegen::PRP,коряс,з-за
770,wegen::PRP,коряс,через
771,wegen::PRP,кувалт,з-за
772,wegen::PRP,кувалт,через
773,dies::PRN,те,це
774,das::PRN,те,то
775,das::PRN,тона,то
776,alles::PRN,весе,все
777,alles::PRN,весемесь,все
778,ich::PRN,мон,я
779,du::PRN,тон,ти
780,er::PRN,сон,він
781,wir::PRN,минь,ми
782,ihr::PRN,тынь,ви
783,sie::PRN,сынь,вони
784,was::FPRN,мезе,що
785,wer::FPRN,ки,хто
786,wo::FADV,косо,де
787,wohin::FADV,ков,куди
788,wohin::FADV,козо,куди
789,wie::FADV,кода,як
790,warum::FADV,мекс,чому
791,wieviel::FNUM,зяро,скільки
792,eins::NUM,вейке,один
793,zwei::NUM,кавто,два
794,drei::NUM,колмо,три
795,vier::NUM,ниле,чотири
796,fünf::NUM,вете,п’ять
797,sechs::NUM,кото,шість
798,sieben::NUM,сисем,сім
799,acht::NUM,кавксо,вісім
800,neun::NUM,вейксэ,дев’ять
801,zehn::NUM,кемень,десять
802,elf::NUM,кевейкее,одинадцять
803,zwölf::NUM,кемгавтово,дванадцять
804,zwanzig::NUM,комсь,двадцять
805,dreißig::NUM,колоньгемень,тридцять
806,vierzig::NUM,ниленьгемень,сорок
807,fünfzig::NUM,ведьгемень,п’ятдесят
808,sechzig::NUM,кодгемень,шістдесят
809,siebzig::NUM,сизьгемень,сімдесят
810,achtzig::NUM,кавксоньгемень,вісімдесят
811,neunzig::NUM,вейксэньгемень,дев’яносто
812,hundert::NUM,сядо,сто
813,tausend::NUM,тыща,тисяча
814,und::CNJ,ды,і
815,oder::CNJ,или,або
816,stehen::V,аштемс стядо,стояти
817,sitzen::V,аштемс озадо,сидіти
818,liegen::V,мадезь аштемс,лежати
819,hängen::V,нурьгемс,висіти
820,werden::V,арамс,стати
821,werden::V,арамс,робитися
822,passieren::V,лисэмс,трапитися
823,beginnen::V,ушодомс,початися
824,enden::V,лоткамс,кінчитися
