,Concept_ID,,ps
357,Stange::N,,ډاګه
358,Stock::N,,لرګی
359,Stab::N,,چيخله
360,Rohr::N,,نل
361,Haus::N,,کور
362,Heim::N,,کور
363,Ofen::N,,تودنۍ
364,Fußboden::N,,غولی
365,Tisch::N,,مېز
366,Stuhl::N,,چوکۍ
367,Wiege::N,,زانګو
368,Bett::N,,کټ
369,Bett::N,,چپرکټ
370,Regal::N,,تاخچۍ
371,Kiste::N,,صندوق
372,Fenster::N,,کړکۍ
373,Tür::N,,دروازه
374,Tor::N,,دروازه
375,Zaun::N,,کټاره
376,Dach::N,,بام
377,Leiter::N,,زينه
378,Besen::N,,جارو
379,Spaten::N,,یوم
380,Schaufel::N,,بېلچه
381,Gabel::N,,پنجه
382,Löffel::N,,کاشوغه
383,Messer::N,,چاقو
384,Nagel::N,,ميخ
385,Netz::N,,جال
386,Haken::N,,څنګک
387,Griff::N,,لاستی
388,Schloss::N,,کلپ
389,Bild::N,,رسم
390,Figur::N,,قدوقامت
391,Puppe::N,,ګوډۍ
392,Beutel::N,,کڅوړه
393,Bündel::N,,دسته
394,Tasche::N,,بکس
395,Tasche::N,,توبره
396,Eimer::N,,سطل
397,Deckel::N,,سرپوښ
398,Geschirr::N,,لوښی
399,Sack::N,,جوال
400,Tasse::N,,پیاله
401,Topf::N,,دېګی
402,Kessel::N,,دېګ
403,Essen::N,,خوراک
404,Nahrung::N,,خوراک
405,Speise::N,,خواړه
406,Fleisch::N,,غوښه
407,Getreide::N,,غله
408,Brei::N,,اوګره
409,Brot::N,,ډوډۍ
410,Scheibe::N,,مړۍ
411,Fett::N,,غوړي
412,Butter::N,,کوچ
413,Öl::N,,تېل
414,Salz::N,,مالګه
415,Suppe::N,,شوربا
416,Honig::N,,شات
417,Milch::N,,شوده
418,Tee::N,,چای
419,Leder::N,,څرمن
420,Wolle::N,,پشم
421,Stoff::N,,ټوټه
422,Nadel::N,,ستن
423,Faden::N,,تار
424,Knopf::N,,تڼۍ
425,Knopf::N,,تکمه
426,Knoten::N,,غوټه
