,Concept_ID,ab,nl
184,Laus::N,аҵа,luis
185,Mücke::N,акəыбры,mug
186,Fliege::N,амҵ,vlieg
187,Schmetterling::N,аҧарҧалыкь,vlinder
188,Beere::N,аргуц,bes
189,Apfel::N,аҵəа,appel
190,Pilz::N,акəкəбаа,paddestoel
191,Zwiebel::N,аџьымшьы,ui
192,Zwiebel::N,аџьымшьхы,ui
193,Saat::N,ажəла,zaad
194,Korn::N,арыц,graan
195,Korn::N,арыц,korrel
196,Heu::N,аҭəа,hooi
197,Schale::N,ацəа,schil
198,Grube::N,ажра,kuil
199,Grube::N,атыша,kuil
200,Falle::N,арыҧҟьа,val
201,Schlinge::N,аҟəараҟəантə,strop
202,Spur::N,ашьҭа,spoor
203,Asche::N,ахəа,as
204,Dreck::N,аҳəынҵəа,drek
205,Dreck::N,аҟьамсар,drek
206,Eisen::N,аиха,ijzer
207,Gold::N,ахьы,goud
208,Silber::N,аразны,zilver
209,Kohle::N,арацəа,kool
210,Glas::N,асаркьа,glas
211,Lehm::N,анышəаҧшь,klei
212,Sand::N,аҧслымӡ,zand
213,Mensch::N,ауаҩы,mens
214,Mann::N,ахаҵа,man
215,Frau::N,аҧҳəыс,vrouw
216,Kind::N,ахəыҷы,kind
217,Junge::N,аҷкəын,jongen
218,Junge::N,ахаҵарҧыс,jongen
219,Mädchen::N,аӡӷаб,meisje
220,Familie::N,аҭаацəа,gezin
221,Familie::N,аҭаацəа,familie
222,Großvater::N,абду,grootvader
223,Großmutter::N,анду,grootmoeder
224,Eltern::N,ани аби,ouders
225,Vater::N,аб,vader
226,Mutter::N,ан,moeder
227,Sohn::N,аҧа,zoon
228,Tochter::N,аҧҳа,dochter
229,Bruder::N,аиашьа,broer
230,Bruder::N,аиашьа,broeder
231,Schwester::N,Аҳəшьа,zus
232,Schwester::N,Аҳəшьа,zuster
233,Onkel::N,абиашьа,oom
234,Onkel::N,аншьа,oom
235,Tante::N,абиаҳəшьа,tante
236,Ehemann::N,ахаҵа,echtgenoot
237,Ehemann::N,аҧшəма,echtgenoot
238,Ehefrau::N,аҧҳəыс,echtgenote
239,Freude::N,агəырӷьара,vreugde
240,Gelächter::N,ачча,gelach
241,Gelächter::N,аччара,gelach
242,Glück::N,аразҟы,geluk
243,Kummer::N,агəырҩа,verdriet
244,Wunsch::N,агəхəтəы,wens
245,Wunsch::N,агəхəтəы,verlangen
246,Wunsch::N,аҭахра,wens
247,Wunsch::N,аҭахра,verlangen
248,Lust::N,агəазыҳəара,zin
249,Lust::N,агəазыҳəара,lust
250,Geist::N,аҧсы,geest
251,Gedanke::N,ахəыцырҭа,gedachte
252,Gedächtnis::N,агəынкылара,geheugen
253,Verstand::N,ахшыҩ,verstand
254,Sinn::N,аҵакы,betekenis
255,Grund::N,амзыз,reden
256,Wahrheit::N,аиаша,waarheid
257,Gespräch::N,аиҿцәажәара,gesprek
258,Märchen::N,алакə,sprookje
259,Erzählung::N,ажәабжь,verhaal
260,Nachricht::N,адырраҭара,tijding
261,Neuigkeit::N,ажәабжь ҿыц,nieuws
262,Neuigkeit::N,ажәабжь ҿыц,nieuwtje
263,Name::N,ахьӡ,naam
264,Rätsel::N,ацуфара,raadsel
265,Rede::N,ажәа,rede
266,Sprache::N,абызшəа,taal
267,Stimme::N,абжьы,stem
268,Wort::N,ажәа,woord
269,Zeichen::N,адырга,teken
270,Ruf::N,аҿҭы,roep
271,Lärm::N,ашьҭыбжь,lawaai
272,Laut::N,ашьҭыбжь,klank
273,Laut::N,ашьҭыбжь,geluid
274,Ton::N,атон,toon
275,Ton::N,атон,klank
276,Lied::N,ашəа,lied
277,Ruhe::N,аҭынчра,rust
278,Ruhe::N,аҭынчра,stilte
279,Leute::N,ауаа,lui
280,Leute::N,ауаа,mensen
281,Volk::N,ажəлар,volk
282,Arbeit::N,аусура,werk
283,Arbeit::N,аусура,arbeid
284,Gast::N,асас,gast
285,Geschenk::N,аҳамҭа,cadeau
286,Geschenk::N,аҳамҭа,geschenk
287,Geschenk::N,аҿанҵа,cadeau
288,Geschenk::N,аҿанҵа,geschenk
289,Spiel::N,ахəмарра,spel
290,Gesellschaft::N,агəыҧ,gezelschap
291,Hilfe::N,ацхыраара,hulp
292,Freund::N,аҩыза,vriend
293,Kamerad::N,Аҧхнагьла,maat
294,Kamerad::N,Аҧхнагьла,metgezel
295,Angelegenheit::N,аус,zaak
296,Angelegenheit::N,аус,aangelegenheid
297,Anzahl::N,ахыҧхьаӡара,tal
298,Anzahl::N,ахыҧхьаӡара,aantal
299,Art::N,ахкы,slag
300,Art::N,ахкы,soort
301,Stück::N,аҽыҭ,stuk
302,Teil::N,ахəҭа,deel
303,Hälfte::N,абжа,helft
304,Kreis::N,агьагьа,kring
305,Kreis::N,агьагьа,cirkel
306,Kreuz::N,аџьар,kruis
307,Linie::N,аицтәар,lijn
308,Strich::N,ацəаҳəа,haal
309,Strich::N,ацəаҳəа,streep
310,Abstand::N,абжьара,afstand
311,Entfernung::N,абжьара,afstand
312,Gegend::N,аҭыҧ,streek
313,Platz::N,аҭыҧ,ruimte
314,Ort::N,аҭыҧ,oord
315,Ort::N,аҭыҧ,plaats
316,Seite::N,аган,zij
317,Seite::N,аган,kant
318,Seite::N,аган,zijde
319,Mitte::N,агəҭа,midden
320,Gegenstand::N,амаҭəар,voorwerp
321,Rand::N,аҵкар,rand
322,Rand::N,аҵкар,boord
323,Kante::N,авардым,kant
324,Ecke::N,акəакь,hoek
325,Spitze::N,аҧынҵа,punt
326,Spitze::N,аҧынҵа,spits
327,Ende::N,анаӡара,einde
328,Ende::N,анаӡара,uiteinde
329,Loch::N,акылҵəара,gat
330,Winkel::N,агҿаҩра,hoek
331,Winkel::N,акəындхə,hoek
332,Winkel::N,акəакь,hoek
333,Muster::N,аҟҟа,dessin
334,Muster::N,аҟҟа,patroon
335,Größe::N,изаҟароу,grootte
336,Länge::N,аура,lengte
337,Höhe::N,агылара,hoogte
338,Gewicht::N,акапан,gewicht
339,Haufen::N,ачаҟəа,hoop
340,Reihe::N,ацəаҳəа,rij
341,Reihe::N,ацəаҳəа,reeks
342,Boot::N,анышь,boot
343,Ruder::N,ажəҩа,roeiriem
344,Schlitten::N,ашəаҩауардын,slee
345,Schlitten::N,ашəаҩауардын,slede
346,Ski::N,ашəаҩа,ski
347,Ski::N,ашьахаха,ski
348,Lagerfeuer::N,еиқуу амца,kampvuur
349,Last::N,ахьанҭара,last
350,Last::N,ахьанҭара,vracht
351,Gang::N,аныҟəара,wandeling
352,Schritt::N,ашьаҿа,stap
353,Schritt::N,ашьаҿа,schrede
354,Norden::N,аҩада,noorden
355,Süden::N,алада,zuiden
356,Westen::N,амраҭашəара,westen
357,Osten::N,амрагылара,oosten
358,Holz::N,амҿымаҭəахə,hout
359,Brett::N,аӷəы,plank
360,Platte::N,ахаҳәцәы,plaat
361,Stütze::N,аҵаргəа,stut
362,Stütze::N,аҵаргəа,steun
363,Stütze::N,агəышьаҟа,stut
364,Stütze::N,агəышьаҟа,steun
365,Stange::N,акьат,stang
366,Stock::N,алаба,stok
367,Stab::N,акьат,staf
368,Rohr::N,абыкь,pijp
369,Haus::N,аҩны,huis
370,Heim::N,аҭаацəа,tehuis
371,Ofen::N,аҳақə,kachel
372,Ofen::N,ауаџьаҟ,kachel
373,Ofen::N,афрына,kachel
374,Fußboden::N,адашьма,vloer
375,Tisch::N,аишәа,tafel
376,Stuhl::N,аҟəардə,stoel
377,Wiege::N,агара,wieg
378,Bett::N,акаруаҭ,bed
379,Regal::N,акыӷəра,rek
380,Kiste::N,аидчаҧала,kist
381,Fenster::N,аҧенџьыр,raam
382,Fenster::N,аҧенџьыр,venster
383,Tür::N,ашə,deur
384,Tor::N,агəашə,poort
385,Zaun::N,аанда,omheining
386,Dach::N,ахыб,dak
387,Leiter::N,амардуан,ladder
388,Besen::N,аҧссага,bezem
389,Spaten::N,ажыга,schop
390,Schaufel::N,аҭəарӷəы,schep
391,Gabel::N,ачқьыҧ,vork
392,Löffel::N,амҳаҵə,lepel
393,Messer::N,аҳəызба,mes
394,Nagel::N,аҵəымӷ,spijker
395,Netz::N,акаҭа,net
396,Haken::N,аҵəаҳə,haak
397,Griff::N,амаа,handvat
398,Schloss::N,асаҧаҭ,slot
399,Bild::N,асахьа,beeld
400,Figur::N,афигура,figuur
401,Puppe::N,акьанџьа,pop
402,Beutel::N,асакь,zak
403,Beutel::N,асакь,buidel
404,Bündel::N,аҿаҳəара,pak
405,Bündel::N,аҿаҳəара,bundel
406,Tasche::N,арҭмаҟ,tas
407,Eimer::N,аведра,emmer
408,Deckel::N,ахҩа,deksel
409,Geschirr::N,ачысмаҭəа,vaatwerk
410,Sack::N,асакь,zak
411,Tasse::N,аҵəца,kop
412,Topf::N,акаструлиа,pan
413,Kessel::N,ачуан,ketel
414,Nahrung::N,афатə,voedsel
415,Speise::N,афатə,spijs
416,Fleisch::N,акəац,vlees
417,Getreide::N,ачакуа,graan
418,Brei::N,ақашь,pap
419,Brei::N,ақашь,brij
420,Brot::N,ача,brood
421,Scheibe::N,аҽыҭ,plak
422,Scheibe::N,аҽыҭ,snede
423,Scheibe::N,аҿаҵа,plak
424,Scheibe::N,аҿаҵа,snede
425,Fett::N,ашша,vet
426,Butter::N,ахəша,boter
427,Öl::N,азеҭ,olie
428,Salz::N,аџьыка,zout
429,Suppe::N,асуҧ,soep
430,Honig::N,ацха,honing
431,Milch::N,ахш,melk
432,Tee::N,ачаи,thee
433,Leder::N,ацəа,leer
434,Leder::N,ацəа,leder
435,Wolle::N,аласа,wol
436,Stoff::N,Аба,stof
437,Nadel::N,агəыр,naald
438,Faden::N,арахəыц,draad
439,Knopf::N,аҳəынҵəра,knoop
440,Knoten::N,аиқəҳəала,knoop
441,Farbe::N,ашəыга,verf
442,Kleidung::N,амаҭəа,kledij
443,Kleidung::N,амаҭəа,kleding
444,Hemd::N,акьаҿ,hemd
445,Kragen::N,ахəда,kraag
446,Ärmel::N,амаӷра,mouw
447,Hose::N,аиқəа,broek
448,Hose::N,аиқəа,pantalon
449,Gürtel::N,амаҟа,riem
450,Gürtel::N,амаҟа,gordel
451,Mütze::N,ахылҧа,muts
452,Schuh::N,аимаа,schoen
453,Stiefel::N,амагə,laars
454,Ring::N,амацəаз,ring
455,Band::N,алента,lint
456,Kamm::N,ахҳəа,kam
457,Spiegel::N,асаркьа,spiegel
458,Riemen::N,аа,riem
459,Schnur::N,ашаха,koord
460,Leine::N,аҕура,lijn
461,Decke::N,ахыза,deken
462,Kissen::N,ахчы,kussen
463,Tuch::N,акасы,doek
464,Handtuch::N,ампахьшьы,handdoek
465,Kraft::N,амч,kracht
466,Stärke::N,амч,sterkte
467,Gesundheit::N,агəабзиара,gezondheid
468,Krankheit::N,ачымазара,ziekte
469,Schmerz::N,ахьаа,pijn
470,Wunde::N,ахəра,wond
471,Fieber::N,ашоура,koorts
472,Arznei::N,ахəшə,medicament
473,Arznei::N,ахəшə,geneesmiddel
474,Brücke::N,ацҳа,brug
475,Brunnen::N,аҵыџь,put
476,Brunnen::N,аҵыџь,bron
477,Weide::N,аҳəырҭа,wei
478,Weide::N,аҳəырҭа,weide
479,Pfad::N,амхəасҭа,pad
480,Weg::N,амҩа,weg
481,Straße::N,амҩа,baan
482,Straße::N,амҩа,straat
483,Dorf::N,ақыҭа,dorp
484,Stadt::N,ақалақь,stad
485,Brief::N,ашəҟəы,brief
486,Buch::N,ашəҟəы,boek
487,Buchstabe::N,анбан,letter
488,Zeitung::N,агазеҭ,krant
489,Zeitung::N,агазеҭ,dagblad
490,Leben::N,аҧсҭазаара,leven
491,Tod::N,аҧсра,dood
492,Grab::N,анышəынҭра,graf
493,Kirche::N,ауахəама,kerk
494,Sünde::N,агəнаҳа,zonde
495,Gott::N,анцəа,god
496,Arbeiter::N,аусуҩ,arbeider
497,Chef::N,Аиҳабы,chef
498,Meister::N,аҟаза,meester
499,Arzt::N,аҳақьым,arts
500,Arzt::N,аҳақьым,dokter
501,Lehrer::N,арҵаҩы,leraar
502,Lehrer::N,арҵаҩы,onderwijzer
503,Geld::N,аҧара,geld
504,Laden::N,амагазин,winkel
505,Preis::N,ахə,prijs
506,Ware::N,атауар,waar
507,Nutzen::N,ақьар,nut
508,Nutzen::N,ақьар,voordeel
509,Reichtum::N,абеиара,rijkdom
510,Welt::N,адунеи,wereld
511,Land::N,атəыла,land
512,Staat::N,аҳəынҭқарра,staat
513,König::N,акрал,koning
514,Macht::N,амчра,macht
515,Grenze::N,аҳəаа,grens
516,Krieg::N,аибашьра,oorlog
517,Feind::N,Аҕа,vijand
518,Gewalt::N,ақəымчра,geweld
519,Kampf::N,ақəҧара,strijd
520,Kampf::N,ақəҧара,gevecht
521,Bogen[Waffe]::N,ахыц,boog
522,Pfeil::N,ахəымпал,pijl
523,Gewehr::N,ашəақь,geweer
524,Fehler::N,агха,fout
525,Lüge::N,амц,leugen
526,Schaden::N,аҧырхага,schade
527,Unglück::N,арыцҳара,tegenspoed
528,Schuld::N,ахара,schuld
529,Alter::N,ақəра,leeftijd
530,Schluss::N,анҵəамҭа,slot
531,Zeit::N,аамта,tijd
532,Tag::N,амш,dag
533,Morgen::N,ашара,morgen
534,Morgen::N,ашара,ochtend
535,Morgen::N,ашьыбжь,morgen
536,Morgen::N,ашьыбжь,ochtend
537,Mittag::N,шьыбжьон,middag
538,Abend::N,ахəылҧаз,avond
539,Abend::N,ахəлбыҽха,avond
540,Nacht::N,аҵх,nacht
541,Woche::N,амчыбжь,week
542,Frühling::N,ааҕын,lente
543,Frühling::N,ааҕын,voorjaar
544,Sommer::N,аҧхын,zomer
545,Herbst::N,ҭагалан,herfst
546,Herbst::N,хкаарачан,herfst
547,Winter::N,аӡын,winter
548,Januar::N,ианвар,januari
549,Februar::N,февраль,februari
550,März::N,март,maart
551,April::N,апрель,april
552,Mai::N,маи,mei
553,Juni::N,иуун,juni
554,Juli::N,иууль,juli
555,August::N,август,augustus
556,September::N,сентиабр,september
557,Oktober::N,октиабр,oktober
558,November::N,ноиабр,november
559,Dezember::N,декабр,december
560,Montag::N,ашəахьа,maandag
561,Dienstag::N,аҩаша,dinsdag
562,Mittwoch::N,ахаша,woensdag
563,Donnerstag::N,аҧшьаша,donderdag
564,Freitag::N,ахəаша,vrijdag
565,Samstag::N,асабша,zaterdag
566,Sonntag::N,амҽыша,zondag
567,groß::A,аду,groot
568,klein::A,амаҷ,klein
569,lang::A,ахəхəа,lang
570,kurz::A,акьаҿ,kort
571,breit::A,аиужь,breed
572,breit::A,аиҵых,breed
573,schmal::A,аҭшəа,smal
574,dicht::A,аилач,dicht
575,dick[Gegenstand]::A,ажəпа,dik
576,fein::A,апа,fijn
577,fein::A,аҵаӷа,fijn
578,fein::A,аӡа,fijn
579,fest::A,аҟаца,vast
580,fest::A,аӷəӷəаҟаца,vast
581,flach::A,ақəаҟьа,plat
582,flach::A,аҧаҟьа,plat
583,glatt::A,аимаҩзы,glad
584,hart::A,акьакьа,hard
585,weich::A,атата,week
586,rund::A,акəмпыл,rond
587,spitz::A,аҵар,spits
588,spitz::A,аҵар,puntig
589,scharf::A,аҵар,scherp
590,stumpf::A,ацагə,stomp
591,schwer::A,ахьанҭа,zwaar
592,schön::A,аҧшӡа,mooi
593,schön::A,аҧшӡа,fraai
594,heiß::A,ашы,heet
595,warm::A,аҧха,warm
596,kalt::A,ахьшəашəа,koud
597,kühl::A,ахьшəашəа,koel
598,kühl::A,ицәыхьшәашәоу,koel
599,frisch::A,цқьа,fris
600,feucht::A,ацəаак,vochtig
601,nass::A,абааӡа,nat
602,trocken::A,Аба,droog
603,trocken::A,аҩа,droog
604,voll::A,азна,vol
605,leer::A,аҭацəы,leeg
606,offen::A,аарта,open
607,geschlossen::A,ихҩоу,gesloten
608,geschlossen::A,иаркыу,gesloten
609,sauber::A,ацқьа,net
610,sauber::A,ацқьа,schoon
611,schmutzig::A,аҟьашь,vuil
612,reif::A,Арҭ,rijp
613,reif::A,аҟала,rijp
614,reif::A,иҟалахьоу,rijp
615,lecker::A,ахаа,lekker
616,süß::A,азла,zoet
617,bitter::A,аша,bitter
618,sauer::A,аҵəҵəы,zuur
619,hell::A,алаша,licht
620,hell::A,алаша,helder
621,dunkel::A,алашьца,donker
622,schwarz::A,аиқуаҵәа,zwart
623,weiß::A,ашкəакəа,wit
624,rot::A,аҟаҧшь,rood
625,gelb::A,аҩеижь,geel
626,blau::A,аҽҵәа,blauw
627,grün::A,ашьацҧшҭəала,groen
628,grün::A,аеҵəа,groen
629,grau::A,ацəыш,grijs
630,bunt::A,Аилыҕраа,bont
631,bunt::A,аҕраҷкəын,bont
632,billig::A,амариа,goedkoop
633,teuer::A,амҩан,duur
634,wertvoll::A,кыр иаҕсоу,kostbaar
635,wertvoll::A,кыр иаҕсоу,waardevol
636,wertvoll::A,акыр иаҕсоу,kostbaar
637,wertvoll::A,акыр иаҕсоу,waardevol
638,blind::A,алашə,blind
639,taub::A,адагəа,doof
640,kräftig::A,аӷəӷəа,krachtig
641,stark::A,абаҟа,sterk
642,schwach::A,акəада,zwak
643,fett::A,аҧсыла,vet
644,schlank::A,акала,slank
645,schlank::A,акьалантар,slank
646,schlank::A,аиҿартə,slank
647,hübsch::A,аҧшӡа,leuk
648,böse::A,абааҧсы,kwaad
649,dumm::A,агаӡа,dom
650,faul::A,аашьа,lui
651,fleißig::A,иҟубҷоу,vlijtig
652,geizig::A,акы,gierig
653,geizig::A,акаҷбеи,gierig
654,geizig::A,аҟəџьыр,gierig
655,klug::A,аҟəыш,slim
656,klug::A,аҟəыш,schrander
657,klug::A,аҟəыш,verstandig
658,klug::A,аҟəыӷа,slim
659,klug::A,аҟəыӷа,schrander
660,klug::A,аҟəыӷа,verstandig
661,geschickt::A,напҟазала,handig
662,geschickt::A,напҟазала,vaardig
663,lieb::A,алашара,lief
664,lustig::A,алах-ҿых,vrolijk
665,lustig::A,игурҕьаччо,vrolijk
666,lustig::A,агурҕьа,vrolijk
667,lustig::A,агурҿыхага,vrolijk
668,sanft::A,атата,zacht
669,sanft::A,аҟəымшəышə,zacht
670,sanft::A,ақьыҧш,zacht
671,hungrig::A,амлашь,hongerig
672,krank::A,ачымазаҩ,ziek
673,nackt::A,аҟьантаз,naakt
674,traurig::A,алахьеиқəҵага,treurig
675,traurig::A,алахьеиқəҵага,bedroefd
676,lebendig::A,абза,levend
677,gut::A,абзиа,goed
678,schlecht::A,-хəарҭам,slecht
679,richtig::A,иашоу,juist
680,schlimm::A,абааҧсы,erg
681,schlimm::A,абааҧсы,kwaad
682,wahr::A,агəҭылса,waar
683,wahr::A,абзиаҵəҟьа,waar
684,alt::A,Ажə,oud
685,neu::A,аҿыц,nieuw
686,ehemalig::A,анкьатәи,voormalig
687,alt[Lebewesen]::A,абырг,oud
688,alt[Lebewesen]::A,ақабада,oud
689,alt[Lebewesen]::A,Ажə,oud
690,jung::A,аҟата,jong
691,arm::A,ананамга,arm
692,reich::A,абеиа,rijk
693,bekannt::A,адыр,bekend
694,berühmt::A,адыр,beroemd
695,fremd::A,атəым,vreemd
696,verschieden::A,Еиуа-еиҧшым,verscheiden
697,verschieden::A,Еиуа-еиҧшым,verschillend
698,nah::A,ааигəа,nabij
699,nah::A,ааигəа,nabijgelegen
700,fern::A,ахара,ver
701,linker::A,арма,linker
702,rechter::A,арҕьа,rechter
703,anderer::A,даҽа,andere
704,anderer::A,даҽакы,andere
705,erster::A,актәи,eerste
706,zweiter::A,аҩбатəи,tweede
707,dritter::A,ахҕатәи,derde
708,letzter::A,аҵыхəтəантəи,laatste
709,allein::ADV,мацара,alleen
710,auf einmal::ADV,зныкала,ineens
711,auf einmal::ADV,зныкала,tegelijk
712,auf einmal::ADV,зныкҟьара,ineens
713,auf einmal::ADV,зныкҟьара,tegelijk
714,zusammen::ADV,аиц...,samen
715,zusammen::ADV,аиц...,bijeen
716,lange::ADV,акыраамҭа,lang
717,plötzlich::ADV,иаалырҟьаны,eensklaps
718,plötzlich::ADV,иаалырҟьаны,plotsklaps
719,sofort::ADV,иаразнакҵәҟьа,terstond
720,sofort::ADV,иаразнакҵәҟьа,aanstonds
721,sofort::ADV,иаразнакҵәҟьа,onmiddelijk
722,später::ADV,уажəшьҭаншəа,later
723,jetzt::ADV,уажәы,nu
724,jetzt::ADV,уажәы,nou
725,jetzt::ADV,уажәы,thans
726,heute::ADV,иахьа,heden
727,heute::ADV,иахьа,vandaag
728,morgen::ADV,уаҵәы,morgen
729,bald::ADV,иласны,gauw
730,bald::ADV,иласны,weldra
731,dann::ADV,нас,dan
732,dann::ADV,нас,toen
733,gestern::ADV,иацы,gisteren
734,einst::ADV,зны,eens
735,damals::ADV,усҟан,toen
736,damals::ADV,усҟан,destijds
737,danach::ADV,нас,daarna
738,vorher::ADV,уаанӡа,vooraf
739,vorher::ADV,уаанӡа,van tevoren
740,zuerst::ADV,азнаказы,eerst
