,Concept_ID,es,ba
208,Dreck::N,suciedad,батҡаҡ
209,Eisen::N,hierro,тимер
210,Gold::N,oro,алтын
211,Silber::N,plata,көмөш
212,Kohle::N,carbón,күмер
213,Glas::N,vidrio,быяла
214,Glas::N,cristal,быяла
215,Lehm::N,barro,балсыҡ
216,Sand::N,arena,ҡом
217,Mensch::N,hombre,кеше
218,Mensch::N,ser humano,кеше
219,Mann::N,hombre,ир
220,Frau::N,mujer,ҡатын
221,Kind::N,niño,бала
222,Junge::N,chico,малай
223,Junge::N,muchacho,малай
224,Mädchen::N,chica,ҡыҙ
225,Mädchen::N,chica,ҡыҙыҡай
226,Mädchen::N,muchacha,ҡыҙ
227,Mädchen::N,muchacha,ҡыҙыҡай
228,Familie::N,familia,ғаилә
229,Großvater::N,abuelo,олатай
230,Großmutter::N,abuela,әбәй
231,Eltern::N,padres,ата-әсә
232,Vater::N,padre,атай
233,Mutter::N,madre,әсә
234,Sohn::N,hijo,ул
235,Tochter::N,hija,ҡыҙ
236,Bruder::N,hermano,агай
237,Schwester::N,hermana,алай
238,Schwester::N,hermana,һеңле
239,Onkel::N,tío,ағай
240,Tante::N,tía,апай
241,Ehemann::N,esposo,ир
242,Ehefrau::N,esposa,ҡатын
243,Freude::N,placer,шатлыҡ
244,Freude::N,placer,ҡыуаныс
245,Freude::N,alegría,шатлыҡ
246,Freude::N,alegría,ҡыуаныс
247,Gelächter::N,risa,көлөү
248,Gelächter::N,carcajada,көлөү
249,Glück::N,felicidad,бәхет
250,Kummer::N,pena,ҡайғы
251,Wunsch::N,deseo,теләк
252,Lust::N,ganas,әүәҫлек
253,Geist::N,mente,аң
254,Geist::N,mente,рух
255,Geist::N,espíritu,аң
256,Geist::N,espíritu,рух
257,Gedanke::N,idea,уй
258,Gedanke::N,idea,фекер
259,Gedanke::N,pensamiento,уй
260,Gedanke::N,pensamiento,фекер
261,Gedächtnis::N,memoria,хәтер
262,Verstand::N,razón,аҡыл
263,Verstand::N,entendimiento,аҡыл
264,Sinn::N,sentido,мәғәня
265,Sinn::N,significado,мәғәня
266,Grund::N,causa,сәбәп
267,Wahrheit::N,verdad,дөрөҫлөк
268,Gespräch::N,conversación,әңгәмә
269,Märchen::N,cuento,әкиәт
270,Erzählung::N,cuento,хикәйә
271,Erzählung::N,narración,хикәйә
272,Nachricht::N,mensaje,хәбәр
273,Neuigkeit::N,noticia,яңылыҡ
274,Name::N,nombre,исем
275,Rätsel::N,acertijo,йомаҡ
276,Rätsel::N,adivinanza,йомаҡ
277,Rede::N,discurso,телмәр
278,Sprache::N,lengua,тел
279,Sprache::N,lengua,телмәр
280,Stimme::N,voz,тауыш
281,Wort::N,palabra,һүҙ
282,Zeichen::N,señal,билдә
283,Ruf::N,llamada,саҡырыу
284,Lärm::N,ruido,шаулау
285,Lärm::N,barullo,шаулау
286,Laut::N,sonido,тауыш
287,Ton::N,tono,яңғырау
288,Lied::N,canción,йыр
289,Ruhe::N,calma,ял
290,Ruhe::N,calma,тыныслыҡ
291,Ruhe::N,silencio,ял
292,Ruhe::N,silencio,тыныслыҡ
293,Leute::N,gente,кешеләр
294,Volk::N,pueblo,халҡ
295,Arbeit::N,trabajo,эш
296,Gast::N,huésped,ҡунаҡ
297,Gast::N,invitado,ҡунаҡ
298,Geschenk::N,regalo,бүләк
299,Spiel::N,juego,уйын
300,Gesellschaft::N,compañía,йәмғиәт
301,Hilfe::N,ayuda,ярҙам
302,Hilfe::N,socorro,ярҙам
303,Freund::N,amigo,дуҫ
304,Kamerad::N,camarada,иптәш
305,Kamerad::N,compañero,иптәш
306,Angelegenheit::N,asunto,әш
307,Anzahl::N,cantidad,һан
308,Art::N,tipo,төр
309,Art::N,clase,төр
310,Stück::N,pieza,киҫәк
311,Teil::N,parte,өлөш
312,Hälfte::N,mitad,ярты
313,Kreis::N,círculo,түңәрәк
314,Kreuz::N,cruz,тәре
315,Linie::N,línea,һыҙыҡ
316,Strich::N,raya,һыҙат
317,Strich::N,trazo,һыҙат
318,Abstand::N,distancia,ара
319,Entfernung::N,distancia,алыҫлыҡ
320,Gegend::N,región,урын
321,Gegend::N,comarca,урын
322,Platz::N,espacio,арауыҡ
323,Ort::N,sitio,ерҙәр
324,Ort::N,sitio,урындар
325,Ort::N,sitio,эш урыны
326,Seite::N,lado,яҡ
327,Seite::N,costado,яҡ
328,Mitte::N,medio,урталыҡ
329,Mitte::N,centro,урталыҡ
330,Gegenstand::N,objeto,нәмә
331,Sache::N,cosa,нәмә
332,Sache::N,cosa,әйбер
333,Rand::N,borde,сит
334,Kante::N,borde,ҡабырға
335,Kante::N,borde,ян
336,Ecke::N,esquina,мөйөш
337,Spitze::N,punta,ос
338,Ende::N,cabo,аҙаҡ
339,Ende::N,extremo,аҙаҡ
340,Loch::N,agujero,тишек
341,Loch::N,abertura,тишек
342,Winkel::N,ángulo,мөйөш
343,Muster::N,dibujo,биҙәк
344,Größe::N,tamaño,ҙурлыҡ
345,Länge::N,longitud,оҙонлоҡ
346,Höhe::N,altura,бейеклек
347,Höhe::N,altitud,бейеклек
348,Gewicht::N,peso,үлсәү
349,Menge::N,cantidad,һан
350,Haufen::N,montón,өйөм
351,Reihe::N,fila,рәт
352,Boot::N,bote,кәмә
353,Boot::N,barca,кәмә
354,Ruder::N,remo,ишкәк
355,Schlitten::N,trineo,сана
356,Ski::N,esquí,саңгы
357,Lagerfeuer::N,hoguera,костер
358,Last::N,carga,ауырлыҡ
359,Gang::N,marcha,барыу
360,Schritt::N,paso,аҙым
361,Norden::N,norte,төньяҡ
362,Süden::N,sur,көньяҡ
363,Westen::N,oeste,көнбайыш
364,Osten::N,este,көнсығыш
365,Holz::N,madera,үағас
366,Brett::N,tabla,таҡта
367,Platte::N,placa,плита
368,Platte::N,plancha,плита
369,Stütze::N,sostén,терәк
370,Stütze::N,soporte,терәк
371,Stange::N,vara,кәртә
372,Stange::N,percha,кәртә
373,Stock::N,palo,таяҡ
374,Stock::N,bastón,таяҡ
375,Stab::N,vara,ҡолға
376,Stab::N,bastón,ҡолға
377,Rohr::N,tubo,торба
378,Haus::N,casa,өй
379,Haus::N,casa,йорт
380,Heim::N,hogar,өй
381,Ofen::N,estufa,мейес
382,Fußboden::N,suelo,енес
383,Tisch::N,mesa,өҫтәл
384,Stuhl::N,silla,ултырғыс
385,Wiege::N,cuna,бишек
386,Bett::N,cama,карауат
387,Regal::N,estantería,кәштә
388,Kiste::N,caja,йәшинк
389,Fenster::N,ventana,тәҙрә
390,Tür::N,puerta,ишек
391,Tor::N,puerta,ҡапҡа
392,Zaun::N,valla,ҡойма
393,Zaun::N,cercado,ҡойма
394,Dach::N,techo,түбә
395,Dach::N,techo,ҡыйыҡ
396,Dach::N,tejado,түбә
397,Dach::N,tejado,ҡыйыҡ
398,Leiter::N,escalera,баҫҡыс
399,Besen::N,escoba,һепертке
400,Spaten::N,pala,көрәк
401,Schaufel::N,pala,көрәк
402,Schaufel::N,paleta,көрәк
403,Gabel::N,tenedor,сәнске
404,Löffel::N,cuchara,ҡалаҡ
405,Messer::N,cuchillo,бысаҡ
406,Nagel::N,clavo,сөй
407,Netz::N,red,ау
408,Haken::N,gancho,ыргаҡ
409,Haken::N,corchete,ыргаҡ
410,Griff::N,asa,тотҡа
411,Griff::N,mango,тотҡа
412,Schloss::N,cerradura,йоҙаҡ
413,Bild::N,imagen,картина
414,Figur::N,figura,һын
415,Puppe::N,muñeca,ҡурсаҡ
416,Beutel::N,bolsa,тоҡ
417,Bündel::N,haz,төргәк
418,Tasche::N,bolso,сумка
419,Eimer::N,cubo,биҙрә
420,Deckel::N,tapa,ҡапҡас
421,Deckel::N,tapadera,ҡапҡас
422,Geschirr::N,vajilla,һауыт-һаба
423,Sack::N,saco,тоҡ
424,Tasse::N,taza,сынаяҡ
425,Topf::N,olla,кәстрүл
426,Topf::N,marmita,кәстрүл
427,Kessel::N,caldera,ҡаҙан
428,Essen::N,comida,ашау
429,Nahrung::N,alimento,аҙыҡ
430,Speise::N,plato,аш
431,Fleisch::N,carne,ит
432,Getreide::N,cereales,иген
433,Getreide::N,cereales,ашлыҡ
434,Brei::N,puré,бутҡа
435,Brei::N,papilla,бутҡа
436,Brot::N,pan,икмәк
437,Scheibe::N,lonja,телем
438,Scheibe::N,rebanada,телем
439,Fett::N,grasa,май
440,Butter::N,mantequilla,май
441,Öl::N,aceite,май буяуы
442,Salz::N,sal,тоҙ
443,Suppe::N,sopa,һурпа
444,Honig::N,miel,бал
445,Milch::N,leche,һөт
446,Tee::N,té,сәй
447,Leder::N,cuero,күн
448,Wolle::N,lana,йөн
449,Stoff::N,tela,туҡыма
450,Stoff::N,tejido,туҡыма
451,Nadel::N,aguja,энә
452,Faden::N,hilo,еп
453,Knopf::N,botón,төймә
454,Knoten::N,nudo,төйөн
455,Farbe::N,pintura,буяу
456,Kleidung::N,ropa,кейем
457,Kleidung::N,vestidos,кейем
458,Hemd::N,camisa,күлдәк
459,Kragen::N,cuello,яға
460,Ärmel::N,manga,ең
461,Hose::N,pantalón,салбар
462,Gürtel::N,cinturón,ҡайыш
463,Mütze::N,gorro,бүрк
464,Schuh::N,zapato,туфли
465,Stiefel::N,bota,итек
466,Ring::N,anillo,йөҙөк
467,Ring::N,anillo,балдаҡ
468,Band::N,cinta,таҫма
469,Kamm::N,peine,тараҡ
470,Spiegel::N,espejo,көзгө
471,Riemen::N,correa,ҡайыш
472,Schnur::N,cuerda,бау
473,Leine::N,correa,бау
474,Decke::N,manta,одеяд
475,Kissen::N,almohada,мендәр
476,Tuch::N,pañuelo,яулыҡ
477,Handtuch::N,toalla,таҫтамал
478,Kraft::N,fuerza,көс
479,Stärke::N,fuerza,көс
480,Gesundheit::N,salud,һаулыҡ
481,Krankheit::N,enfermedad,сир
482,Krankheit::N,enfermedad,ауырыу
483,Schmerz::N,dolor,һыҙлау
484,Schmerz::N,dolor,әрнеү
485,Wunde::N,llaga,йәрәхәт
486,Wunde::N,herida,йәрәхәт
487,Fieber::N,fiebre,тапма
488,Fieber::N,fiebre,биҙгәк
489,Arznei::N,medicina,дарыу
490,Arznei::N,medicamento,дарыу
491,Brücke::N,puente,күпер
492,Brunnen::N,pozo,ҡоҙоҡ
493,Weide::N,pasto,көтөүлек
494,Pfad::N,sendero,һуҡмаҡ
495,Weg::N,camino,юл
496,Straße::N,vía,урам
497,Straße::N,carretera,урам
498,Dorf::N,aldea,ауыл
499,Dorf::N,pueblo,ауыл
500,Stadt::N,ciudad,ҡала
501,Brief::N,carta,хат
502,Buch::N,libro,китап
503,Buch::N,libro,кенәгә
504,Buchstabe::N,letra,хәреф
505,Buchstabe::N,carácter,хәреф
506,Zeitung::N,diario,гәзит
507,Zeitung::N,periódico,гәзит
508,Leben::N,vida,йәшәү
509,Tod::N,muerte,үлем
510,Grab::N,tumba,ҡәбер
511,Grab::N,sepulcro,ҡәбер
512,Kirche::N,iglesia,сиркәү
513,Sünde::N,pecado,гөнаһ
514,Gott::N,dios,алла
515,Gott::N,dios,хоҙай
516,Arbeiter::N,obrero,эшсе
517,Arbeiter::N,trabajador,эшсе
518,Chef::N,jefe,башлыҡ
519,Meister::N,maestro,оҫта
520,Arzt::N,médico,врач
521,Lehrer::N,profesor,уҡытыусы
522,Geld::N,dinero,аҡса
523,Geschäft::N,negocio,эш
524,Laden::N,tienda,магазин
525,Preis::N,precio,хаҡ
526,Ware::N,mercancía,тауар
527,Nutzen::N,provecho,файҙа
528,Reichtum::N,riqueza,байлыҡ
529,Welt::N,mundo,донъя
530,Land::N,país,ил
531,Staat::N,Estado,дәүләт
532,König::N,rey,король
533,Macht::N,poder,власть
534,Macht::N,potencia,власть
535,Grenze::N,frontera,сик
536,Krieg::N,guerra,һуғыш
537,Feind::N,enemigo,йылан
538,Gewalt::N,violencia,көслөк
539,Kampf::N,lucha,көрәш
540,Kampf::N,combate,көрәш
541,Bogen[Waffe]::N,arco,йәйә
542,Pfeil::N,flecha,уҡ
543,Gewehr::N,fusil,мылтыҡ
544,Gewehr::N,escopeta,мылтыҡ
545,Fehler::N,error,хата
546,Lüge::N,mentira,ялған
547,Schaden::N,daño,зыян
548,Schaden::N,daño,зарар
549,Unglück::N,desgracia,ҡаза
550,Schuld::N,culpa,ғәйеп
551,Alter::N,edad,йәш
552,Schluss::N,fin,һуң
553,Schluss::N,fin,аҙаҡ
554,Schluss::N,final,һуң
555,Schluss::N,final,аҙаҡ
556,Zeit::N,tiempo,мәл
557,Zeit::N,tiempo,заман
558,Tag::N,día,көн
559,Morgen::N,mañana,иртә
560,Morgen::N,mañana,иртәнсәк
561,Mittag::N,mediodía,төш
562,Abend::N,noche,кис
563,Nacht::N,noche,төн
564,Woche::N,semana,аҙна
565,Monat::N,mes,ай
566,Jahr::N,año,йыл
567,Frühling::N,primavera,яҙ
568,Sommer::N,verano,йәй
569,Herbst::N,otoño,көз
570,Winter::N,invierno,ҡыш
571,Januar::N,enero,ғинуар
572,Februar::N,febrero,февраль
573,März::N,marzo,март
574,April::N,abril,апрель
575,Mai::N,mayo,май
576,Juni::N,junio,июнь
577,Juli::N,julio,июль
578,August::N,agosto,август
579,September::N,septiembre,сентябрь
580,Oktober::N,octubre,октябрь
581,November::N,noviembre,ноябрь
582,Dezember::N,diciembre,декабрь
583,Montag::N,lunes,дүшәмбе
584,Dienstag::N,martes,шишәмбе
585,Mittwoch::N,miércoles,шаршамбы
586,Donnerstag::N,jueves,кесаҙна
587,Freitag::N,viernes,йома
588,Samstag::N,sábado,шәмбе
589,Sonntag::N,domingo,йәкшәмбе
590,groß::A,grande,ҙур
591,klein::A,pequeño,бәләкәс
592,lang::A,largo,оҙон
593,kurz::A,corto,ҡыҫҡа
594,breit::A,ancho,киң
595,schmal::A,estrecho,тар
596,dicht::A,denso,йыш
597,dicht::A,denso,ҡуйы
598,dick[Gegenstand]::A,grueso,ҡалын
599,dünn::A,fino,йоҡа
600,dünn::A,fino,нәҙек
601,dünn::A,delgado,йоҡа
602,dünn::A,delgado,нәҙек
603,fein::A,fino,нескә
604,fein::A,delicado,нескә
605,fest::A,firme,ныҡ
606,fest::A,sólido,ныҡ
607,flach::A,plano,яҫы
608,flach::A,plano,ялпаҡ
609,glatt::A,liso,шыма
610,hart::A,duro,ҡаты
611,weich::A,muelle,йомшаҡ
612,rund::A,redondo,түңәрәк
613,spitz::A,agudo,осло түбәле
614,spitz::A,apuntado,осло түбәле
615,scharf::A,agudo,үткер
616,scharf::A,afilado,үткер
617,stumpf::A,sin filo,утмәҫ
618,schwer::A,pesado,ауыр
619,schön::A,bello,матур
620,schön::A,hermoso,матур
621,heiß::A,caluroso,эҫе
622,warm::A,cálido,йылы
623,warm::A,caliente,йылы
624,kalt::A,frío,һыуыҡ
625,kühl::A,fresco,һалҡынса
626,frisch::A,fresco,һалҡынса
627,feucht::A,húmedo,еүеш
628,feucht::A,húmedo,дымлы
629,nass::A,mojado,еүеш
630,trocken::A,seco,кипкән
631,voll::A,lleno,тулы
632,leer::A,vacío,буш
633,offen::A,abierto,асыҡ
634,geschlossen::A,cerrado,ябыҡ
635,sauber::A,limpio,таҙа
636,schmutzig::A,sucio,бысраҡ
637,roh::A,crudo,сей
638,reif::A,maduro,өлгөрғән
639,lecker::A,rico,тәмле
640,lecker::A,sabroso,тәмле
641,süß::A,dulce,тямле
642,süß::A,dulce,тәм-том
643,bitter::A,amargo,әсе
644,sauer::A,agrio,әсе
645,hell::A,claro,яҡты
646,dunkel::A,oscuro,ҡараңғы
647,schwarz::A,negro,ҡара
648,weiß::A,blanco,аҡ
649,rot::A,rojo,матур
650,rot::A,rojo,һылыу
651,rot::A,rojo,сибәр
652,gelb::A,amarillo,һары
653,blau::A,azul,күк
654,grün::A,verde,йәшел
655,grau::A,gris,буҙ
656,bunt::A,multicolor,сыбар
657,bunt::A,multicolor,ала-ҡола
658,billig::A,barato,арзан
659,teuer::A,caro,ҡыйбатлы
660,wertvoll::A,valioso,ҡиммәтле
661,wertvoll::A,precioso,ҡиммәтле
662,blind::A,ciego,һуҡыр
663,taub::A,sordo,һаңғырау
664,kräftig::A,fuerte,көслө
665,kräftig::A,fuerte,ҡеүәтле
666,stark::A,fuerte,көслө
667,stark::A,fuerte,ҡеүәтле
668,stark::A,vigoroso,көслө
669,stark::A,vigoroso,ҡеүәтле
670,schwach::A,débil,көсһөҙ
671,fett::A,obeso,һимеҙ
672,schlank::A,esbelto,зифа
673,hübsch::A,mono,матур
674,hübsch::A,guapo,матур
675,böse::A,malo,асыулы
676,dumm::A,tonto,иҫәр
677,dumm::A,estúpido,иҫәр
678,faul::A,vago,иренсәк
679,faul::A,perezoso,иренсәк
680,fleißig::A,aplicado,тырыш
681,fleißig::A,diligente,тырыш
682,geizig::A,avaro,һаран
683,klug::A,sensato,аҡыллы
684,klug::A,inteligente,аҡыллы
685,geschickt::A,hábil,оҫта
686,lieb::A,querido,яғымлы
687,lustig::A,alegre,күңелле
688,sanft::A,suave,йыуаш
689,hungrig::A,hambriento,ас
690,krank::A,enfermo,сирле
691,krank::A,enfermo,ауырыу
692,nackt::A,desnudo,яланғас
693,traurig::A,triste,яманһыу
694,lebendig::A,vivo,тере
695,lebendig::A,vivo,йәнле
696,lebendig::A,viviente,тере
697,lebendig::A,viviente,йәнле
698,gut::A,bueno,яҡшы
699,schlecht::A,malo,хөрт
700,schlecht::A,malo,алама
701,richtig::A,justo,дөрөҫ
702,richtig::A,correcto,дөрөҫ
703,schlimm::A,malo,хөрт
704,schlimm::A,malo,алама
705,schlimm::A,grave,хөрт
706,schlimm::A,grave,алама
707,wahr::A,verídico,дөрөҫ
708,wahr::A,verdadero,дөрөҫ
709,alt::A,viejo,иҫке
710,alt::A,viejo,боронғо
711,neu::A,nuevo,яңы
712,ehemalig::A,antiguo,элекке
713,alt[Lebewesen]::A,viejo,ҡарт
714,jung::A,joven,йәш
715,arm::A,pobre,фәҡир
716,reich::A,rico,бай
717,bekannt::A,conocido,таныш
718,berühmt::A,famoso,атаҡлы
719,berühmt::A,famoso,данлыҡлы
720,berühmt::A,célebre,атаҡлы
721,berühmt::A,célebre,данлыҡлы
722,fremd::A,extraño,ят
723,fremd::A,extraño,сит
724,verschieden::A,diverso,төрлө
725,verschieden::A,distinto,төрлө
726,verschieden::A,diferente,төрлө
727,nah::A,cercano,яҡын
728,fern::A,lejano,алыҫ
729,fern::A,lejano,йыраҡ
730,linker::A,izquierdo,һул
731,rechter::A,derecho,уң
732,anderer::A,otro,бутән
733,erster::A,primero,тәүге
734,zweiter::A,segundo,икенсе
735,dritter::A,tercero,өсөнсө
736,letzter::A,último,һуңғы
737,allein::ADV,a solo,бер үҙе
738,allein::ADV,a solo,яңғыҙ
739,auf einmal::ADV,de una vez,бер юлы
740,zusammen::ADV,juntos,бергә
741,lange::ADV,mucho tiempo,оҙаҡ
742,plötzlich::ADV,de repente,ҡапыл
743,sofort::ADV,en seguida,шунда уҡ
744,später::ADV,más tarde,һуңыраҡ
745,jetzt::ADV,ahora,хәҙер
746,heute::ADV,hoy,бөгөн
747,morgen::ADV,mañana,иртәгә
748,bald::ADV,pronto,тиҙҙән
749,bald::ADV,en breve,тиҙҙән
750,dann::ADV,luego,һуңынан
751,dann::ADV,entonces,һуңынан
752,gestern::ADV,ayer,кисә
753,einst::ADV,antaño,ҡасандыр
754,einst::ADV,antaño,бер баҡыт
755,damals::ADV,entonces,ул саҡта
756,danach::ADV,después,һуңынан
757,vorher::ADV,antes,элек
758,zuerst::ADV,primero,башта
759,einmal::ADV,una vez,бер
760,manchmal::ADV,a veces,ҡайһы берҙә
761,oft::ADV,a menudo,йыш
762,oft::ADV,con frecuencia,йыш
763,immer::ADV,siempre,һәр ҡасан
764,niemals::ADV,jamás,бер ҡасан да
765,niemals::ADV,jamás,бер ваҡытта ла
766,hier::ADV,aquí,бында
767,hierhin::ADV,acá,бында
768,von hier::ADV,desde aquí,бынан
769,von hier::ADV,desde aquí,ошонан
770,dort::ADV,ahí,шунда
771,dort::ADV,ahí,тегендә
772,dort::ADV,allí,шунда
773,dort::ADV,allí,тегендә
774,dorthin::ADV,allí,шунда
775,dorthin::ADV,allí,тегеләй
776,dorthin::ADV,hacia allí,шунда
777,dorthin::ADV,hacia allí,тегеләй
