,Concept_ID,vep,es
259,Freude::N,ilo,placer
260,Freude::N,ilo,alegría
261,Freude::N,ihastuz,placer
262,Freude::N,ihastuz,alegría
263,Gelächter::N,nagr,risa
264,Gelächter::N,nagr,carcajada
265,Glück::N,oza,felicidad
266,Kummer::N,gor'a,pena
267,Wunsch::N,taht,deseo
268,Lust::N,himo,ganas
269,Geist::N,heng,mente
270,Geist::N,heng,espíritu
271,Gedanke::N,meletuz,idea
272,Gedanke::N,meletuz,pensamiento
273,Gedächtnis::N,mušt,memoria
274,Verstand::N,mel',razón
275,Verstand::N,mel',entendimiento
276,Sinn::N,jüvä,sentido
277,Sinn::N,jüvä,significado
278,Grund::N,sü,causa
279,Wahrheit::N,tozi,verdad
280,Gespräch::N,lodu,conversación
281,Gespräch::N,pagin,conversación
282,Märchen::N,sarn,cuento
283,Erzählung::N,sanutez,cuento
284,Erzählung::N,sanutez,narración
285,Nachricht::N,tedotuz,mensaje
286,Neuigkeit::N,uzištuz,noticia
287,Name::N,nimi,nombre
288,Rätsel::N,ozoitez,acertijo
289,Rätsel::N,ozoitez,adivinanza
290,Rede::N,pagin,discurso
291,Rede::N,sanad,discurso
292,Sprache::N,kel',lengua
293,Stimme::N,än',voz
294,Wort::N,sana,palabra
295,Zeichen::N,znam,señal
296,Ruf::N,kida,llamada
297,Ruf::N,kucund,llamada
298,Lärm::N,judu,ruido
299,Lärm::N,judu,barullo
300,Laut::N,kulund,sonido
301,Ton::N,kulund,tono
302,Lied::N,pajo,canción
303,Ruhe::N,lebu,calma
304,Ruhe::N,lebu,silencio
305,Leute::N,rahvaz,gente
306,Volk::N,rahvaz,pueblo
307,Arbeit::N,tö,trabajo
308,Arbeit::N,rad,trabajo
309,Gast::N,adiv,huésped
310,Gast::N,adiv,invitado
311,Geschenk::N,lahj,regalo
312,Spiel::N,vänd,juego
313,Gesellschaft::N,sebr,compañía
314,Hilfe::N,abu,ayuda
315,Hilfe::N,abu,socorro
316,Freund::N,sebranik,amigo
317,Kamerad::N,sebranik,camarada
318,Kamerad::N,sebranik,compañero
319,Angelegenheit::N,azj,asunto
320,Anzahl::N,lugu,cantidad
321,Art::N,rod,tipo
322,Art::N,rod,clase
323,Art::N,rodsugu,tipo
324,Art::N,rodsugu,clase
325,Stück::N,pala,pieza
326,Stück::N,supal,pieza
327,Teil::N,pala,parte
328,Hälfte::N,pol',mitad
329,Kreis::N,ümbruz,círculo
330,Kreis::N,kehkruz,círculo
331,Kreuz::N,rist,cruz
332,Linie::N,pird,línea
333,Strich::N,pird,raya
334,Strich::N,pird,trazo
335,Abstand::N,keskust,distancia
336,Entfernung::N,matk,distancia
337,Gegend::N,taho,región
338,Gegend::N,taho,comarca
339,Platz::N,avaruz',espacio
340,Ort::N,koht,sitio
341,Seite::N,pol',lado
342,Seite::N,pol',costado
343,Seite::N,kül'g,lado
344,Seite::N,kül'g,costado
345,Mitte::N,kesk,medio
346,Mitte::N,kesk,centro
347,Gegenstand::N,kalu,objeto
348,Sache::N,azj,cosa
349,Rand::N,röun,borde
350,Kante::N,röun,borde
351,Ecke::N,saum,esquina
352,Spitze::N,agjaine,punta
353,Ende::N,agj,cabo
354,Ende::N,agj,extremo
355,Loch::N,reig,agujero
356,Loch::N,reig,abertura
357,Winkel::N,čoga,ángulo
358,Winkel::N,saum,ángulo
359,Muster::N,kirjam,dibujo
360,Größe::N,suruz',tamaño
361,Länge::N,piduz,longitud
362,Höhe::N,korktuz',altura
363,Höhe::N,korktuz',altitud
364,Gewicht::N,jügu,peso
365,Gewicht::N,vedäduz,peso
366,Menge::N,äjüz',cantidad
367,Haufen::N,kogo,montón
368,Reihe::N,rivi,fila
369,Boot::N,veneh,bote
370,Boot::N,veneh,barca
371,Ruder::N,air,remo
372,Schlitten::N,regi,trineo
373,Schlitten::N,regut,trineo
374,Ski::N,suks',esquí
375,Lagerfeuer::N,nodj,hoguera
376,Lagerfeuer::N,pažag,hoguera
377,Last::N,jüguz,carga
378,Gang::N,astund,marcha
379,Schritt::N,hašk,paso
380,Norden::N,pohjoine,norte
381,Süden::N,suvi,sur
382,Westen::N,päivlaskm,oeste
383,Osten::N,päivnouzm,este
384,Holz::N,pu,madera
385,Brett::N,laud,tabla
386,Platte::N,keitim,placa
387,Platte::N,keitim,plancha
388,Stütze::N,tugi,sostén
389,Stütze::N,tugi,soporte
390,Stange::N,arz',vara
391,Stange::N,arz',percha
392,Stock::N,kalu,palo
393,Stock::N,kalu,bastón
394,Stab::N,seibaz,vara
395,Stab::N,seibaz,bastón
396,Rohr::N,torv,tubo
397,Haus::N,pert',casa
