,Concept_ID,he,ca
193,Beere::N,ענבה,baia
194,Apfel::N,תפוח,poma
195,Pilz::N,פטריה,bolet
196,Zwiebel::N,בצל,ceba
197,Saat::N,זרעים,sembra
198,Korn::N,גרעין,gra
199,Heu::N,חציר,fenc
200,Schale::N,קלפה,closca
201,Grube::N,בור,sot
202,Grube::N,בור,clot
203,Grube::N,שוחה,sot
204,Grube::N,שוחה,clot
205,Falle::N,מלכדת,trampa
206,Schlinge::N,לולאה,baga
207,Spur::N,עקבה,traça
208,Asche::N,אפר,cendra
209,Dreck::N,זהמה,llot
210,Eisen::N,ברזל,ferro
211,Gold::N,זהב,or
212,Silber::N,כסף,plata
213,Kohle::N,פחם,carbó
214,Glas::N,זכוכית,vidre
215,Lehm::N,חרסית,fang
216,Lehm::N,חרסית,argila
217,Sand::N,חול,arena
218,Mensch::N,אדם,humà
219,Mensch::N,אדם,persona
220,Mann::N,איש,home
221,Mann::N,גבר,home
222,Frau::N,אשה,dona
223,Frau::N,גברת,dona
224,Kind::N,ילד,nen
225,Junge::N,ילד,noi
226,Mädchen::N,נערה,noia
227,Familie::N,משפחה,família
228,Großvater::N,סבא,avi
229,Großmutter::N,סבתא,àvia
230,Eltern::N,הורים,pares
231,Vater::N,אב,pare
232,Mutter::N,אם,mare
233,Sohn::N,בן,fill
234,Tochter::N,בת,filla
235,Bruder::N,אח,germà
236,Schwester::N,אחות,germana
237,Onkel::N,דוד,oncle
238,Tante::N,דודה,tia
239,Ehemann::N,איש,espòs
240,Ehemann::N,בעל,espòs
241,Ehefrau::N,אשה,muller
242,Freude::N,שמחה,goig
243,Freude::N,שמחה,alegria
244,Gelächter::N,צחוק,riallada
245,Glück::N,אשר,felicitat
246,Kummer::N,יגון,pena
247,Kummer::N,עגמה,pena
248,Wunsch::N,אחול,desig
249,Wunsch::N,משאלה,desig
250,Lust::N,חשק,ganes
251,Lust::N,תשוקה,ganes
252,Geist::N,רוח,ment
253,Geist::N,רוח,esperit
254,Gedanke::N,מחשבה,pensament
255,Gedächtnis::N,זכרון,memòria
256,Verstand::N,שכל,raó
257,Verstand::N,שכל,seny
258,Sinn::N,מובן,solta
259,Sinn::N,מובן,sentit
260,Sinn::N,משמעות,solta
261,Sinn::N,משמעות,sentit
262,Grund::N,סבה,raó
263,Grund::N,סבה,causa
264,Wahrheit::N,אמת,veritāt
265,Gespräch::N,דיון,conversa
266,Märchen::N,אגדה,conte
267,Erzählung::N,ספור,narració
268,Nachricht::N,ידיעה,missatge
269,Neuigkeit::N,חדשה,novetat
270,Name::N,שם,nom
271,Rätsel::N,תעלומה,endevinalla
272,Rede::N,נאום,discurs
273,Sprache::N,לשון,llēngua
274,Stimme::N,קול,veu
275,Wort::N,מלה,mot
276,Wort::N,מלה,paraula
277,Zeichen::N,סימן,signe
278,Zeichen::N,סימן,senyal
279,Ruf::N,קריאה,crida
280,Lärm::N,רעש,sorōll
281,Laut::N,הגה,so
282,Ton::N,צליל,to
283,Lied::N,שיר,cançó
284,Ruhe::N,שלוה,calma
285,Ruhe::N,שלוה,silenci
286,Leute::N,אנשים,gent
287,Volk::N,עם,poble
288,Arbeit::N,עבודה,labor
289,Arbeit::N,עבודה,treball
290,Gast::N,אורח,hoste
291,Geschenk::N,מתנה,regal
292,Geschenk::N,מתנה,obsequi
293,Spiel::N,משחק,joc
294,Gesellschaft::N,חברה,companyia
295,Hilfe::N,עזרה,ajut
296,Freund::N,חבר,amīc
297,Freund::N,ידיד,amīc
298,Kamerad::N,רע,company
299,Kamerad::N,רע,camarada
300,Angelegenheit::N,ענין,afer
301,Angelegenheit::N,ענין,assumpte
302,Anzahl::N,מספר,nombre
303,Anzahl::N,מספר,quantitat
304,Art::N,סוג,tipus
305,Art::N,סוג,classe
306,Stück::N,חתיכה,peça
307,Teil::N,פרק,part
308,Hälfte::N,חצי,meitat
309,Kreis::N,מעגל,cercle
310,Kreuz::N,צלב,creu
311,Linie::N,קו,línia
312,Strich::N,קו קצר,traç
313,Strich::N,קו קצר,ratlla
314,Abstand::N,מרחק,distància
315,Entfernung::N,מרחק,distància
316,Gegend::N,נוף,regió
317,Gegend::N,נוף,contrada
318,Platz::N,שטח,cabuda
319,Ort::N,אתר,lloc
320,Ort::N,מקום,lloc
321,Seite::N,צד,banda
322,Seite::N,צד,costāt
323,Mitte::N,אמצע,mig
324,Mitte::N,אמצע,centre
325,Gegenstand::N,אוביקט,objecte
326,Sache::N,דבר,cosa
327,Rand::N,פרור,vora
328,Rand::N,פרור,marge
329,Kante::N,קצה,caire
330,Kante::N,קצה,cantell
331,Ecke::N,פנה,cantonada
332,Spitze::N,קצה,punta
333,Ende::N,סוף,cap
334,Loch::N,חר,forāt
335,Winkel::N,פנה,racó
336,Muster::N,תבנית,dibuix
337,Muster::N,תבנית,disseny
338,Größe::N,גדל,grandària
339,Länge::N,ארך,longitud
340,Höhe::N,קומה,altura
341,Höhe::N,קומה,altitud
342,Höhe::N,גבה,altura
343,Höhe::N,גבה,altitud
344,Gewicht::N,משקל,pes
345,Menge::N,כמות,quantitat
346,Haufen::N,ערמה,pila
347,Reihe::N,רצף,fila
348,Boot::N,סירה,bot
349,Boot::N,סירה,barca
350,Ruder::N,משוט,rem
351,Schlitten::N,מזחלת,trineu
352,Ski::N,מגלשים,esquí
353,Lagerfeuer::N,מדורה,foc de campament
354,Last::N,משא,càrrega
355,Gang::N,הליכה,marxa
356,Schritt::N,צעד,pas
357,Norden::N,צפון,nord
358,Süden::N,דרום,sud
359,Westen::N,מערב,oest
360,Westen::N,מערב,occident
361,Osten::N,מזרח,est
362,Osten::N,מזרח,orient
363,Holz::N,עץ,fusta
364,Brett::N,קרש,taula
365,Platte::N,לוח,placa
366,Stütze::N,משען,suport
367,Stange::N,מוט,vara
368,Stock::N,מקל,pal
369,Stab::N,מוט,bastó
370,Rohr::N,צנור,tub
371,Haus::N,בית,casa
372,Heim::N,בית,llar
373,Ofen::N,תנור,estufa
374,Fußboden::N,רצפה,terra
375,Tisch::N,שלחן,taula
376,Stuhl::N,כסא,cadira
377,Wiege::N,ערש,bressol
378,Bett::N,מטה,llit
379,Regal::N,מדף,prestatgeria
380,Kiste::N,תבה,caixa
381,Kiste::N,ארגז,caixa
382,Fenster::N,חלון,finestra
383,Tür::N,דלת,porta
384,Tor::N,שער,portal
385,Zaun::N,גדר,tanca
386,Dach::N,גג,teulada
387,Leiter::N,סלם,escala
388,Leiter::N,סלם,escala de mà
389,Besen::N,מטאטא,escombra
390,Spaten::N,את,pala
391,Schaufel::N,את,pala
392,Gabel::N,מזלג,forquilla
393,Löffel::N,כף,cullera
394,Messer::N,סכין,coltell
395,Nagel::N,מסמר,clau
396,Netz::N,רשת,filat
397,Haken::N,וו,ganxo
398,Haken::N,קרס,ganxo
399,Griff::N,ידית,puny
400,Griff::N,ידית,mànec
401,Schloss::N,מנעול,pany
402,Bild::N,תמונה,imatge
403,Figur::N,פסל,figura
404,Puppe::N,בבה,nina
405,Beutel::N,שק,bossa
406,Bündel::N,צרור,feix
407,Bündel::N,צרור,paquet
408,Tasche::N,שקית,bossa
409,Eimer::N,דלי,galleda
410,Deckel::N,מכסה,tapa
411,Deckel::N,מכסה,tapadora
412,Geschirr::N,כלים,vaixella
413,Sack::N,שק,sac
414,Sack::N,שק,saca
415,Tasse::N,ספל,tassa
416,Topf::N,סיר,pot
417,Topf::N,סיר,olla
418,Kessel::N,קנקן,caldera
419,Essen::N,אכל,àpat
420,Essen::N,אכל,menjada
421,Essen::N,ארוחה,àpat
422,Essen::N,ארוחה,menjada
423,Nahrung::N,הזנה,aliment
424,Nahrung::N,תזונה,aliment
425,Speise::N,מאכל,plat
426,Speise::N,ארוחה,plat
427,Fleisch::N,בשר,carn
428,Getreide::N,דגן,cereals
429,Brei::N,מחית,puré
430,Brot::N,לחם,pa
431,Scheibe::N,עגול,tall
432,Scheibe::N,עגול,llesca
433,Scheibe::N,פרוסה,tall
434,Scheibe::N,פרוסה,llesca
435,Fett::N,שמן,greix
436,Butter::N,חמאה,mantega
437,Öl::N,שמן,oli
438,Salz::N,מלח,sal
439,Suppe::N,מרק,sopa
440,Honig::N,דבש,mel
441,Milch::N,חלב,llet
442,Tee::N,תה,te
443,Leder::N,עור,cuir
444,Wolle::N,צמר,llana
445,Stoff::N,בד,tela
446,Stoff::N,אריג,tela
447,Nadel::N,מחט,agulla
448,Faden::N,חוט,fil
449,Knopf::N,כפתור,botó
450,Knoten::N,קשר,nus
451,Farbe::N,צבע,pintura
452,Kleidung::N,בגדים,roba
453,Kleidung::N,בגדים,vestits
454,Hemd::N,חלצה,camisa
455,Kragen::N,צוארון,coll
456,Ärmel::N,שרוול,màniga
457,Hose::N,מכנסים,pantalōns
458,Gürtel::N,חגורה,cinturó
459,Mütze::N,כובע,gorra
460,Schuh::N,נעל,sabata
461,Stiefel::N,מגף,bota
462,Ring::N,טבעת,anell
463,Band::N,סרט,veta
464,Band::N,סרט,cinta
465,Kamm::N,מסרק,pinta
466,Spiegel::N,מראה,mirāll
467,Riemen::N,רצועה,corretja
468,Schnur::N,חבל,corda
469,Leine::N,מושכות,corretja
470,Decke::N,שמיכה,manta
471,Decke::N,שמיכה,flassada
472,Kissen::N,כרית,coixí
473,Tuch::N,צעיף,mocador
474,Handtuch::N,מגבת,tovallola
475,Kraft::N,כוח,força
476,Stärke::N,און,vigor
477,Gesundheit::N,בריאות,salut
478,Krankheit::N,מחלה,malaltia
479,Schmerz::N,כאב,dolor
480,Wunde::N,פציעה,ferida
481,Fieber::N,חם,febre
482,Arznei::N,תרופה,medicament
483,Brücke::N,גשר,pont
484,Brunnen::N,באר,pou
485,Weide::N,אחו,pastura
486,Weide::N,מרעה,pastura
487,Pfad::N,שביל,senda
488,Pfad::N,שביל,sender
489,Pfad::N,מדרכה,senda
490,Pfad::N,מדרכה,sender
491,Weg::N,דרך,camí
492,Straße::N,כביש,carretera
493,Dorf::N,כפר,poble
494,Stadt::N,עיר,ciutāt
495,Brief::N,מכתב,carta
496,Buch::N,ספר,llibre
497,Buchstabe::N,אות,lletra
498,Zeitung::N,עתון,diāri
499,Leben::N,חיים,vida
500,Tod::N,מות,mort
501,Grab::N,קבר,tomba
502,Kirche::N,כנסיה,església
503,Sünde::N,חטא,pecat
504,Gott::N,אל,déu
505,Arbeiter::N,פועל,obrer
506,Chef::N,ראש,cap
507,Chef::N,מנהל,cap
508,Meister::N,ממחה,mestre
509,Arzt::N,רופא,metge
510,Lehrer::N,מורה,mestre
511,Geld::N,כסף,dinērs
512,Geschäft::N,עסקה,negoci
513,Laden::N,חנות,tenda
514,Laden::N,חנות,botiga
515,Preis::N,מחיר,preu
516,Ware::N,סחורה,mercaderia
517,Nutzen::N,תועלת,profit
518,Reichtum::N,עשר,riquesa
519,Welt::N,עולם,món
520,Land::N,ארץ,país
521,Staat::N,מדינה,estat
522,König::N,מלך,rei
523,Macht::N,כוח,poder
524,Macht::N,כוח,potència
525,Grenze::N,גבול,frontera
526,Krieg::N,מלחמה,guerra
527,Feind::N,אויב,enemic
528,Gewalt::N,אלימות,violència
529,Kampf::N,קרב,lluita
530,Kampf::N,לחימה,lluita
531,Bogen[Waffe]::N,קשת,arc
532,Pfeil::N,חץ,fletxa
533,Gewehr::N,רובה,fusell
534,Gewehr::N,רובה,escopeta
535,Fehler::N,טעות,falta
536,Lüge::N,שקר,mentida
537,Schaden::N,נזק,dany
538,Unglück::N,מזל רע,desgràcia
539,Schuld::N,אשמה,culpa
540,Alter::N,גיל,edat
541,Schluss::N,סיום,fi
542,Schluss::N,סיום,final
543,Zeit::N,זמן,temps
544,Tag::N,יום,dia
545,Morgen::N,בקר,matí
546,Mittag::N,צהרים,migdia
547,Abend::N,ערב,vespre
548,Nacht::N,לילה,nit
549,Woche::N,שבוע,setmana
550,Monat::N,חדש,mes
551,Jahr::N,שנה,any
552,Frühling::N,אביב,primavera
553,Sommer::N,קיץ,estīu
554,Herbst::N,סתו,tardor
555,Winter::N,חרף,hivērn
556,Januar::N,ינואר,gener
557,Februar::N,פברואר,febrer
558,März::N,מרץ,març
559,April::N,אפריל,abril
560,Mai::N,מאי,maig
561,Juni::N,יוני,juny
562,Juli::N,יולי,juliol
563,August::N,אוגוסט,agost
564,September::N,ספטמבר,setembre
565,Oktober::N,אוקטובר,octubre
566,November::N,נובמבר,novembre
567,Dezember::N,דצמבר,desembre
568,Montag::N,יום שני,dilluns
569,Dienstag::N,יום שלישי,dimarts
570,Mittwoch::N,יום רביעי,dimecres
571,Donnerstag::N,יום חמישי,dijous
572,Freitag::N,יום ששי,divendres
573,Samstag::N,יום שבת,dissabte
574,Sonntag::N,יום ראשון,diumenge
575,groß::A,גדול,gros
576,klein::A,קטן,petīt
577,lang::A,ארך,llarg
578,kurz::A,קצר,curt
579,breit::A,רחב,ample
580,schmal::A,צר,estret
581,dicht::A,צפוף,dens
582,dick[Gegenstand]::A,עבה,gruixūt
583,dünn::A,דק,prim
584,fein::A,מעדן,fi
585,fest::A,מוצק,ferm
586,fest::A,מוצק,sòlid
587,flach::A,שטוח,pla
588,glatt::A,חלק,llis
589,hart::A,קשיח,dur
590,weich::A,רך,tou
591,rund::A,עגל,rodó
592,spitz::A,חד,punxegut
593,scharf::A,חד,agut
594,stumpf::A,קהה,rom
595,stumpf::A,קהה,esmussat
596,schwer::A,כבד,pesāt
597,schön::A,יפה,bonīc
598,heiß::A,חם,calēnt
599,warm::A,חם,càlid
600,kalt::A,קר,fred
601,kühl::A,צונן,fresc
602,frisch::A,טרי,fresc
603,feucht::A,לח,humit
604,nass::A,רטוב,mullat
605,trocken::A,יבש,sec
606,voll::A,מלא,ple
607,leer::A,ריק,buit
608,offen::A,פתוח,obert
609,geschlossen::A,סגור,tancat
610,sauber::A,נקי,net
611,schmutzig::A,מלכלך,brut
612,roh::A,חי,cru
613,reif::A,בשל,madur
614,lecker::A,טעים,deliciós
615,süß::A,מתוק,dolç
616,bitter::A,מר,amarg
617,sauer::A,חמוץ,agre
618,hell::A,בהיר,clar
619,dunkel::A,עמום,fosc
620,schwarz::A,שחר,negre
621,weiß::A,לבן,blanc
622,rot::A,אדם,vermēll
623,gelb::A,צהב,groc
624,blau::A,כחל,blau
625,grün::A,ירק,verd
626,grau::A,אפר,gris
627,bunt::A,צבעוני,multicolor
628,billig::A,זול,barat
629,teuer::A,יקר,car
630,wertvoll::A,יקר ערך,preciós
631,blind::A,עור,cec
632,taub::A,חרש,sord
633,kräftig::A,חסן,fort
634,kräftig::A,חסן,vigorós
635,stark::A,חזק,fort
636,schwach::A,חלש,feble
637,fett::A,שמן,gras
638,schlank::A,רזה,esvelt
639,hübsch::A,יפה תאר,maco
640,böse::A,רשע,dolent
641,dumm::A,טפש,ximple
642,dumm::A,טפש,estúpid
643,faul::A,עצלן,gandūl
644,faul::A,עצלן,mandrós
645,fleißig::A,חרוץ,diligēnt
646,geizig::A,קמצן,avar
647,klug::A,נבון,intel·ligent
648,klug::A,פקח,intel·ligent
649,geschickt::A,מימן,hàbil
650,lieb::A,יקר,amat
651,lieb::A,יקר,estimat
652,lieb::A,אהוב,amat
653,lieb::A,אהוב,estimat
654,lustig::A,עליז,alegre
655,sanft::A,עדין,suau
656,hungrig::A,רעב,afamat
657,krank::A,חולה,malālt
658,nackt::A,ערום,nu
659,traurig::A,עצוב,trist
660,lebendig::A,חי,viu
661,gut::A,טוב,bo
662,schlecht::A,גרוע,dolēnt
663,richtig::A,נכון,just
664,richtig::A,נכון,correcte
665,schlimm::A,רע,greu
666,wahr::A,אמתי,vertader
667,wahr::A,אמתי,veritable
668,alt::A,ישן,vell
669,neu::A,חדש,nou
670,ehemalig::A,לשעבר,antic
671,alt[Lebewesen]::A,זקן,vell
672,jung::A,צעיר,jove
673,arm::A,עני,pobre
674,reich::A,עשיר,ric
675,bekannt::A,ידוע,conegut
676,berühmt::A,מפרסם,famós
677,fremd::A,זר,estrany
678,verschieden::A,שונה,diferent
679,nah::A,קרוב,pròxim
680,fern::A,רחוק,llunyà
681,fern::A,רחוק,distant
682,linker::A,שמאלי,esquerre
683,rechter::A,ימין,dret
684,anderer::A,אחר,altre
685,erster::A,ראשון,primer
686,zweiter::A,שני,segon
687,dritter::A,שלישי,tercer
688,letzter::A,אחרון,últim
689,allein::ADV,לבד,sol
690,auf einmal::ADV,בו-זמנית,d'una vegada
691,zusammen::ADV,ביחד,junt
692,lange::ADV,הרבה זמן,molt de temps
693,plötzlich::ADV,לפתע,de cop
694,plötzlich::ADV,לפתע,de sobte
695,plötzlich::ADV,פתאום,de cop
696,plötzlich::ADV,פתאום,de sobte
697,sofort::ADV,מיד,de seguida
698,später::ADV,לאחר זמן,més tard
699,später::ADV,יותר מאחר,més tard
700,jetzt::ADV,עכשיו,ara
701,heute::ADV,היום,avūi
702,morgen::ADV,מחר,demà
703,bald::ADV,בקרוב,aviāt
704,dann::ADV,אחר-כך,després
705,gestern::ADV,אתמול,ahir
706,einst::ADV,לפנים,anteriorment
707,damals::ADV,אז,llavōrs
708,damals::ADV,אז,aleshores
709,danach::ADV,אחר-כך,després
710,vorher::ADV,לפני זה,abāns
711,zuerst::ADV,קדם,primer
712,einmal::ADV,פעם,una vegada
713,manchmal::ADV,לפעמים,de vegades
714,oft::ADV,לעתים קרובות,sovint
715,immer::ADV,תמיד,sempre
716,niemals::ADV,אף פעם,no ... mai
717,hier::ADV,כאן,aquí
718,hierhin::ADV,פה,per aquí
719,von hier::ADV,מפה,des d'aquí
720,dort::ADV,שם,allí
721,dorthin::ADV,שם,hi
722,geradeaus::ADV,ישר,tot dret
723,vorwärts::ADV,קדימה,endavānt
724,rückwärts::ADV,לאחור,endarrera
725,zurück::ADV,בחזרה,darrere
726,zurück::ADV,אחורנית,darrere
727,unten::ADV,למטה,a baix
728,hinab::ADV,למטה,cap avall
729,oben::ADV,מעל,dalt
730,oben::ADV,למעלה,dalt
731,hinauf::ADV,למעלה,cap amunt
732,überall::ADV,בכל מקום,pertot
733,überall::ADV,בכל מקום,per tot arreu
734,nicht::ADV,לא,no
735,ein wenig::ADV,קצת,una mica
736,kaum::ADV,בקשי,a penes
737,sehr::ADV,מאוד,molt
738,so::ADV,כך,així
739,so::ADV,ככה,així
740,noch::ADV,עוד,encara
741,noch::ADV,עדין,encara
742,nur::ADV,רק,només
743,schon::ADV,כבר,ja
744,wieder::ADV,שוב,de nou
745,vergebens::ADV,לריק,en va
746,vergebens::ADV,לשוא,en va
747,vor::PRP,מול,davānt
748,vor::PRP,מול,enfront de
749,hinter::PRP,מאחורי,darrera
750,unter::PRP,מתחת,sota
751,durch::PRP,דרך,per
752,neben::PRP,ליד,al costāt de
753,neben::PRP,על-יד,al costāt de
754,zwischen::PRP,בין,entre
755,wegen::PRP,בשל,a causa de
756,wegen::PRP,בגלל,a causa de
757,dies::PRN,זה,aquest
758,das::PRN,זה,això
759,alles::PRN,הכל,tot
760,ich::PRN,אני,jo
761,du::PRN,את,tu
762,du::PRN,אתה,tu
763,er::PRN,הוא,ell
764,wir::PRN,אנחנו,nosaltres
765,ihr::PRN,לה,vosaltres
766,sie::PRN,הם,ells
767,sie::PRN,הם,elles
768,was::FPRN,מה,què
769,wer::FPRN,מי,qui
770,wo::FADV,איפה,on
771,wohin::FADV,לאן,cap a on
772,wie::FADV,איך,com
773,warum::FADV,למה,per què
774,wieviel::FNUM,כמה,quant
775,eins::NUM,אחד,u
776,zwei::NUM,שתים,dos
777,drei::NUM,שלושה,tres
778,vier::NUM,ארבעה,quatre
779,fünf::NUM,חמשה,cinc
780,sechs::NUM,ששה,sis
781,sieben::NUM,שבעה,set
782,acht::NUM,שמונה,vuit
783,neun::NUM,תשעה,nou
784,zehn::NUM,עשרה,deu
785,elf::NUM,אחת עשרה,onze
786,zwölf::NUM,שתים עשרה,dotze
787,zwanzig::NUM,עשרים,vint
788,dreißig::NUM,שלושים,trenta
789,vierzig::NUM,ארבעים,quaranta
790,fünfzig::NUM,חמשים,cinquanta
791,sechzig::NUM,ששים,seixanta
792,siebzig::NUM,שבעים,setanta
793,achtzig::NUM,שמונים,vuitanta
794,neunzig::NUM,תשעים,noranta
795,hundert::NUM,מאה,cent
796,tausend::NUM,אלף,mil
797,und::CNJ,ו,i
798,oder::CNJ,או,o
799,stehen::V,עמד,estar de peu
800,sitzen::V,ישב,seure
801,liegen::V,שכב,jeure
802,hängen::V,היה תלוי,penjar
803,werden::V,הפך ל,fer-se
804,werden::V,הפך ל,posar-se
805,passieren::V,קרה,succeir
806,beginnen::V,התחיל,iniciar-se
807,enden::V,הסתים,acabar-se
808,enden::V,הסתים,terminar-se
809,wechseln::V,השתנה,canviar
810,aufgehen[Sonne]::V,זרח,sortir
811,untergehen[Sonne]::V,שקע,posar-se
812,scheinen[Sonne]::V,בהק,brillar
813,donnern::V,רעם,tronar
814,wehen::V,נשב,bufar
815,strömen::V,זרם,afluir
816,fließen::V,זרם,fluir
817,sich drehen::V,הסתובב,girar
818,schwanken::V,התנודד,vacil·lar
819,schwingen::V,התנענע,oscil·lar
820,fallen::V,נפל,caure
821,fallen::V,נפל,tombar
822,brennen::V,בער,cremar
823,rauchen::V,עשן,fumejar
824,regnen::V,ירד גשם,ploure
825,gefrieren::V,קפא,gelar-se
826,tauen::V,נמס,fondre's
827,schmelzen::V,התיך,fondre's
