,Concept_ID,fi,uk
251,Kummer::N,murhe,горе
252,Wunsch::N,toive,бажання
253,Wunsch::N,toivomus,бажання
254,Lust::N,himo,бажання
255,Geist::N,henki,дух
256,Gedanke::N,aate,думка
257,Gedanke::N,ajatus,думка
258,Gedächtnis::N,muisti,пам’ять
259,Verstand::N,äly,розум
260,Verstand::N,järki,розум
261,Verstand::N,ymmärrys,розум
262,Sinn::N,merkitys,зміст
263,Sinn::N,merkitys,значення
264,Grund::N,syy,причина
265,Grund::N,peruste,причина
266,Wahrheit::N,tosi,правда
267,Wahrheit::N,totuus,правда
268,Gespräch::N,puhelu,розмова
269,Gespräch::N,keskustelu,розмова
270,Märchen::N,satu,байка
271,Erzählung::N,tarina,повість
272,Erzählung::N,tarina,оповідання
273,Erzählung::N,kertomus,повість
274,Erzählung::N,kertomus,оповідання
275,Nachricht::N,tieto,повідомлення
276,Nachricht::N,ilmoitus,повідомлення
277,Neuigkeit::N,uutinen,новина
278,Name::N,nimi,ім’я
279,Rätsel::N,arvoitus,загадка
280,Rede::N,puhe,промова
281,Sprache::N,kieli,мова
282,Stimme::N,ääni,голос
283,Wort::N,sana,слово
284,Zeichen::N,merkki,знак
285,Ruf::N,kutsu,оклик
286,Lärm::N,melu,шум
287,Lärm::N,hälinä,шум
288,Laut::N,ääni,звук
289,Ton::N,sävel,тон
290,Lied::N,laulu,пісня
291,Ruhe::N,lepo,спокій
292,Ruhe::N,rauha,спокій
293,Leute::N,väki,люди
294,Leute::N,ihmiset,люди
295,Volk::N,kansa,народ
296,Arbeit::N,työ,робота
297,Gast::N,vieras,гість
298,Geschenk::N,lahja,подарунок
299,Spiel::N,peli,гра
300,Spiel::N,leikki,гра
301,Gesellschaft::N,seura,товариство
302,Hilfe::N,apu,допомога
303,Freund::N,ystävä,друг
304,Freund::N,ystävä,приятель
305,Kamerad::N,toveri,товариш
306,Angelegenheit::N,asia,справа
307,Anzahl::N,lukumäärä,число
308,Art::N,laji,рід
309,Stück::N,pala,кусок
310,Stück::N,kappale,кусок
311,Teil::N,osa,частина
312,Hälfte::N,puoli,половина
313,Kreis::N,ympyrä,круг
314,Kreis::N,ympyrä,коло
315,Kreuz::N,risti,хрест
316,Linie::N,viiva,лінія
317,Strich::N,piirto,штрих
318,Abstand::N,väli,проміжок
319,Abstand::N,väljyys,проміжок
320,Entfernung::N,etäisyys,відстань
321,Gegend::N,seutu,місцевість
322,Platz::N,tila,площа
323,Ort::N,kohta,місце
324,Ort::N,paikka,місце
325,Seite::N,sivu,сторона
326,Seite::N,kylki,сторона
327,Mitte::N,keskus,середина
328,Mitte::N,puoliväli,середина
329,Gegenstand::N,kalu,предмет
330,Gegenstand::N,esine,предмет
331,Sache::N,asia,річ
332,Rand::N,ääri,край
333,Rand::N,syrjä,край
334,Kante::N,särmä,ребро
335,Ecke::N,nurkka,ріг
336,Spitze::N,terä,кінчик
337,Spitze::N,kärki,кінчик
338,Ende::N,pää,кінець
339,Ende::N,perä,кінець
340,Loch::N,kolo,діра
341,Loch::N,reikä,діра
342,Winkel::N,kulma,куток
343,Muster::N,kuvio,узор
344,Größe::N,koko,розмір
345,Größe::N,suuruus,розмір
346,Länge::N,pituus,довжина
347,Höhe::N,korkeus,висота
348,Gewicht::N,paino,вага
349,Menge::N,määrä,кількість
350,Haufen::N,kasa,купа
351,Reihe::N,rivi,ряд
352,Boot::N,vene,човен
353,Ruder::N,airo,весло
354,Schlitten::N,reki,сани
355,Schlitten::N,kelkka,сани
356,Ski::N,suksi,лижа
357,Lagerfeuer::N,nuotio,вогнище
358,Last::N,kuorma,тягар
359,Last::N,kuorma,вантаж
360,Gang::N,kulku,хід
361,Gang::N,käynti,хід
362,Schritt::N,askel,крок
363,Norden::N,pohjoinen,північ
364,Süden::N,etelä,південь
365,Westen::N,länsi,захід
366,Osten::N,itä,схід
367,Holz::N,puu,дрова
368,Brett::N,lauta,дошка
369,Platte::N,levy,плита
370,Stütze::N,noja,підпірка
371,Stange::N,tanko,жердина
372,Stock::N,keppi,палиця
373,Stab::N,sauva,палиця
374,Stab::N,seiväs,палиця
375,Rohr::N,putki,труба
376,Haus::N,talo,дім
377,Haus::N,talo,хата
378,Heim::N,koti,житло
379,Ofen::N,uuni,піч
380,Fußboden::N,lattia,підлога
381,Tisch::N,pöytä,стіл
382,Stuhl::N,tuoli,стілець
383,Wiege::N,kehto,колиска
384,Bett::N,sänky,ліжко
385,Bett::N,sänky,постіль
386,Regal::N,hylly,полиця
387,Kiste::N,arkku,ящик
388,Kiste::N,kirstu,ящик
389,Kiste::N,laatikko,ящик
390,Fenster::N,ikkuna,вікно
391,Tür::N,ovi,двері
392,Tor::N,portti,ворота
393,Zaun::N,aita,паркан
394,Zaun::N,aita,огорожа
395,Dach::N,katto,дах
