,Concept_ID,tr,ml
189,Schwan::N,kuğu,അരയന്നം
190,Fisch::N,balık,മത്സ്യം
191,Barsch::N,hani,ഒരിനം മത്സ്യം
192,Barsch::N,levrek,ഒരിനം മത്സ്യം
193,Hecht::N,turnabalığı,ഒരു മത്സ്യം
194,Schlange[Tier]::N,yılan,പാമ്പ്
195,Wurm::N,kurt,വിര
196,Wurm::N,solucan,വിര
197,Spinne::N,örümcek,ചിലന്തി
198,Ameise::N,karınca,ഉറുമ്പ്
199,Laus::N,bit,പേന്
200,Mücke::N,sivrisinek,മശകം
201,Fliege::N,sinek,ഈച്ച
202,Schmetterling::N,kelebek,ചിത്രശലഭം
203,Beere::N,tane,ബെറി
204,Apfel::N,elma,ആപ്പിൾ
205,Pilz::N,mantar,കൂൺ
206,Zwiebel::N,soğan,സവാള
207,Saat::N,ekin,വിത്ത്
208,Korn::N,tane,ധാന്യം
209,Heu::N,kuru ot,വയ്ക്കോൽ
210,Schale::N,kabuk,തൊലി
211,Grube::N,çukur,കുഴി
212,Falle::N,tuzak,കെണി
213,Schlinge::N,ilmik,കുടുക്ക്
214,Spur::N,iz,ചുവട്
215,Asche::N,kül,ചാരം
216,Dreck::N,pislik,അഴുക്ക്
217,Eisen::N,demir,ഇരുമ്പ്
218,Gold::N,altın,സ്വർണ്ണം
219,Silber::N,gümüş,വെള്ളി
220,Kohle::N,kömür,കൽക്കരി
221,Glas::N,cam,ഗ്ലാസ്
222,Lehm::N,balçık,കളിമണ്ണ്
223,Sand::N,kum,മണൽ
224,Mensch::N,insan,മനുഷ്യർ
225,Mann::N,adam,പുരുഷൻ
226,Mann::N,erkek,പുരുഷൻ
227,Frau::N,bayan,സ്ത്രീ
228,Kind::N,çocuk,കുഞ്ഞ്
229,Junge::N,erkek çocuk,ആൺകുട്ടി
230,Mädchen::N,kız,പെൺകുട്ടി
231,Familie::N,aile,കുടുംബം
232,Großvater::N,dede,അപ്പൂപ്പൻ
233,Großvater::N,büyükbaba,അപ്പൂപ്പൻ
234,Großmutter::N,nine,അമ്മുമ്മ
235,Großmutter::N,büyükanne,അമ്മുമ്മ
236,Eltern::N,ebeveyn,മാതാപിതാക്കള്
237,Eltern::N,ana baba,മാതാപിതാക്കള്
238,Vater::N,ata,അച്ഛൻ
239,Vater::N,baba,അച്ഛൻ
240,Mutter::N,ana,അമ്മ
241,Mutter::N,anne,അമ്മ
242,Sohn::N,oğul,മകൻ
243,Tochter::N,kız,മകൾ
244,Tochter::N,kız evlât,മകൾ
245,Bruder::N,abi,ചേട്ടൻ
246,Bruder::N,abi,അനിയൻ
247,Bruder::N,erkek kardeş,ചേട്ടൻ
248,Bruder::N,erkek kardeş,അനിയൻ
249,Schwester::N,abla,ചേച്ചി
250,Schwester::N,abla,അനിയത്തി
251,Schwester::N,kız kardeş,ചേച്ചി
252,Schwester::N,kız kardeş,അനിയത്തി
253,Onkel::N,dayı,അമ്മാവൻ
254,Tante::N,hala,മാമി
255,Tante::N,teyze,മാമി
256,Ehemann::N,koca,ഭർത്താവ്
257,Ehefrau::N,karı,ഭാര്യ
258,Freude::N,neşe,ആഹ്ലാദം
259,Freude::N,sevinç,ആഹ്ലാദം
260,Gelächter::N,gülme,ചിരിയുടെ ശബ്ദം
261,Gelächter::N,kahkaha,ചിരിയുടെ ശബ്ദം
262,Glück::N,mutluluk,സന്തോഷം
263,Glück::N,mutluluk,സന്തുഷ്ടി
264,Kummer::N,dert,ശോകം
265,Kummer::N,keder,ശോകം
266,Wunsch::N,arzu,ആഗ്രഹം
267,Wunsch::N,istek,ആഗ്രഹം
268,Lust::N,arzu,ആഗ്രഹം
269,Lust::N,heves,ആഗ്രഹം
270,Geist::N,tin,ചുറുചുറുക്ക്
271,Gedanke::N,fikir,ചിന്ത
272,Gedanke::N,düşünce,ചിന്ത
273,Gedächtnis::N,bellek,ഓർമ്മശക്തി
274,Verstand::N,zekâ,മനസ്സ്
275,Sinn::N,anlam,അർത്ഥം
276,Grund::N,sebep,കാരണം
277,Wahrheit::N,doğruluk,സത്യം
278,Wahrheit::N,gerçeklik,സത്യം
279,Gespräch::N,görüşme,സല്ലാപം
280,Märchen::N,masal,യക്ഷിക്കഥ
281,Erzählung::N,öykü,കഥ
282,Erzählung::N,hikâye,കഥ
283,Nachricht::N,haber,സന്ദേശം
284,Neuigkeit::N,haber,വാർത്ത
285,Name::N,ad,പേര്
286,Name::N,isim,പേര്
287,Rätsel::N,bilmece,പ്രഹേളിക
288,Rede::N,söylev,സംസാരം
289,Rede::N,konuşma,സംസാരം
290,Sprache::N,dil,ഭാഷ
291,Sprache::N,lisan,ഭാഷ
292,Stimme::N,ses,സ്വരം
293,Wort::N,kelime,വാക്ക്
294,Zeichen::N,işaret,സംജ്ഞ
295,Ruf::N,çağırma,വിളി
296,Lärm::N,şamata,ആരവം
297,Lärm::N,gürültü,ആരവം
298,Laut::N,ses,ശബ്ദം
299,Ton::N,ses,സ്വരഭേദം
300,Lied::N,türkü,പാട്ട്
301,Ruhe::N,sakinlik,നിശ്ചലത
302,Leute::N,halk,ജനങ്ങൾ
303,Leute::N,insanlar,ജനങ്ങൾ
304,Volk::N,ulus,രാഷ്ടം
305,Volk::N,millet,രാഷ്ടം
306,Arbeit::N,iş,ജോലി
307,Arbeit::N,çalışma,ജോലി
308,Gast::N,konuk,അതിലി
309,Gast::N,misafir,അതിലി
310,Geschenk::N,hediye,സമ്മാനം
311,Geschenk::N,armağan,സമ്മാനം
312,Spiel::N,oyun,കളി
313,Gesellschaft::N,çevre,കൂട്ടായ്മ
314,Gesellschaft::N,arkadaşlık,കൂട്ടായ്മ
315,Hilfe::N,yardım,സഹായം
316,Freund::N,dost,സുഹൃത്ത്
317,Freund::N,arkadaş,സുഹൃത്ത്
318,Kamerad::N,arkadaş,കൂട്ടാളി
319,Angelegenheit::N,iş,കാര്യം
320,Angelegenheit::N,husus,കാര്യം
321,Anzahl::N,sayı,എണ്ണം
322,Art::N,çeşit,തരം
323,Stück::N,tane,കഷണം
324,Stück::N,parça,കഷണം
325,Teil::N,kısım,ഭാഗം
326,Hälfte::N,yarı,പകുതി
327,Kreis::N,daire,വൃത്തം
328,Kreuz::N,haç,കുരിശടയാളം
329,Linie::N,hat,വര
330,Linie::N,hat,രേഖ
331,Linie::N,çizgi,വര
332,Linie::N,çizgi,രേഖ
333,Strich::N,çizgi,പക്ഷാഘാതം
334,Abstand::N,aralık,വിടവ്
335,Entfernung::N,mesafe,അകലം
336,Entfernung::N,uzaklık,അകലം
337,Gegend::N,yöre,പ്രദേശം
338,Platz::N,yer,ഇടം
339,Ort::N,yer,സ്ഥലം
340,Seite::N,yan,വശം
341,Seite::N,taraf,വശം
342,Mitte::N,orta,മധ്യസ്ഥാനം
343,Mitte::N,merkez,മധ്യസ്ഥാനം
344,Gegenstand::N,şey,സാധനം
345,Sache::N,iş,വസ്തു
346,Sache::N,şey,വസ്തു
347,Rand::N,kenar,തൊങ്ങൽ
348,Kante::N,kenar,അറ്റം
349,Ecke::N,köşe,മൂല
350,Spitze::N,uç,അഗ്രം
351,Spitze::N,baş,അഗ്രം
352,Ende::N,uç,അവസാനം
353,Loch::N,oyuk,ദ്വാരം
354,Loch::N,delik,ദ്വാരം
355,Winkel::N,köşe,കോൺ
356,Muster::N,örnek,ക്രമം
357,Größe::N,büyüklük,വലുപ്പം
358,Länge::N,uzunluk,നീളം
359,Höhe::N,yükseklik,ഉയരം
360,Gewicht::N,ağırlık,കട്ടി
361,Menge::N,miktar,അളവ്
362,Haufen::N,küme,കൂമ്പാരം
363,Haufen::N,yığın,കൂമ്പാരം
364,Reihe::N,sıra,വരി
365,Boot::N,kayık,ബോട്ട്
366,Boot::N,sandal,ബോട്ട്
367,Ruder::N,kürek,പങ്കായം
368,Schlitten::N,kızak,ഉരുളില്ലാവണ്ടി
369,Ski::N,kayak,ഹിമപാദുകം
370,Lagerfeuer::N,kamp ateşi,തീ
371,Last::N,yük,ഭാരം
372,Gang::N,gidiş,നടത്തം
373,Gang::N,yürüyüş,നടത്തം
374,Schritt::N,adım,ചുവട്
375,Norden::N,kuzey,വടക്ക്
376,Süden::N,güney,തെക്ക്
377,Westen::N,batı,പടിഞ്ഞാറ്
378,Osten::N,doğu,കിഴക്ക്
379,Holz::N,ağaç,തടി
380,Holz::N,tahta,തടി
381,Brett::N,tahta,ബോർഡ്
382,Platte::N,levha,തകിട്
383,Stütze::N,dayak,താങ്ങ്
384,Stütze::N,destek,താങ്ങ്
385,Stange::N,çubuk,കമ്പ്
386,Stock::N,sopa,വടി
387,Stock::N,değnek,വടി
388,Stab::N,sırık,കുറുവടി
389,Stab::N,baston,കുറുവടി
390,Rohr::N,boru,കുഴൽ
391,Haus::N,ev,വീട്
392,Heim::N,ev,വീട്
393,Heim::N,yurt,വീട്
394,Ofen::N,soba,സ്റ്റൌ
395,Fußboden::N,taban,തറ
396,Fußboden::N,döşeme,തറ
397,Tisch::N,masa,മേശ
398,Stuhl::N,iskemle,കസേര
399,Stuhl::N,sandalye,കസേര
400,Wiege::N,beşik,തൊട്ടിൽ
401,Bett::N,yatak,കിടക്ക
402,Regal::N,raf,ഷെൽഫ്
403,Kiste::N,sandık,പെട്ടി
404,Fenster::N,pencere,ജനൽ
405,Tür::N,kapı,വാതിൽ
406,Tor::N,kapı,കവാടം
407,Zaun::N,çit,വേലി
408,Dach::N,dam,മേൽക്കുര
409,Dach::N,çatı,മേൽക്കുര
410,Leiter::N,merdiven,ഏണി
411,Besen::N,süpürge,ചൂല്
412,Spaten::N,bel,തൂമ്പ
413,Schaufel::N,kürek,തൂമ്പ
414,Gabel::N,çatal,മുൾക്കത്തി
415,Löffel::N,kaşık,സ്പൂൺ
416,Messer::N,bıçak,കത്തി
417,Nagel::N,çivi,ആണി
418,Netz::N,ağ,വല
419,Haken::N,çengel,കൊളുത്ത്
420,Griff::N,kulp,കൈപ്പിടി
421,Griff::N,tutamak,കൈപ്പിടി
422,Schloss::N,kilit,പൂട്ട്
423,Bild::N,imaj,ചിത്രം
424,Bild::N,resim,ചിത്രം
425,Figur::N,şekil,കണക്ക്
426,Figur::N,heykel,കണക്ക്
427,Puppe::N,kukla,പാവ
428,Beutel::N,kese,ബാഗ്
429,Beutel::N,torba,ബാഗ്
430,Bündel::N,deste,കെട്ട്
431,Tasche::N,çanta,ബാഗ്
432,Eimer::N,kova,ബക്കറ്റ്
433,Deckel::N,kapak,ഉറ
434,Geschirr::N,kap kacak,പിഞ്ഞാണം
435,Sack::N,torba,ചാക്ക്
436,Tasse::N,fincan,കപ്പ്
437,Topf::N,tencere,പാത്രം
438,Kessel::N,kazan,കെറ്റ്ല്
439,Essen::N,yemek,ആഹാരസമയം
440,Nahrung::N,gıda,ഭക്ഷണം
441,Nahrung::N,besin,ഭക്ഷണം
442,Speise::N,yemek,ഡിഷ്
443,Fleisch::N,et,മാംസം
444,Getreide::N,tahıl,ചോളം
445,Getreide::N,hububat,ചോളം
446,Brei::N,ezme,കഞ്ഞി
447,Brot::N,ekmek,റോട്ടി
448,Scheibe::N,dilim,തുണ്ട്
449,Fett::N,yağ,കൊഴുപ്പ്
450,Butter::N,tereyağı,വെണ്ണ
451,Öl::N,yağ,എണ്ണ
452,Öl::N,akar yağ,എണ്ണ
453,Salz::N,tuz,ഉപ്പ്
454,Suppe::N,çorba,സൂപ്പ്
455,Honig::N,bal,തേൻ
456,Milch::N,süt,പാൽ
457,Tee::N,çay,ചായ
458,Leder::N,deri,തുകൽ
459,Leder::N,meşin,തുകൽ
460,Wolle::N,yün,കമ്പിളി
461,Stoff::N,kumaş,തുണി
462,Nadel::N,iğne,സൂചി
463,Faden::N,tire,നൂല്
464,Faden::N,iplik,നൂല്
465,Knopf::N,düğme,ബട്ടൺ
466,Knoten::N,düğüm,കുരുക്ക്
467,Farbe::N,boya,പെയിൻറ്
468,Kleidung::N,giyim,വസ്ത്രങ്ങൾ
469,Hemd::N,gömlek,ഷർട്ട്
470,Kragen::N,yaka,കുപ്പായക്കഴുത്ത്
471,Ärmel::N,yen,കുപ്പായക്കൈ
472,Ärmel::N,elbise kolu,കുപ്പായക്കൈ
473,Hose::N,pantolon,ട്രൌസർ
474,Gürtel::N,kuşak,ബെൽറ്റ്
475,Mütze::N,bere,തൊപ്പി
476,Mütze::N,kasket,തൊപ്പി
477,Schuh::N,kundura,ഷൂ
478,Schuh::N,ayakkabı,ഷൂ
479,Stiefel::N,çizme,ബൂട്ട്
480,Ring::N,yüzük,മോതിരം
481,Band::N,bağ,റിബൺ
482,Band::N,şerit,റിബൺ
483,Kamm::N,tarak,ചീപ്പ്
484,Spiegel::N,ayna,കണ്ണാടി
485,Riemen::N,kayış,സ്ട്രാപ്പ്
486,Schnur::N,ip,ചരട്
487,Schnur::N,sicim,ചരട്
488,Leine::N,kayış,കെട്ടാനുള്ള തോൽവാർ
489,Decke::N,örtü,പുതപ്പ്
490,Decke::N,yorgan,പുതപ്പ്
491,Kissen::N,yastık,തലയിണ
492,Tuch::N,bez,സ്കാർഫ്
493,Handtuch::N,havlu,തോർത്ത്
494,Kraft::N,güç,ശക്തി
495,Kraft::N,kuvvet,ശക്തി
496,Stärke::N,kuvvet,ശക്തി
497,Gesundheit::N,sağlık,ആരോഗ്യം
498,Krankheit::N,hastalık,അസുഖം
499,Schmerz::N,ağrı,വേദന
500,Schmerz::N,sancı,വേദന
501,Wunde::N,yara,മുറിവ്
502,Fieber::N,ateş,പനി
503,Arznei::N,ilâç,മരുന്ന്
504,Brücke::N,köprü,പാലം
505,Brunnen::N,kuyu,കിണർ
506,Brunnen::N,çeşme,കിണർ
507,Weide::N,otlak,മേച്ചൽ
508,Pfad::N,patika,വഴി
509,Pfad::N,keçiyolu,വഴി
510,Weg::N,yol,വഴി
511,Straße::N,yol,റോഡ്
512,Straße::N,cadde,റോഡ്
513,Dorf::N,köy,ഗ്രാമം
514,Stadt::N,kent,നഗരം
515,Stadt::N,şehir,നഗരം
516,Brief::N,mektup,കത്ത്
517,Buch::N,kitap,പുസ്തകം
518,Buchstabe::N,harf,അക്ഷരം
519,Zeitung::N,gazete,വർത്തമാനപത്രം
520,Leben::N,hayat,ജീവൻ
521,Tod::N,ölüm,മരണം
522,Grab::N,kabir,ശവക്കുഴി
523,Kirche::N,kilise,പള്ളി
524,Sünde::N,günah,പാപം
525,Gott::N,tanrı,ദൈവം
526,Arbeiter::N,işçi,ജോലിക്കാരൻ
527,Chef::N,şef,മേധാവി
528,Chef::N,müdür,മേധാവി
529,Meister::N,usta,യജമാനൻ
530,Arzt::N,hekim,ഡോക്ടർ
531,Arzt::N,doktor,ഡോക്ടർ
532,Lehrer::N,hoca,അധ്യാപകൻ
533,Lehrer::N,öğretmen,അധ്യാപകൻ
534,Geld::N,para,പണം
535,Geschäft::N,ticaret,ബിസിനസ്
536,Laden::N,dükkân,കട
537,Preis::N,fiyat,വില
538,Ware::N,mal,ചരക്ക്
539,Nutzen::N,fayda,ലാഭം
540,Reichtum::N,servet,ധനം
541,Reichtum::N,zenginlik,ധനം
542,Welt::N,dünya,ലോകം
543,Land::N,ülke,രാജ്യം
544,Staat::N,devlet,രാജ്യം
545,König::N,kral,രാജാവ്
546,Macht::N,kudret,അധികാരം
547,Macht::N,iktidar,അധികാരം
548,Grenze::N,had,അതിർത്തി
549,Grenze::N,sınır,അതിർത്തി
550,Krieg::N,savaş,യുദ്ധം
551,Feind::N,düşman,ശത്രു
552,Gewalt::N,zor,അക്രമം
553,Gewalt::N,cebir,അക്രമം
554,Kampf::N,savaş,പോരാട്ടം
555,Bogen[Waffe]::N,yay,വില്ല്
556,Pfeil::N,ok,അമ്പ്
557,Gewehr::N,tüfek,തോക്ക്
558,Fehler::N,hata,പിശക്
559,Fehler::N,yanlış,പിശക്
560,Lüge::N,yalan,കള്ളം
561,Schaden::N,zarar,കേടുപാട്
562,Unglück::N,felâket,ദൌർഭാഗ്യം
563,Unglück::N,talihsizlik,ദൌർഭാഗ്യം
564,Schuld::N,suç,തെറ്റ്
565,Schuld::N,kabahat,തെറ്റ്
566,Alter::N,yaş,വയസ്സ്
567,Schluss::N,son,നിഗമനം
568,Zeit::N,zaman,സമയം
569,Tag::N,gün,ദിവസം
570,Morgen::N,sabah,പ്രഭാതം
571,Mittag::N,öğle,ഉച്ച
572,Abend::N,akşam,സായാഹ്നം
573,Nacht::N,gece,രാത്രി
574,Woche::N,hafta,ആഴ്ച
575,Monat::N,ay,മാസം
576,Jahr::N,yıl,വർഷം
577,Jahr::N,sene,വർഷം
578,Frühling::N,ilkbahar,വസന്തം
579,Sommer::N,yaz,വേനൽ
580,Herbst::N,güz,ശരത്കാലം
581,Herbst::N,sonbahar,ശരത്കാലം
582,Winter::N,kış,ശൈത്യം
583,Januar::N,ocak,ജനുവരി
584,Februar::N,şubat,ഫെബ്രുവരി
585,März::N,mart,മാർച്ച്
586,April::N,nisan,ഏപ്രിൾ മാസം
587,Mai::N,mayıs,മെയ് മാസം
588,Juni::N,haziran,ജൂൺ
589,Juli::N,temmuz,ജൂലൈ
590,August::N,ağustos,ആഗസ്റ്റ്
591,September::N,eylül,സെപ്തംബർ
592,Oktober::N,ekim,ഒക്ടോബർ
593,November::N,kasım,നവംബർ
594,Dezember::N,aralık,ഡിസംബർ
595,Montag::N,pazartesi,തിങ്കളാഴ്ച
596,Dienstag::N,salı,ചൊവ്വ
597,Mittwoch::N,çarşamba,ബുധനാഴ്ച
598,Donnerstag::N,perşembe,വ്യാഴാഴ്ച
599,Freitag::N,cuma,വെള്ളിയാഴ്ച
600,Samstag::N,cumartesi,ശനിയാഴ്ച
601,Sonntag::N,pazar,ഞായറാഴ്ച
602,groß::A,büyük,വലിയ
603,klein::A,ufak,ചെറിയ
604,klein::A,küçük,ചെറിയ
605,lang::A,uzun,നീണ്ട
606,kurz::A,kısa,ഹ്രസ്വമായ
607,breit::A,enli,വിശാലമായ
608,breit::A,geniş,വിശാലമായ
609,schmal::A,dar,ഇടുങ്ങിയ
610,dicht::A,sık,നിബിഡമായ
611,dicht::A,yoğun,നിബിഡമായ
612,dick[Gegenstand]::A,kalın,തടിച്ച
613,dick[Gegenstand]::A,iri,തടിച്ച
614,dünn::A,ince,മെലിഞ്ഞ
615,fein::A,ince,നേർത്ത
616,fein::A,narin,നേർത്ത
617,fest::A,sabit,ഉറപ്പുള്ള
618,fest::A,sağlam,ഉറപ്പുള്ള
619,flach::A,düz,പരന്ന
620,flach::A,yassı,പരന്ന
621,glatt::A,düz,മിനുസമുള്ള
622,hart::A,katı,കട്ടിയുള്ള
623,weich::A,yumuşak,മൃദുവായ
624,rund::A,yuvarlak,വട്ടത്തിലുള്ള
625,spitz::A,sivri,മുനയുള്ള
626,scharf::A,keskin,മൂർച്ചയുള്ള
627,stumpf::A,kör,തുറന്നടിക്കുന്ന
628,schwer::A,ağır,ഭാരമുള്ള
629,schön::A,güzel,മനോഹരമായ
630,heiß::A,kızgın,ചൂടുള്ള
631,warm::A,sıcak,ചൂടുള്ള
632,kalt::A,soğuk,തണുത്ത
633,kühl::A,serin,തണുപ്പുള്ള
634,frisch::A,taze,ശുദ്ധമായ
635,feucht::A,nemli,ഈറനുള്ള
636,feucht::A,rutubetli,ഈറനുള്ള
637,nass::A,yaş,നനഞ്ഞ
638,nass::A,ıslak,നനഞ്ഞ
639,trocken::A,kuru,വരണ്ട
640,voll::A,dolu,നിറയെ
641,voll::A,dolmuş,നിറയെ
642,leer::A,boş,ഒഴിഞ്ഞ
643,offen::A,açık,തുറന്ന
644,geschlossen::A,kapalı,അടച്ച
645,sauber::A,pak,വൃത്തിയുള്ള
646,sauber::A,temiz,വൃത്തിയുള്ള
647,schmutzig::A,pis,അഴുക്കുനിറഞ്ഞ
648,schmutzig::A,kirli,അഴുക്കുനിറഞ്ഞ
649,roh::A,çiğ,അസംസ്കൃതമായ
