,Concept_ID,ab,it
200,Schmetterling::N,аҧарҧалыкь,farfalla
201,Beere::N,аргуц,bacca
202,Apfel::N,аҵəа,mela
203,Pilz::N,акəкəбаа,fungo
204,Zwiebel::N,аџьымшьы,cipolla
205,Zwiebel::N,аџьымшьхы,cipolla
206,Saat::N,ажəла,semente
207,Korn::N,арыц,grano
208,Heu::N,аҭəа,fieno
209,Schale::N,ацəа,buccia
210,Grube::N,ажра,cava
211,Grube::N,ажра,fossa
212,Grube::N,атыша,cava
213,Grube::N,атыша,fossa
214,Falle::N,арыҧҟьа,tràppola
215,Schlinge::N,аҟəараҟəантə,laccio
216,Spur::N,ашьҭа,traccia
217,Asche::N,ахəа,cenere
218,Dreck::N,аҳəынҵəа,fango
219,Dreck::N,аҟьамсар,fango
220,Eisen::N,аиха,ferro
221,Gold::N,ахьы,oro
222,Silber::N,аразны,argento
223,Kohle::N,арацəа,carbone
224,Glas::N,асаркьа,vetro
225,Lehm::N,анышəаҧшь,argilla
226,Sand::N,аҧслымӡ,arena
227,Sand::N,аҧслымӡ,sabbia
228,Mensch::N,ауаҩы,uomo
229,Mensch::N,ауаҩы,èssere umano
230,Mann::N,ахаҵа,uomo
231,Frau::N,аҧҳəыс,donna
232,Kind::N,ахəыҷы,bambino
233,Junge::N,аҷкəын,ragazzo
234,Junge::N,ахаҵарҧыс,ragazzo
235,Mädchen::N,аӡӷаб,ragazza
236,Familie::N,аҭаацəа,famiglia
237,Großvater::N,абду,nonno
238,Großmutter::N,анду,nonna
239,Eltern::N,ани аби,genitori
240,Vater::N,аб,padre
241,Mutter::N,ан,madre
242,Sohn::N,аҧа,figlio
243,Tochter::N,аҧҳа,figlia
244,Bruder::N,аиашьа,fratello
245,Schwester::N,Аҳəшьа,sorella
246,Onkel::N,абиашьа,zio
247,Onkel::N,аншьа,zio
248,Tante::N,абиаҳəшьа,zia
249,Ehemann::N,ахаҵа,marito
250,Ehemann::N,аҧшəма,marito
251,Ehefrau::N,аҧҳəыс,moglie
252,Freude::N,агəырӷьара,gioia
253,Freude::N,агəырӷьара,piacere
254,Gelächter::N,ачча,risata
255,Gelächter::N,аччара,risata
256,Glück::N,аразҟы,felicità
257,Kummer::N,агəырҩа,afflizione
258,Wunsch::N,агəхəтəы,desiderio
259,Wunsch::N,аҭахра,desiderio
260,Lust::N,агəазыҳəара,voglia
261,Geist::N,аҧсы,mente
262,Geist::N,аҧсы,spìrito
263,Gedanke::N,ахəыцырҭа,idea
264,Gedanke::N,ахəыцырҭа,pensiero
265,Gedächtnis::N,агəынкылара,memoria
266,Verstand::N,ахшыҩ,intelletto
267,Sinn::N,аҵакы,senso
268,Sinn::N,аҵакы,significato
269,Grund::N,амзыз,causa
270,Grund::N,амзыз,motivo
271,Grund::N,амзыз,ragione
272,Wahrheit::N,аиаша,verità
273,Gespräch::N,аиҿцәажәара,discorso
274,Gespräch::N,аиҿцәажәара,conversazione
275,Märchen::N,алакə,fiaba
276,Märchen::N,алакə,fàvola
277,Erzählung::N,ажәабжь,racconto
278,Erzählung::N,ажәабжь,narrazione
279,Nachricht::N,адырраҭара,messaggio
280,Neuigkeit::N,ажәабжь ҿыц,notizia
281,Name::N,ахьӡ,nome
282,Rätsel::N,ацуфара,indovinello
283,Rede::N,ажәа,discorso
284,Sprache::N,абызшəа,lingua
285,Sprache::N,абызшəа,linguaggio
286,Stimme::N,абжьы,voce
287,Wort::N,ажәа,parola
288,Zeichen::N,адырга,segno
289,Zeichen::N,адырга,segnale
290,Ruf::N,аҿҭы,chiamata
291,Lärm::N,ашьҭыбжь,chiasso
292,Lärm::N,ашьҭыбжь,strèpito
293,Laut::N,ашьҭыбжь,suono
294,Ton::N,атон,tono
295,Lied::N,ашəа,canto
296,Lied::N,ашəа,canzone
297,Ruhe::N,аҭынчра,calma
298,Ruhe::N,аҭынчра,tranquillità
299,Leute::N,ауаа,gente
300,Volk::N,ажəлар,pòpolo
301,Arbeit::N,аусура,lavoro
302,Gast::N,асас,òspite
303,Gast::N,асас,invitato
304,Geschenk::N,аҳамҭа,regalo
305,Geschenk::N,аҿанҵа,regalo
306,Spiel::N,ахəмарра,gioco
307,Gesellschaft::N,агəыҧ,compagnìa
308,Hilfe::N,ацхыраара,aiuto
309,Hilfe::N,ацхыраара,soccorso
310,Freund::N,аҩыза,amico
311,Kamerad::N,Аҧхнагьла,camerata
312,Angelegenheit::N,аус,affare
313,Angelegenheit::N,аус,faccenda
314,Anzahl::N,ахыҧхьаӡара,nùmero
315,Anzahl::N,ахыҧхьаӡара,quantità
316,Art::N,ахкы,tipo
317,Art::N,ахкы,specie
318,Stück::N,аҽыҭ,pezzo
319,Teil::N,ахəҭа,parte
320,Hälfte::N,абжа,metà
321,Kreis::N,агьагьа,cìrcolo
322,Kreuz::N,аџьар,croce
323,Linie::N,аицтәар,lìnea
324,Strich::N,ацəаҳəа,tratto
325,Abstand::N,абжьара,distanza
326,Entfernung::N,абжьара,distanza
327,Entfernung::N,абжьара,lontananza
328,Gegend::N,аҭыҧ,regione
329,Platz::N,аҭыҧ,posto
330,Platz::N,аҭыҧ,spazio
331,Ort::N,аҭыҧ,luogo
332,Ort::N,аҭыҧ,località
333,Seite::N,аган,lato
334,Seite::N,аган,parte
335,Mitte::N,агəҭа,mezzo
336,Mitte::N,агəҭа,centro
337,Gegenstand::N,амаҭəар,oggetto
338,Rand::N,аҵкар,orlo
339,Rand::N,аҵкар,bordo
340,Kante::N,авардым,spìgolo
341,Ecke::N,акəакь,canto
342,Spitze::N,аҧынҵа,punta
343,Ende::N,анаӡара,capo
344,Ende::N,анаӡара,estremità
345,Loch::N,акылҵəара,buco
346,Winkel::N,агҿаҩра,àngolo
347,Winkel::N,акəындхə,àngolo
348,Winkel::N,акəакь,àngolo
349,Muster::N,аҟҟа,disegno
350,Größe::N,изаҟароу,taglia
351,Größe::N,изаҟароу,grandezza
352,Länge::N,аура,lunghezza
353,Höhe::N,агылара,altezza
354,Gewicht::N,акапан,peso
355,Haufen::N,ачаҟəа,cùmulo
356,Haufen::N,ачаҟəа,mucchio
357,Reihe::N,ацəаҳəа,fila
358,Boot::N,анышь,barca
359,Boot::N,анышь,battello
360,Ruder::N,ажəҩа,remo
361,Schlitten::N,ашəаҩауардын,slitta
362,Ski::N,ашəаҩа,sci
363,Ski::N,ашьахаха,sci
364,Lagerfeuer::N,еиқуу амца,falò
365,Lagerfeuer::N,еиқуу амца,fuoco di bivacco
366,Last::N,ахьанҭара,càrico
367,Gang::N,аныҟəара,andata
368,Schritt::N,ашьаҿа,passo
369,Norden::N,аҩада,nord
370,Norden::N,аҩада,settentrione
371,Süden::N,алада,sud
372,Süden::N,алада,meridione
373,Westen::N,амраҭашəара,òvest
374,Westen::N,амраҭашəара,occidente
375,Osten::N,амрагылара,est
376,Osten::N,амрагылара,oriente
377,Holz::N,амҿымаҭəахə,legno
378,Brett::N,аӷəы,asse
379,Brett::N,аӷəы,tàvola
380,Platte::N,ахаҳәцәы,lastra
381,Platte::N,ахаҳәцәы,piastra
382,Stütze::N,аҵаргəа,supporto
383,Stütze::N,агəышьаҟа,supporto
384,Stange::N,акьат,sbarra
385,Stange::N,акьат,pèrtica
386,Stock::N,алаба,verga
387,Stock::N,алаба,bastone
388,Stock::N,алаба,bacchetta
389,Stab::N,акьат,asta
390,Rohr::N,абыкь,tubo
391,Haus::N,аҩны,casa
392,Heim::N,аҭаацəа,casa
393,Ofen::N,аҳақə,stufa
394,Ofen::N,ауаџьаҟ,stufa
395,Ofen::N,афрына,stufa
396,Fußboden::N,адашьма,pavimento
397,Tisch::N,аишәа,tàvolo
398,Stuhl::N,аҟəардə,sedia
399,Wiege::N,агара,culla
400,Bett::N,акаруаҭ,letto
401,Regal::N,акыӷəра,scaffale
402,Kiste::N,аидчаҧала,cassa
403,Fenster::N,аҧенџьыр,finestra
404,Tür::N,ашə,porta
405,Tor::N,агəашə,portone
406,Zaun::N,аанда,recinto
407,Dach::N,ахыб,tetto
408,Leiter::N,амардуан,scala
409,Leiter::N,амардуан,scala a pioli
410,Besen::N,аҧссага,scopa
411,Spaten::N,ажыга,vanga
412,Schaufel::N,аҭəарӷəы,pala
413,Gabel::N,ачқьыҧ,forchetta
414,Löffel::N,амҳаҵə,cucchiaio
415,Messer::N,аҳəызба,coltello
416,Nagel::N,аҵəымӷ,chiodo
417,Netz::N,акаҭа,rete
418,Haken::N,аҵəаҳə,uncino
419,Griff::N,амаа,mànico
420,Griff::N,амаа,maniglia
421,Schloss::N,асаҧаҭ,serratura
422,Bild::N,асахьа,quadro
423,Bild::N,асахьа,immàgine
424,Figur::N,афигура,figura
425,Puppe::N,акьанџьа,bàmbola
426,Beutel::N,асакь,borsa
427,Beutel::N,асакь,sacchetto
428,Bündel::N,аҿаҳəара,fascio
429,Bündel::N,аҿаҳəара,fagotto
430,Tasche::N,арҭмаҟ,borsa
431,Eimer::N,аведра,secchio
432,Deckel::N,ахҩа,coperchio
433,Geschirr::N,ачысмаҭəа,stoviglie
434,Sack::N,асакь,sacco
435,Tasse::N,аҵəца,tazza
436,Topf::N,акаструлиа,pèntola
437,Kessel::N,ачуан,paiolo
438,Kessel::N,ачуан,calderone
439,Nahrung::N,афатə,cibo
440,Nahrung::N,афатə,alimento
441,Speise::N,афатə,piatto
442,Fleisch::N,акəац,carne
443,Getreide::N,ачакуа,cereali
444,Brei::N,ақашь,purè
445,Brei::N,ақашь,pappa
446,Brot::N,ача,pane
447,Scheibe::N,аҽыҭ,fetta
448,Scheibe::N,аҽыҭ,trancia
449,Scheibe::N,аҿаҵа,fetta
450,Scheibe::N,аҿаҵа,trancia
451,Fett::N,ашша,grasso
452,Butter::N,ахəша,burro
453,Öl::N,азеҭ,olio
454,Salz::N,аџьыка,sale
455,Suppe::N,асуҧ,zuppa
456,Suppe::N,асуҧ,minestra
457,Honig::N,ацха,miele
458,Milch::N,ахш,latte
459,Tee::N,ачаи,tè
460,Leder::N,ацəа,pelle
461,Wolle::N,аласа,lana
462,Stoff::N,Аба,panno
463,Stoff::N,Аба,tessuto
464,Nadel::N,агəыр,ago
465,Faden::N,арахəыц,filo
466,Knopf::N,аҳəынҵəра,bottone
467,Knoten::N,аиқəҳəала,nodo
468,Farbe::N,ашəыга,pittura
469,Kleidung::N,амаҭəа,vestiti
470,Kleidung::N,амаҭəа,vestiario
471,Hemd::N,акьаҿ,camicia
472,Kragen::N,ахəда,bàvero
473,Kragen::N,ахəда,colletto
474,Ärmel::N,амаӷра,mànica
475,Hose::N,аиқəа,calzoni
476,Gürtel::N,амаҟа,cintura
477,Mütze::N,ахылҧа,berretto
478,Schuh::N,аимаа,scarpa
479,Stiefel::N,амагə,stivale
480,Ring::N,амацəаз,anello
481,Band::N,алента,nastro
482,Band::N,алента,fettuccia
483,Kamm::N,ахҳəа,pèttine
484,Spiegel::N,асаркьа,specchio
485,Riemen::N,аа,cinghia
486,Schnur::N,ашаха,corda
487,Leine::N,аҕура,guinzaglio
488,Decke::N,ахыза,coperta
489,Kissen::N,ахчы,cuscino
490,Kissen::N,ахчы,guanciale
491,Tuch::N,акасы,fazzoletto
492,Handtuch::N,ампахьшьы,asciugamano
493,Kraft::N,амч,forza
494,Stärke::N,амч,forza
495,Stärke::N,амч,vigore
496,Stärke::N,амч,fortezza
497,Gesundheit::N,агəабзиара,salute
498,Krankheit::N,ачымазара,malattìa
499,Schmerz::N,ахьаа,dolore
500,Wunde::N,ахəра,piaga
501,Wunde::N,ахəра,ferita
502,Fieber::N,ашоура,febbre
503,Arznei::N,ахəшə,fàrmaco
504,Arznei::N,ахəшə,medicina
505,Brücke::N,ацҳа,ponte
506,Brunnen::N,аҵыџь,pozzo
507,Weide::N,аҳəырҭа,pàscolo
508,Pfad::N,амхəасҭа,sentiero
509,Weg::N,амҩа,via
510,Weg::N,амҩа,cammino
511,Straße::N,амҩа,strada
512,Dorf::N,ақыҭа,paese
513,Dorf::N,ақыҭа,villaggio
514,Stadt::N,ақалақь,città
515,Brief::N,ашəҟəы,lèttera
516,Buch::N,ашəҟəы,libro
517,Buchstabe::N,анбан,lèttera
518,Zeitung::N,агазеҭ,giornale
519,Leben::N,аҧсҭазаара,vita
520,Tod::N,аҧсра,morte
521,Grab::N,анышəынҭра,tomba
522,Grab::N,анышəынҭра,sepolcro
523,Kirche::N,ауахəама,chiesa
524,Sünde::N,агəнаҳа,peccato
525,Gott::N,анцəа,dio
526,Arbeiter::N,аусуҩ,operaio
527,Arbeiter::N,аусуҩ,lavoratore
528,Chef::N,Аиҳабы,capo
529,Chef::N,Аиҳабы,padrone
530,Meister::N,аҟаза,mastro
531,Meister::N,аҟаза,maestro
532,Arzt::N,аҳақьым,mèdico
533,Arzt::N,аҳақьым,dottore
534,Lehrer::N,арҵаҩы,professore
535,Geld::N,аҧара,soldi
536,Geld::N,аҧара,denaro
537,Laden::N,амагазин,negozio
538,Preis::N,ахə,prezzo
539,Ware::N,атауар,merce
540,Nutzen::N,ақьар,ùtile
541,Nutzen::N,ақьар,profitto
542,Reichtum::N,абеиара,ricchezza
543,Welt::N,адунеи,mondo
544,Land::N,атəыла,paese
545,Staat::N,аҳəынҭқарра,Stato
546,König::N,акрал,re
547,Macht::N,амчра,potere
548,Grenze::N,аҳəаа,confine
549,Grenze::N,аҳəаа,frontiera
550,Krieg::N,аибашьра,guerra
551,Feind::N,Аҕа,nemico
552,Gewalt::N,ақəымчра,violenza
553,Kampf::N,ақəҧара,lotta
554,Bogen[Waffe]::N,ахыц,arco
555,Pfeil::N,ахəымпал,freccia
556,Gewehr::N,ашəақь,fucile
557,Fehler::N,агха,errore
558,Fehler::N,агха,sbaglio
559,Lüge::N,амц,bugìa
560,Lüge::N,амц,menzogna
561,Schaden::N,аҧырхага,danno
562,Unglück::N,арыцҳара,sfortuna
563,Schuld::N,ахара,colpa
564,Alter::N,ақəра,età
565,Schluss::N,анҵəамҭа,fine
566,Zeit::N,аамта,tempo
567,Tag::N,амш,giorno
568,Tag::N,амш,giornata
569,Morgen::N,ашара,mattina
570,Morgen::N,ашьыбжь,mattina
571,Mittag::N,шьыбжьон,mezzogiorno
572,Abend::N,ахəылҧаз,sera
573,Abend::N,ахəылҧаз,serata
574,Abend::N,ахəлбыҽха,sera
575,Abend::N,ахəлбыҽха,serata
576,Nacht::N,аҵх,notte
577,Woche::N,амчыбжь,settimana
578,Frühling::N,ааҕын,primavera
579,Sommer::N,аҧхын,estate
580,Herbst::N,ҭагалан,autunno
581,Herbst::N,хкаарачан,autunno
582,Winter::N,аӡын,inverno
583,Januar::N,ианвар,gennaio
584,Februar::N,февраль,febbraio
585,März::N,март,marzo
586,April::N,апрель,aprile
587,Mai::N,маи,maggio
588,Juni::N,иуун,giugno
589,Juli::N,иууль,luglio
590,August::N,август,agosto
591,September::N,сентиабр,settembre
592,Oktober::N,октиабр,ottobre
593,November::N,ноиабр,novembre
594,Dezember::N,декабр,dicembre
595,Montag::N,ашəахьа,lunedì
596,Dienstag::N,аҩаша,martedì
597,Mittwoch::N,ахаша,mercoledì
598,Donnerstag::N,аҧшьаша,giovedì
599,Freitag::N,ахəаша,venerdì
600,Samstag::N,асабша,sàbato
601,Sonntag::N,амҽыша,domenica
602,groß::A,аду,grande
603,klein::A,амаҷ,pìccolo
604,lang::A,ахəхəа,lungo
605,kurz::A,акьаҿ,corto
606,breit::A,аиужь,largo
607,breit::A,аиҵых,largo
608,schmal::A,аҭшəа,stretto
609,dicht::A,аилач,denso
610,dick[Gegenstand]::A,ажəпа,spesso
611,fein::A,апа,fine
612,fein::A,апа,delicato
613,fein::A,аҵаӷа,fine
614,fein::A,аҵаӷа,delicato
615,fein::A,аӡа,fine
616,fein::A,аӡа,delicato
617,fest::A,аҟаца,sodo
618,fest::A,аҟаца,fisso
619,fest::A,аӷəӷəаҟаца,sodo
620,fest::A,аӷəӷəаҟаца,fisso
621,flach::A,ақəаҟьа,piano
622,flach::A,ақəаҟьа,piatto
623,flach::A,аҧаҟьа,piano
624,flach::A,аҧаҟьа,piatto
625,glatt::A,аимаҩзы,liscio
626,hart::A,акьакьа,duro
627,weich::A,атата,molle
628,rund::A,акəмпыл,rotondo
629,spitz::A,аҵар,aguzzo
630,spitz::A,аҵар,appuntito
631,scharf::A,аҵар,affilato
632,scharf::A,аҵар,tagliente
633,stumpf::A,ацагə,smussato
634,schwer::A,ахьанҭа,pesante
635,schön::A,аҧшӡа,bello
636,heiß::A,ашы,caldo
637,heiß::A,ашы,bollente
638,warm::A,аҧха,caldo
639,kalt::A,ахьшəашəа,freddo
640,kühl::A,ахьшəашəа,fresco
641,kühl::A,ицәыхьшәашәоу,fresco
642,frisch::A,цқьа,fresco
643,feucht::A,ацəаак,ùmido
644,nass::A,абааӡа,bagnato
645,trocken::A,Аба,secco
646,trocken::A,аҩа,secco
647,voll::A,азна,pieno
648,leer::A,аҭацəы,vuoto
649,offen::A,аарта,aperto
650,geschlossen::A,ихҩоу,chiuso
651,geschlossen::A,иаркыу,chiuso
652,sauber::A,ацқьа,netto
653,sauber::A,ацқьа,pulito
654,schmutzig::A,аҟьашь,sporco
655,schmutzig::A,аҟьашь,sùdicio
656,reif::A,Арҭ,maturo
657,reif::A,аҟала,maturo
658,reif::A,иҟалахьоу,maturo
659,lecker::A,ахаа,ghiotto
660,lecker::A,ахаа,squisito
661,süß::A,азла,dolce
662,bitter::A,аша,amaro
663,sauer::A,аҵəҵəы,aspro
664,sauer::A,аҵəҵəы,acerbo
665,hell::A,алаша,chiaro
666,dunkel::A,алашьца,buio
667,dunkel::A,алашьца,oscuro
668,schwarz::A,аиқуаҵәа,nero
669,weiß::A,ашкəакəа,bianco
670,rot::A,аҟаҧшь,rosso
671,gelb::A,аҩеижь,giallo
672,blau::A,аҽҵәа,blu
673,blau::A,аҽҵәа,azzurro
674,grün::A,ашьацҧшҭəала,verde
675,grün::A,аеҵəа,verde
676,grau::A,ацəыш,grigio
677,bunt::A,Аилыҕраа,variopinto
678,bunt::A,аҕраҷкəын,variopinto
679,billig::A,амариа,a buon prezzo
680,billig::A,амариа,a buon mercato
681,teuer::A,амҩан,caro
682,wertvoll::A,кыр иаҕсоу,prezioso
683,wertvoll::A,акыр иаҕсоу,prezioso
684,blind::A,алашə,cieco
685,taub::A,адагəа,sordo
686,kräftig::A,аӷəӷəа,forte
687,kräftig::A,аӷəӷəа,robusto
688,stark::A,абаҟа,forte
689,stark::A,абаҟа,vigoroso
690,schwach::A,акəада,dèbole
691,fett::A,аҧсыла,grasso
692,schlank::A,акала,snello
693,schlank::A,акала,slanciato
694,schlank::A,акьалантар,snello
695,schlank::A,акьалантар,slanciato
696,schlank::A,аиҿартə,snello
697,schlank::A,аиҿартə,slanciato
698,hübsch::A,аҧшӡа,bello
699,hübsch::A,аҧшӡа,carino
700,böse::A,абааҧсы,cattivo
701,dumm::A,агаӡа,stùpido
702,faul::A,аашьа,pigro
703,fleißig::A,иҟубҷоу,diligente
704,geizig::A,акы,avaro
705,geizig::A,акаҷбеи,avaro
706,geizig::A,аҟəџьыр,avaro
707,klug::A,аҟəыш,intelligente
708,klug::A,аҟəыӷа,intelligente
709,geschickt::A,напҟазала,àbile
710,lieb::A,алашара,caro
711,lustig::A,алах-ҿых,gaio
712,lustig::A,алах-ҿых,allegro
713,lustig::A,игурҕьаччо,gaio
714,lustig::A,игурҕьаччо,allegro
715,lustig::A,агурҕьа,gaio
716,lustig::A,агурҕьа,allegro
717,lustig::A,агурҿыхага,gaio
718,lustig::A,агурҿыхага,allegro
719,sanft::A,атата,dolce
720,sanft::A,аҟəымшəышə,dolce
721,sanft::A,ақьыҧш,dolce
722,hungrig::A,амлашь,affamato
723,krank::A,ачымазаҩ,malato
724,krank::A,ачымазаҩ,infermo
725,nackt::A,аҟьантаз,nudo
726,traurig::A,алахьеиқəҵага,triste
727,lebendig::A,абза,vivo
728,gut::A,абзиа,buono
729,schlecht::A,-хəарҭам,cattivo
730,richtig::A,иашоу,giusto
731,schlimm::A,абааҧсы,grave
732,wahr::A,агəҭылса,vero
733,wahr::A,абзиаҵəҟьа,vero
734,alt::A,Ажə,vecchio
735,neu::A,аҿыц,nuovo
