,Concept_ID,uk,fa
73,Wasser::N,вода,آب
74,Stein::N,камінь,سنگ
75,Boden::N,ґрунт,زمین
76,Erde::N,земля,خاک
77,Erde::N,земля,زمین
78,Staub::N,пил,گرد
79,Staub::N,пил,غبار
80,Rauch::N,дим,دود
81,Funke::N,іскра,جرقه
82,Feuer::N,вогонь,آتش
83,Licht::N,світло,نور
84,Licht::N,світло,روشنی
85,Schatten::N,тінь,سایه
86,Wetter::N,погода,هوا
87,Nebel::N,туман,مه
88,Wolke::N,хмара,ابر
89,Regen::N,дощ,باران
90,Schnee::N,сніг,برف
91,Eis::N,лід,یخ
92,Frost::N,мороз,یخبندان
93,Kälte::N,холод,سرما
94,Hitze::N,жар,گرما
95,Hitze::N,жар,حرارت
96,Raureif::N,іній,برف ریزه
97,Regenbogen::N,райдуга,رنگین‌کمان
98,Donner::N,грім,رعد
99,Strömung::N,струмина,جریان
100,Tropfen::N,крапля,قطره
101,Schaum::N,піна,کف
102,Schmutz::N,бруд,گل
103,Schmutz::N,бруд,کثافت
104,See::N,озеро,دریاچه
105,Sumpf::N,драговина,مرداب
106,Sumpf::N,драговина,باتلاق
107,Moor::N,болото,باتلاق
108,Wiese::N,луг,چمن
109,Wiese::N,лука,چمن
110,Wald::N,ліс,جنگل
111,Hügel::N,горб,تل
112,Hügel::N,горб,تپه
113,Anhöhe::N,височина,بلندی
114,Berg::N,гора,کوه
115,Gipfel::N,вершина,قله
116,Höhle::N,печера,غار
117,Abhang::N,схил,سرازیری
118,Quelle::N,джерело,چشمه
119,Bach::N,струмок,نهر
120,Fluss::N,річка,رود
121,Ufer::N,берег,ساحل
122,Ufer::N,берег,کرانه
123,Küste::N,узбережжя,ساحل
124,Festland::N,суша,خشکی
125,Meer::N,море,دریا
126,Bucht::N,бухта,خلیج
127,Bucht::N,затока,خلیج
128,Insel::N,острів,جزیره
129,Blume::N,квітка,گل
130,Gras::N,трава,علف
131,Wurzel::N,корінь,ریشه
132,Baum::N,дерево,درخت
133,Stamm::N,стовбур,تنه
134,Rinde::N,кора,توژ
135,Rinde::N,кора,پوست
136,Ast::N,гілка,شاخه
137,Zweig::N,галузь,شاخه
138,Blatt::N,лист,برگ
139,Birke::N,береза,غان
140,Kiefer[Baum]::N,сосна,کاج
141,Weide[Baum]::N,верба,بید
142,Tanne::N,ялиця,صنوبر
143,Horn::N,ріг,شاخ
144,Feder::N,перо,پر
145,Fell::N,хутро,خز
146,Flügel::N,крило,پر
147,Flügel::N,крило,بال
148,Klaue::N,кіготь,چنگ
149,Klaue::N,кіготь,پنجه
150,Kralle::N,лапа,پنجه
151,Schwanz::N,хвіст,دم
152,Ei::N,яйце,تخم
153,Nest::N,гніздо,لانه
154,Bau::N,лігво,بنا
155,Bau::N,лігво,ساختمان
156,Tier::N,тварина,هیوان
157,Herde::N,стадо,رمه
158,Kuh::N,корова,گاو
159,Bulle::N,бик,گاو نر
160,Bulle::N,бугай,گاو نر
161,Pferd::N,кінь,اسب
162,Schaf::N,вівця,گوسفند
163,Schwein::N,свиня,خوک
164,Hund::N,собака,سگ
165,Katze::N,кішка,گربه
166,Bär::N,ведмідь,خرس
167,Eichhörnchen::N,білка,سنجاب
168,Elch::N,лось,گوزن شمالی
169,Fuchs::N,лисиця,روباه
170,Hase::N,заєць,خرگوش
171,Maus::N,миша,موش
172,Wolf::N,вовк,گرگ
173,Vogel::N,птах,پرنده
174,Schwarm::N,зграя,دسته
175,Huhn::N,курка,مرغ
176,Hahn::N,півень,خروس
177,Gans::N,гуска,غاز
178,Adler::N,орел,عقاب
179,Ente::N,качка,اردک
180,Ente::N,качка,مرغابی
181,Eule::N,сова,جغد
182,Kranich::N,журавель,درنا
183,Krähe::N,ворона,زاغ
184,Krähe::N,ворона,کلاغ
185,Kuckuck::N,зозуля,فاخته
186,Schwan::N,лебідь,قو
187,Fisch::N,риба,ماهی
188,Barsch::N,окунь,ماهی خاردار
189,Hecht::N,щука,اردک ماهی
190,Schlange[Tier]::N,змія,مار
191,Wurm::N,черв’як,کرم
192,Spinne::N,павук,عنکبوت
193,Ameise::N,мурашка,مورچه
194,Laus::N,воша,شپش
195,Mücke::N,комар,پشه
196,Fliege::N,муха,مگس
197,Schmetterling::N,метелик,پروانه
198,Beere::N,ягода,گیله
199,Apfel::N,яблуко,سیب
200,Pilz::N,гриб,قارچ
201,Zwiebel::N,цибуля,پیاز
202,Saat::N,сім’я,بذر
203,Korn::N,зерно,تخم
204,Korn::N,зерно,دانه
205,Heu::N,сіно,علف خشک
206,Schale::N,шкірка,پوست
207,Grube::N,яма,گودال
208,Falle::N,пастка,دام
209,Schlinge::N,петля,حلقه
210,Spur::N,слід,رد
211,Asche::N,зола,خاکستر
212,Asche::N,попіл,خاکستر
213,Dreck::N,бруд,کثافت
214,Eisen::N,залізо,آهن
215,Gold::N,золото,زر
216,Gold::N,золото,طلا
217,Silber::N,срібло,نقره
218,Kohle::N,вугілля,زغال
219,Glas::N,скло,شیشه
220,Lehm::N,глина,گل
221,Sand::N,пісок,شن
222,Sand::N,пісок,ماسه
223,Mensch::N,людина,آدم
224,Mensch::N,людина,انسان
225,Mann::N,чоловік,مرد
226,Frau::N,жінка,زن
227,Kind::N,дитина,بچه
228,Kind::N,дитина,کودک
229,Junge::N,хлопець,پسر
230,Mädchen::N,дівчина,دختر
231,Familie::N,сім’я,فامیل
232,Familie::N,сім’я,خانواده
233,Familie::N,родина,فامیل
234,Familie::N,родина,خانواده
235,Großvater::N,дідусь,پدربزرگ
236,Großmutter::N,бабуся,مادر‌بزرگ
237,Eltern::N,батьки,والدین
238,Eltern::N,батьки,پدر‌و‌مادر
239,Vater::N,батько,پدر
240,Mutter::N,мати,مادر
241,Sohn::N,син,پسر
242,Tochter::N,дочка,دختر
243,Bruder::N,брат,برادر
244,Schwester::N,сестра,خواهر
245,Onkel::N,дядько,عمو
246,Onkel::N,дядько,دایی
247,Tante::N,тітка,عمه
248,Tante::N,тітка,خاله
249,Ehemann::N,чоловік,همسر
250,Ehefrau::N,жінка,همسر
251,Ehefrau::N,дружина,همسر
252,Freude::N,радощі,شادی
253,Gelächter::N,сміх,خنده
254,Gelächter::N,сміх,قاه‌قاه
255,Glück::N,щастя,اقبال
256,Kummer::N,горе,غم
257,Kummer::N,горе,غصه
258,Wunsch::N,бажання,آرزو
259,Lust::N,бажання,هوس
260,Geist::N,дух,روح
261,Gedanke::N,думка,فکر
262,Gedächtnis::N,пам’ять,حافظه
263,Verstand::N,розум,هوش
264,Sinn::N,зміст,معنا
265,Sinn::N,зміст,مفهوم
266,Sinn::N,значення,معنا
267,Sinn::N,значення,مفهوم
268,Grund::N,причина,سبب
269,Grund::N,причина,دلیل
270,Wahrheit::N,правда,حقیقت
271,Gespräch::N,розмова,صحبت
272,Gespräch::N,розмова,گفتگو
273,Märchen::N,байка,قصه
274,Märchen::N,байка,افسانه
275,Erzählung::N,повість,داستان
276,Erzählung::N,оповідання,داستان
277,Nachricht::N,повідомлення,خبر
278,Neuigkeit::N,новина,خبر تازه
279,Name::N,ім’я,اسم
280,Rätsel::N,загадка,معما
281,Rede::N,промова,سخن
282,Sprache::N,мова,زبان
283,Stimme::N,голос,صدا
284,Wort::N,слово,کلمه
285,Zeichen::N,знак,نشان
286,Zeichen::N,знак,علامت
287,Ruf::N,оклик,صدا
288,Lärm::N,шум,هیاهو
289,Laut::N,звук,صدا
290,Ton::N,тон,آهنگ
291,Lied::N,пісня,آواز
292,Lied::N,пісня,ترانه
293,Ruhe::N,спокій,آرامش
294,Leute::N,люди,مردم
295,Volk::N,народ,خلق
296,Arbeit::N,робота,کار
297,Gast::N,гість,مهمان
298,Geschenk::N,подарунок,هدیه
299,Spiel::N,гра,بازی
300,Gesellschaft::N,товариство,جمعیت
301,Hilfe::N,допомога,کمک
302,Freund::N,друг,دوست
303,Freund::N,приятель,دوست
304,Kamerad::N,товариш,رفیق
305,Angelegenheit::N,справа,امر
306,Angelegenheit::N,справа,قضیه
307,Anzahl::N,число,عده
308,Anzahl::N,число,شمار
309,Art::N,рід,نوع
310,Stück::N,кусок,تکه
311,Stück::N,кусок,قطعه
312,Teil::N,частина,بخش
313,Teil::N,частина,قسمت
314,Hälfte::N,половина,نیم
315,Kreis::N,круг,حلقه
316,Kreis::N,круг,دایره
317,Kreis::N,коло,حلقه
318,Kreis::N,коло,دایره
319,Kreuz::N,хрест,صلیب
320,Linie::N,лінія,خط
321,Linie::N,лінія,سطر
322,Strich::N,штрих,خط
323,Abstand::N,проміжок,فاصله
324,Entfernung::N,відстань,مسافت
325,Gegend::N,місцевість,منطقه
326,Platz::N,площа,گنجایش
327,Ort::N,місце,جا
328,Ort::N,місце,محل
329,Ort::N,місце,مکان
330,Seite::N,сторона,طرف
331,Mitte::N,середина,وسط
332,Mitte::N,середина,میان
333,Gegenstand::N,предмет,چیز
334,Sache::N,річ,چیز
335,Rand::N,край,کنار
336,Rand::N,край,حاشیه
337,Kante::N,ребро,لبه
338,Ecke::N,ріг,گوشه
339,Spitze::N,кінчик,سر
340,Spitze::N,кінчик,نوک
341,Ende::N,кінець,ته
342,Ende::N,кінець,آخر
343,Loch::N,діра,سوراخ
344,Winkel::N,куток,کنج
345,Muster::N,узор,نقش
346,Größe::N,розмір,قد
347,Größe::N,розмір,بزرگی
348,Länge::N,довжина,طول
349,Höhe::N,висота,بلندی
350,Gewicht::N,вага,وزن
351,Menge::N,кількість,مقدار
352,Menge::N,кількість,اندازه
353,Haufen::N,купа,توده
354,Reihe::N,ряд,ردیف
355,Boot::N,човен,قایق
356,Ruder::N,весло,پارو
357,Schlitten::N,сани,سورتمه
358,Ski::N,лижа,اسکی
359,Lagerfeuer::N,вогнище,آتش
360,Last::N,тягар,بار
361,Last::N,тягар,سنگینی
362,Last::N,вантаж,بار
363,Last::N,вантаж,سنگینی
364,Gang::N,хід,راه رفتن
365,Schritt::N,крок,قدم
366,Norden::N,північ,شمال
367,Süden::N,південь,جنوب
368,Westen::N,захід,غرب
369,Osten::N,схід,شرق
370,Holz::N,дрова,چوب
371,Brett::N,дошка,تخته
372,Platte::N,плита,صفحه
373,Stütze::N,підпірка,تکیه
374,Stange::N,жердина,میله
375,Stock::N,палиця,چوب
376,Stab::N,палиця,عصا
377,Rohr::N,труба,لوله
378,Haus::N,дім,منزل
379,Haus::N,хата,منزل
380,Heim::N,житло,خانه
381,Heim::N,житло,کاشانه
382,Ofen::N,піч,بخاری
383,Fußboden::N,підлога,کف اتاق
384,Tisch::N,стіл,میز
385,Stuhl::N,стілець,صندلی
386,Wiege::N,колиска,گهواره
387,Bett::N,ліжко,تختخواب
388,Bett::N,постіль,تختخواب
389,Regal::N,полиця,قفسه
390,Kiste::N,ящик,صندوق
391,Fenster::N,вікно,پنجره
392,Tür::N,двері,در
393,Tür::N,двері,درب
394,Tor::N,ворота,دروازه
395,Zaun::N,паркан,حصار
396,Zaun::N,огорожа,حصار
397,Dach::N,дах,بام
398,Leiter::N,драбина,نردبان
399,Besen::N,мітла,جارو
400,Spaten::N,заступ,بیل
401,Schaufel::N,совок,بیل
402,Schaufel::N,совок,پارو
403,Schaufel::N,лопата,بیل
404,Schaufel::N,лопата,پارو
405,Gabel::N,виделка,چنگال
406,Löffel::N,ложка,قاشق
407,Messer::N,ніж,کارد
408,Nagel::N,цвях,میخ
409,Netz::N,сіть,تور
410,Netz::N,сіть,شبکه
411,Haken::N,крюк,قلاب
412,Griff::N,ручка,دسته
413,Griff::N,держак,دسته
414,Schloss::N,замок,قفل
415,Bild::N,картина,عکس
416,Bild::N,картина,تصویر
417,Figur::N,фігура,تندیس
418,Puppe::N,лялька,عروسک
419,Beutel::N,мішечок,کیسه
420,Beutel::N,торбинка,کیسه
421,Bündel::N,в’язка,بسته
422,Tasche::N,сумка,کیف
423,Eimer::N,відро,سطل
424,Deckel::N,кришка,در
425,Geschirr::N,посуд,ظرف
426,Sack::N,мішок,گونی
427,Tasse::N,чашка,فنجان
428,Topf::N,горщик,دیگ
429,Topf::N,горщик,قابلمه
430,Kessel::N,котел,دیگ
431,Essen::N,їжа,خوراک
432,Nahrung::N,харч,غذا
433,Speise::N,страва,خوراک
434,Fleisch::N,м’ясо,گوشت
435,Getreide::N,хліб,غله
436,Getreide::N,збіжжя,غله
437,Brei::N,каша,فرنی
438,Brei::N,каша,حریره
439,Brot::N,хліб,نان
440,Scheibe::N,скибочка,قاچ
441,Scheibe::N,скибочка,لزگه
442,Fett::N,жир,چربی
443,Butter::N,масло,کره
444,Öl::N,олія,روغن
445,Salz::N,сіль,نمک
446,Suppe::N,суп,آش
447,Suppe::N,суп,سوپ
448,Honig::N,мед,عسل
449,Milch::N,молоко,شیر
450,Tee::N,чай,چای
451,Leder::N,шкіра,چرم
452,Wolle::N,шерсть,پشم
453,Stoff::N,тканина,پارچه
454,Nadel::N,голка,سوزن
455,Faden::N,нитка,نخ
456,Knopf::N,ґудзик,دکمه
457,Knoten::N,вузол,گره
458,Farbe::N,фарба,رنگ
459,Kleidung::N,одяг,لباس
460,Kleidung::N,одяг,پوشاک
461,Kleidung::N,убрання,لباس
462,Kleidung::N,убрання,پوشاک
463,Hemd::N,сорочка,پیراهن
464,Kragen::N,комір,یقه
465,Ärmel::N,рукав,آستین
466,Hose::N,брюки,شلوار
467,Gürtel::N,пояс,کمر‌بند
468,Mütze::N,шапка,کلاه
469,Schuh::N,ботинок,کفش
470,Stiefel::N,чобіт,چکمه
471,Ring::N,кільце,حلقه
472,Ring::N,кільце,انگشتر
473,Band::N,стрічка,نوار
474,Band::N,стрічка,روبان
475,Kamm::N,гребінець,شانه
476,Spiegel::N,дзеркало,آینه
477,Riemen::N,ремінь,تسمه
478,Schnur::N,вірьовка,ریسمان
479,Leine::N,шворка,قلاده
480,Decke::N,ковдра,پتو
481,Kissen::N,подушка,بالش
482,Tuch::N,хустка,شال
483,Handtuch::N,рушник,حوله
484,Kraft::N,сила,نیرو
485,Stärke::N,сила,زور
486,Gesundheit::N,здоров’я,سلامتی
487,Gesundheit::N,здоров’я,تندرستی
488,Krankheit::N,хвороба,بیماری
489,Schmerz::N,біль,درد
490,Wunde::N,рана,زخم
491,Fieber::N,гарячка,تب
492,Arznei::N,ліки,دارو
493,Brücke::N,міст,پل
494,Brunnen::N,колодязь,چاه
495,Weide::N,пасовище,چراگاه
496,Pfad::N,стежка,راه
497,Weg::N,шлях,راه
498,Weg::N,шлях,طریق
499,Weg::N,дорога,راه
500,Weg::N,дорога,طریق
501,Straße::N,вулиця,راه
502,Straße::N,вулиця,جاده
503,Dorf::N,село,ده
504,Dorf::N,село,روستا
505,Stadt::N,місто,شهر
506,Brief::N,лист,نامه
507,Buch::N,книга,کتاب
508,Buch::N,книжка,کتاب
509,Buchstabe::N,буква,حرف
510,Buchstabe::N,літера,حرف
511,Zeitung::N,газета,روزنامه
512,Leben::N,життя,عمر
513,Leben::N,життя,زندگی
514,Tod::N,смерть,مرگ
515,Grab::N,могила,گور
516,Grab::N,могила,مزار
517,Kirche::N,церква,کلیسا
518,Sünde::N,гріх,بزه
519,Sünde::N,гріх,گناه
520,Gott::N,бог,خدا
521,Arbeiter::N,робітник,کارگر
522,Chef::N,хазяїн,رئیس
523,Meister::N,умілець,استاد
524,Arzt::N,лікар,پزشک
525,Lehrer::N,вчитель,معلم
526,Lehrer::N,вчитель,آموزگار
527,Geld::N,гроші,پول
528,Geschäft::N,заняття,کار
529,Geschäft::N,заняття,بیزنس
530,Laden::N,магазин,دکان
531,Laden::N,магазин,مغازه
532,Laden::N,крамниця,دکان
533,Laden::N,крамниця,مغازه
534,Preis::N,ціна,بها
535,Preis::N,ціна,قیمت
536,Ware::N,товар,جنس
537,Ware::N,товар,کالا
538,Nutzen::N,вигода,مزیت
539,Nutzen::N,вигода,امتیاز
540,Nutzen::N,користь,مزیت
541,Nutzen::N,користь,امتیاز
542,Reichtum::N,багатство,مال
543,Reichtum::N,багатство,ثروت
544,Welt::N,світ,دنیا
545,Land::N,країна,کشور
546,Land::N,країна,مملکت
547,Staat::N,держава,دولت
548,König::N,король,شاه
549,König::N,король,پادشاه
550,Macht::N,влада,قدرت
551,Macht::N,влада,اختیار
552,Grenze::N,кордон,مرز
553,Krieg::N,війна,جنگ
554,Feind::N,ворог,دشمن
555,Gewalt::N,насильство,زور
556,Gewalt::N,насильство,خشونت
557,Kampf::N,бій,نبرد
558,Kampf::N,бій,مبارزه
559,Kampf::N,боротьба,نبرد
560,Kampf::N,боротьба,مبارزه
561,Bogen[Waffe]::N,лук,کمان
562,Pfeil::N,стріла,تیر
563,Gewehr::N,рушниця,تفنگ
564,Gewehr::N,гвинтівка,تفنگ
565,Fehler::N,помилка,غلط
566,Fehler::N,помилка,اشتباه
567,Lüge::N,брехня,دروغ
568,Schaden::N,шкода,آسیب
569,Schaden::N,шкода,خسارت
570,Schaden::N,збиток,آسیب
571,Schaden::N,збиток,خسارت
572,Unglück::N,нещастя,بلا
573,Schuld::N,провина,گناه
574,Schuld::N,провина,تقصیر
575,Alter::N,вік,سن
576,Alter::N,вік,عمر
577,Alter::N,літа,سن
578,Alter::N,літа,عمر
579,Schluss::N,кінець,انتها
580,Zeit::N,час,وقت
581,Zeit::N,час,زمان
582,Tag::N,день,روز
583,Morgen::N,ранок,صبح
584,Mittag::N,південь,ظهر
585,Abend::N,вечір,شب
586,Abend::N,вечір,عصر
587,Nacht::N,ніч,شب
588,Woche::N,тиждень,هفته
589,Monat::N,місяць,ماه
590,Jahr::N,рік,سال
591,Frühling::N,весна,بهار
592,Sommer::N,літо,تابستان
593,Herbst::N,осінь,پاییز
594,Winter::N,зима,زمستان
595,Januar::N,січень,ژانویه
596,Februar::N,лютий,فوریه
597,März::N,березень,مارس
598,April::N,квітень,آوریل
599,Mai::N,травень,مه
600,Juni::N,червень,ژوئن
601,Juli::N,липень,ژویه
602,August::N,серпень,اوت
603,September::N,вересень,سپتامبر
604,Oktober::N,жовтень,اکتبر
605,November::N,листопад,نوامبر
606,Dezember::N,грудень,دسامبر
607,Montag::N,понеділок,دو‌شنبه
608,Dienstag::N,вівторок,سه‌شنبه
609,Mittwoch::N,середа,چهار‌شنبه
610,Donnerstag::N,четвер,پنج شنبه
611,Freitag::N,п’ятниця,جمعه
612,Samstag::N,субота,شنبه
613,Sonntag::N,неділя,یکشنبه
614,groß::A,великий,بزرگ
615,klein::A,малий,کوچک
616,klein::A,маленький,کوچک
617,lang::A,довгий,بلند
618,kurz::A,короткий,کوتاه
619,breit::A,широкий,پهن
620,schmal::A,вузький,تنگ
621,schmal::A,вузький,نازک
622,dicht::A,густий,چگال
623,dicht::A,густий,انبوه
624,dick[Gegenstand]::A,товстий,ضخیم
625,dünn::A,тонкий,نازک
626,fein::A,дрібний,ریز
627,fein::A,дрібний,باریک
628,fest::A,міцний,محکم
629,flach::A,плоский,صاف
630,flach::A,плоский,مسطح
631,glatt::A,рівний,لیز
632,glatt::A,гладенький,لیز
633,hart::A,твердий,سفت
634,weich::A,м’який,نرم
635,weich::A,м’який,ملایم
636,rund::A,круглий,گرد
637,spitz::A,гострокінцевий,تیز
638,spitz::A,гострокінцевий,نوک‌تیز
639,scharf::A,гострий,تیز
640,scharf::A,гострий,برنده
641,stumpf::A,тупий,کند
642,schwer::A,важкий,سنگین
643,schön::A,вродливий,زیبا
644,heiß::A,жаркий,داغ
645,heiß::A,гарячий,داغ
646,warm::A,теплий,گرم
647,kalt::A,холодний,سرد
648,kühl::A,прохолодний,خنک
649,frisch::A,свіжий,تازه
650,feucht::A,вогкий,مرطوب
651,nass::A,мокрий,تر
652,nass::A,мокрий,خیش
653,trocken::A,сухий,خشک
654,voll::A,повний,پر
655,leer::A,пустий,خالی
656,offen::A,відкритий,باز
657,geschlossen::A,закритий,بسته
658,geschlossen::A,зачинений,بسته
659,sauber::A,чистий,پاک
660,sauber::A,чистий,تمیز
661,sauber::A,охайний,پاک
662,sauber::A,охайний,تمیز
663,schmutzig::A,брудний,کثیف
664,schmutzig::A,брудний,آلوده
665,roh::A,сирий,خام
666,reif::A,зрілий,رسیده
667,lecker::A,смачний,لذیذ
668,lecker::A,смачний,خوشمزه
669,süß::A,солодкий,شیرین
670,bitter::A,гіркий,تلخ
671,sauer::A,кислий,ترش
672,hell::A,світлий,روشن
673,dunkel::A,темний,تاریک
674,schwarz::A,чорний,سیاه
675,weiß::A,сивий,سفید
676,rot::A,червоний,سرخ
677,rot::A,червоний,قرمز
678,gelb::A,жовтий,زرد
679,blau::A,синій,آبی
680,grün::A,зелений,سبز
681,grau::A,сірий,طوسی
682,grau::A,сірий,خاکستری
683,bunt::A,барвистий,رنگارنگ
684,billig::A,дешевий,ارزان
685,teuer::A,дорогий,گران
686,wertvoll::A,цінний,قیمتی
687,wertvoll::A,цінний,گرانبها
688,blind::A,сліпий,کور
689,blind::A,сліпий,نابینا
690,taub::A,глухий,کر
691,taub::A,глухий,ناشنوا
692,kräftig::A,могутній,قوی
693,stark::A,сильний,قوی
694,stark::A,сильний,نیرومند
695,schwach::A,слабкий,ضعیف
696,fett::A,жирний,چرب
697,fett::A,товстий,چرب
698,schlank::A,тонкий,باریک‌اندام
699,schlank::A,стрункий,باریک‌اندام
700,hübsch::A,чарівний,قشنگ
701,hübsch::A,чарівний,خوشگل
702,böse::A,злий,بد
703,böse::A,лихий,بد
704,dumm::A,дурний,احمق
705,faul::A,ледачий,لش
706,faul::A,ледачий,تنبل
707,fleißig::A,старанний,زرنگ
708,geizig::A,скупий,خسیس
709,klug::A,мудрий,عاقل
710,klug::A,мудрий,باهوش
711,klug::A,розумний,عاقل
712,klug::A,розумний,باهوش
713,geschickt::A,умілий,ماهر
714,lieb::A,милий,عزیز
715,lustig::A,веселий,شاد
716,lustig::A,веселий,خوشحال
717,sanft::A,лагідний,لطیف
718,hungrig::A,голодний,گرسنه
719,krank::A,слабий,مریض
720,krank::A,слабий,بیمار
721,nackt::A,голий,لخت
722,nackt::A,голий,برهنه
723,traurig::A,сумний,غمگین
724,lebendig::A,живий,زنده
725,gut::A,добрий,خوب
726,schlecht::A,поганий,بد
727,schlecht::A,кепський,بد
728,richtig::A,правильний,درست
729,schlimm::A,бридкий,وخيم
730,wahr::A,справжній,درست
731,wahr::A,справжній,حقیقی
732,alt::A,старий,کهنه
733,neu::A,новий,نو
734,ehemalig::A,колишній,قبلی
735,alt[Lebewesen]::A,старий,پیر
736,jung::A,молодий,جوان
737,arm::A,бідний,فقیر
738,reich::A,багатий,پولدار
739,reich::A,багатий,ثروتمند
740,bekannt::A,знайомий,آشنا
741,bekannt::A,знайомий,معلوم
742,berühmt::A,славетний,مشهور
743,fremd::A,чужий,خارجی
744,fremd::A,чужий,بیگانه
745,verschieden::A,різний,مختلف
746,verschieden::A,різний,متفاوت
747,nah::A,близький,نزدیک
748,fern::A,далекий,دور
749,linker::A,лівий,چپ
750,rechter::A,правий,راست
751,anderer::A,інакший,دیگر
752,erster::A,перший,اول
753,zweiter::A,другий,دوم
754,dritter::A,третій,سوم
755,letzter::A,останній,آخر
756,allein::ADV,сам,تنها
757,allein::ADV,один,تنها
758,auf einmal::ADV,відразу,همزمان
759,zusammen::ADV,разом,باهم
760,zusammen::ADV,спільно,باهم
761,lange::ADV,довго,مدت‌ها
762,lange::ADV,довго,مدت زیادی
763,plötzlich::ADV,раптом,ناگهان
764,sofort::ADV,зараз,فوراً
765,später::ADV,пізніше,بعدها
766,jetzt::ADV,тепер,حالا
767,jetzt::ADV,тепер,اکنون
768,heute::ADV,сьогодні,امروز
769,morgen::ADV,завтра,فردا
770,bald::ADV,незабаром,زود
771,bald::ADV,незабаром,بزودی
772,dann::ADV,потім,سپس
773,dann::ADV,потім,آنوقت
774,gestern::ADV,вчора,دیروز
775,einst::ADV,колись,وقتی
776,einst::ADV,колись,زمانی
777,damals::ADV,тоді,آنوقت
778,damals::ADV,тоді,آنزمان
779,danach::ADV,згодом,بعد
780,vorher::ADV,раніше,قبلاً
781,zuerst::ADV,спершу,اول
782,zuerst::ADV,спершу,ابتداء
783,zuerst::ADV,спочатку,اول
784,zuerst::ADV,спочатку,ابتداء
785,einmal::ADV,один раз,یکدفعه
786,manchmal::ADV,іноді,گاهی
787,manchmal::ADV,іноді,بعضی اوقات
788,manchmal::ADV,інколи,گاهی
789,manchmal::ADV,інколи,بعضی اوقات
790,oft::ADV,часто,اغلب
791,immer::ADV,завжди,همیشه
792,niemals::ADV,ніколи,هرگز
793,hier::ADV,тут,اینجا
794,hierhin::ADV,сюди,به اینجا
795,von hier::ADV,звідси,از اینجا
796,dort::ADV,там,آنجا
797,dorthin::ADV,туди,به آنجا
798,geradeaus::ADV,прямо,راست
799,vorwärts::ADV,вперед,جلو
800,vorwärts::ADV,вперед,به پیش
801,rückwärts::ADV,назад,عقب
802,zurück::ADV,назад,پس
803,zurück::ADV,назад,عقب
804,zurück::ADV,назад,بالعکس
805,unten::ADV,внизу,زیر
806,unten::ADV,внизу,پایین
807,hinab::ADV,вниз,به پایین
808,oben::ADV,вгорі,بالا
809,hinauf::ADV,вгору,به بالا
810,überall::ADV,скрізь,همه‌جا
811,nicht::ADV,не,نه
812,ein wenig::ADV,трохи,کمی
813,ein wenig::ADV,небагато,کمی
814,kaum::ADV,ледве,به سختی
