,Concept_ID,la,he
141,Ei::N,ovum,ביצה
142,Nest::N,nidus,קן
143,Bau::N,cavum,מחלה
144,Bau::N,latibulum,מחלה
145,Tier::N,bestia,חיה
146,Herde::N,grex,עדר
147,Kuh::N,vacca,פרה
148,Bulle::N,taurus,פר
149,Pferd::N,equus,סוס
150,Schaf::N,ovis,כבשה
151,Schwein::N,sus,חזיר
152,Schwein::N,porcus,חזיר
153,Hund::N,canis,כלב
154,Katze::N,felis,חתול
155,Bär::N,ursus,דב
156,Eichhörnchen::N,sciurus,סנאי
157,Elch::N,alces,דישון
158,Fuchs::N,vulpes,שועל
159,Hase::N,lepus,ארנב
160,Maus::N,mus,עכבר
161,Wolf::N,lupus,זאב
162,Vogel::N,avis,צפור
163,Schwarm::N,examen,נחיל
164,Schwarm::N,examen,להקה
165,Huhn::N,gallina,תרנגלת
166,Hahn::N,gallus,תרנגול
167,Gans::N,anser,אוז
168,Adler::N,aquila,עיט
169,Ente::N,anas,ברוז
170,Eule::N,ulula,ינשוף
171,Eule::N,noctua,ינשוף
172,Kranich::N,grus,עגור
173,Kranich::N,grus,כרוכיה
174,Krähe::N,cornix,עורב
175,Kuckuck::N,cuculus,קוקיה
176,Schwan::N,olor,ברבור
177,Schwan::N,cycnus,ברבור
178,Fisch::N,piscis,דג
179,Barsch::N,perca,אוקונוס
180,Hecht::N,esox,זאב הים
181,Schlange[Tier]::N,serpens,נחש
182,Wurm::N,vermis,תולעת
183,Spinne::N,aranea,עכביש
184,Ameise::N,formica,נמלה
185,Laus::N,pediculus,כנה
186,Mücke::N,culex,יתוש
187,Fliege::N,musca,זבוב
188,Schmetterling::N,papilio,פרפר
189,Beere::N,baca,ענבה
190,Apfel::N,malum,תפוח
191,Pilz::N,fungus,פטריה
192,Zwiebel::N,cepa,בצל
193,Saat::N,seges,זרעים
194,Korn::N,granum,גרעין
195,Heu::N,faenum,חציר
196,Schale::N,putamen,קלפה
197,Grube::N,fovea,בור
198,Grube::N,fovea,שוחה
199,Falle::N,pedica,מלכדת
200,Schlinge::N,laqueus,לולאה
201,Spur::N,vestigium,עקבה
202,Asche::N,cinis,אפר
203,Dreck::N,lutum,זהמה
204,Eisen::N,ferrum,ברזל
205,Gold::N,aurum,זהב
206,Silber::N,argentum,כסף
207,Kohle::N,carbo,פחם
208,Glas::N,vitrum,זכוכית
209,Lehm::N,lutum,חרסית
210,Sand::N,arena,חול
211,Mensch::N,homo,אדם
212,Mann::N,vir,איש
213,Mann::N,vir,גבר
214,Frau::N,mulier,אשה
215,Frau::N,mulier,גברת
216,Kind::N,puer,ילד
217,Kind::N,infans,ילד
218,Junge::N,puer,ילד
219,Mädchen::N,puella,נערה
220,Familie::N,familia,משפחה
221,Großvater::N,avus,סבא
222,Großmutter::N,avia,סבתא
223,Eltern::N,parentes,הורים
224,Vater::N,pater,אב
225,Mutter::N,mater,אם
226,Sohn::N,filius,בן
227,Tochter::N,filia,בת
228,Bruder::N,frater,אח
229,Schwester::N,soror,אחות
230,Onkel::N,patruus,דוד
231,Onkel::N,avunculus,דוד
232,Tante::N,amita,דודה
233,Ehemann::N,maritus,איש
234,Ehemann::N,maritus,בעל
235,Ehefrau::N,uxor,אשה
236,Freude::N,gaudium,שמחה
237,Freude::N,laetitia,שמחה
238,Gelächter::N,risus,צחוק
239,Glück::N,felicitas,אשר
240,Kummer::N,aegritudo,יגון
241,Kummer::N,aegritudo,עגמה
242,Wunsch::N,voluntas,אחול
243,Wunsch::N,voluntas,משאלה
244,Wunsch::N,desiderium,אחול
245,Wunsch::N,desiderium,משאלה
246,Lust::N,libido,חשק
247,Lust::N,libido,תשוקה
248,Lust::N,voluptas,חשק
249,Lust::N,voluptas,תשוקה
250,Geist::N,mens,רוח
251,Geist::N,animus,רוח
252,Gedanke::N,sententia,מחשבה
253,Gedächtnis::N,memoria,זכרון
254,Verstand::N,ratio,שכל
255,Verstand::N,ingenium,שכל
256,Sinn::N,sensus,מובן
257,Sinn::N,sensus,משמעות
258,Grund::N,causa,סבה
259,Wahrheit::N,veritas,אמת
260,Gespräch::N,sermo,דיון
261,Märchen::N,fabula,אגדה
262,Erzählung::N,fabula,ספור
263,Erzählung::N,narratio,ספור
264,Nachricht::N,nuntius,ידיעה
265,Neuigkeit::N,novitas,חדשה
266,Name::N,nomen,שם
267,Rätsel::N,aenigma,תעלומה
268,Rede::N,oratio,נאום
269,Sprache::N,lingua,לשון
270,Stimme::N,vox,קול
271,Wort::N,verbum,מלה
272,Wort::N,vocabulum,מלה
273,Zeichen::N,signum,סימן
274,Ruf::N,clamor,קריאה
275,Lärm::N,strepitus,רעש
276,Laut::N,sonus,הגה
277,Ton::N,sonus,צליל
278,Lied::N,carmen,שיר
279,Ruhe::N,quies,שלוה
280,Leute::N,homines,אנשים
281,Volk::N,populus,עם
282,Arbeit::N,labor,עבודה
283,Gast::N,hospes,אורח
284,Gast::N,conviva,אורח
285,Geschenk::N,munus,מתנה
286,Spiel::N,ludus,משחק
287,Gesellschaft::N,societas,חברה
288,Hilfe::N,auxilium,עזרה
289,Hilfe::N,subsidium,עזרה
290,Freund::N,amicus,חבר
291,Freund::N,amicus,ידיד
292,Kamerad::N,socius,רע
293,Angelegenheit::N,res,ענין
294,Anzahl::N,numerus,מספר
295,Art::N,genus,סוג
296,Stück::N,frustum,חתיכה
297,Stück::N,fragmentum,חתיכה
298,Teil::N,pars,פרק
299,Hälfte::N,dimidium,חצי
300,Kreis::N,orbis,מעגל
301,Kreis::N,circus,מעגל
302,Kreuz::N,crux,צלב
303,Linie::N,linea,קו
304,Strich::N,lineamentum,קו קצר
305,Abstand::N,intervallum,מרחק
306,Entfernung::N,spatium,מרחק
307,Gegend::N,loca,נוף
308,Gegend::N,regio,נוף
309,Platz::N,locus,שטח
310,Ort::N,locus,אתר
311,Ort::N,locus,מקום
312,Seite::N,latus,צד
313,Mitte::N,medium,אמצע
314,Gegenstand::N,res,אוביקט
315,Sache::N,res,דבר
316,Rand::N,margo,פרור
317,Kante::N,angulus,קצה
318,Ecke::N,angulus,פנה
319,Spitze::N,cacumen,קצה
320,Ende::N,caput,סוף
321,Loch::N,foramen,חר
322,Winkel::N,angulus,פנה
323,Muster::N,exemplum,תבנית
324,Größe::N,magnitudo,גדל
325,Länge::N,longitudo,ארך
326,Höhe::N,altitudo,קומה
327,Höhe::N,altitudo,גבה
328,Gewicht::N,pondus,משקל
329,Menge::N,copia,כמות
330,Haufen::N,acervus,ערמה
331,Reihe::N,ordo,רצף
332,Boot::N,navicula,סירה
333,Ruder::N,remus,משוט
334,Schlitten::N,sclodia,מזחלת
335,Ski::N,narta,מגלשים
336,Lagerfeuer::N,ignis,מדורה
337,Last::N,onus,משא
338,Gang::N,cursus,הליכה
339,Schritt::N,gradus,צעד
340,Norden::N,septentriones,צפון
341,Süden::N,meridies,דרום
342,Westen::N,occidens,מערב
343,Osten::N,oriens,מזרח
344,Holz::N,lignum,עץ
345,Brett::N,tabula,קרש
346,Platte::N,lamina,לוח
347,Stütze::N,adminiculum,משען
348,Stange::N,pertica,מוט
349,Stock::N,baculum,מקל
350,Stab::N,scipio,מוט
351,Rohr::N,tubus,צנור
352,Haus::N,aedes,בית
353,Heim::N,domicilium,בית
354,Ofen::N,fornax,תנור
355,Fußboden::N,solum,רצפה
356,Tisch::N,mensa,שלחן
357,Stuhl::N,sella,כסא
358,Wiege::N,cunae,ערש
359,Bett::N,lectus,מטה
360,Regal::N,foruli,מדף
361,Kiste::N,cista,תבה
362,Kiste::N,cista,ארגז
363,Fenster::N,fenestra,חלון
364,Tür::N,ianua,דלת
365,Tor::N,porta,שער
366,Zaun::N,saepes,גדר
367,Dach::N,tectum,גג
368,Leiter::N,scalae,סלם
369,Besen::N,scopae,מטאטא
370,Spaten::N,pala,את
371,Schaufel::N,pala,את
372,Gabel::N,fuscinula,מזלג
373,Löffel::N,coclear,כף
374,Messer::N,culter,סכין
375,Nagel::N,clavus,מסמר
376,Netz::N,rete,רשת
377,Haken::N,hamus,וו
378,Haken::N,hamus,קרס
379,Griff::N,manubrium,ידית
380,Schloss::N,claustra,מנעול
381,Bild::N,tabula,תמונה
382,Bild::N,pictura,תמונה
383,Figur::N,statunculum,פסל
384,Puppe::N,pupa,בבה
385,Beutel::N,sacculus,שק
386,Bündel::N,fascis,צרור
387,Tasche::N,sacculus,שקית
388,Eimer::N,situla,דלי
389,Deckel::N,operculum,מכסה
390,Geschirr::N,vasa,כלים
391,Sack::N,saccus,שק
392,Tasse::N,pocillum,ספל
393,Topf::N,olla,סיר
394,Kessel::N,aenum,קנקן
395,Essen::N,cena,אכל
396,Essen::N,cena,ארוחה
397,Nahrung::N,cibus,הזנה
398,Nahrung::N,cibus,תזונה
399,Nahrung::N,alimenta,הזנה
400,Nahrung::N,alimenta,תזונה
401,Speise::N,cibus,מאכל
402,Speise::N,cibus,ארוחה
403,Fleisch::N,caro,בשר
404,Getreide::N,frumentum,דגן
405,Brei::N,puls,מחית
406,Brot::N,panis,לחם
407,Scheibe::N,frustum,עגול
408,Scheibe::N,frustum,פרוסה
409,Fett::N,pingue,שמן
410,Butter::N,butȳrum,חמאה
411,Öl::N,oleum,שמן
412,Salz::N,sal,מלח
413,Suppe::N,ius,מרק
414,Honig::N,mel,דבש
415,Milch::N,lac,חלב
416,Tee::N,thea,תה
417,Leder::N,corium,עור
418,Wolle::N,lana,צמר
419,Stoff::N,textum,בד
420,Stoff::N,textum,אריג
421,Nadel::N,acus,מחט
422,Faden::N,filum,חוט
423,Knopf::N,bulla,כפתור
424,Knoten::N,nodus,קשר
425,Farbe::N,pigmentum,צבע
426,Kleidung::N,vestimenta,בגדים
427,Hemd::N,tunica,חלצה
428,Kragen::N,collare,צוארון
429,Ärmel::N,manica,שרוול
430,Hose::N,bracae,מכנסים
431,Gürtel::N,cingulum,חגורה
432,Mütze::N,pilleus,כובע
433,Schuh::N,calceus,נעל
434,Stiefel::N,pero,מגף
435,Stiefel::N,caliga,מגף
436,Ring::N,anulus,טבעת
437,Band::N,redimiculum,סרט
438,Kamm::N,pecten,מסרק
439,Spiegel::N,speculum,מראה
440,Riemen::N,lorum,רצועה
441,Schnur::N,linum,חבל
442,Leine::N,retinaculum,מושכות
443,Decke::N,lodix,שמיכה
444,Kissen::N,pulvinus,כרית
445,Tuch::N,velum,צעיף
446,Handtuch::N,mantele,מגבת
447,Kraft::N,vis,כוח
448,Stärke::N,robur,און
449,Gesundheit::N,valetudo,בריאות
450,Krankheit::N,morbus,מחלה
451,Schmerz::N,dolor,כאב
452,Wunde::N,vulnus,פציעה
453,Fieber::N,febris,חם
454,Arznei::N,remedium,תרופה
455,Brücke::N,pons,גשר
456,Brunnen::N,puteus,באר
457,Weide::N,pascua,אחו
458,Weide::N,pascua,מרעה
459,Pfad::N,semita,שביל
460,Pfad::N,semita,מדרכה
461,Weg::N,iter,דרך
462,Straße::N,via,כביש
463,Dorf::N,vicus,כפר
464,Stadt::N,urbs,עיר
465,Stadt::N,oppidum,עיר
466,Brief::N,epistula,מכתב
467,Buch::N,liber,ספר
468,Buchstabe::N,littera,אות
469,Zeitung::N,diurnum,עתון
470,Leben::N,vita,חיים
471,Tod::N,mors,מות
472,Grab::N,sepulcrum,קבר
473,Kirche::N,ecclesia,כנסיה
474,Sünde::N,peccatum,חטא
475,Gott::N,deus,אל
476,Arbeiter::N,operarius,פועל
477,Chef::N,praefectus,ראש
478,Chef::N,praefectus,מנהל
479,Meister::N,magister,ממחה
480,Arzt::N,medicus,רופא
481,Lehrer::N,magister,מורה
482,Geld::N,aes,כסף
483,Geld::N,pecunia,כסף
484,Geschäft::N,negotium,עסקה
485,Laden::N,taberna,חנות
486,Preis::N,pretium,מחיר
487,Ware::N,merx,סחורה
488,Nutzen::N,utilitas,תועלת
489,Reichtum::N,opes,עשר
490,Reichtum::N,divitiae,עשר
491,Welt::N,mundus,עולם
492,Land::N,terra,ארץ
493,Staat::N,res publica,מדינה
494,König::N,rex,מלך
495,Macht::N,potestas,כוח
496,Grenze::N,limes,גבול
497,Krieg::N,bellum,מלחמה
498,Feind::N,inimicus,אויב
499,Gewalt::N,vis,אלימות
500,Kampf::N,pugna,קרב
501,Kampf::N,pugna,לחימה
502,Bogen[Waffe]::N,arcus,קשת
503,Pfeil::N,sagitta,חץ
504,Gewehr::N,sclopetum,רובה
505,Fehler::N,error,טעות
506,Lüge::N,mendacium,שקר
507,Schaden::N,damnum,נזק
508,Schaden::N,detrimentum,נזק
509,Unglück::N,miseria,מזל רע
510,Unglück::N,calamitas,מזל רע
511,Schuld::N,culpa,אשמה
512,Alter::N,aetas,גיל
513,Schluss::N,finis,סיום
514,Zeit::N,tempus,זמן
515,Tag::N,dies,יום
516,Morgen::N,mane,בקר
517,Mittag::N,meridies,צהרים
518,Abend::N,vesper,ערב
519,Nacht::N,nox,לילה
520,Woche::N,septimana,שבוע
521,Monat::N,mensis,חדש
522,Jahr::N,annus,שנה
523,Frühling::N,ver,אביב
524,Sommer::N,aestas,קיץ
525,Herbst::N,autumnus,סתו
526,Winter::N,hiems,חרף
527,Januar::N,Ianuarius,ינואר
528,Februar::N,Februarius,פברואר
529,März::N,Martius,מרץ
530,April::N,Aprilis,אפריל
531,Mai::N,Maius,מאי
532,Juni::N,Iunius,יוני
533,Juli::N,Iulius,יולי
534,August::N,Augustus,אוגוסט
535,September::N,September,ספטמבר
536,Oktober::N,Octobris,אוקטובר
537,November::N,Novembris,נובמבר
538,Dezember::N,December,דצמבר
539,Montag::N,dies lunae,יום שני
540,Dienstag::N,dies Martis ,יום שלישי
541,Mittwoch::N,dies Mercurii,יום רביעי
542,Donnerstag::N,dies Iovis,יום חמישי
543,Freitag::N,dies Veneris,יום ששי
544,Samstag::N,dies Saturni,יום שבת
545,Sonntag::N,dominicus,יום ראשון
546,Sonntag::N,dies solis,יום ראשון
547,groß::A,magnus,גדול
548,klein::A,parvus,קטן
549,lang::A,longus,ארך
550,kurz::A,brevis,קצר
551,breit::A,latus,רחב
552,schmal::A,angustus,צר
553,dicht::A,densus,צפוף
554,dick[Gegenstand]::A,crassus,עבה
555,dünn::A,tenuis,דק
556,fein::A,subtilis,מעדן
557,fest::A,solidus,מוצק
558,fest::A,stabilis,מוצק
559,flach::A,planus,שטוח
560,glatt::A,levis,חלק
561,hart::A,durus,קשיח
562,weich::A,mollis,רך
563,rund::A,rotundus,עגל
564,spitz::A,acutus,חד
565,scharf::A,acer,חד
566,stumpf::A,hebes,קהה
567,schwer::A,gravis,כבד
568,schön::A,pulcher,יפה
569,schön::A,formosus,יפה
570,heiß::A,fervidus,חם
571,warm::A,calidus,חם
572,kalt::A,frigidus,קר
573,kühl::A,frigidus,צונן
574,frisch::A,recens,טרי
575,feucht::A,umidus,לח
576,nass::A,madidus,רטוב
577,trocken::A,aridus,יבש
578,voll::A,plenus,מלא
579,leer::A,vacuus,ריק
580,offen::A,apertus,פתוח
581,geschlossen::A,clausus,סגור
582,sauber::A,lautus,נקי
583,schmutzig::A,sordidus,מלכלך
584,roh::A,crudus,חי
585,reif::A,maturus,בשל
586,lecker::A,delicatus,טעים
587,süß::A,dulcis,מתוק
588,bitter::A,amarus,מר
589,bitter::A,acerbus,מר
590,sauer::A,acidus,חמוץ
591,hell::A,clarus,בהיר
592,dunkel::A,obscurus,עמום
593,schwarz::A,niger,שחר
594,weiß::A,albus,לבן
595,rot::A,ruber,אדם
596,gelb::A,flavus,צהב
597,blau::A,caeruleus,כחל
598,grün::A,viridis,ירק
599,grau::A,canus,אפר
600,bunt::A,varius,צבעוני
601,billig::A,vilis,זול
602,teuer::A,carus,יקר
603,wertvoll::A,pretiosus,יקר ערך
604,blind::A,caecus,עור
605,taub::A,surdus,חרש
606,kräftig::A,robustus,חסן
607,stark::A,firmus,חזק
608,stark::A,validus,חזק
609,schwach::A,debilis,חלש
610,schwach::A,infirmus,חלש
611,fett::A,crassus,שמן
612,schlank::A,procerus,רזה
613,hübsch::A,pulcher,יפה תאר
614,böse::A,improbus,רשע
615,dumm::A,stultus,טפש
616,dumm::A,stupidus,טפש
617,faul::A,piger,עצלן
618,fleißig::A,sedulus,חרוץ
619,geizig::A,avarus,קמצן
620,klug::A,prudens,נבון
621,klug::A,prudens,פקח
622,geschickt::A,sollers,מימן
623,lieb::A,carus,יקר
624,lieb::A,carus,אהוב
625,lustig::A,iocosus,עליז
626,sanft::A,clemens,עדין
627,hungrig::A,impastus,רעב
628,krank::A,aeger,חולה
629,nackt::A,nudus,ערום
630,traurig::A,maestus,עצוב
631,lebendig::A,vivus,חי
632,gut::A,bonus,טוב
633,schlecht::A,malus,גרוע
634,richtig::A,rectus,נכון
635,schlimm::A,malus,רע
636,wahr::A,verus,אמתי
637,alt::A,antiquus,ישן
638,neu::A,novus,חדש
639,ehemalig::A,pristinus,לשעבר
640,alt[Lebewesen]::A,vetus,זקן
641,jung::A,iuvenis,צעיר
642,arm::A,pauper,עני
643,reich::A,dives,עשיר
644,bekannt::A,notus,ידוע
645,berühmt::A,celeber,מפרסם
646,berühmt::A,illustris,מפרסם
647,fremd::A,peregrinus,זר
648,verschieden::A,varius,שונה
649,nah::A,propinquus,קרוב
650,fern::A,longinquus,רחוק
651,linker::A,sinister,שמאלי
652,rechter::A,dexter,ימין
653,anderer::A,alius,אחר
654,erster::A,primus,ראשון
655,zweiter::A,secundus,שני
656,dritter::A,tertius,שלישי
657,letzter::A,ultimus,אחרון
658,allein::ADV,solum,לבד
659,auf einmal::ADV,simul,בו-זמנית
660,zusammen::ADV,una,ביחד
661,lange::ADV,diu,הרבה זמן
662,plötzlich::ADV,subito,לפתע
663,plötzlich::ADV,subito,פתאום
664,plötzlich::ADV,repente,לפתע
665,plötzlich::ADV,repente,פתאום
666,sofort::ADV,statim,מיד
667,später::ADV,postea,לאחר זמן
668,später::ADV,postea,יותר מאחר
669,jetzt::ADV,nunc,עכשיו
670,heute::ADV,hodie,היום
671,morgen::ADV,cras,מחר
672,bald::ADV,mox,בקרוב
673,dann::ADV,deinde,אחר-כך
674,gestern::ADV,heri,אתמול
675,einst::ADV,olim,לפנים
676,damals::ADV,tum,אז
677,danach::ADV,postea,אחר-כך
678,vorher::ADV,antea,לפני זה
679,zuerst::ADV,primo,קדם
680,einmal::ADV,semel,פעם
681,manchmal::ADV,interdum,לפעמים
682,oft::ADV,saepe,לעתים קרובות
683,immer::ADV,semper,תמיד
684,niemals::ADV,numquam,אף פעם
685,hier::ADV,hic,כאן
686,hierhin::ADV,huc,פה
687,von hier::ADV,hinc,מפה
688,dort::ADV,ibi,שם
689,dorthin::ADV,eo,שם
690,geradeaus::ADV,recte,ישר
691,vorwärts::ADV,porro,קדימה
692,rückwärts::ADV,retro,לאחור
693,zurück::ADV,retro,בחזרה
694,zurück::ADV,retro,אחורנית
695,unten::ADV,infra,למטה
696,hinab::ADV,pessum,למטה
697,oben::ADV,supra,מעל
698,oben::ADV,supra,למעלה
699,hinauf::ADV,sursum,למעלה
700,überall::ADV,ubique,בכל מקום
701,nicht::ADV,non,לא
702,ein wenig::ADV,paulum,קצת
703,kaum::ADV,vix,בקשי
704,kaum::ADV,aegre,בקשי
705,sehr::ADV,valde,מאוד
706,sehr::ADV,magnopere,מאוד
707,so::ADV,ita,כך
708,so::ADV,ita,ככה
709,noch::ADV,etiam,עוד
710,noch::ADV,etiam,עדין
711,nur::ADV,solum,רק
712,nur::ADV,tantum,רק
713,schon::ADV,iam,כבר
714,wieder::ADV,rursus,שוב
715,vergebens::ADV,frustra,לריק
716,vergebens::ADV,frustra,לשוא
717,vor::PRP,ante,מול
718,hinter::PRP,post,מאחורי
719,unter::PRP,sub,מתחת
720,durch::PRP,per,דרך
721,neben::PRP,iuxta,ליד
722,neben::PRP,iuxta,על-יד
723,zwischen::PRP,inter,בין
724,wegen::PRP,propter,בשל
725,wegen::PRP,propter,בגלל
726,dies::PRN,hoc,זה
727,das::PRN,id,זה
728,alles::PRN,omnia,הכל
729,ich::PRN,ego,אני
730,du::PRN,tu,את
731,du::PRN,tu,אתה
732,er::PRN,is,הוא
733,er::PRN,ille,הוא
734,wir::PRN,nos,אנחנו
735,ihr::PRN,vos,לה
736,sie::PRN,ii,הם
737,sie::PRN,illi,הם
738,was::FPRN,quid,מה
739,wer::FPRN,quis,מי
740,wo::FADV,ubi,איפה
741,wohin::FADV,quo,לאן
742,wie::FADV,quomodo,איך
743,warum::FADV,cur,למה
744,wieviel::FNUM,quantum,כמה
745,eins::NUM,unus,אחד
746,zwei::NUM,duo,שתים
747,drei::NUM,tres,שלושה
748,vier::NUM,quattuor,ארבעה
749,fünf::NUM,quinque,חמשה
750,sechs::NUM,sex,ששה
751,sieben::NUM,septem,שבעה
752,acht::NUM,octo,שמונה
753,neun::NUM,novem,תשעה
754,zehn::NUM,decem,עשרה
755,elf::NUM,undecim,אחת עשרה
756,zwölf::NUM,duodecim,שתים עשרה
757,zwanzig::NUM,viginti,עשרים
758,dreißig::NUM,triginta,שלושים
759,vierzig::NUM,quadraginta,ארבעים
760,fünfzig::NUM,quinquaginta,חמשים
761,sechzig::NUM,sexaginta,ששים
762,siebzig::NUM,septuaginta,שבעים
763,achtzig::NUM,octoginta,שמונים
764,neunzig::NUM,nonaginta,תשעים
765,hundert::NUM,centum,מאה
766,tausend::NUM,mille,אלף
767,und::CNJ,et,ו
768,und::CNJ,-que,ו
769,oder::CNJ,vel,או
770,stehen::V,stare,עמד
771,sitzen::V,sedere,ישב
772,liegen::V,iacere,שכב
773,hängen::V,pendere,היה תלוי
774,werden::V,fieri,הפך ל
775,passieren::V,accidere,קרה
776,beginnen::V,incipere,התחיל
777,enden::V,finem habere,הסתים
778,wechseln::V,mutari,השתנה
779,aufgehen[Sonne]::V,oriri,זרח
780,untergehen[Sonne]::V,occidere,שקע
781,scheinen[Sonne]::V,lucere,בהק
782,donnern::V,tonare,רעם
783,wehen::V,flare,נשב
784,strömen::V,fluere,זרם
785,fließen::V,manare,זרם
786,sich drehen::V,torqueri,הסתובב
787,schwanken::V,vacillare,התנודד
788,schwingen::V,vibrare,התנענע
789,fallen::V,cadere,נפל
790,brennen::V,ardere,בער
791,rauchen::V,fumare,עשן
792,regnen::V,pluere,ירד גשם
793,gefrieren::V,congelari,קפא
794,tauen::V,rorare,נמס
795,schmelzen::V,liquescere,התיך
796,trocknen::V,arescere,התיבש
797,sieden::V,fervere,רתח
798,faulen::V,putescere,רקב
799,verfaulen::V,putescere,רקב
800,reißen::V,scindi,נקרע
801,versinken::V,mergi,טבע
802,vergehen::V,praeterire,עבר
803,erscheinen::V,apparere,נגלה
804,erscheinen::V,apparere,הופיע
805,verschwinden::V,discedere,נעלם
806,sinken::V,labi,ירד
807,abnehmen::V,deminui,הפחית
808,zunehmen::V,augeri,רבה
809,steigen::V,augescere,עלה
810,wachsen::V,crescere,גדל
811,glänzen::V,splendere,נצץ
812,glänzen::V,splendere,בהק
813,funkeln::V,micare,נצנץ
814,lärmen::V,strepere,רעש
815,läuten::V,sonare,צלצל
