,Concept_ID,cy,uz
101,Berg::N,mynydd,tog'
102,Gipfel::N,copa,cho'qqi
103,Höhle::N,ogof,kavak
104,Abhang::N,llethr,to'sh
105,Quelle::N,tarddiad,buloq
106,Quelle::N,ffynhonnell,buloq
107,Bach::N,nant,o'zan
108,Bach::N,afonig,o'zan
109,Bach::N,cornant,o'zan
110,Fluss::N,afon,daryo
111,Ufer::N,glan,sohil
112,Küste::N,traeth,qirg'oq
113,Küste::N,arfordir,qirg'oq
114,Festland::N,tir,materik
115,Meer::N,môr,dengiz
116,Bucht::N,bae,qo'ltiq
117,Insel::N,ynys,orol
118,Blume::N,blodyn,gul
119,Gras::N,glaswellt,sabza
120,Wurzel::N,gwreiddyn,tub
121,Wurzel::N,gwreiddyn,tomir
122,Baum::N,coeden,daraxt
123,Stamm::N,colfen,o'simta
124,Stamm::N,boncyff,o'simta
125,Rinde::N,rhisgl,qobiq
126,Ast::N,cangen,shox
127,Zweig::N,cainc,butoq
128,Zweig::N,cangen,butoq
129,Blatt::N,deilen,barg
130,Birke::N,bedwen,qayin
131,Kiefer[Baum]::N,pinwydden,qarag'ay
132,Weide[Baum]::N,helygen,shum
133,Tanne::N,ffynidwydden,archa
134,Horn::N,corn,mugiz
135,Feder::N,plufyn,par
136,Fell::N,ffwr,mo'yna
137,Flügel::N,adain,qanot
138,Klaue::N,crafanc,tirnoq
139,Kralle::N,ewin,tirnoq
140,Schwanz::N,cwt,quyruq
141,Schwanz::N,cynffon,quyruq
142,Ei::N,wy,tuxum
143,Nest::N,nyth,oshyon
144,Bau::N,ffau,o'pqon
145,Tier::N,anifail,hayvon
146,Herde::N,praidd,gala
147,Herde::N,diadell,gala
148,Kuh::N,buwch,inak
149,Bulle::N,tarw,ho'kiz
150,Pferd::N,ceffyl,ot
151,Schaf::N,dafad,qo'y
152,Schwein::N,mochyn,cho'chqa
153,Hund::N,ci,it
154,Katze::N,cath,mushuk
155,Bär::N,arth,ayiq
156,Eichhörnchen::N,gwiwer,tiyin
157,Elch::N,elc,los
158,Fuchs::N,cadno,tulki
159,Hase::N,ysgyfarnog,kuyon
160,Maus::N,llygoden,sichqon
161,Wolf::N,blaidd,bo'ri
162,Vogel::N,aderyn,qush
163,Schwarm::N,haid,to'da
164,Huhn::N,cyw,tovuq
165,Hahn::N,ceiliog,xo'roz
166,Gans::N,gŵydd,g'oz
167,Adler::N,eryr,burgut
168,Ente::N,hwyad,o'rdak
169,Eule::N,tylluan,boyo'g'li
170,Kranich::N,garan,turna
171,Kranich::N,crychydd,turna
172,Krähe::N,brân,qarg'a
173,Kuckuck::N,cog,kakku
174,Kuckuck::N,cwcw,kakku
175,Schwan::N,alarch,oqkush
176,Fisch::N,pysgod,baliq
177,Barsch::N,draenog,olabug'a
178,Hecht::N,penhwyad,cho'rtan
179,Schlange[Tier]::N,neidr,ilon
180,Wurm::N,abwydyn,qurt
181,Wurm::N,pryf genwair,qurt
182,Spinne::N,cor,o'rgimchak
183,Spinne::N,pryf copyn,o'rgimchak
184,Ameise::N,morgrugyn,chumoli
185,Laus::N,lleuen,bit
186,Mücke::N,gwybedyn,chivin
187,Fliege::N,cleren,pashsha
188,Schmetterling::N,glöyn byw,kapalak
189,Schmetterling::N,iâr fach yr haf,kapalak
190,Beere::N,aeronen,meva
191,Apfel::N,afal,olma
192,Pilz::N,madarch,qo'ziqorin
193,Zwiebel::N,nionyn,piyoz
194,Zwiebel::N,winwnsyn,piyoz
195,Saat::N,had,äkin
196,Korn::N,grawn,zarra
197,Heu::N,gwair,xashak
198,Schale::N,croen,po'choq
199,Schale::N,plisgyn,po'choq
200,Grube::N,pwll,co'ra
201,Grube::N,pydew,co'ra
202,Falle::N,magl,qopqon
203,Schlinge::N,cwlwm rhedeg,sirtmoq
204,Spur::N,ôl,iz
205,Asche::N,lludw,kul
206,Dreck::N,baw,kir
207,Dreck::N,budreddi,kir
208,Eisen::N,haearn,temir
209,Gold::N,aur,tilla
210,Silber::N,arian,kumush
211,Kohle::N,glo,ko'mir
212,Glas::N,gwydr,oyna
213,Lehm::N,clai,loy
214,Sand::N,tywod,qum
215,Mensch::N,dyn,odam
216,Mann::N,dyn,ärkak
217,Frau::N,merch,ayol
218,Frau::N,gwraig,ayol
219,Kind::N,plentyn,bola
220,Kind::N,plentyn,kichkintoy
221,Junge::N,hogyn,bola
222,Junge::N,bachgen,bola
223,Mädchen::N,merch,qiz
224,Mädchen::N,geneth,qiz
225,Familie::N,teulu,oila
226,Familie::N,tylwyth,oila
227,Großvater::N,taid,buva
228,Großvater::N,taid,katta ota
229,Großvater::N,tad-cu,buva
230,Großvater::N,tad-cu,katta ota
231,Großmutter::N,nain,buvi
232,Großmutter::N,nain,katta oyi
233,Großmutter::N,mam-gu,buvi
234,Großmutter::N,mam-gu,katta oyi
235,Eltern::N,rhieni,ota-ona
236,Vater::N,tad,ota
237,Mutter::N,mam,ona
238,Sohn::N,mab,o'g'il
239,Tochter::N,merch,qiz
240,Bruder::N,brawd,og'a
241,Bruder::N,brawd,uka
242,Schwester::N,chwaer,opa
243,Schwester::N,chwaer,singil
244,Onkel::N,ewythr,amaki
245,Tante::N,modryb,amma
246,Tante::N,modryb,xola
247,Ehemann::N,gŵr,är
248,Ehefrau::N,gwraig,rafiqa
249,Freude::N,gorfoledd,ayish
250,Gelächter::N,chwerthin,kulgi
251,Glück::N,hapusrwydd,saodat
252,Kummer::N,galar,g'am
253,Wunsch::N,dymuniad,orzu
254,Lust::N,chwant,rag'bat
255,Geist::N,ysbryd,ruh
256,Gedanke::N,meddwl,fikr
257,Gedächtnis::N,cof,äs
258,Verstand::N,meddwl,aql
259,Sinn::N,ystyr,ma'ni
260,Grund::N,achos,sabab
261,Grund::N,rheswm,sabab
262,Wahrheit::N,gwir,haq
263,Wahrheit::N,gwirionedd,haq
264,Gespräch::N,sgwrs,gap
265,Märchen::N,chwedl werin,ärtak
266,Erzählung::N,stori,rivoyat
267,Nachricht::N,neges,xabar
268,Neuigkeit::N,newydd,yangilik
269,Name::N,enw,ot
270,Rätsel::N,pos,topishmoq
271,Rede::N,araith,nutq
272,Sprache::N,iaith,til
273,Stimme::N,llais,ovoz
274,Wort::N,gair,so'z
275,Zeichen::N,arwydd,alomat
276,Ruf::N,galwad,chaqiriq
277,Lärm::N,trwst,taraq
278,Laut::N,sain,tovush
279,Ton::N,tôn,un
280,Lied::N,cân,ashula
281,Ruhe::N,tawelwch,tinchlik
282,Leute::N,pobl,xaloyiq
283,Volk::N,pobl,xalq
284,Arbeit::N,gwaith,ish
285,Gast::N,gwestai,mehmon
286,Geschenk::N,rhodd,hadya
287,Geschenk::N,anrheg,hadya
288,Spiel::N,chwarae,o'yin
289,Gesellschaft::N,cwmni,jamiyat
290,Hilfe::N,cymorth,yordam
291,Freund::N,cyfaill,do'st
292,Kamerad::N,cydymaith,yo'ldosh
293,Angelegenheit::N,pwnc,daxl
294,Anzahl::N,cyfrif,son
295,Art::N,bath,tur
296,Stück::N,darn,parcha
297,Teil::N,rhan,bo'lak
298,Hälfte::N,hanner,yarim
299,Kreis::N,cylch,aylana
300,Kreuz::N,croes,xoch
301,Linie::N,llinell,liniya
302,Strich::N,strôc,chiziq
303,Strich::N,trawiad,chiziq
304,Abstand::N,bwlch,oralik
305,Abstand::N,pellter,oralik
306,Entfernung::N,pellter,uzoqlik
307,Gegend::N,cylch,yer
308,Platz::N,lle,oralig
309,Ort::N,lle,joy
310,Seite::N,ochr,yon
311,Mitte::N,canol,o'rta
312,Gegenstand::N,eitem,ashyo
313,Sache::N,peth,buyum
314,Rand::N,cwr,chek
315,Rand::N,ymyl,chek
316,Kante::N,min,tig'
317,Kante::N,ymyl,tig'
318,Ecke::N,cornel,burchak
319,Spitze::N,blaen,uch
320,Ende::N,pen,oxir
321,Loch::N,twll,teshik
322,Winkel::N,congl,go'sha
323,Muster::N,patrwm,nusha
324,Größe::N,maint,kattalik
325,Größe::N,maintioli,kattalik
326,Länge::N,hyd,uzunlik
327,Höhe::N,uchder,yuksaklik
328,Gewicht::N,pwysau,solmoq
329,Menge::N,swm,miqdor
330,Menge::N,maint,miqdor
331,Haufen::N,pentwr,uyum
332,Reihe::N,rhes,saf
333,Boot::N,cwch,qayiq
334,Ruder::N,rhwyf,äshkak
335,Schlitten::N,sled,chana
336,Schlitten::N,car llusg,chana
337,Ski::N,sgi,chang'i
338,Lagerfeuer::N,coelcerth,gulxan
339,Last::N,llwyth,yuk
340,Gang::N,tro,yurish
341,Schritt::N,cam,qadam
342,Norden::N,gogledd,shimol
343,Süden::N,de,janub
344,Westen::N,gorllewin,g'arb
345,Osten::N,dwyrain,sharq
346,Holz::N,pren,yog'och
347,Brett::N,bwrdd,taxta
348,Brett::N,astell,taxta
349,Platte::N,llech,tabaqa
350,Stütze::N,ateg,tayanchi
351,Stütze::N,cynhalydd,tayanchi
352,Stange::N,polyn,qo'noq
353,Stock::N,ffon,tayoq
354,Stock::N,brigyn,tayoq
355,Stab::N,ffon,gavron
356,Rohr::N,pibell,tarnov
357,Haus::N,tŷ,uy
358,Heim::N,cartref,makon
359,Ofen::N,stof,pechka
360,Fußboden::N,llawr,pol
361,Tisch::N,bwrdd,mosa
362,Stuhl::N,cadair,o'rindiq
363,Wiege::N,crud,beshik
364,Bett::N,gwely,yotoq
365,Regal::N,silff,tokcha
366,Kiste::N,bocs,sandiq
367,Kiste::N,blwch,sandiq
368,Fenster::N,ffenestr,deraza
369,Tür::N,drws,äshik
370,Tor::N,porth,darvoza
371,Zaun::N,ffens,panjara
372,Dach::N,to,tom
373,Leiter::N,ysgol,narvon
374,Besen::N,ysgub,supurgi
375,Spaten::N,rhaw,bel
376,Schaufel::N,rhaw,kurak
377,Gabel::N,fforc,bilka
378,Löffel::N,llwy,qoshiq
379,Messer::N,cyllell,pichoq
380,Nagel::N,hoel,mix
381,Netz::N,gwe,to'r
382,Netz::N,rhwyd,to'r
383,Haken::N,bach,ilgak
384,Griff::N,carn,sop
385,Griff::N,carn,tutqich
386,Schloss::N,clo,qulf
387,Bild::N,llun,rasm
388,Bild::N,pictiwr,rasm
389,Figur::N,ffigur,shakl
390,Puppe::N,dol,ko'g'irchoq
391,Beutel::N,cwd,to'rva
392,Bündel::N,bwndel,bog'lam
393,Bündel::N,coflaid,bog'lam
394,Tasche::N,cod,kissa
395,Eimer::N,bwced,chelak
396,Eimer::N,cunnog,chelak
397,Deckel::N,caead,qopqoq
398,Geschirr::N,llestri,idish
399,Sack::N,sach,qop
400,Tasse::N,cwpan,piyola
401,Topf::N,pot,tuvak
402,Topf::N,crochan,tuvak
403,Kessel::N,tegell,qozon
404,Essen::N,pryd o fwyd,tomoq
405,Nahrung::N,bwyd,emak
406,Speise::N,saig,taom
407,Fleisch::N,cig,go'sht
408,Getreide::N,ŷd,g'alla
409,Getreide::N,llafur,g'alla
410,Brei::N,uwd,bo'tqa
411,Brot::N,bara,non
412,Scheibe::N,tafell,disk
413,Fett::N,saim,moy
414,Fett::N,braster,moy
415,Butter::N,ymenyn,yog'
416,Öl::N,olew,moy
417,Salz::N,halen,tuz
418,Suppe::N,cawl,sho'rva
419,Honig::N,mêl,asal
420,Milch::N,llaeth,sut
421,Milch::N,llefrith,sut
422,Tee::N,te,choy
423,Leder::N,lledr,charm
424,Wolle::N,gwlân,jun
425,Stoff::N,lliain,mato
426,Stoff::N,brethyn,mato
427,Nadel::N,nodwydd,igna
428,Faden::N,edau,ip
429,Faden::N,edefyn,ip
430,Knopf::N,botwm,tugma
431,Knoten::N,cwlwm,tugun
432,Farbe::N,paent,bo'yok
433,Kleidung::N,dillad,kiyim
434,Kleidung::N,gwisgoedd,kiyim
435,Hemd::N,crys,ko'ylak
436,Kragen::N,coler,yoqa
437,Ärmel::N,llawes,yeng
438,Hose::N,trowsus,shim
439,Gürtel::N,gwregys,tasma
440,Mütze::N,cap,shapka
441,Schuh::N,esgid,but
442,Stiefel::N,botasen,botinka
443,Ring::N,modrwy,yuzuk
444,Band::N,rhuban,rishta
445,Kamm::N,crib,taroq
446,Spiegel::N,drych,ko'zgu
447,Riemen::N,strap,qayish
448,Schnur::N,llinyn,bog'ich
449,Leine::N,tennyn,etak
450,Decke::N,blanced,odyol
451,Decke::N,gwrthban,odyol
452,Kissen::N,clustog,yostiq
453,Kissen::N,gobennydd,yostiq
454,Tuch::N,sgarff,gazlama
455,Handtuch::N,tywel,sochiq
456,Handtuch::N,lliain sychu,sochiq
457,Kraft::N,grym,kuch
458,Stärke::N,nerth,quvvat
459,Stärke::N,cryfder,quvvat
460,Gesundheit::N,iechyd,sog'lik
461,Krankheit::N,afiechyd,kasallik
462,Krankheit::N,anhwylder,kasallik
463,Schmerz::N,poen,og'riq
464,Schmerz::N,gwayw,og'riq
465,Wunde::N,clwyf,yara
466,Fieber::N,twymyn,bezgak
467,Arznei::N,meddyginiaeth,dori
468,Brücke::N,pont,ko'prik
469,Brunnen::N,ffynnon,buloq
470,Weide::N,porfa,yaylov
471,Pfad::N,llwybr,dorojka
472,Weg::N,ffordd,yo'l
473,Straße::N,heol,ko'cha
474,Straße::N,ffordd,ko'cha
475,Dorf::N,pentref,ovul
476,Stadt::N,tref,shahar
477,Brief::N,llythyr,maktub
478,Buch::N,llyfr,kitob
479,Buchstabe::N,llythyren,harf
480,Zeitung::N,papur newydd,gazet
481,Leben::N,bywyd,hayot
482,Tod::N,marwolaeth,o'lim
483,Grab::N,bedd,go'r
484,Kirche::N,eglwys,cherkov
485,Sünde::N,pechod,gunoh
486,Gott::N,duw,olloh
487,Arbeiter::N,gweithiwr,ishchi
488,Chef::N,pennaeth,rais
489,Meister::N,meistr,usta
490,Arzt::N,meddyg,hakim
491,Lehrer::N,athro,muallim
492,Geld::N,pres,pul
493,Geld::N,arian,pul
494,Geschäft::N,busnes,savdo
495,Laden::N,siop,do'kon
496,Preis::N,pris,baho
497,Ware::N,nwydd,mol
498,Nutzen::N,elw,foyda
499,Nutzen::N,budd,foyda
500,Reichtum::N,cyfoeth,boylik
501,Welt::N,byd,olam
502,Land::N,gwlad,o'lka
503,Staat::N,gwladwriaeth,davlat
504,König::N,brenin,qirol
505,Macht::N,grym,iqtidor
506,Macht::N,awdurdod,iqtidor
507,Grenze::N,ffin,chegara
508,Grenze::N,goror,chegara
509,Krieg::N,rhyfel,harb
510,Feind::N,gelyn,dushman
511,Gewalt::N,ffyrnigrwydd,zo'rlik
512,Kampf::N,brwydr,kurash
513,Bogen[Waffe]::N,bwa,yoy
514,Pfeil::N,saeth,o'q
515,Gewehr::N,dryll,vintovka
516,Fehler::N,gwall,xato
517,Fehler::N,camgymeriad,xato
518,Lüge::N,celwydd,yolg'on
519,Lüge::N,anwiredd,yolg'on
520,Schaden::N,niwed,ziyon
521,Schaden::N,difrod,ziyon
522,Unglück::N,anffawd,balo
523,Schuld::N,bai,ayb
524,Alter::N,oed,yosh
525,Schluss::N,diwedd,tamom
526,Zeit::N,amser,vaqt
527,Tag::N,dydd,kun
528,Tag::N,diwrnod,kun
529,Morgen::N,bore,saboh
530,Mittag::N,nawn,kun tushlik
531,Abend::N,noswaith,oqshom
532,Nacht::N,nos,tun
533,Woche::N,wythnos,hafta
534,Monat::N,mis,oy
535,Jahr::N,blwyddyn,yil
536,Frühling::N,gwanwyn,bahor
537,Sommer::N,haf,yoz
538,Herbst::N,hydref,kuz
539,Herbst::N,hydref,xazon
540,Winter::N,gaeaf,qish
541,Januar::N,Ionawr,yanvar'
542,Februar::N,Chwefror,fevral'
543,März::N,Mawrth,mart
544,April::N,Ebrill,aprel'
545,Mai::N,Mai,may
546,Juni::N,Mehefin,iyun'
547,Juli::N,Gorffennaf,iyul'
548,August::N,Awst,avgust
549,September::N,Medi,sentyabr'
550,Oktober::N,Hydref,oktyabr'
551,November::N,Tachwedd,noyabr'
552,Dezember::N,Rhagfyr,dekabr'
553,Montag::N,dydd Llun,dushanba
554,Dienstag::N,dydd Mawrth,seshanba
555,Mittwoch::N,dydd Mercher,chorshanba
556,Donnerstag::N,dydd Iau,payshanba
557,Freitag::N,dydd Gwener,juma
558,Samstag::N,dydd Sadwrn,shanba
559,Sonntag::N,dydd Sul,yakshanba
560,groß::A,mawr,buyuk
561,klein::A,bach,kichik
562,lang::A,hir,uzun
563,kurz::A,byr,qisqa
564,kurz::A,cwta,qisqa
565,breit::A,llydan,keng
566,schmal::A,cul,änsiz
567,dicht::A,dwys,quyuq
568,dick[Gegenstand]::A,trwchus,qalin
569,dünn::A,tenau,ingichka
570,fein::A,main,mayin
571,fest::A,cadarn,qattiq
572,flach::A,gwastad,yalpoq
573,glatt::A,llyfn,tekis
574,hart::A,caled,qattiq
575,weich::A,meddal,yumshoq
576,rund::A,crwn,yumaloq
577,spitz::A,pigfain,uchli
578,scharf::A,miniog,keskir
579,stumpf::A,pŵl,to'mtoq
580,schwer::A,trwm,salmoqli
581,schön::A,teg,go'zal
582,schön::A,hardd,go'zal
583,schön::A,prydferth,go'zal
584,heiß::A,poeth,qiziq
585,warm::A,twym,issiq
586,warm::A,cynnes,issiq
587,kalt::A,oer,sovuq
588,kühl::A,oeraidd,salqin
589,frisch::A,iach,toza
590,feucht::A,llaith,namli
591,nass::A,gwlyb,nam
592,trocken::A,sych,quruq
593,voll::A,llawn,to'la
594,leer::A,gwag,puch
595,offen::A,agored,ochiq
596,geschlossen::A,caead,berk
597,geschlossen::A,caeëdig,berk
598,sauber::A,glân,ozoda
599,schmutzig::A,budr,kir
600,schmutzig::A,brwnt,kir
601,roh::A,amrwd,xom
602,reif::A,aeddfed,pishiq
603,lecker::A,blasus,shirin
604,lecker::A,danteithiol,shirin
605,süß::A,melys,shirin
606,bitter::A,chwerw,achchiq
607,sauer::A,sur,achchiq
608,hell::A,disglair,yorug'
609,dunkel::A,tywyll,qorong'i
610,schwarz::A,du,qora
611,weiß::A,gwyn,oq
612,rot::A,coch,qizil
613,gelb::A,melyn,sariq
614,blau::A,glas,zangori
615,grün::A,gwyrdd,yashil
616,grau::A,llwyd,bo'z
617,bunt::A,lliwgar,ola
618,billig::A,rhad,arzon
619,teuer::A,drud,qimmat
620,wertvoll::A,gwerthfawr,qimmat
621,blind::A,dall,ko'r
622,taub::A,byddar,garang
623,kräftig::A,nerthol,kuchli
624,kräftig::A,grymus,kuchli
625,stark::A,cryf,quvvatli
626,stark::A,cadarn,quvvatli
627,schwach::A,gwan,kuchsiz
628,fett::A,tew,semiz
629,schlank::A,main,ingichka
630,hübsch::A,tlws,ko'rkam
631,böse::A,drwg,yovuz
632,dumm::A,twp,aqlsiz
633,faul::A,diog,ärinchak
634,fleißig::A,dyfal,ishchan
635,geizig::A,crintach,qurumsoq
636,geizig::A,cybyddlyd,qurumsoq
637,klug::A,deallus,oqil
638,geschickt::A,medrus,äpchil
639,geschickt::A,deheuig,äpchil
640,lieb::A,hoff,aziz
641,lieb::A,annwyl,aziz
642,lustig::A,llon,chaqchaq
643,sanft::A,mwyn,asta
644,hungrig::A,newynog,och
645,krank::A,sâl,kasal
646,krank::A,gwael,kasal
647,nackt::A,noeth,yalang
648,traurig::A,trist,xafa
649,lebendig::A,yn fyw,hayotiy
650,gut::A,da,soz
651,schlecht::A,drwg,yomon
652,schlecht::A,gwael,yomon
653,richtig::A,cywir,rost
654,schlimm::A,enbyd,yovuz
655,wahr::A,gwir,haqiqiy
656,alt::A,hen,äski
657,neu::A,newydd,yangi
658,ehemalig::A,blaenorol,sobiq
659,alt[Lebewesen]::A,oedrannus,qari
660,jung::A,ifanc,navqiron
661,arm::A,tlawd,abgor
662,reich::A,cyfoethog,boy
663,bekannt::A,cynefin,ma'lum
664,bekannt::A,cyfarwydd,ma'lum
665,berühmt::A,enwog,mashhur
666,fremd::A,estron,yot
667,verschieden::A,gwahanol,turli
668,nah::A,agos,yaqindagi
669,fern::A,pell,uzoq
670,linker::A,aswy,so'l
671,linker::A,chwith,so'l
672,rechter::A,de,o'ng
673,rechter::A,deau,o'ng
674,anderer::A,arall,boshqa
675,erster::A,cyntaf,birinchi
676,zweiter::A,ail,ikkinchi
677,dritter::A,trydydd,uchinchi
678,letzter::A,olaf,oxirgi
679,allein::ADV,unig,o'zicha
680,allein::ADV,ar ei ben ei hun,o'zicha
681,auf einmal::ADV,ar yr un pryd,varakay
682,zusammen::ADV,ynghyd,barobar
683,zusammen::ADV,gyda'i gilydd,barobar
684,lange::ADV,amser hir,uzoq
685,plötzlich::ADV,yn sydyn,qo'qqisdan
686,sofort::ADV,ar unwaith,darrov
687,später::ADV,yn ddiweddarach,so'ngra
688,jetzt::ADV,yn awr,hozirgina
689,heute::ADV,heddiw,bugun
690,morgen::ADV,yfory,ärta
691,bald::ADV,yn fuan,toz
692,bald::ADV,gyda hyn,toz
693,dann::ADV,yna,keyin
694,dann::ADV,y pryd hwnnw,keyin
695,gestern::ADV,ddoe,kecha
696,einst::ADV,gynt,avvallari
697,damals::ADV,ar y pryd,ugal
698,damals::ADV,bryd hynny,ugal
699,danach::ADV,wedyn,so'ngra
700,vorher::ADV,o'r blaen,avval
701,zuerst::ADV,yn gyntaf,avval
702,einmal::ADV,unwaith,bir marta
703,manchmal::ADV,weithiau,onda-sonda
704,manchmal::ADV,ar brydiau,onda-sonda
705,oft::ADV,yn aml,tez-tez
706,oft::ADV,yn fynych,tez-tez
707,immer::ADV,bob amser,har vaqt
708,niemals::ADV,ni ... byth,hargiz
709,niemals::ADV,ni ... erioed,hargiz
710,hier::ADV,yma,shu erda
711,hierhin::ADV,hyd yma,beri
712,von hier::ADV,oddi yma,shu erdan
713,dort::ADV,acw,ana
714,dorthin::ADV,tuag yno,u yerga
715,geradeaus::ADV,syth ymlaen,to'g'ri
716,vorwärts::ADV,ymlaen,ilgari
717,rückwärts::ADV,yn ôl,qoloq
718,zurück::ADV,yn ôl,orqada
719,unten::ADV,isod,pastda
720,unten::ADV,oddi tanodd,pastda
721,hinab::ADV,i lawr,tubanga
722,hinab::ADV,i waered,tubanga
723,oben::ADV,fry,ustida
724,hinauf::ADV,i fyny,yuqorida
725,hinauf::ADV,i'r lan,yuqorida
726,überall::ADV,ym mhobman,har erda
727,nicht::ADV,ni,ämas
728,nicht::ADV,nid,ämas
729,ein wenig::ADV,tipyn,biroz
730,ein wenig::ADV,ychydig,biroz
731,kaum::ADV,prin,arang
732,sehr::ADV,iawn,ancha
733,so::ADV,fel,shunday
734,so::ADV,felly,shunday
735,noch::ADV,eto,hali
736,nur::ADV,yn unig,yolg'iz
737,schon::ADV,eisoes,endi
738,schon::ADV,yn barod,endi
739,wieder::ADV,drachefn,yana
740,vergebens::ADV,yn ofer,bekorga
741,vor::PRP,o flaen,burun
742,hinter::PRP,ar ôl,ketida
743,unter::PRP,islaw,ostida
744,durch::PRP,trwy,bo'ylab
745,neben::PRP,ar bwys,yonida
746,zwischen::PRP,rhwng,orada
747,zwischen::PRP,cydrhwng,orada
748,wegen::PRP,o achos,sababli
749,wegen::PRP,oherwydd,sababli
750,dies::PRN,hyn,o'sha
751,das::PRN,hynny,narigi
752,alles::PRN,popeth,har nima
753,ich::PRN,fi,men
754,du::PRN,ti,sen
755,er::PRN,fe,u
756,wir::PRN,ni,biz
757,ihr::PRN,chi,siz
758,sie::PRN,hwy,ular
759,was::FPRN,pa beth,nima
760,wer::FPRN,pwy,kim
761,wo::FADV,ble,qaerda
762,wo::FADV,ym mha le,qaerda
763,wohin::FADV,i ble,qayerga
764,wohin::FADV,i ba le,qayerga
765,wie::FADV,sut,qanday
766,warum::FADV,pam,nega
767,wieviel::FNUM,faint,qancha
768,eins::NUM,un,bir
769,zwei::NUM,dau,ikki
770,drei::NUM,tri,uch
771,vier::NUM,pedwar,to'rt
772,fünf::NUM,pump,besh
773,sechs::NUM,chwech,olti
774,sieben::NUM,saith,etti
775,acht::NUM,wyth,sakkiz
776,neun::NUM,naw,to'qqiz
777,zehn::NUM,deg,o'n
778,elf::NUM,un ar ddeg,o'n bir
779,zwölf::NUM,deuddeg,o'n ikki
780,zwölf::NUM,un deg dau,o'n ikki
781,zwanzig::NUM,ugain,yigirma
782,dreißig::NUM,tri deg,o'ttiz
783,dreißig::NUM,deg ar hugain,o'ttiz
784,vierzig::NUM,deugain,qirq
785,fünfzig::NUM,hanner cant,ällik
