,Concept_ID,es,lez
72,Boden::N,suelo,накьв
73,Erde::N,tierra,ччил
74,Staub::N,polvo,руг
75,Rauch::N,humo,гум
76,Funke::N,chispa,цӏелхем
77,Feuer::N,fuego,цӏай
78,Licht::N,luz,экв
79,Schatten::N,sombra,серин
80,Wetter::N,tiempo,гьава
81,Nebel::N,niebla,ччилин циф
82,Wolke::N,nube,циф
83,Regen::N,lluvia,марф
84,Schnee::N,nieve,жив
85,Eis::N,hielo,мурк
86,Frost::N,helada,аяз
87,Kälte::N,frío,мекь
88,Kälte::N,frío,мекьивал
89,Hitze::N,calor,зегьем
90,Raureif::N,escarcha,къирав
91,Regenbogen::N,arco iris,яргъируш
92,Donner::N,trueno,цавун ван
93,Strömung::N,corriente,
94,Tropfen::N,gota,стӏал
95,Schaum::N,espuma,каф
96,Schmutz::N,suciedad,чирк
97,Schmutz::N,suciedad,кьуруш
98,See::N,lago,вир
99,Sumpf::N,pantano,уьлен
100,Moor::N,turbera,
101,Wiese::N,prado,векь
102,Wiese::N,pradera,векь
103,Wald::N,bosque,там
104,Hügel::N,colina,кӏунтӏ
105,Anhöhe::N,cerro,тепе
106,Anhöhe::N,cerro,гьуьндуьрвал
107,Berg::N,monte,дагъ
108,Berg::N,montaña,дагъ
109,Gipfel::N,cima,кӏукӏ
110,Gipfel::N,cumbre,кӏукӏ
111,Höhle::N,cueva,кьветӏ
112,Höhle::N,caverna,кьветӏ
113,Abhang::N,cuesta,гуьне
114,Abhang::N,declive,гуьне
115,Quelle::N,fuente,чешме
116,Quelle::N,manantial,чешме
117,Bach::N,arroyo,булах
118,Fluss::N,río,вацӏ
119,Ufer::N,orilla,къерех
120,Küste::N,costa,къерех
121,Festland::N,tierra firme,кьурамат
122,Meer::N,mar,гьуьл
123,Bucht::N,cala,бухта
124,Bucht::N,bahía,бухта
125,Insel::N,isla,остров
126,Blume::N,flor,цуьк
127,Gras::N,hierba,хъач
128,Wurzel::N,raíz,дувул
129,Baum::N,árbol,ттар
130,Stamm::N,tronco,тан
131,Rinde::N,corteza,чкал
132,Ast::N,rama,тӏур
133,Zweig::N,ramo,хел
134,Blatt::N,hoja,пеш
135,Birke::N,abedul,верх
136,Kiefer[Baum]::N,pino,шамагъаж
137,Weide[Baum]::N,sauce,цӏвелин ттар
138,Tanne::N,abeto,ель
139,Horn::N,asta,карч
140,Horn::N,cuerno,карч
141,Feder::N,pluma,цӏакул
142,Fell::N,piel,хам
143,Flügel::N,ala,лув
144,Klaue::N,garra,къармах
145,Kralle::N,uña,пац
146,Kralle::N,uña,тапас
147,Kralle::N,garra,пац
148,Kralle::N,garra,тапас
149,Schwanz::N,cola,ттум
150,Ei::N,huevo,кака
151,Nest::N,nido,муг
152,Bau::N,madriguera,тӏеквен
153,Tier::N,animal,гьайван
154,Herde::N,rebaño,суьруь
155,Kuh::N,vaca,ккал
156,Bulle::N,toro,яц
157,Bulle::N,toro,бугъа
158,Pferd::N,caballo,балкӏан
159,Schaf::N,oveja,хеб
160,Schwein::N,cerdo,вак
161,Hund::N,perro,кицӏ
162,Katze::N,gato,кац
163,Bär::N,oso,сев
164,Eichhörnchen::N,ardilla,белка
165,Elch::N,alce,лось
166,Fuchs::N,zorro,сикӏ
167,Hase::N,liebre,къуьр
168,Maus::N,ratón,кьиф
169,Wolf::N,lobo,жанавур
170,Vogel::N,ave,луван ничхир
171,Vogel::N,pájaro,луван ничхир
172,Schwarm::N,bandada,луж
173,Huhn::N,gallina,верч
174,Hahn::N,gallo,кӏек
175,Gans::N,oca,къаз
176,Gans::N,ganso,къаз
177,Adler::N,águila,лекь
178,Ente::N,pato,пӏатӏ
179,Eule::N,lechuza,тӏиб
180,Kranich::N,grulla,дурна
181,Krähe::N,corneja,къаргъа
182,Kuckuck::N,cuco,кукупӏ
183,Schwan::N,cisne,къугь
184,Fisch::N,pez,гъед
185,Barsch::N,perca,окунь
186,Hecht::N,lucio,щука
187,Schlange[Tier]::N,serpiente,илан
188,Schlange[Tier]::N,serpiente,гъуьлягъ
189,Wurm::N,gusano,квак
190,Spinne::N,araña,хуьшрекан
191,Ameise::N,hormiga,цегв
192,Laus::N,piojo,нет
193,Mücke::N,mosquito,ветӏ
194,Fliege::N,mosca,тӏветӏ
195,Schmetterling::N,mariposa,чепелукь
196,Beere::N,baya,куьлуь емиш
197,Apfel::N,manzana,ич
198,Pilz::N,seta,къарникъуз
199,Pilz::N,hongo,къарникъуз
200,Zwiebel::N,cebolla,чичӏек
201,Saat::N,siembra,тумар
202,Korn::N,grano,твар
203,Heu::N,heno,векь
204,Heu::N,heno,векьер
205,Schale::N,cáscara,пириш
206,Schale::N,cáscara,хъуьруьш
207,Grube::N,foso,фур
208,Falle::N,trampa,ракьар
209,Schlinge::N,lazo,гьалкъа
210,Spur::N,huella,гел
211,Asche::N,ceniza,руьхъ
212,Dreck::N,suciedad,чирк
213,Dreck::N,suciedad,кьуруш
214,Eisen::N,hierro,ракь
215,Gold::N,oro,алтун
216,Silber::N,plata,гимиш
217,Kohle::N,carbón,цӏивин
218,Glas::N,vidrio,шуьше
219,Glas::N,cristal,шуьше
220,Lehm::N,barro,ччеб
221,Sand::N,arena,къум
222,Mensch::N,hombre,инсан
223,Mensch::N,ser humano,инсан
224,Mann::N,hombre,итим
225,Frau::N,mujer,паб
226,Frau::N,mujer,дишегьли
227,Kind::N,niño,аял
228,Junge::N,chico,гада
229,Junge::N,muchacho,гада
230,Mädchen::N,chica,руш
231,Mädchen::N,muchacha,руш
232,Familie::N,familia,хзан
233,Familie::N,familia,килфет
234,Großvater::N,abuelo,чӏехи буба
235,Großmutter::N,abuela,чӏехи диде
236,Eltern::N,padres,диде-буба
237,Vater::N,padre,буба
238,Mutter::N,madre,диде
239,Sohn::N,hijo,хва
240,Tochter::N,hija,руш
241,Bruder::N,hermano,стха
242,Schwester::N,hermana,вах
243,Onkel::N,tío,ими
244,Onkel::N,tío,халу
245,Tante::N,tía,эме
246,Tante::N,tía,хала
247,Ehemann::N,esposo,гъуьл
248,Ehefrau::N,esposa,паб
249,Freude::N,placer,шадвал
250,Freude::N,alegría,шадвал
251,Gelächter::N,risa,хъвер
252,Gelächter::N,carcajada,хъвер
253,Glück::N,felicidad,бахт
254,Kummer::N,pena,дерт
255,Kummer::N,pena,хажалат
256,Wunsch::N,deseo,мурад
257,Lust::N,ganas,гьевес
258,Geist::N,mente,руьгь
259,Geist::N,espíritu,руьгь
260,Gedanke::N,idea,фикир
261,Gedanke::N,pensamiento,фикир
262,Gedächtnis::N,memoria,
263,Verstand::N,razón,акьул
264,Verstand::N,entendimiento,акьул
265,Sinn::N,sentido,мана
266,Sinn::N,significado,мана
267,Grund::N,causa,себеб
268,Wahrheit::N,verdad,керчек
269,Wahrheit::N,verdad,гьакъикъат
270,Gespräch::N,conversación,ихтилат
271,Märchen::N,cuento,мах
272,Erzählung::N,cuento,кьиса
273,Erzählung::N,narración,кьиса
274,Nachricht::N,mensaje,хабар
275,Neuigkeit::N,noticia,цӏийи хабар
276,Name::N,nombre,тӏвар
277,Rätsel::N,acertijo,мискӏал
278,Rätsel::N,adivinanza,мискӏал
279,Rede::N,discurso,рахун
280,Sprache::N,lengua,чӏал
281,Stimme::N,voz,ван
282,Wort::N,palabra,гаф
283,Zeichen::N,señal,ишара
284,Ruf::N,llamada,эвер
285,Lärm::N,ruido,ван-сес
286,Lärm::N,barullo,ван-сес
287,Laut::N,sonido,ван
288,Laut::N,sonido,сес
289,Ton::N,tono,ван-сес
290,Lied::N,canción,мани
291,Ruhe::N,calma,ласвал
292,Ruhe::N,calma,фаракъат
293,Ruhe::N,calma,асайиш
294,Ruhe::N,silencio,ласвал
295,Ruhe::N,silencio,фаракъат
296,Ruhe::N,silencio,асайиш
297,Leute::N,gente,инсанар
298,Volk::N,pueblo,халкь
299,Arbeit::N,trabajo,кӏвалах
300,Gast::N,huésped,мугьман
301,Gast::N,invitado,мугьман
302,Geschenk::N,regalo,савкьат
303,Spiel::N,juego,къугъун
304,Gesellschaft::N,compañía,жемят
305,Gesellschaft::N,compañía,общество
306,Hilfe::N,ayuda,куьмек
307,Hilfe::N,socorro,куьмек
308,Freund::N,amigo,дуст
309,Kamerad::N,camarada,яр-дуст
310,Kamerad::N,compañero,яр-дуст
311,Angelegenheit::N,asunto,кар
312,Anzahl::N,cantidad,сан
313,Anzahl::N,cantidad,кьадар
314,Art::N,tipo,жуьре
315,Art::N,clase,жуьре
316,Stück::N,pieza,кӏус
317,Teil::N,parte,пай
318,Hälfte::N,mitad,зур
319,Hälfte::N,mitad,зур пай
320,Kreis::N,círculo,круг
321,Kreis::N,círculo,чкаяр
322,Kreis::N,círculo,элкъвей цӏар
323,Kreuz::N,cruz,хаш
324,Linie::N,línea,цӏар
325,Strich::N,raya,цӏар
326,Strich::N,trazo,цӏар
327,Abstand::N,distancia,ара
328,Entfernung::N,distancia,мензил
329,Gegend::N,región,чка
330,Gegend::N,comarca,чка
331,Platz::N,espacio,ара
332,Ort::N,sitio,чка
333,Seite::N,lado,пад
334,Seite::N,costado,пад
335,Mitte::N,medio,юкь
336,Mitte::N,centro,юкь
337,Gegenstand::N,objeto,затӏ
338,Sache::N,cosa,шей
339,Sache::N,cosa,затӏ
340,Rand::N,borde,къерех
341,Kante::N,borde,син
342,Ecke::N,esquina,пӏипӏ
343,Spitze::N,punta,кӏвенкӏв
344,Ende::N,cabo,кьил
345,Ende::N,extremo,кьил
346,Loch::N,agujero,тӏеквен
347,Loch::N,abertura,тӏеквен
348,Winkel::N,ángulo,пӏипӏ
349,Muster::N,dibujo,гишир
350,Größe::N,tamaño,кьадар
351,Länge::N,longitud,яргъивал
352,Höhe::N,altura,кьакьанвал
353,Höhe::N,altitud,кьакьанвал
354,Gewicht::N,peso,заланвал
355,Menge::N,cantidad,кьадар
356,Haufen::N,montón,хара
357,Reihe::N,fila,жерге
358,Boot::N,bote,луьткве
359,Boot::N,barca,луьткве
360,Ruder::N,remo,кьусу
361,Schlitten::N,trineo,гъелерар
362,Ski::N,esquí,
363,Lagerfeuer::N,hoguera,цӏай
364,Last::N,carga,заланвал
365,Gang::N,marcha,ериш
366,Schritt::N,paso,къадам
367,Norden::N,norte,кефер
368,Norden::N,norte,кефер пад
369,Süden::N,sur,кьибле
370,Westen::N,oeste,рагъакӏидай пад
371,Osten::N,este,рагъэкъечӏдай пад
372,Holz::N,madera,кӏарас
373,Brett::N,tabla,кьул
374,Brett::N,tabla,тахта
375,Platte::N,placa,
376,Platte::N,plancha,
377,Stütze::N,sostén,даях
378,Stütze::N,soporte,даях
379,Stange::N,vara,юрк
380,Stange::N,percha,юрк
381,Stock::N,palo,лаш
382,Stock::N,bastón,лаш
383,Stab::N,vara,юрк
384,Stab::N,bastón,юрк
385,Rohr::N,tubo,турба
386,Haus::N,casa,ужагъ
387,Heim::N,hogar,кӏвал
388,Ofen::N,estufa,пич
389,Fußboden::N,suelo,кӏвалин ччил
390,Tisch::N,mesa,стол
391,Stuhl::N,silla,стул
392,Wiege::N,cuna,кьеб
393,Bett::N,cama,тахт
394,Regal::N,estantería,кьацӏ
395,Kiste::N,caja,ящик
396,Fenster::N,ventana,дакӏар
397,Tür::N,puerta,рак
398,Tor::N,puerta,варар
399,Zaun::N,valla,пару
400,Zaun::N,cercado,пару
401,Dach::N,techo,къав
402,Dach::N,tejado,къав
403,Leiter::N,escalera,гурар
404,Besen::N,escoba,таран кул
405,Spaten::N,pala,ппер
406,Schaufel::N,pala,хекендаз
407,Schaufel::N,paleta,хекендаз
408,Gabel::N,tenedor,шиш
409,Löffel::N,cuchara,тӏур
410,Messer::N,cuchillo,чукӏул
411,Nagel::N,clavo,мих
412,Netz::N,red,чил
413,Haken::N,gancho,къармах
414,Haken::N,corchete,къармах
415,Griff::N,asa,ттум
416,Griff::N,mango,ттум
417,Schloss::N,cerradura,куьлег
418,Bild::N,imagen,шикил
419,Bild::N,imagen,суьрет
420,Figur::N,figura,фигура
421,Puppe::N,muñeca,нини
422,Beutel::N,bolsa,тагъар
423,Bündel::N,haz,галгам
424,Tasche::N,bolso,чанта
425,Eimer::N,cubo,ведре
426,Deckel::N,tapa,кьил
427,Deckel::N,tapa,къалпагъ
428,Deckel::N,tapadera,кьил
429,Deckel::N,tapadera,къалпагъ
430,Geschirr::N,vajilla,къаб-къажах
431,Sack::N,saco,чувал
432,Tasse::N,taza,сукӏра
433,Topf::N,olla,къажгъан
434,Topf::N,marmita,къажгъан
435,Kessel::N,caldera,къажгъан
436,Essen::N,comida,тӏуьн
437,Nahrung::N,alimento,тӏуьн
438,Speise::N,plato,хуьрек
439,Fleisch::N,carne,як
440,Getreide::N,cereales,техил
441,Brei::N,puré,хапӏа
442,Brei::N,puré,хешил
443,Brei::N,papilla,хапӏа
444,Brei::N,papilla,хешил
445,Brot::N,pan,фу
446,Scheibe::N,lonja,чӏук
447,Scheibe::N,rebanada,чӏук
448,Fett::N,grasa,ягълу
449,Butter::N,mantequilla,гъери
450,Öl::N,aceite,ягълу
451,Salz::N,sal,кьел
452,Suppe::N,sopa,суп
453,Suppe::N,sopa,шурпа
454,Honig::N,miel,вирт
455,Milch::N,leche,нек
456,Tee::N,té,чай
457,Leder::N,cuero,тумаж
458,Wolle::N,lana,йис
459,Stoff::N,tela,парча
460,Stoff::N,tejido,парча
461,Nadel::N,aguja,раб
462,Faden::N,hilo,гъал
463,Knopf::N,botón,дуьгме
464,Knoten::N,nudo,тӏвал
465,Farbe::N,pintura,ранг
466,Kleidung::N,ropa,партал
467,Kleidung::N,vestidos,партал
468,Hemd::N,camisa,перем
469,Kragen::N,cuello,хев
470,Ärmel::N,manga,хел
471,Hose::N,pantalón,шалвар
472,Gürtel::N,cinturón,чӏул
473,Mütze::N,gorro,бармак
474,Mütze::N,gorro,бапӏах
475,Schuh::N,zapato,ботинка
476,Stiefel::N,bota,чекме
477,Ring::N,anillo,тупӏал
478,Band::N,cinta,тасма
479,Kamm::N,peine,регъ
480,Spiegel::N,espejo,гуьзгуь
481,Riemen::N,correa,къайиш
482,Schnur::N,cuerda,еб
483,Leine::N,correa,
484,Decke::N,manta,яргъан
485,Kissen::N,almohada,хъуьцуьган
486,Tuch::N,pañuelo,шал
487,Handtuch::N,toalla,дасмал
488,Kraft::N,fuerza,гуж
489,Stärke::N,fuerza,къуват
490,Gesundheit::N,salud,сагъвал
491,Krankheit::N,enfermedad,тӏал
492,Schmerz::N,dolor,тӏал
493,Schmerz::N,dolor,тӏарвал
494,Wunde::N,llaga,хер
495,Wunde::N,herida,хер
496,Fieber::N,fiebre,ифин
497,Arznei::N,medicina,дарман
498,Arznei::N,medicamento,дарман
499,Brücke::N,puente,муьгъ
500,Brunnen::N,pozo,къуй
501,Weide::N,pasto,уьруьш
502,Pfad::N,sendero,рехъ
503,Weg::N,camino,рехъ
504,Straße::N,vía,рехъ
505,Straße::N,carretera,рехъ
506,Dorf::N,aldea,хуьр
507,Dorf::N,pueblo,хуьр
508,Stadt::N,ciudad,шегьер
509,Brief::N,carta,кагъаз
510,Buch::N,libro,улуб
511,Buchstabe::N,letra,гьарф
512,Buchstabe::N,carácter,гьарф
513,Zeitung::N,diario,газета
514,Zeitung::N,periódico,газета
515,Leben::N,vida,уьмуьр
516,Tod::N,muerte,кьиникь
517,Grab::N,tumba,сур
518,Grab::N,sepulcro,сур
519,Kirche::N,iglesia,килиса
520,Sünde::N,pecado,гунагь
521,Gott::N,dios,аллагь
522,Arbeiter::N,obrero,фяле
523,Arbeiter::N,trabajador,фяле
524,Chef::N,jefe,гьаким
525,Meister::N,maestro,устӏар
526,Arzt::N,médico,доктор
527,Lehrer::N,profesor,муаллим
528,Geld::N,dinero,пул
529,Geschäft::N,negocio,
530,Laden::N,tienda,магазин
531,Preis::N,precio,къимет
532,Ware::N,mercancía,мал
533,Ware::N,mercancía,товар
534,Nutzen::N,provecho,хийир
535,Nutzen::N,provecho,менфят
536,Reichtum::N,riqueza,девлет
537,Welt::N,mundo,дуьнья
538,Land::N,país,уьлкве
539,Staat::N,Estado,пачагьлугъ
540,Staat::N,Estado,государство
541,König::N,rey,пачагь
542,Macht::N,poder,власть
543,Macht::N,potencia,власть
544,Grenze::N,frontera,сергьят
545,Krieg::N,guerra,дяве
546,Feind::N,enemigo,душман
547,Gewalt::N,violencia,гуж
548,Kampf::N,lucha,женг
549,Kampf::N,combate,женг
550,Bogen[Waffe]::N,arco,чӏемерук
551,Pfeil::N,flecha,хьел
552,Gewehr::N,fusil,тфенг
553,Gewehr::N,escopeta,тфенг
554,Fehler::N,error,гъалатӏ
555,Lüge::N,mentira,ттаб
556,Schaden::N,daño,зиян
557,Schaden::N,daño,зарар
558,Unglück::N,desgracia,бала
559,Unglück::N,desgracia,бедбахтвал
560,Schuld::N,culpa,тахсир
561,Alter::N,edad,яш
562,Schluss::N,fin,эхир
563,Schluss::N,final,эхир
564,Zeit::N,tiempo,вяде
565,Tag::N,día,югъ
566,Morgen::N,mañana,пакама
567,Mittag::N,mediodía,нисин
568,Abend::N,noche,няни
569,Nacht::N,noche,йиф
570,Woche::N,semana,гьафте
571,Monat::N,mes,варз
572,Jahr::N,año,йис
573,Frühling::N,primavera,гатфар
574,Sommer::N,verano,гад
575,Herbst::N,otoño,зул
576,Winter::N,invierno,кьуьд
577,Januar::N,enero,январь
578,Februar::N,febrero,февраль
579,März::N,marzo,март
580,April::N,abril,апрель
581,Mai::N,mayo,май
582,Juni::N,junio,июнь
583,Juli::N,julio,июль
584,August::N,agosto,август
585,September::N,septiembre,сентябрь
586,Oktober::N,octubre,октябрь
587,November::N,noviembre,ноябрь
588,Dezember::N,diciembre,декабрь
589,Montag::N,lunes,ислен
590,Dienstag::N,martes,саласа
591,Mittwoch::N,miércoles,арбе
592,Donnerstag::N,jueves,хемис югъ
593,Freitag::N,viernes,жуьмя
594,Freitag::N,viernes,жуьмя югъ
595,Samstag::N,sábado,киш
596,Sonntag::N,domingo,гьяд
597,groß::A,grande,еке
598,groß::A,grande,чӏехи
599,klein::A,pequeño,гъвечӏи
600,lang::A,largo,яргъи
601,kurz::A,corto,куьруь
602,breit::A,ancho,гьяркьуь
603,schmal::A,estrecho,гуьтӏуь
604,dicht::A,denso,къалин
605,dick[Gegenstand]::A,grueso,
606,dünn::A,fino,кьелечӏ
607,dünn::A,delgado,кьелечӏ
608,fein::A,fino,шуькӏуь
609,fein::A,delicado,шуькӏуь
610,fest::A,firme,кӏеви
611,fest::A,sólido,кӏеви
612,flach::A,plano,кьулу
613,glatt::A,liso,цӏалцӏам
614,hart::A,duro,кӏеви
615,weich::A,muelle,хъуьтуьл
616,rund::A,redondo,элкъвей
617,spitz::A,agudo,хци
618,spitz::A,apuntado,хци
619,scharf::A,agudo,хци
620,scharf::A,afilado,хци
621,stumpf::A,sin filo,къуьруь
622,schwer::A,pesado,залан
623,schön::A,bello,иер
624,schön::A,hermoso,иер
625,heiß::A,caluroso,кудай
626,warm::A,cálido,чими
627,warm::A,caliente,чими
628,kalt::A,frío,мекьи
629,kühl::A,fresco,къайи
630,frisch::A,fresco,таза
631,frisch::A,fresco,михьи
632,feucht::A,húmedo,ламу
633,nass::A,mojado,кьежей
634,trocken::A,seco,кьуру
635,voll::A,lleno,ацӏай
636,leer::A,vacío,буш
637,leer::A,vacío,ичӏи
638,offen::A,abierto,ахъа
639,geschlossen::A,cerrado,кӏеви
640,sauber::A,limpio,михьи
641,schmutzig::A,sucio,чиркин
642,schmutzig::A,sucio,кьацӏай
643,roh::A,crudo,чиг
644,roh::A,crudo,ицӏи
645,reif::A,maduro,дигмиш хьайи
646,lecker::A,rico,дадлу
647,lecker::A,sabroso,дадлу
648,süß::A,dulce,ширин
649,bitter::A,amargo,туькьуьл
650,sauer::A,agrio,цуру
651,hell::A,claro,экуь
652,dunkel::A,oscuro,мичӏи
653,schwarz::A,negro,чӏулав
654,weiß::A,blanco,лацу
655,rot::A,rojo,яру
656,gelb::A,amarillo,хъипи
657,blau::A,azul,вили
658,grün::A,verde,къацу
659,grau::A,gris,рехи
660,bunt::A,multicolor,цӏару
661,bunt::A,multicolor,яру-цӏару
662,billig::A,barato,ужуз
663,teuer::A,caro,багьа
664,wertvoll::A,valioso,масан
665,wertvoll::A,precioso,масан
666,blind::A,ciego,буьркьуь
667,taub::A,sordo,биши
668,kräftig::A,fuerte,гужлу
669,stark::A,fuerte,къуватлу
670,stark::A,vigoroso,къуватлу
671,schwach::A,débil,такьатсуз
672,fett::A,obeso,куьк
673,schlank::A,esbelto,шумал
674,hübsch::A,mono,гуьрчег
675,hübsch::A,guapo,гуьрчег
676,böse::A,malo,пис
677,dumm::A,tonto,ахмакь
678,dumm::A,estúpido,ахмакь
679,faul::A,vago,тенпел
680,faul::A,perezoso,тенпел
681,fleißig::A,aplicado,сяй ийидай
682,fleißig::A,aplicado,сяйи ийидай
683,fleißig::A,diligente,сяй ийидай
684,fleißig::A,diligente,сяйи ийидай
685,geizig::A,avaro,мискьи
686,klug::A,sensato,акьуллу
687,klug::A,inteligente,акьуллу
688,geschickt::A,hábil,магьир
689,lieb::A,querido,играми
690,lustig::A,alegre,шад
691,sanft::A,suave,назик
692,sanft::A,suave,милайим
693,hungrig::A,hambriento,гишин
694,krank::A,enfermo,кефсуз
695,nackt::A,desnudo,кьецӏил
696,traurig::A,triste,пашман
697,lebendig::A,vivo,ччан алай
698,lebendig::A,viviente,ччан алай
699,gut::A,bueno,хъсан
700,gut::A,bueno,вижевай
701,schlecht::A,malo,пис
702,richtig::A,justo,дуьз
703,richtig::A,correcto,дуьз
704,schlimm::A,malo,нифретлу
705,schlimm::A,grave,нифретлу
706,wahr::A,verídico,гьакъикъи
707,wahr::A,verdadero,гьакъикъи
708,alt::A,viejo,эски
709,alt::A,viejo,куьгьне
710,neu::A,nuevo,цӏийи
711,ehemalig::A,antiguo,виликан
712,alt[Lebewesen]::A,viejo,кьуьзуь
713,jung::A,joven,жегьил
714,arm::A,pobre,кесиб
715,reich::A,rico,девлетлу
716,bekannt::A,conocido,чидай
717,berühmt::A,famoso,машгьур
718,berühmt::A,célebre,машгьур
719,fremd::A,extraño,ччара
720,verschieden::A,diverso,жуьреба-жуьре
721,verschieden::A,distinto,жуьреба-жуьре
722,verschieden::A,diferente,жуьреба-жуьре
723,nah::A,cercano,мукьвал
724,fern::A,lejano,яргъал
725,linker::A,izquierdo,чапла
726,rechter::A,derecho,эрчӏи
727,anderer::A,otro,маса
728,anderer::A,otro,муькуь
729,erster::A,primero,сад лагьай
730,zweiter::A,segundo,кьвед лагьай
731,dritter::A,tercero,пуд лагьай
732,letzter::A,último,эхиримжи
733,allein::ADV,a solo,кьилди
734,auf einmal::ADV,de una vez,
735,zusammen::ADV,juntos,санал
736,lange::ADV,mucho tiempo,яргъалди
737,plötzlich::ADV,de repente,садлагьана
738,sofort::ADV,en seguida,гьасятда
739,später::ADV,más tarde,гуьгъуьнлай
740,jetzt::ADV,ahora,гила
741,heute::ADV,hoy,къе
742,morgen::ADV,mañana,пака
743,bald::ADV,pronto,мукьва
744,bald::ADV,pronto,мукьвара
745,bald::ADV,en breve,мукьва
746,bald::ADV,en breve,мукьвара
747,dann::ADV,luego,ахпа
748,dann::ADV,entonces,ахпа
749,gestern::ADV,ayer,накь
750,einst::ADV,antaño,садра
751,damals::ADV,entonces,а чӏавуз
752,danach::ADV,después,ахпа
753,vorher::ADV,antes,вилик
754,zuerst::ADV,primero,сифте
755,einmal::ADV,una vez,садра
756,manchmal::ADV,a veces,гагь-гагь
757,oft::ADV,a menudo,гзаф вахтара
758,oft::ADV,con frecuencia,гзаф вахтара
759,immer::ADV,siempre,гьамиша
760,niemals::ADV,jamás,са чӏавузни
761,niemals::ADV,jamás,са вахтундани
762,hier::ADV,aquí,ина
763,hierhin::ADV,acá,иниз
764,von hier::ADV,desde aquí,инай
765,dort::ADV,ahí,ана
766,dort::ADV,allí,ана
767,dorthin::ADV,allí,аниз
768,dorthin::ADV,hacia allí,аниз
769,geradeaus::ADV,todo derecho,дуьз
770,vorwärts::ADV,adelante,вилик
771,vorwärts::ADV,adelante,виликди
772,rückwärts::ADV,hacia atrás,кьулухъ
773,zurück::ADV,atrás,
774,unten::ADV,abajo,агъада
775,hinab::ADV,hacia abajo,агъуз
776,oben::ADV,arriba,винел
777,hinauf::ADV,hacia arriba,виниз
778,überall::ADV,por todas partes,вирина
779,nicht::ADV,no,ваъ
780,ein wenig::ADV,un poco,са тӏимил
781,kaum::ADV,apenas,жизви
782,sehr::ADV,muy,лап
783,sehr::ADV,mucho,лап
784,so::ADV,tan,икӏ
785,noch::ADV,aún,гьеле
786,noch::ADV,todavía,гьеле
787,nur::ADV,solamente,анжах
788,schon::ADV,ya,хъувуна
789,schon::ADV,ya,мадни дардиз
790,schon::ADV,ya,мадни гуьтӏуьз
791,schon::ADV,ya,мадни гуьтӏуь я
792,wieder::ADV,de nuevo,
793,vergebens::ADV,en vano,нагьакь
794,vergebens::ADV,en vano,нагьакьа
795,vor::PRP,antes de,вилик
796,vor::PRP,delante de,вилик
797,hinter::PRP,tras,кьулухъ
798,hinter::PRP,detrás de,кьулухъ
799,unter::PRP,bajo,кӏаник
800,unter::PRP,debajo de,кӏаник
801,durch::PRP,por,арадай
802,durch::PRP,por,-кай хкатна
803,durch::PRP,a través de,арадай
