,Concept_ID,fa,ta
58,Träne::N,اشک,கண்ணீர்
59,Geschmack::N,مزه,நறுமணம்
60,Geruch::N,بو,துர்நாற்றம்
61,Schlaf::N,خواب,தூக்கம்
62,Traum::N,رؤیا,கனவு
63,Himmel::N,فلک,வானம்
64,Himmel::N,آسمان,வானம்
65,Sonne::N,آفتاب,சூரியன்
66,Sonne::N,خورشید,சூரியன்
67,Mond::N,ماه,சந்திரன்
68,Stern::N,ستاره,நட்சத்திரம்
69,Luft::N,هوا,காறறு
70,Wind::N,باد,காற்று
71,Welle::N,موج,அலை
72,Wasser::N,آب,நீர்
73,Stein::N,سنگ,கல்
74,Boden::N,زمین,தரை
75,Erde::N,خاک,மண்
76,Erde::N,زمین,மண்
77,Staub::N,گرد,தூசி
78,Staub::N,غبار,தூசி
79,Rauch::N,دود,புகை
80,Funke::N,جرقه,தீப்பொறி
81,Feuer::N,آتش,தீ
82,Licht::N,نور,வெளிச்சம்
83,Licht::N,روشنی,வெளிச்சம்
84,Schatten::N,سایه,நிழல்
85,Wetter::N,هوا,வானிலை
86,Nebel::N,مه,பனிமூட்டம்
87,Wolke::N,ابر,மேகம்
88,Regen::N,باران,மழை
89,Schnee::N,برف,உறைபனி
90,Eis::N,یخ,பனிக்கட்டி
91,Frost::N,یخبندان,உறைபனி
92,Kälte::N,سرما,குளிர்ந்த
93,Hitze::N,گرما,சூடு
94,Hitze::N,حرارت,சூடு
95,Raureif::N,برف ریزه,உறைபனி வெண்திரை
96,Regenbogen::N,رنگین‌کمان,வானவில்
97,Donner::N,رعد,இடி
98,Strömung::N,جریان,நீரோட்டம்
99,Tropfen::N,قطره,துளி
100,Schaum::N,کف,நுரை
101,Schmutz::N,گل,அழுக்கு
102,Schmutz::N,کثافت,அழுக்கு
103,See::N,دریاچه,ஏரி
104,Sumpf::N,مرداب,சதுப்பு நிலம்
105,Sumpf::N,باتلاق,சதுப்பு நிலம்
106,Moor::N,باتلاق,முட்புதற்காடு
107,Wiese::N,چمن,பசும் புல்தரை
108,Wald::N,جنگل,காடு
109,Hügel::N,تل,குன்று
110,Hügel::N,تپه,குன்று
111,Anhöhe::N,بلندی,பதுக்கை
112,Berg::N,کوه,மலை
113,Gipfel::N,قله,உச்சி மாநாடு
114,Höhle::N,غار,குகை
115,Abhang::N,سرازیری,சரிவு
116,Quelle::N,چشمه,மூலம்
117,Bach::N,نهر,ஓடை
118,Fluss::N,رود,ஆறு
119,Ufer::N,ساحل,நீர்க்கரை
120,Ufer::N,کرانه,நீர்க்கரை
121,Küste::N,ساحل,கடற்கரை
122,Festland::N,خشکی,நிலம்
123,Meer::N,دریا,கடல்
124,Bucht::N,خلیج,சிறுகுடா
125,Insel::N,جزیره,தீவு
126,Blume::N,گل,பூ
127,Gras::N,علف,புல்தரை
128,Wurzel::N,ریشه,வேர்
129,Baum::N,درخت,மரம்
130,Stamm::N,تنه,அடிமரம்
131,Rinde::N,توژ,பட்டை
132,Rinde::N,توژ,மரப்பட்டை
133,Rinde::N,پوست,பட்டை
134,Rinde::N,پوست,மரப்பட்டை
135,Ast::N,شاخه,கினை
136,Zweig::N,شاخه,குச்சி
137,Blatt::N,برگ,இலை
138,Birke::N,غان,பிர்ச் மரம்
139,Kiefer[Baum]::N,کاج,தேவதாரு மரம்
140,Weide[Baum]::N,بید,மர வகைகளுள் ஒன்று
141,Tanne::N,صنوبر,சாதிக்கய்
142,Horn::N,شاخ,கொம்பு
143,Feder::N,پر,இறகு
144,Fell::N,خز,மென்முடி
145,Flügel::N,پر,இறக்கை
146,Flügel::N,بال,இறக்கை
147,Klaue::N,چنگ,நகம்
148,Klaue::N,پنجه,நகம்
149,Kralle::N,پنجه,நகம்
150,Schwanz::N,دم,வால்
151,Ei::N,تخم,முட்டை
152,Nest::N,لانه,கூடு
153,Bau::N,بنا,குகை
154,Bau::N,ساختمان,குகை
155,Tier::N,هیوان,விலங்கு
156,Herde::N,رمه,கூட்டம்
157,Kuh::N,گاو,பசு
158,Bulle::N,گاو نر,காளை
159,Pferd::N,اسب,குதிரை
160,Schaf::N,گوسفند,செம்மறிஆடு
161,Schwein::N,خوک,பன்றி
162,Hund::N,سگ,நாய்
163,Katze::N,گربه,பூனை
164,Bär::N,خرس,கரடி
165,Eichhörnchen::N,سنجاب,அணில்
166,Elch::N,گوزن شمالی,கடம்பை
167,Fuchs::N,روباه,நரி
168,Hase::N,خرگوش,முயல்
169,Maus::N,موش,எலி
170,Wolf::N,گرگ,ஓநாய்
171,Vogel::N,پرنده,பறவை
172,Schwarm::N,دسته,தொகுதி
173,Huhn::N,مرغ,கோழிக்குஞசு
174,Hahn::N,خروس,சேவல்
175,Gans::N,غاز,பெண் வாத்து
176,Adler::N,عقاب,பருநது
177,Ente::N,اردک,வாத்து
178,Ente::N,مرغابی,வாத்து
179,Eule::N,جغد,ஆந்தை
180,Kranich::N,درنا,நாரை
181,Krähe::N,زاغ,காகம்
182,Krähe::N,کلاغ,காகம்
183,Kuckuck::N,فاخته,குயில்
184,Schwan::N,قو,அன்னம்
185,Fisch::N,ماهی,மீன்
186,Barsch::N,ماهی خاردار,பேர்ச்
187,Hecht::N,اردک ماهی,கோலாச்சி மீன்
188,Schlange[Tier]::N,مار,பாம்பு
189,Wurm::N,کرم,புழு
190,Spinne::N,عنکبوت,சிலந்தி
191,Ameise::N,مورچه,எறும்பு
192,Laus::N,شپش,பேன்
193,Mücke::N,پشه,கொசுவினப்பூச்சி
194,Fliege::N,مگس,ஈ
195,Schmetterling::N,پروانه,வண்ணத்துப்பூச்சி
196,Beere::N,گیله,சதைப்பழம்
197,Apfel::N,سیب,ஆப்பிள பழம்
198,Pilz::N,قارچ,காளான்
199,Zwiebel::N,پیاز,வெங்காயம்
200,Saat::N,بذر,விதை
201,Korn::N,تخم,தானியம்
202,Korn::N,دانه,தானியம்
203,Heu::N,علف خشک,வைக்கோல்
204,Schale::N,پوست,தோல்
205,Grube::N,گودال,குழி
206,Falle::N,دام,பொறி
207,Schlinge::N,حلقه,கண்ணி
208,Spur::N,رد,சுவடு
209,Asche::N,خاکستر,சாம்பல்
210,Dreck::N,کثافت,அழுக்கு
211,Eisen::N,آهن,இரும்பு
212,Gold::N,زر,தங்கம்
213,Gold::N,طلا,தங்கம்
214,Silber::N,نقره,வெள்ளி
215,Kohle::N,زغال,நிலக்கரி
216,Glas::N,شیشه,கண்ணாடி
217,Lehm::N,گل,களிமண்
218,Sand::N,شن,மணல்
219,Sand::N,ماسه,மணல்
220,Mensch::N,آدم,மனிதர்கள்
221,Mensch::N,انسان,மனிதர்கள்
222,Mann::N,مرد,மனிதன்
223,Frau::N,زن,பெண்
224,Kind::N,بچه,குழந்தை
225,Kind::N,کودک,குழந்தை
226,Junge::N,پسر,பையன்
227,Mädchen::N,دختر,சிறுமி
228,Familie::N,فامیل,குடும்பம்
229,Familie::N,خانواده,குடும்பம்
230,Großvater::N,پدربزرگ,தாத்தா
231,Großmutter::N,مادر‌بزرگ,பாட்டி
232,Eltern::N,والدین,பெற்றோர்
233,Eltern::N,پدر‌و‌مادر,பெற்றோர்
234,Vater::N,پدر,தந்தை
235,Mutter::N,مادر,தாய்
236,Sohn::N,پسر,மகன்
237,Tochter::N,دختر,மகள்
238,Bruder::N,برادر,சகோதரன்
239,Schwester::N,خواهر,அக்கா
240,Onkel::N,عمو,தாய் மாமன்
241,Onkel::N,دایی,தாய் மாமன்
242,Tante::N,عمه,அத்தை
243,Tante::N,خاله,அத்தை
244,Ehemann::N,همسر,கணவன்
245,Ehefrau::N,همسر,மனைவி
246,Freude::N,شادی,கொண்டாட்டம்
247,Gelächter::N,خنده,சிரிப்பு
248,Gelächter::N,قاه‌قاه,சிரிப்பு
249,Glück::N,اقبال,மகிழ்ச்சி
250,Kummer::N,غم,துயரம்
251,Kummer::N,غصه,துயரம்
252,Wunsch::N,آرزو,விருப்பம்
253,Lust::N,هوس,விருப்பம்
254,Geist::N,روح,ஆன்மா
255,Gedanke::N,فکر,எண்ணம்
256,Gedächtnis::N,حافظه,ஞாபகம்
257,Verstand::N,هوش,மனம்
258,Sinn::N,معنا,அர்த்தம்
259,Sinn::N,مفهوم,அர்த்தம்
260,Grund::N,سبب,காரணம்
261,Grund::N,دلیل,காரணம்
262,Wahrheit::N,حقیقت,உண்நை
263,Gespräch::N,صحبت,பெசு
264,Gespräch::N,گفتگو,பெசு
265,Märchen::N,قصه,நம்பத்தகாத கதை
266,Märchen::N,افسانه,நம்பத்தகாத கதை
267,Erzählung::N,داستان,கதை
268,Nachricht::N,خبر,செய்தி
269,Neuigkeit::N,خبر تازه,செய்தி
270,Name::N,اسم,பெயர்
271,Rätsel::N,معما,புதிர்
272,Rede::N,سخن,பேச்சு
273,Sprache::N,زبان,மொழி
274,Stimme::N,صدا,குரல்
275,Wort::N,کلمه,வார்த்தை
276,Zeichen::N,نشان,குறி
277,Zeichen::N,علامت,குறி
278,Ruf::N,صدا,அழைப்பு
279,Lärm::N,هیاهو,சத்தம்
280,Laut::N,صدا,ஒலி
281,Ton::N,آهنگ,குரல்
282,Lied::N,آواز,பாட்டு
283,Lied::N,ترانه,பாட்டு
284,Ruhe::N,آرامش,அமைதி
285,Leute::N,مردم,மக்கள்
286,Volk::N,خلق,மக்கள்
287,Arbeit::N,کار,வேலை
288,Gast::N,مهمان,விருந்தாளி
289,Geschenk::N,هدیه,பரிசுப் பொருள்
290,Spiel::N,بازی,விளையாட்டு
291,Gesellschaft::N,جمعیت,சமுதாயம்
292,Hilfe::N,کمک,உதவி
293,Freund::N,دوست,நண்பன்
294,Kamerad::N,رفیق,உடனிருப்பவன்
295,Angelegenheit::N,امر,செய்தி
296,Angelegenheit::N,قضیه,செய்தி
297,Anzahl::N,عده,எண்ணிக்கை
298,Anzahl::N,شمار,எண்ணிக்கை
299,Art::N,نوع,வகை
300,Stück::N,تکه,துண்டம்
301,Stück::N,قطعه,துண்டம்
302,Teil::N,بخش,பகுதி
303,Teil::N,قسمت,பகுதி
304,Hälfte::N,نیم,பாதி
305,Kreis::N,حلقه,வட்டம்
306,Kreis::N,دایره,வட்டம்
307,Kreuz::N,صلیب,சிலுவை
308,Linie::N,خط,கோடு
309,Linie::N,سطر,கோடு
310,Strich::N,خط,வாத நோய்
311,Abstand::N,فاصله,இடைவெளி
312,Entfernung::N,مسافت,தூரம்
313,Gegend::N,منطقه,வட்டாரம்
314,Platz::N,گنجایش,வெற்றிடம்
315,Ort::N,جا,இடம்
316,Ort::N,محل,இடம்
317,Ort::N,مکان,இடம்
318,Seite::N,طرف,பக்கம்
319,Mitte::N,وسط,இடைப்பகுதி
320,Mitte::N,میان,இடைப்பகுதி
321,Gegenstand::N,چیز,உருப்படி
322,Sache::N,چیز,பொருள்
323,Rand::N,کنار,தொங்கு
324,Rand::N,حاشیه,தொங்கு
325,Kante::N,لبه,விளிம்பு
326,Ecke::N,گوشه,மூலை
327,Spitze::N,سر,முனை
328,Spitze::N,نوک,முனை
329,Ende::N,ته,முடிவு
330,Ende::N,آخر,முடிவு
331,Loch::N,سوراخ,துளை
332,Winkel::N,کنج,கோணம்
333,Muster::N,نقش,பாங்கு
334,Größe::N,قد,அளவு
335,Größe::N,بزرگی,அளவு
336,Länge::N,طول,நீளம்
337,Höhe::N,بلندی,உயரம்
338,Gewicht::N,وزن,எடை
339,Menge::N,مقدار,தொகை
340,Menge::N,اندازه,தொகை
341,Haufen::N,توده,குவியல்
342,Reihe::N,ردیف,வரிசை
343,Boot::N,قایق,படகு
344,Ruder::N,پارو,துடுப்பு
345,Schlitten::N,سورتمه,சகடையிலா வண்டி
346,Ski::N,اسکی,பனிச் சறுக்கல்
347,Lagerfeuer::N,آتش,மூட்டம்
348,Last::N,بار,பாரம்
349,Last::N,سنگینی,பாரம்
350,Gang::N,راه رفتن,நடை
351,Schritt::N,قدم,காலடி
352,Norden::N,شمال,வடக்கு
353,Süden::N,جنوب,தெற்கு
354,Westen::N,غرب,மேற்கு திசை
355,Osten::N,شرق,கிழக்கு
356,Holz::N,چوب,மரக்கட்டை
357,Brett::N,تخته,பலகை
358,Platte::N,صفحه,பலகம்
359,Stütze::N,تکیه,அடைப்புகன்
360,Stange::N,میله,கம்பம்
361,Stock::N,چوب,குச்சி
362,Stab::N,عصا,கம்பு
363,Rohr::N,لوله,குழாய்
364,Haus::N,منزل,வீடு
365,Heim::N,خانه,வீடு
366,Heim::N,کاشانه,வீடு
367,Ofen::N,بخاری,அடுப்பு
368,Fußboden::N,کف اتاق,தரை
369,Tisch::N,میز,மேசை
370,Stuhl::N,صندلی,நாற்காலி
371,Wiege::N,گهواره,தொட்டில்
372,Bett::N,تختخواب,படுக்கை
373,Regal::N,قفسه,அலமாரி
374,Kiste::N,صندوق,பெட்டி
375,Fenster::N,پنجره,சாளரம்
376,Tür::N,در,கதவு
377,Tür::N,درب,கதவு
378,Tor::N,دروازه,வாசற்கதவு
379,Zaun::N,حصار,வேலி
380,Dach::N,بام,கூரை
381,Leiter::N,نردبان,ஏணி
382,Besen::N,جارو,விளக்குமாறு
383,Spaten::N,بیل,மண்வெட்டி
384,Schaufel::N,بیل,அடிதண்டா
385,Schaufel::N,پارو,அடிதண்டா
386,Gabel::N,چنگال,முட்கரண்டி
387,Löffel::N,قاشق,கரண்டி
388,Messer::N,کارد,கத்தி
389,Nagel::N,میخ,ஆணி
390,Netz::N,تور,வலை
391,Netz::N,شبکه,வலை
392,Haken::N,قلاب,கொக்கி
393,Griff::N,دسته,கைப்பிடி
394,Schloss::N,قفل,பூட்டு
395,Bild::N,عکس,படம்
396,Bild::N,تصویر,படம்
397,Figur::N,تندیس,எண்ணிக்கை
398,Puppe::N,عروسک,பொம்மை
399,Beutel::N,کیسه,பை
400,Bündel::N,بسته,பொதி
401,Tasche::N,کیف,பை
402,Eimer::N,سطل,வாளி
403,Deckel::N,در,உறை
404,Geschirr::N,ظرف,பாத்திரம்
405,Sack::N,گونی,பை
406,Tasse::N,فنجان,கிண்ணம்
407,Topf::N,دیگ,பானை
408,Topf::N,قابلمه,பானை
409,Kessel::N,دیگ,கெண்டி
410,Essen::N,خوراک,உணவருந்துதல்
411,Nahrung::N,غذا,உணவு
412,Speise::N,خوراک,உணவு வகை
413,Fleisch::N,گوشت,இறைச்சி
414,Getreide::N,غله,மக்காச்சோளம்
415,Brei::N,فرنی,கஞ்சி
416,Brei::N,حریره,கஞ்சி
417,Brot::N,نان,ரொட்டி
418,Scheibe::N,قاچ,துண்டு
419,Scheibe::N,لزگه,துண்டு
420,Fett::N,چربی,கொழுப்பு
421,Butter::N,کره,வெண்ணெய்
422,Öl::N,روغن,எண்ணெய்
423,Salz::N,نمک,உப்பு
424,Suppe::N,آش,ரசம்
425,Suppe::N,سوپ,ரசம்
426,Honig::N,عسل,தேன்
427,Milch::N,شیر,பால்
428,Tee::N,چای,தெனீர்
429,Leder::N,چرم,பதம் செய்யப்பட்ட தோல்
430,Wolle::N,پشم,கம்பளி
431,Stoff::N,پارچه,துணி
432,Nadel::N,سوزن,ஊசி
433,Faden::N,نخ,நூல்
434,Knopf::N,دکمه,பொத்தான்
435,Knoten::N,گره,முடிச்சு
436,Farbe::N,رنگ,வண்ணக் குழம்பு
437,Kleidung::N,لباس,ஆடைகள்
438,Kleidung::N,پوشاک,ஆடைகள்
439,Hemd::N,پیراهن,சட்டை
440,Kragen::N,یقه,கழுத்துப் பட்டை
441,Ärmel::N,آستین,சட்டைக்கை
442,Hose::N,شلوار,கால்சட்டை
443,Gürtel::N,کمر‌بند,பெல்ட்
444,Mütze::N,کلاه,தொப்பி
445,Schuh::N,کفش,காலணி
446,Stiefel::N,چکمه,காலணி
447,Ring::N,حلقه,மோதிரம்
448,Ring::N,انگشتر,மோதிரம்
449,Band::N,نوار,நாடா
450,Band::N,روبان,நாடா
451,Kamm::N,شانه,கீப்பு
452,Spiegel::N,آینه,ஆடி
453,Spiegel::N,آینه,கண்ணாடி
454,Riemen::N,تسمه,வார்
455,Schnur::N,ریسمان,கயிறு
456,Leine::N,قلاده,தோல்வார்
457,Decke::N,پتو,போர்வை
458,Kissen::N,بالش,தலையணை
459,Tuch::N,شال,துணி
460,Handtuch::N,حوله,தண்டு
461,Kraft::N,نیرو,நிர்பந்தம்
462,Stärke::N,زور,பலம்
463,Gesundheit::N,سلامتی,ஆரோக்கியம்
464,Gesundheit::N,تندرستی,ஆரோக்கியம்
465,Krankheit::N,بیماری,நோய்
466,Schmerz::N,درد,வலி
467,Wunde::N,زخم,காயம்
468,Fieber::N,تب,காய்ச்சல்
469,Arznei::N,دارو,மருந்து
470,Brücke::N,پل,பாலம்
471,Brunnen::N,چاه,கேணி
472,Weide::N,چراگاه,மேய்ச்சல் நிலம்
473,Pfad::N,راه,நடை வழி
474,Weg::N,راه,வழி
475,Weg::N,طریق,வழி
476,Straße::N,راه,சாலை
477,Straße::N,جاده,சாலை
478,Dorf::N,ده,கிராமம்
479,Dorf::N,روستا,கிராமம்
480,Stadt::N,شهر,நகரம்
481,Brief::N,نامه,கடிதம்
482,Buch::N,کتاب,புத்தகம்
483,Buchstabe::N,حرف,எழத்து
484,Zeitung::N,روزنامه,செய்தித்தாள்
485,Leben::N,عمر,வாழ்க்கை
486,Leben::N,زندگی,வாழ்க்கை
487,Tod::N,مرگ,மரணம்
488,Grab::N,گور,சமாதி
489,Grab::N,مزار,சமாதி
490,Kirche::N,کلیسا,தேவாலயம்
491,Sünde::N,بزه,பாவம்
492,Sünde::N,گناه,பாவம்
493,Gott::N,خدا,கடவுள்
494,Arbeiter::N,کارگر,தொழிலாளி
495,Chef::N,رئیس,மேலாளர்
496,Meister::N,استاد,தலைவன்
497,Arzt::N,پزشک,மருத்துவர்
498,Lehrer::N,معلم,ஆசிரியர்
499,Lehrer::N,آموزگار,ஆசிரியர்
500,Geld::N,پول,பணம்
501,Geschäft::N,کار,வாணிபம்
502,Geschäft::N,بیزنس,வாணிபம்
503,Laden::N,دکان,கடை
504,Laden::N,مغازه,கடை
505,Preis::N,بها,விலை
506,Preis::N,قیمت,விலை
507,Ware::N,جنس,சாமன்கள்
508,Ware::N,کالا,சாமன்கள்
509,Nutzen::N,مزیت,இலாபம்
510,Nutzen::N,امتیاز,இலாபம்
511,Reichtum::N,مال,சொத்து
512,Reichtum::N,ثروت,சொத்து
513,Welt::N,دنیا,உலகம்
514,Land::N,کشور,நாடு
515,Land::N,مملکت,நாடு
516,Staat::N,دولت,நாடு
517,König::N,شاه,அரசன்
518,König::N,پادشاه,அரசன்
519,Macht::N,قدرت,அதிகாரம்
520,Macht::N,اختیار,அதிகாரம்
521,Grenze::N,مرز,எல்லை
522,Krieg::N,جنگ,போர்
523,Feind::N,دشمن,எதிரி
524,Gewalt::N,زور,வன்முறை
525,Gewalt::N,خشونت,வன்முறை
526,Kampf::N,نبرد,போராட்டம்
527,Kampf::N,مبارزه,போராட்டம்
528,Bogen[Waffe]::N,کمان,வில்
529,Pfeil::N,تیر,அம்பு
530,Gewehr::N,تفنگ,துப்பாக்கி
531,Fehler::N,غلط,தவறு
532,Fehler::N,اشتباه,தவறு
533,Lüge::N,دروغ,பொய்
534,Schaden::N,آسیب,சேதாரம்
535,Schaden::N,خسارت,சேதாரம்
536,Unglück::N,بلا,இடையூறு
537,Schuld::N,گناه,குற்றம்
538,Schuld::N,تقصیر,குற்றம்
539,Alter::N,سن,வயது
540,Alter::N,عمر,வயது
541,Schluss::N,انتها,முடிவு
542,Zeit::N,وقت,காலம்
543,Zeit::N,زمان,காலம்
544,Tag::N,روز,நாள்
545,Morgen::N,صبح,காலை நேரம்
546,Mittag::N,ظهر,மதியம்
547,Abend::N,شب,மாலைப் பொழுது
548,Abend::N,عصر,மாலைப் பொழுது
549,Nacht::N,شب,இரவு
550,Woche::N,هفته,வாரம்
551,Monat::N,ماه,மாதம்
552,Jahr::N,سال,வருடம்
553,Frühling::N,بهار,வசந்தம்
554,Sommer::N,تابستان,கோடை
555,Herbst::N,پاییز,இலையுதிர் காலம்
556,Winter::N,زمستان,குளிர்காலம்
557,Januar::N,ژانویه,ஜனவரி
558,Februar::N,فوریه,பிபரவரி மாதம்
559,März::N,مارس,மார்ச் மாதம்
560,April::N,آوریل,ஏப்ரல் மாதம்
561,Mai::N,مه,மே மாதம்
562,Juni::N,ژوئن,ஜூன் மாதம்
563,Juli::N,ژویه,ஜூலை மாதம்
564,August::N,اوت,ஆகஸ்ட் மாதம்
565,September::N,سپتامبر,செப்டம்பர் மாதம்
566,Oktober::N,اکتبر,அக்டோபர் மாதம்
567,November::N,نوامبر,நவம்பர் மாதம்
568,Dezember::N,دسامبر,டிசம்பர்
569,Montag::N,دو‌شنبه,திங்கட் கிழமை
570,Dienstag::N,سه‌شنبه,செவ்வாய்க்கிழமை
571,Mittwoch::N,چهار‌شنبه,புதன் கிழமை
572,Donnerstag::N,پنج شنبه,வியாழக் கிழமை
573,Freitag::N,جمعه,வெள்ளிக்கிழமை
574,Samstag::N,شنبه,சனிக்கிழமை
575,Sonntag::N,یکشنبه,ஞாயிறுக் கிழமை
576,groß::A,بزرگ,பெரிய
577,klein::A,کوچک,சிறிய
578,lang::A,بلند,நீண்ட
579,kurz::A,کوتاه,குட்டையான
580,breit::A,پهن,அகலமான
581,schmal::A,تنگ,குறுகலான
582,schmal::A,نازک,குறுகலான
583,dicht::A,چگال,அடர்த்தியான
584,dicht::A,انبوه,அடர்த்தியான
585,dick[Gegenstand]::A,ضخیم,தடித்த
586,dünn::A,نازک,சன்னமான
587,fein::A,ریز,மெல்லிய
588,fein::A,باریک,மெல்லிய
589,fest::A,محکم,உறுதியாள
590,flach::A,صاف,தட்டையான
591,flach::A,مسطح,தட்டையான
592,glatt::A,لیز,வழுவழுப்பான
593,hart::A,سفت,கடினமான
594,weich::A,نرم,மென்மையான
595,weich::A,ملایم,மென்மையான
596,rund::A,گرد,உருண்டையான
597,spitz::A,تیز,திகந்தமாக
598,spitz::A,نوک‌تیز,திகந்தமாக
599,scharf::A,تیز,கூரான
600,scharf::A,برنده,கூரான
601,stumpf::A,کند,உளம் திறந்த
602,schwer::A,سنگین,கனமான
603,schön::A,زیبا,அழகான
604,heiß::A,داغ,சூடான
605,warm::A,گرم,இதமான
606,kalt::A,سرد,குளிர்ச்சியான
607,kühl::A,خنک,குளிர்ச்சியான
608,frisch::A,تازه,சுத்தமான
609,feucht::A,مرطوب,ஈரமான
610,nass::A,تر,ஈரமான
611,nass::A,خیش,ஈரமான
612,trocken::A,خشک,உலர்ந்த
613,voll::A,پر,நிரம்பிய
614,leer::A,خالی,காலியான
615,offen::A,باز,திறந்த
616,geschlossen::A,بسته,மூடப்பட்ட
617,sauber::A,پاک,சுத்தமான
618,sauber::A,تمیز,சுத்தமான
619,schmutzig::A,کثیف,அழக்கான
620,schmutzig::A,آلوده,அழக்கான
621,roh::A,خام,கச்சா
622,reif::A,رسیده,பழுத்த
623,lecker::A,لذیذ,சுவைமிக்க
624,lecker::A,خوشمزه,சுவைமிக்க
625,süß::A,شیرین,இனிப்பான
626,bitter::A,تلخ,கசப்பான
627,sauer::A,ترش,புளிப்பாக
628,hell::A,روشن,பளபளப்பான
629,dunkel::A,تاریک,கருமையான
630,schwarz::A,سیاه,கருப்பு வண்ண
631,weiß::A,سفید,வெண்மையன
632,rot::A,سرخ,சிவப்பு
633,rot::A,قرمز,சிவப்பு
634,gelb::A,زرد,மஞ்சள் வண்ணம்
635,blau::A,آبی,நீல வண்ண
636,grün::A,سبز,பச்சை வண்ண
637,grau::A,طوسی,சாம்பல் நிற
638,grau::A,خاکستری,சாம்பல் நிற
639,bunt::A,رنگارنگ,வண்ண மயமான
640,billig::A,ارزان,மலிவான
641,teuer::A,گران,விலை அதிகமான
642,wertvoll::A,قیمتی,மதிப்புள்ள
643,wertvoll::A,گرانبها,மதிப்புள்ள
644,blind::A,کور,பார்வையற்ற
645,blind::A,نابینا,பார்வையற்ற
646,taub::A,کر,செவிடான
647,taub::A,ناشنوا,செவிடான
648,kräftig::A,قوی,வலிமையான
649,stark::A,قوی,பலமான
650,stark::A,نیرومند,பலமான
651,schwach::A,ضعیف,பலவீனமான
652,fett::A,چرب,பருமனாக
653,schlank::A,باریک‌اندام,ஒல்லியான
654,hübsch::A,قشنگ,அழகிய
655,hübsch::A,خوشگل,அழகிய
656,böse::A,بد,கேடு விளைவிக்கும்
657,dumm::A,احمق,முட்டாள்தனமான
658,faul::A,لش,சோம்பலான
659,faul::A,تنبل,சோம்பலான
660,fleißig::A,زرنگ,ஊக்கந்தளராத
661,geizig::A,خسیس,கஞேசத்தனமான
662,klug::A,عاقل,சாதுரியமான
663,klug::A,باهوش,சாதுரியமான
664,geschickt::A,ماهر,திறமையள்ள
665,lieb::A,عزیز,அன்புக்குரிய
666,lustig::A,شاد,களிப்புமிக்க
667,lustig::A,خوشحال,களிப்புமிக்க
668,sanft::A,لطیف,சாதுவான
669,hungrig::A,گرسنه,பசியுடன்
670,krank::A,مریض,நோயுற்று
671,krank::A,بیمار,நோயுற்று
672,nackt::A,لخت,ஆடையற்ற
673,nackt::A,برهنه,ஆடையற்ற
674,traurig::A,غمگین,சோகமான
675,lebendig::A,زنده,பிழைப்பு
676,gut::A,خوب,நல்ல
677,schlecht::A,بد,கெட்ட
678,richtig::A,درست,சரியான
679,schlimm::A,وخيم,அருவருப்பான
680,wahr::A,درست,உண்மையான
681,wahr::A,حقیقی,உண்மையான
682,alt::A,کهنه,பழைய
683,neu::A,نو,புதிய
