,Concept_ID,no,lez
102,Sumpf::N,sump,уьлен
103,Sumpf::N,myrlende,уьлен
104,Moor::N,myr,
105,Moor::N,myrhei,
106,Wiese::N,eng,векь
107,Wald::N,skog,там
108,Hügel::N,haug,кӏунтӏ
109,Hügel::N,bakke,кӏунтӏ
110,Anhöhe::N,haug,тепе
111,Anhöhe::N,haug,гьуьндуьрвал
112,Anhöhe::N,bakke,тепе
113,Anhöhe::N,bakke,гьуьндуьрвал
114,Berg::N,berg,дагъ
115,Berg::N,fjell,дагъ
116,Gipfel::N,topp,кӏукӏ
117,Höhle::N,hule,кьветӏ
118,Abhang::N,li,гуьне
119,Abhang::N,skråning,гуьне
120,Quelle::N,kilde,чешме
121,Bach::N,bekk,булах
122,Fluss::N,elv,вацӏ
123,Ufer::N,bredd,къерех
124,Küste::N,kyst,къерех
125,Festland::N,fastland,кьурамат
126,Meer::N,hav,гьуьл
127,Bucht::N,bukt,бухта
128,Insel::N,øy,остров
129,Blume::N,blomst,цуьк
130,Gras::N,gress,хъач
131,Wurzel::N,rot,дувул
132,Baum::N,tre,ттар
133,Stamm::N,stamme,тан
134,Rinde::N,bark,чкал
135,Ast::N,gren,тӏур
136,Zweig::N,kvist,хел
137,Blatt::N,blad,пеш
138,Birke::N,bjørk,верх
139,Kiefer[Baum]::N,furu,шамагъаж
140,Weide[Baum]::N,selje,цӏвелин ттар
141,Weide[Baum]::N,piletre,цӏвелин ттар
142,Tanne::N,gran,ель
143,Horn::N,horn,карч
144,Feder::N,fjær,цӏакул
145,Fell::N,skinn,хам
146,Flügel::N,vinge,лув
147,Klaue::N,klauv,къармах
148,Kralle::N,klo,пац
149,Kralle::N,klo,тапас
150,Schwanz::N,hale,ттум
151,Ei::N,egg,кака
152,Nest::N,rede,муг
153,Bau::N,hi,тӏеквен
154,Tier::N,dyr,гьайван
155,Herde::N,flokk,суьруь
156,Kuh::N,ku,ккал
157,Bulle::N,tyr,яц
158,Bulle::N,tyr,бугъа
159,Pferd::N,hest,балкӏан
160,Schaf::N,får,хеб
161,Schwein::N,gris,вак
162,Hund::N,hund,кицӏ
163,Katze::N,katt,кац
164,Bär::N,bjørn,сев
165,Eichhörnchen::N,ekorn,белка
166,Elch::N,elg,лось
167,Fuchs::N,rev,сикӏ
168,Hase::N,hare,къуьр
169,Maus::N,mus,кьиф
170,Wolf::N,ulv,жанавур
171,Wolf::N,varg,жанавур
172,Vogel::N,fugl,луван ничхир
173,Schwarm::N,sverm,луж
174,Huhn::N,høne,верч
175,Hahn::N,hane,кӏек
176,Gans::N,gås,къаз
177,Adler::N,ørn,лекь
178,Ente::N,and,пӏатӏ
179,Eule::N,ugle,тӏиб
180,Kranich::N,trane,дурна
181,Krähe::N,kråke,къаргъа
182,Kuckuck::N,gjøk,кукупӏ
183,Schwan::N,svane,къугь
184,Fisch::N,fisk,гъед
185,Barsch::N,abbor,окунь
186,Hecht::N,gjedde,щука
187,Schlange[Tier]::N,orm,илан
188,Schlange[Tier]::N,orm,гъуьлягъ
189,Schlange[Tier]::N,slange,илан
190,Schlange[Tier]::N,slange,гъуьлягъ
191,Wurm::N,orm,квак
192,Wurm::N,mark,квак
193,Spinne::N,edderkopp,хуьшрекан
194,Ameise::N,maur,цегв
195,Laus::N,lus,нет
196,Mücke::N,mygg,ветӏ
197,Fliege::N,flue,тӏветӏ
198,Schmetterling::N,sommerfugl,чепелукь
199,Beere::N,bær,куьлуь емиш
200,Apfel::N,eple,ич
201,Pilz::N,sopp,къарникъуз
202,Zwiebel::N,løk,чичӏек
203,Saat::N,sæd,тумар
204,Korn::N,korn,твар
205,Heu::N,høy,векь
206,Heu::N,høy,векьер
207,Schale::N,skall,пириш
208,Schale::N,skall,хъуьруьш
209,Grube::N,grop,фур
210,Falle::N,felle,ракьар
211,Schlinge::N,snare,гьалкъа
212,Spur::N,spor,гел
213,Asche::N,aske,руьхъ
214,Dreck::N,møkk,чирк
215,Dreck::N,møkk,кьуруш
216,Dreck::N,skitt,чирк
217,Dreck::N,skitt,кьуруш
218,Eisen::N,jern,ракь
219,Gold::N,gull,алтун
220,Silber::N,sølv,гимиш
221,Kohle::N,kol,цӏивин
222,Kohle::N,kull,цӏивин
223,Glas::N,glass,шуьше
224,Lehm::N,leire,ччеб
225,Sand::N,sand,къум
226,Mensch::N,menneske,инсан
227,Mann::N,mann,итим
228,Frau::N,kvinne,паб
229,Frau::N,kvinne,дишегьли
230,Kind::N,barn,аял
231,Junge::N,gutt,гада
232,Mädchen::N,pike,руш
233,Mädchen::N,jente,руш
234,Familie::N,familie,хзан
235,Familie::N,familie,килфет
236,Großvater::N,bestefar,чӏехи буба
237,Großmutter::N,bestemor,чӏехи диде
238,Eltern::N,foreldre,диде-буба
239,Vater::N,far,буба
240,Mutter::N,mor,диде
241,Sohn::N,sønn,хва
242,Tochter::N,datter,руш
243,Bruder::N,bror,стха
244,Schwester::N,søster,вах
245,Onkel::N,onkel,ими
246,Onkel::N,onkel,халу
247,Tante::N,tante,эме
248,Tante::N,tante,хала
249,Ehemann::N,ektemann,гъуьл
250,Ehefrau::N,hustru,паб
251,Freude::N,glede,шадвал
252,Gelächter::N,latter,хъвер
253,Glück::N,lykke,бахт
254,Kummer::N,sorg,дерт
255,Kummer::N,sorg,хажалат
256,Wunsch::N,ønske,мурад
257,Lust::N,lyst,гьевес
258,Geist::N,ånd,руьгь
259,Gedanke::N,tanke,фикир
260,Gedächtnis::N,minne,
261,Gedächtnis::N,hukommelse,
262,Verstand::N,forstand,акьул
263,Sinn::N,mening,мана
264,Sinn::N,betydning,мана
265,Grund::N,grunn,себеб
266,Wahrheit::N,sannhet,керчек
267,Wahrheit::N,sannhet,гьакъикъат
268,Gespräch::N,samtale,ихтилат
269,Märchen::N,eventyr,мах
270,Erzählung::N,fortelling,кьиса
271,Nachricht::N,melding,хабар
272,Neuigkeit::N,nyhet,цӏийи хабар
273,Name::N,navn,тӏвар
274,Rätsel::N,gåte,мискӏал
275,Rede::N,tale,рахун
276,Sprache::N,språk,чӏал
277,Stimme::N,stemme,ван
278,Wort::N,ord,гаф
279,Zeichen::N,tegn,ишара
280,Ruf::N,rop,эвер
281,Lärm::N,bråk,ван-сес
282,Laut::N,lyd,ван
283,Laut::N,lyd,сес
284,Ton::N,tone,ван-сес
285,Lied::N,vise,мани
286,Ruhe::N,ro,ласвал
287,Ruhe::N,ro,фаракъат
288,Ruhe::N,ro,асайиш
289,Leute::N,folk,инсанар
290,Volk::N,folk,халкь
291,Arbeit::N,arbeid,кӏвалах
292,Gast::N,gjest,мугьман
293,Geschenk::N,gave,савкьат
294,Spiel::N,lek,къугъун
295,Spiel::N,spill,къугъун
296,Gesellschaft::N,selskap,жемят
297,Gesellschaft::N,selskap,общество
298,Hilfe::N,hjelp,куьмек
299,Freund::N,venn,дуст
300,Kamerad::N,kamerat,яр-дуст
301,Angelegenheit::N,sak,кар
302,Angelegenheit::N,anliggende,кар
303,Anzahl::N,antall,сан
304,Anzahl::N,antall,кьадар
305,Art::N,art,жуьре
306,Art::N,slag,жуьре
307,Stück::N,stykke,кӏус
308,Teil::N,del,пай
309,Hälfte::N,halvdel,зур
310,Hälfte::N,halvdel,зур пай
311,Kreis::N,ring,круг
312,Kreis::N,ring,чкаяр
313,Kreis::N,ring,элкъвей цӏар
314,Kreis::N,sirkel,круг
315,Kreis::N,sirkel,чкаяр
316,Kreis::N,sirkel,элкъвей цӏар
317,Kreuz::N,kors,хаш
318,Kreuz::N,kryss,хаш
319,Linie::N,linje,цӏар
320,Strich::N,strek,цӏар
321,Abstand::N,avstand,ара
322,Entfernung::N,avstand,мензил
323,Gegend::N,strøk,чка
324,Platz::N,plass,ара
325,Ort::N,sted,чка
326,Seite::N,side,пад
327,Mitte::N,midte,юкь
328,Gegenstand::N,gjenstand,затӏ
329,Sache::N,sak,шей
330,Sache::N,sak,затӏ
331,Rand::N,rand,къерех
332,Kante::N,kant,син
333,Ecke::N,hjørne,пӏипӏ
334,Spitze::N,spiss,кӏвенкӏв
335,Ende::N,ende,кьил
336,Loch::N,hull,тӏеквен
337,Winkel::N,vinkel,пӏипӏ
338,Muster::N,mønster,гишир
339,Größe::N,størrelse,кьадар
340,Länge::N,lengde,яргъивал
341,Höhe::N,høyde,кьакьанвал
342,Gewicht::N,vekt,заланвал
343,Menge::N,mengde,кьадар
344,Haufen::N,haug,хара
345,Haufen::N,bunke,хара
346,Reihe::N,rekke,жерге
347,Boot::N,båt,луьткве
348,Ruder::N,åre,кьусу
349,Schlitten::N,slede,гъелерар
350,Schlitten::N,kjelke,гъелерар
351,Ski::N,ski,
352,Lagerfeuer::N,leirbål,цӏай
353,Last::N,bør,заланвал
354,Last::N,last,заланвал
355,Gang::N,gang,ериш
356,Schritt::N,steg,къадам
357,Schritt::N,skritt,къадам
358,Norden::N,nord,кефер
359,Norden::N,nord,кефер пад
360,Süden::N,sør,кьибле
361,Westen::N,vest,рагъакӏидай пад
362,Osten::N,øst,рагъэкъечӏдай пад
363,Holz::N,tre,кӏарас
364,Brett::N,fjøl,кьул
365,Brett::N,fjøl,тахта
366,Brett::N,brett,кьул
367,Brett::N,brett,тахта
368,Platte::N,plate,
369,Stütze::N,støtte,даях
370,Stange::N,stang,юрк
371,Stock::N,pinne,лаш
372,Stab::N,stav,юрк
373,Stab::N,kjepp,юрк
374,Rohr::N,rør,турба
375,Haus::N,hus,ужагъ
376,Heim::N,hjem,кӏвал
377,Ofen::N,ovn,пич
378,Fußboden::N,gulv,кӏвалин ччил
379,Tisch::N,bord,стол
380,Stuhl::N,stol,стул
381,Wiege::N,vogge,кьеб
382,Bett::N,seng,тахт
383,Regal::N,reol,кьацӏ
384,Regal::N,hylle,кьацӏ
385,Kiste::N,kasse,ящик
386,Fenster::N,vindu,дакӏар
387,Tür::N,dør,рак
388,Tor::N,port,варар
389,Zaun::N,gjerde,пару
390,Dach::N,tak,къав
391,Leiter::N,stige,гурар
392,Besen::N,kost,таран кул
393,Spaten::N,spade,ппер
394,Schaufel::N,skuffe,хекендаз
395,Gabel::N,gaffel,шиш
396,Löffel::N,skje,тӏур
397,Messer::N,kniv,чукӏул
398,Nagel::N,spiker,мих
399,Netz::N,nett,чил
400,Haken::N,krok,къармах
401,Griff::N,tak,ттум
402,Griff::N,håndtak,ттум
403,Schloss::N,lås,куьлег
404,Bild::N,bilde,шикил
405,Bild::N,bilde,суьрет
406,Figur::N,figur,фигура
407,Puppe::N,dukke,нини
408,Beutel::N,pose,тагъар
409,Bündel::N,bylt,галгам
410,Tasche::N,veske,чанта
411,Eimer::N,bøtte,ведре
412,Deckel::N,lokk,кьил
413,Deckel::N,lokk,къалпагъ
414,Geschirr::N,kjøkkentøy,къаб-къажах
415,Sack::N,sekk,чувал
416,Tasse::N,kopp,сукӏра
417,Topf::N,gryte,къажгъан
418,Kessel::N,kjele,къажгъан
419,Essen::N,mål,тӏуьн
420,Nahrung::N,mat,тӏуьн
421,Nahrung::N,næring,тӏуьн
422,Speise::N,matrett,хуьрек
423,Fleisch::N,kjøtt,як
424,Getreide::N,korn,техил
425,Brei::N,grøt,хапӏа
426,Brei::N,grøt,хешил
427,Brot::N,brød,фу
428,Scheibe::N,skive,чӏук
429,Fett::N,fett,ягълу
430,Butter::N,smør,гъери
431,Öl::N,olje,ягълу
432,Salz::N,salt,кьел
433,Suppe::N,suppe,суп
434,Suppe::N,suppe,шурпа
435,Honig::N,honning,вирт
436,Milch::N,melk,нек
437,Tee::N,te,чай
438,Leder::N,lær,тумаж
439,Leder::N,skinn,тумаж
440,Wolle::N,ull,йис
441,Stoff::N,tøy,парча
442,Stoff::N,stoff,парча
443,Nadel::N,nål,раб
444,Faden::N,tråd,гъал
445,Knopf::N,knapp,дуьгме
446,Knoten::N,knute,тӏвал
447,Farbe::N,farge,ранг
448,Kleidung::N,påkledning,партал
449,Hemd::N,skjorte,перем
450,Kragen::N,krage,хев
451,Ärmel::N,erme,хел
452,Hose::N,bukse,шалвар
453,Gürtel::N,belte,чӏул
454,Mütze::N,lue,бармак
455,Mütze::N,lue,бапӏах
456,Schuh::N,sko,ботинка
457,Stiefel::N,støvel,чекме
458,Ring::N,ring,тупӏал
459,Band::N,band,тасма
460,Kamm::N,kam,регъ
461,Spiegel::N,speil,гуьзгуь
462,Riemen::N,rem,къайиш
463,Schnur::N,snor,еб
464,Leine::N,line,
465,Decke::N,teppe,яргъан
466,Kissen::N,pute,хъуьцуьган
467,Tuch::N,tøy,шал
468,Handtuch::N,håndkle,дасмал
469,Kraft::N,kraft,гуж
470,Stärke::N,styrke,къуват
471,Gesundheit::N,helse,сагъвал
472,Gesundheit::N,sunnhet,сагъвал
473,Krankheit::N,syke,тӏал
474,Krankheit::N,sykdom,тӏал
475,Schmerz::N,smerte,тӏал
476,Schmerz::N,smerte,тӏарвал
477,Wunde::N,sår,хер
478,Fieber::N,feber,ифин
479,Arznei::N,medisin,дарман
480,Arznei::N,legemiddel,дарман
481,Brücke::N,bro,муьгъ
482,Brunnen::N,brønn,къуй
483,Weide::N,beite,уьруьш
484,Pfad::N,sti,рехъ
485,Weg::N,vei,рехъ
486,Straße::N,gate,рехъ
487,Dorf::N,landsby,хуьр
488,Stadt::N,by,шегьер
489,Brief::N,brev,кагъаз
490,Buch::N,bok,улуб
491,Buchstabe::N,bokstav,гьарф
492,Zeitung::N,avis,газета
493,Leben::N,liv,уьмуьр
494,Tod::N,død,кьиникь
495,Grab::N,grav,сур
496,Kirche::N,kirke,килиса
497,Sünde::N,synd,гунагь
498,Gott::N,gud,аллагь
499,Arbeiter::N,arbeider,фяле
500,Chef::N,sjef,гьаким
501,Meister::N,mester,устӏар
502,Arzt::N,lege,доктор
503,Lehrer::N,lærer,муаллим
504,Geld::N,penger,пул
505,Geschäft::N,forretning,
506,Laden::N,butikk,магазин
507,Preis::N,pris,къимет
508,Ware::N,vare,мал
509,Ware::N,vare,товар
510,Nutzen::N,nytte,хийир
511,Nutzen::N,nytte,менфят
512,Reichtum::N,rikdom,девлет
513,Welt::N,verden,дуьнья
514,Land::N,land,уьлкве
515,Staat::N,stat,пачагьлугъ
516,Staat::N,stat,государство
517,König::N,konge,пачагь
518,Macht::N,makt,власть
519,Grenze::N,grense,сергьят
520,Krieg::N,krig,дяве
521,Feind::N,fiende,душман
522,Gewalt::N,vold,гуж
523,Kampf::N,kamp,женг
524,Bogen[Waffe]::N,bue,чӏемерук
525,Pfeil::N,pil,хьел
526,Gewehr::N,gevær,тфенг
527,Fehler::N,feil,гъалатӏ
528,Lüge::N,løgn,ттаб
529,Schaden::N,skade,зиян
530,Schaden::N,skade,зарар
531,Unglück::N,uhell,бала
532,Unglück::N,uhell,бедбахтвал
533,Schuld::N,skyld,тахсир
534,Alter::N,alder,яш
535,Schluss::N,slutt,эхир
536,Zeit::N,tid,вяде
537,Tag::N,dag,югъ
538,Morgen::N,morgen,пакама
539,Mittag::N,middag,нисин
540,Abend::N,aften,няни
541,Nacht::N,natt,йиф
542,Woche::N,uke,гьафте
543,Monat::N,måned,варз
544,Jahr::N,år,йис
545,Frühling::N,vår,гатфар
546,Sommer::N,sommer,гад
547,Herbst::N,høst,зул
548,Winter::N,vinter,кьуьд
549,Januar::N,januar,январь
550,Februar::N,februar,февраль
551,März::N,mars,март
552,April::N,april,апрель
553,Mai::N,mai,май
554,Juni::N,juni,июнь
555,Juli::N,juli,июль
556,August::N,august,август
557,September::N,september,сентябрь
558,Oktober::N,oktober,октябрь
559,November::N,november,ноябрь
560,Dezember::N,desember,декабрь
561,Montag::N,mandag,ислен
562,Dienstag::N,tirsdag,саласа
563,Mittwoch::N,onsdag,арбе
564,Donnerstag::N,torsdag,хемис югъ
565,Freitag::N,fredag,жуьмя
566,Freitag::N,fredag,жуьмя югъ
567,Samstag::N,lørdag,киш
568,Sonntag::N,søndag,гьяд
569,groß::A,stor,еке
570,groß::A,stor,чӏехи
571,klein::A,liten,гъвечӏи
572,lang::A,lang,яргъи
573,kurz::A,kort,куьруь
574,breit::A,bred,гьяркьуь
575,schmal::A,smal,гуьтӏуь
576,dicht::A,tett,къалин
577,dick[Gegenstand]::A,tykk,
578,dünn::A,tynn,кьелечӏ
579,fein::A,fin,шуькӏуь
580,fest::A,fast,кӏеви
581,flach::A,flat,кьулу
582,glatt::A,glatt,цӏалцӏам
583,hart::A,hard,кӏеви
584,weich::A,myk,хъуьтуьл
585,weich::A,bløt,хъуьтуьл
586,rund::A,rund,элкъвей
587,spitz::A,spiss,хци
588,scharf::A,kvass,хци
589,stumpf::A,stubb,къуьруь
590,schwer::A,tung,залан
591,schön::A,pen,иер
592,schön::A,vakker,иер
593,heiß::A,het,кудай
594,warm::A,varm,чими
595,kalt::A,kald,мекьи
596,kühl::A,kjølig,къайи
597,frisch::A,fersk,таза
598,frisch::A,fersk,михьи
599,feucht::A,fuktig,ламу
600,nass::A,våt,кьежей
601,trocken::A,tørr,кьуру
602,voll::A,full,ацӏай
603,leer::A,tom,буш
604,leer::A,tom,ичӏи
605,offen::A,åpen,ахъа
606,geschlossen::A,lukket,кӏеви
607,sauber::A,ren,михьи
608,schmutzig::A,skitten,чиркин
609,schmutzig::A,skitten,кьацӏай
610,roh::A,rå,чиг
611,roh::A,rå,ицӏи
612,reif::A,moden,дигмиш хьайи
613,lecker::A,lekker,дадлу
614,süß::A,søt,ширин
615,bitter::A,besk,туькьуьл
616,bitter::A,bitter,туькьуьл
617,sauer::A,sur,цуру
618,hell::A,lys,экуь
619,dunkel::A,mørk,мичӏи
620,schwarz::A,svart,чӏулав
621,weiß::A,hvit,лацу
622,rot::A,rød,яру
623,gelb::A,gul,хъипи
624,blau::A,blå,вили
625,grün::A,grønn,къацу
626,grau::A,grå,рехи
627,bunt::A,broket,цӏару
628,bunt::A,broket,яру-цӏару
629,billig::A,billig,ужуз
630,teuer::A,dyr,багьа
631,wertvoll::A,verdifull,масан
632,blind::A,blind,буьркьуь
633,taub::A,døv,биши
634,kräftig::A,kraftig,гужлу
635,stark::A,sterk,къуватлу
636,schwach::A,svak,такьатсуз
637,fett::A,fet,куьк
638,schlank::A,slank,шумал
639,hübsch::A,pen,гуьрчег
640,böse::A,slem,пис
641,dumm::A,dum,ахмакь
642,faul::A,lat,тенпел
643,faul::A,doven,тенпел
644,fleißig::A,flittig,сяй ийидай
645,fleißig::A,flittig,сяйи ийидай
646,geizig::A,gjerrig,мискьи
647,klug::A,klok,акьуллу
648,geschickt::A,hendig,магьир
649,geschickt::A,skikket,магьир
650,lieb::A,kjær,играми
651,lieb::A,snill,играми
652,lustig::A,morsom,шад
653,sanft::A,blid,назик
654,sanft::A,blid,милайим
655,hungrig::A,sulten,гишин
656,krank::A,syk,кефсуз
657,nackt::A,naken,кьецӏил
658,traurig::A,sørgmodig,пашман
659,lebendig::A,levende,ччан алай
660,gut::A,god,хъсан
661,gut::A,god,вижевай
662,schlecht::A,dårlig,пис
663,richtig::A,riktig,дуьз
664,schlimm::A,slem,нифретлу
665,wahr::A,sann,гьакъикъи
666,alt::A,gammel,эски
667,alt::A,gammel,куьгьне
668,neu::A,ny,цӏийи
669,ehemalig::A,forhenværende,виликан
670,alt[Lebewesen]::A,gammel,кьуьзуь
671,jung::A,ung,жегьил
672,arm::A,fattig,кесиб
673,reich::A,rik,девлетлу
674,bekannt::A,kjent,чидай
675,berühmt::A,berømt,машгьур
676,fremd::A,fremmed,ччара
677,verschieden::A,forskjellig,жуьреба-жуьре
678,nah::A,nær,мукьвал
679,fern::A,fjern,яргъал
680,linker::A,venstre,чапла
681,rechter::A,høyre,эрчӏи
682,anderer::A,annen,маса
683,anderer::A,annen,муькуь
684,erster::A,første,сад лагьай
685,zweiter::A,annen,кьвед лагьай
686,dritter::A,tredje,пуд лагьай
687,letzter::A,sist,эхиримжи
688,allein::ADV,alene,кьилди
689,auf einmal::ADV,med ett,
690,zusammen::ADV,sammen,санал
691,lange::ADV,lenge,яргъалди
692,plötzlich::ADV,plutselig,садлагьана
693,sofort::ADV,straks,гьасятда
694,später::ADV,senere,гуьгъуьнлай
695,jetzt::ADV,nå,гила
696,heute::ADV,i dag,къе
697,morgen::ADV,i morgen,пака
698,bald::ADV,snart,мукьва
699,bald::ADV,snart,мукьвара
700,dann::ADV,så,ахпа
701,gestern::ADV,i går,накь
702,einst::ADV,engang,садра
703,damals::ADV,den gang,а чӏавуз
704,danach::ADV,deretter,ахпа
705,vorher::ADV,før,вилик
706,vorher::ADV,i forveien,вилик
707,zuerst::ADV,først,сифте
708,einmal::ADV,en gang,садра
709,manchmal::ADV,somme tider,гагь-гагь
710,oft::ADV,ofte,гзаф вахтара
711,immer::ADV,alltid,гьамиша
712,niemals::ADV,aldri,са чӏавузни
713,niemals::ADV,aldri,са вахтундани
714,hier::ADV,her,ина
715,hierhin::ADV,hit,иниз
716,von hier::ADV,herfra,инай
717,dort::ADV,der,ана
718,dorthin::ADV,dit,аниз
719,geradeaus::ADV,rett fram,дуьз
720,vorwärts::ADV,fram,вилик
721,vorwärts::ADV,fram,виликди
722,vorwärts::ADV,framover,вилик
723,vorwärts::ADV,framover,виликди
724,rückwärts::ADV,baklengs,кьулухъ
725,zurück::ADV,tilbake,
726,unten::ADV,nede,агъада
727,hinab::ADV,ned,агъуз
728,hinab::ADV,nedover,агъуз
729,oben::ADV,oppe,винел
730,oben::ADV,ovenpå,винел
731,hinauf::ADV,opp,виниз
732,hinauf::ADV,oppover,виниз
733,überall::ADV,overalt,вирина
734,nicht::ADV,ikke,ваъ
735,ein wenig::ADV,litt,са тӏимил
736,kaum::ADV,neppe,жизви
737,sehr::ADV,svært,лап
738,so::ADV,så,икӏ
739,noch::ADV,enda,гьеле
740,nur::ADV,bare,анжах
741,schon::ADV,alt,хъувуна
742,schon::ADV,alt,мадни дардиз
743,schon::ADV,alt,мадни гуьтӏуьз
744,schon::ADV,alt,мадни гуьтӏуь я
745,schon::ADV,allerede,хъувуна
746,schon::ADV,allerede,мадни дардиз
747,schon::ADV,allerede,мадни гуьтӏуьз
748,schon::ADV,allerede,мадни гуьтӏуь я
749,wieder::ADV,igjen,
750,vergebens::ADV,forgjeves,нагьакь
751,vergebens::ADV,forgjeves,нагьакьа
752,vor::PRP,foran,вилик
753,vor::PRP,utenfor,вилик
754,hinter::PRP,bak,кьулухъ
755,hinter::PRP,bakom,кьулухъ
756,unter::PRP,under,кӏаник
757,durch::PRP,gjennom,арадай
758,durch::PRP,gjennom,-кай хкатна
759,durch::PRP,igjennom,арадай
760,durch::PRP,igjennom,-кай хкатна
761,neben::PRP,ved siden av,патав
762,neben::PRP,ved siden av,мукьув
763,zwischen::PRP,mellom,ара
764,zwischen::PRP,mellom,арада
765,wegen::PRP,på grunn av,гъиляй
766,dies::PRN,dette,и
767,dies::PRN,dette,им
768,das::PRN,det,а
769,das::PRN,det,ам
770,alles::PRN,alt,вири
771,alles::PRN,alt,михьиз
772,ich::PRN,jeg,за
773,ich::PRN,jeg,зун
774,du::PRN,du,вун
775,er::PRN,han,ам
776,er::PRN,han,гьа
777,wir::PRN,vi,чун
778,ihr::PRN,dere,куьн
779,sie::PRN,de,абур
780,was::FPRN,hva,вуч
781,wer::FPRN,hvem,вуж
782,wo::FADV,hvor,гьина
783,wohin::FADV,hvor ... hen,гьиниз
784,wie::FADV,hvordan,гьикӏ
785,warum::FADV,hvorfor,вучиз
786,wieviel::FNUM,hvor mye,шумуд
787,eins::NUM,en,са
788,eins::NUM,ett,са
789,zwei::NUM,to,кьвед
790,drei::NUM,tre,пуд
791,vier::NUM,fire,кьуд
792,fünf::NUM,fem,вад
793,sechs::NUM,seks,ругуд
794,sieben::NUM,sju,ирид
795,acht::NUM,åtte,муьжуьд
796,neun::NUM,ni,кӏуьд
797,zehn::NUM,ti,цӏуд
798,elf::NUM,elleve,цӏусад
799,zwölf::NUM,tolv,цӏикьвед
800,zwanzig::NUM,tjue,къад
801,dreißig::NUM,tretti,къанницӏуд
802,vierzig::NUM,førti,яхцӏур
803,fünfzig::NUM,femti,яхцӏурни цӏуд
804,sechzig::NUM,seksti,пудкъад
805,siebzig::NUM,sytti,пудкъанни цӏуд
806,achtzig::NUM,åtti,кьудкъад
807,neunzig::NUM,nitti,кьудкъанни цӏуд
808,hundert::NUM,hundre,виш
809,tausend::NUM,tusen,агъзур
810,und::CNJ,og,ва
811,oder::CNJ,eller,я
812,stehen::V,stå,акъвазун
