,Concept_ID,ru,ca
62,Hunger::N,голод,fam
63,Hunger::N,голод,gana
64,Träne::N,слеза,llàgrima
65,Geschmack::N,вкус,gust
66,Geschmack::N,вкус,sabor
67,Geruch::N,запах,olor
68,Schlaf::N,сон,son
69,Traum::N,сновидение,somni
70,Himmel::N,небо,celm
71,Sonne::N,солнце,sol
72,Mond::N,луна,lluna
73,Stern::N,звезда,estel
74,Stern::N,звезда,estrella
75,Luft::N,воздух,aire
76,Wind::N,ветер,vent
77,Welle::N,волна,ona
78,Wasser::N,вода,āigua
79,Stein::N,камень,pedra
80,Boden::N,почва,sòl
81,Erde::N,земля,terra
82,Staub::N,пыль,pols
83,Rauch::N,дым,fum
84,Funke::N,искра,guspira
85,Funke::N,искра,centella
86,Feuer::N,огонь,foc
87,Licht::N,свет,llum
88,Schatten::N,тень,ombra
89,Wetter::N,погода,temps
90,Nebel::N,туман,boira
91,Wolke::N,облако,núvol
92,Regen::N,дождь,pluja
93,Schnee::N,снег,neu
94,Eis::N,лед,gel
95,Eis::N,лед,glaç
96,Frost::N,мороз,glaçada
97,Kälte::N,холод,fred
98,Hitze::N,жара,calor
99,Raureif::N,иней,gebre
100,Regenbogen::N,радуга,arc iris
101,Donner::N,гром,tro
102,Strömung::N,течение,corrent
103,Tropfen::N,капля,gota
104,Schaum::N,пена,escuma
105,Schmutz::N,грязь,brutícia
106,See::N,озеро,llac
107,Sumpf::N,топь,pantà
108,Moor::N,болото,pantà
109,Wiese::N,луг,prat
110,Wiese::N,луг,prada
111,Wald::N,лес,bosc
112,Hügel::N,холм,puig
113,Hügel::N,холм,pujol
114,Anhöhe::N,возвышенность,turó
115,Berg::N,гора,muntanya
116,Gipfel::N,вершина,cim
117,Höhle::N,пещера,cova
118,Abhang::N,склон,coster
119,Quelle::N,источник,font
120,Bach::N,ручей,riera
121,Fluss::N,река,riu
122,Ufer::N,берег,riba
123,Küste::N,побережье,costa
124,Festland::N,суша,terra ferma
125,Meer::N,море,mar
126,Bucht::N,бухта,cala
127,Bucht::N,бухта,badia
128,Insel::N,остров,illa
129,Blume::N,цветок,flor
130,Gras::N,трава,herba
131,Wurzel::N,корень,rel
132,Wurzel::N,корень,arrel
133,Baum::N,дерево,arbre
134,Stamm::N,ствол,tronc
135,Rinde::N,кора,escorça
136,Ast::N,сук,branca
137,Zweig::N,ветвь,ram
138,Blatt::N,лист,fulla
139,Birke::N,береза,bedoll
140,Kiefer[Baum]::N,сосна,pi
141,Weide[Baum]::N,ива,salze
142,Tanne::N,ель,avet
143,Horn::N,рог,corn
144,Horn::N,рог,banya
145,Feder::N,перо,ploma
146,Fell::N,шкура,pell
147,Flügel::N,крыло,ala
148,Klaue::N,коготь,urpa
149,Kralle::N,лапа,grapa
150,Schwanz::N,хвост,cua
151,Ei::N,яйцо,ou
152,Nest::N,гнездо,niu
153,Bau::N,нора,cau
154,Tier::N,животное,animāl
155,Herde::N,стадо,ramat
156,Kuh::N,корова,vaca
157,Bulle::N,бык,toro
158,Pferd::N,лошадь,cavāll
159,Schaf::N,овца,be
160,Schaf::N,овца,ovella
161,Schwein::N,свинья,bacó
162,Hund::N,собака,ca
163,Hund::N,собака,gos
164,Katze::N,кошка,gat
165,Bär::N,медведь,ós
166,Eichhörnchen::N,белка,esquirol
167,Elch::N,лось,ant
168,Fuchs::N,лиса,guilla
169,Hase::N,заяц,llebre
170,Maus::N,мышь,ratolí
171,Wolf::N,волк,llop
172,Vogel::N,птица,au
173,Vogel::N,птица,ocēll
174,Schwarm::N,стая,bandada
175,Huhn::N,курица,gallina
176,Hahn::N,петух,gall
177,Gans::N,гусь,oca
178,Adler::N,орел,àguila
179,Ente::N,утка,ànec
180,Eule::N,сова,òliba
181,Eule::N,сова,mussol
182,Kranich::N,журавль,grua
183,Krähe::N,ворона,cornella
184,Kuckuck::N,кукушка,cucut
185,Schwan::N,лебедь,cigne
186,Fisch::N,рыба,peix
187,Barsch::N,окунь,perca
188,Hecht::N,щука,lluç
189,Schlange[Tier]::N,змея,serp
190,Wurm::N,червяк,cuc
191,Spinne::N,паук,aranya
192,Ameise::N,муравей,formiga
193,Laus::N,вошь,poll
194,Mücke::N,комар,mosquit
195,Fliege::N,муха,mosca
196,Schmetterling::N,бабочка,papallona
197,Beere::N,ягода,baia
198,Apfel::N,яблоко,poma
199,Pilz::N,гриб,bolet
200,Zwiebel::N,луковица,ceba
201,Saat::N,семя,sembra
202,Korn::N,зерно,gra
203,Heu::N,сено,fenc
204,Schale::N,шелуха,closca
205,Grube::N,яма,sot
206,Grube::N,яма,clot
207,Falle::N,ловушка,trampa
208,Schlinge::N,силок,baga
209,Spur::N,след,traça
210,Asche::N,зола,cendra
211,Asche::N,пепел,cendra
212,Dreck::N,грязь,llot
213,Eisen::N,железо,ferro
214,Gold::N,золото,or
215,Silber::N,серебро,plata
216,Kohle::N,уголь,carbó
217,Glas::N,стекло,vidre
218,Lehm::N,глина,fang
219,Lehm::N,глина,argila
220,Sand::N,песок,arena
221,Mensch::N,человек,humà
222,Mensch::N,человек,persona
223,Mann::N,мужчина,home
224,Frau::N,женщина,dona
225,Kind::N,ребенок,nen
226,Junge::N,мальчик,noi
227,Mädchen::N,девочка,noia
228,Familie::N,семья,família
229,Großvater::N,дедушка,avi
230,Großmutter::N,бабушка,àvia
231,Eltern::N,родители,pares
232,Vater::N,отец,pare
233,Mutter::N,мать,mare
234,Sohn::N,сын,fill
235,Tochter::N,дочь,filla
236,Bruder::N,брат,germà
237,Schwester::N,сестра,germana
238,Onkel::N,дядя,oncle
239,Tante::N,тетя,tia
240,Ehemann::N,муж,espòs
241,Ehefrau::N,жена,muller
242,Freude::N,радость,goig
243,Freude::N,радость,alegria
244,Gelächter::N,смех,riallada
245,Glück::N,счастье,felicitat
246,Kummer::N,горе,pena
247,Wunsch::N,желание,desig
248,Lust::N,влечение,ganes
249,Geist::N,дух,ment
250,Geist::N,дух,esperit
251,Gedanke::N,мысль,pensament
252,Gedächtnis::N,память,memòria
253,Verstand::N,ум,raó
254,Verstand::N,ум,seny
255,Sinn::N,смысл,solta
256,Sinn::N,смысл,sentit
257,Grund::N,повод,raó
258,Grund::N,повод,causa
259,Wahrheit::N,правда,veritāt
260,Gespräch::N,беседа,conversa
261,Märchen::N,сказка,conte
262,Erzählung::N,рассказ,narració
263,Nachricht::N,сообщение,missatge
264,Neuigkeit::N,новость,novetat
265,Name::N,имя,nom
266,Rätsel::N,загадка,endevinalla
267,Rede::N,речь,discurs
268,Sprache::N,язык,llēngua
269,Stimme::N,голос,veu
270,Wort::N,слово,mot
271,Wort::N,слово,paraula
272,Zeichen::N,знак,signe
273,Zeichen::N,знак,senyal
274,Ruf::N,зов,crida
275,Lärm::N,шум,sorōll
276,Laut::N,звук,so
277,Ton::N,звучание,to
278,Lied::N,песня,cançó
279,Ruhe::N,покой,calma
280,Ruhe::N,покой,silenci
281,Leute::N,люди,gent
282,Volk::N,народ,poble
283,Arbeit::N,работа,labor
284,Arbeit::N,работа,treball
285,Gast::N,гость,hoste
286,Geschenk::N,подарок,regal
287,Geschenk::N,подарок,obsequi
288,Spiel::N,игра,joc
289,Gesellschaft::N,общество,companyia
290,Hilfe::N,помощь,ajut
291,Freund::N,друг,amīc
292,Kamerad::N,приятель,company
293,Kamerad::N,приятель,camarada
294,Angelegenheit::N,дело,afer
295,Angelegenheit::N,дело,assumpte
296,Anzahl::N,количество,nombre
297,Anzahl::N,количество,quantitat
298,Art::N,вид,tipus
299,Art::N,вид,classe
300,Stück::N,кусок,peça
301,Teil::N,часть,part
302,Hälfte::N,половина,meitat
303,Kreis::N,круг,cercle
304,Kreuz::N,крест,creu
305,Linie::N,линия,línia
306,Strich::N,черта,traç
307,Strich::N,черта,ratlla
308,Abstand::N,промежуток,distància
309,Entfernung::N,расстояние,distància
310,Gegend::N,местность,regió
311,Gegend::N,местность,contrada
312,Platz::N,пространство,cabuda
313,Ort::N,место,lloc
314,Seite::N,сторона,banda
315,Seite::N,сторона,costāt
316,Mitte::N,середина,mig
317,Mitte::N,середина,centre
318,Gegenstand::N,предмет,objecte
319,Sache::N,вещь,cosa
320,Rand::N,край,vora
321,Rand::N,край,marge
322,Kante::N,ребро,caire
323,Kante::N,ребро,cantell
324,Ecke::N,угол,cantonada
325,Spitze::N,кончик,punta
326,Ende::N,конец,cap
327,Loch::N,дыра,forāt
328,Winkel::N,угол,racó
329,Muster::N,узор,dibuix
330,Muster::N,узор,disseny
331,Größe::N,размер,grandària
332,Länge::N,длина,longitud
333,Höhe::N,высота,altura
334,Höhe::N,высота,altitud
335,Gewicht::N,вес,pes
336,Menge::N,количество,quantitat
337,Haufen::N,куча,pila
338,Reihe::N,ряд,fila
339,Boot::N,лодка,bot
340,Boot::N,лодка,barca
341,Ruder::N,весло,rem
342,Schlitten::N,сани,trineu
343,Ski::N,лыжа,esquí
344,Lagerfeuer::N,костер,foc de campament
345,Last::N,тяжесть,càrrega
346,Gang::N,ход,marxa
347,Schritt::N,шаг,pas
348,Norden::N,север,nord
349,Süden::N,юг,sud
350,Westen::N,запад,oest
351,Westen::N,запад,occident
352,Osten::N,восток,est
353,Osten::N,восток,orient
354,Holz::N,древесина,fusta
355,Brett::N,доска,taula
356,Platte::N,плита,placa
357,Stütze::N,подпорка,suport
358,Stange::N,жердь,vara
359,Stock::N,палка,pal
360,Stab::N,шест,bastó
361,Rohr::N,труба,tub
362,Haus::N,дом,casa
363,Heim::N,дом,llar
364,Ofen::N,печь,estufa
365,Fußboden::N,пол,terra
366,Tisch::N,стол,taula
367,Stuhl::N,стул,cadira
368,Wiege::N,колыбель,bressol
369,Bett::N,постель,llit
370,Regal::N,полка,prestatgeria
371,Kiste::N,ящик,caixa
372,Fenster::N,окно,finestra
373,Tür::N,дверь,porta
374,Tor::N,ворота,portal
375,Zaun::N,забор,tanca
376,Dach::N,крыша,teulada
377,Leiter::N,лестница,escala
378,Leiter::N,лестница,escala de mà
379,Besen::N,метла,escombra
380,Spaten::N,лопата,pala
381,Schaufel::N,совок,pala
382,Gabel::N,вилка,forquilla
383,Löffel::N,ложка,cullera
384,Messer::N,нож,coltell
385,Nagel::N,гвоздь,clau
386,Netz::N,сеть,filat
387,Haken::N,крюк,ganxo
388,Griff::N,ручка,puny
389,Griff::N,ручка,mànec
390,Schloss::N,замок,pany
391,Bild::N,картина,imatge
392,Figur::N,фигура,figura
393,Puppe::N,кукла,nina
394,Beutel::N,мешок,bossa
395,Bündel::N,связка,feix
396,Bündel::N,связка,paquet
397,Tasche::N,сумка,bossa
398,Eimer::N,ведро,galleda
399,Deckel::N,крышка,tapa
400,Deckel::N,крышка,tapadora
401,Geschirr::N,посуда,vaixella
402,Sack::N,мешок,sac
403,Sack::N,мешок,saca
404,Tasse::N,чашка,tassa
405,Topf::N,кастрюля,pot
406,Topf::N,кастрюля,olla
407,Kessel::N,котел,caldera
408,Essen::N,еда,àpat
409,Essen::N,еда,menjada
410,Nahrung::N,пища,aliment
411,Speise::N,блюдо,plat
412,Speise::N,кушанье,plat
413,Fleisch::N,мясо,carn
414,Getreide::N,хлеб,cereals
415,Brei::N,каша,puré
416,Brot::N,хлеб,pa
417,Scheibe::N,ломоть,tall
418,Scheibe::N,ломоть,llesca
419,Fett::N,жир,greix
420,Butter::N,масло,mantega
421,Öl::N,масло,oli
422,Salz::N,соль,sal
423,Suppe::N,суп,sopa
424,Honig::N,мед,mel
425,Milch::N,молоко,llet
426,Tee::N,чай,te
427,Leder::N,кожа,cuir
428,Wolle::N,шерсть,llana
429,Stoff::N,ткань,tela
430,Nadel::N,игла,agulla
431,Faden::N,нитка,fil
432,Knopf::N,пуговица,botó
433,Knoten::N,узел,nus
434,Farbe::N,краска,pintura
435,Kleidung::N,одежда,roba
436,Kleidung::N,одежда,vestits
437,Hemd::N,рубашка,camisa
438,Kragen::N,воротник,coll
439,Ärmel::N,рукав,màniga
440,Hose::N,брюки,pantalōns
441,Gürtel::N,пояс,cinturó
442,Mütze::N,шапка,gorra
443,Schuh::N,ботинок,sabata
444,Stiefel::N,сапог,bota
445,Ring::N,кольцо,anell
446,Band::N,лента,veta
447,Band::N,лента,cinta
448,Kamm::N,расческа,pinta
449,Spiegel::N,зеркало,mirāll
450,Riemen::N,ремень,corretja
451,Schnur::N,веревка,corda
452,Leine::N,поводок,corretja
453,Decke::N,одеяло,manta
454,Decke::N,одеяло,flassada
455,Kissen::N,подушка,coixí
456,Tuch::N,платок,mocador
457,Handtuch::N,полотенце,tovallola
458,Kraft::N,сила,força
459,Stärke::N,крепость,vigor
460,Gesundheit::N,здоровье,salut
461,Krankheit::N,болезнь,malaltia
462,Schmerz::N,боль,dolor
463,Wunde::N,рана,ferida
464,Fieber::N,лихорадка,febre
465,Fieber::N,температура,febre
466,Arznei::N,лекарство,medicament
467,Brücke::N,мост,pont
468,Brunnen::N,колодец,pou
469,Weide::N,пастбище,pastura
470,Pfad::N,тропа,senda
471,Pfad::N,тропа,sender
472,Weg::N,путь,camí
473,Weg::N,дорога,camí
474,Straße::N,улица,carretera
475,Straße::N,дорога,carretera
476,Dorf::N,деревня,poble
477,Stadt::N,город,ciutāt
478,Brief::N,письмо,carta
479,Buch::N,книга,llibre
480,Buchstabe::N,буква,lletra
481,Zeitung::N,газета,diāri
482,Leben::N,жизнь,vida
483,Tod::N,смерть,mort
484,Grab::N,могила,tomba
485,Kirche::N,церковь,església
486,Sünde::N,грех,pecat
487,Gott::N,бог,déu
488,Arbeiter::N,рабочий,obrer
489,Chef::N,начальник,cap
490,Meister::N,мастер,mestre
491,Arzt::N,врач,metge
492,Lehrer::N,учитель,mestre
493,Geld::N,деньги,dinērs
494,Geschäft::N,занятие,negoci
495,Laden::N,магазин,tenda
496,Laden::N,магазин,botiga
497,Preis::N,цена,preu
498,Ware::N,товар,mercaderia
499,Nutzen::N,выгода,profit
500,Reichtum::N,богатство,riquesa
501,Welt::N,мир,món
502,Land::N,страна,país
503,Staat::N,государство,estat
504,König::N,король,rei
505,Macht::N,власть,poder
506,Macht::N,власть,potència
507,Grenze::N,граница,frontera
508,Krieg::N,война,guerra
509,Feind::N,враг,enemic
510,Gewalt::N,насилие,violència
511,Kampf::N,борьба,lluita
512,Bogen[Waffe]::N,лук,arc
513,Pfeil::N,стрела,fletxa
514,Gewehr::N,ружье,fusell
515,Gewehr::N,ружье,escopeta
516,Fehler::N,ошибка,falta
517,Lüge::N,ложь,mentida
518,Schaden::N,вред,dany
519,Unglück::N,беда,desgràcia
520,Schuld::N,вина,culpa
521,Alter::N,возраст,edat
522,Schluss::N,окончание,fi
523,Schluss::N,окончание,final
524,Zeit::N,время,temps
525,Tag::N,день,dia
526,Morgen::N,утро,matí
527,Mittag::N,полдень,migdia
528,Abend::N,вечер,vespre
529,Nacht::N,ночь,nit
530,Woche::N,неделя,setmana
531,Monat::N,месяц,mes
532,Jahr::N,год,any
533,Frühling::N,весна,primavera
534,Sommer::N,лето,estīu
535,Herbst::N,осень,tardor
536,Winter::N,зима,hivērn
537,Januar::N,январь,gener
538,Februar::N,февраль,febrer
539,März::N,март,març
540,April::N,апрель,abril
541,Mai::N,май,maig
542,Juni::N,июнь,juny
543,Juli::N,июль,juliol
544,August::N,август,agost
545,September::N,сентябрь,setembre
546,Oktober::N,октябрь,octubre
547,November::N,ноябрь,novembre
548,Dezember::N,декабрь,desembre
549,Montag::N,понедельник,dilluns
550,Dienstag::N,вторник,dimarts
551,Mittwoch::N,среда,dimecres
552,Donnerstag::N,четверг,dijous
553,Freitag::N,пятница,divendres
554,Samstag::N,суббота,dissabte
555,Sonntag::N,воскресенье,diumenge
556,groß::A,большой,gros
557,klein::A,маленький,petīt
558,lang::A,длинный,llarg
559,kurz::A,короткий,curt
560,breit::A,широкий,ample
561,schmal::A,узкий,estret
562,dicht::A,густой,dens
563,dick[Gegenstand]::A,толстый,gruixūt
564,dünn::A,тонкий,prim
565,fein::A,тонкий,fi
566,fest::A,крепкий,ferm
567,fest::A,крепкий,sòlid
568,flach::A,плоский,pla
569,glatt::A,гладкий,llis
570,hart::A,твердый,dur
571,weich::A,мягкий,tou
572,rund::A,круглый,rodó
573,spitz::A,остроконечный,punxegut
574,scharf::A,острый,agut
575,stumpf::A,тупой,rom
576,stumpf::A,тупой,esmussat
577,schwer::A,тяжелый,pesāt
578,schön::A,красивый,bonīc
579,heiß::A,жаркий,calēnt
580,warm::A,теплый,càlid
581,kalt::A,холодный,fred
582,kühl::A,прохладный,fresc
583,frisch::A,свежий,fresc
584,feucht::A,влажный,humit
585,nass::A,мокрый,mullat
586,trocken::A,сухой,sec
587,voll::A,полный,ple
588,voll::A,наполненный,ple
589,leer::A,пустой,buit
590,offen::A,открытый,obert
591,geschlossen::A,закрытый,tancat
592,sauber::A,чистый,net
593,schmutzig::A,грязный,brut
594,roh::A,сырой,cru
595,reif::A,зрелый,madur
596,lecker::A,вкусный,deliciós
597,süß::A,сладкий,dolç
598,bitter::A,горький,amarg
599,sauer::A,кислый,agre
600,hell::A,светлый,clar
601,dunkel::A,темный,fosc
602,schwarz::A,черный,negre
603,weiß::A,белый,blanc
604,rot::A,красный,vermēll
605,gelb::A,желтый,groc
606,blau::A,синий,blau
607,grün::A,зеленый,verd
608,grau::A,серый,gris
609,bunt::A,пестрый,multicolor
610,billig::A,дешевый,barat
611,teuer::A,дорогой,car
612,wertvoll::A,ценный,preciós
613,blind::A,слепой,cec
614,taub::A,глухой,sord
615,kräftig::A,могучий,fort
616,kräftig::A,могучий,vigorós
617,stark::A,сильный,fort
618,schwach::A,слабый,feble
619,fett::A,жирный,gras
620,schlank::A,стройный,esvelt
621,hübsch::A,прелестный,maco
622,böse::A,злой,dolent
623,dumm::A,глупый,ximple
624,dumm::A,глупый,estúpid
625,faul::A,ленивый,gandūl
626,faul::A,ленивый,mandrós
627,fleißig::A,прилежный,diligēnt
628,geizig::A,жадный,avar
629,klug::A,умный,intel·ligent
630,geschickt::A,искусный,hàbil
631,lieb::A,милый,amat
632,lieb::A,милый,estimat
633,lustig::A,веселый,alegre
634,sanft::A,нежный,suau
635,hungrig::A,голодный,afamat
636,krank::A,больной,malālt
637,nackt::A,голый,nu
638,traurig::A,грустный,trist
639,lebendig::A,живой,viu
640,gut::A,хороший,bo
641,schlecht::A,плохой,dolēnt
642,richtig::A,правильный,just
643,richtig::A,правильный,correcte
644,schlimm::A,отвратительный,greu
645,schlimm::A,мерзкий,greu
646,wahr::A,настоящий,vertader
647,wahr::A,настоящий,veritable
648,alt::A,старый,vell
649,neu::A,новый,nou
650,ehemalig::A,бывший,antic
651,alt[Lebewesen]::A,пожилой,vell
652,jung::A,молодой,jove
653,arm::A,бедный,pobre
654,reich::A,богатый,ric
655,bekannt::A,знакомый,conegut
656,berühmt::A,знаменитый,famós
657,fremd::A,чужой,estrany
658,verschieden::A,разный,diferent
659,nah::A,близкий,pròxim
660,fern::A,далекий,llunyà
661,fern::A,далекий,distant
662,linker::A,левый,esquerre
663,rechter::A,правый,dret
664,anderer::A,другой,altre
665,erster::A,первый,primer
666,zweiter::A,второй,segon
667,dritter::A,третий,tercer
668,letzter::A,последний,últim
669,allein::ADV,один,sol
670,auf einmal::ADV,сразу,d'una vegada
671,zusammen::ADV,вместе,junt
672,lange::ADV,долго,molt de temps
673,plötzlich::ADV,вдруг,de cop
674,plötzlich::ADV,вдруг,de sobte
675,sofort::ADV,тотчас,de seguida
676,später::ADV,позже,més tard
677,jetzt::ADV,сейчас,ara
678,heute::ADV,сегодня,avūi
679,morgen::ADV,завтра,demà
680,bald::ADV,скоро,aviāt
681,dann::ADV,потом,després
682,gestern::ADV,вчера,ahir
683,einst::ADV,однажды,anteriorment
684,damals::ADV,тогда,llavōrs
685,damals::ADV,тогда,aleshores
686,danach::ADV,затем,després
687,vorher::ADV,раньше,abāns
688,zuerst::ADV,сперва,primer
689,einmal::ADV,раз,una vegada
690,manchmal::ADV,иногда,de vegades
691,oft::ADV,часто,sovint
692,immer::ADV,всегда,sempre
693,niemals::ADV,никогда,no ... mai
694,hier::ADV,здесь,aquí
695,hierhin::ADV,сюда,per aquí
696,von hier::ADV,отсюда,des d'aquí
697,dort::ADV,там,allí
698,dorthin::ADV,туда,hi
699,geradeaus::ADV,прямо,tot dret
700,vorwärts::ADV,вперед,endavānt
701,rückwärts::ADV,назад,endarrera
702,zurück::ADV,обратно,darrere
703,unten::ADV,внизу,a baix
704,hinab::ADV,вниз,cap avall
705,oben::ADV,наверху,dalt
706,hinauf::ADV,вверх,cap amunt
707,überall::ADV,везде,pertot
708,überall::ADV,везде,per tot arreu
709,nicht::ADV,не,no
710,ein wenig::ADV,немного,una mica
711,kaum::ADV,едва,a penes
712,sehr::ADV,очень,molt
713,so::ADV,так,així
714,noch::ADV,еще,encara
715,nur::ADV,только,només
716,schon::ADV,уже,ja
717,wieder::ADV,опять,de nou
718,vergebens::ADV,напрасно,en va
719,vor::PRP,перед,davānt
720,vor::PRP,перед,enfront de
721,hinter::PRP,за,darrera
722,hinter::PRP,позади,darrera
723,unter::PRP,под,sota
724,durch::PRP,сквозь,per
725,neben::PRP,возле,al costāt de
726,zwischen::PRP,между,entre
727,wegen::PRP,из-за,a causa de
728,dies::PRN,это,aquest
729,das::PRN,то,això
730,alles::PRN,все,tot
731,ich::PRN,я,jo
732,du::PRN,ты,tu
733,er::PRN,он,ell
734,wir::PRN,мы,nosaltres
735,ihr::PRN,вы,vosaltres
736,sie::PRN,они,ells
737,sie::PRN,они,elles
738,was::FPRN,что,què
739,wer::FPRN,кто,qui
740,wo::FADV,где,on
741,wohin::FADV,куда,cap a on
742,wie::FADV,как,com
743,warum::FADV,почему,per què
744,wieviel::FNUM,сколько,quant
745,eins::NUM,один,u
746,zwei::NUM,два,dos
747,drei::NUM,три,tres
748,vier::NUM,четыре,quatre
749,fünf::NUM,пять,cinc
750,sechs::NUM,шесть,sis
751,sieben::NUM,семь,set
752,acht::NUM,восемь,vuit
753,neun::NUM,девять,nou
754,zehn::NUM,десять,deu
755,elf::NUM,одиннадцать,onze
756,zwölf::NUM,двенадцать,dotze
757,zwanzig::NUM,двадцать,vint
758,dreißig::NUM,тридцать,trenta
759,vierzig::NUM,сорок,quaranta
760,fünfzig::NUM,пятьдесят,cinquanta
761,sechzig::NUM,шестьдесят,seixanta
762,siebzig::NUM,семьдесят,setanta
763,achtzig::NUM,восемьдесят,vuitanta
764,neunzig::NUM,девяносто,noranta
765,hundert::NUM,сто,cent
766,tausend::NUM,тысяча,mil
767,und::CNJ,и,i
768,oder::CNJ,или,o
769,oder::CNJ,либо,o
770,stehen::V,стоять,estar de peu
771,sitzen::V,сидеть,seure
772,liegen::V,лежать,jeure
773,hängen::V,висеть,penjar
774,werden::V,стать,fer-se
775,werden::V,стать,posar-se
776,passieren::V,случиться,succeir
777,beginnen::V,начаться,iniciar-se
778,enden::V,кончиться,acabar-se
779,enden::V,кончиться,terminar-se
780,wechseln::V,меняться,canviar
781,aufgehen[Sonne]::V,взойти,sortir
782,untergehen[Sonne]::V,зайти,posar-se
783,scheinen[Sonne]::V,светить,brillar
784,donnern::V,греметь,tronar
785,wehen::V,дуть,bufar
786,strömen::V,литься,afluir
787,fließen::V,течь,fluir
788,sich drehen::V,вращаться,girar
789,schwanken::V,колебаться,vacil·lar
790,schwingen::V,качаться,oscil·lar
791,fallen::V,падать,caure
792,fallen::V,падать,tombar
793,brennen::V,гореть,cremar
794,rauchen::V,дымить,fumejar
795,regnen::V,дождить,ploure
796,gefrieren::V,замерзнуть,gelar-se
797,tauen::V,таять,fondre's
798,schmelzen::V,плавиться,fondre's
799,trocknen::V,сохнуть,assecar-se
800,sieden::V,кипеть,bullir
801,faulen::V,гнить,podrir-se
802,verfaulen::V,сгнить,podrir-se
803,reißen::V,рваться,trencar-se
804,versinken::V,тонуть,enfonsar-se
805,vergehen::V,проходить,passar
806,erscheinen::V,появиться,aparèixer
807,verschwinden::V,исчезнуть,desaparèixer
808,sinken::V,спадать,baixar
809,sinken::V,спадать,descendir
810,abnehmen::V,уменьшиться,decréixer
811,zunehmen::V,увеличиваться,augmentar
812,steigen::V,подниматься,pujar
813,wachsen::V,расти,créixer
814,glänzen::V,блестеть,brillar
815,glänzen::V,блестеть,resplendir
816,funkeln::V,сверкать,espurnejar
817,lärmen::V,шуметь,fer soroll
818,läuten::V,звонить,sonar
819,klingeln::V,звонить,trucar
820,klirren::V,звякать,dringar
821,brausen::V,бушевать,rugir
822,rauschen::V,шелестеть,murmurar
823,klingen::V,звучать,sonar
824,bellen::V,лаять,lladrar
825,heulen::V,выть,udolar
826,blasen::V,дунуть,bufar
827,pfeifen::V,свистеть,xiular
828,schreien::V,кричать,cridar
829,stöhnen::V,стонать,gemegar
830,zittern::V,дрожать,tremolar
831,leben::V,жить,vīure
832,geboren werden::V,родиться,néixer
833,atmen::V,дышать,respirar
834,trinken::V,пить,beure
835,essen::V,есть,menjar
836,essen::V,кушать,menjar
837,schlucken::V,глотать,empassar-se
838,müde werden::V,устать,cansar-se
839,einschlafen::V,заснуть,adormir-se
840,schlafen::V,спать,dormir
841,aufwachen::V,проснуться,despertar-se
842,aufstehen::V,встать,llevar-se
843,sich erholen::V,отдыхать,descansar
844,krank werden::V,заболеть,posar-se malalt
845,krank sein::V,болеть,estar malalt
846,schmerzen::V,болеть,doldre
847,husten::V,кашлять,tossir
848,genesen::V,поправиться,recuperar-se
849,sterben::V,умереть,morir
850,umkommen::V,погибнуть,perir
851,sich bewegen::V,двигаться,moure's
852,sich rühren::V,шевельнуться,moure's
853,sich erheben::V,встать,aixecar-se
854,sich setzen::V,сесть,asseure's
855,hinfallen::V,упасть,caure's
856,laufen::V,ходить,caminar
