,Concept_ID,cv,udm
138,Blatt::N,ҫулҫӑ,куар
139,Birke::N,хурӑн,кызьпу
140,Kiefer[Baum]::N,хыр,пужым
141,Weide[Baum]::N,хӑва,бадьпу
142,Tanne::N,чӑрӑш,кыз
143,Horn::N,мӑйрака,сюр
144,Feder::N,тӗк,тылы
145,Fell::N,ҫӑм,ку
146,Flügel::N,ҫунат,бурд
147,Klaue::N,чӗрне,гижы
148,Kralle::N,ура,пыд
149,Schwanz::N,хӳре,быж
150,Ei::N,ҫӑмарта,пуз
151,Ei::N,ҫӑмарта,кукей
152,Nest::N,йӑва,кар
153,Nest::N,йӑва,пузкар
154,Bau::N,йӗнӗ,кар
155,Bau::N,йӗнӗ,гу
156,Tier::N,выльӑх,пӧйшур
157,Herde::N,кӗтӳ,уллё
158,Kuh::N,ӗне,скал
159,Bulle::N,вӑкӑр,ош
160,Bulle::N,вӑкӑр,пороз
161,Pferd::N,лаша,вал
162,Schaf::N,сурӑх,ыж
163,Schwein::N,сысна,парсь
164,Hund::N,йытӑ,пуны
165,Katze::N,кушак,коӵыш
166,Bär::N,упа,гондыр
167,Eichhörnchen::N,пакша,коньы
168,Elch::N,пӑши,койык
169,Fuchs::N,тилӗ,ӟичы
170,Hase::N,куян,кеч
171,Hase::N,мулкач,кеч
172,Maus::N,шӑши,шыр
173,Wolf::N,кашкӑр,кион
174,Vogel::N,кайӑк,тылобурдо
175,Vogel::N,вӗҫен кайӑк,тылобурдо
176,Schwarm::N,ушкӑн,уллё
177,Huhn::N,чӑх,курег
178,Huhn::N,чӑхӑ,курег
179,Hahn::N,автан,атас
180,Gans::N,хур,ӟазег
181,Adler::N,ӑмӑрт кайӑк,ӧрзи
182,Ente::N,кӑвакал,ӵӧж
183,Eule::N,тӑмана,кучыран
184,Kranich::N,тӑрна,тури
185,Krähe::N,ула курак,куака
186,Kuckuck::N,куккук,кикы
187,Schwan::N,акӑш,юсь
188,Fisch::N,пулӑ,чорыг
189,Barsch::N,уланкӑ,юш
190,Hecht::N,ҫӑрттан,чипей
191,Schlange[Tier]::N,ҫӗлен,кый
192,Wurm::N,ӑман,нумыр
193,Spinne::N,эрешмен,чонари
194,Ameise::N,кӑткӑ,кузьыли
195,Laus::N,пыйтӑ,тэй
196,Mücke::N,вӑрӑм туна,нымы
197,Mücke::N,вӑрӑм туна,чибинь
198,Fliege::N,шӑна,кут
199,Schmetterling::N,лӗпӗш,бубыли
200,Beere::N,ҫырла,узы-боры
201,Apfel::N,улма,яблок
202,Apfel::N,пан улми,яблок
203,Pilz::N,кӑмпа,губи
204,Zwiebel::N,сухан,сугон
205,Saat::N,вӑрӑ,кидыс
206,Korn::N,тӗшӗ,тысь
207,Korn::N,пӗрчӗ,тысь
208,Heu::N,утӑ,турын
209,Schale::N,хупӑ,кыд
210,Grube::N,шӑтӑк,гу
211,Grube::N,шӑтӑк,гоп
212,Falle::N,тапӑ,налик
213,Falle::N,капкӑн,налик
214,Schlinge::N,йӑлӑ,гиӟ
215,Schlinge::N,йӑлӑ,герд
216,Spur::N,йӗр,пытьы
217,Spur::N,йӗр,бервыл
218,Asche::N,кӗл,пень
219,Dreck::N,пылчӑк,дэри
220,Eisen::N,тимӗр,корт
221,Gold::N,ылтӑн,зарни
222,Silber::N,кӗмӗл,азвесь
223,Kohle::N,кӑмрӑк,эгыр
224,Glas::N,кӗленче,стекло
225,Glas::N,кӗленче,пияла
226,Lehm::N,тӑм,сюй
227,Sand::N,хӑйӑр,луо
228,Mensch::N,ҫын,мурт
229,Mensch::N,ҫын,адями
230,Mensch::N,этем,мурт
231,Mensch::N,этем,адями
232,Mann::N,ар,воргорон
233,Frau::N,хӗрарӑм,кышномурт
234,Kind::N,ача,нуны
235,Kind::N,ача,пинал
236,Junge::N,ача,пи
237,Junge::N,ар ҫын ача,пи
238,Mädchen::N,хӗр ача,ныл
239,Familie::N,ҫемье,семья
240,Familie::N,кил-йыш,семья
241,Großvater::N,кукаҫи,песятай
242,Großvater::N,кукаҫи,пересь атай
243,Großmutter::N,кукамай,песянай
244,Großmutter::N,кукамай,пересь анай
245,Eltern::N,аҫа-ама,атай-анай
246,Eltern::N,аҫа-ама,бубы-мумы
247,Vater::N,атте,айы
248,Vater::N,атте,атай
249,Mutter::N,анне,мумы
250,Sohn::N,ывӑл,пи
251,Tochter::N,хӗр,ныл
252,Bruder::N,ар тӑван,агай
253,Schwester::N,аппа,апа
254,Schwester::N,аппа,сузэр
255,Schwester::N,йӑмӑк,апа
256,Schwester::N,йӑмӑк,сузэр
257,Onkel::N,мучи,агай
258,Onkel::N,пичче,агай
259,Tante::N,аппа,апа
260,Tante::N,аппа,кенак
261,Ehemann::N,упӑшка,карт
262,Ehefrau::N,арӑм,кышно
263,Freude::N,савӑнӑҫ,шумпотон
264,Freude::N,хаваслӑх,шумпотон
265,Gelächter::N,кулӑ,горем
266,Glück::N,телей,шуд
267,Glück::N,ӑраскал,шуд
268,Kummer::N,хурлӑх,кайгу
269,Kummer::N,хурлӑх,куректон
270,Wunsch::N,ӗмӗт,мылпотон
271,Wunsch::N,кӑмӑл,мылпотон
272,Lust::N,кӑмӑл,потон
273,Geist::N,чун-чӗм,лул
274,Geist::N,ыр-усал,лул
275,Geist::N,чун хавалӗ,лул
276,Gedanke::N,шухӑш,малпан
277,Gedächtnis::N,ас,йырсазь
278,Gedächtnis::N,ас,тодэваён
279,Verstand::N,ӑс,йырвизь
280,Verstand::N,ӑс-тӑн,йырвизь
281,Verstand::N,ӑс-хакӑл,йырвизь
282,Sinn::N,тупсӑм,смысл
283,Sinn::N,пӗлтерӗш,смысл
284,Grund::N,сӑлтав,муг
285,Grund::N,сӑлтав,ньӧм
286,Wahrheit::N,чӑнлӑх,зэм
287,Wahrheit::N,чӑнлӑх,шонер
288,Gespräch::N,калаҫу,вераськон
289,Märchen::N,юмах,выжыкыл
290,Erzählung::N,акалав,верос
291,Erzählung::N,каласа пани,верос
292,Nachricht::N,хыпар,ивор
293,Neuigkeit::N,ҫӗнӗ хыпар,выльивор
294,Name::N,ят,ним
295,Rätsel::N,сутмалли юмах,мадькыл
296,Rede::N,сӑмах,верам
297,Sprache::N,чӗлхе,кыл
298,Stimme::N,сасӑ,куара
299,Wort::N,сӑмах,кыл
300,Zeichen::N,паллӑ,пус
301,Zeichen::N,паллӑ,тодмет
302,Ruf::N,йыхрав,ӧтён
303,Ruf::N,йыхрав,чортон
304,Ruf::N,чӗнӳ,ӧтён
305,Ruf::N,чӗнӳ,чортон
306,Lärm::N,шав,ӵашетон
307,Laut::N,сасӑ,куара
308,Ton::N,сасӑ,куара
309,Lied::N,юрӑ,кырӟан
310,Ruhe::N,канӑҫлӑх,чалмыт улон
311,Ruhe::N,лӑпкӑлӑх,чалмыт улон
312,Leute::N,ҫамрӑксем,адямиос
313,Leute::N,ҫамрӑк ҫынсем,адямиос
314,Volk::N,халӑх,калык
315,Arbeit::N,ӗҫхӗл,уж
316,Arbeit::N,ӗҫлев,уж
317,Gast::N,хӑна,куно
318,Geschenk::N,парне,салам
319,Geschenk::N,парне,кузьым
320,Geschenk::N,кучченеҫ,салам
321,Geschenk::N,кучченеҫ,кузьым
322,Spiel::N,вӑйӑ,шудон
323,Gesellschaft::N,общество,калык
324,Hilfe::N,пулӑшу,юрттон
325,Freund::N,тус,эш
326,Freund::N,тус,юлтош
327,Kamerad::N,юлташ,тодмо
328,Kamerad::N,тус,тодмо
329,Angelegenheit::N,ӗҫ,уж
330,Anzahl::N,йыш,лыд
331,Anzahl::N,хисеп,лыд
332,Art::N,тӗс,тус
333,Stück::N,татӑк,юдэс
334,Teil::N,пай,люкет
335,Hälfte::N,ҫурӑ,ӝыны
336,Kreis::N,ункӑ,котырес
337,Kreis::N,ҫавракӑш,котырес
338,Kreuz::N,хӗрес,крест
339,Linie::N,йӗр,гож
340,Strich::N,йӗр,гож
341,Abstand::N,хушӑ,вис
342,Abstand::N,хушӑ,кусып
343,Entfernung::N,хушӑ,кусып
344,Gegend::N,вырӑн,инты
345,Platz::N,хутлӑх,инты
346,Ort::N,вырӑн,инты
347,Ort::N,вырӑн,места
348,Seite::N,ен,пал
349,Seite::N,аяк,пал
350,Seite::N,айӑк,пал
351,Mitte::N,варӑ,шор
352,Gegenstand::N,япала,арбери
353,Sache::N,япала,котыр
354,Rand::N,вӗҫ,дур
355,Rand::N,вӗҫ,шаер
356,Rand::N,хӗрӗ,дур
357,Rand::N,хӗрӗ,шаер
358,Rand::N,хӗрри,дур
359,Rand::N,хӗрри,шаер
360,Kante::N,хайкача,дур
361,Kante::N,хысак,дур
362,Ecke::N,кӗтес,сэрег
363,Spitze::N,вӗҫ,йыл
364,Ende::N,вӗҫ,пум
365,Loch::N,шӑтӑк,пась
366,Winkel::N,кӗтес,сэрег
367,Muster::N,эреш,пужы
368,Größe::N,пысӑкӑш,быдӟала
369,Länge::N,вӑрӑмӑш,кузьдала
370,Höhe::N,ҫӳллӗш,ӝуждала
371,Gewicht::N,виҫе,сектала
372,Gewicht::N,виҫе,секытлык
373,Gewicht::N,йывӑрӑш,сектала
374,Gewicht::N,йывӑрӑш,секытлык
375,Menge::N,йыш,лыд
376,Menge::N,йыш,лыдпус
377,Haufen::N,купа,люк
378,Reihe::N,рет,чур
379,Boot::N,кимӗ,пыж
380,Boot::N,кимӗ,лодка
381,Ruder::N,кӗсмен,полыс
382,Schlitten::N,ҫуна,додьы
383,Ski::N,йӗлтӗр,куас
384,Lagerfeuer::N,вут,тылскем
385,Lagerfeuer::N,кӑвайт,тылскем
386,Last::N,сулмаклӑх,секыт
387,Last::N,йывӑр япала,секыт
388,Gang::N,куҫӑм,ветлон
389,Schritt::N,утӑм,вамыш
390,Schritt::N,пусӑм,вамыш
391,Norden::N,ҫурҫӗр,уйпал
392,Süden::N,кӑнтӑр,лымшор
393,Westen::N,анӑҫ,шунды пуксён
394,Westen::N,хӗвел анӑҫ,шунды пуксён
395,Osten::N,хӗвел тухӑҫ,шунды ӝужан
396,Holz::N,йывӑҫ,пу
397,Brett::N,хӑма,пул
398,Platte::N,плита,плита
399,Stütze::N,ура,пыкет
400,Stange::N,шерте,пуӵ
401,Stock::N,патак,боды
402,Stab::N,шӑчӑ,пуӵ
403,Stab::N,шӑчӑ,боды
404,Rohr::N,пӑрӑх,труба
405,Haus::N,ҫурт,юрт
406,Heim::N,кил,корка
407,Ofen::N,кӑмака,гур
408,Fußboden::N,урай,выж
409,Tisch::N,сӗтел,ӝӧк
410,Stuhl::N,пукан,пукон
411,Wiege::N,сӑпка,кӧкы
412,Wiege::N,сӑпка,зыбка
413,Bett::N,кравать,валес
414,Regal::N,ҫӳлӗк,ӝажы
415,Regal::N,сентре,ӝажы
416,Kiste::N,ещӗк,ящик
417,Kiste::N,сунтӑх,ящик
418,Fenster::N,чӳрече,укно
419,Fenster::N,чӳрече,косяк
420,Tür::N,алӑк,ӧс
421,Tor::N,хапха,ӟезьы
422,Zaun::N,хӳме,забор
423,Dach::N,тӑрӑ,липет
424,Leiter::N,пусма,падӟа
425,Besen::N,шӑпӑр,ӵужон
426,Besen::N,шӑпӑр,исьнер
427,Spaten::N,кӗреҫе,лопатка
428,Schaufel::N,кӗреҫе,ютырон
429,Gabel::N,вилка,тэчы
430,Gabel::N,вилка,вилка
431,Löffel::N,кашӑк,пуньы
432,Messer::N,ҫӗҫӗ,пурт
433,Nagel::N,пӑта,кортӵог
434,Netz::N,тетел,сеть
435,Haken::N,йӑрхах,курик
436,Haken::N,ҫекӗл,курик
437,Griff::N,хӑлӑп,ныд
438,Schloss::N,ҫӑра,тунгон
439,Bild::N,сӑн,суред
440,Bild::N,сӑнлӑх,суред
441,Bild::N,картина,суред
442,Figur::N,кӗлетке,фигура
443,Puppe::N,пукане,мунё
444,Beutel::N,михӗ,пуйы
445,Bündel::N,ҫыхӑ,керттэт
446,Bündel::N,тӗрке,керттэт
447,Tasche::N,сумка,пуйы
448,Tasche::N,сумка,сумка
449,Eimer::N,витре,ведра
450,Deckel::N,хупӑ,ӵоксэт
451,Geschirr::N,савӑт-сапа,тусьты-пуньы
452,Sack::N,михӗ,пуйы
453,Tasse::N,курка,ӵаша
454,Topf::N,кастрюль,миска
455,Kessel::N,хуран,пурты
456,Essen::N,апат,сиськон
457,Nahrung::N,апат-ҫимӗс,сион
458,Speise::N,апат,сиён
459,Speise::N,ҫимӗҫ,сиён
460,Fleisch::N,аш,сӥль
461,Fleisch::N,какай,сӥль
462,Getreide::N,тырӑ,ю тысь
463,Brei::N,пӑтӑ,ӝук
464,Brot::N,ҫӑкӑр,нянь
465,Scheibe::N,чӗлӗ,шорем
466,Scheibe::N,касӑк,шорем
467,Fett::N,ҫу,кӧй
468,Butter::N,ҫу,вӧй
469,Öl::N,ҫу,вӧй
470,Salz::N,тӑвар,сылал
471,Suppe::N,яшка,шыд
472,Honig::N,пыл,чечы
473,Milch::N,сӗт,йӧл
474,Tee::N,чей,чай
475,Leder::N,сӑран,сурон
476,Wolle::N,ҫӑм,гон
477,Wolle::N,ҫӑм,ыжгон
478,Stoff::N,тӗртӗм,куэм
479,Nadel::N,йӗп,вень
480,Faden::N,ҫип,сӥньыс
481,Knopf::N,тӳме,бирды
482,Knoten::N,йӑлӑ,герд
483,Farbe::N,сӑрӑ,буёл
484,Kleidung::N,тум,дӥсь
485,Kleidung::N,ҫипуҫ,дӥсь
486,Kleidung::N,тум-тир,дӥсь
487,Hemd::N,кӗпе,дэрем
488,Kragen::N,ҫуха,сирес
489,Ärmel::N,ҫанӑ,саес
490,Hose::N,шӑлавар,брюки
491,Hose::N,шӑлавар,штань
492,Gürtel::N,пиҫиххи,кускерттон
493,Mütze::N,ҫӗлӗк,ызьы
494,Schuh::N,пушмак,ботинка
495,Schuh::N,ботинок,ботинка
496,Stiefel::N,атӑ,сапег
497,Ring::N,ҫӗрӗ,зундэс
498,Band::N,хаю,лента
499,Band::N,йӗсме,лента
500,Kamm::N,тура,сын
501,Spiegel::N,тӗкӗр,синучкон
502,Spiegel::N,куҫ кӗски,синучкон
503,Riemen::N,чӗн,е
504,Schnur::N,кантра,гозы
505,Leine::N,касмӑк,думет
506,Decke::N,утиял,шобрет
507,Kissen::N,ҫытар,миндэр
508,Kissen::N,минтер,миндэр
509,Tuch::N,тутӑр,кышет
510,Handtuch::N,ал шӑлли,ӵушкон
511,Kraft::N,вӑй,кать
512,Kraft::N,вӑй,ӟигар
513,Kraft::N,хӑват,кать
514,Kraft::N,хӑват,ӟигар
515,Stärke::N,хал,юнлык
516,Stärke::N,хӑват,юнлык
517,Gesundheit::N,хал,тазалык
518,Gesundheit::N,сывлӑх,тазалык
519,Krankheit::N,чир,висён
520,Schmerz::N,ырату,висён
521,Wunde::N,суран,яра
522,Fieber::N,сив чир,кезег
523,Arznei::N,эмел,эмъюм
524,Brücke::N,кӗпер,выж
525,Brunnen::N,ҫӑл,колдэч
526,Brunnen::N,пусӑ,колдэч
527,Weide::N,ҫаран,возь
528,Pfad::N,йӗр,сюрес
529,Pfad::N,сукмак,сюрес
530,Weg::N,ҫул,сюрес
531,Weg::N,ҫул-йӗр,сюрес
532,Straße::N,ҫӳрев,сюрес
533,Straße::N,ҫул ҫӳрени,сюрес
534,Dorf::N,ял,гурт
535,Stadt::N,хула,кар
536,Stadt::N,хула,город
537,Brief::N,ҫыру,гожтэт
538,Buch::N,кӗнеке,книга
539,Buchstabe::N,сас палли,буква
540,Zeitung::N,хаҫат,газет
541,Leben::N,пурнӑҫ,улон
542,Tod::N,вилӗм,кулон
543,Grab::N,масар шӑтӑкӗ,шайгу
544,Kirche::N,чиркӳ,черк
545,Sünde::N,ҫылӑх,сьӧлык
546,Gott::N,турӑ,ӥнмар
547,Arbeiter::N,рабочи,рабочий
548,Chef::N,пуҫлӑх,начальник
549,Meister::N,ӑста,кибашлы
550,Meister::N,мастер,кибашлы
551,Arzt::N,врач,врач
552,Arzt::N,тухтӑр,врач
553,Lehrer::N,учитель,дышетӥсь
554,Lehrer::N,вӗрентекен,дышетӥсь
555,Geld::N,укҫа,уксё
556,Geld::N,укҫа,коньдон
557,Geschäft::N,бизнес,уж
558,Laden::N,магазин,магазин
559,Preis::N,хак,дун
560,Ware::N,тавар,вуз
561,Nutzen::N,пайта,пайда
562,Reichtum::N,мул,узырлык
563,Welt::N,тӗнче,дунне
564,Land::N,ҫӗр-шыв,шаер
565,Staat::N,патшàлӑх,кун
566,König::N,король,эксэй
567,Macht::N,власть,власть
568,Grenze::N,чикӗ,кунгож
569,Krieg::N,вӑрҫӑ,ож
570,Feind::N,тӑшман,тушмон
571,Gewalt::N,ирӗксӗрлӳ,эриктэман
572,Kampf::N,кӗрешӳ,нюръяськон
573,Bogen[Waffe]::N,ухӑ,пукыӵ
574,Pfeil::N,ҫӗмрен,пукыӵ вень
575,Pfeil::N,ухӑ йӗппи,пукыӵ вень
576,Gewehr::N,пӑшал,пыӵал
577,Fehler::N,йӑнӑш,янгыш
578,Lüge::N,суя,пӧян
579,Lüge::N,суя,алдан
580,Lüge::N,суя,ӧрекчан
581,Lüge::N,ултав,пӧян
582,Lüge::N,ултав,алдан
583,Lüge::N,ултав,ӧрекчан
584,Schaden::N,сиен,изъян
585,Unglück::N,шар,куректон
586,Unglück::N,шар,шудтэме усён
587,Unglück::N,инкек,куректон
588,Unglück::N,инкек,шудтэме усён
589,Schuld::N,айӑп,янгыш
590,Alter::N,ҫул шучӗ,арлыд
591,Schluss::N,пӗтни,пум
592,Schluss::N,пӗтмӗш,пум
593,Zeit::N,вӑхӑт,дыр
594,Tag::N,кун,нунал
595,Morgen::N,ир,ӵукна
596,Mittag::N,кӑнтӑрла,лымшор
597,Abend::N,каҫ,ӝыт
598,Abend::N,каҫ,акшан
599,Nacht::N,каҫ,уй
600,Woche::N,эрне,арня
601,Monat::N,уйӑх,толэзь
602,Jahr::N,ҫулталӑк,ар
603,Frühling::N,ҫур,тулыс
604,Frühling::N,ҫуркунне,тулыс
605,Sommer::N,ҫу,гужем
606,Sommer::N,ҫулла,гужем
607,Herbst::N,кӗр,сӥзьыл
608,Herbst::N,кӗркунне,сӥзьыл
609,Winter::N,хӗл,тол
610,Winter::N,хӗлле,тол
611,Januar::N,январь,выльартолэзь
612,Februar::N,февраль,тулыспал
613,Februar::N,кӗҫӗн кӑрлач,тулыспал
614,März::N,март,южтолэзь
615,März::N,пуш уйӑхӗ,южтолэзь
616,April::N,апрель,оштолэзь
617,Mai::N,май,куартолэзь
618,Juni::N,июнь,вожотолэзь
619,Juli::N,июль,пӧсьтолэзь
620,August::N,август,гудырикошкон
621,September::N,сентябрь,куарусён
622,September::N,авӑн уйӑхӗ,куарусён
623,Oktober::N,октябрь,выльӝуктолэзь
624,November::N,ноябрь,шуркынмон
625,Dezember::N,раштав,толсур
626,Dezember::N,декабрь,толсур
627,Montag::N,тунти кун,вордӥськон
628,Dienstag::N,ытлари кун,вторник
629,Mittwoch::N,юн кун,вирнунал
630,Donnerstag::N,кӗҫнерни кун,покчиарня
631,Freitag::N,эрне кун,удмуртарня
632,Samstag::N,шӑмат кун,кӧснунал
633,Sonntag::N,вырсарни кун,арня
634,groß::A,пысӑк,бадӟым
635,klein::A,пӗчӗк,пичи
636,lang::A,вӑрӑм,кузь
637,kurz::A,кӗске,вакчи
638,breit::A,сарлака,паськыт
639,schmal::A,ансӑр,сюлэг
640,dicht::A,йӑвӑ,ӵем
641,dick[Gegenstand]::A,хулӑн,зӧк
642,dünn::A,ҫинҫе,векчи
643,dünn::A,ҫӳхе,векчи
644,fein::A,тарай,векчи
645,fein::A,вӗлтӗрти,векчи
646,fest::A,тӗреклӗ,юн
647,fest::A,тӗреклӗ,чурыт
648,flach::A,лаптак,ӵошкыт
649,glatt::A,такӑр,гылыт
650,glatt::A,такӑр,вольыт
651,hart::A,хытӑ,чурыт
652,weich::A,ҫемҫе,небыт
653,rund::A,ҫавра,котырес
654,spitz::A,шӗвӗр,йылсо
655,scharf::A,ҫивӗч,лэчыт
656,stumpf::A,мӑка,ныж
657,stumpf::A,пуклак,ныж
658,stumpf::A,тӗрӗнчӗк,ныж
659,stumpf::A,ӑнкарусӑр,ныж
660,schwer::A,йывӑр,секыт
661,schön::A,илемлӗ,чебер
662,heiß::A,вӗри,пӧсь
663,warm::A,ӑшӑ,шуныт
664,kalt::A,сивӗ,кезьыт
665,kühl::A,уҫӑ,юзмыт
666,kühl::A,уҫӑ,салкым
667,frisch::A,уҫӑ,выль
668,feucht::A,йӗпе,мускыт
669,nass::A,нӳрӗ,котмем
670,trocken::A,типӗ,кӧс
671,voll::A,тулли,тыр
672,leer::A,пушӑ,буш
673,leer::A,пушӑ,тырттэм
674,offen::A,уҫӑ,усьтэм
675,geschlossen::A,хупӑ,ӵогам
676,geschlossen::A,хупӑ,пунням
677,sauber::A,таса,ӝикыт
678,sauber::A,таса,чылкыт
679,schmutzig::A,пылчӑклӑ,нӧд
680,schmutzig::A,вараланчӑк,нӧд
681,roh::A,чӗрӗ,ыль
682,reif::A,пулнӑ,вуэм
683,reif::A,пиҫӗхнӗ,вуэм
684,reif::A,аталаннӑ,вуэм
685,reif::A,пиҫсе ҫитнӗ,вуэм
686,lecker::A,тутлӑ,ческыт
687,lecker::A,техӗмлӗ,ческыт
688,süß::A,пылак,ческыт
689,bitter::A,йӳҫӗ,курыт
690,sauer::A,йӳҫӗ,чырс
691,sauer::A,йӳҫек,чырс
692,sauer::A,кӑвасак,чырс
693,hell::A,ҫутӑ,югыт
694,dunkel::A,тӗттӗм,пеймыт
695,schwarz::A,хура,сьӧд
696,weiß::A,шурӑ,тӧдьы
697,rot::A,хӗрлӗ,горд
698,gelb::A,сарӑ,ӵуж
699,blau::A,кӑвак,лыз
700,grün::A,симӗс,вож
701,grün::A,пиҫмен,вож
702,grün::A,ӑс пухман,вож
703,grau::A,кӑвак,пурысь
704,bunt::A,чӑпар,куӵо
705,billig::A,йӳнӗ,дунтэм
706,teuer::A,хаклӑ,дуно
707,wertvoll::A,паха,дуно
708,blind::A,суккӑр,сукыр
709,blind::A,суккӑр,синтэм
710,taub::A,хӑлхасӑр,пельтэм
711,kräftig::A,хӑватлӑ,кужмо
712,stark::A,вирлӗ,юн
713,stark::A,вирлӗ,кужмо
714,schwach::A,халсӑр,ляб
715,schwach::A,халсӑр,начар
716,fett::A,самӑр,кӧй
