,Concept_ID,kv,pt
428,Messer::N,пурт,faca
429,Nagel::N,кӧрттув,cravo
430,Netz::N,кыйӧт,rede
431,Haken::N,ем,gancho
432,Griff::N,пу,asa
433,Griff::N,пу,cabo
434,Schloss::N,замок,fechadura
435,Bild::N,картина,imagem
436,Figur::N,мыгӧр,figura
437,Puppe::N,акань,boneca
438,Beutel::N,мешӧк,saco
439,Beutel::N,мешӧк,bolsa
440,Bündel::N,нин,fardo
441,Tasche::N,сумка,saco
442,Tasche::N,сумка,bolso
443,Eimer::N,ведра,balde
444,Deckel::N,вевт,tampa
445,Geschirr::N,доз,louça
446,Geschirr::N,бекӧрпань,louça
447,Sack::N,мешӧк,saca
448,Tasse::N,бекӧр,chávena
449,Topf::N,кастрюля,tacho
450,Topf::N,кастрюля,panela
451,Kessel::N,пӧрт,caldeira
452,Essen::N,сёйӧм,refeição
453,Nahrung::N,вердан,comida
454,Nahrung::N,вердан,alimento
455,Speise::N,сёян,prato
456,Fleisch::N,яй,carne
457,Getreide::N,сю,cereais
458,Brei::N,каша,puré
459,Brot::N,нянь,pão
460,Scheibe::N,шӧрӧм,fatia
461,Fett::N,гос,banha
462,Fett::N,гос,gordura
463,Butter::N,ви,manteiga
464,Öl::N,ви,azeite
465,Salz::N,сов,sal
466,Suppe::N,шыд,sopa
467,Suppe::N,шыд,caldo
468,Honig::N,ма,mel
469,Milch::N,йӧв,leite
470,Tee::N,чай,chá
471,Leder::N,кучик,couro
472,Wolle::N,гӧн,lã
473,Stoff::N,дӧра,pano
474,Stoff::N,дӧра,tecido
475,Nadel::N,ем,agulha
476,Faden::N,сунис,fio
477,Knopf::N,кизь,botão
478,Knoten::N,узӧв,nó
479,Knoten::N,гӧрӧд,nó
480,Farbe::N,краска,corante
481,Kleidung::N,паськӧм,roupa
482,Kleidung::N,паськӧм,vestuário
483,Hemd::N,йӧрнӧс,camisa
484,Kragen::N,воротник,gola
485,Ärmel::N,сос,manga
486,Hose::N,вешьян,calça
487,Gürtel::N,йи,cinto
488,Mütze::N,шапка,boné
489,Mütze::N,шапка,barrete
490,Schuh::N,ботинки,sapato
491,Stiefel::N,сапог,bota
492,Ring::N,чунькытш,anel
493,Band::N,ленточка,fita
494,Band::N,ленточка,faixa
495,Kamm::N,сынан,pente
496,Spiegel::N,зеркало,espelho
