,Concept_ID,hr,fi
338,Rede::N,besjeda,puhe
339,Sprache::N,jezik,kieli
340,Stimme::N,glas,ääni
341,Wort::N,riječ,sana
342,Zeichen::N,znak,merkki
343,Ruf::N,povik,kutsu
344,Ruf::N,poklik,kutsu
345,Lärm::N,buka,melu
346,Lärm::N,buka,hälinä
347,Lärm::N,galama,melu
348,Lärm::N,galama,hälinä
349,Laut::N,zvuk,ääni
350,Ton::N,ton,sävel
351,Lied::N,pjesma,laulu
352,Ruhe::N,tišina,lepo
353,Ruhe::N,tišina,rauha
354,Ruhe::N,počinak,lepo
355,Ruhe::N,počinak,rauha
356,Leute::N,ljudi,väki
357,Leute::N,ljudi,ihmiset
358,Volk::N,puk,kansa
359,Volk::N,narod,kansa
360,Arbeit::N,rad,työ
361,Arbeit::N,posao,työ
362,Gast::N,gost,vieras
363,Geschenk::N,dar,lahja
364,Geschenk::N,poklon,lahja
365,Spiel::N,igra,peli
366,Spiel::N,igra,leikki
367,Gesellschaft::N,društvo,seura
368,Gesellschaft::N,kompanija,seura
369,Hilfe::N,pomoć,apu
370,Freund::N,prijatelj,ystävä
371,Kamerad::N,drug,toveri
372,Kamerad::N,drugar,toveri
373,Angelegenheit::N,posao,asia
374,Anzahl::N,broj,lukumäärä
375,Anzahl::N,brojnost,lukumäärä
376,Art::N,vid,laji
377,Art::N,vrst,laji
378,Stück::N,komad,pala
379,Stück::N,komad,kappale
380,Teil::N,dio,osa
381,Hälfte::N,polovina,puoli
382,Kreis::N,krug,ympyrä
383,Kreuz::N,križ,risti
384,Linie::N,crta,viiva
385,Strich::N,crta,piirto
386,Abstand::N,razmak,väli
387,Abstand::N,razmak,väljyys
388,Abstand::N,odstojanje,väli
389,Abstand::N,odstojanje,väljyys
390,Entfernung::N,udaljenost,etäisyys
391,Gegend::N,kraj,seutu
392,Gegend::N,predeo,seutu
393,Platz::N,mjesto,tila
394,Ort::N,mjesto,kohta
395,Ort::N,mjesto,paikka
396,Seite::N,bok,sivu
397,Seite::N,bok,kylki
398,Seite::N,strana,sivu
399,Seite::N,strana,kylki
400,Mitte::N,sredina,keskus
401,Mitte::N,sredina,puoliväli
402,Gegenstand::N,predmet,kalu
403,Gegenstand::N,predmet,esine
404,Sache::N,posao,asia
405,Rand::N,rub,ääri
406,Rand::N,rub,syrjä
407,Rand::N,kraj,ääri
408,Rand::N,kraj,syrjä
409,Kante::N,brid,särmä
410,Kante::N,ivica,särmä
411,Ecke::N,ugao,nurkka
412,Spitze::N,vrh,terä
413,Spitze::N,vrh,kärki
414,Spitze::N,šiljak,terä
415,Spitze::N,šiljak,kärki
416,Ende::N,konac,pää
417,Ende::N,konac,perä
418,Loch::N,rupa,kolo
419,Loch::N,rupa,reikä
420,Winkel::N,kut,kulma
421,Winkel::N,ugao,kulma
422,Muster::N,uzor,kuvio
423,Größe::N,veličina,koko
424,Größe::N,veličina,suuruus
425,Länge::N,duljina,pituus
426,Höhe::N,visina,korkeus
427,Gewicht::N,težina,paino
428,Menge::N,mnoštvo,määrä
429,Menge::N,količina,määrä
430,Haufen::N,hrpa,kasa
431,Haufen::N,gomila,kasa
432,Reihe::N,red,rivi
433,Boot::N,čun,vene
434,Boot::N,čamac,vene
435,Ruder::N,veslo,airo
436,Schlitten::N,saone,reki
437,Schlitten::N,saone,kelkka
438,Ski::N,ski,suksi
439,Ski::N,smučka,suksi
440,Lagerfeuer::N,logorska vatra,nuotio
441,Last::N,tovar,kuorma
442,Gang::N,hod,kulku
443,Gang::N,hod,käynti
444,Schritt::N,korak,askel
445,Norden::N,sjever,pohjoinen
446,Süden::N,jug,etelä
447,Westen::N,zapad,länsi
448,Osten::N,istok,itä
449,Holz::N,drvo,puu
450,Brett::N,daska,lauta
451,Platte::N,ploča,levy
452,Stütze::N,potpora,noja
453,Stange::N,motka,tanko
454,Stock::N,štap,keppi
455,Stock::N,palica,keppi
456,Stab::N,štap,sauva
457,Stab::N,štap,seiväs
458,Stab::N,šipka,sauva
459,Stab::N,šipka,seiväs
460,Rohr::N,cijev,putki
461,Haus::N,kuća,talo
462,Heim::N,dom,koti
463,Ofen::N,peć,uuni
464,Fußboden::N,pod,lattia
465,Tisch::N,stol,pöytä
466,Tisch::N,trpeza,pöytä
467,Stuhl::N,stolac,tuoli
468,Stuhl::N,stolica,tuoli
469,Wiege::N,kolijevka,kehto
470,Bett::N,krevet,sänky
471,Bett::N,postelja,sänky
472,Regal::N,polica,hylly
473,Kiste::N,sanduk,arkku
474,Kiste::N,sanduk,kirstu
475,Kiste::N,sanduk,laatikko
476,Fenster::N,prozor,ikkuna
477,Tür::N,vrata,ovi
478,Tor::N,vrata,portti
479,Tor::N,kapija,portti
480,Zaun::N,plot,aita
481,Zaun::N,ograda,aita
482,Dach::N,krov,katto
483,Leiter::N,ljestve,tikkaat
484,Leiter::N,ljestve,tikapuut
485,Leiter::N,ljestvice,tikkaat
486,Leiter::N,ljestvice,tikapuut
487,Besen::N,metla,luuta
488,Spaten::N,ašov,lapio
489,Schaufel::N,lopata,lapio
490,Gabel::N,viljuška,haarukka
491,Löffel::N,žlica,lusikka
492,Messer::N,nož,veitsi
493,Nagel::N,čavao,naula
494,Netz::N,mreža,verkko
495,Haken::N,kuka,haka
496,Haken::N,kuka,koukku
497,Griff::N,držak,ripa
498,Griff::N,držak,kahva
499,Griff::N,ručica,ripa
500,Griff::N,ručica,kahva
501,Schloss::N,brava,lukko
502,Bild::N,slika,kuva
503,Figur::N,figura,kuvio
504,Puppe::N,lutka,nukke
505,Beutel::N,kesa,pussi
506,Bündel::N,snop,nippu
507,Bündel::N,snop,kimppu
508,Bündel::N,svežanj,nippu
509,Bündel::N,svežanj,kimppu
510,Tasche::N,torba,laukku
511,Tasche::N,taška,laukku
512,Eimer::N,kabao,sanko
513,Eimer::N,kabao,ämpäri
514,Deckel::N,poklopac,kansi
515,Geschirr::N,suđe,astia
516,Geschirr::N,posuđe,astia
517,Sack::N,džak,säkki
518,Sack::N,vreća,säkki
519,Tasse::N,šalica,kuppi
520,Topf::N,lonac,pata
521,Kessel::N,kazan,kattila
522,Essen::N,obrok,syönti
523,Nahrung::N,hrana,ruoka
524,Nahrung::N,hrana,ravinto
525,Speise::N,jelo,ruoka
526,Fleisch::N,meso,liha
527,Getreide::N,žito,vilja
528,Getreide::N,žitarice,vilja
529,Brei::N,kaša,puuro
530,Brot::N,kruh,leipä
531,Scheibe::N,kriška,viipale
532,Fett::N,mast,rasva
533,Fett::N,salo,rasva
534,Butter::N,buter,voi
535,Butter::N,maslac,voi
536,Öl::N,ulje,öljy
537,Salz::N,sol,suola
538,Suppe::N,supa,keitto
539,Honig::N,med,hunaja
540,Milch::N,mlijeko,maito
541,Tee::N,čaj,tee
542,Leder::N,koža,nahka
543,Wolle::N,vuna,villa
544,Stoff::N,štof,kangas
545,Stoff::N,tkanina,kangas
546,Nadel::N,igla,neula
547,Faden::N,nit,lanka
548,Faden::N,konac,lanka
549,Knopf::N,dugme,nappi
550,Knoten::N,čvor,solmu
551,Knoten::N,uzao,solmu
552,Farbe::N,farba,maali
553,Kleidung::N,odjeća,vaatteet
554,Hemd::N,košulja,paita
555,Kragen::N,ovratnik,kaulus
556,Ärmel::N,rukav,hiha
557,Hose::N,hlače,housut
558,Gürtel::N,pas,vyö
559,Gürtel::N,pojas,vyö
560,Mütze::N,kapa,lakki
561,Schuh::N,cipela,kenkä
562,Stiefel::N,čizma,saapas
563,Ring::N,prsten,sormus
564,Band::N,vrpca,nauha
565,Kamm::N,češalj,kampa
566,Spiegel::N,zrcalo,peili
567,Spiegel::N,ogledalo,peili
568,Riemen::N,kaiš,hihna
569,Riemen::N,remen,hihna
570,Schnur::N,vrpca,naru
571,Schnur::N,vrpca,nuora
572,Leine::N,uzica,talutushihna
573,Decke::N,ćebe,peite
574,Decke::N,pokrivač,peite
575,Kissen::N,jastuk,tyyny
576,Kissen::N,jastuk,pielus
577,Tuch::N,rubac,huivi
578,Tuch::N,marama,huivi
579,Handtuch::N,ručnik,pyyheliina
580,Kraft::N,snaga,väki
581,Kraft::N,snaga,voima
582,Stärke::N,jakost,vahvuus
583,Gesundheit::N,zdravlje,terveys
584,Krankheit::N,bolest,tauti
585,Krankheit::N,bolest,sairaus
586,Schmerz::N,bol,kipu
587,Schmerz::N,bol,särky
588,Wunde::N,rana,haava
589,Fieber::N,groznica,kuume
590,Arznei::N,lijek,lääke
591,Brücke::N,most,silta
592,Brücke::N,ćuprija,silta
593,Brunnen::N,bunar,kaivo
594,Brunnen::N,zdenac,kaivo
595,Weide::N,paša,laidun
596,Weide::N,pašnjak,laidun
597,Pfad::N,staza,polku
598,Weg::N,put,tie
599,Straße::N,drum,katu
600,Straße::N,cesta,katu
601,Dorf::N,selo,kylä
602,Stadt::N,grad,kaupunki
603,Stadt::N,varoš,kaupunki
604,Brief::N,list,kirje
605,Brief::N,pismo,kirje
606,Buch::N,knjiga,kirja
607,Buchstabe::N,slovo,kirjain
608,Zeitung::N,novine,lehti
609,Zeitung::N,novine,sanomalehti
610,Leben::N,život,elo
611,Leben::N,život,elämä
612,Tod::N,smrt,kuolema
613,Grab::N,raka,hauta
614,Kirche::N,crkva,kirkko
615,Sünde::N,grijeh,synti
616,Gott::N,bog,jumala
617,Arbeiter::N,radnik,työläinen
618,Chef::N,šef,päällikkö
619,Meister::N,majstor,mestari
620,Arzt::N,liječnik,lääkäri
621,Lehrer::N,učitelj,opettaja
622,Geld::N,novac,raha
623,Geschäft::N,posao,liike
624,Geschäft::N,trgovina,liike
625,Laden::N,dućan,puoti
626,Laden::N,dućan,kauppa
627,Preis::N,cijena,hinta
628,Ware::N,roba,tavara
629,Nutzen::N,korist,hyöty
630,Reichtum::N,bogatstvo,rikkaus
631,Welt::N,svijet,maailma
632,Land::N,zemlja,maa
633,Staat::N,država,valtio
634,König::N,kralj,kuningas
635,Macht::N,moć,mahti
636,Macht::N,vlast,mahti
637,Grenze::N,granica,raja
638,Krieg::N,rat,sota
639,Feind::N,neprijatelj,vihollinen
640,Gewalt::N,sila,väkivalta
641,Gewalt::N,nasilje,väkivalta
642,Kampf::N,boj,taistelu
643,Kampf::N,borba,taistelu
644,Bogen[Waffe]::N,luk,jousi
645,Pfeil::N,strijela,nuoli
646,Gewehr::N,puška,kivääri
647,Fehler::N,pogreška,vika
648,Fehler::N,pogreška,virhe
649,Fehler::N,griješka,vika
650,Fehler::N,griješka,virhe
651,Lüge::N,laž,valhe
652,Schaden::N,šteta,vaurio
653,Schaden::N,šteta,vahinko
654,Unglück::N,nesreća,vahinko
655,Unglück::N,nesreća,onnettomuus
656,Schuld::N,krivnja,syy
657,Alter::N,dob,ikä
658,Schluss::N,kraj,loppu
659,Schluss::N,konac,loppu
660,Zeit::N,doba,aika
661,Zeit::N,vrijeme,aika
662,Tag::N,dan,päivä
663,Morgen::N,jutro,aamu
664,Morgen::N,jutro,huomen
665,Mittag::N,podne,keskipäivä
666,Abend::N,veče,ilta
667,Abend::N,večer,ilta
668,Nacht::N,noć,yö
669,Woche::N,sedmica,viikko
670,Monat::N,mjesec,kuukausi
671,Jahr::N,godina,vuosi
672,Frühling::N,proljeće,kevät
673,Sommer::N,ljeto,kesä
674,Herbst::N,jesen,syksy
675,Winter::N,zima,talvi
676,Januar::N,januar,tammikuu
677,Januar::N,siječanj,tammikuu
678,Februar::N,veljača,helmikuu
679,Februar::N,februar,helmikuu
680,März::N,mart,maaliskuu
681,März::N,ožujak,maaliskuu
682,April::N,april,huhtikuu
683,April::N,travanj,huhtikuu
684,Mai::N,maj,toukokuu
685,Mai::N,svibanj,toukokuu
686,Juni::N,juni,kesäkuu
687,Juni::N,lipanj,kesäkuu
688,Juli::N,juli,heinäkuu
689,Juli::N,srpanj,heinäkuu
690,August::N,august,elokuu
691,August::N,kolovoz,elokuu
692,September::N,rujan,syyskuu
693,September::N,septembar,syyskuu
694,Oktober::N,oktobar,lokakuu
695,Oktober::N,listopad,lokakuu
696,November::N,studeni,marraskuu
697,November::N,novembar,marraskuu
698,Dezember::N,prosinac,joulukuu
699,Montag::N,ponedjeljak,maanantai
700,Montag::N,ponedjeljnik,maanantai
701,Dienstag::N,utorak,tiistai
702,Dienstag::N,utornik,tiistai
703,Mittwoch::N,srijeda,keskiviikko
704,Donnerstag::N,četvrtak,torstai
705,Freitag::N,petak,perjantai
706,Samstag::N,subota,lauantai
707,Sonntag::N,nedjelja,sunnuntai
708,groß::A,velik,iso
709,groß::A,velik,suuri
710,klein::A,mali,pieni
711,klein::A,malen,pieni
712,lang::A,dug,pitkä
713,lang::A,dugačak,pitkä
714,kurz::A,kratak,lyhyt
715,breit::A,širok,leveä
716,schmal::A,uski,kapea
717,schmal::A,uzak,kapea
718,dicht::A,gust,taaja
719,dick[Gegenstand]::A,debeo,paksu
720,dünn::A,tanak,ohut
721,fein::A,fin,hieno
722,fein::A,tanak,hieno
723,fest::A,čvrst,luja
724,flach::A,ravan,litteä
725,flach::A,ravan,tasainen
726,flach::A,plosnat,litteä
727,flach::A,plosnat,tasainen
728,glatt::A,gladak,sileä
