,Concept_ID,cy,et
105,See::N,llyn,järv
106,Sumpf::N,cors,soo
107,Moor::N,rhos,raba
108,Wiese::N,dôl,aas
109,Wiese::N,dôl,nurm
110,Wald::N,coedwig,mets
111,Hügel::N,bryn,küngas
112,Anhöhe::N,bryn,küngas
113,Berg::N,mynydd,mägi
114,Gipfel::N,copa,mäetipp
115,Höhle::N,ogof,koobas
116,Abhang::N,llethr,nõlvak
117,Quelle::N,tarddiad,allikas
118,Quelle::N,ffynhonnell,allikas
119,Bach::N,nant,oja
120,Bach::N,afonig,oja
121,Bach::N,cornant,oja
122,Fluss::N,afon,jõgi
123,Ufer::N,glan,kallas
124,Küste::N,traeth,rannik
125,Küste::N,arfordir,rannik
126,Festland::N,tir,mander
127,Festland::N,tir,maismaa
128,Meer::N,môr,meri
129,Bucht::N,bae,laht
130,Insel::N,ynys,saar
131,Blume::N,blodyn,lill
132,Gras::N,glaswellt,rohi
133,Wurzel::N,gwreiddyn,juur
134,Baum::N,coeden,puu
135,Stamm::N,colfen,tüvi
136,Stamm::N,boncyff,tüvi
137,Rinde::N,rhisgl,koor
138,Ast::N,cangen,oks
139,Zweig::N,cainc,oks
140,Zweig::N,cangen,oks
141,Blatt::N,deilen,leht
142,Birke::N,bedwen,kask
143,Kiefer[Baum]::N,pinwydden,mänd
144,Weide[Baum]::N,helygen,paju
145,Tanne::N,ffynidwydden,nulg
146,Horn::N,corn,sarv
147,Feder::N,plufyn,sulg
148,Fell::N,ffwr,karvkate
149,Fell::N,ffwr,karusnahk
150,Flügel::N,adain,tiib
151,Flügel::N,adain,tiivik
152,Klaue::N,crafanc,küüs
153,Kralle::N,ewin,küünis
154,Schwanz::N,cwt,saba
155,Schwanz::N,cynffon,saba
156,Ei::N,wy,muna
157,Nest::N,nyth,pesa
158,Bau::N,ffau,urg
159,Tier::N,anifail,loom
160,Herde::N,praidd,kari
161,Herde::N,diadell,kari
162,Kuh::N,buwch,lehm
163,Bulle::N,tarw,pull
164,Pferd::N,ceffyl,hobune
165,Schaf::N,dafad,lammas
166,Schwein::N,mochyn,siga
167,Hund::N,ci,koer
168,Katze::N,cath,kass
169,Bär::N,arth,karu
170,Eichhörnchen::N,gwiwer,orav
171,Elch::N,elc,põder
172,Fuchs::N,cadno,rebane
173,Hase::N,ysgyfarnog,jänes
174,Maus::N,llygoden,hiir
175,Wolf::N,blaidd,hunt
176,Vogel::N,aderyn,lind
177,Schwarm::N,haid,parv
178,Huhn::N,cyw,kana
179,Hahn::N,ceiliog,kukk
180,Gans::N,gŵydd,hani
181,Adler::N,eryr,kotkas
182,Ente::N,hwyad,part
183,Eule::N,tylluan,kakk
184,Eule::N,tylluan,öökull
185,Kranich::N,garan,kurg
186,Kranich::N,crychydd,kurg
187,Krähe::N,brân,vares
188,Kuckuck::N,cog,kägu
189,Kuckuck::N,cwcw,kägu
190,Schwan::N,alarch,luik
191,Fisch::N,pysgod,kala
192,Barsch::N,draenog,ahven
193,Hecht::N,penhwyad,haug
194,Schlange[Tier]::N,neidr,uss
195,Wurm::N,abwydyn,uss
196,Wurm::N,abwydyn,vagel
197,Wurm::N,pryf genwair,uss
198,Wurm::N,pryf genwair,vagel
199,Spinne::N,cor,ämblik
200,Spinne::N,pryf copyn,ämblik
201,Ameise::N,morgrugyn,sipelgas
202,Laus::N,lleuen,täi
203,Mücke::N,gwybedyn,sääsk
204,Fliege::N,cleren,kärbes
205,Schmetterling::N,glöyn byw,liblikas
206,Schmetterling::N,iâr fach yr haf,liblikas
207,Beere::N,aeronen,mari
208,Apfel::N,afal,õun
209,Pilz::N,madarch,seen
210,Zwiebel::N,nionyn,sibul
211,Zwiebel::N,winwnsyn,sibul
212,Saat::N,had,seeme
213,Korn::N,grawn,iva
214,Korn::N,grawn,tera
215,Heu::N,gwair,hein
216,Schale::N,croen,koor
217,Schale::N,plisgyn,koor
218,Grube::N,pwll,kaevand
219,Grube::N,pydew,kaevand
220,Falle::N,magl,lõks
221,Falle::N,magl,püünis
222,Schlinge::N,cwlwm rhedeg,aas
223,Spur::N,ôl,jälg
224,Asche::N,lludw,tuhk
225,Dreck::N,baw,saast
226,Dreck::N,baw,mustus
227,Dreck::N,budreddi,saast
228,Dreck::N,budreddi,mustus
229,Eisen::N,haearn,raud
230,Gold::N,aur,kuld
231,Silber::N,arian,hõbe
232,Kohle::N,glo,süsi
233,Glas::N,gwydr,klaas
234,Lehm::N,clai,savi
235,Sand::N,tywod,liiv
236,Mensch::N,dyn,inimene
237,Mann::N,dyn,mees
238,Frau::N,merch,naine
239,Frau::N,gwraig,naine
240,Kind::N,plentyn,laps
241,Junge::N,hogyn,poiss
242,Junge::N,bachgen,poiss
243,Mädchen::N,merch,tüdruk
244,Mädchen::N,geneth,tüdruk
245,Familie::N,teulu,perekond
246,Familie::N,tylwyth,perekond
247,Großvater::N,taid,vanaisa
248,Großvater::N,tad-cu,vanaisa
249,Großmutter::N,nain,vanaema
250,Großmutter::N,mam-gu,vanaema
251,Eltern::N,rhieni,vanemad
252,Vater::N,tad,isa
253,Mutter::N,mam,ema
254,Sohn::N,mab,poeg
255,Tochter::N,merch,tütar
256,Bruder::N,brawd,vend
257,Schwester::N,chwaer,õde
258,Onkel::N,ewythr,onu
259,Tante::N,modryb,tädi
260,Ehemann::N,gŵr,mees
261,Ehemann::N,gŵr,abikaasa
262,Ehefrau::N,gwraig,naine
263,Ehefrau::N,gwraig,abikaasa
264,Freude::N,gorfoledd,rõõm
265,Gelächter::N,chwerthin,naer
266,Glück::N,hapusrwydd,õnn
267,Kummer::N,galar,mure
268,Kummer::N,galar,kurbus
269,Wunsch::N,dymuniad,soov
270,Lust::N,chwant,himu
271,Geist::N,ysbryd,vaim
272,Gedanke::N,meddwl,mõte
273,Gedächtnis::N,cof,mälu
274,Verstand::N,meddwl,aru
275,Verstand::N,meddwl,mõistus
276,Sinn::N,ystyr,tähendus
277,Grund::N,achos,põhjus
278,Grund::N,rheswm,põhjus
279,Wahrheit::N,gwir,tõde
280,Wahrheit::N,gwirionedd,tõde
281,Gespräch::N,sgwrs,kõne
282,Gespräch::N,sgwrs,vestlus
283,Märchen::N,chwedl werin,muinasjutt
284,Erzählung::N,stori,jutustus
285,Nachricht::N,neges,teade
286,Neuigkeit::N,newydd,uudis
287,Name::N,enw,nimi
288,Rätsel::N,pos,mõistatus
289,Rede::N,araith,kõne
290,Sprache::N,iaith,keel
291,Stimme::N,llais,hääl
292,Wort::N,gair,sõna
293,Zeichen::N,arwydd,märk
294,Ruf::N,galwad,hüüe
295,Lärm::N,trwst,müra
296,Laut::N,sain,hääl
297,Ton::N,tôn,toon
298,Lied::N,cân,laul
299,Ruhe::N,tawelwch,rahu
300,Ruhe::N,tawelwch,vaikus
301,Leute::N,pobl,inimesed
302,Volk::N,pobl,rahvas
303,Arbeit::N,gwaith,töö
304,Gast::N,gwestai,külaline
305,Geschenk::N,rhodd,kingitus
306,Geschenk::N,anrheg,kingitus
307,Spiel::N,chwarae,mäng
308,Gesellschaft::N,cwmni,selts
309,Hilfe::N,cymorth,abi
310,Freund::N,cyfaill,sõber
311,Kamerad::N,cydymaith,sõber
312,Angelegenheit::N,pwnc,asi
313,Anzahl::N,cyfrif,arv
314,Anzahl::N,cyfrif,hulk
315,Art::N,bath,liik
316,Stück::N,darn,tükk
317,Teil::N,rhan,osa
318,Hälfte::N,hanner,pool
319,Kreis::N,cylch,ring
320,Kreuz::N,croes,rist
321,Linie::N,llinell,joon
322,Strich::N,strôc,joon
323,Strich::N,trawiad,joon
324,Abstand::N,bwlch,vahe
325,Abstand::N,pellter,vahe
326,Entfernung::N,pellter,kaugus
327,Entfernung::N,pellter,vahemaa
328,Gegend::N,cylch,ümbrus
329,Platz::N,lle,ruum
330,Ort::N,lle,paik
331,Seite::N,ochr,pool
332,Mitte::N,canol,keskpaik
333,Gegenstand::N,eitem,ese
334,Sache::N,peth,ese
335,Rand::N,cwr,äär
336,Rand::N,cwr,serv
337,Rand::N,ymyl,äär
338,Rand::N,ymyl,serv
339,Kante::N,min,kant
340,Kante::N,ymyl,kant
341,Ecke::N,cornel,nurk
342,Spitze::N,blaen,teravik
343,Ende::N,pen,ots
344,Ende::N,pen,jupp
345,Loch::N,twll,auk
346,Winkel::N,congl,nurk
347,Muster::N,patrwm,muster
348,Größe::N,maint,suurus
349,Größe::N,maintioli,suurus
350,Länge::N,hyd,pikkus
351,Höhe::N,uchder,kõrgus
352,Gewicht::N,pwysau,kaal
353,Gewicht::N,pwysau,raskus
354,Menge::N,swm,arv
355,Menge::N,swm,hulk
356,Menge::N,maint,arv
357,Menge::N,maint,hulk
358,Haufen::N,pentwr,hunnik
359,Reihe::N,rhes,rivi
360,Boot::N,cwch,paat
361,Ruder::N,rhwyf,aer
362,Schlitten::N,sled,saan
363,Schlitten::N,car llusg,saan
364,Ski::N,sgi,suusk
365,Lagerfeuer::N,coelcerth,lõke
366,Last::N,llwyth,koorem
367,Gang::N,tro,käik
368,Schritt::N,cam,samm
369,Norden::N,gogledd,põhi
370,Süden::N,de,lõuna
371,Westen::N,gorllewin,lääs
372,Osten::N,dwyrain,ida
373,Holz::N,pren,puu
374,Brett::N,bwrdd,saelaud
375,Brett::N,astell,saelaud
376,Platte::N,llech,plaat
377,Stütze::N,ateg,tugi
378,Stütze::N,cynhalydd,tugi
379,Stange::N,polyn,latt
380,Stange::N,polyn,teivas
381,Stock::N,ffon,kepp
382,Stock::N,brigyn,kepp
383,Stab::N,ffon,varras
384,Rohr::N,pibell,toru
385,Haus::N,tŷ,maja
386,Heim::N,cartref,kodu
387,Ofen::N,stof,ahi
388,Fußboden::N,llawr,põrand
389,Tisch::N,bwrdd,laud
390,Stuhl::N,cadair,tool
391,Wiege::N,crud,häll
392,Wiege::N,crud,kätki
393,Bett::N,gwely,voodi
394,Regal::N,silff,riiul
395,Kiste::N,bocs,kast
396,Kiste::N,blwch,kast
397,Fenster::N,ffenestr,aken
398,Tür::N,drws,uks
399,Tor::N,porth,värav
400,Zaun::N,ffens,aed
401,Zaun::N,ffens,tara
402,Dach::N,to,katus
403,Leiter::N,ysgol,redel
404,Besen::N,ysgub,luud
405,Spaten::N,rhaw,labidas
406,Schaufel::N,rhaw,kühvel
407,Gabel::N,fforc,kahvel
408,Löffel::N,llwy,lusikas
409,Messer::N,cyllell,nuga
410,Nagel::N,hoel,nael
411,Netz::N,gwe,võrk
412,Netz::N,rhwyd,võrk
413,Haken::N,bach,haak
414,Haken::N,bach,konks
415,Griff::N,carn,sang
416,Griff::N,carn,käepide
417,Schloss::N,clo,lukk
418,Bild::N,llun,pilt
419,Bild::N,pictiwr,pilt
420,Figur::N,ffigur,kuju
421,Figur::N,ffigur,kujund
422,Puppe::N,dol,nukk
423,Beutel::N,cwd,paun
424,Bündel::N,bwndel,kimp
425,Bündel::N,coflaid,kimp
426,Tasche::N,cod,kott
427,Eimer::N,bwced,pang
428,Eimer::N,bwced,ämber
429,Eimer::N,cunnog,pang
430,Eimer::N,cunnog,ämber
431,Deckel::N,caead,kaas
432,Geschirr::N,llestri,nõud
433,Sack::N,sach,kott
434,Tasse::N,cwpan,tass
435,Topf::N,pot,pada
436,Topf::N,crochan,pada
437,Kessel::N,tegell,pada
438,Essen::N,pryd o fwyd,söök
439,Nahrung::N,bwyd,toit
440,Speise::N,saig,roog
441,Fleisch::N,cig,liha
442,Getreide::N,ŷd,teravili
443,Getreide::N,llafur,teravili
444,Brei::N,uwd,puder
445,Brot::N,bara,sai
446,Brot::N,bara,leib
447,Scheibe::N,tafell,viil
448,Scheibe::N,tafell,viilukas
449,Fett::N,saim,rasv
450,Fett::N,braster,rasv
451,Butter::N,ymenyn,või
452,Öl::N,olew,õli
453,Salz::N,halen,sool
454,Suppe::N,cawl,supp
455,Honig::N,mêl,mesi
456,Milch::N,llaeth,piim
457,Milch::N,llefrith,piim
458,Tee::N,te,tee
459,Leder::N,lledr,nahk
460,Wolle::N,gwlân,vill
461,Stoff::N,lliain,kangas
462,Stoff::N,brethyn,kangas
463,Nadel::N,nodwydd,nõel
464,Faden::N,edau,niit
465,Faden::N,edefyn,niit
466,Knopf::N,botwm,nööp
467,Knoten::N,cwlwm,sõlm
468,Farbe::N,paent,värv
469,Kleidung::N,dillad,riided
470,Kleidung::N,dillad,riietus
471,Kleidung::N,gwisgoedd,riided
472,Kleidung::N,gwisgoedd,riietus
473,Hemd::N,crys,särk
474,Kragen::N,coler,krae
475,Ärmel::N,llawes,varrukas
476,Hose::N,trowsus,püksid
477,Gürtel::N,gwregys,vöö
478,Mütze::N,cap,müts
479,Schuh::N,esgid,king
480,Stiefel::N,botasen,saabas
481,Ring::N,modrwy,sõrmus
482,Band::N,rhuban,lint
483,Kamm::N,crib,kamm
484,Spiegel::N,drych,peegel
485,Riemen::N,strap,rihm
486,Schnur::N,llinyn,nöör
487,Leine::N,tennyn,jalutusrihm
488,Decke::N,blanced,tekk
489,Decke::N,gwrthban,tekk
490,Kissen::N,clustog,padi
491,Kissen::N,gobennydd,padi
492,Tuch::N,sgarff,kalev
493,Handtuch::N,tywel,käterätik
494,Handtuch::N,lliain sychu,käterätik
495,Kraft::N,grym,jõud
496,Stärke::N,nerth,tugevus
497,Stärke::N,cryfder,tugevus
498,Gesundheit::N,iechyd,tervis
499,Krankheit::N,afiechyd,haigus
500,Krankheit::N,anhwylder,haigus
501,Schmerz::N,poen,valu
502,Schmerz::N,gwayw,valu
503,Wunde::N,clwyf,haav
504,Fieber::N,twymyn,palavik
505,Arznei::N,meddyginiaeth,ravim
506,Brücke::N,pont,sild
507,Brunnen::N,ffynnon,kaev
508,Weide::N,porfa,karjamaa
509,Pfad::N,llwybr,rada
510,Weg::N,ffordd,tee
511,Straße::N,heol,tee
512,Straße::N,ffordd,tee
513,Dorf::N,pentref,küla
514,Stadt::N,tref,linn
515,Brief::N,llythyr,kiri
516,Buch::N,llyfr,raamat
517,Buchstabe::N,llythyren,täht
518,Zeitung::N,papur newydd,ajaleht
519,Leben::N,bywyd,elu
520,Tod::N,marwolaeth,surm
521,Grab::N,bedd,haud
522,Kirche::N,eglwys,kirik
523,Sünde::N,pechod,patt
524,Gott::N,duw,jumal
525,Arbeiter::N,gweithiwr,tööline
526,Chef::N,pennaeth,ülemus
527,Chef::N,pennaeth,juhataja
528,Meister::N,meistr,meister
529,Arzt::N,meddyg,arst
530,Lehrer::N,athro,õpetaja
531,Geld::N,pres,raha
532,Geld::N,arian,raha
533,Geschäft::N,busnes,äri
534,Laden::N,siop,pood
535,Laden::N,siop,kauplus
536,Preis::N,pris,hind
537,Ware::N,nwydd,kaup
538,Nutzen::N,elw,tulu
539,Nutzen::N,elw,kasulikkus
540,Nutzen::N,budd,tulu
541,Nutzen::N,budd,kasulikkus
542,Reichtum::N,cyfoeth,rikkus
543,Welt::N,byd,maailm
544,Land::N,gwlad,maa
545,Staat::N,gwladwriaeth,riik
546,König::N,brenin,kuningas
547,Macht::N,grym,võim
548,Macht::N,awdurdod,võim
549,Grenze::N,ffin,piir
550,Grenze::N,goror,piir
551,Krieg::N,rhyfel,sõda
552,Feind::N,gelyn,vaenlane
553,Gewalt::N,ffyrnigrwydd,väevõim
554,Kampf::N,brwydr,võitlus
555,Bogen[Waffe]::N,bwa,vibu
556,Pfeil::N,saeth,nool
557,Gewehr::N,dryll,püss
558,Fehler::N,gwall,viga
559,Fehler::N,camgymeriad,viga
560,Lüge::N,celwydd,vale
561,Lüge::N,anwiredd,vale
562,Schaden::N,niwed,kahju
563,Schaden::N,difrod,kahju
564,Unglück::N,anffawd,häda
565,Unglück::N,anffawd,õnnetus
566,Schuld::N,bai,süü
567,Alter::N,oed,iga
568,Schluss::N,diwedd,lõpp
569,Zeit::N,amser,aeg
570,Tag::N,dydd,päev
571,Tag::N,diwrnod,päev
572,Morgen::N,bore,hommik
573,Mittag::N,nawn,lõuna
574,Mittag::N,nawn,keskpäev
575,Abend::N,noswaith,õhtu
576,Nacht::N,nos,öö
577,Woche::N,wythnos,nädal
578,Monat::N,mis,kuu
579,Jahr::N,blwyddyn,aasta
580,Frühling::N,gwanwyn,kevad
581,Sommer::N,haf,suvi
582,Herbst::N,hydref,sügis
583,Winter::N,gaeaf,talv
584,Januar::N,Ionawr,jaanuar
585,Februar::N,Chwefror,veebruar
586,März::N,Mawrth,märts
587,April::N,Ebrill,aprill
588,Mai::N,Mai,mai
589,Juni::N,Mehefin,juuni
590,Juli::N,Gorffennaf,juuli
591,August::N,Awst,august
592,September::N,Medi,september
593,Oktober::N,Hydref,oktoober
594,November::N,Tachwedd,november
595,Dezember::N,Rhagfyr,detsember
596,Montag::N,dydd Llun,esmaspäev
597,Dienstag::N,dydd Mawrth,teisipäev
598,Mittwoch::N,dydd Mercher,kesknädal
599,Donnerstag::N,dydd Iau,neljapäev
600,Freitag::N,dydd Gwener,reede
601,Samstag::N,dydd Sadwrn,laupäev
602,Sonntag::N,dydd Sul,pühapäev
603,groß::A,mawr,suur
604,klein::A,bach,väike
605,klein::A,bach,pisike
606,lang::A,hir,pikk
607,kurz::A,byr,lühike
608,kurz::A,cwta,lühike
609,breit::A,llydan,lai
610,schmal::A,cul,kitsas
611,dicht::A,dwys,tihe
612,dick[Gegenstand]::A,trwchus,jäme
613,dünn::A,tenau,õhuke
614,dünn::A,tenau,peenike
615,fein::A,main,peen
616,fein::A,main,õhuke
617,fest::A,cadarn,püsiv
618,fest::A,cadarn,kindel
619,flach::A,gwastad,lame
620,flach::A,gwastad,tasane
621,glatt::A,llyfn,sile
622,hart::A,caled,kõva
623,weich::A,meddal,pehme
624,rund::A,crwn,ümar
625,spitz::A,pigfain,torkav
626,scharf::A,miniog,terav
627,stumpf::A,pŵl,nüri
628,schwer::A,trwm,raske
629,schön::A,teg,kena
630,schön::A,hardd,kena
631,schön::A,prydferth,kena
632,heiß::A,poeth,kuum
633,heiß::A,poeth,palav
634,warm::A,twym,soe
635,warm::A,cynnes,soe
636,kalt::A,oer,külm
637,kühl::A,oeraidd,jahe
638,frisch::A,iach,värske
639,feucht::A,llaith,niiske
640,nass::A,gwlyb,märg
641,trocken::A,sych,kuiv
642,voll::A,llawn,täis
643,leer::A,gwag,tühi
644,offen::A,agored,avatud
645,offen::A,agored,lahtine
646,geschlossen::A,caead,suletud
647,geschlossen::A,caeëdig,suletud
648,sauber::A,glân,puhas
649,schmutzig::A,budr,räpane
650,schmutzig::A,budr,määrdunud
651,schmutzig::A,brwnt,räpane
652,schmutzig::A,brwnt,määrdunud
653,roh::A,amrwd,toores
654,reif::A,aeddfed,küps
655,lecker::A,blasus,hõrk
656,lecker::A,blasus,maitsev
657,lecker::A,danteithiol,hõrk
658,lecker::A,danteithiol,maitsev
659,süß::A,melys,magus
660,bitter::A,chwerw,mõru
661,sauer::A,sur,hapu
662,hell::A,disglair,hele
663,dunkel::A,tywyll,pime
664,schwarz::A,du,must
665,weiß::A,gwyn,valge
666,rot::A,coch,punane
667,gelb::A,melyn,kollane
668,blau::A,glas,sinine
669,grün::A,gwyrdd,roheline
670,grau::A,llwyd,hall
671,bunt::A,lliwgar,kirju
672,bunt::A,lliwgar,värviline
673,billig::A,rhad,odav
674,teuer::A,drud,kallis
675,wertvoll::A,gwerthfawr,väärtuslik
676,blind::A,dall,pime
677,taub::A,byddar,kurt
678,kräftig::A,nerthol,jõuline
679,kräftig::A,grymus,jõuline
680,stark::A,cryf,tugev
681,stark::A,cadarn,tugev
682,schwach::A,gwan,nõrk
683,schwach::A,gwan,jõuetu
684,fett::A,tew,rasvane
685,schlank::A,main,sale
686,hübsch::A,tlws,kena
687,böse::A,drwg,tige
688,dumm::A,twp,juhm
689,dumm::A,twp,rumal
690,faul::A,diog,laisk
691,fleißig::A,dyfal,virk
692,fleißig::A,dyfal,hoolas
693,geizig::A,crintach,ihne
694,geizig::A,cybyddlyd,ihne
695,klug::A,deallus,tark
696,klug::A,deallus,arukas
697,klug::A,deallus,mõistlik
698,geschickt::A,medrus,osav
699,geschickt::A,deheuig,osav
700,lieb::A,hoff,armas
701,lieb::A,annwyl,armas
702,lustig::A,llon,lõbus
703,sanft::A,mwyn,õrn
704,hungrig::A,newynog,näljane
705,krank::A,sâl,haige
706,krank::A,gwael,haige
707,nackt::A,noeth,alasti
708,traurig::A,trist,kurb
709,lebendig::A,yn fyw,elus
710,gut::A,da,hea
711,schlecht::A,drwg,halb
712,schlecht::A,gwael,halb
713,richtig::A,cywir,õige
714,schlimm::A,enbyd,paha
715,wahr::A,gwir,tõene
716,alt::A,hen,vana
717,neu::A,newydd,uus
718,ehemalig::A,blaenorol,endine
719,alt[Lebewesen]::A,oedrannus,vana
720,jung::A,ifanc,noor
721,arm::A,tlawd,vaene
722,reich::A,cyfoethog,rikas
723,bekannt::A,cynefin,teada
724,bekannt::A,cynefin,tuttav
725,bekannt::A,cyfarwydd,teada
726,bekannt::A,cyfarwydd,tuttav
727,berühmt::A,enwog,tuntud
728,fremd::A,estron,võõras
729,verschieden::A,gwahanol,erinev
730,nah::A,agos,lähedane
731,fern::A,pell,kauge
732,linker::A,aswy,vasak
733,linker::A,chwith,vasak
734,rechter::A,de,parem
735,rechter::A,deau,parem
736,anderer::A,arall,muu
737,anderer::A,arall,teine
738,erster::A,cyntaf,esimene
739,zweiter::A,ail,teine
740,dritter::A,trydydd,kolmas
741,letzter::A,olaf,viimane
742,allein::ADV,unig,üksi
743,allein::ADV,ar ei ben ei hun,üksi
744,auf einmal::ADV,ar yr un pryd,korraga
745,auf einmal::ADV,ar yr un pryd,ühekorraga
746,zusammen::ADV,ynghyd,koos
747,zusammen::ADV,ynghyd,üheskoos
748,zusammen::ADV,gyda'i gilydd,koos
749,zusammen::ADV,gyda'i gilydd,üheskoos
750,lange::ADV,amser hir,kaua
751,plötzlich::ADV,yn sydyn,äkki
752,plötzlich::ADV,yn sydyn,järsku
753,sofort::ADV,ar unwaith,kohe
754,später::ADV,yn ddiweddarach,hiljem
755,jetzt::ADV,yn awr,nüüd
756,heute::ADV,heddiw,täna
757,morgen::ADV,yfory,homme
758,bald::ADV,yn fuan,pea
759,bald::ADV,yn fuan,varsti
760,bald::ADV,gyda hyn,pea
761,bald::ADV,gyda hyn,varsti
762,dann::ADV,yna,siis
763,dann::ADV,y pryd hwnnw,siis
764,gestern::ADV,ddoe,eile
765,einst::ADV,gynt,vanasti
766,damals::ADV,ar y pryd,tookord
767,damals::ADV,bryd hynny,tookord
768,danach::ADV,wedyn,seejärel
769,vorher::ADV,o'r blaen,enne
770,zuerst::ADV,yn gyntaf,enne
771,zuerst::ADV,yn gyntaf,esmalt
772,einmal::ADV,unwaith,kord
773,einmal::ADV,unwaith,üks kord
774,manchmal::ADV,weithiau,mõnikord
775,manchmal::ADV,ar brydiau,mõnikord
776,oft::ADV,yn aml,tihti
777,oft::ADV,yn aml,sageli
778,oft::ADV,yn fynych,tihti
779,oft::ADV,yn fynych,sageli
780,immer::ADV,bob amser,ikka
781,immer::ADV,bob amser,alati
782,niemals::ADV,ni ... byth,mitte kunagi
783,niemals::ADV,ni ... erioed,mitte kunagi
784,hier::ADV,yma,siin
785,hierhin::ADV,hyd yma,siia
786,von hier::ADV,oddi yma,siit
787,dort::ADV,acw,seal
788,dorthin::ADV,tuag yno,sinna
789,geradeaus::ADV,syth ymlaen,otse edasi
790,vorwärts::ADV,ymlaen,edasi
791,rückwärts::ADV,yn ôl,tagurpidi
792,zurück::ADV,yn ôl,tagasi
793,unten::ADV,isod,all
794,unten::ADV,isod,allpool
795,unten::ADV,oddi tanodd,all
796,unten::ADV,oddi tanodd,allpool
797,hinab::ADV,i lawr,alla
798,hinab::ADV,i waered,alla
799,oben::ADV,fry,ülal
800,hinauf::ADV,i fyny,üles
801,hinauf::ADV,i'r lan,üles
802,überall::ADV,ym mhobman,kõikjal
803,nicht::ADV,ni,ei
804,nicht::ADV,ni,mitte
805,nicht::ADV,nid,ei
806,nicht::ADV,nid,mitte
807,ein wenig::ADV,tipyn,veidi
808,ein wenig::ADV,tipyn,natuke
809,ein wenig::ADV,ychydig,veidi
810,ein wenig::ADV,ychydig,natuke
811,kaum::ADV,prin,vaevalt
812,sehr::ADV,iawn,väga
813,so::ADV,fel,nii
