,Concept_ID,he,el
229,Frau::N,אשה,γυναίκα
230,Frau::N,גברת,γυναίκα
231,Kind::N,ילד,παιδί
232,Junge::N,ילד,αγόρι
233,Mädchen::N,נערה,κοπέλα
234,Mädchen::N,נערה,κορίτσι
235,Familie::N,משפחה,οικογένεια
236,Großvater::N,סבא,παππούς
237,Großmutter::N,סבתא,γιαγιά
238,Eltern::N,הורים,γονείς
239,Vater::N,אב,πατέρας
240,Mutter::N,אם,μητέρα
241,Sohn::N,בן,γιος
242,Tochter::N,בת,κόρη
243,Bruder::N,אח,αδελφός
244,Schwester::N,אחות,αδελφή
245,Onkel::N,דוד,θείος
246,Tante::N,דודה,θεία
247,Ehemann::N,איש,σύζυγος
248,Ehemann::N,בעל,σύζυγος
249,Ehefrau::N,אשה,σύζυγος
250,Freude::N,שמחה,χαρά
251,Gelächter::N,צחוק,γέλια
252,Glück::N,אשר,ευτυχία
253,Kummer::N,יגון,έγνοια
254,Kummer::N,עגמה,έγνοια
255,Wunsch::N,אחול,επιθυμία
256,Wunsch::N,משאלה,επιθυμία
257,Lust::N,חשק,όρεξη
258,Lust::N,תשוקה,όρεξη
259,Geist::N,רוח,πνέυμα
260,Gedanke::N,מחשבה,σκέψη
261,Gedächtnis::N,זכרון,μνήμη
262,Verstand::N,שכל,νους
263,Sinn::N,מובן,νόημα
264,Sinn::N,משמעות,νόημα
265,Grund::N,סבה,λόγος
266,Wahrheit::N,אמת,αλήθεια
267,Gespräch::N,דיון,συνομιλία
268,Märchen::N,אגדה,παραμύθι
269,Erzählung::N,ספור,διήγημα
270,Nachricht::N,ידיעה,είδηση
271,Neuigkeit::N,חדשה,νέο
272,Name::N,שם,όνομα
273,Rätsel::N,תעלומה,αίνιγμα
274,Rede::N,נאום,λόγος
275,Rede::N,נאום,ομιλία
276,Sprache::N,לשון,γλώσσα
277,Stimme::N,קול,φωνή
278,Wort::N,מלה,λέξη
279,Zeichen::N,סימן,σημείο
280,Ruf::N,קריאה,κραυγή
281,Lärm::N,רעש,θόρυβος
282,Laut::N,הגה,ήχος
283,Ton::N,צליל,ήχος
284,Ton::N,צליל,τόνος
285,Lied::N,שיר,τραγούδι
286,Ruhe::N,שלוה,ησυχία
287,Leute::N,אנשים,κόσμος
288,Leute::N,אנשים,άνθρωποι
289,Volk::N,עם,λαός
290,Arbeit::N,עבודה,εργασία
291,Gast::N,אורח,επισκέπτης
292,Geschenk::N,מתנה,δώρο
293,Spiel::N,משחק,παιχνίδι
294,Gesellschaft::N,חברה,κοινωνία
295,Hilfe::N,עזרה,βοήθεια
296,Freund::N,חבר,φίλος
297,Freund::N,ידיד,φίλος
298,Kamerad::N,רע,σύντροφος
299,Angelegenheit::N,ענין,υπόθεση
300,Anzahl::N,מספר,αριθμός
301,Art::N,סוג,είδος
302,Stück::N,חתיכה,κομμάτι
303,Teil::N,פרק,μέρος
304,Hälfte::N,חצי,μισό
305,Kreis::N,מעגל,κύκλος
306,Kreuz::N,צלב,σταυρός
307,Linie::N,קו,γραμμή
308,Strich::N,קו קצר,γραμμή
309,Abstand::N,מרחק,απόσταση
310,Entfernung::N,מרחק,απόσταση
311,Gegend::N,נוף,περιοχή
312,Gegend::N,נוף,τοποθεσία
313,Platz::N,שטח,χώρος
314,Ort::N,אתר,τόπος
315,Ort::N,מקום,τόπος
316,Seite::N,צד,πλευρά
317,Mitte::N,אמצע,μέση
318,Gegenstand::N,אוביקט,αντικείμενο
319,Sache::N,דבר,πράγμα
320,Rand::N,פרור,άκρη
321,Rand::N,פרור,χείλος
322,Kante::N,קצה,άκρη
323,Ecke::N,פנה,γωνιά
324,Spitze::N,קצה,μύτη
325,Ende::N,סוף,άκρη
326,Loch::N,חר,τρύπα
327,Winkel::N,פנה,γωνία
328,Muster::N,תבנית,σχέδιο
329,Größe::N,גדל,μέγεθος
330,Länge::N,ארך,μήκος
331,Höhe::N,קומה,ύψος
332,Höhe::N,גבה,ύψος
333,Gewicht::N,משקל,βάρος
334,Menge::N,כמות,ποσότητα
335,Haufen::N,ערמה,σωρός
336,Reihe::N,רצף,αράδα
337,Boot::N,סירה,βάρκα
338,Ruder::N,משוט,κουπί
339,Schlitten::N,מזחלת,έλκηθρο
340,Ski::N,מגלשים,σκι
341,Lagerfeuer::N,מדורה,φωτιά
342,Last::N,משא,φορτίο
343,Gang::N,הליכה,δρόμος
344,Schritt::N,צעד,βήμα
345,Norden::N,צפון,βορράς
346,Süden::N,דרום,νότος
347,Westen::N,מערב,δύση
348,Osten::N,מזרח,ανατολή
349,Holz::N,עץ,ξύλο
350,Brett::N,קרש,σανίδι
351,Platte::N,לוח,πλάκα
352,Stütze::N,משען,στήριγμα
353,Stange::N,מוט,ραβδί
354,Stange::N,מוט,κοντός
355,Stock::N,מקל,ξύλο
356,Stock::N,מקל,μπαστούνι
357,Stab::N,מוט,ραβδί
358,Rohr::N,צנור,σωλήνας
359,Haus::N,בית,σπίτι
360,Heim::N,בית,σπίτι
361,Ofen::N,תנור,σόμπα
362,Ofen::N,תנור,θερμάστρα
363,Fußboden::N,רצפה,πάτωμα
364,Tisch::N,שלחן,τραπέζι
365,Stuhl::N,כסא,καρέκλα
366,Wiege::N,ערש,κούνια
367,Bett::N,מטה,κρεβάτι
368,Regal::N,מדף,ράφι
369,Kiste::N,תבה,κιβώτιο
370,Kiste::N,ארגז,κιβώτιο
371,Fenster::N,חלון,παράθυρο
372,Tür::N,דלת,πόρτα
373,Tor::N,שער,πύλη
374,Zaun::N,גדר,φράχτης
375,Dach::N,גג,στέγη
376,Leiter::N,סלם,σκάλα
377,Leiter::N,סלם,κλίμακα
378,Besen::N,מטאטא,σκούπα
379,Spaten::N,את,φτυάρι
380,Schaufel::N,את,φτυάρι
381,Gabel::N,מזלג,πιρούνι
382,Löffel::N,כף,κουτάλι
383,Messer::N,סכין,μαχαίρι
384,Nagel::N,מסמר,καρφί
385,Netz::N,רשת,δίχτυ
386,Haken::N,וו,γάντζος
387,Haken::N,וו,αγκίστρι
388,Haken::N,קרס,γάντζος
389,Haken::N,קרס,αγκίστρι
390,Griff::N,ידית,λαβή
391,Schloss::N,מנעול,κλειδαριά
392,Bild::N,תמונה,εικόνα
393,Figur::N,פסל,ανάστημα
394,Puppe::N,בבה,κούκλα
395,Beutel::N,שק,πουγγί
396,Bündel::N,צרור,δεμάτι
397,Tasche::N,שקית,τσάντα
398,Eimer::N,דלי,κουβάς
399,Deckel::N,מכסה,καπάκι
400,Geschirr::N,כלים,σκεύη
401,Sack::N,שק,σάκος
402,Tasse::N,ספל,φλιτζάνι
403,Topf::N,סיר,χύτρα
404,Kessel::N,קנקן,καζάνι
405,Essen::N,אכל,φαγητό
406,Essen::N,ארוחה,φαγητό
407,Nahrung::N,הזנה,τροφή
408,Nahrung::N,תזונה,τροφή
409,Speise::N,מאכל,φαγητό
410,Speise::N,ארוחה,φαγητό
411,Fleisch::N,בשר,κρέας
412,Getreide::N,דגן,σιτάρι
413,Brei::N,מחית,χυλός
414,Brot::N,לחם,ψωμί
415,Brot::N,לחם,άρτος
416,Scheibe::N,עגול,φέτα
417,Scheibe::N,פרוסה,φέτα
418,Fett::N,שמן,πάχος
419,Butter::N,חמאה,βούτυρο
420,Öl::N,שמן,λάδι
421,Salz::N,מלח,αλάτι
422,Suppe::N,מרק,σούπα
423,Honig::N,דבש,μέλι
424,Milch::N,חלב,γάλα
425,Tee::N,תה,τσάι
426,Leder::N,עור,πετσί
427,Wolle::N,צמר,μαλλί
428,Stoff::N,בד,ύφασμα
429,Stoff::N,אריג,ύφασμα
430,Nadel::N,מחט,βελόνα
431,Faden::N,חוט,κλωστή
432,Knopf::N,כפתור,κουμπί
433,Knoten::N,קשר,κόμπος
434,Farbe::N,צבע,μπογιά
435,Kleidung::N,בגדים,ρούχα
436,Kleidung::N,בגדים,ενδυμασία
437,Hemd::N,חלצה,πουκάμισο
438,Kragen::N,צוארון,κολάρο
439,Ärmel::N,שרוול,μανίκι
440,Hose::N,מכנסים,πανταλόνι
441,Gürtel::N,חגורה,ζώνη
442,Mütze::N,כובע,σκούφος
443,Schuh::N,נעל,παπούτσι
444,Stiefel::N,מגף,μπότα
445,Ring::N,טבעת,δαχτυλίδι
446,Band::N,סרט,κορδέλα
447,Kamm::N,מסרק,χτένα
448,Spiegel::N,מראה,καθρέφτης
449,Riemen::N,רצועה,λουρί
450,Schnur::N,חבל,κορδόνι
451,Leine::N,מושכות,σχοινί
452,Decke::N,שמיכה,κουβέρτα
453,Kissen::N,כרית,μαξιλάρι
454,Tuch::N,צעיף,πανί
455,Tuch::N,צעיף,μαντήλι
456,Handtuch::N,מגבת,πετσέτα
457,Kraft::N,כוח,δύναμη
458,Stärke::N,און,ισχύς
459,Stärke::N,און,δύναμη
460,Gesundheit::N,בריאות,υγεία
461,Krankheit::N,מחלה,αρρώστια
462,Schmerz::N,כאב,πόνος
463,Wunde::N,פציעה,πληγή
464,Fieber::N,חם,πυρετός
465,Arznei::N,תרופה,φάρμακο
466,Brücke::N,גשר,γέφυρα
467,Brunnen::N,באר,πηγάδι
468,Weide::N,אחו,βοσκή
469,Weide::N,מרעה,βοσκή
470,Pfad::N,שביל,μονοπάτι
471,Pfad::N,מדרכה,μονοπάτι
472,Weg::N,דרך,δρόμος
473,Straße::N,כביש,οδός
474,Straße::N,כביש,δρόμος
475,Dorf::N,כפר,χωριό
476,Stadt::N,עיר,πόλη
477,Brief::N,מכתב,γράμμα
478,Brief::N,מכתב,επιστολή
479,Buch::N,ספר,βιβλίο
480,Buchstabe::N,אות,γράμμα
481,Zeitung::N,עתון,εφημερίδα
482,Leben::N,חיים,ζωή
483,Leben::N,חיים,βίος
484,Tod::N,מות,θάνατος
485,Grab::N,קבר,τάφος
486,Kirche::N,כנסיה,εκκλησία
487,Sünde::N,חטא,αμαρτία
488,Gott::N,אל,θεός
489,Arbeiter::N,פועל,εργάτης
490,Chef::N,ראש,προϊστάμενος
491,Chef::N,מנהל,προϊστάμενος
492,Meister::N,ממחה,μάστορας
493,Meister::N,ממחה,αρχιτεχνίτης
494,Arzt::N,רופא,γιατρός
495,Lehrer::N,מורה,δάσκαλος
496,Geld::N,כסף,λεφτά
497,Geld::N,כסף,χρήματα
498,Geschäft::N,עסקה,συναλλαγή
499,Laden::N,חנות,μαγαζί
500,Laden::N,חנות,κατάστημα
501,Preis::N,מחיר,τιμή
502,Ware::N,סחורה,εμπόρευμα
503,Nutzen::N,תועלת,όφελος
504,Reichtum::N,עשר,πλούτος
505,Welt::N,עולם,κόσμος
506,Land::N,ארץ,χώρα
507,Staat::N,מדינה,κράτος
508,Staat::N,מדינה,πολιτεία
509,König::N,מלך,βασιλιάς
510,Macht::N,כוח,εξουσία
511,Grenze::N,גבול,σύνορα
512,Krieg::N,מלחמה,πόλεμος
513,Feind::N,אויב,εχθρός
514,Gewalt::N,אלימות,βία
515,Kampf::N,קרב,αγώνας
516,Kampf::N,לחימה,αγώνας
517,Bogen[Waffe]::N,קשת,τόξο
518,Pfeil::N,חץ,σαΐτα
519,Gewehr::N,רובה,τουφέκι
520,Fehler::N,טעות,λάθος
521,Fehler::N,טעות,σφάλμα
522,Lüge::N,שקר,ψέμα
523,Lüge::N,שקר,ψεύδος
524,Schaden::N,נזק,ζημία
525,Unglück::N,מזל רע,δυστυχία
526,Schuld::N,אשמה,ενοχή
527,Schuld::N,אשמה,φταίξιμο
528,Alter::N,גיל,ηλικία
529,Schluss::N,סיום,τέλος
530,Zeit::N,זמן,χρόνος
531,Tag::N,יום,μέρα
532,Tag::N,יום,ημέρα
533,Morgen::N,בקר,πρωί
534,Mittag::N,צהרים,μεσημέρι
535,Abend::N,ערב,βράδυ
536,Nacht::N,לילה,νύχτα
537,Woche::N,שבוע,εβδομάδα
538,Monat::N,חדש,μήνας
539,Jahr::N,שנה,έτος
540,Jahr::N,שנה,χρόνος
541,Frühling::N,אביב,άνοιξη
542,Sommer::N,קיץ,καλοκαίρι
543,Herbst::N,סתו,φθινόπωρο
544,Winter::N,חרף,χειμώνας
545,Januar::N,ינואר,Ιανουάριος
546,Februar::N,פברואר,Φεβρουάριος
547,März::N,מרץ,Μάρτιος
548,April::N,אפריל,Απρίλιος
549,Mai::N,מאי,Μάιος
550,Juni::N,יוני,Ιούνιος
551,Juli::N,יולי,Ιούλιος
552,August::N,אוגוסט,Αύγουστος
553,September::N,ספטמבר,Σεπτέμβριος
554,Oktober::N,אוקטובר,Οκτώβριος
555,November::N,נובמבר,Νοέμβριος
556,Dezember::N,דצמבר,Δεκέμβριος
557,Montag::N,יום שני,Δευτέρα
558,Dienstag::N,יום שלישי,Τρίτη
559,Mittwoch::N,יום רביעי,Τετάρτη
560,Donnerstag::N,יום חמישי,Πέμπτη
561,Freitag::N,יום ששי,Παρασκευή
562,Samstag::N,יום שבת,Σάββατο
563,Sonntag::N,יום ראשון,Κυριακή
564,groß::A,גדול,μεγάλος
565,klein::A,קטן,μικρός
566,lang::A,ארך,μακρύς
567,kurz::A,קצר,κοντός
568,breit::A,רחב,φαρδύς
569,schmal::A,צר,στενός
570,dicht::A,צפוף,πυκνός
571,dick[Gegenstand]::A,עבה,παχύς
572,dick[Gegenstand]::A,עבה,χοντρός
