,Concept_ID,tt,ab
122,Blume::N,чәчкә,ашəҭ
123,Gras::N,үлән,аҳасакьын
124,Wurzel::N,тамыр,адац
125,Baum::N,агач,аҵла
126,Stamm::N,кәүсә,ашьапы
127,Rinde::N,кабык,ацəа
128,Ast::N,ботак,амахə
129,Ast::N,ботак,амахəҭа
130,Zweig::N,ботак,амахə
131,Zweig::N,ботак,амахəҭа
132,Zweig::N,тармак,амахə
133,Zweig::N,тармак,амахəҭа
134,Blatt::N,яфрак,абҕьы
135,Birke::N,каен,аҵааҵла
136,Kiefer[Baum]::N,нарат,амза
137,Weide[Baum]::N,тал,аҧслыш
138,Tanne::N,чыршы,аҧсаӡ
139,Horn::N,мөгез,атəыҩа
140,Feder::N,йон,ахӡы
141,Fell::N,тире,ацəа
142,Flügel::N,канат,амҵəыжəа
143,Klaue::N,тырнак,ашьапхыц
144,Kralle::N,тырнак,
145,Schwanz::N,койрык,аҵыхəа
146,Ei::N,күкәй,акəтаӷь
147,Ei::N,йомырка,акəтаӷь
148,Nest::N,оя,аҭра
149,Nest::N,оя,аҵысҭра
150,Bau::N,өн,аҭыҩра
151,Tier::N,хайван,аҧстəы
152,Tier::N,хайван,агыгшəыг
153,Herde::N,көтү,агəарҭа
154,Kuh::N,сыер,ажə
155,Bulle::N,үгез,ацə
156,Pferd::N,ат,аҽы
157,Schaf::N,сарык,ауаса
158,Schwein::N,дуңгыз,аҳəа
159,Hund::N,эт,ала
160,Katze::N,песи,ацгəы
161,Bär::N,аю,амшə
162,Eichhörnchen::N,тиен,аеш
163,Elch::N,поши,аҽаҩа
164,Fuchs::N,төлке,абгахəыҷы
165,Hase::N,куян,ажьа
166,Maus::N,тычкан,аҳəынаҧ
167,Wolf::N,бүре,абгаду
168,Vogel::N,кош,аҧсаатə
169,Schwarm::N,көтү,
170,Huhn::N,тавык,акəты
171,Hahn::N,әтәч,арбаҕь
172,Gans::N,каз,аҟыз
173,Adler::N,каракош,ауарба
174,Ente::N,үрдәк,акəата
175,Eule::N,ябалак,аты
176,Kranich::N,торна,апҟа
177,Krähe::N,карга,аҟəараан
178,Kuckuck::N,күке,акəыкəу
179,Kuckuck::N,кәккүк,акəыкəу
180,Schwan::N,аккош,агьад
181,Fisch::N,балык,аҧсыӡ
182,Barsch::N,алабуга,ацəыбла
183,Hecht::N,чуртан,ахиаала
184,Schlange[Tier]::N,елан,амаҭ
185,Wurm::N,корт,ахəа
186,Wurm::N,корт,ахəац
187,Spinne::N,үрмәкүч,абызкаҭаҳа
188,Ameise::N,кырмыска,ашышкамс
189,Laus::N,бет,аҵа
190,Mücke::N,черки,акəыбры
191,Mücke::N,озынборын,акəыбры
192,Fliege::N,чебен,амҵ
193,Schmetterling::N,күбәләк,аҧарҧалыкь
194,Beere::N,җиләк,аргуц
195,Apfel::N,алма,аҵəа
196,Pilz::N,гөмбә,акəкəбаа
197,Zwiebel::N,суган,аџьымшьы
198,Zwiebel::N,суган,аџьымшьхы
199,Zwiebel::N,суганбаш,аџьымшьы
200,Zwiebel::N,суганбаш,аџьымшьхы
201,Saat::N,орлык,ажəла
202,Korn::N,иген,арыц
203,Korn::N,орлык,арыц
204,Heu::N,печән,аҭəа
205,Schale::N,кабык,ацəа
206,Grube::N,баз,ажра
207,Grube::N,баз,атыша
208,Grube::N,чокыр,ажра
209,Grube::N,чокыр,атыша
210,Falle::N,тозак,арыҧҟьа
211,Falle::N,капкын,арыҧҟьа
212,Schlinge::N,элмәк,аҟəараҟəантə
213,Spur::N,эз,ашьҭа
214,Asche::N,көл,ахəа
215,Dreck::N,пычрак,аҳəынҵəа
216,Dreck::N,пычрак,аҟьамсар
217,Eisen::N,тимер,аиха
218,Gold::N,алтын,ахьы
219,Silber::N,көмеш,аразны
220,Kohle::N,күмер,арацəа
221,Glas::N,пыяла,асаркьа
222,Lehm::N,балчык,анышəаҧшь
223,Sand::N,ком,аҧслымӡ
224,Mensch::N,адәм,ауаҩы
225,Mensch::N,инсан,ауаҩы
226,Mann::N,ир,ахаҵа
227,Frau::N,хатын,аҧҳəыс
228,Kind::N,бала,ахəыҷы
229,Junge::N,малай,аҷкəын
230,Junge::N,малай,ахаҵарҧыс
231,Mädchen::N,кыз,аӡӷаб
232,Familie::N,гаилә,аҭаацəа
233,Großvater::N,бабай,абду
234,Großmutter::N,әби,анду
235,Eltern::N,ата-ана,ани аби
236,Vater::N,ата,аб
237,Mutter::N,ана,ан
238,Sohn::N,ул,аҧа
239,Tochter::N,кыз,аҧҳа
240,Bruder::N,кардәш,аиашьа
241,Schwester::N,апа,Аҳəшьа
242,Schwester::N,сеңел,Аҳəшьа
243,Onkel::N,дәдә,абиашьа
244,Onkel::N,дәдә,аншьа
245,Onkel::N,дәдәй,абиашьа
246,Onkel::N,дәдәй,аншьа
247,Tante::N,түти,абиаҳəшьа
248,Tante::N,тәтәй,абиаҳəшьа
249,Ehemann::N,ир,ахаҵа
250,Ehemann::N,ир,аҧшəма
251,Ehefrau::N,хатын,аҧҳəыс
252,Freude::N,сөенеч,агəырӷьара
253,Gelächter::N,көлү,ачча
254,Gelächter::N,көлү,аччара
255,Gelächter::N,көлеш,ачча
256,Gelächter::N,көлеш,аччара
257,Glück::N,бәхет,аразҟы
258,Kummer::N,хәсрәт,агəырҩа
259,Wunsch::N,теләк,агəхəтəы
260,Wunsch::N,теләк,аҭахра
261,Lust::N,теләк,агəазыҳəара
262,Lust::N,теләү,агəазыҳəара
263,Geist::N,рух,аҧсы
264,Gedanke::N,уй,ахəыцырҭа
265,Gedanke::N,фикер,ахəыцырҭа
266,Gedächtnis::N,хәтер,агəынкылара
267,Verstand::N,акыл,ахшыҩ
268,Sinn::N,мәгънә,аҵакы
269,Grund::N,сәбәп,амзыз
270,Wahrheit::N,хак,аиаша
271,Gespräch::N,әңгәмә,аиҿцәажәара
272,Märchen::N,әкият,алакə
273,Erzählung::N,хикәя,ажәабжь
274,Nachricht::N,хәбәр,адырраҭара
275,Neuigkeit::N,яңалык,ажәабжь ҿыц
276,Name::N,исем,ахьӡ
277,Rätsel::N,табышмак,ацуфара
278,Rede::N,нотык,ажәа
279,Sprache::N,тел,абызшəа
280,Stimme::N,тавыш,абжьы
281,Wort::N,сүз,ажәа
282,Zeichen::N,ишарә,адырга
283,Ruf::N,дәшү,аҿҭы
284,Lärm::N,шау,ашьҭыбжь
285,Laut::N,аваз,ашьҭыбжь
286,Ton::N,шалтырату,атон
287,Lied::N,җыр,ашəа
288,Ruhe::N,тынлык,аҭынчра
289,Leute::N,халык,ауаа
290,Volk::N,халык,ажəлар
291,Arbeit::N,эш,аусура
292,Arbeit::N,хезмәт,аусура
293,Gast::N,кунак,асас
294,Geschenk::N,бүләк,аҳамҭа
295,Geschenk::N,бүләк,аҿанҵа
296,Spiel::N,уен,ахəмарра
297,Gesellschaft::N,җәмгыять,агəыҧ
298,Hilfe::N,ярдәм,ацхыраара
299,Hilfe::N,булышлык,ацхыраара
300,Freund::N,дус,аҩыза
301,Kamerad::N,иптәш,Аҧхнагьла
302,Angelegenheit::N,эш,аус
303,Anzahl::N,микъдар,ахыҧхьаӡара
304,Art::N,төр,ахкы
305,Stück::N,кисәк,аҽыҭ
306,Teil::N,өлеш,ахəҭа
307,Hälfte::N,ярым,абжа
308,Kreis::N,түгәрәк,агьагьа
309,Kreuz::N,хач,аџьар
310,Kreuz::N,тәре,аџьар
311,Linie::N,сызык,аицтәар
312,Strich::N,сызык,ацəаҳəа
313,Abstand::N,ара,абжьара
314,Entfernung::N,ераклык,абжьара
315,Gegend::N,урын,аҭыҧ
316,Platz::N,бушлык,аҭыҧ
317,Ort::N,урын,аҭыҧ
318,Seite::N,як,аган
319,Mitte::N,урта,агəҭа
320,Gegenstand::N,нәрсә,амаҭəар
321,Sache::N,нәрсә,
322,Rand::N,чит,аҵкар
323,Kante::N,кырый,авардым
324,Ecke::N,почмак,акəакь
325,Spitze::N,оч,аҧынҵа
326,Ende::N,азак,анаӡара
327,Loch::N,тишек,акылҵəара
328,Winkel::N,почмак,агҿаҩра
329,Winkel::N,почмак,акəындхə
330,Winkel::N,почмак,акəакь
331,Muster::N,парча,аҟҟа
332,Größe::N,зурлык,изаҟароу
333,Länge::N,озынлык,аура
334,Höhe::N,биеклек,агылара
335,Gewicht::N,авырлык,акапан
336,Menge::N,микъдар,
337,Haufen::N,өем,ачаҟəа
338,Reihe::N,рәт,ацəаҳəа
339,Boot::N,каек,анышь
340,Boot::N,көймә,анышь
341,Ruder::N,ишкәк,ажəҩа
342,Schlitten::N,чана,ашəаҩауардын
343,Ski::N,чаңгы,ашəаҩа
344,Ski::N,чаңгы,ашьахаха
345,Lagerfeuer::N,костёр,еиқуу амца
346,Last::N,йөк,ахьанҭара
347,Gang::N,йөреш,аныҟəара
348,Schritt::N,адым,ашьаҿа
349,Norden::N,төньяк,аҩада
350,Süden::N,көньяк,алада
351,Westen::N,көнбатыш,амраҭашəара
352,Osten::N,шәрык,амрагылара
353,Osten::N,көнчыгыш,амрагылара
354,Holz::N,агач,амҿымаҭəахə
355,Brett::N,такта,аӷəы
356,Platte::N,плитә,ахаҳәцәы
357,Stütze::N,таяу,аҵаргəа
358,Stütze::N,таяу,агəышьаҟа
359,Stange::N,колга,акьат
360,Stock::N,таяк,алаба
361,Stab::N,таяк,акьат
362,Rohr::N,торба,абыкь
363,Haus::N,өй,аҩны
364,Haus::N,йорт,аҩны
365,Heim::N,гаилә,аҭаацəа
366,Heim::N,нәсел,аҭаацəа
367,Ofen::N,мич,аҳақə
368,Ofen::N,мич,ауаџьаҟ
369,Ofen::N,мич,афрына
370,Fußboden::N,идән,адашьма
371,Tisch::N,өстәл,аишәа
372,Stuhl::N,утыргыч,аҟəардə
373,Wiege::N,бишек,агара
374,Bett::N,ятак,акаруаҭ
375,Bett::N,урын-җир,акаруаҭ
376,Regal::N,киштә,акыӷəра
377,Regal::N,шүрлек,акыӷəра
378,Kiste::N,әрҗә,аидчаҧала
379,Fenster::N,тәрәзә,аҧенџьыр
380,Tür::N,ишек,ашə
381,Tor::N,капка,агəашə
382,Zaun::N,койма,аанда
383,Dach::N,түбә,ахыб
384,Leiter::N,баскыч,амардуан
385,Besen::N,себерке,аҧссага
386,Spaten::N,көрәк,ажыга
387,Schaufel::N,көрәк,аҭəарӷəы
388,Gabel::N,чәннечке,ачқьыҧ
389,Löffel::N,кашык,амҳаҵə
390,Messer::N,пычак,аҳəызба
391,Nagel::N,кадак,аҵəымӷ
392,Netz::N,челтәр,акаҭа
393,Haken::N,ыргак,аҵəаҳə
394,Griff::N,тотка,амаа
395,Schloss::N,йозак,асаҧаҭ
396,Bild::N,рәсем,асахьа
397,Bild::N,картина,асахьа
398,Figur::N,сын,афигура
399,Figur::N,фигура,афигура
400,Puppe::N,курчак,акьанџьа
401,Beutel::N,луза,асакь
402,Bündel::N,бәйләм,аҿаҳəара
403,Tasche::N,букча,арҭмаҟ
404,Eimer::N,чиләк,аведра
405,Deckel::N,капкач,ахҩа
406,Geschirr::N,савыт-саба,ачысмаҭəа
407,Geschirr::N,кашык-аяк,ачысмаҭəа
408,Sack::N,капчык,асакь
409,Tasse::N,чынаяк,аҵəца
410,Topf::N,чүлмәк,акаструлиа
411,Kessel::N,казан,ачуан
412,Essen::N,ашау,
413,Nahrung::N,азык,афатə
414,Nahrung::N,тәгам,афатə
415,Nahrung::N,ашамлык,афатə
416,Speise::N,ризык,афатə
417,Fleisch::N,ит,акəац
418,Getreide::N,ашлык,ачакуа
419,Brei::N,ботка,ақашь
420,Brot::N,ипи,ача
421,Brot::N,икмәк,ача
422,Scheibe::N,телем,аҽыҭ
423,Scheibe::N,телем,аҿаҵа
424,Fett::N,май,ашша
425,Butter::N,май,ахəша
426,Öl::N,май,азеҭ
427,Salz::N,тоз,аџьыка
428,Suppe::N,шулпа,асуҧ
429,Honig::N,бал,ацха
430,Milch::N,сөт,ахш
431,Tee::N,чәй,ачаи
432,Leder::N,күн,ацəа
433,Wolle::N,йон,аласа
434,Stoff::N,тукыма,Аба
435,Nadel::N,энә,агəыр
436,Faden::N,җеп,арахəыц
437,Knopf::N,төймә,аҳəынҵəра
438,Knoten::N,төен,аиқəҳəала
439,Farbe::N,буяу,ашəыга
440,Kleidung::N,кием,амаҭəа
441,Hemd::N,күлмәк,акьаҿ
442,Kragen::N,яка,ахəда
443,Ärmel::N,җиң,амаӷра
444,Hose::N,чалбар,аиқəа
445,Gürtel::N,билбау,амаҟа
446,Mütze::N,бүрек,ахылҧа
447,Schuh::N,башмак,аимаа
448,Stiefel::N,итек,амагə
449,Ring::N,балдак,амацəаз
450,Band::N,тасма,алента
451,Kamm::N,тарак,ахҳəа
452,Spiegel::N,көзге,асаркьа
453,Riemen::N,каеш,аа
454,Schnur::N,бау,ашаха
455,Leine::N,тезген,аҕура
456,Decke::N,юрган,ахыза
457,Kissen::N,мендәр,ахчы
458,Tuch::N,яулык,акасы
459,Handtuch::N,сөлгә,ампахьшьы
460,Kraft::N,егәр,амч
461,Kraft::N,дәрман,амч
462,Stärke::N,көч,амч
463,Stärke::N,дәрман,амч
464,Gesundheit::N,саулык,агəабзиара
465,Krankheit::N,чир,ачымазара
466,Krankheit::N,хаста,ачымазара
467,Krankheit::N,сырхау,ачымазара
468,Schmerz::N,авырту,ахьаа
469,Wunde::N,яра,ахəра
470,Wunde::N,җәрәхәт,ахəра
471,Fieber::N,бизгәк,ашоура
472,Arznei::N,дару,ахəшə
473,Brücke::N,күпер,ацҳа
474,Brunnen::N,кое,аҵыџь
475,Weide::N,утлавык,аҳəырҭа
476,Pfad::N,сукмак,амхəасҭа
477,Weg::N,юл,амҩа
478,Straße::N,урам,амҩа
479,Dorf::N,авыл,ақыҭа
480,Stadt::N,шәһәр,ақалақь
481,Brief::N,хат,ашəҟəы
482,Buch::N,китап,ашəҟəы
483,Buchstabe::N,хәреф,анбан
484,Zeitung::N,газет,агазеҭ
485,Zeitung::N,газета,агазеҭ
486,Leben::N,гомер,аҧсҭазаара
487,Leben::N,тормыш,аҧсҭазаара
488,Leben::N,тереклек,аҧсҭазаара
489,Tod::N,үлем,аҧсра
490,Grab::N,гүр,анышəынҭра
491,Grab::N,кабер,анышəынҭра
492,Kirche::N,чиркәү,ауахəама
493,Sünde::N,язык,агəнаҳа
494,Sünde::N,гөнаһ,агəнаҳа
495,Gott::N,алла,анцəа
496,Gott::N,ходай,анцəа
497,Arbeiter::N,эшче,аусуҩ
498,Chef::N,башлык,Аиҳабы
499,Meister::N,оста,аҟаза
500,Arzt::N,врач,аҳақьым
501,Arzt::N,табиб,аҳақьым
502,Lehrer::N,укытучы,арҵаҩы
503,Lehrer::N,мөгаллим,арҵаҩы
504,Geld::N,акча,аҧара
505,Geschäft::N,эш,
506,Laden::N,кибет,амагазин
507,Laden::N,магазин,амагазин
508,Preis::N,бәя,ахə
509,Preis::N,бәһа,ахə
510,Ware::N,товар,атауар
511,Nutzen::N,файда,ақьар
512,Reichtum::N,байлык,абеиара
513,Welt::N,дөнья,адунеи
514,Land::N,ил,атəыла
515,Staat::N,дәүләт,аҳəынҭқарра
516,König::N,патша,акрал
517,Macht::N,хакимият,амчра
518,Grenze::N,чик,аҳəаа
519,Krieg::N,сугыш,аибашьра
520,Feind::N,дошман,Аҕа
521,Gewalt::N,көчләү,ақəымчра
522,Kampf::N,көрәш,ақəҧара
523,Bogen[Waffe]::N,җәя,ахыц
524,Pfeil::N,ук,ахəымпал
525,Gewehr::N,мылтык,ашəақь
526,Fehler::N,хата,агха
527,Lüge::N,ялган,амц
528,Schaden::N,зыян,аҧырхага
529,Schaden::N,зарар,аҧырхага
530,Unglück::N,бәла,арыцҳара
531,Schuld::N,гаеп,ахара
532,Alter::N,яшь,ақəра
533,Schluss::N,ахыр,анҵəамҭа
534,Zeit::N,заман,аамта
535,Tag::N,көн,амш
536,Morgen::N,иртә,ашара
537,Morgen::N,иртә,ашьыбжь
538,Mittag::N,өйлә,шьыбжьон
539,Abend::N,кич,ахəылҧаз
540,Abend::N,кич,ахəлбыҽха
541,Nacht::N,төн,аҵх
542,Woche::N,атна,амчыбжь
543,Monat::N,ай,
544,Jahr::N,ел,
545,Frühling::N,яз,ааҕын
546,Sommer::N,җәй,аҧхын
547,Herbst::N,көз,ҭагалан
548,Herbst::N,көз,хкаарачан
549,Winter::N,кыш,аӡын
550,Januar::N,гыйнвар,ианвар
551,Februar::N,февраль,февраль
552,März::N,март,март
553,April::N,апрель,апрель
554,Mai::N,май,маи
555,Juni::N,июнь,иуун
556,Juli::N,июль,иууль
557,August::N,август,август
558,September::N,сентябрь,сентиабр
559,Oktober::N,октябрь,октиабр
560,November::N,ноябрь,ноиабр
561,Dezember::N,декабрь,декабр
562,Montag::N,дүшәмбе,ашəахьа
563,Dienstag::N,сишәмбе,аҩаша
564,Mittwoch::N,чәршәмбе,ахаша
565,Donnerstag::N,атнакич,аҧшьаша
566,Donnerstag::N,пәнҗешәмбе,аҧшьаша
567,Freitag::N,җомга,ахəаша
568,Samstag::N,шимбә,асабша
569,Sonntag::N,якшәмбе,амҽыша
570,groß::A,зур,аду
571,klein::A,кечкенә,амаҷ
572,lang::A,озын,ахəхəа
573,kurz::A,кыска,акьаҿ
574,breit::A,киң,аиужь
575,breit::A,киң,аиҵых
576,schmal::A,кысык,аҭшəа
577,dicht::A,куе,аилач
578,dick[Gegenstand]::A,калын,ажəпа
579,dünn::A,нечкә,
580,fein::A,нәзакәтле,апа
581,fein::A,нәзакәтле,аҵаӷа
582,fein::A,нәзакәтле,аӡа
583,fest::A,нык,аҟаца
584,fest::A,нык,аӷəӷəаҟаца
585,flach::A,яссы,ақəаҟьа
586,flach::A,яссы,аҧаҟьа
587,flach::A,ялпак,ақəаҟьа
588,flach::A,ялпак,аҧаҟьа
589,glatt::A,шома,аимаҩзы
590,hart::A,каты,акьакьа
591,weich::A,йомшак,атата
592,rund::A,түгәрәк,акəмпыл
593,spitz::A,очлы,аҵар
594,scharf::A,үткен,аҵар
595,stumpf::A,үтмәс,ацагə
596,schwer::A,салмак,ахьанҭа
597,schön::A,гүзәл,аҧшӡа
598,heiß::A,эссе,ашы
599,warm::A,җылы,аҧха
600,kalt::A,суык,ахьшəашəа
601,kalt::A,салкын,ахьшəашəа
602,kühl::A,салкынча,ахьшəашəа
603,kühl::A,салкынча,ицәыхьшәашәоу
604,frisch::A,салкынча,цқьа
605,feucht::A,юеш,ацəаак
606,nass::A,дымлы,абааӡа
607,trocken::A,коры,Аба
608,trocken::A,коры,аҩа
609,voll::A,тулы,азна
610,leer::A,буш,аҭацəы
611,offen::A,ачык,аарта
612,geschlossen::A,йомык,ихҩоу
613,geschlossen::A,йомык,иаркыу
614,sauber::A,пакь,ацқьа
615,sauber::A,чиста,ацқьа
616,schmutzig::A,керле,аҟьашь
617,schmutzig::A,пычрак,аҟьашь
618,roh::A,чи,
619,reif::A,өлгергән,Арҭ
620,reif::A,өлгергән,аҟала
621,reif::A,өлгергән,иҟалахьоу
622,lecker::A,тәмле,ахаа
623,süß::A,татлы,азла
624,bitter::A,ачы,аша
625,sauer::A,әче,аҵəҵəы
626,hell::A,якты,алаша
627,dunkel::A,кара,алашьца
628,schwarz::A,кара,аиқуаҵәа
629,weiß::A,ак,ашкəакəа
630,rot::A,кызыл,аҟаҧшь
631,gelb::A,сары,аҩеижь
632,blau::A,күк,аҽҵәа
633,grün::A,яшел,ашьацҧшҭəала
634,grün::A,яшел,аеҵəа
635,grau::A,соры,ацəыш
636,bunt::A,чуар,Аилыҕраа
637,bunt::A,чуар,аҕраҷкəын
638,billig::A,арзан,амариа
639,teuer::A,хаклы,амҩан
640,wertvoll::A,кыйммәтле,кыр иаҕсоу
641,wertvoll::A,кыйммәтле,акыр иаҕсоу
642,blind::A,сукыр,алашə
643,blind::A,күзсез,алашə
644,taub::A,чукрак,адагəа
645,taub::A,саңгырау,адагəа
646,kräftig::A,егәрле,аӷəӷəа
647,stark::A,нык,абаҟа
648,stark::A,базык,абаҟа
649,schwach::A,зәгыйфь,акəада
650,fett::A,симез,аҧсыла
651,schlank::A,нәзек,акала
652,schlank::A,нәзек,акьалантар
653,schlank::A,нәзек,аиҿартə
654,hübsch::A,чибәр,аҧшӡа
655,böse::A,усал,абааҧсы
656,dumm::A,акылсыз,агаӡа
657,faul::A,ялкау,аашьа
658,faul::A,иренчәк,аашьа
659,fleißig::A,тырыш,иҟубҷоу
660,fleißig::A,тырышучан,иҟубҷоу
661,geizig::A,саран,акы
662,geizig::A,саран,акаҷбеи
663,geizig::A,саран,аҟəџьыр
664,klug::A,акыллы,аҟəыш
665,klug::A,акыллы,аҟəыӷа
666,geschickt::A,маһир,напҟазала
667,lieb::A,сөекле,алашара
668,lustig::A,күңелле,алах-ҿых
669,lustig::A,күңелле,игурҕьаччо
670,lustig::A,күңелле,агурҕьа
671,lustig::A,күңелле,агурҿыхага
672,sanft::A,басынкы,атата
673,sanft::A,басынкы,аҟəымшəышə
674,sanft::A,басынкы,ақьыҧш
675,hungrig::A,ач,амлашь
676,krank::A,чирле,ачымазаҩ
677,krank::A,сырхау,ачымазаҩ
678,nackt::A,шәрә,аҟьантаз
679,traurig::A,ямансу,алахьеиқəҵага
680,lebendig::A,тере,абза
681,gut::A,яхшы,абзиа
682,schlecht::A,начар,-хəарҭам
683,richtig::A,дөрес,иашоу
684,schlimm::A,әшәкә,абааҧсы
685,wahr::A,чып-чын,агəҭылса
686,wahr::A,чып-чын,абзиаҵəҟьа
687,alt::A,иске,Ажə
688,neu::A,яңа,аҿыц
689,ehemalig::A,элекке,анкьатәи
690,alt[Lebewesen]::A,карт,абырг
691,alt[Lebewesen]::A,карт,ақабада
692,alt[Lebewesen]::A,карт,Ажə
693,jung::A,яшь,аҟата
694,arm::A,фәкыйрь,ананамга
695,reich::A,бай,абеиа
696,bekannt::A,таныш,адыр
697,berühmt::A,атаклы,адыр
698,fremd::A,ят,атəым
699,verschieden::A,төрле,Еиуа-еиҧшым
700,nah::A,якын,ааигəа
701,fern::A,ерак,ахара
702,linker::A,сул,арма
703,rechter::A,уң,арҕьа
704,anderer::A,бүтән,даҽа
705,anderer::A,бүтән,даҽакы
706,erster::A,беренче,актәи
707,zweiter::A,икенче,аҩбатəи
708,dritter::A,өченче,ахҕатәи
709,letzter::A,ахыргы,аҵыхəтəантəи
710,allein::ADV,ялгыз,мацара
711,auf einmal::ADV,бердән,зныкала
712,auf einmal::ADV,бердән,зныкҟьара
713,zusammen::ADV,бергә,аиц...
714,lange::ADV,озак,акыраамҭа
715,plötzlich::ADV,искәрмәстән,иаалырҟьаны
716,sofort::ADV,хәзер,иаразнакҵәҟьа
717,später::ADV,соңрак,уажəшьҭаншəа
718,jetzt::ADV,хәзер,уажәы
719,heute::ADV,бүген,иахьа
720,morgen::ADV,иртәгә,уаҵәы
721,bald::ADV,тиздән,иласны
722,dann::ADV,аннары,нас
723,gestern::ADV,кичә,иацы
724,einst::ADV,берчак,зны
725,damals::ADV,ул вакытта,усҟан
726,damals::ADV,ул чакта,усҟан
727,danach::ADV,да,нас
