,Concept_ID,it,lbe
136,Wurzel::N,radice,мархха
137,Baum::N,àlbero,мурхь
138,Stamm::N,tronco,ттарцӏ
139,Rinde::N,corteccia,ккамара
140,Ast::N,ramo,матӏи
141,Zweig::N,ramo,къяртта
142,Blatt::N,foglia,чӏапӏи
143,Birke::N,betulla,кӏялахӏи
144,Birke::N,betulla,кӏялахӏилул мурхь
145,Kiefer[Baum]::N,pino,ттар
146,Kiefer[Baum]::N,pino,ттарлил мурхь
147,Weide[Baum]::N,sàlice,щавщи
148,Tanne::N,abete,ттарлил мурхь
149,Horn::N,corno,хъи
150,Feder::N,penna,лелуххул тӏиму
151,Fell::N,manto,бурчу
152,Fell::N,pelame,бурчу
153,Flügel::N,ala,хъа
154,Flügel::N,ala,ххурупӏайрал тӏиму
155,Klaue::N,grinfia,михь
156,Kralle::N,unghia,ххяппа
157,Kralle::N,artiglio,ххяппа
158,Schwanz::N,coda,магъ
159,Ei::N,uovo,ккунук
160,Nest::N,nido,кюру
161,Bau::N,covo,цукъуккутӏ
162,Tier::N,bestia,хӏайван
163,Tier::N,animale,хӏайван
164,Herde::N,gregge,газу
165,Kuh::N,vacca,оьл
166,Bulle::N,toro,ниц
167,Pferd::N,cavallo,чу
168,Schaf::N,pècora,тта
169,Schwein::N,porco,дунгъуз
170,Schwein::N,maiale,дунгъуз
171,Hund::N,cane,ккаччи
172,Katze::N,gatta,ччиту
173,Bär::N,orso,цуша
174,Eichhörnchen::N,scoiàttolo,бюрхттукку
175,Elch::N,alce,ниц-бюрин
176,Fuchs::N,volpe,цулчӏа
177,Fuchs::N,volpe,куча цулчӏа
178,Hase::N,lepre,бюрх
179,Maus::N,topo,кӏулу
180,Maus::N,sorcio,кӏулу
181,Wolf::N,lupo,барцӏ
182,Vogel::N,uccello,лелуххи
183,Schwarm::N,stormo,гьухъала
184,Huhn::N,gallina,аьнакӏи
185,Hahn::N,gallo,ажари
186,Gans::N,oca,къаз
187,Adler::N,àquila,барзу
188,Ente::N,ànatra,урдак
189,Eule::N,gufo,ису
190,Eule::N,gufo,ччиккумяв
191,Eule::N,civetta,ису
192,Eule::N,civetta,ччиккумяв
193,Kranich::N,gru,кьурукь
194,Krähe::N,cornacchia,хъатӏу
195,Kuckuck::N,cuccù,ччикку
196,Kuckuck::N,cùculo,ччикку
197,Schwan::N,cigno,урттил къаз
198,Fisch::N,pesce,чавахъ
199,Barsch::N,pèrsico,
200,Hecht::N,luccio,
201,Schlange[Tier]::N,serpente,шатта
202,Wurm::N,baco,кьюнукьай шатта
203,Wurm::N,verme,кьюнукьай шатта
204,Spinne::N,ragno,ххялцу
205,Ameise::N,formica,митӏикьукьу
206,Laus::N,pidocchio,
207,Mücke::N,zanzara,мичӏак
208,Fliege::N,mosca,зимиз
209,Schmetterling::N,farfalla,чӏимучӏали
210,Beere::N,bacca,хӏаллил ахъулсса
211,Apfel::N,mela,гьивч
212,Pilz::N,fungo,ттуккул иис
213,Zwiebel::N,cipolla,лаччул чсмусул бакӏ
214,Saat::N,semente,гьанна
215,Korn::N,grano,къама
216,Heu::N,fieno,ххулув
217,Schale::N,buccia,ккиртту
218,Grube::N,cava,кӏаланг
219,Grube::N,fossa,кӏаланг
220,Falle::N,tràppola,къатӏа
221,Schlinge::N,laccio,хӏатӏ
222,Spur::N,traccia,ша
223,Asche::N,cenere,лах
224,Dreck::N,fango,кьяркьи
225,Dreck::N,fango,венп
226,Eisen::N,ferro,мах
227,Gold::N,oro,муси
228,Silber::N,argento,арцу
229,Kohle::N,carbone,кӏалаш
230,Kohle::N,carbone,хъуручӏ
231,Glas::N,vetro,пюрун
232,Lehm::N,argilla,сина аьрщи
233,Sand::N,arena,къун
234,Sand::N,sabbia,къун
235,Mensch::N,uomo,инсан
236,Mensch::N,èssere umano,инсан
237,Mann::N,uomo,чув
238,Mann::N,uomo,адимина
239,Frau::N,donna,щарсса
240,Frau::N,donna,хъамитайпа
241,Kind::N,bambino,чӏиви оьрчӏ
242,Junge::N,ragazzo,оьрчӏ
243,Junge::N,ragazzo,бурхьин оьрчӏ
244,Mädchen::N,ragazza,душ
245,Familie::N,famiglia,кулпат
246,Großvater::N,nonno,ттатта
247,Großvater::N,nonno,ниттил ппу
248,Großmutter::N,nonna,буттал нину
249,Eltern::N,genitori,нину-ппу
250,Vater::N,padre,ппу
251,Mutter::N,madre,нину
252,Sohn::N,figlio,арс
253,Tochter::N,figlia,душ
254,Bruder::N,fratello,уссу
255,Schwester::N,sorella,ссу
256,Onkel::N,zio,буттауссу
257,Tante::N,zia,буттал ссу
258,Ehemann::N,marito,лас
259,Ehefrau::N,moglie,щар
260,Ehefrau::N,moglie,щарсса
261,Freude::N,gioia,шадшиву
262,Freude::N,gioia,ххаришиву
263,Freude::N,piacere,шадшиву
264,Freude::N,piacere,ххаришиву
265,Gelächter::N,risata,хъяхъаву
266,Glück::N,felicità,талихӏ
267,Kummer::N,afflizione,дард
268,Wunsch::N,desiderio,мурад
269,Lust::N,voglia,гьавас
270,Lust::N,voglia,ччаву
271,Geist::N,mente,рухӏ
272,Geist::N,spìrito,рухӏ
273,Gedanke::N,idea,пикри
274,Gedanke::N,pensiero,пикри
275,Gedächtnis::N,memoria,дакӏний личӏаву
276,Verstand::N,intelletto,аькьлу
277,Sinn::N,senso,мяъна
278,Sinn::N,significato,мяъна
279,Grund::N,causa,багьана
280,Grund::N,motivo,багьана
281,Grund::N,ragione,багьана
282,Wahrheit::N,verità,тӏайламур
283,Wahrheit::N,verità,хӏакьмур
284,Gespräch::N,discorso,ихтилат
285,Gespräch::N,conversazione,ихтилат
286,Märchen::N,fiaba,магьа
287,Märchen::N,fàvola,магьа
288,Erzählung::N,racconto,хавар
289,Erzählung::N,narrazione,хавар
290,Nachricht::N,messaggio,хавар
291,Neuigkeit::N,notizia,хавар
292,Name::N,nome,цӏа
293,Rätsel::N,indovinello,ссигьа
294,Rede::N,discorso,гъалгъа
295,Sprache::N,lingua,маз
296,Sprache::N,linguaggio,маз
297,Stimme::N,voce,чӏу
298,Stimme::N,voce,чӏукӏа
299,Wort::N,parola,махъ
300,Zeichen::N,segno,лишан
301,Zeichen::N,segnale,лишан
302,Ruf::N,chiamata,
303,Lärm::N,chiasso,чӏу
304,Lärm::N,strèpito,чӏу
305,Laut::N,suono,чӏу
306,Ton::N,tono,чӏу
307,Lied::N,canto,балай
308,Lied::N,canzone,балай
309,Ruhe::N,calma,дигьалагру
310,Ruhe::N,tranquillità,дигьалагру
311,Leute::N,gente,инсантал
312,Volk::N,pòpolo,ил
313,Volk::N,pòpolo,халкь
314,Arbeit::N,lavoro,заву
315,Gast::N,òspite,хъамаличу
316,Gast::N,invitato,хъамаличу
317,Geschenk::N,regalo,бухчакарши
318,Geschenk::N,regalo,лажинккакку
319,Spiel::N,gioco,тӏуркӏу
320,Gesellschaft::N,compagnìa,жямат
321,Gesellschaft::N,compagnìa,ккуран
322,Hilfe::N,aiuto,кумаг
323,Hilfe::N,soccorso,кумаг
324,Freund::N,amico,дус
325,Kamerad::N,camerata,хӏаласу
326,Angelegenheit::N,affare,иш
327,Angelegenheit::N,faccenda,иш
328,Anzahl::N,nùmero,аьдад
329,Anzahl::N,quantità,аьдад
330,Art::N,tipo,жинс
331,Art::N,specie,жинс
332,Stück::N,pezzo,касак
333,Teil::N,parte,бутӏа
334,Hälfte::N,metà,дачӏи
335,Kreis::N,cìrcolo,кюрщан
336,Kreuz::N,croce,ххач
337,Linie::N,lìnea,щва
338,Strich::N,tratto,щва
339,Abstand::N,distanza,манзил
340,Entfernung::N,distanza,манзил
341,Entfernung::N,lontananza,манзил
342,Gegend::N,regione,кӏану
343,Platz::N,posto,
344,Platz::N,spazio,
345,Ort::N,luogo,кӏану
346,Ort::N,località,кӏану
347,Seite::N,lato,чул
348,Seite::N,lato,чулухалу
349,Seite::N,parte,чул
350,Seite::N,parte,чулухалу
351,Mitte::N,mezzo,дя
352,Mitte::N,centro,дя
353,Gegenstand::N,oggetto,зат
354,Sache::N,cosa,зат
355,Rand::N,orlo,зума
356,Rand::N,bordo,зума
357,Kante::N,spìgolo,
358,Ecke::N,canto,мурцӏу
359,Spitze::N,punta,мицӏ
360,Ende::N,capo,зума
361,Ende::N,estremità,зума
362,Loch::N,buco,ккутӏ
363,Winkel::N,àngolo,мурцӏу
364,Muster::N,disegno,накьич
365,Größe::N,taglia,
366,Größe::N,grandezza,
367,Länge::N,lunghezza,лахъишиву
368,Höhe::N,altezza,лахъшиву
369,Gewicht::N,peso,дуццин
370,Gewicht::N,peso,кӏушиву
371,Menge::N,quantità,
372,Haufen::N,cùmulo,бакӏу
373,Haufen::N,mucchio,бакӏу
374,Reihe::N,fila,кьюкьа
375,Boot::N,barca,луткка
376,Boot::N,battello,луткка
377,Ruder::N,remo,весло
378,Ruder::N,remo,чӏатӏа
379,Schlitten::N,slitta,чана
380,Schlitten::N,slitta,санкка
381,Ski::N,sci,лижарду
382,Lagerfeuer::N,falò,къавтӏн
383,Lagerfeuer::N,fuoco di bivacco,къавтӏн
384,Last::N,càrico,гьиву
385,Gang::N,andata,нанаву
386,Schritt::N,passo,ша
387,Norden::N,nord,ухссав
388,Norden::N,nord,ухссавнил чулухалу
389,Norden::N,settentrione,ухссав
390,Norden::N,settentrione,ухссавнил чулухалу
391,Süden::N,sud,кьилва
392,Süden::N,meridione,кьилва
393,Westen::N,òvest,баргълагавал
394,Westen::N,òvest,баргълагавал чул
395,Westen::N,occidente,баргълагавал
396,Westen::N,occidente,баргълагавал чул
397,Osten::N,est,баргъбуккай чулухалу
398,Osten::N,oriente,баргъбуккай чулухалу
399,Holz::N,legno,тӏама
400,Brett::N,asse,тахта
401,Brett::N,tàvola,тахта
402,Platte::N,lastra,гъуни
403,Platte::N,piastra,гъуни
404,Stütze::N,supporto,гьалакӏу
405,Stange::N,sbarra,къазихъ
406,Stange::N,pèrtica,къазихъ
407,Stock::N,verga,ттархь
408,Stock::N,bastone,ттархь
409,Stock::N,bacchetta,ттархь
410,Stab::N,asta,ччантӏакъу
411,Rohr::N,tubo,бургъу
412,Haus::N,casa,къатта
413,Heim::N,casa,къатта
414,Ofen::N,stufa,пач
415,Fußboden::N,pavimento,чӏанкъатта
416,Tisch::N,tàvolo,усттул
417,Stuhl::N,sedia,кӏану
418,Wiege::N,culla,оьрчӏал кӏану
419,Bett::N,letto,тах
420,Regal::N,scaffale,чӏаму
421,Kiste::N,cassa,яшикӏ
422,Kiste::N,cassa,къурши
423,Fenster::N,finestra,чӏавахьулу
424,Tür::N,porta,нуз
425,Tür::N,porta,нузкьун
426,Tor::N,portone,къапу
427,Tor::N,portone,дарваза
428,Zaun::N,recinto,дайгьузанну
429,Dach::N,tetto,магъи
430,Dach::N,tetto,цӏиялу
431,Leiter::N,scala,чуртту
432,Leiter::N,scala a pioli,чуртту
433,Besen::N,scopa,чӏатлу
434,Spaten::N,vanga,бил
435,Schaufel::N,pala,чӏатӏа
436,Gabel::N,forchetta,гьиссилу
437,Löffel::N,cucchiaio,къуса
438,Messer::N,coltello,чӏила
439,Nagel::N,chiodo,мяр
440,Netz::N,rete,къери
441,Haken::N,uncino,къича
442,Griff::N,mànico,куяму
443,Griff::N,maniglia,куяму
444,Schloss::N,serratura,кьункьула
445,Bild::N,quadro,сурат
446,Bild::N,immàgine,сурат
447,Figur::N,figura,
448,Puppe::N,bàmbola,ссихьу
449,Beutel::N,borsa,чантай
450,Beutel::N,sacchetto,чантай
451,Bündel::N,fascio,гьи
452,Bündel::N,fascio,къар
453,Bündel::N,fagotto,гьи
454,Bündel::N,fagotto,къар
455,Tasche::N,borsa,
456,Eimer::N,secchio,бадра
457,Deckel::N,coperchio,къапаза
458,Geschirr::N,stoviglie,пюрунчӏул
459,Geschirr::N,stoviglie,тӏахӏникӏичӏу
460,Sack::N,sacco,къап
461,Sack::N,sacco,дарваг
462,Tasse::N,tazza,пижан
463,Tasse::N,tazza,пинжан
464,Tasse::N,tazza,инкираччатӏи
465,Tasse::N,tazza,цинцилттал бушкъап
466,Topf::N,pèntola,кӏункӏур
467,Kessel::N,paiolo,чаг
468,Kessel::N,paiolo,кӏункӏур
469,Kessel::N,calderone,чаг
470,Kessel::N,calderone,кӏункӏур
471,Essen::N,pasto,дукия
472,Essen::N,pasto,дукин
473,Essen::N,mangiare,дукия
474,Essen::N,mangiare,дукин
475,Nahrung::N,cibo,дукра
476,Nahrung::N,alimento,дукра
477,Speise::N,piatto,дукра
478,Fleisch::N,carne,дикӏ
479,Getreide::N,cereali,къама
480,Brei::N,purè,ккурч
481,Brei::N,pappa,ккурч
482,Brot::N,pane,ччатӏ
483,Scheibe::N,fetta,парча
484,Scheibe::N,trancia,парча
485,Fett::N,grasso,аьгъушиву
486,Butter::N,burro,нагь
487,Butter::N,burro,лагаву
488,Öl::N,olio,
489,Salz::N,sale,цӏву
490,Suppe::N,zuppa,накь
491,Suppe::N,minestra,накь
492,Honig::N,miele,ницӏ
493,Milch::N,latte,накӏ
494,Tee::N,tè,чяй
495,Leder::N,pelle,бурчу
496,Wolle::N,lana,ппал
497,Stoff::N,panno,янна
498,Stoff::N,tessuto,янна
499,Nadel::N,ago,ххалаххи
500,Faden::N,filo,ххал
501,Knopf::N,bottone,банд
502,Knoten::N,nodo,къурхъ
503,Farbe::N,pittura,сир
504,Kleidung::N,vestiti,янна
505,Kleidung::N,vestiti,лаххия
506,Kleidung::N,vestiario,янна
507,Kleidung::N,vestiario,лаххия
508,Hemd::N,camicia,гьухъа
509,Kragen::N,bàvero,дарвач
510,Kragen::N,colletto,дарвач
511,Ärmel::N,mànica,кахха
512,Hose::N,calzoni,хӏажак
513,Gürtel::N,cintura,мухӏлу
514,Mütze::N,berretto,кьяпа
515,Schuh::N,scarpa,
516,Stiefel::N,stivale,чакма
517,Ring::N,anello,кӏисса
518,Band::N,nastro,линт
519,Band::N,fettuccia,линт
520,Kamm::N,pèttine,ттарал
521,Spiegel::N,specchio,дагьани
522,Riemen::N,cinghia,эн
523,Schnur::N,corda,хьхьа
524,Leine::N,guinzaglio,
525,Decke::N,coperta,виргъан
526,Kissen::N,cuscino,кӏаралу
527,Kissen::N,guanciale,кӏаралу
528,Tuch::N,fazzoletto,карщи
529,Handtuch::N,asciugamano,калихьу
530,Handtuch::N,asciugamano,лажинлихьу
531,Kraft::N,forza,эллаж
532,Stärke::N,forza,гуж
533,Stärke::N,vigore,гуж
534,Stärke::N,fortezza,гуж
535,Gesundheit::N,salute,цӏуллу-сагъшиву
536,Krankheit::N,malattìa,къашайшиву
537,Schmerz::N,dolore,къюву
538,Wunde::N,piaga,щаву
539,Wunde::N,ferita,щаву
540,Fieber::N,febbre,кӏиришиву
541,Arznei::N,fàrmaco,дару
542,Arznei::N,medicina,дару
543,Brücke::N,ponte,ламу
544,Brunnen::N,pozzo,къуй
545,Weide::N,pàscolo,бизантту
546,Pfad::N,sentiero,жегъир ххуллу
547,Weg::N,via,ххуллу
548,Weg::N,cammino,ххуллу
549,Straße::N,strada,ххуллу
550,Dorf::N,paese,щар
551,Dorf::N,paese,шяравалу
552,Dorf::N,villaggio,щар
553,Dorf::N,villaggio,шяравалу
554,Stadt::N,città,шагьру
555,Brief::N,lèttera,чагъар
556,Buch::N,libro,лу
557,Buchstabe::N,lèttera,хӏарп
558,Zeitung::N,giornale,кказит
559,Leben::N,vita,оьрму
560,Tod::N,morte,ажал
561,Tod::N,morte,бивкӏу
562,Tod::N,morte,ивчӏаву
563,Grab::N,tomba,гьав
564,Grab::N,sepolcro,гьав
565,Kirche::N,chiesa,килиса
566,Sünde::N,peccato,бунагъ
567,Gott::N,dio,зал
568,Arbeiter::N,operaio,зузала
569,Arbeiter::N,lavoratore,зузала
570,Chef::N,capo,ялувма
571,Chef::N,padrone,ялувма
572,Meister::N,mastro,усттар
573,Meister::N,maestro,усттар
574,Arzt::N,mèdico,хӏакин
575,Arzt::N,dottore,хӏакин
576,Lehrer::N,professore,учитель
577,Geld::N,soldi,арцу
578,Geld::N,denaro,арцу
579,Geschäft::N,affare,даву
580,Geschäft::N,negozio,даву
581,Laden::N,negozio,ттучан
582,Preis::N,prezzo,багъа
583,Ware::N,merce,хъус
584,Nutzen::N,ùtile,хайр
585,Nutzen::N,ùtile,мюнпат
586,Nutzen::N,profitto,хайр
587,Nutzen::N,profitto,мюнпат
588,Reichtum::N,ricchezza,давлат
589,Reichtum::N,ricchezza,аваданшиву
590,Welt::N,mondo,дуниял
591,Land::N,paese,билаят
592,Staat::N,Stato,паччахӏлугъ
593,König::N,re,
594,Macht::N,potere,власть
595,Grenze::N,confine,дазу
596,Grenze::N,frontiera,дазу
597,Krieg::N,guerra,дяъви
598,Feind::N,nemico,душман
599,Gewalt::N,violenza,къия
600,Kampf::N,lotta,лачӏуи уккаву
601,Bogen[Waffe]::N,arco,ккуртта
602,Pfeil::N,freccia,чӏатӏаракӏ
603,Gewehr::N,fucile,ттупанг
604,Fehler::N,errore,гъалатӏ
605,Fehler::N,sbaglio,гъалатӏ
606,Lüge::N,bugìa,щялмахъ
607,Lüge::N,menzogna,щялмахъ
608,Schaden::N,danno,зарал
609,Unglück::N,sfortuna,бала
610,Schuld::N,colpa,тахсир
611,Alter::N,età,оьрму
612,Schluss::N,fine,ахир
613,Zeit::N,tempo,чӏун
614,Tag::N,giorno,кьини
615,Tag::N,giornata,кьини
616,Morgen::N,mattina,кӏюрх
617,Mittag::N,mezzogiorno,ахттайн
618,Mittag::N,mezzogiorno,дяахттайн
619,Mittag::N,mezzogiorno,ахттайн чӏун
620,Abend::N,sera,маркӏачӏан
621,Abend::N,serata,маркӏачӏан
622,Nacht::N,notte,хьхьу
623,Woche::N,settimana,нюжмар
624,Monat::N,mese,барз
625,Jahr::N,anno,шин
626,Frühling::N,primavera,инт
627,Sommer::N,estate,гъи
628,Herbst::N,autunno,ссут
629,Winter::N,inverno,кӏи
630,Januar::N,gennaio,цалчинмур барз
631,Februar::N,febbraio,кӏилчинмур барз
632,März::N,marzo,шамилчинмур барз
633,April::N,aprile,апрель
634,April::N,aprile,мукьилчинмур барз
635,Mai::N,maggio,май
636,Mai::N,maggio,ххюлчинмур барз
637,Juni::N,giugno,июнь
638,Juni::N,giugno,ряххилчинмур барз
639,Juli::N,luglio,июль
640,Juli::N,luglio,Арулчинмур барз
641,August::N,agosto,мяйлчинмур барз
642,September::N,settembre,урчӏилчинмур барз
643,Oktober::N,ottobre,ацӏилчинмур барз
644,November::N,novembre,ацӏния цалчинмур барз
645,Dezember::N,dicembre,ацӏния кӏилчинмур барз
646,Montag::N,lunedì,итин
647,Montag::N,lunedì,итин кьини
648,Dienstag::N,martedì,тталат
649,Dienstag::N,martedì,тталат кьини
650,Mittwoch::N,mercoledì,арвахӏ
651,Donnerstag::N,giovedì,хамис
652,Freitag::N,venerdì,нюжмар
653,Freitag::N,venerdì,нюжмар кьини
654,Samstag::N,sàbato,ххуллун
655,Samstag::N,sàbato,ххуллун кьини
656,Sonntag::N,domenica,алхӏат
657,Sonntag::N,domenica,алхӏат кьини
658,groß::A,grande,бугъарасса
659,klein::A,pìccolo,чӏивисса
660,lang::A,lungo,лахъисса
661,kurz::A,corto,кутӏасса
662,breit::A,largo,уттасса
663,schmal::A,stretto,уттакӏюласса
664,dicht::A,denso,ццунсса
665,dick[Gegenstand]::A,spesso,ганзсса
666,dünn::A,sottile,кӏюласса
667,fein::A,fine,
668,fein::A,delicato,
669,fest::A,sodo,цӏакьсса
670,fest::A,sodo,кьянкьасса
671,fest::A,fisso,цӏакьсса
672,fest::A,fisso,кьянкьасса
673,flach::A,piano,баягъисса
674,flach::A,piano,цӏубакъасса
675,flach::A,piano,куртӏ дакъасса
676,flach::A,piatto,баягъисса
677,flach::A,piatto,цӏубакъасса
678,flach::A,piatto,куртӏ дакъасса
679,glatt::A,liscio,дюрчӏусса
680,hart::A,duro,кьянкьасса
681,weich::A,molle,кӏукӏлусса
682,rund::A,rotondo,ккурккисса
683,spitz::A,aguzzo,ярксса
684,spitz::A,aguzzo,дайлсса
685,spitz::A,aguzzo,мицӏ бусса
686,spitz::A,appuntito,ярксса
687,spitz::A,appuntito,дайлсса
688,spitz::A,appuntito,мицӏ бусса
689,scharf::A,affilato,ярксса
690,scharf::A,affilato,дайлсса
691,scharf::A,affilato,мицӏ бусса
692,scharf::A,tagliente,ярксса
693,scharf::A,tagliente,дайлсса
694,scharf::A,tagliente,мицӏ бусса
695,stumpf::A,smussato,къуркъасса
696,schwer::A,pesante,кӏусса
697,schön::A,bello,аьнтӏикӏасса
698,heiß::A,caldo,кӏирисса
699,heiß::A,bollente,кӏирисса
700,warm::A,caldo,гъелисса
701,kalt::A,freddo,дяркъусса
702,kühl::A,fresco,дюхлулсса
703,frisch::A,fresco,цӏусса
704,feucht::A,ùmido,атилсса
705,feucht::A,ùmido,хъавтусса
706,nass::A,bagnato,атилсса
707,nass::A,bagnato,хъавтусса
708,trocken::A,secco,кьавкьсса
709,trocken::A,secco,кьакьан бувсса
710,voll::A,pieno,бувцӏусса
711,leer::A,vuoto,бачӏвасса
712,offen::A,aperto,тӏивтӏусса
713,geschlossen::A,chiuso,лавкьусса
714,sauber::A,netto,марцӏсса
715,sauber::A,pulito,марцӏсса
716,schmutzig::A,sporco,чапалсса
717,schmutzig::A,sùdicio,чапалсса
718,roh::A,crudo,шакъавхьсса
719,reif::A,maturo,дирсса
720,lecker::A,ghiotto,нахӏусса
721,lecker::A,ghiotto,тӏааьнсса
722,lecker::A,squisito,нахӏусса
723,lecker::A,squisito,тӏааьнсса
724,süß::A,dolce,нацӏусса
725,bitter::A,amaro,кьурчӏисса
726,sauer::A,aspro,туршсса
727,sauer::A,acerbo,туршсса
728,hell::A,chiaro,чаннасса
729,dunkel::A,buio,цӏансса
730,dunkel::A,oscuro,цӏансса
731,schwarz::A,nero,лухӏисса
732,weiß::A,bianco,кӏяласса
733,rot::A,rosso,ятӏулсса
734,gelb::A,giallo,хъахъисса
735,blau::A,blu,някӏсса
736,blau::A,azzurro,някӏсса
737,grün::A,verde,щюлисса
738,grau::A,grigio,оьрусса
739,bunt::A,variopinto,оьрчӏикӏурисса
740,billig::A,a buon prezzo,кьювкьусса
741,billig::A,a buon mercato,кьювкьусса
742,teuer::A,caro,ххирасса
743,wertvoll::A,prezioso,багьасса
744,blind::A,cieco,мурчӏисса
745,taub::A,sordo,къюкӏсса
746,kräftig::A,forte,гужсса
747,kräftig::A,robusto,гужсса
748,stark::A,forte,кьянкьасса
749,stark::A,vigoroso,кьянкьасса
750,schwach::A,dèbole,заэвсса
751,fett::A,grasso,бучсса
752,schlank::A,snello,бювхъусса
753,schlank::A,slanciato,бювхъусса
754,hübsch::A,bello,янусса
755,hübsch::A,carino,янусса
756,böse::A,cattivo,оьсса
757,dumm::A,stùpido,ахӏмакьсса
