,Concept_ID,kk,kk
269,Lehm::N,балшық,балшық
270,Sand::N,құм,құм
271,Mensch::N,адам,адам
272,Mann::N,еркек,еркек
273,Mann::N,еркек,ер адам
274,Mann::N,ер адам,еркек
275,Mann::N,ер адам,ер адам
276,Frau::N,бике,бике
277,Frau::N,бике,қатын
278,Frau::N,қатын,бике
279,Frau::N,қатын,қатын
280,Kind::N,бала,бала
281,Kind::N,бала,перзент
282,Kind::N,перзент,бала
283,Kind::N,перзент,перзент
284,Junge::N,бала,бала
285,Junge::N,бала,ер бала
286,Junge::N,ер бала,бала
287,Junge::N,ер бала,ер бала
288,Mädchen::N,қыз,қыз
289,Familie::N,жанұя,жанұя
290,Großvater::N,ата,ата
291,Großmutter::N,әже,әже
292,Großmutter::N,әже,әжей
293,Großmutter::N,әжей,әже
294,Großmutter::N,әжей,әжей
295,Eltern::N,ата-аналар,ата-аналар
296,Vater::N,әке,әке
297,Mutter::N,ана,ана
298,Sohn::N,ұл,ұл
299,Tochter::N,қызым,қызым
300,Bruder::N,бауырым,бауырым
301,Schwester::N,әпке,әпке
302,Onkel::N,көке,көке
303,Tante::N,тәте,тәте
304,Ehemann::N,ер,ер
305,Ehefrau::N,зайып,зайып
306,Freude::N,қуаныш,қуаныш
307,Freude::N,қуаныш,сүйініш
308,Freude::N,қуаныш,шат-думан
309,Freude::N,қуаныш,қуаныштылық
310,Freude::N,сүйініш,қуаныш
311,Freude::N,сүйініш,сүйініш
312,Freude::N,сүйініш,шат-думан
313,Freude::N,сүйініш,қуаныштылық
314,Freude::N,шат-думан,қуаныш
315,Freude::N,шат-думан,сүйініш
316,Freude::N,шат-думан,шат-думан
317,Freude::N,шат-думан,қуаныштылық
318,Freude::N,қуаныштылық,қуаныш
319,Freude::N,қуаныштылық,сүйініш
320,Freude::N,қуаныштылық,шат-думан
321,Freude::N,қуаныштылық,қуаныштылық
322,Gelächter::N,күлу,күлу
323,Glück::N,бақыт,бақыт
324,Glück::N,бақыт,бақыттылық
325,Glück::N,бақыттылық,бақыт
326,Glück::N,бақыттылық,бақыттылық
327,Kummer::N,аза,аза
328,Kummer::N,аза,қайғы
329,Kummer::N,аза,қасырет
330,Kummer::N,қайғы,аза
331,Kummer::N,қайғы,қайғы
332,Kummer::N,қайғы,қасырет
333,Kummer::N,қасырет,аза
334,Kummer::N,қасырет,қайғы
335,Kummer::N,қасырет,қасырет
336,Wunsch::N,мүдде,мүдде
337,Lust::N,тәбет,тәбет
338,Lust::N,тәбет,ынтызар
339,Lust::N,тәбет,құштарлық
340,Lust::N,ынтызар,тәбет
341,Lust::N,ынтызар,ынтызар
342,Lust::N,ынтызар,құштарлық
343,Lust::N,құштарлық,тәбет
344,Lust::N,құштарлық,ынтызар
345,Lust::N,құштарлық,құштарлық
346,Geist::N,рух,рух
347,Gedanke::N,ой,ой
348,Gedächtnis::N,ес,ес
349,Gedächtnis::N,ес,жады
350,Gedächtnis::N,ес,ақыл-ес
351,Gedächtnis::N,жады,ес
352,Gedächtnis::N,жады,жады
353,Gedächtnis::N,жады,ақыл-ес
354,Gedächtnis::N,ақыл-ес,ес
355,Gedächtnis::N,ақыл-ес,жады
356,Gedächtnis::N,ақыл-ес,ақыл-ес
357,Verstand::N,ақыл,ақыл
358,Verstand::N,ақыл,парасат
359,Verstand::N,парасат,ақыл
360,Verstand::N,парасат,парасат
361,Sinn::N,мән,мән
362,Sinn::N,мән,маныз
363,Sinn::N,мән,мағына
364,Sinn::N,мән,мән-мағына
365,Sinn::N,маныз,мән
366,Sinn::N,маныз,маныз
367,Sinn::N,маныз,мағына
368,Sinn::N,маныз,мән-мағына
369,Sinn::N,мағына,мән
370,Sinn::N,мағына,маныз
371,Sinn::N,мағына,мағына
372,Sinn::N,мағына,мән-мағына
373,Sinn::N,мән-мағына,мән
374,Sinn::N,мән-мағына,маныз
375,Sinn::N,мән-мағына,мағына
376,Sinn::N,мән-мағына,мән-мағына
377,Grund::N,себеп,себеп
378,Wahrheit::N,рас,рас
379,Gespräch::N,әңгіме,әңгіме
380,Märchen::N,ертеп,ертеп
381,Märchen::N,ертеп,ертек
382,Märchen::N,ертек,ертеп
383,Märchen::N,ертек,ертек
384,Erzählung::N,әңгіме,әңгіме
385,Nachricht::N,хабар,хабар
386,Neuigkeit::N,жаңалық,жаңалық
387,Name::N,ат,ат
388,Name::N,ат,атау
389,Name::N,атау,ат
390,Name::N,атау,атау
391,Rätsel::N,жұмбақ,жұмбақ
392,Rede::N,сөз,сөз
393,Sprache::N,тіл,тіл
394,Stimme::N,үн,үн
395,Stimme::N,үн,әуен
396,Stimme::N,үн,дауыс
397,Stimme::N,әуен,үн
398,Stimme::N,әуен,әуен
399,Stimme::N,әуен,дауыс
400,Stimme::N,дауыс,үн
401,Stimme::N,дауыс,әуен
402,Stimme::N,дауыс,дауыс
403,Wort::N,сөз,сөз
404,Zeichen::N,ишара,ишара
405,Ruf::N,айғай,айғай
406,Lärm::N,айғай-шу,айғай-шу
407,Lärm::N,айғай-шу,айғай-ұйғай
408,Lärm::N,айғай-ұйғай,айғай-шу
409,Lärm::N,айғай-ұйғай,айғай-ұйғай
410,Laut::N,дыбыс,дыбыс
411,Laut::N,дыбыс,дауыс
412,Laut::N,дауыс,дыбыс
413,Laut::N,дауыс,дауыс
414,Ton::N,әуен,әуен
415,Lied::N,ән,ән
416,Lied::N,ән,жыр
417,Lied::N,ән,ән-жыр
418,Lied::N,жыр,ән
419,Lied::N,жыр,жыр
420,Lied::N,жыр,ән-жыр
421,Lied::N,ән-жыр,ән
422,Lied::N,ән-жыр,жыр
423,Lied::N,ән-жыр,ән-жыр
424,Ruhe::N,тыныштық,тыныштық
425,Leute::N,кісілер,кісілер
426,Volk::N,халық,халық
427,Arbeit::N,еңбек,еңбек
428,Gast::N,қонақ,қонақ
429,Gast::N,қонақ,мейман
430,Gast::N,мейман,қонақ
431,Gast::N,мейман,мейман
432,Geschenk::N,қадия,қадия
433,Spiel::N,ойын,ойын
434,Gesellschaft::N,қауым,қауым
435,Gesellschaft::N,қауым,жұртшылық
436,Gesellschaft::N,жұртшылық,қауым
437,Gesellschaft::N,жұртшылық,жұртшылық
438,Hilfe::N,жэрдем,жэрдем
439,Freund::N,дос,дос
440,Kamerad::N,дос-жар,дос-жар
441,Angelegenheit::N,жұмыс,жұмыс
442,Anzahl::N,сан,сан
443,Anzahl::N,сан,саны
444,Anzahl::N,саны,сан
445,Anzahl::N,саны,саны
446,Art::N,түр,түр
447,Stück::N,тілім,тілім
448,Teil::N,үлес,үлес
449,Teil::N,үлес,бөлшек
450,Teil::N,бөлшек,үлес
451,Teil::N,бөлшек,бөлшек
452,Hälfte::N,жарты,жарты
453,Kreis::N,шеңбер,шеңбер
454,Kreuz::N,крест,крест
455,Linie::N,сызық,сызық
456,Strich::N,сызық,сызық
457,Abstand::N,ара,ара
458,Abstand::N,ара,аралық
459,Abstand::N,аралық,ара
460,Abstand::N,аралық,аралық
461,Entfernung::N,аралық,аралық
462,Gegend::N,өңір,өңір
463,Platz::N,орны,орны
464,Ort::N,орын,орын
465,Seite::N,жақ,жақ
466,Seite::N,жақ,бүйір
467,Seite::N,бүйір,жақ
468,Seite::N,бүйір,бүйір
469,Mitte::N,ортасы,ортасы
470,Gegenstand::N,зат,зат
471,Gegenstand::N,зат,нәрсе
472,Gegenstand::N,нәрсе,зат
473,Gegenstand::N,нәрсе,нәрсе
474,Sache::N,бұйым,бұйым
475,Rand::N,шет,шет
476,Rand::N,шет,шеті
477,Rand::N,шеті,шет
478,Rand::N,шеті,шеті
479,Kante::N,қыр,қыр
480,Kante::N,қыр,қыры
481,Kante::N,қыры,қыр
482,Kante::N,қыры,қыры
483,Ecke::N,қыры,қыры
484,Ecke::N,қыры,бұрыш
485,Ecke::N,бұрыш,қыры
486,Ecke::N,бұрыш,бұрыш
487,Spitze::N,ұшы,ұшы
488,Ende::N,аяқ,аяқ
489,Ende::N,аяқ,соңы
490,Ende::N,соңы,аяқ
491,Ende::N,соңы,соңы
492,Loch::N,тесік,тесік
493,Winkel::N,мүйіс,мүйіс
494,Muster::N,мәнер,мәнер
495,Größe::N,ауқым,ауқым
496,Größe::N,ауқым,көлемдік
497,Größe::N,көлемдік,ауқым
498,Größe::N,көлемдік,көлемдік
499,Länge::N,бой,бой
500,Länge::N,бой,ұзындық
501,Länge::N,ұзындық,бой
502,Länge::N,ұзындық,ұзындық
503,Höhe::N,жоғарылық,жоғарылық
504,Höhe::N,жоғарылық,биіктік
505,Höhe::N,биіктік,жоғарылық
506,Höhe::N,биіктік,биіктік
507,Gewicht::N,салмақ,салмақ
508,Menge::N,мөлшер,мөлшер
509,Haufen::N,үйме,үйме
510,Haufen::N,үйме,үйінді
511,Haufen::N,үйінді,үйме
512,Haufen::N,үйінді,үйінді
513,Reihe::N,сап,сап
514,Boot::N,қайық,қайық
515,Ruder::N,ескек,ескек
516,Schlitten::N,шана,шана
517,Ski::N,шаңғы,шаңғы
518,Lagerfeuer::N,алау,алау
519,Last::N,ауырлық,ауырлық
520,Last::N,ауырлық,ауыр зат
521,Last::N,ауыр зат,ауырлық
522,Last::N,ауыр зат,ауыр зат
523,Gang::N,жүріс,жүріс
524,Schritt::N,адым,адым
525,Norden::N,солтүстік,солтүстік
526,Norden::N,солтүстік,терістік
527,Norden::N,терістік,солтүстік
528,Norden::N,терістік,терістік
529,Süden::N,оңтүстік,оңтүстік
530,Westen::N,батыс,батыс
531,Osten::N,күншығыс,күншығыс
532,Holz::N,ағаш,ағаш
533,Holz::N,ағаш,сүрек
534,Holz::N,сүрек,ағаш
535,Holz::N,сүрек,сүрек
536,Brett::N,тақта,тақта
537,Platte::N,тақта,тақта
538,Stütze::N,тіреу,тіреу
539,Stange::N,қада,қада
540,Stock::N,сойыл,сойыл
541,Stab::N,сырық,сырық
542,Rohr::N,құбыр,құбыр
543,Haus::N,үй,үй
544,Heim::N,үйлі,үйлі
545,Heim::N,үйлі,шаңырақ
546,Heim::N,шаңырақ,үйлі
547,Heim::N,шаңырақ,шаңырақ
548,Ofen::N,ошақ,ошақ
549,Ofen::N,ошақ,пеш
550,Ofen::N,пеш,ошақ
551,Ofen::N,пеш,пеш
552,Fußboden::N,еден,еден
553,Tisch::N,үстел,үстел
554,Stuhl::N,орындық,орындық
555,Wiege::N,бесік,бесік
556,Bett::N,кереует,кереует
557,Regal::N,сөре,сөре
558,Kiste::N,жәшік,жәшік
559,Fenster::N,терезе,терезе
560,Tür::N,есік,есік
561,Tor::N,дарбаза,дарбаза
562,Zaun::N,дуал,дуал
563,Dach::N,шатыр,шатыр
564,Leiter::N,саты,саты
565,Leiter::N,саты,басқыш
566,Leiter::N,басқыш,саты
567,Leiter::N,басқыш,басқыш
568,Besen::N,сыпырғыш,сыпырғыш
569,Spaten::N,күрек,күрек
570,Schaufel::N,қалақ,қалақ
571,Gabel::N,аша,аша
572,Gabel::N,аша,шанышқы
573,Gabel::N,шанышқы,аша
574,Gabel::N,шанышқы,шанышқы
575,Löffel::N,қасық,қасық
576,Messer::N,пышақ,пышақ
577,Nagel::N,мық,мық
578,Nagel::N,мық,шеге
579,Nagel::N,шеге,мық
580,Nagel::N,шеге,шеге
581,Netz::N,керегекөз,керегекөз
582,Haken::N,ілмек,ілмек
583,Griff::N,сап,сап
584,Griff::N,сап,тұтқа
585,Griff::N,тұтқа,сап
586,Griff::N,тұтқа,тұтқа
587,Schloss::N,құлып,құлып
588,Schloss::N,құлып,бекіткіш
589,Schloss::N,бекіткіш,құлып
590,Schloss::N,бекіткіш,бекіткіш
591,Bild::N,сурет,сурет
592,Figur::N,тұлға,тұлға
593,Puppe::N,қуыршақ,қуыршақ
594,Beutel::N,қапшық,қапшық
595,Bündel::N,байлам,байлам
596,Tasche::N,дорба,дорба
597,Eimer::N,шелек,шелек
598,Deckel::N,жапқыш,жапқыш
599,Geschirr::N,ыдыс,ыдыс
600,Sack::N,қап,қап
601,Tasse::N,шыныаяқ,шыныаяқ
602,Topf::N,кәстрөл,кәстрөл
603,Kessel::N,қазан,қазан
604,Essen::N,ас,ас
605,Nahrung::N,ас,ас
606,Nahrung::N,ас,тамақ
607,Nahrung::N,тамақ,ас
608,Nahrung::N,тамақ,тамақ
609,Speise::N,тағам,тағам
610,Fleisch::N,ет,ет
611,Getreide::N,дәнді,дәнді
612,Brei::N,ботқа,ботқа
613,Brot::N,күлше,күлше
614,Scheibe::N,тілім,тілім
615,Fett::N,май,май
616,Butter::N,май,май
617,Öl::N,май,май
618,Salz::N,тұз,тұз
619,Suppe::N,көже,көже
620,Honig::N,бал,бал
621,Milch::N,сүт,сүт
622,Tee::N,шай,шай
623,Leder::N,көн,көн
624,Wolle::N,жүн,жүн
625,Stoff::N,мата,мата
626,Stoff::N,мата,кездеме
627,Stoff::N,кездеме,мата
628,Stoff::N,кездеме,кездеме
629,Nadel::N,ине,ине
630,Faden::N,жіп,жіп
631,Knopf::N,түйме,түйме
632,Knoten::N,түйін,түйін
633,Farbe::N,рең,рең
634,Kleidung::N,киім,киім
635,Hemd::N,жейде,жейде
636,Kragen::N,жаға,жаға
637,Ärmel::N,жең,жең
638,Hose::N,шалбар,шалбар
639,Gürtel::N,белбеу,белбеу
640,Mütze::N,қалпақ,қалпақ
641,Schuh::N,кебіс,кебіс
642,Stiefel::N,етік,етік
643,Ring::N,жүзік,жүзік
644,Band::N,таспа,таспа
645,Kamm::N,тарақ,тарақ
646,Spiegel::N,айна,айна
647,Riemen::N,қайыс,қайыс
648,Schnur::N,жіп,жіп
649,Leine::N,тізгін,тізгін
650,Decke::N,көрпе,көрпе
651,Kissen::N,жастық,жастық
652,Tuch::N,орамал,орамал
653,Handtuch::N,сүлгі,сүлгі
654,Kraft::N,қуат,қуат
655,Kraft::N,қуат,қарқын
656,Kraft::N,қуат,әл-шама
657,Kraft::N,қуат,әл-дәрмен
658,Kraft::N,қарқын,қуат
