,Concept_ID,lez,ta
225,Ehefrau::N,паб,மனைவி
226,Freude::N,шадвал,கொண்டாட்டம்
227,Gelächter::N,хъвер,சிரிப்பு
228,Glück::N,бахт,மகிழ்ச்சி
229,Kummer::N,дерт,துயரம்
230,Kummer::N,хажалат,துயரம்
231,Wunsch::N,мурад,விருப்பம்
232,Lust::N,гьевес,விருப்பம்
233,Geist::N,руьгь,ஆன்மா
234,Gedanke::N,фикир,எண்ணம்
235,Verstand::N,акьул,மனம்
236,Sinn::N,мана,அர்த்தம்
237,Grund::N,себеб,காரணம்
238,Wahrheit::N,керчек,உண்நை
239,Wahrheit::N,гьакъикъат,உண்நை
240,Gespräch::N,ихтилат,பெசு
241,Märchen::N,мах,நம்பத்தகாத கதை
242,Erzählung::N,кьиса,கதை
243,Nachricht::N,хабар,செய்தி
244,Neuigkeit::N,цӏийи хабар,செய்தி
245,Name::N,тӏвар,பெயர்
246,Rätsel::N,мискӏал,புதிர்
247,Rede::N,рахун,பேச்சு
248,Sprache::N,чӏал,மொழி
249,Stimme::N,ван,குரல்
250,Wort::N,гаф,வார்த்தை
251,Zeichen::N,ишара,குறி
252,Ruf::N,эвер,அழைப்பு
253,Lärm::N,ван-сес,சத்தம்
254,Laut::N,ван,ஒலி
255,Laut::N,сес,ஒலி
256,Ton::N,ван-сес,குரல்
257,Lied::N,мани,பாட்டு
258,Ruhe::N,ласвал,அமைதி
259,Ruhe::N,фаракъат,அமைதி
260,Ruhe::N,асайиш,அமைதி
261,Leute::N,инсанар,மக்கள்
262,Volk::N,халкь,மக்கள்
263,Arbeit::N,кӏвалах,வேலை
264,Gast::N,мугьман,விருந்தாளி
265,Geschenk::N,савкьат,பரிசுப் பொருள்
266,Spiel::N,къугъун,விளையாட்டு
267,Gesellschaft::N,жемят,சமுதாயம்
268,Gesellschaft::N,общество,சமுதாயம்
269,Hilfe::N,куьмек,உதவி
270,Freund::N,дуст,நண்பன்
271,Kamerad::N,яр-дуст,உடனிருப்பவன்
272,Angelegenheit::N,кар,செய்தி
273,Anzahl::N,сан,எண்ணிக்கை
274,Anzahl::N,кьадар,எண்ணிக்கை
275,Art::N,жуьре,வகை
276,Stück::N,кӏус,துண்டம்
277,Teil::N,пай,பகுதி
278,Hälfte::N,зур,பாதி
279,Hälfte::N,зур пай,பாதி
280,Kreis::N,круг,வட்டம்
281,Kreis::N,чкаяр,வட்டம்
282,Kreis::N,элкъвей цӏар,வட்டம்
283,Kreuz::N,хаш,சிலுவை
284,Linie::N,цӏар,கோடு
285,Strich::N,цӏар,வாத நோய்
286,Abstand::N,ара,இடைவெளி
287,Entfernung::N,мензил,தூரம்
288,Gegend::N,чка,வட்டாரம்
289,Platz::N,ара,வெற்றிடம்
290,Ort::N,чка,இடம்
291,Seite::N,пад,பக்கம்
292,Mitte::N,юкь,இடைப்பகுதி
293,Gegenstand::N,затӏ,உருப்படி
294,Sache::N,шей,பொருள்
