,Concept_ID,os,uz
82,Eis::N,их,muz
83,Frost::N,ихæн,ajoz
84,Kälte::N,уазал,ajoz
85,Hitze::N,ӕнтӕф,issiq
86,Raureif::N,халас,qirov
87,Regenbogen::N,арвырон,kamalak
88,Regenbogen::N,арвырдын,kamalak
89,Donner::N,æрвнæрын,guldur
90,Strömung::N,цыд,oqim
91,Tropfen::N,æртах,tomchi
92,Schaum::N,фынк,ko'pik
93,Schmutz::N,цъыф,gard
94,See::N,цад,ko'l
95,Sumpf::N,цъыфдзаст,botqoq
96,Moor::N,цъыфдзаст,qir-adir
97,Wiese::N,уыгӕрдӕн,o'tzor
98,Wald::N,хъӕд,o'rmon
99,Hügel::N,обау,tepa
100,Hügel::N,къуыбыр,tepa
101,Anhöhe::N,уæлвæз,adir
102,Anhöhe::N,уæлхох,adir
103,Berg::N,хох,tog'
104,Gipfel::N,цъупп,cho'qqi
105,Höhle::N,лӕгӕт,kavak
106,Abhang::N,къул,to'sh
107,Quelle::N,суадон,buloq
108,Bach::N,мӕсчъыдон,o'zan
109,Fluss::N,дон,daryo
110,Fluss::N,цӕугӕдон,daryo
111,Ufer::N,был,sohil
112,Küste::N,донбыл,qirg'oq
113,Festland::N,сурзæхх,materik
114,Meer::N,денджыз,dengiz
115,Bucht::N,донбакæлæн,qo'ltiq
116,Insel::N,сакъадах,orol
117,Blume::N,дидинӕг,gul
118,Gras::N,кӕрдӕг,sabza
119,Wurzel::N,уидаг,tub
120,Wurzel::N,уидаг,tomir
121,Baum::N,бӕлас,daraxt
122,Stamm::N,хӕтӕл,o'simta
123,Rinde::N,цъар,qobiq
124,Ast::N,арх,shox
125,Zweig::N,къалиу,butoq
126,Blatt::N,сыф,barg
127,Birke::N,бæрз,qayin
128,Kiefer[Baum]::N,нӕзы,qarag'ay
129,Weide[Baum]::N,хӕрис,shum
130,Tanne::N,наз,archa
131,Horn::N,сыкъа,mugiz
132,Feder::N,сис,par
133,Fell::N,царм,mo'yna
134,Flügel::N,базыр,qanot
135,Klaue::N,ных,tirnoq
136,Kralle::N,дзӕмбы,tirnoq
137,Schwanz::N,къӕдзил,quyruq
138,Ei::N,айк,tuxum
139,Nest::N,ахстон,oshyon
140,Bau::N,хуынкъ,o'pqon
141,Tier::N,сырд,hayvon
142,Tier::N,цӕрӕгой,hayvon
143,Herde::N,дзуг,gala
144,Herde::N,рӕгъау,gala
145,Kuh::N,хъуг,inak
146,Bulle::N,гал,ho'kiz
147,Pferd::N,бӕх,ot
148,Schaf::N,фыс,qo'y
149,Schwein::N,хуы,cho'chqa
150,Hund::N,куыдз,it
151,Katze::N,гӕды,mushuk
152,Bär::N,арс,ayiq
153,Eichhörnchen::N,æхсæрæг,tiyin
154,Elch::N,цæгатаг саг,los
155,Fuchs::N,рувас,tulki
156,Hase::N,тæрхъус,kuyon
157,Maus::N,мыст,sichqon
158,Wolf::N,бирӕгъ,bo'ri
159,Vogel::N,цъиу,qush
160,Vogel::N,маргъ,qush
161,Schwarm::N,бал,to'da
162,Huhn::N,карк,tovuq
163,Hahn::N,уасӕг,xo'roz
164,Gans::N,хъаз,g'oz
165,Adler::N,цӕргӕс,burgut
166,Ente::N,ацц,o'rdak
167,Eule::N, уыг,boyo'g'li
168,Eule::N,сидахъ,boyo'g'li
169,Kranich::N,зырнæг,turna
170,Kranich::N,хърихъупп,turna
171,Krähe::N,халон,qarg'a
172,Kuckuck::N,гаккук,kakku
173,Schwan::N,доныхъаз,oqkush
174,Fisch::N,кӕсаг,baliq
175,Barsch::N,окунь,olabug'a
176,Hecht::N,хихор кӕсаг,cho'rtan
177,Schlange[Tier]::N,калм,ilon
178,Wurm::N,зулкъ,qurt
179,Wurm::N,къуыдыргалм,qurt
180,Spinne::N,хӕлуарӕг,o'rgimchak
181,Ameise::N,мæлдзыг,chumoli
182,Laus::N,сыст,bit
183,Mücke::N,къогъо,chivin
184,Fliege::N,бындз,pashsha
185,Schmetterling::N,гæлæбу,kapalak
186,Beere::N,гагадыргъ,meva
187,Apfel::N,фӕткъуы,olma
188,Pilz::N,зокъо,qo'ziqorin
189,Pilz::N,къозо,qo'ziqorin
190,Zwiebel::N,хъӕдындз,piyoz
191,Saat::N,тауинаг,äkin
192,Saat::N,мыггаг,äkin
193,Korn::N,мыггаг,zarra
194,Korn::N,тауинаг,zarra
195,Heu::N,хос,xashak
196,Schale::N,цъар,po'choq
197,Grube::N,урм,co'ra
198,Grube::N,къахт,co'ra
199,Grube::N,дзыхъхъ,co'ra
200,Falle::N,цъысым,qopqon
201,Falle::N,къӕппӕг,qopqon
202,Schlinge::N,цасм,sirtmoq
203,Spur::N,фæд,iz
204,Asche::N,фӕнык,kul
205,Asche::N,ӕртхутӕг,kul
206,Dreck::N,цъыф,kir
207,Eisen::N,ӕфсӕйнаг,temir
208,Gold::N,сыгъзӕрин,tilla
209,Silber::N,ӕвзист,kumush
210,Kohle::N,ӕвзалы,ko'mir
211,Glas::N,авг,oyna
212,Lehm::N,ӕлыг,loy
213,Sand::N,змис,qum
214,Mensch::N,лӕг,odam
215,Mensch::N,адӕймаг,odam
216,Mensch::N,удгоймаг,odam
217,Mann::N,лӕг,ärkak
218,Mann::N,нӕлгоймаг,ärkak
219,Frau::N,сылгоймаг,ayol
220,Kind::N,сывӕллон,bola
221,Kind::N,сывӕллон,kichkintoy
222,Junge::N,лӕппу,bola
223,Mädchen::N,чызг,qiz
224,Familie::N,бинонтæ,oila
225,Großvater::N,фыдыфыд,buva
226,Großvater::N,фыдыфыд,katta ota
227,Großvater::N,мадыфыд,buva
228,Großvater::N,мадыфыд,katta ota
229,Großmutter::N,фыды мад,buvi
230,Großmutter::N,фыды мад,katta oyi
231,Großmutter::N,мады мад,buvi
232,Großmutter::N,мады мад,katta oyi
233,Eltern::N,ныййарджытæ,ota-ona
234,Vater::N,фыд,ota
235,Mutter::N,мад,ona
236,Sohn::N,фырт,o'g'il
237,Tochter::N,чызг,qiz
238,Bruder::N,ӕфсымӕр,og'a
239,Bruder::N,ӕфсымӕр,uka
240,Schwester::N,хо,opa
241,Schwester::N,хо,singil
242,Onkel::N,фыдыфсымӕр,amaki
243,Tante::N,мадыхо,amma
244,Tante::N,мадыхо,xola
245,Ehemann::N,мой,är
246,Ehefrau::N,ус,rafiqa
247,Freude::N,цин,ayish
248,Freude::N,циндзинад,ayish
249,Gelächter::N,худын,kulgi
250,Gelächter::N,худт,kulgi
251,Gelächter::N,худæг,kulgi
252,Glück::N,амонд,saodat
253,Kummer::N,хъыг,g'am
254,Wunsch::N,бӕллиц,orzu
255,Lust::N,монц,rag'bat
256,Geist::N,уд,ruh
257,Gedanke::N,хъуыды,fikr
258,Gedächtnis::N,мысæн,äs
259,Gedächtnis::N,мысын,äs
260,Gedächtnis::N,зæрдылдарын,äs
261,Verstand::N,зонд,aql
262,Sinn::N,нысаниуæг,ma'ni
263,Grund::N,ӕфсон,sabab
264,Wahrheit::N,æцæг,haq
265,Gespräch::N,ныхас,gap
266,Märchen::N,аргъау,ärtak
267,Erzählung::N,радзырд,rivoyat
268,Nachricht::N,уац,xabar
269,Neuigkeit::N,хабар,yangilik
270,Name::N,ном,ot
271,Rätsel::N,уыци-уыци,topishmoq
272,Rätsel::N,базон-базон,topishmoq
273,Rede::N,раныхас,nutq
274,Sprache::N,ӕвзаг,til
275,Stimme::N,хъӕлӕс,ovoz
276,Wort::N,дзырд,so'z
277,Zeichen::N,нысан,alomat
278,Ruf::N,сидт,chaqiriq
279,Lärm::N,уынæр,taraq
280,Laut::N,зӕл,tovush
281,Laut::N,мыр,tovush
282,Ton::N,мыр,un
283,Lied::N,зарӕг,ashula
284,Ruhe::N,æнцой,tinchlik
285,Leute::N,адӕм,xaloyiq
286,Volk::N,адӕм,xalq
287,Arbeit::N,фӕллой,ish
288,Gast::N,уазӕг,mehmon
289,Geschenk::N,хуын,hadya
290,Spiel::N,хъазт,o'yin
291,Gesellschaft::N,дзыллæ,jamiyat
292,Gesellschaft::N,æхсæнад,jamiyat
293,Hilfe::N,æххуыс,yordam
294,Hilfe::N,ахъаз,yordam
295,Freund::N,лымӕн,do'st
296,Kamerad::N,ӕмбал,yo'ldosh
297,Angelegenheit::N,хъуыддаг,daxl
298,Anzahl::N,бӕрц,son
299,Art::N,хуыз,tur
300,Art::N,хуызад,tur
301,Stück::N,кæрдих,parcha
302,Stück::N,комдзаг,parcha
303,Teil::N,хай,bo'lak
304,Hälfte::N,æрдæг,yarim
305,Hälfte::N,æмбис,yarim
306,Kreis::N,зиллакк,aylana
307,Kreuz::N,дзуар,xoch
308,Linie::N,хахх,liniya
309,Strich::N,хахх,chiziq
310,Abstand::N,æхсæнуат,oralik
311,Entfernung::N,дæрддзæг,uzoqlik
312,Entfernung::N,дардцæг,uzoqlik
313,Gegend::N,ран,yer
314,Platz::N,бууат,oralig
315,Ort::N,ран,joy
316,Ort::N,бынат,joy
317,Seite::N,фахс,yon
318,Mitte::N,астӕу,o'rta
319,Gegenstand::N,дзаума,ashyo
320,Sache::N,дзаума,buyum
321,Rand::N,кӕрон,chek
322,Kante::N,фӕрск,tig'
323,Ecke::N,тигъ,burchak
324,Ecke::N,фисын,burchak
325,Spitze::N,бырынкъ,uch
326,Ende::N,кӕрон,oxir
327,Loch::N,хуынкъ,teshik
328,Winkel::N,къуым,go'sha
329,Muster::N,нывæфтыд,nusha
330,Muster::N,кæдзист,nusha
331,Größe::N,ас,kattalik
332,Länge::N,дӕргъ,uzunlik
333,Höhe::N,бæрзонд,yuksaklik
334,Höhe::N,бæрзæнд,yuksaklik
335,Höhe::N,бæрзонддзинад,yuksaklik
336,Gewicht::N,уӕз,solmoq
337,Menge::N,бӕрц,miqdor
338,Haufen::N,кӕри,uyum
339,Reihe::N,рӕнхъ,saf
340,Boot::N,чема,qayiq
341,Ruder::N,къохар,äshkak
342,Schlitten::N,дзоныгъ,chana
343,Ski::N,къахдзоныгътæ,chang'i
344,Ski::N,лыжæтæ,chang'i
345,Lagerfeuer::N,арт,gulxan
346,Last::N,уаргъ,yuk
347,Gang::N,цыд,yurish
348,Schritt::N,санчъех,qadam
349,Schritt::N,къахдзӕф,qadam
350,Norden::N,цæгат,shimol
351,Süden::N,хуссар,janub
352,Westen::N,ныгуылæн,g'arb
353,Osten::N,скæсæн,sharq
354,Holz::N,хъӕдӕрмӕг,yog'och
355,Brett::N,фæйнæг,taxta
356,Platte::N,къӕй,tabaqa
357,Stütze::N,быцæу,tayanchi
358,Stange::N,хъил,qo'noq
359,Stock::N,лӕдзӕг,tayoq
360,Stab::N,хъил,gavron
361,Rohr::N,хӕтӕл,tarnov
362,Haus::N,хӕдзар,uy
363,Heim::N,къона,makon
364,Ofen::N,пец,pechka
365,Fußboden::N,астӕрд,pol
366,Tisch::N,стъол,mosa
367,Stuhl::N,бандон,o'rindiq
368,Wiege::N,авдæн,beshik
369,Bett::N,сынтӕг,yotoq
370,Regal::N,тӕрхӕг,tokcha
371,Regal::N,уӕлвӕйнӕг,tokcha
372,Kiste::N,асыкк,sandiq
373,Fenster::N,рудзынг,deraza
374,Fenster::N,фæрссаг,deraza
375,Tür::N,дуар,äshik
376,Tor::N,кулдуар,darvoza
377,Zaun::N,æмбонд,panjara
378,Zaun::N,быру,panjara
379,Zaun::N,гæрæн,panjara
380,Dach::N,уӕлхӕдзар,tom
381,Leiter::N,асин,narvon
382,Besen::N,уисой,supurgi
383,Spaten::N,бел,bel
384,Schaufel::N,æвгæнæн,kurak
385,Schaufel::N,кæфой,kurak
386,Gabel::N,вилкæ,bilka
387,Löffel::N,уидыг,qoshiq
388,Messer::N,кард,pichoq
389,Nagel::N,зӕгӕл,mix
390,Netz::N,хыз,to'r
391,Haken::N,хæдз,ilgak
392,Haken::N,хæбырæгъ,ilgak
393,Griff::N,фистон,sop
394,Griff::N,фистон,tutqich
395,Schloss::N,гуыдыр,qulf
396,Bild::N,ныв,rasm
397,Figur::N,кæрдгæныв,shakl
398,Puppe::N,чындз,ko'g'irchoq
399,Beutel::N,дзӕкъул,to'rva
400,Bündel::N,баст,bog'lam
401,Tasche::N,хызын,kissa
402,Tasche::N,дзæкъул,kissa
403,Eimer::N,къæрта,chelak
404,Eimer::N,чъыбыла,chelak
405,Eimer::N,ведра,chelak
406,Deckel::N,сæр,qopqoq
407,Deckel::N,æмбæрзæн,qopqoq
408,Geschirr::N,мигæнæн,idish
409,Geschirr::N,мигæнæнтæ,idish
410,Sack::N,голлаг,qop
411,Tasse::N,пиала,piyola
412,Tasse::N,къус,piyola
413,Topf::N,аг,tuvak
414,Topf::N,чысыл аг,tuvak
415,Kessel::N,аг,qozon
416,Essen::N,хӕрд,tomoq
417,Nahrung::N,хойраг,emak
418,Speise::N,хӕринаг,taom
419,Fleisch::N,дзидза,go'sht
420,Fleisch::N,фыдызгъӕл,go'sht
421,Getreide::N,халсар,g'alla
422,Brei::N,кас,bo'tqa
423,Brot::N,дзул,non
424,Scheibe::N,къӕбӕр,disk
425,Fett::N,сой,moy
426,Butter::N,нӕлхӕ,yog'
427,Öl::N,зети,moy
428,Salz::N,цӕхх,tuz
429,Suppe::N,бас,sho'rva
430,Honig::N,мыд,asal
431,Milch::N,ӕхсыр,sut
432,Tee::N,цай,choy
433,Leder::N,мæскуы,charm
434,Wolle::N,фӕсмын,jun
435,Stoff::N,хъуымац,mato
436,Nadel::N,судзин,igna
437,Faden::N,ӕндах,ip
438,Knopf::N,цӕппӕр,tugma
439,Knoten::N,ӕлхынцъ,tugun
440,Farbe::N,ахорæн,bo'yok
441,Kleidung::N,дарӕс,kiyim
442,Hemd::N,хӕдон,ko'ylak
443,Kragen::N,æфцæггот,yoqa
444,Ärmel::N,дыс,yeng
445,Hose::N,хæлаф,shim
446,Hose::N,æддаг хæлаф,shim
447,Hose::N,салбар,shim
448,Gürtel::N,рон,tasma
449,Mütze::N,худ,shapka
450,Schuh::N,басмахъ,but
451,Stiefel::N,цырыхъхъ,botinka
452,Ring::N,къухдарӕн,yuzuk
453,Band::N,лент,rishta
454,Kamm::N,сӕрвасӕн,taroq
455,Spiegel::N,айдæн,ko'zgu
456,Spiegel::N,кæсæн,ko'zgu
457,Riemen::N,гӕрз,qayish
458,Schnur::N,бӕндӕн,bog'ich
459,Decke::N,хъӕццул,odyol
460,Kissen::N,баз,yostiq
461,Tuch::N,кæлмæрзæн,gazlama
462,Tuch::N,кæрдæн,gazlama
463,Handtuch::N,хисæрфæн,sochiq
464,Kraft::N,тых,kuch
465,Kraft::N,хъомыс,kuch
466,Stärke::N,тых,quvvat
467,Stärke::N,æхсар,quvvat
468,Gesundheit::N,æнæниздзинад,sog'lik
469,Krankheit::N,низ,kasallik
470,Krankheit::N,рын,kasallik
471,Schmerz::N,рис,og'riq
472,Wunde::N,цӕф,yara
473,Fieber::N,ризӕг,bezgak
474,Fieber::N,тӕфсӕг,bezgak
475,Arznei::N,хос,dori
476,Brücke::N,хид,ko'prik
477,Brunnen::N,цъай,buloq
478,Weide::N,хизæн,yaylov
479,Weide::N,хизæнуат,yaylov
480,Weide::N,сæрвæт,yaylov
481,Pfad::N,къахвæндаг,dorojka
482,Pfad::N,къахвæд,dorojka
483,Weg::N,фӕндаг,yo'l
484,Straße::N,фӕндаг,ko'cha
485,Dorf::N,хъӕу,ovul
486,Stadt::N,сахар,shahar
487,Brief::N,фыстӕг,maktub
488,Buch::N,чиныг,kitob
489,Buchstabe::N,дамгъӕ,harf
490,Zeitung::N,газет,gazet
491,Leben::N,цард,hayot
492,Leben::N,цӕрӕнбон,hayot
493,Tod::N,мæлæт,o'lim
494,Tod::N,адзал,o'lim
495,Grab::N,ингӕн,go'r
496,Kirche::N,аргъуан,cherkov
497,Sünde::N,тæригъæд,gunoh
498,Gott::N,хуыцау,olloh
499,Arbeiter::N,кусæг,ishchi
500,Chef::N,ӕмцег,rais
501,Meister::N,мастер,usta
502,Meister::N,дæсны,usta
503,Arzt::N,хосгæнæг,hakim
504,Arzt::N,дохтыр,hakim
505,Lehrer::N,ахуыргæнæг,muallim
506,Geld::N,ӕхца,pul
507,Geschäft::N,бизнес,savdo
508,Geschäft::N,хъуыддаг,savdo
509,Laden::N,дукани,do'kon
510,Preis::N,аргъ,baho
511,Ware::N,базайраг,mol
512,Nutzen::N,пайда,foyda
513,Reichtum::N,хъæздыгдзинад,boylik
514,Reichtum::N,исбон,boylik
515,Reichtum::N,мулк,boylik
516,Welt::N,дуне,olam
517,Land::N,бӕстӕ,o'lka
518,Staat::N,паддзахад,davlat
519,König::N,къарол,qirol
520,Macht::N,хицаудзинад,iqtidor
521,Grenze::N,арӕн,chegara
522,Krieg::N,хӕст,harb
523,Feind::N,знаг,dushman
524,Feind::N,фыдгул,dushman
525,Feind::N,фыдзæрдæ,dushman
526,Feind::N,сон,dushman
527,Gewalt::N,тыхми,zo'rlik
528,Gewalt::N,тыхдзинад,zo'rlik
529,Kampf::N,хæст,kurash
530,Kampf::N,хъæбысæйхæст,kurash
531,Kampf::N,тох,kurash
532,Bogen[Waffe]::N,ӕрдын,yoy
533,Pfeil::N,фат,o'q
534,Gewehr::N,топп,vintovka
535,Fehler::N,рӕдыд,xato
536,Lüge::N,мӕнг,yolg'on
537,Lüge::N,гӕдыдзинад,yolg'on
538,Schaden::N,зиан,ziyon
539,Unglück::N,бæллæх,balo
540,Schuld::N,азым,ayb
541,Alter::N,кар,yosh
542,Schluss::N,кæрон,tamom
543,Zeit::N,рӕстӕг,vaqt
544,Tag::N,бон,kun
545,Morgen::N,райсом,saboh
546,Mittag::N,æмбисбон,kun tushlik
547,Abend::N,изӕр,oqshom
548,Nacht::N,ӕхсӕв,tun
549,Woche::N,къуыри,hafta
550,Monat::N,мӕй,oy
551,Jahr::N,аз,yil
552,Jahr::N,афӕдз,yil
553,Frühling::N,уалдзæг,bahor
554,Sommer::N,сӕрд,yoz
555,Herbst::N,фæззæг,kuz
556,Herbst::N,фæззæг,xazon
557,Winter::N,зымӕг,qish
558,Januar::N,январь,yanvar'
559,Februar::N,февраль,fevral'
560,März::N,мартъи,mart
561,April::N,апрель,aprel'
562,Mai::N,май,may
563,Juni::N,июнь,iyun'
564,Juli::N,июль,iyul'
565,August::N,август,avgust
566,September::N,сентябрь,sentyabr'
567,Oktober::N,октябрь,oktyabr'
568,November::N,ноябрь,noyabr'
569,Dezember::N,декабрь,dekabr'
570,Montag::N,къуырисæр,dushanba
571,Dienstag::N,дыццæг,seshanba
572,Mittwoch::N,æртыццæг,chorshanba
573,Donnerstag::N,цыппæрæм,payshanba
574,Freitag::N,майрæмбон,juma
575,Samstag::N,сабат,shanba
576,Sonntag::N,хуыцаубон,yakshanba
577,groß::A,дынджыр,buyuk
578,klein::A,гыццыл,kichik
579,lang::A,даргъ,uzun
580,kurz::A,цыбыр,qisqa
581,breit::A,фӕтӕн,keng
582,schmal::A,нарӕг,änsiz
583,schmal::A,уынгӕг,änsiz
584,dicht::A,бæзджын,quyuq
585,dicht::A,тар,quyuq
586,dick[Gegenstand]::A,сӕвджын,qalin
587,dünn::A,тæнæг,ingichka
588,fein::A,лыстӕг,mayin
589,fest::A,фидар,qattiq
590,fest::A,хъӕддых,qattiq
591,flach::A,тъӕпӕн,yalpoq
592,glatt::A,лӕгъз,tekis
593,hart::A,хъӕбӕр,qattiq
594,weich::A,фӕлмӕн,yumshoq
595,rund::A,тымбыл,yumaloq
596,spitz::A,цыргъбырынкъ,uchli
597,spitz::A,цыргъфындз,uchli
598,scharf::A,цыргъ,keskir
599,stumpf::A,къуымых,to'mtoq
600,schwer::A,уӕззау,salmoqli
601,schön::A,аив,go'zal
602,schön::A,рӕсугъд,go'zal
603,heiß::A,тӕвд,qiziq
604,warm::A,хъарм,issiq
605,kalt::A,уазал,sovuq
606,kühl::A,сатæг,salqin
607,kühl::A,уазалгомау,salqin
608,frisch::A,сатæг,toza
609,feucht::A,уымӕл,namli
610,nass::A,хуылыдз,nam
611,trocken::A,хус,quruq
612,voll::A,дзаг,to'la
613,voll::A,йедзаг ,to'la
614,leer::A,афтид,puch
615,offen::A,гом,ochiq
616,geschlossen::A,æхгæд,berk
617,sauber::A,сыгъдæг,ozoda
618,schmutzig::A,чъиллон,kir
619,roh::A,хом,xom
620,reif::A,рӕгъӕд,pishiq
621,lecker::A,хӕрзад,shirin
622,süß::A,адджын,shirin
623,bitter::A,судзаг,achchiq
624,sauer::A,туаг,achchiq
625,hell::A,рухс,yorug'
626,dunkel::A,талынг,qorong'i
627,schwarz::A,сау,qora
628,weiß::A,урс,oq
629,rot::A,сырх,qizil
630,gelb::A,бур,sariq
631,blau::A,цъӕх,zangori
632,grün::A,цъӕх,yashil
633,grün::A,кӕрдӕгхуыз,yashil
634,grau::A,цъӕх,bo'z
635,grau::A,фӕныкхуыз,bo'z
636,bunt::A,хъулон,ola
637,bunt::A,гæрæм,ola
638,billig::A,аслам,arzon
639,teuer::A,зынаргъ,qimmat
640,wertvoll::A,зынаргъ,qimmat
641,blind::A,куырм,ko'r
642,taub::A,къуырма,garang
643,kräftig::A,домбай,kuchli
644,kräftig::A,тыхджын,kuchli
645,stark::A,тыхджын,quvvatli
646,schwach::A,ӕнӕбон,kuchsiz
647,fett::A,нард,semiz
648,schlank::A,гуырвидыц,ingichka
649,schlank::A,хæрзконд,ingichka
650,schlank::A,рæхснæг,ingichka
651,schlank::A,сагамад,ingichka
652,hübsch::A,аив,ko'rkam
653,hübsch::A,рӕсугъд,ko'rkam
654,böse::A,фыдзӕрдӕ,yovuz
655,dumm::A,ӕдылы,aqlsiz
656,faul::A,зивӕг,ärinchak
657,faul::A,зивӕггӕнаг,ärinchak
658,fleißig::A,æнæзивæг,ishchan
659,fleißig::A,æнувыд,ishchan
660,geizig::A,чъынды,qurumsoq
661,geizig::A,æлгъин,qurumsoq
662,geizig::A,мæрддзæст,qurumsoq
663,klug::A,зондджын,oqil
664,geschickt::A,хӕрзарӕхст,äpchil
665,lieb::A,уарзон,aziz
666,lustig::A,хъӕлдзӕг,chaqchaq
667,sanft::A,мынчын,asta
668,hungrig::A,ӕххормаг,och
669,krank::A,нӕфӕразгӕ,kasal
670,nackt::A,бӕгънӕг,yalang
671,traurig::A,ӕрхӕндӕг,xafa
672,lebendig::A,цардӕгас,hayotiy
673,gut::A,хорз,soz
674,schlecht::A,цауд,yomon
675,richtig::A,раст,rost
676,schlimm::A,ӕвзӕр,yovuz
677,wahr::A,ӕцӕг,haqiqiy
678,alt::A,зӕронд,äski
679,neu::A,ног,yangi
680,ehemalig::A,раздӕры,sobiq
681,alt[Lebewesen]::A,ацӕргӕ,qari
682,jung::A,ӕрыгон,navqiron
683,arm::A,мӕгуыр,abgor
684,reich::A,хъӕздыг,boy
685,bekannt::A,зонгӕ,ma'lum
686,berühmt::A,номдзыд,mashhur
687,fremd::A,æцæгæлон,yot
688,verschieden::A,æндæр æмæ æндæр,turli
689,verschieden::A,алы,turli
690,verschieden::A,алыхуызон,turli
691,nah::A,хӕстӕг,yaqindagi
692,fern::A,дард,uzoq
693,fern::A,дӕрддаг,uzoq
694,linker::A,галиу,so'l
695,rechter::A,рахиз,o'ng
696,anderer::A,иннӕ,boshqa
697,anderer::A,ӕндӕр,boshqa
698,erster::A,фыццаг,birinchi
699,erster::A,фыццӕгӕм,birinchi
700,zweiter::A,дыккаг,ikkinchi
701,zweiter::A,дыккæгæм,ikkinchi
702,dritter::A,æртыккаг,uchinchi
703,dritter::A,æртыккæгæм,uchinchi
704,letzter::A,фӕстаг,oxirgi
705,allein::ADV,иунæг,o'zicha
706,auf einmal::ADV,уайтагъд,varakay
707,auf einmal::ADV,æвиппайды,varakay
708,auf einmal::ADV,æваст,varakay
709,zusammen::ADV,иумӕ,barobar
710,lange::ADV,бирæ рæстæг,uzoq
711,plötzlich::ADV,æвиппайды,qo'qqisdan
712,plötzlich::ADV,æваст,qo'qqisdan
713,sofort::ADV,уыцы сахат,darrov
714,sofort::ADV,уайтагъд,darrov
715,später::ADV,фæстæдæр,so'ngra
716,jetzt::ADV,ныр,hozirgina
717,heute::ADV,абон,bugun
718,morgen::ADV,райсом,ärta
719,bald::ADV,тагъд,toz
720,bald::ADV,рæхджы,toz
721,dann::ADV,стæй,keyin
722,gestern::ADV,знон,kecha
723,einst::ADV,кӕддӕр,avvallari
724,damals::ADV,уæд,ugal
725,danach::ADV,стæй,so'ngra
726,danach::ADV,уый фæстæ,so'ngra
727,vorher::ADV,раздæр,avval
728,zuerst::ADV,фыццаг,avval
729,einmal::ADV,иу хатт,bir marta
730,manchmal::ADV,хатт,onda-sonda
731,oft::ADV,арæх,tez-tez
732,immer::ADV,ӕдзух,har vaqt
733,niemals::ADV,никуы,hargiz
734,niemals::ADV,никæд,hargiz
735,hier::ADV,ам,shu erda
