,Concept_ID,et,cv
236,Mädchen::N,tüdruk,хӗр ача
237,Familie::N,perekond,ҫемье
238,Familie::N,perekond,кил-йыш
239,Großvater::N,vanaisa,кукаҫи
240,Großmutter::N,vanaema,кукамай
241,Eltern::N,vanemad,аҫа-ама
242,Vater::N,isa,атте
243,Mutter::N,ema,анне
244,Sohn::N,poeg,ывӑл
245,Tochter::N,tütar,хӗр
246,Bruder::N,vend,ар тӑван
247,Schwester::N,õde,аппа
248,Schwester::N,õde,йӑмӑк
249,Onkel::N,onu,мучи
250,Onkel::N,onu,пичче
251,Tante::N,tädi,аппа
252,Ehemann::N,mees,упӑшка
253,Ehemann::N,abikaasa,упӑшка
254,Ehefrau::N,naine,арӑм
255,Ehefrau::N,abikaasa,арӑм
256,Freude::N,rõõm,савӑнӑҫ
257,Freude::N,rõõm,хаваслӑх
258,Gelächter::N,naer,кулӑ
259,Glück::N,õnn,телей
260,Glück::N,õnn,ӑраскал
261,Kummer::N,mure,хурлӑх
262,Kummer::N,kurbus,хурлӑх
263,Wunsch::N,soov,ӗмӗт
264,Wunsch::N,soov,кӑмӑл
265,Lust::N,himu,кӑмӑл
266,Geist::N,vaim,чун-чӗм
267,Geist::N,vaim,ыр-усал
268,Geist::N,vaim,чун хавалӗ
269,Gedanke::N,mõte,шухӑш
270,Gedächtnis::N,mälu,ас
271,Verstand::N,aru,ӑс
272,Verstand::N,aru,ӑс-тӑн
273,Verstand::N,aru,ӑс-хакӑл
274,Verstand::N,mõistus,ӑс
275,Verstand::N,mõistus,ӑс-тӑн
276,Verstand::N,mõistus,ӑс-хакӑл
277,Sinn::N,tähendus,тупсӑм
278,Sinn::N,tähendus,пӗлтерӗш
279,Grund::N,põhjus,сӑлтав
280,Wahrheit::N,tõde,чӑнлӑх
281,Gespräch::N,kõne,калаҫу
282,Gespräch::N,vestlus,калаҫу
283,Märchen::N,muinasjutt,юмах
284,Erzählung::N,jutustus,акалав
285,Erzählung::N,jutustus,каласа пани
286,Nachricht::N,teade,хыпар
287,Neuigkeit::N,uudis,ҫӗнӗ хыпар
288,Name::N,nimi,ят
289,Rätsel::N,mõistatus,сутмалли юмах
290,Rede::N,kõne,сӑмах
291,Sprache::N,keel,чӗлхе
292,Stimme::N,hääl,сасӑ
293,Wort::N,sõna,сӑмах
294,Zeichen::N,märk,паллӑ
295,Ruf::N,hüüe,йыхрав
296,Ruf::N,hüüe,чӗнӳ
297,Lärm::N,müra,шав
298,Laut::N,hääl,сасӑ
299,Ton::N,toon,сасӑ
300,Lied::N,laul,юрӑ
301,Ruhe::N,rahu,канӑҫлӑх
302,Ruhe::N,rahu,лӑпкӑлӑх
303,Ruhe::N,vaikus,канӑҫлӑх
304,Ruhe::N,vaikus,лӑпкӑлӑх
305,Leute::N,inimesed,ҫамрӑксем
306,Leute::N,inimesed,ҫамрӑк ҫынсем
307,Volk::N,rahvas,халӑх
308,Arbeit::N,töö,ӗҫхӗл
309,Arbeit::N,töö,ӗҫлев
310,Gast::N,külaline,хӑна
311,Geschenk::N,kingitus,парне
312,Geschenk::N,kingitus,кучченеҫ
313,Spiel::N,mäng,вӑйӑ
314,Gesellschaft::N,selts,общество
315,Hilfe::N,abi,пулӑшу
316,Freund::N,sõber,тус
317,Kamerad::N,sõber,юлташ
318,Kamerad::N,sõber,тус
319,Angelegenheit::N,asi,ӗҫ
320,Anzahl::N,arv,йыш
321,Anzahl::N,arv,хисеп
322,Anzahl::N,hulk,йыш
323,Anzahl::N,hulk,хисеп
324,Art::N,liik,тӗс
325,Stück::N,tükk,татӑк
326,Teil::N,osa,пай
327,Hälfte::N,pool,ҫурӑ
328,Kreis::N,ring,ункӑ
329,Kreis::N,ring,ҫавракӑш
330,Kreuz::N,rist,хӗрес
331,Linie::N,joon,йӗр
332,Strich::N,joon,йӗр
333,Abstand::N,vahe,хушӑ
334,Entfernung::N,kaugus,хушӑ
335,Entfernung::N,vahemaa,хушӑ
336,Gegend::N,ümbrus,вырӑн
337,Platz::N,ruum,хутлӑх
338,Ort::N,paik,вырӑн
339,Seite::N,pool,ен
340,Seite::N,pool,аяк
341,Seite::N,pool,айӑк
342,Mitte::N,keskpaik,варӑ
343,Gegenstand::N,ese,япала
344,Sache::N,ese,япала
345,Rand::N,äär,вӗҫ
346,Rand::N,äär,хӗрӗ
347,Rand::N,äär,хӗрри
348,Rand::N,serv,вӗҫ
349,Rand::N,serv,хӗрӗ
350,Rand::N,serv,хӗрри
351,Kante::N,kant,хайкача
352,Kante::N,kant,хысак
353,Ecke::N,nurk,кӗтес
354,Spitze::N,teravik,вӗҫ
355,Ende::N,ots,вӗҫ
356,Ende::N,jupp,вӗҫ
357,Loch::N,auk,шӑтӑк
358,Winkel::N,nurk,кӗтес
359,Muster::N,muster,эреш
360,Größe::N,suurus,пысӑкӑш
361,Länge::N,pikkus,вӑрӑмӑш
362,Höhe::N,kõrgus,ҫӳллӗш
363,Gewicht::N,kaal,виҫе
364,Gewicht::N,kaal,йывӑрӑш
365,Gewicht::N,raskus,виҫе
366,Gewicht::N,raskus,йывӑрӑш
367,Menge::N,arv,йыш
368,Menge::N,hulk,йыш
369,Haufen::N,hunnik,купа
370,Reihe::N,rivi,рет
371,Boot::N,paat,кимӗ
372,Ruder::N,aer,кӗсмен
373,Schlitten::N,saan,ҫуна
374,Ski::N,suusk,йӗлтӗр
375,Lagerfeuer::N,lõke,вут
376,Lagerfeuer::N,lõke,кӑвайт
377,Last::N,koorem,сулмаклӑх
378,Last::N,koorem,йывӑр япала
379,Gang::N,käik,куҫӑм
380,Schritt::N,samm,утӑм
381,Schritt::N,samm,пусӑм
382,Norden::N,põhi,ҫурҫӗр
383,Süden::N,lõuna,кӑнтӑр
384,Westen::N,lääs,анӑҫ
385,Westen::N,lääs,хӗвел анӑҫ
386,Osten::N,ida,хӗвел тухӑҫ
387,Holz::N,puu,йывӑҫ
388,Brett::N,saelaud,хӑма
389,Platte::N,plaat,плита
390,Stütze::N,tugi,ура
391,Stange::N,latt,шерте
392,Stange::N,teivas,шерте
393,Stock::N,kepp,патак
394,Stab::N,varras,шӑчӑ
395,Rohr::N,toru,пӑрӑх
396,Haus::N,maja,ҫурт
397,Heim::N,kodu,кил
398,Ofen::N,ahi,кӑмака
399,Fußboden::N,põrand,урай
400,Tisch::N,laud,сӗтел
401,Stuhl::N,tool,пукан
402,Wiege::N,häll,сӑпка
403,Wiege::N,kätki,сӑпка
404,Bett::N,voodi,кравать
405,Regal::N,riiul,ҫӳлӗк
406,Regal::N,riiul,сентре
407,Kiste::N,kast,ещӗк
408,Kiste::N,kast,сунтӑх
409,Fenster::N,aken,чӳрече
410,Tür::N,uks,алӑк
411,Tor::N,värav,хапха
412,Zaun::N,aed,хӳме
413,Zaun::N,tara,хӳме
414,Dach::N,katus,тӑрӑ
415,Leiter::N,redel,пусма
416,Besen::N,luud,шӑпӑр
417,Spaten::N,labidas,кӗреҫе
418,Schaufel::N,kühvel,кӗреҫе
419,Gabel::N,kahvel,вилка
420,Löffel::N,lusikas,кашӑк
421,Messer::N,nuga,ҫӗҫӗ
422,Nagel::N,nael,пӑта
423,Netz::N,võrk,тетел
424,Haken::N,haak,йӑрхах
425,Haken::N,haak,ҫекӗл
426,Haken::N,konks,йӑрхах
427,Haken::N,konks,ҫекӗл
428,Griff::N,sang,хӑлӑп
429,Griff::N,käepide,хӑлӑп
430,Schloss::N,lukk,ҫӑра
431,Bild::N,pilt,сӑн
432,Bild::N,pilt,сӑнлӑх
433,Bild::N,pilt,картина
434,Figur::N,kuju,кӗлетке
435,Figur::N,kujund,кӗлетке
436,Puppe::N,nukk,пукане
437,Beutel::N,paun,михӗ
438,Bündel::N,kimp,ҫыхӑ
439,Bündel::N,kimp,тӗрке
440,Tasche::N,kott,сумка
441,Eimer::N,pang,витре
442,Eimer::N,ämber,витре
443,Deckel::N,kaas,хупӑ
444,Geschirr::N,nõud,савӑт-сапа
445,Sack::N,kott,михӗ
446,Tasse::N,tass,курка
447,Topf::N,pada,кастрюль
448,Kessel::N,pada,хуран
449,Essen::N,söök,апат
450,Nahrung::N,toit,апат-ҫимӗс
451,Speise::N,roog,апат
452,Speise::N,roog,ҫимӗҫ
453,Fleisch::N,liha,аш
454,Fleisch::N,liha,какай
455,Getreide::N,teravili,тырӑ
456,Brei::N,puder,пӑтӑ
457,Brot::N,sai,ҫӑкӑр
458,Brot::N,leib,ҫӑкӑр
459,Scheibe::N,viil,чӗлӗ
460,Scheibe::N,viil,касӑк
461,Scheibe::N,viilukas,чӗлӗ
462,Scheibe::N,viilukas,касӑк
463,Fett::N,rasv,ҫу
464,Butter::N,või,ҫу
465,Öl::N,õli,ҫу
466,Salz::N,sool,тӑвар
467,Suppe::N,supp,яшка
468,Honig::N,mesi,пыл
469,Milch::N,piim,сӗт
470,Tee::N,tee,чей
471,Leder::N,nahk,сӑран
472,Wolle::N,vill,ҫӑм
473,Stoff::N,kangas,тӗртӗм
474,Nadel::N,nõel,йӗп
475,Faden::N,niit,ҫип
476,Knopf::N,nööp,тӳме
477,Knoten::N,sõlm,йӑлӑ
478,Farbe::N,värv,сӑрӑ
479,Kleidung::N,riided,тум
480,Kleidung::N,riided,ҫипуҫ
481,Kleidung::N,riided,тум-тир
482,Kleidung::N,riietus,тум
483,Kleidung::N,riietus,ҫипуҫ
484,Kleidung::N,riietus,тум-тир
485,Hemd::N,särk,кӗпе
486,Kragen::N,krae,ҫуха
487,Ärmel::N,varrukas,ҫанӑ
488,Hose::N,püksid,шӑлавар
489,Gürtel::N,vöö,пиҫиххи
490,Mütze::N,müts,ҫӗлӗк
491,Schuh::N,king,пушмак
492,Schuh::N,king,ботинок
493,Stiefel::N,saabas,атӑ
494,Ring::N,sõrmus,ҫӗрӗ
495,Band::N,lint,хаю
496,Band::N,lint,йӗсме
497,Kamm::N,kamm,тура
498,Spiegel::N,peegel,тӗкӗр
499,Spiegel::N,peegel,куҫ кӗски
500,Riemen::N,rihm,чӗн
501,Schnur::N,nöör,кантра
502,Leine::N,jalutusrihm,касмӑк
503,Decke::N,tekk,утиял
504,Kissen::N,padi,ҫытар
505,Kissen::N,padi,минтер
506,Tuch::N,kalev,тутӑр
507,Handtuch::N,käterätik,ал шӑлли
508,Kraft::N,jõud,вӑй
509,Kraft::N,jõud,хӑват
510,Stärke::N,tugevus,хал
511,Stärke::N,tugevus,хӑват
512,Gesundheit::N,tervis,хал
513,Gesundheit::N,tervis,сывлӑх
514,Krankheit::N,haigus,чир
515,Schmerz::N,valu,ырату
516,Wunde::N,haav,суран
517,Fieber::N,palavik,сив чир
518,Arznei::N,ravim,эмел
519,Brücke::N,sild,кӗпер
520,Brunnen::N,kaev,ҫӑл
521,Brunnen::N,kaev,пусӑ
522,Weide::N,karjamaa,ҫаран
523,Pfad::N,rada,йӗр
524,Pfad::N,rada,сукмак
525,Weg::N,tee,ҫул
526,Weg::N,tee,ҫул-йӗр
527,Straße::N,tee,ҫӳрев
528,Straße::N,tee,ҫул ҫӳрени
529,Dorf::N,küla,ял
530,Stadt::N,linn,хула
531,Brief::N,kiri,ҫыру
532,Buch::N,raamat,кӗнеке
533,Buchstabe::N,täht,сас палли
534,Zeitung::N,ajaleht,хаҫат
535,Leben::N,elu,пурнӑҫ
536,Tod::N,surm,вилӗм
537,Grab::N,haud,масар шӑтӑкӗ
538,Kirche::N,kirik,чиркӳ
539,Sünde::N,patt,ҫылӑх
540,Gott::N,jumal,турӑ
541,Arbeiter::N,tööline,рабочи
542,Chef::N,ülemus,пуҫлӑх
543,Chef::N,juhataja,пуҫлӑх
544,Meister::N,meister,ӑста
545,Meister::N,meister,мастер
546,Arzt::N,arst,врач
547,Arzt::N,arst,тухтӑр
548,Lehrer::N,õpetaja,учитель
549,Lehrer::N,õpetaja,вӗрентекен
550,Geld::N,raha,укҫа
551,Geschäft::N,äri,бизнес
552,Laden::N,pood,магазин
553,Laden::N,kauplus,магазин
554,Preis::N,hind,хак
555,Ware::N,kaup,тавар
556,Nutzen::N,tulu,пайта
557,Nutzen::N,kasulikkus,пайта
558,Reichtum::N,rikkus,мул
559,Welt::N,maailm,тӗнче
560,Land::N,maa,ҫӗр-шыв
561,Staat::N,riik,патшàлӑх
562,König::N,kuningas,король
563,Macht::N,võim,власть
564,Grenze::N,piir,чикӗ
565,Krieg::N,sõda,вӑрҫӑ
566,Feind::N,vaenlane,тӑшман
567,Gewalt::N,väevõim,ирӗксӗрлӳ
568,Kampf::N,võitlus,кӗрешӳ
569,Bogen[Waffe]::N,vibu,ухӑ
570,Pfeil::N,nool,ҫӗмрен
571,Pfeil::N,nool,ухӑ йӗппи
572,Gewehr::N,püss,пӑшал
573,Fehler::N,viga,йӑнӑш
574,Lüge::N,vale,суя
575,Lüge::N,vale,ултав
576,Schaden::N,kahju,сиен
577,Unglück::N,häda,шар
578,Unglück::N,häda,инкек
579,Unglück::N,õnnetus,шар
580,Unglück::N,õnnetus,инкек
581,Schuld::N,süü,айӑп
582,Alter::N,iga,ҫул шучӗ
583,Schluss::N,lõpp,пӗтни
584,Schluss::N,lõpp,пӗтмӗш
585,Zeit::N,aeg,вӑхӑт
586,Tag::N,päev,кун
587,Morgen::N,hommik,ир
588,Mittag::N,lõuna,кӑнтӑрла
589,Mittag::N,keskpäev,кӑнтӑрла
590,Abend::N,õhtu,каҫ
591,Nacht::N,öö,каҫ
592,Woche::N,nädal,эрне
593,Monat::N,kuu,уйӑх
594,Jahr::N,aasta,ҫулталӑк
595,Frühling::N,kevad,ҫур
596,Frühling::N,kevad,ҫуркунне
597,Sommer::N,suvi,ҫу
598,Sommer::N,suvi,ҫулла
599,Herbst::N,sügis,кӗр
600,Herbst::N,sügis,кӗркунне
601,Winter::N,talv,хӗл
602,Winter::N,talv,хӗлле
603,Januar::N,jaanuar,январь
604,Februar::N,veebruar,февраль
605,Februar::N,veebruar,кӗҫӗн кӑрлач
606,März::N,märts,март
607,März::N,märts,пуш уйӑхӗ
608,April::N,aprill,апрель
609,Mai::N,mai,май
610,Juni::N,juuni,июнь
611,Juli::N,juuli,июль
612,August::N,august,август
613,September::N,september,сентябрь
614,September::N,september,авӑн уйӑхӗ
615,Oktober::N,oktoober,октябрь
616,November::N,november,ноябрь
617,Dezember::N,detsember,раштав
618,Dezember::N,detsember,декабрь
619,Montag::N,esmaspäev,тунти кун
620,Dienstag::N,teisipäev,ытлари кун
621,Mittwoch::N,kesknädal,юн кун
622,Donnerstag::N,neljapäev,кӗҫнерни кун
623,Freitag::N,reede,эрне кун
624,Samstag::N,laupäev,шӑмат кун
625,Sonntag::N,pühapäev,вырсарни кун
626,groß::A,suur,пысӑк
627,klein::A,väike,пӗчӗк
628,klein::A,pisike,пӗчӗк
629,lang::A,pikk,вӑрӑм
630,kurz::A,lühike,кӗске
631,breit::A,lai,сарлака
632,schmal::A,kitsas,ансӑр
633,dicht::A,tihe,йӑвӑ
634,dick[Gegenstand]::A,jäme,хулӑн
635,dünn::A,õhuke,ҫинҫе
636,dünn::A,õhuke,ҫӳхе
637,dünn::A,peenike,ҫинҫе
638,dünn::A,peenike,ҫӳхе
639,fein::A,peen,тарай
640,fein::A,peen,вӗлтӗрти
641,fein::A,õhuke,тарай
642,fein::A,õhuke,вӗлтӗрти
643,fest::A,püsiv,тӗреклӗ
644,fest::A,kindel,тӗреклӗ
645,flach::A,lame,лаптак
646,flach::A,tasane,лаптак
647,glatt::A,sile,такӑр
648,hart::A,kõva,хытӑ
649,weich::A,pehme,ҫемҫе
650,rund::A,ümar,ҫавра
651,spitz::A,torkav,шӗвӗр
652,scharf::A,terav,ҫивӗч
653,stumpf::A,nüri,мӑка
654,stumpf::A,nüri,пуклак
655,stumpf::A,nüri,тӗрӗнчӗк
656,stumpf::A,nüri,ӑнкарусӑр
657,schwer::A,raske,йывӑр
658,schön::A,kena,илемлӗ
659,heiß::A,kuum,вӗри
660,heiß::A,palav,вӗри
661,warm::A,soe,ӑшӑ
662,kalt::A,külm,сивӗ
663,kühl::A,jahe,уҫӑ
664,frisch::A,värske,уҫӑ
665,feucht::A,niiske,йӗпе
666,nass::A,märg,нӳрӗ
667,trocken::A,kuiv,типӗ
668,voll::A,täis,тулли
669,leer::A,tühi,пушӑ
670,offen::A,avatud,уҫӑ
671,offen::A,lahtine,уҫӑ
672,geschlossen::A,suletud,хупӑ
673,sauber::A,puhas,таса
674,schmutzig::A,räpane,пылчӑклӑ
675,schmutzig::A,räpane,вараланчӑк
676,schmutzig::A,määrdunud,пылчӑклӑ
677,schmutzig::A,määrdunud,вараланчӑк
678,roh::A,toores,чӗрӗ
679,reif::A,küps,пулнӑ
680,reif::A,küps,пиҫӗхнӗ
681,reif::A,küps,аталаннӑ
682,reif::A,küps,пиҫсе ҫитнӗ
683,lecker::A,hõrk,тутлӑ
684,lecker::A,hõrk,техӗмлӗ
685,lecker::A,maitsev,тутлӑ
686,lecker::A,maitsev,техӗмлӗ
687,süß::A,magus,пылак
688,bitter::A,mõru,йӳҫӗ
689,sauer::A,hapu,йӳҫӗ
690,sauer::A,hapu,йӳҫек
691,sauer::A,hapu,кӑвасак
692,hell::A,hele,ҫутӑ
693,dunkel::A,pime,тӗттӗм
694,schwarz::A,must,хура
695,weiß::A,valge,шурӑ
696,rot::A,punane,хӗрлӗ
697,gelb::A,kollane,сарӑ
698,blau::A,sinine,кӑвак
699,grün::A,roheline,симӗс
700,grün::A,roheline,пиҫмен
701,grün::A,roheline,ӑс пухман
702,grau::A,hall,кӑвак
703,bunt::A,kirju,чӑпар
704,bunt::A,värviline,чӑпар
705,billig::A,odav,йӳнӗ
706,teuer::A,kallis,хаклӑ
707,wertvoll::A,väärtuslik,паха
708,blind::A,pime,суккӑр
709,taub::A,kurt,хӑлхасӑр
710,kräftig::A,jõuline,хӑватлӑ
711,stark::A,tugev,вирлӗ
712,schwach::A,nõrk,халсӑр
713,schwach::A,jõuetu,халсӑр
714,fett::A,rasvane,самӑр
715,fett::A,rasvane,мӑнтӑр
716,schlank::A,sale,йӑрӑс
717,schlank::A,sale,яштака
718,hübsch::A,kena,хитре
719,böse::A,tige,усал
720,dumm::A,juhm,ухмах
721,dumm::A,rumal,ухмах
722,faul::A,laisk,наян
723,faul::A,laisk,юлхав
724,faul::A,laisk,ӳркенчӗк
725,fleißig::A,virk,хастар
726,fleißig::A,hoolas,хастар
727,geizig::A,ihne,хытӑ
728,klug::A,tark,ӑслӑ
729,klug::A,arukas,ӑслӑ
730,klug::A,mõistlik,ӑслӑ
731,geschickt::A,osav,ӑста
732,lieb::A,armas,савнӑ
733,lustig::A,lõbus,хаваслӑ
734,sanft::A,õrn,ачаш
735,hungrig::A,näljane,выҫӑ
736,krank::A,haige,чирлӗ
737,nackt::A,alasti,ҫара
738,traurig::A,kurb,салхуллӑ
739,lebendig::A,elus,чӗрӗ
740,gut::A,hea,аван
