,Concept_ID,uk,nl
396,Griff::N,ручка,handvat
397,Griff::N,держак,handvat
398,Schloss::N,замок,slot
399,Bild::N,картина,beeld
400,Figur::N,фігура,figuur
401,Puppe::N,лялька,pop
402,Beutel::N,мішечок,zak
403,Beutel::N,мішечок,buidel
404,Beutel::N,торбинка,zak
405,Beutel::N,торбинка,buidel
406,Bündel::N,в’язка,pak
407,Bündel::N,в’язка,bundel
408,Tasche::N,сумка,tas
409,Eimer::N,відро,emmer
410,Deckel::N,кришка,deksel
411,Geschirr::N,посуд,vaatwerk
412,Sack::N,мішок,zak
413,Tasse::N,чашка,kop
414,Topf::N,горщик,pan
415,Kessel::N,котел,ketel
416,Essen::N,їжа,eten
417,Nahrung::N,харч,voedsel
418,Speise::N,страва,spijs
419,Fleisch::N,м’ясо,vlees
420,Getreide::N,хліб,graan
421,Getreide::N,збіжжя,graan
422,Brei::N,каша,pap
423,Brei::N,каша,brij
424,Brot::N,хліб,brood
425,Scheibe::N,скибочка,plak
426,Scheibe::N,скибочка,snede
427,Fett::N,жир,vet
428,Butter::N,масло,boter
429,Öl::N,олія,olie
430,Salz::N,сіль,zout
431,Suppe::N,суп,soep
432,Honig::N,мед,honing
433,Milch::N,молоко,melk
434,Tee::N,чай,thee
435,Leder::N,шкіра,leer
436,Leder::N,шкіра,leder
437,Wolle::N,шерсть,wol
438,Stoff::N,тканина,stof
439,Nadel::N,голка,naald
440,Faden::N,нитка,draad
441,Knopf::N,ґудзик,knoop
442,Knoten::N,вузол,knoop
443,Farbe::N,фарба,verf
444,Kleidung::N,одяг,kledij
445,Kleidung::N,одяг,kleding
446,Kleidung::N,убрання,kledij
447,Kleidung::N,убрання,kleding
448,Hemd::N,сорочка,hemd
449,Kragen::N,комір,kraag
450,Ärmel::N,рукав,mouw
451,Hose::N,брюки,broek
452,Hose::N,брюки,pantalon
453,Gürtel::N,пояс,riem
454,Gürtel::N,пояс,gordel
455,Mütze::N,шапка,muts
456,Schuh::N,ботинок,schoen
457,Stiefel::N,чобіт,laars
458,Ring::N,кільце,ring
459,Band::N,стрічка,lint
460,Kamm::N,гребінець,kam
461,Spiegel::N,дзеркало,spiegel
462,Riemen::N,ремінь,riem
463,Schnur::N,вірьовка,koord
464,Leine::N,шворка,lijn
465,Decke::N,ковдра,deken
466,Kissen::N,подушка,kussen
467,Tuch::N,хустка,doek
468,Handtuch::N,рушник,handdoek
469,Kraft::N,сила,kracht
470,Stärke::N,сила,sterkte
471,Gesundheit::N,здоров’я,gezondheid
472,Krankheit::N,хвороба,ziekte
473,Schmerz::N,біль,pijn
474,Wunde::N,рана,wond
475,Fieber::N,гарячка,koorts
476,Arznei::N,ліки,medicament
477,Arznei::N,ліки,geneesmiddel
478,Brücke::N,міст,brug
479,Brunnen::N,колодязь,put
480,Brunnen::N,колодязь,bron
481,Weide::N,пасовище,wei
482,Weide::N,пасовище,weide
483,Pfad::N,стежка,pad
484,Weg::N,шлях,weg
485,Weg::N,дорога,weg
486,Straße::N,вулиця,baan
487,Straße::N,вулиця,straat
488,Dorf::N,село,dorp
489,Stadt::N,місто,stad
490,Brief::N,лист,brief
491,Buch::N,книга,boek
492,Buch::N,книжка,boek
493,Buchstabe::N,буква,letter
494,Buchstabe::N,літера,letter
495,Zeitung::N,газета,krant
496,Zeitung::N,газета,dagblad
497,Leben::N,життя,leven
498,Tod::N,смерть,dood
499,Grab::N,могила,graf
500,Kirche::N,церква,kerk
501,Sünde::N,гріх,zonde
502,Gott::N,бог,god
503,Arbeiter::N,робітник,arbeider
504,Chef::N,хазяїн,chef
505,Meister::N,умілець,meester
506,Arzt::N,лікар,arts
507,Arzt::N,лікар,dokter
508,Lehrer::N,вчитель,leraar
509,Lehrer::N,вчитель,onderwijzer
510,Geld::N,гроші,geld
511,Geschäft::N,заняття,zaak
512,Laden::N,магазин,winkel
513,Laden::N,крамниця,winkel
514,Preis::N,ціна,prijs
515,Ware::N,товар,waar
516,Nutzen::N,вигода,nut
517,Nutzen::N,вигода,voordeel
518,Nutzen::N,користь,nut
519,Nutzen::N,користь,voordeel
520,Reichtum::N,багатство,rijkdom
521,Welt::N,світ,wereld
522,Land::N,країна,land
523,Staat::N,держава,staat
524,König::N,король,koning
525,Macht::N,влада,macht
526,Grenze::N,кордон,grens
527,Krieg::N,війна,oorlog
528,Feind::N,ворог,vijand
529,Gewalt::N,насильство,geweld
530,Kampf::N,бій,strijd
531,Kampf::N,бій,gevecht
532,Kampf::N,боротьба,strijd
533,Kampf::N,боротьба,gevecht
534,Bogen[Waffe]::N,лук,boog
535,Pfeil::N,стріла,pijl
536,Gewehr::N,рушниця,geweer
537,Gewehr::N,гвинтівка,geweer
538,Fehler::N,помилка,fout
539,Lüge::N,брехня,leugen
540,Schaden::N,шкода,schade
541,Schaden::N,збиток,schade
542,Unglück::N,нещастя,tegenspoed
543,Schuld::N,провина,schuld
544,Alter::N,вік,leeftijd
545,Alter::N,літа,leeftijd
546,Schluss::N,кінець,slot
547,Zeit::N,час,tijd
548,Tag::N,день,dag
549,Morgen::N,ранок,morgen
550,Morgen::N,ранок,ochtend
551,Mittag::N,південь,middag
552,Abend::N,вечір,avond
553,Nacht::N,ніч,nacht
554,Woche::N,тиждень,week
555,Monat::N,місяць,maand
556,Jahr::N,рік,jaar
557,Frühling::N,весна,lente
558,Frühling::N,весна,voorjaar
559,Sommer::N,літо,zomer
560,Herbst::N,осінь,herfst
561,Winter::N,зима,winter
562,Januar::N,січень,januari
563,Februar::N,лютий,februari
564,März::N,березень,maart
565,April::N,квітень,april
566,Mai::N,травень,mei
567,Juni::N,червень,juni
568,Juli::N,липень,juli
569,August::N,серпень,augustus
570,September::N,вересень,september
571,Oktober::N,жовтень,oktober
572,November::N,листопад,november
573,Dezember::N,грудень,december
574,Montag::N,понеділок,maandag
575,Dienstag::N,вівторок,dinsdag
576,Mittwoch::N,середа,woensdag
577,Donnerstag::N,четвер,donderdag
578,Freitag::N,п’ятниця,vrijdag
579,Samstag::N,субота,zaterdag
580,Sonntag::N,неділя,zondag
581,groß::A,великий,groot
582,klein::A,малий,klein
583,klein::A,маленький,klein
584,lang::A,довгий,lang
585,kurz::A,короткий,kort
586,breit::A,широкий,breed
587,schmal::A,вузький,smal
588,dicht::A,густий,dicht
589,dick[Gegenstand]::A,товстий,dik
590,dünn::A,тонкий,dun
591,fein::A,дрібний,fijn
592,fest::A,міцний,vast
593,flach::A,плоский,plat
594,glatt::A,рівний,glad
595,glatt::A,гладенький,glad
596,hart::A,твердий,hard
597,weich::A,м’який,week
598,rund::A,круглий,rond
599,spitz::A,гострокінцевий,spits
600,spitz::A,гострокінцевий,puntig
601,scharf::A,гострий,scherp
602,stumpf::A,тупий,stomp
603,schwer::A,важкий,zwaar
604,schön::A,вродливий,mooi
605,schön::A,вродливий,fraai
606,heiß::A,жаркий,heet
607,heiß::A,гарячий,heet
608,warm::A,теплий,warm
609,kalt::A,холодний,koud
610,kühl::A,прохолодний,koel
611,frisch::A,свіжий,fris
612,feucht::A,вогкий,vochtig
613,nass::A,мокрий,nat
614,trocken::A,сухий,droog
615,voll::A,повний,vol
616,leer::A,пустий,leeg
617,offen::A,відкритий,open
618,geschlossen::A,закритий,gesloten
619,geschlossen::A,зачинений,gesloten
620,sauber::A,чистий,net
621,sauber::A,чистий,schoon
622,sauber::A,охайний,net
623,sauber::A,охайний,schoon
624,schmutzig::A,брудний,vuil
625,roh::A,сирий,rauw
626,reif::A,зрілий,rijp
627,lecker::A,смачний,lekker
628,süß::A,солодкий,zoet
629,bitter::A,гіркий,bitter
630,sauer::A,кислий,zuur
631,hell::A,світлий,licht
632,hell::A,світлий,helder
633,dunkel::A,темний,donker
634,schwarz::A,чорний,zwart
635,weiß::A,сивий,wit
636,rot::A,червоний,rood
637,gelb::A,жовтий,geel
638,blau::A,синій,blauw
639,grün::A,зелений,groen
640,grau::A,сірий,grijs
641,bunt::A,барвистий,bont
642,billig::A,дешевий,goedkoop
643,teuer::A,дорогий,duur
644,wertvoll::A,цінний,kostbaar
645,wertvoll::A,цінний,waardevol
646,blind::A,сліпий,blind
647,taub::A,глухий,doof
648,kräftig::A,могутній,krachtig
649,stark::A,сильний,sterk
650,schwach::A,слабкий,zwak
651,fett::A,жирний,vet
652,fett::A,товстий,vet
653,schlank::A,тонкий,slank
654,schlank::A,стрункий,slank
655,hübsch::A,чарівний,leuk
656,böse::A,злий,kwaad
657,böse::A,лихий,kwaad
658,dumm::A,дурний,dom
659,faul::A,ледачий,lui
660,fleißig::A,старанний,vlijtig
661,geizig::A,скупий,gierig
662,klug::A,мудрий,slim
663,klug::A,мудрий,schrander
664,klug::A,мудрий,verstandig
665,klug::A,розумний,slim
666,klug::A,розумний,schrander
667,klug::A,розумний,verstandig
668,geschickt::A,умілий,handig
669,geschickt::A,умілий,vaardig
670,lieb::A,милий,lief
671,lustig::A,веселий,vrolijk
672,sanft::A,лагідний,zacht
673,hungrig::A,голодний,hongerig
674,krank::A,слабий,ziek
675,nackt::A,голий,naakt
676,traurig::A,сумний,treurig
677,traurig::A,сумний,bedroefd
678,lebendig::A,живий,levend
679,gut::A,добрий,goed
680,schlecht::A,поганий,slecht
681,schlecht::A,кепський,slecht
682,richtig::A,правильний,juist
683,schlimm::A,бридкий,erg
684,schlimm::A,бридкий,kwaad
685,wahr::A,справжній,waar
686,alt::A,старий,oud
687,neu::A,новий,nieuw
688,ehemalig::A,колишній,voormalig
689,alt[Lebewesen]::A,старий,oud
690,jung::A,молодий,jong
691,arm::A,бідний,arm
692,reich::A,багатий,rijk
693,bekannt::A,знайомий,bekend
694,berühmt::A,славетний,beroemd
695,fremd::A,чужий,vreemd
696,verschieden::A,різний,verscheiden
697,verschieden::A,різний,verschillend
698,nah::A,близький,nabij
699,nah::A,близький,nabijgelegen
700,fern::A,далекий,ver
701,linker::A,лівий,linker
702,rechter::A,правий,rechter
703,anderer::A,інакший,andere
704,erster::A,перший,eerste
705,zweiter::A,другий,tweede
706,dritter::A,третій,derde
707,letzter::A,останній,laatste
708,allein::ADV,сам,alleen
709,allein::ADV,один,alleen
710,auf einmal::ADV,відразу,ineens
711,auf einmal::ADV,відразу,tegelijk
712,zusammen::ADV,разом,samen
713,zusammen::ADV,разом,bijeen
714,zusammen::ADV,спільно,samen
715,zusammen::ADV,спільно,bijeen
716,lange::ADV,довго,lang
717,plötzlich::ADV,раптом,eensklaps
718,plötzlich::ADV,раптом,plotsklaps
719,sofort::ADV,зараз,terstond
720,sofort::ADV,зараз,aanstonds
721,sofort::ADV,зараз,onmiddelijk
722,später::ADV,пізніше,later
723,jetzt::ADV,тепер,nu
724,jetzt::ADV,тепер,nou
725,jetzt::ADV,тепер,thans
726,heute::ADV,сьогодні,heden
727,heute::ADV,сьогодні,vandaag
728,morgen::ADV,завтра,morgen
729,bald::ADV,незабаром,gauw
730,bald::ADV,незабаром,weldra
731,dann::ADV,потім,dan
732,dann::ADV,потім,toen
733,gestern::ADV,вчора,gisteren
734,einst::ADV,колись,eens
735,damals::ADV,тоді,toen
736,damals::ADV,тоді,destijds
737,danach::ADV,згодом,daarna
738,vorher::ADV,раніше,vooraf
739,vorher::ADV,раніше,van tevoren
740,zuerst::ADV,спершу,eerst
741,zuerst::ADV,спершу,het eerst
742,zuerst::ADV,спочатку,eerst
743,zuerst::ADV,спочатку,het eerst
744,einmal::ADV,один раз,eens
745,einmal::ADV,один раз,eenmaal
746,manchmal::ADV,іноді,soms
747,manchmal::ADV,інколи,soms
748,oft::ADV,часто,vaak
749,oft::ADV,часто,dikwijls
750,immer::ADV,завжди,altijd
751,niemals::ADV,ніколи,nooit
752,hier::ADV,тут,hier
753,hierhin::ADV,сюди,hierheen
754,von hier::ADV,звідси,van hier
755,von hier::ADV,звідси,hiervandaan
756,dort::ADV,там,daar
757,dort::ADV,там,ginds
758,dorthin::ADV,туди,daarheen
759,geradeaus::ADV,прямо,rechtuit
760,geradeaus::ADV,прямо,rechtdoor
761,vorwärts::ADV,вперед,vooruit
762,vorwärts::ADV,вперед,voorwaarts
763,rückwärts::ADV,назад,achteruit
764,rückwärts::ADV,назад,achterwaarts
765,zurück::ADV,назад,terug
766,unten::ADV,внизу,beneden
767,unten::ADV,внизу,onderaan
768,hinab::ADV,вниз,omlaag
769,hinab::ADV,вниз,naar beneden
770,oben::ADV,вгорі,boven
771,hinauf::ADV,вгору,omhoog
772,hinauf::ADV,вгору,naar boven
773,überall::ADV,скрізь,alom
774,überall::ADV,скрізь,overal
775,nicht::ADV,не,niet
776,ein wenig::ADV,трохи,wat
777,ein wenig::ADV,небагато,wat
778,kaum::ADV,ледве,amper
779,kaum::ADV,ледве,nauwelijks
780,sehr::ADV,дуже,erg
781,sehr::ADV,дуже,zeer
782,so::ADV,так,zo
783,noch::ADV,ще,nog
784,nur::ADV,лише,maar
785,nur::ADV,лише,alleen
786,nur::ADV,тільки,maar
787,nur::ADV,тільки,alleen
788,schon::ADV,вже,al
789,schon::ADV,вже,reeds
790,wieder::ADV,знову,weer
791,wieder::ADV,знову,terug
792,vergebens::ADV,дарма,vergeefs
793,vergebens::ADV,дарма,tevergeefs
794,vor::PRP,перед,voor
795,hinter::PRP,ззаду,achter
796,hinter::PRP,позаду,achter
