,Concept_ID,te,sl
128,Zweig::N,చివుకు,véja
129,Blatt::N,ఆకు,líst
130,Birke::N,తరహా చెట్టు,bréza
131,Kiefer[Baum]::N,దేవదారు చెట్టు,bòr
132,Weide[Baum]::N,జాతిచెట్టు,vŕba
133,Tanne::N,దేవదారుచెట్టు,hója
134,Horn::N,కొమ్ము,róg
135,Feder::N,ఈక,peró
136,Fell::N,తోలు,kŕzno
137,Flügel::N,ఱెక్క,krílo
138,Klaue::N,వంకరగోరు,párkelj
139,Kralle::N,వంకరగోరు,krémpelj
140,Schwanz::N,తోక,rèp
141,Ei::N,గ్రుడ్డు,jájce
142,Nest::N,పక్షిగూడు,gnézdo
143,Bau::N,గుహ,brlòg
144,Tier::N,జంతువు,živál
145,Herde::N,మంద,čréda
146,Kuh::N,ఆవు,kráva
147,Bulle::N,గిత్త,bìk
148,Pferd::N,గుఱ్ఱము,kònj
149,Schaf::N,గొఱ్ఱె,ôvca
150,Schwein::N,పంది,svínja
151,Hund::N,కుక్క,pès
152,Katze::N,పిల్లి,máčka
153,Bär::N,ఎలుగుబంటి,mêdved
154,Eichhörnchen::N,ఉడుత,véverica
155,Elch::N,కణంజు,lós
156,Fuchs::N,గుంటనక్క,lisíca
157,Hase::N,కుందేలు,zájec
158,Maus::N,చిట్టెలుక,mìš
159,Wolf::N,తోడేలు,vólk
160,Vogel::N,పక్షి,ptìč
161,Vogel::N,పక్షి,ptíca
162,Schwarm::N,గుంపు,játa
163,Huhn::N,కోడిపిల్ల,kokóš
164,Hahn::N,కోడివుంజు,petêlin
165,Gans::N,ఆడుబాతు,gós
166,Adler::N,గ్రద్ద,ôrel
167,Ente::N,పాట్టిబాతు,ráca
168,Eule::N,గ్రుడ్లగూబ,sôva
169,Kranich::N,కొంగ,žerjàv
170,Krähe::N,కాకి,vrána
171,Kuckuck::N,కోయల,kúkavica
172,Schwan::N,హంస,labód
173,Fisch::N,చేప,ríba
174,Barsch::N,ఒకచేఁప,ostríž
175,Hecht::N,గండుమీను,ščúka
176,Schlange[Tier]::N,పాము,káča
177,Wurm::N,పురుగు,čr̀v
178,Wurm::N,పురుగు,glísta
179,Spinne::N,సాలె పురుగు,pájek
180,Ameise::N,చీమ,mrávlja
181,Laus::N,పేను,úš
182,Mücke::N,చీకటీగ,komár
183,Fliege::N,ఈగ,múha
184,Schmetterling::N,సీతాకోకచిలుక,metúlj
185,Beere::N,కాయ,jágoda
186,Apfel::N,ఆపిల్ పండు,jábolko
187,Pilz::N,కుక్కగొడుగు,góba
188,Zwiebel::N,నీరుల్లి,čebúla
189,Saat::N,విత్తనము,séme
190,Korn::N,గింజ,zŕno
191,Heu::N,ఎండుగడ్డి,senó
192,Schale::N,పొట్టు,lupína
193,Grube::N,గొయ్యి,jáma
194,Falle::N,బోను,pást
195,Schlinge::N,ఉరి,zánka
196,Schlinge::N,ఉరి,pêtlja
197,Spur::N,జాడ,sléd
198,Asche::N,బూడిద,pepél
199,Dreck::N,ముఱికి,bláto
200,Eisen::N,ఇనుము,želézo
201,Gold::N,బంగారము,zlató
202,Silber::N,వెండి,srebró
203,Kohle::N,నేలబొగ్గు,ógel
204,Glas::N,గాజు,stêklo
205,Lehm::N,బంకమన్ను,ílo
206,Sand::N,ఇసుక,pések
207,Mensch::N,నరుడు,člôvek
208,Mann::N,పురుమడు,móž
209,Mann::N,పురుమడు,môški
210,Frau::N,ఆడుది,gospá
211,Frau::N,ఆడుది,žénska
212,Kind::N,బిడ్డ,déte
213,Kind::N,బిడ్డ,otròk
214,Junge::N,బాలుడు,fànt
215,Junge::N,బాలుడు,déček
216,Mädchen::N,బాలిక,deklè
217,Mädchen::N,బాలిక,déklica
218,Familie::N,కుటుంబము,družína
219,Großvater::N,తాత,dèd
220,Großvater::N,తాత,dédek
221,Großmutter::N,అయ్యమ్మ,bábica
222,Eltern::N,తల్లితండ్రులు,stárši
223,Vater::N,తండ్రి,ôče
224,Mutter::N,తల్లి,máma
225,Sohn::N,కొడుకు,sín
226,Tochter::N,కూతురు,hčí
227,Tochter::N,కూతురు,hčérka
228,Bruder::N,పోదరుడు,bràt
229,Schwester::N,సోదరి,sêstra
230,Onkel::N,మేనమామ,újec
231,Onkel::N,మేనమామ,stríc
232,Tante::N,మేనత్త,têta
233,Tante::N,మేనత్త,strína
234,Tante::N,పినతల్లి,têta
235,Tante::N,పినతల్లి,strína
236,Ehemann::N,భర్త,móž
237,Ehemann::N,భర్త,sopróg
238,Ehefrau::N,భార్య,žêna
239,Ehefrau::N,భార్య,sopróga
240,Freude::N,సంతోషము,rádost
241,Freude::N,సంతోషము,vesêlje
242,Gelächter::N,నవ్వు,sméh
243,Gelächter::N,నవ్వు,grohòt
244,Glück::N,సంతోషము,sréča
245,Kummer::N,దుఃఖము,gorjé
246,Wunsch::N,కోరిక,žêlja
247,Lust::N,కోరిక,poželênje
248,Geist::N,ఆత్మ,dúša
249,Gedanke::N,ఆలోచన,mísel
250,Gedächtnis::N,జ్ఞాపకము,pámet
251,Verstand::N,మనస్సు,
252,Sinn::N,అర్థము,pomèn
253,Sinn::N,అర్థము,smísel
254,Grund::N,కారణము,vzròk
255,Wahrheit::N,సత్యము,resníca
256,Gespräch::N,పంభాషణ,pogóvor
257,Märchen::N,అద్భుతకథ,právljica
258,Erzählung::N,కథ,povést
259,Nachricht::N,వార్త,sporočílo
260,Neuigkeit::N,వార్త,novóst
261,Name::N,పేరు,imé
262,Rätsel::N,చిక్కు,ugánka
263,Rede::N,ఉపన్యాసము,góvor
264,Sprache::N,భాష,jêzik
265,Stimme::N,కంరథ్సని,glás
266,Wort::N,మాట,beséda
267,Zeichen::N,గుర్తు,znák
268,Ruf::N,పిలువు,klíc
269,Lärm::N,సందడి,hrúp
270,Lärm::N,సందడి,trúšč
271,Laut::N,ధ్వని,glás
272,Ton::N,స్వరము,tón
273,Lied::N,పాట,pésem
274,Ruhe::N,గాలిలేమి,pokòj
275,Leute::N,జనులు,ljudjé
276,Volk::N,జాతి,národ
277,Arbeit::N,పని,délo
278,Gast::N,అతిధి,gòst
279,Geschenk::N,దానము,darílo
280,Spiel::N,ఆట,ígra
281,Gesellschaft::N,జట్టు,drúžba
282,Hilfe::N,సాహాయ్యము,pomóč
283,Freund::N,స్నేహితుడు,prijátelj
284,Kamerad::N,చెలికాడు,továriš
285,Angelegenheit::N,విషయము,zadéva
286,Anzahl::N,లెక్క,števílo
287,Art::N,జాతి,vŕsta
288,Stück::N,తునుక,kós
289,Teil::N,భాగము,dél
290,Hälfte::N,సగము,polovíca
291,Kreis::N,వృత్తము,króg
292,Kreis::N,వృత్తము,kolobár
293,Kreuz::N,సిలువ,kríž
294,Linie::N,గీత,próga
295,Strich::N,గీత,čŕta
296,Abstand::N,సందు,preslédek
297,Entfernung::N,దూరము,oddáljenost
298,Gegend::N,విస్తీర్ణము,kràj
299,Gegend::N,విస్తీర్ణము,dežêla
300,Platz::N,ఎడము,prôstor
301,Ort::N,స్థలము,mésto
302,Seite::N,ప్రక్క,bòk
303,Seite::N,ప్రక్క,strán
304,Mitte::N,నడిమి,sredína
305,Gegenstand::N,పద్దు,prédmet
306,Sache::N,వస్తువు,réč
307,Sache::N,వస్తువు,stvár
308,Rand::N,అంచు,kràj
309,Kante::N,అంచు,rób
310,Ecke::N,మూల,vogál
311,Spitze::N,మొన,óst
312,Ende::N,కొన,kônec
313,Loch::N,రంధ్రము,lúknja
314,Winkel::N,కోణము,kót
315,Muster::N,మాదిరి,vzórec
316,Größe::N,పరిమాణము,veličína
317,Länge::N,పొడుగు,dolžína
318,Höhe::N,పొడుగు,vršína
319,Gewicht::N,భారము,téža
320,Menge::N,మొత్తము,količína
321,Haufen::N,రాశి,kùp
322,Haufen::N,రాశి,kopíca
323,Reihe::N,వరుస,níz
324,Reihe::N,వరుస,vŕsta
325,Boot::N,పడవ,čóln
326,Ruder::N,అడక,vêslo
327,Schlitten::N,సరవండ్లు,saní
328,Ski::N,స్కీ,smučí
329,Lagerfeuer::N,నెగడు,táborni ôgenj
330,Last::N,బరువు,tôvor
331,Gang::N,నడక,hòd
332,Schritt::N,అడుగు,korák
333,Norden::N,ఉత్తరదిక్కు,séver
334,Süden::N,దక్షిణము,júg
335,Westen::N,పడమర,zapàd
336,Osten::N,తూర్పు,vzhòd
337,Holz::N,కొయ్య,lés
338,Brett::N,పలక,deskà
339,Platte::N,పలక,plôča
340,Stütze::N,వాల్సేడ్లు,opóra
341,Stütze::N,వాల్సేడ్లు,zaslómba
342,Stange::N,స్తంభము,gréd
343,Stock::N,కఱ్ఱ,pálica
344,Stab::N,కఱ్ఱ,pálica
345,Rohr::N,గొట్టము,cév
346,Haus::N,ఇల్లు,híša
347,Heim::N,స్వగృహము,dóm
348,Ofen::N,పొయ్యి,péč
349,Fußboden::N,నేల,pòd
350,Tisch::N,మేజా,míza
351,Stuhl::N,కుర్చీ,stòl
352,Wiege::N,ఉయ్యాల,zíbel
353,Bett::N,పడక,póstelja
354,Bett::N,మంచం,póstelja
355,Regal::N,అటక,políca
356,Kiste::N,వెట్టె,zabòj
357,Fenster::N,కిటికి,ôkno
358,Tür::N,ద్వారము,vráta
359,Tor::N,ద్వారము,velíka vráta
360,Zaun::N,కంచె,ográja
361,Dach::N,ఇంటివైకప్పు,stréha
362,Leiter::N,నిచ్చెన,léstev
363,Besen::N,చీపురుకట్ట,mêtla
364,Spaten::N,పాఱ,lopáta
365,Schaufel::N,పాఱ,lopáta
366,Gabel::N,ముండ్లగరిటె,vílice
367,Löffel::N,గరిటె,žlíca
368,Messer::N,కత్తి,nòž
369,Nagel::N,మేకు,žebèlj
370,Netz::N,వల,mréža
371,Haken::N,కొక్కెము,kljúka
372,Griff::N,పిడి,ročáj
373,Griff::N,పిడి,oprijèm
374,Schloss::N,తాళము,ključávnica
375,Bild::N,చిత్రము,slíka
376,Figur::N,రూపము,figúra
377,Figur::N,రూపము,postáva
378,Puppe::N,బొమ్మ,lútka
379,Beutel::N,సంచి,môšnja
380,Bündel::N,మూట,cúla
381,Bündel::N,మూట,svéženj
382,Tasche::N,సంచి,tórba
383,Tasche::N,సంచి,tobôlec
384,Eimer::N,చేద,vêdro
385,Deckel::N,మూత,pokròv
386,Deckel::N,మూత,poklópec
387,Geschirr::N,వంటకాలు,posóda
388,Sack::N,గోనెసంచి,vréča
389,Tasse::N,గిన్నె,skodélica
390,Topf::N,కుండ,lônec
391,Kessel::N,నీరుకాచుపాత్ర,kôtel
392,Essen::N,ఆహారము,hrána
393,Nahrung::N,ఆహారము,živílo
394,Speise::N,ఆహారము,jéd
395,Fleisch::N,మాంసము,mesó
396,Getreide::N,ధాన్యము,žíto
397,Brei::N,గుజ్జు,káša
398,Brot::N,రొట్టె,krùh
399,Scheibe::N,బద్ద,réženj
400,Fett::N,క్రొవ్వు,mást
401,Fett::N,క్రొవ్వు,maščôba
402,Butter::N,వెన్న,máslo
403,Öl::N,నూనె,ólje
404,Salz::N,ఉప్పు,sól
405,Suppe::N,చారు,júha
406,Honig::N,తెనె,méd
407,Milch::N,పాలు,mléko
408,Tee::N,తేనీరు,čáj
409,Leder::N,బాగుచేసివతోలు,úsnje
410,Wolle::N,ఉన్ని,vólna
411,Stoff::N,బట్ట,blagó
412,Nadel::N,సూది,ígla
413,Faden::N,దారము,nít
414,Knopf::N,బొత్తాము,gúmb
415,Knoten::N,ముడి,vôzel
416,Farbe::N,రంగు,bárva
417,Kleidung::N,బట్టలు,obléka
418,Hemd::N,చొక్కాయ,srájca
419,Kragen::N,మాల,ovrátnik
420,Ärmel::N,చొక్కాయచెయ్యి,rokáv
421,Hose::N,ఇజారు,hláče
422,Gürtel::N,పటకా,pás
423,Mütze::N,టోపి,kápa
424,Mütze::N,టోపి,čépica
425,Schuh::N,పాదరక్ష,čévelj
426,Stiefel::N,బూటు,škórenj
427,Ring::N,ఉంగరము,pŕstan
428,Band::N,నాడా,trák
429,Kamm::N,దువ్వెన,glavník
430,Spiegel::N,అద్దము,zrcálo
431,Spiegel::N,అద్దము,ogledálo
432,Riemen::N,వాడా,jêrmen
433,Schnur::N,దారము,vŕvca
434,Leine::N,వారు,konôpec
435,Decke::N,కంబళి,odéja
436,Kissen::N,తలగడ,blazína
437,Tuch::N,బట్ట,pŕt
438,Tuch::N,బట్ట,rúta
439,Handtuch::N,తువాలు,brisáča
440,Kraft::N,బలము,síla
441,Stärke::N,శక్తి,jákost
442,Gesundheit::N,ఆరోగ్యము,zdrávje
443,Krankheit::N,రోగము,bolézen
444,Schmerz::N,నొప్పి,ból
445,Schmerz::N,నొప్పి,bolečína
446,Wunde::N,గాయము,rána
447,Fieber::N,జ్వరము,vročína
448,Arznei::N,మందు,lék
449,Arznei::N,మందు,zdravílo
450,Brücke::N,వంతెన,móst
451,Brunnen::N,బావి,vodnják
452,Brunnen::N,కూపము,vodnják
453,Brunnen::N,నుయ్యి,vodnják
454,Weide::N,పచ్చికబయలు,páša
455,Pfad::N,కాలిత్రోవ,stezà
456,Weg::N,మార్గము,pót
457,Straße::N,బాట,césta
458,Dorf::N,గ్రామము,vás
459,Stadt::N,పట్టణము,mésto
460,Brief::N,జాబు,písmo
461,Buch::N,పుస్తకము,knjíga
462,Buchstabe::N,అక్షరము,čŕka
463,Zeitung::N,వార్తాపత్రిక,čásnik
464,Leben::N,ప్రాణము,življênje
465,Tod::N,మరణము,smŕt
466,Grab::N,సమాధి,gròb
467,Kirche::N,క్రెస్తవులగుడి,cérkev
468,Sünde::N,పాపము,gréh
469,Gott::N,దేవుడు,bóg
470,Arbeiter::N,పనిపాటుచేశేవాడు,délavec
471,Chef::N,యజమానుడు,šéf
472,Meister::N,కళాకారుడు,mójster
473,Arzt::N,వైద్యుడు,zdravník
474,Lehrer::N,ఉపాధ్యాయుడు,učítelj
475,Geld::N,ద్రవ్యము,denár
476,Geschäft::N,వ్యాపారము,kupčíja
477,Laden::N,అంగడి,trgovína
478,Preis::N,వెల,céna
479,Ware::N,సరకులు,róba
480,Nutzen::N,ప్రయోజనము,príd
481,Reichtum::N,ధనము,bogástvo
482,Welt::N,ప్రపంచము,svét
483,Land::N,దేశము,dežêla
484,Staat::N,రాజ్యము,držáva
485,König::N,రాజు,králj
486,Macht::N,అధికారము,oblást
487,Grenze::N,సరిహద్దు,mêja
488,Krieg::N,యుద్ధము,vôjna
489,Feind::N,శత్రువు,sovrážnik
490,Gewalt::N,దౌర్జన్యము,nasílje
491,Kampf::N,పోట్లాట,bòj
492,Kampf::N,పోట్లాట,bórba
493,Bogen[Waffe]::N,విల్లు,lók
494,Pfeil::N,బాణము,puščíca
495,Gewehr::N,తుపాకి,púška
496,Fehler::N,తప్ప,zmóta
497,Lüge::N,అసత్యము,láž
498,Schaden::N,నష్టము,okvára
499,Unglück::N,దురదృష్టము,nesréča
500,Schuld::N,తప్పు,krívda
501,Alter::N,వయస్సు,dôba
502,Schluss::N,ముగింపు,kônec
503,Zeit::N,కాలము,čàs
504,Tag::N,దినము,dán
505,Morgen::N,ఉదయము,jútro
506,Mittag::N,మధ్యాహ్నము,póldan
507,Abend::N,సాయంకాలము,večér
508,Nacht::N,రత్రి,nóč
509,Woche::N,వారము,téden
510,Monat::N,నెల,mésec
511,Jahr::N,సంవత్సరము,léto
512,Frühling::N,వసంతకాలము,pomlád
513,Sommer::N,వేసవికాము,polétje
514,Herbst::N,ఆకురాలుకాలము,jesén
515,Winter::N,శీతకాలము,zíma
516,Januar::N,జనవరి,jánuar
517,Februar::N,ఫిబ్రవరి,fébruar
518,März::N,మార్చి,márec
519,April::N,ఏప్రిలు,apríl
520,Mai::N,మే,máj
521,Juni::N,జూన్,júnij
522,Juli::N,జూలై,júlij
523,August::N,ఆగస్టు,avgúst
524,September::N,సెప్ఠెంబరు,septêmber
525,Oktober::N,అక్టోబరు,október
526,November::N,నవంబరు,novêmber
527,Dezember::N,డిసెంబర్,decémber
528,Montag::N,సోమవారము,ponedéljek
529,Dienstag::N,మంగళవారము,tôrek
530,Mittwoch::N,బుధవారము,sréda
531,Donnerstag::N,గురువారము,četŕtek
532,Freitag::N,శుక్రవారము,pétek
533,Samstag::N,శనివారము,sobóta
534,Sonntag::N,ఆదివారము,nedélja
535,groß::A,గొప్పైన,vêlik
536,klein::A,చిన్న,májhen
537,lang::A,పొడుగాటి,dólg
538,kurz::A,పొట్టి,krátek
539,breit::A,వెడల్పైన,širòk
540,schmal::A,ఇఱుకైన,ózek
541,dicht::A,దట్టమైన,góst
542,dick[Gegenstand]::A,దట్టమైన,dêbel
543,dünn::A,పలుచని,tánek
544,fein::A,నాజాకైన,drôben
545,fest::A,దృడమైవ,tŕden
546,flach::A,చదువైన,plán
547,flach::A,చదువైన,plòsk
548,glatt::A,నున్నని,gládek
549,hart::A,కఠినమైన,tŕd
550,weich::A,మృదువైన,mehák
551,rund::A,గుండ్రని,okrógel
552,spitz::A,మొనగల,šílast
553,scharf::A,పదనైన,óster
554,stumpf::A,వాడిలేని,tóp
555,stumpf::A,వాడిలేని,skŕhan
556,schwer::A,బరువ్తెన,têžek
557,schön::A,సుందరమైన,lép
558,schön::A,సుందరమైన,krásen
559,heiß::A,వేడియైన,vròč
560,warm::A,వెచ్చని,tôpel
561,kalt::A,చల్లని,mŕzel
562,kalt::A,చల్లని,hláden
563,kühl::A,చల్లని,hláden
564,frisch::A,తాజాయైన,svéž
565,feucht::A,చెమ్మగానున్న,vlážen
566,nass::A,తడిగామన్న,móker
567,trocken::A,ఎండిన,súh
568,voll::A,నిండు,póln
569,leer::A,శూన్యమైన,prázen
570,offen::A,తెఱచియున్న,odpŕt
571,geschlossen::A,మూసిన,zapŕt
572,sauber::A,పరిశుద్ధమైన,číst
573,sauber::A,పరిశుద్ధమైన,líčen
574,schmutzig::A,ముఱికియైన,umázan
575,roh::A,పచ్చి,suròv
576,reif::A,పండివ,zrèl
577,lecker::A,రుచి గల,okúsen
578,süß::A,తియ్యని,sládek
579,bitter::A,చేదైన,grenák
580,sauer::A,పుల్లని,kísel
581,hell::A,కాంతిగల,svetèl
582,dunkel::A,చీకటియైన,temèn
583,schwarz::A,నల్లని,čŕn
584,weiß::A,తెలుపు,bél
585,rot::A,ఎఱ్ఱని,rdèč
586,gelb::A,పసుపు పచ్చ,žólt
587,gelb::A,పసుపు పచ్చ,rumèn
588,blau::A,నీలవర్ణము,móder
589,grün::A,ఆకుపచ్చని,zelèn
590,grau::A,నెరిసిన,sív
591,bunt::A,రంగేలీ,písan
592,billig::A,చౌకయైన,pocéni
593,teuer::A,వెలపొడుగైన,drág
594,wertvoll::A,విలుప్తెన,dragocén
595,blind::A,గ్రుడ్డి,slép
596,taub::A,చెవిటి,glúh
597,kräftig::A,శక్తి గల,močán
598,stark::A,బలమైన,ják
599,schwach::A,బలహీనమైన,šíbek
600,fett::A,క్రొవ్విన,dêbel
601,schlank::A,సన్నని,vítek
602,hübsch::A,సాగప్తెన,lép
603,böse::A,చెడ్డ,zèl
604,böse::A,చెడ్డ,hudôben
605,dumm::A,తెలివిలేని,glúp
606,dumm::A,తెలివిలేని,bédast
607,faul::A,సోమరియైన,lén
608,fleißig::A,శ్రద్దగల,marljív
609,geizig::A,పిసినారియైన,škŕt
610,klug::A,తెలివిగల,pámeten
611,geschickt::A,నిపుణతగల,spréten
612,lieb::A,ప్రియమైన,míl
613,lieb::A,ప్రియమైన,ljúb
614,lustig::A,ఉల్లాసము గల,vesél
615,sanft::A,సాధువైన,láhek
616,hungrig::A,ఆకలిగొనిన,láčen
617,krank::A,వ్యాధిగల,bolán
618,nackt::A,దిగంబరమైన,nág
619,traurig::A,విచారముగల,túžen
620,lebendig::A,ప్రాణముతో నున్న,žív
621,gut::A,మంచి,dóber
622,schlecht::A,చెడ్డ,malopríden
623,richtig::A,సరియైన,pravílen
624,schlimm::A,అసహ్యమైన,húd
625,wahr::A,నిజమైన,resníčen
626,alt::A,ముసలి,stàr
627,neu::A,క్రొత్త,nòv
628,ehemalig::A,పూర్వపు,nekdánji
629,alt[Lebewesen]::A,ముసలి,stàr
630,jung::A,పసి,mlád
631,arm::A,బీద,ubóg
632,arm::A,బీద,réven
633,reich::A,ధనవంతుడైన,bogàt
634,bekannt::A,తెలిసిన,znán
635,berühmt::A,ప్రపిద్దికెక్కివ,sláven
636,berühmt::A,ప్రపిద్దికెక్కివ,znamenít
637,fremd::A,అన్యమైన,túj
638,verschieden::A,భేదమైన,razlíčen
639,nah::A,దగ్గఱనున్న,blížnji
640,fern::A,దూరమందున్న,dáleč
641,linker::A,ఎడమప్రక్కగ,lévi
642,rechter::A,కుడి,désni
643,anderer::A,వేఱ్తెన,drúgi
644,erster::A,మొదటి,pŕvi
645,zweiter::A,రెండన,drúgi
646,dritter::A,మూడో,trétji
647,letzter::A,కడపటి,poslédnji
648,allein::ADV,ఒంటిగా,sám
649,auf einmal::ADV,హరాత్తుగ,obênem
650,zusammen::ADV,కలిసి,skúpaj
651,lange::ADV,బహుకాలము,dólgo
652,plötzlich::ADV,హరాత్తుగ,náglo
653,plötzlich::ADV,హరాత్తుగ,nenádoma
654,sofort::ADV,తక్షణము,prècej
655,später::ADV,ఇటీవలి,poznêje
656,jetzt::ADV,ఇప్పుడు,zdàj
657,heute::ADV,నేడు,dánes
658,morgen::ADV,ఱేపు,jútri
659,bald::ADV,శీఘ్రముగ,kmálu
660,dann::ADV,అప్పుడు,nató
661,gestern::ADV,నిన్నటి దినము,včéraj
662,einst::ADV,పూర్వమొకప్పుడు,nékdaj
663,damals::ADV,అప్పుడు,tedàj
664,damals::ADV,అప్పుడు,takràt
665,danach::ADV,అప్పుడు,potèm
666,vorher::ADV,ఎదుట,poprèj
667,zuerst::ADV,మొదటిలో,spŕva
668,einmal::ADV,ఒకసారి,ênkrat
669,manchmal::ADV,అప్పటప్పటికి,včásih
670,oft::ADV,తఱచుగా,pogósto
671,immer::ADV,ఎల్లప్పుడు,védno
672,immer::ADV,ఎల్లప్పుడు,zméraj
673,niemals::ADV,ఎప్పుడునులేదు,nikdàr
674,hier::ADV,ఇక్కడ,tù
675,hier::ADV,ఇక్కడ,túkaj
676,hierhin::ADV,ఇక్కడకు,sèmkaj
677,von hier::ADV,ఇక్కడనుండి,od tú
678,dort::ADV,అక్కడ,tàm
679,dorthin::ADV,అక్కడికి,tjà
680,geradeaus::ADV,సూటిగా,rávno napréj
681,vorwärts::ADV,ముందుకు,napréj
682,rückwärts::ADV,వెనుకకు,zádaj
683,zurück::ADV,వెనుకభాగము,nazáj
684,unten::ADV,క్రింద,dôli
685,unten::ADV,క్రింద,spôdaj
686,hinab::ADV,కిందికి,dôl
687,oben::ADV,మీద,gôri
688,oben::ADV,మీద,zgôraj
689,hinauf::ADV,పైకి,gôr
