,Concept_ID,ka,sv
393,Tisch::N,სუფრა,bord
394,Tisch::N,მაგიდა,bord
395,Stuhl::N,სკამი,stol
396,Wiege::N,აკვანი,vagga
397,Bett::N,საწოლი,säng
398,Bett::N,სარეცელი,säng
399,Regal::N,თაროები,hylla
400,Kiste::N,ყუთი,låda
401,Kiste::N,სკივრი,låda
402,Fenster::N,ფანჯარა,fönster
403,Fenster::N,სარკმელი,fönster
404,Tür::N,ბჭე,dörr
405,Tür::N,კარი,dörr
406,Tor::N,ჭიშკარი,port
407,Zaun::N,ღობე,staket
408,Zaun::N,ღობე,stängsel
409,Zaun::N,გალავანი,staket
410,Zaun::N,გალავანი,stängsel
411,Dach::N,სახურავი,tak
412,Leiter::N,კიბე,stege
413,Besen::N,ცოცხი,kvast
414,Spaten::N,ნიჩაბი,spade
415,Schaufel::N,ბარი,skovel
416,Schaufel::N,ბარი,skyffel
417,Gabel::N,ჩანგალი,gaffel
418,Löffel::N,კოვზი,sked
419,Messer::N,დანა,kniv
420,Nagel::N,ლურსმანი,spik
421,Netz::N,ბადე,nät
422,Haken::N,კავი,krok
423,Haken::N,კაუჭი,krok
424,Griff::N,ტარი,tag
425,Griff::N,ტარი,handtag
426,Schloss::N,კლიტე,las
427,Schloss::N,საკეტი,las
428,Bild::N,სურათი,bild
429,Figur::N,ფიგურა,figur
430,Puppe::N,თოჯინა,docka
431,Beutel::N,პარკი,påse
432,Bündel::N,გალა,bunt
433,Bündel::N,გალა,knippa
434,Bündel::N,ასხმა,bunt
435,Bündel::N,ასხმა,knippa
436,Tasche::N,ჩანთა,väska
437,Eimer::N,ჩამჩა,hink
438,Eimer::N,ჩამჩა,ämbar
439,Deckel::N,ხუფი,lock
440,Deckel::N,სარქველი,lock
441,Geschirr::N,ჭურჭელი,servis
442,Geschirr::N,ჭურჭელი,porslin
443,Sack::N,ტომარა,säck
444,Tasse::N,ფინჯანი,kopp
445,Topf::N,ქოთანი,gryta
446,Topf::N,ქოთანი,kastrull
447,Kessel::N,ქვაბი,kittel
448,Essen::N,ჭამა,mål
449,Nahrung::N,საზრდო,näring
450,Nahrung::N,საკვები,näring
451,Speise::N,საჭმელი,maträtt
452,Fleisch::N,ხორცი,kött
453,Getreide::N,მარცვლოვანი,säd
454,Getreide::N,მარცვლოვანი,spannmål
455,Brei::N,ფაფა,gröt
456,Brot::N,პური,bröd
457,Scheibe::N,ნაჭერი,skiva
458,Fett::N,ქონი,fett
459,Fett::N,ცხიმი,fett
460,Butter::N,კარაქი,smör
461,Öl::N,ზეთი,olja
462,Salz::N,მარილი,salt
463,Suppe::N,სუფი,soppa
464,Honig::N,თაფლი,honung
465,Milch::N,რძე,mjölk
466,Tee::N,ჩაი,te
467,Leder::N,ტყავი,läder
468,Wolle::N,მატყლი,ull
469,Wolle::N,მატყლი,ylle
470,Stoff::N,ქსოვილი,tyg
471,Stoff::N,ქსოვილი,stoff
472,Nadel::N,ნემსი,nål
473,Faden::N,ძაფი,tråd
474,Faden::N,მკედი,tråd
475,Knopf::N,ღილი,knapp
476,Knoten::N,ნასკვი,knut
477,Farbe::N,საღებავი,färg
478,Kleidung::N,ტანსაცმელი,klädsel
479,Hemd::N,ხალათი,skjorta
480,Hemd::N,პერანგი,skjorta
481,Kragen::N,საყელო,krage
482,Ärmel::N,სახელო,ärm
483,Hose::N,შარვალი,byxor
484,Gürtel::N,ქამარი,bälte
485,Mütze::N,ქუდი,mössa
486,Schuh::N,ფეხსაცმელი,sko
487,Stiefel::N,ჩექმა,stövel
488,Ring::N,ბეჭედი,ring
489,Band::N,ბაფთი,band
490,Kamm::N,სავარცხელი,kam
491,Spiegel::N,სარკე,spegel
492,Riemen::N,ღვედი,rem
493,Schnur::N,ლარი,snöre
494,Leine::N,ჯაჭვი,lina
495,Decke::N,საბანი,täcke
496,Kissen::N,ბალიში,dyna
497,Kissen::N,ბალიში,kudde
498,Tuch::N,მაუდი,sjal
499,Tuch::N,თავშალი,sjal
500,Handtuch::N,ხელსახოცი,handduk
501,Kraft::N,ძალა,kraft
502,Stärke::N,ღონე,styrka
503,Gesundheit::N,ჯანმრთელობა,hälsa
504,Krankheit::N,სენი,sjukdom
505,Krankheit::N,ავადმყოფობა,sjukdom
506,Schmerz::N,ტკივილი,smärta
507,Wunde::N,იარი,sår
508,Wunde::N,ჭრილობა,sår
509,Fieber::N,ციება,feber
510,Arznei::N,წამალი,medicin
511,Arznei::N,წამალი,läkemedel
512,Brücke::N,ხიდი,bro
513,Brunnen::N,ჭა,brunn
514,Weide::N,საძოვარი,bete
515,Pfad::N,ბილიკი,stig
516,Weg::N,გზა,väg
517,Straße::N,შარაგზა,gata
518,Dorf::N,დაბა,by
519,Dorf::N,სოფელი,by
520,Stadt::N,ქალაქი,stad
521,Brief::N,წერილი,brev
522,Buch::N,წიგნი,bok
523,Buchstabe::N,ასო,bokstav
524,Zeitung::N,გაზეთი,tidning
525,Leben::N,სიცოცხლე,liv
526,Tod::N,სიკვდილი,död
527,Grab::N,სამარე,grav
528,Grab::N,საფლავი,grav
529,Kirche::N,ეკლესია,kyrka
530,Sünde::N,ცოდვა,synd
531,Gott::N,ღმერთი,gud
532,Arbeiter::N,მუშა,arbetare
533,Chef::N,გამგე,chef
534,Meister::N,ოსტატი,mästare
535,Arzt::N,ექიმი,läkare
536,Arzt::N,მკურნალი,läkare
537,Lehrer::N,მასწავლებელი,lärare
538,Geld::N,ფული,pengar
539,Geschäft::N,საქმე,rörelse
540,Geschäft::N,ბიზნესი,rörelse
541,Laden::N,დუქანი,affär
542,Laden::N,მაღაზია,affär
543,Preis::N,ფასი,pris
544,Ware::N,საქონელი,vara
545,Nutzen::N,ხეირი,gagn
546,Nutzen::N,ხეირი,nytta
547,Reichtum::N,სიმდიდრე,rikedom
548,Welt::N,მსოფლიო,värld
549,Land::N,მხარე,land
550,Land::N,ქვეყანა,land
551,Staat::N,სახელმწიფო,stat
552,König::N,მეფე,kung
553,König::N,მეფე,konung
554,Macht::N,ძლიერება,makt
555,Grenze::N,ზღვარი,gräns
556,Krieg::N,ომი,krig
557,Feind::N,მტერი,fiende
558,Gewalt::N,სისასტიკე,våld
559,Kampf::N,ბრძოლა,kamp
560,Kampf::N,ბრძოლა,strid
561,Bogen[Waffe]::N,მშვილდი,båge
562,Pfeil::N,ისარი,pil
563,Pfeil::N,მახვილი,pil
564,Gewehr::N,თოფი,gevär
565,Gewehr::N,შაშხანა,gevär
566,Fehler::N,შეცდომა,fel
567,Lüge::N,სიცრუე,lögn
568,Schaden::N,ვნება,skada
569,Unglück::N,ხიფათი,otur
570,Unglück::N,ხიფათი,olycka
571,Unglück::N,უბედურება,otur
572,Unglück::N,უბედურება,olycka
573,Schuld::N,ბრალი,skuld
574,Alter::N,ასაკი,ålder
575,Schluss::N,ბოლო,slut
576,Schluss::N,დასასრული,slut
577,Zeit::N,დრო,tid
578,Tag::N,დღე,dag
579,Morgen::N,დილა,morgon
580,Mittag::N,შუადღე,middag
581,Abend::N,საღამო,kväll
582,Nacht::N,ღამე,natt
583,Woche::N,კვირა,vecka
584,Monat::N,თვე,månad
585,Jahr::N,წელი,år
586,Frühling::N,გაზაფხული,vår
587,Sommer::N,ზაფხული,sommar
588,Herbst::N,შემოდგომა,höst
589,Winter::N,ზამთარი,vinter
590,Januar::N,იანვარი,januari
591,Februar::N,თებერვალი,februari
592,März::N,მარტი,mars
593,April::N,აპრილი,april
594,Mai::N,მაისი,maj
595,Juni::N,ივნისი,juni
596,Juli::N,ივლისი,juli
597,August::N,აგვისტო,augusti
598,September::N,სექტემბერი,september
599,Oktober::N,ოქტომბერი,oktober
600,November::N,ნოემბერი,november
601,Dezember::N,დეკემბერი,december
602,Montag::N,ორშაბათი,måndag
603,Dienstag::N,სამშაბათი,tisdag
604,Mittwoch::N,ოთხშაბათი,onsdag
605,Donnerstag::N,ხუთშაბათი,torsdag
606,Freitag::N,პარასკევი,fredag
607,Samstag::N,შაბათი,lördag
608,Sonntag::N,კვირა,söndag
609,groß::A,დიდი,stor
610,klein::A,მცირე,liten
611,klein::A,პატარა,liten
612,lang::A,გრძელი,lång
613,kurz::A,მოკლე,kort
614,breit::A,ფართო,bred
615,breit::A,განიერი,bred
616,schmal::A,ვიწრო,smal
617,schmal::A,წვრილი,smal
618,dicht::A,მჭიდრო,tät
619,dick[Gegenstand]::A,სქელი,tjock
620,dünn::A,წვრილი,tunn
621,fein::A,თხელი,fin
622,fest::A,მყარი,fast
623,flach::A,ბრტყელი,platt
624,glatt::A,გლუ,glatt
625,hart::A,მაგარი,hård
626,weich::A,რბილი,mjuk
627,rund::A,მრგვალი,rund
628,spitz::A,წვეტიანი,toppig
629,spitz::A,წვეტიანი,spetsig
630,scharf::A,მჭრელი,vass
631,scharf::A,მჭრელი,skarp
632,stumpf::A,ბლაგვი,slö
633,schwer::A,მძიმე,tung
634,schön::A,ლამაზი,skön
635,schön::A,ლამაზი,vacker
636,heiß::A,ცხელი,het
637,warm::A,თბილი,varm
638,kalt::A,ცივი,kall
639,kühl::A,გრილი,sval
640,kühl::A,გრილი,kylig
641,frisch::A,სუფთა,färsk
642,feucht::A,ნოტიო,fuktig
643,nass::A,სველი,våt
644,trocken::A,მშრალი,torr
645,voll::A,სავსე,full
646,leer::A,ცარიელი,tom
647,offen::A,ღია,öppen
648,offen::A,გაშლილი,öppen
649,geschlossen::A,დახურული,stängd
650,sauber::A,სუფთა,ren
651,sauber::A,წმინდა,ren
652,schmutzig::A,ტალახიანი,snuskig
653,roh::A,უმი,rå
654,reif::A,მწიფე,mogen
655,lecker::A,გემრიელი,läcker
656,süß::A,ტკბილი,söt
657,bitter::A,მწარე,besk
658,bitter::A,მწარე,bitter
659,sauer::A,მჟავე,sur
660,hell::A,ნათელი,ljus
661,dunkel::A,ბნელი,mörk
662,schwarz::A,შავი,svart
663,weiß::A,თეთრი,vit
664,rot::A,წითელი,röd
