,Concept_ID,lv,ka
646,Geschenk::N,козин,საჩუქარი
647,Geschenk::N,dāvana,საჩუქარი
648,Spiel::N,ворсан,თამაში
649,Spiel::N,rotaļa,თამაში
650,Gesellschaft::N,котыр,საზოგადოება
651,Gesellschaft::N,biedrība,საზოგადოება
652,Gesellschaft::N,kompānija,საზოგადოება
653,Hilfe::N,отсӧг,შველა
654,Hilfe::N,отсӧг,დახმარება
655,Hilfe::N,palīdzība,შველა
656,Hilfe::N,palīdzība,დახმარება
657,Freund::N,ёрт,მეგობარი
658,Freund::N,draugs,მეგობარი
659,Kamerad::N,ёрт,ამხანაგი
660,Kamerad::N,biedrs,ამხანაგი
661,Angelegenheit::N,мог,საქმე
662,Angelegenheit::N,делӧ,საქმე
663,Angelegenheit::N,darīšana,საქმე
664,Anzahl::N,лыд,ოდენობა
665,Anzahl::N,тшӧт,ოდენობა
666,Anzahl::N,skaits,ოდენობა
667,Anzahl::N,daudzums,ოდენობა
668,Art::N,сикас,სახეობა
669,Art::N,suga,სახეობა
670,Art::N,šķira,სახეობა
671,Stück::N,тор,ნატეხი
672,Stück::N,gabals,ნატეხი
673,Teil::N,юкӧн,წილი
674,Teil::N,daļa,წილი
675,Hälfte::N,пӧв,ნახევარი
676,Hälfte::N,джын,ნახევარი
677,Hälfte::N,puse,ნახევარი
678,Kreis::N,кытш,წრე
679,Kreis::N,aplis,წრე
680,Kreis::N,riņķis,წრე
681,Kreuz::N,перна,ჯვარი
682,Kreuz::N,крест,ჯვარი
683,Kreuz::N,krusts,ჯვარი
684,Linie::N,визь,ხაზი
685,Linie::N,līnija,ხაზი
686,Strich::N,визь,შტრიხი
687,Strich::N,svītra,შტრიხი
688,Abstand::N,кост,მანძილი
689,Abstand::N,коласт,მანძილი
690,Abstand::N,atstarpe,მანძილი
691,Entfernung::N,ылна,სიშორე
692,Entfernung::N,attālums,სიშორე
693,Entfernung::N,atstatums,სიშორე
694,Gegend::N,му-ва,არე
695,Gegend::N,му-ва,მხარე
696,Gegend::N,apvidus,არე
697,Gegend::N,apvidus,მხარე
698,Gegend::N,apgabals,არე
699,Gegend::N,apgabals,მხარე
700,Platz::N,ылдӧс,ფართობი
701,Platz::N,йир,ფართობი
702,Platz::N,гӧгӧртас,ფართობი
703,Platz::N,vieta,ფართობი
704,Ort::N,ин,ადგილი
705,Ort::N,места,ადგილი
706,Ort::N,vieta,ადგილი
707,Seite::N,бок,მხარე
708,Seite::N,ӧтарладор,მხარე
709,Seite::N,sāns,მხარე
710,Mitte::N,шӧр,შუა
711,Mitte::N,vidus,შუა
712,Gegenstand::N,кӧлуй,საგანი
713,Gegenstand::N,priekšmets,საგანი
714,Sache::N,добра,ნივთი
715,Sache::N,lieta,ნივთი
716,Rand::N,дор,კიდე
