,Concept_ID,udm,cs
272,Geist::N,лул,duch
273,Gedanke::N,малпан,myšlenka
274,Gedächtnis::N,йырсазь,paměť
275,Gedächtnis::N,тодэваён,paměť
276,Verstand::N,йырвизь,rozum
277,Sinn::N,смысл,smysl
278,Grund::N,муг,důvod
279,Grund::N,ньӧм,důvod
280,Wahrheit::N,зэм,pravda
281,Wahrheit::N,шонер,pravda
282,Gespräch::N,вераськон,rozhovor
283,Märchen::N,выжыкыл,pohádka
284,Erzählung::N,верос,povídka
285,Nachricht::N,ивор,zpráva
286,Neuigkeit::N,выльивор,novina
287,Neuigkeit::N,выльивор,novinka
288,Name::N,ним,jméno
289,Rätsel::N,мадькыл,hádanka
290,Rede::N,верам,řeč
291,Rede::N,верам,proslov
292,Sprache::N,кыл,řeč
293,Sprache::N,кыл,jazyk
294,Stimme::N,куара,hlas
295,Wort::N,кыл,slovo
296,Zeichen::N,пус,znamení
297,Zeichen::N,тодмет,znamení
298,Ruf::N,ӧтён,zavolání
299,Ruf::N,чортон,zavolání
300,Lärm::N,ӵашетон,hluk
301,Laut::N,куара,zvuk
302,Ton::N,куара,tón
303,Lied::N,кырӟан,píseň
304,Ruhe::N,чалмыт улон,klid
305,Ruhe::N,чалмыт улон,pokoj
306,Leute::N,адямиос,lidé
307,Volk::N,калык,národ
308,Arbeit::N,уж,práce
309,Gast::N,куно,host
310,Geschenk::N,салам,dar
311,Geschenk::N,кузьым,dar
312,Spiel::N,шудон,hra
313,Gesellschaft::N,калык,společnost
314,Hilfe::N,юрттон,pomoc
315,Freund::N,эш,přítel
316,Freund::N,юлтош,přítel
317,Kamerad::N,тодмо,kamarád
318,Angelegenheit::N,уж,záležitost
319,Anzahl::N,лыд,počet
320,Art::N,тус,druh
321,Stück::N,юдэс,kus
322,Stück::N,юдэс,kousek
323,Teil::N,люкет,díl
324,Teil::N,люкет,část
325,Hälfte::N,ӝыны,půl
326,Kreis::N,котырес,kruh
327,Kreuz::N,крест,kříž
328,Linie::N,гож,linka
329,Strich::N,гож,čára
330,Strich::N,гож,čárka
331,Abstand::N,вис,vzdálenost
332,Abstand::N,кусып,vzdálenost
333,Entfernung::N,кусып,vzdálenost
334,Gegend::N,инты,krajina
335,Platz::N,инты,prostor
336,Ort::N,инты,místo
337,Ort::N,места,místo
338,Seite::N,пал,strana
339,Mitte::N,шор,střed
340,Mitte::N,шор,prostředek
341,Gegenstand::N,арбери,předmět
342,Sache::N,котыр,věc
343,Rand::N,дур,kraj
344,Rand::N,дур,okraj
345,Rand::N,шаер,kraj
346,Rand::N,шаер,okraj
347,Kante::N,дур,hrana
348,Ecke::N,сэрег,roh
349,Spitze::N,йыл,hrot
350,Spitze::N,йыл,špička
351,Ende::N,пум,konec
352,Loch::N,пась,díra
353,Winkel::N,сэрег,kout
354,Muster::N,пужы,vzor
355,Größe::N,быдӟала,velikost
356,Länge::N,кузьдала,délka
357,Höhe::N,ӝуждала,výška
358,Gewicht::N,сектала,váha
359,Gewicht::N,секытлык,váha
360,Menge::N,лыд,množství
361,Menge::N,лыдпус,množství
362,Haufen::N,люк,kupa
363,Haufen::N,люк,hromada
364,Reihe::N,чур,řada
365,Reihe::N,чур,řádek
366,Boot::N,пыж,člun
367,Boot::N,лодка,člun
368,Ruder::N,полыс,veslo
369,Schlitten::N,додьы,sáně
370,Ski::N,куас,lyže
371,Lagerfeuer::N,тылскем,táborák
372,Last::N,секыт,náklad
373,Last::N,секыт,břemeno
374,Gang::N,ветлон,chůze
375,Gang::N,ветлон,chodba
376,Schritt::N,вамыш,krok
377,Norden::N,уйпал,sever
378,Süden::N,лымшор,jih
