,Concept_ID,is,no
103,See::N,stöðuvatn,sjø
104,Sumpf::N,fen,sump
105,Sumpf::N,fen,myrlende
106,Moor::N,mýri,myr
107,Moor::N,mýri,myrhei
108,Wiese::N,engi,eng
109,Wald::N,skógur,skog
110,Hügel::N,hæð,haug
111,Hügel::N,hæð,bakke
112,Hügel::N,hóll,haug
113,Hügel::N,hóll,bakke
114,Anhöhe::N,hæð,haug
115,Anhöhe::N,hæð,bakke
116,Anhöhe::N,hóll,haug
117,Anhöhe::N,hóll,bakke
118,Berg::N,fell,berg
119,Berg::N,fell,fjell
120,Berg::N,fjall,berg
121,Berg::N,fjall,fjell
122,Gipfel::N,tindur,topp
123,Höhle::N,hellir,hule
124,Abhang::N,hlíð,li
125,Abhang::N,hlíð,skråning
126,Abhang::N,brekka,li
127,Abhang::N,brekka,skråning
128,Quelle::N,lind,kilde
129,Quelle::N,uppspretta,kilde
130,Bach::N,lækur,bekk
131,Fluss::N,á,elv
132,Fluss::N,fljót,elv
133,Ufer::N,árbakki,bredd
134,Ufer::N,sjávarbakki,bredd
135,Küste::N,strönd,kyst
136,Festland::N,meginland,fastland
137,Meer::N,haf,hav
138,Meer::N,sjór,hav
139,Bucht::N,vík,bukt
140,Insel::N,eyja,øy
141,Blume::N,blóm,blomst
142,Gras::N,gras,gress
143,Wurzel::N,rót,rot
144,Baum::N,tré,tre
145,Stamm::N,stofn,stamme
146,Rinde::N,börkur,bark
147,Ast::N,grein,gren
148,Zweig::N,angi,kvist
149,Zweig::N,kvistur,kvist
150,Blatt::N,blað,blad
151,Birke::N,birki,bjørk
152,Kiefer[Baum]::N,fura,furu
153,Weide[Baum]::N,víðir,selje
154,Weide[Baum]::N,víðir,piletre
155,Tanne::N,greni,gran
156,Horn::N,horn,horn
157,Feder::N,fjöður,fjær
158,Fell::N,skinn,skinn
159,Flügel::N,vængur,vinge
160,Klaue::N,kló,klauv
161,Kralle::N,kló,klo
162,Schwanz::N,rófa,hale
163,Schwanz::N,skott,hale
164,Ei::N,egg,egg
165,Nest::N,hreiður,rede
166,Bau::N,greni,hi
167,Bau::N,bæli,hi
168,Tier::N,dýr,dyr
169,Herde::N,hjörð,flokk
170,Kuh::N,kýr,ku
171,Bulle::N,boli,tyr
172,Pferd::N,hestur,hest
173,Schaf::N,kind,får
174,Schwein::N,svín,gris
175,Hund::N,hundur,hund
176,Katze::N,köttur,katt
177,Bär::N,björn,bjørn
178,Eichhörnchen::N,íkorni,ekorn
179,Elch::N,elgur,elg
180,Fuchs::N,refur,rev
181,Hase::N,héri,hare
182,Maus::N,mús,mus
183,Wolf::N,úlfur,ulv
184,Wolf::N,úlfur,varg
185,Vogel::N,fugl,fugl
186,Schwarm::N,sægur,sverm
187,Huhn::N,hæna,høne
188,Hahn::N,hani,hane
189,Gans::N,gæs,gås
190,Adler::N,örn,ørn
191,Ente::N,önd,and
192,Eule::N,uggla,ugle
193,Kranich::N,trana,trane
194,Krähe::N,kráka,kråke
195,Kuckuck::N,gaukur,gjøk
196,Schwan::N,svanur,svane
197,Fisch::N,fiskur,fisk
198,Barsch::N,aborri,abbor
199,Hecht::N,gedda,gjedde
200,Schlange[Tier]::N,naðra,orm
201,Schlange[Tier]::N,naðra,slange
202,Wurm::N,ormur,orm
203,Wurm::N,ormur,mark
204,Spinne::N,kónguló,edderkopp
205,Ameise::N,maur,maur
206,Laus::N,lús,lus
207,Mücke::N,mý,mygg
208,Mücke::N,mýfluga,mygg
209,Fliege::N,fluga,flue
210,Schmetterling::N,fiðrildi,sommerfugl
211,Beere::N,ber,bær
212,Apfel::N,epli,eple
213,Pilz::N,sveppur,sopp
214,Zwiebel::N,laukur,løk
215,Saat::N,fræ,sæd
216,Saat::N,útsæði,sæd
217,Korn::N,korn,korn
218,Heu::N,hey,høy
219,Schale::N,hýði,skall
220,Grube::N,gryfja,grop
221,Falle::N,gildra,felle
222,Schlinge::N,snara,snare
223,Spur::N,spor,spor
224,Asche::N,aska,aske
225,Dreck::N,óþverri,møkk
226,Dreck::N,óþverri,skitt
227,Eisen::N,járn,jern
228,Gold::N,gull,gull
229,Silber::N,silfur,sølv
230,Kohle::N,kol,kol
231,Kohle::N,kol,kull
232,Glas::N,gler,glass
233,Lehm::N,leir,leire
234,Sand::N,sandur,sand
235,Mensch::N,maður,menneske
236,Mensch::N,manneskja,menneske
237,Mann::N,maður,mann
238,Mann::N,karlmaður,mann
239,Frau::N,kona,kvinne
240,Kind::N,barn,barn
241,Kind::N,krakki,barn
242,Junge::N,drengur,gutt
243,Mädchen::N,stelpa,pike
244,Mädchen::N,stelpa,jente
245,Familie::N,fjölskylda,familie
246,Großvater::N,afi,bestefar
247,Großmutter::N,amma,bestemor
248,Eltern::N,foreldrar,foreldre
249,Vater::N,faðir,far
250,Mutter::N,móðir,mor
251,Sohn::N,sonur,sønn
252,Tochter::N,dóttir,datter
253,Bruder::N,bróðir,bror
254,Schwester::N,systir,søster
255,Onkel::N,föðurbróðir,onkel
256,Tante::N,frænka,tante
257,Tante::N,móðursystir,tante
258,Ehemann::N,eiginmaður,ektemann
259,Ehefrau::N,eiginkona,hustru
260,Freude::N,gleði,glede
261,Gelächter::N,hlátur,latter
262,Glück::N,gæfa,lykke
263,Kummer::N,sorg,sorg
264,Wunsch::N,ósk,ønske
265,Lust::N,fýsn,lyst
266,Lust::N,löngun,lyst
267,Geist::N,andi,ånd
268,Gedanke::N,hugsun,tanke
269,Gedächtnis::N,minni,minne
270,Gedächtnis::N,minni,hukommelse
271,Verstand::N,vit,forstand
272,Sinn::N,merking,mening
273,Sinn::N,merking,betydning
274,Grund::N,ástæða,grunn
275,Wahrheit::N,sannleikur,sannhet
276,Gespräch::N,samtal,samtale
277,Märchen::N,ævintýri,eventyr
278,Erzählung::N,saga,fortelling
279,Nachricht::N,frétt,melding
280,Neuigkeit::N,frétt,nyhet
281,Name::N,nafn,navn
282,Rätsel::N,gáta,gåte
283,Rede::N,ræða,tale
284,Sprache::N,mál,språk
285,Sprache::N,tungumál,språk
286,Stimme::N,rödd,stemme
287,Wort::N,orð,ord
288,Zeichen::N,tákn,tegn
289,Zeichen::N,merki,tegn
290,Ruf::N,kall,rop
291,Lärm::N,hávaði,bråk
292,Laut::N,hljóð,lyd
293,Ton::N,tónn,tone
294,Lied::N,ljóð,vise
295,Lied::N,söngur,vise
296,Ruhe::N,ró,ro
297,Ruhe::N,kyrrð,ro
298,Leute::N,fólk,folk
299,Volk::N,þjóð,folk
300,Arbeit::N,vinna,arbeid
301,Gast::N,gestur,gjest
302,Geschenk::N,gjöf,gave
303,Spiel::N,leikur,lek
304,Spiel::N,leikur,spill
305,Gesellschaft::N,selskapur,selskap
306,Hilfe::N,hjálp,hjelp
307,Freund::N,vinur,venn
308,Kamerad::N,félagi,kamerat
309,Angelegenheit::N,mál,sak
310,Angelegenheit::N,mál,anliggende
311,Angelegenheit::N,málefni,sak
312,Angelegenheit::N,málefni,anliggende
313,Anzahl::N,tala,antall
314,Anzahl::N,fjöldi,antall
315,Art::N,tegund,art
316,Art::N,tegund,slag
317,Stück::N,biti,stykke
318,Stück::N,stykki,stykke
319,Teil::N,hluti,del
320,Teil::N,partur,del
321,Hälfte::N,helmingur,halvdel
322,Kreis::N,hringur,ring
323,Kreis::N,hringur,sirkel
324,Kreuz::N,kross,kors
325,Kreuz::N,kross,kryss
326,Kreuz::N,krossmark,kors
327,Kreuz::N,krossmark,kryss
328,Linie::N,lína,linje
329,Strich::N,strik,strek
330,Abstand::N,millibil,avstand
331,Entfernung::N,fjarlægð,avstand
332,Gegend::N,hérað,strøk
333,Platz::N,pláss,plass
334,Ort::N,staður,sted
335,Seite::N,hlið,side
336,Mitte::N,miðja,midte
337,Gegenstand::N,hlutur,gjenstand
338,Sache::N,mál,sak
339,Rand::N,brún,rand
340,Kante::N,rönd,kant
341,Ecke::N,horn,hjørne
342,Spitze::N,oddur,spiss
343,Ende::N,endi,ende
344,Loch::N,gat,hull
345,Loch::N,hola,hull
346,Winkel::N,skot,vinkel
347,Winkel::N,krókur,vinkel
348,Muster::N,munstur,mønster
349,Größe::N,stærð,størrelse
350,Länge::N,lengd,lengde
351,Höhe::N,hæð,høyde
352,Gewicht::N,vigt,vekt
353,Gewicht::N,þyngd,vekt
354,Menge::N,magn,mengde
355,Haufen::N,hrúga,haug
356,Haufen::N,hrúga,bunke
357,Haufen::N,haugur,haug
358,Haufen::N,haugur,bunke
359,Reihe::N,röð,rekke
360,Boot::N,bátur,båt
361,Ruder::N,ár,åre
362,Schlitten::N,sleði,slede
363,Schlitten::N,sleði,kjelke
364,Ski::N,skíði,ski
365,Lagerfeuer::N,varðeldur,leirbål
366,Last::N,byrði,bør
367,Last::N,byrði,last
368,Last::N,farmur,bør
369,Last::N,farmur,last
370,Gang::N,ganga,gang
371,Schritt::N,skref,steg
372,Schritt::N,skref,skritt
373,Norden::N,norður,nord
374,Süden::N,suður,sør
375,Westen::N,vestur,vest
376,Osten::N,austur,øst
377,Holz::N,viður,tre
378,Brett::N,fjöl,fjøl
379,Brett::N,fjöl,brett
380,Platte::N,flötur,plate
381,Stütze::N,stoð,støtte
382,Stange::N,stöng,stang
383,Stock::N,prik,pinne
384,Stock::N,stafur,pinne
385,Stab::N,prik,stav
386,Stab::N,prik,kjepp
387,Stab::N,stafur,stav
388,Stab::N,stafur,kjepp
389,Rohr::N,rör,rør
390,Rohr::N,pípa,rør
391,Haus::N,hús,hus
392,Heim::N,heimili,hjem
393,Ofen::N,ofn,ovn
394,Fußboden::N,gólf,gulv
395,Tisch::N,borð,bord
396,Stuhl::N,stóll,stol
397,Wiege::N,vagga,vogge
398,Bett::N,rúm,seng
399,Bett::N,hvíla,seng
400,Regal::N,hilla,reol
401,Regal::N,hilla,hylle
402,Kiste::N,kassi,kasse
403,Fenster::N,gluggi,vindu
404,Tür::N,dyr,dør
405,Tür::N,hurð,dør
406,Tor::N,hlið,port
407,Zaun::N,girðing,gjerde
408,Zaun::N,limgarður,gjerde
409,Dach::N,þak,tak
410,Leiter::N,stigi,stige
411,Besen::N,sópur,kost
412,Spaten::N,spaði,spade
413,Schaufel::N,skófla,skuffe
414,Gabel::N,gaffall,gaffel
415,Löffel::N,skeið,skje
416,Messer::N,hnífur,kniv
417,Nagel::N,nögl,spiker
418,Netz::N,net,nett
419,Haken::N,krókur,krok
420,Griff::N,tak,tak
421,Griff::N,tak,håndtak
422,Schloss::N,lás,lås
423,Bild::N,mynd,bilde
424,Figur::N,stytta,figur
425,Puppe::N,brúða,dukke
426,Beutel::N,poki,pose
427,Beutel::N,baggi,pose
428,Bündel::N,böggull,bylt
429,Tasche::N,veski,veske
430,Eimer::N,fata,bøtte
431,Deckel::N,lok,lokk
432,Geschirr::N,leirtau,kjøkkentøy
433,Sack::N,sekkur,sekk
434,Tasse::N,bolli,kopp
435,Topf::N,pottur,gryte
436,Kessel::N,ketill,kjele
437,Essen::N,matur,mål
438,Nahrung::N,fæða,mat
439,Nahrung::N,fæða,næring
440,Speise::N,réttur,matrett
441,Speise::N,matarréttur,matrett
442,Fleisch::N,kjöt,kjøtt
443,Getreide::N,korn,korn
444,Brei::N,grautur,grøt
445,Brot::N,brauð,brød
446,Scheibe::N,sneið,skive
447,Fett::N,fita,fett
448,Butter::N,smjör,smør
449,Öl::N,olía,olje
450,Salz::N,salt,salt
451,Suppe::N,súpa,suppe
452,Honig::N,hunang,honning
453,Milch::N,mjólk,melk
454,Tee::N,te,te
455,Leder::N,skinn,lær
456,Leder::N,skinn,skinn
457,Wolle::N,ull,ull
458,Stoff::N,dúkur,tøy
459,Stoff::N,dúkur,stoff
460,Nadel::N,nál,nål
461,Faden::N,þráður,tråd
462,Knopf::N,tala,knapp
463,Knopf::N,hnappur,knapp
464,Knoten::N,hnútur,knute
465,Farbe::N,málning,farge
466,Kleidung::N,búningur,påkledning
467,Kleidung::N,klæðnaður,påkledning
468,Hemd::N,skyrta,skjorte
469,Kragen::N,kragi,krage
470,Kragen::N,flibbi,krage
471,Ärmel::N,ermi,erme
472,Hose::N,buxur,bukse
473,Gürtel::N,belti,belte
474,Mütze::N,húfa,lue
475,Schuh::N,skór,sko
476,Stiefel::N,stígvél,støvel
477,Ring::N,hringur,ring
478,Band::N,band,band
479,Kamm::N,greiða,kam
480,Spiegel::N,spegill,speil
481,Riemen::N,ól,rem
482,Riemen::N,reim,rem
483,Schnur::N,snúra,snor
484,Leine::N,band,line
485,Decke::N,teppi,teppe
486,Kissen::N,koddi,pute
487,Tuch::N,klútur,tøy
488,Handtuch::N,þurrka,håndkle
489,Handtuch::N,handklæði,håndkle
490,Kraft::N,afl,kraft
491,Kraft::N,kraftur,kraft
492,Stärke::N,styrkur,styrke
493,Gesundheit::N,heilsa,helse
494,Gesundheit::N,heilsa,sunnhet
495,Gesundheit::N,heilbrigði,helse
496,Gesundheit::N,heilbrigði,sunnhet
497,Krankheit::N,sjúkdómur,syke
498,Krankheit::N,sjúkdómur,sykdom
499,Schmerz::N,sársauki,smerte
500,Wunde::N,sár,sår
501,Fieber::N,hitasótt,feber
502,Arznei::N,lyf,medisin
503,Arznei::N,lyf,legemiddel
504,Brücke::N,brú,bro
505,Brunnen::N,brunnur,brønn
506,Weide::N,hagi,beite
507,Pfad::N,stígur,sti
508,Weg::N,vegur,vei
509,Straße::N,gata,gate
510,Straße::N,stræti,gate
511,Dorf::N,þorp,landsby
512,Stadt::N,borg,by
513,Brief::N,bréf,brev
514,Buch::N,bók,bok
515,Buchstabe::N,bókstafur,bokstav
516,Zeitung::N,dagblað,avis
517,Leben::N,líf,liv
518,Tod::N,dauði,død
519,Grab::N,gröf,grav
520,Kirche::N,kirkja,kirke
521,Sünde::N,synd,synd
522,Gott::N,guð,gud
523,Arbeiter::N,verkamaður,arbeider
524,Chef::N,yfirmaður,sjef
525,Meister::N,meistari,mester
526,Arzt::N,læknir,lege
527,Lehrer::N,kennari,lærer
528,Geld::N,peningar,penger
529,Geschäft::N,viðskipti,forretning
530,Laden::N,búð,butikk
531,Laden::N,verslun,butikk
532,Preis::N,verð,pris
533,Ware::N,vara,vare
534,Nutzen::N,gagn,nytte
535,Reichtum::N,auður,rikdom
536,Welt::N,veröld,verden
537,Land::N,land,land
538,Staat::N,ríki,stat
539,König::N,konungur,konge
540,Macht::N,vald,makt
541,Grenze::N,landamæri,grense
542,Krieg::N,stríð,krig
543,Feind::N,fjandmaður,fiende
544,Gewalt::N,ofbeldi,vold
545,Kampf::N,bardagi,kamp
546,Bogen[Waffe]::N,bogi,bue
547,Pfeil::N,ör,pil
548,Gewehr::N,byssa,gevær
549,Fehler::N,villa,feil
550,Lüge::N,lygi,løgn
551,Schaden::N,skemmd,skade
552,Unglück::N,óhamingja,uhell
553,Schuld::N,sök,skyld
554,Alter::N,aldur,alder
555,Schluss::N,lok,slutt
556,Schluss::N,endir,slutt
557,Zeit::N,tími,tid
558,Tag::N,dagur,dag
559,Morgen::N,morgunn,morgen
560,Mittag::N,hádegi,middag
561,Abend::N,kvöld,aften
562,Nacht::N,nótt,natt
563,Woche::N,vika,uke
564,Monat::N,mánuður,måned
565,Jahr::N,ár,år
566,Frühling::N,vor,vår
567,Sommer::N,sumar,sommer
568,Herbst::N,haust,høst
569,Winter::N,vetur,vinter
570,Januar::N,janúar,januar
571,Februar::N,február,februar
572,März::N,mars,mars
573,April::N,apríl,april
574,Mai::N,maí,mai
575,Juni::N,júní,juni
576,Juli::N,júlí,juli
577,August::N,ágúst,august
578,September::N,september,september
579,Oktober::N,október,oktober
580,November::N,nóvember,november
581,Dezember::N,desember,desember
582,Montag::N,mánudagur,mandag
583,Dienstag::N,þriðjudagur,tirsdag
584,Mittwoch::N,miðvikudagur,onsdag
585,Donnerstag::N,fimmtudagur,torsdag
586,Freitag::N,föstudagur,fredag
587,Samstag::N,laugardagur,lørdag
588,Sonntag::N,sunnudagur,søndag
589,groß::A,stór,stor
590,klein::A,lítill,liten
591,lang::A,langur,lang
592,kurz::A,stuttur,kort
593,breit::A,breiður,bred
594,schmal::A,mjór,smal
595,dicht::A,þéttur,tett
596,dick[Gegenstand]::A,þykkur,tykk
597,dünn::A,þunnur,tynn
598,fein::A,fíngerður,fin
599,fest::A,fastur,fast
600,flach::A,flatur,flat
601,glatt::A,háll,glatt
602,glatt::A,sléttur,glatt
603,hart::A,harður,hard
604,weich::A,mjúkur,myk
605,weich::A,mjúkur,bløt
606,rund::A,kringlóttur,rund
607,spitz::A,oddhvass,spiss
608,scharf::A,beittur,kvass
609,stumpf::A,bitlaus,stubb
610,schwer::A,þungur,tung
611,schön::A,fagur,pen
612,schön::A,fagur,vakker
613,schön::A,fallegur,pen
614,schön::A,fallegur,vakker
615,heiß::A,heitur,het
616,warm::A,hlýr,varm
617,warm::A,heitur,varm
618,kalt::A,kaldur,kald
619,kühl::A,svalur,kjølig
620,frisch::A,frískur,fersk
621,feucht::A,rakur,fuktig
622,feucht::A,þvalur,fuktig
623,nass::A,votur,våt
624,nass::A,blautur,våt
625,trocken::A,þurr,tørr
626,voll::A,fullur,full
627,leer::A,tómur,tom
628,offen::A,opinn,åpen
629,geschlossen::A,lokaður,lukket
630,sauber::A,þrifinn,ren
631,schmutzig::A,óhreinn,skitten
632,schmutzig::A,sóðalegur,skitten
633,roh::A,hrár,rå
634,reif::A,þroskaður,moden
635,lecker::A,ljúffengur,lekker
636,süß::A,sætur,søt
637,bitter::A,beiskur,besk
638,bitter::A,beiskur,bitter
639,sauer::A,súr,sur
640,hell::A,bjartur,lys
641,dunkel::A,dimmur,mørk
642,schwarz::A,svartur,svart
643,weiß::A,hvítur,hvit
644,rot::A,rauður,rød
645,gelb::A,gulur,gul
646,blau::A,blár,blå
647,grün::A,grænn,grønn
648,grau::A,grár,grå
649,bunt::A,marglitur,broket
650,billig::A,ódýr,billig
651,teuer::A,dýr,dyr
652,wertvoll::A,verðmætur,verdifull
653,blind::A,blindur,blind
654,taub::A,heyrnarlaus,døv
655,kräftig::A,öflugur,kraftig
656,stark::A,sterkur,sterk
657,schwach::A,veill,svak
658,fett::A,feitur,fet
659,schlank::A,grannur,slank
660,schlank::A,spengilegur,slank
661,hübsch::A,snotur,pen
662,hübsch::A,laglegur,pen
663,böse::A,illur,slem
664,böse::A,vondur,slem
665,dumm::A,heimskur,dum
666,faul::A,latur,lat
667,faul::A,latur,doven
668,fleißig::A,iðinn,flittig
669,geizig::A,nískur,gjerrig
670,klug::A,hygginn,klok
671,geschickt::A,fimur,hendig
672,geschickt::A,fimur,skikket
673,geschickt::A,laginn,hendig
674,geschickt::A,laginn,skikket
675,lieb::A,kær,kjær
676,lieb::A,kær,snill
677,lieb::A,ljúfur,kjær
678,lieb::A,ljúfur,snill
679,lustig::A,kátur,morsom
680,sanft::A,blíður,blid
681,hungrig::A,soltinn,sulten
682,hungrig::A,hungraður,sulten
683,krank::A,sjúkur,syk
684,nackt::A,nakinn,naken
685,traurig::A,dapur,sørgmodig
686,traurig::A,hryggur,sørgmodig
687,lebendig::A,lifandi,levende
688,gut::A,góður,god
689,schlecht::A,slæmur,dårlig
690,schlecht::A,lélegur,dårlig
691,richtig::A,réttur,riktig
692,schlimm::A,slæmur,slem
693,wahr::A,sannur,sann
694,alt::A,gamall,gammel
695,neu::A,nýr,ny
696,ehemalig::A,fyrrverandi,forhenværende
697,alt[Lebewesen]::A,gamall,gammel
698,jung::A,ungur,ung
699,arm::A,vesall,fattig
700,arm::A,fátækur,fattig
701,reich::A,ríkur,rik
702,reich::A,auðugur,rik
703,bekannt::A,kunnugur,kjent
704,berühmt::A,frægur,berømt
705,fremd::A,framandi,fremmed
706,fremd::A,ókunnugur,fremmed
707,verschieden::A,ýmis,forskjellig
708,nah::A,nálægur,nær
709,fern::A,fjarri,fjern
710,fern::A,fjarlægur,fjern
711,linker::A,vinstri,venstre
712,rechter::A,hægri,høyre
713,anderer::A,annar,annen
714,erster::A,fyrsti,første
715,zweiter::A,annar,annen
716,dritter::A,þriðji,tredje
717,letzter::A,síðasti,sist
718,allein::ADV,einn,alene
719,allein::ADV,aleinn,alene
720,auf einmal::ADV,allt í einu,med ett
721,zusammen::ADV,saman,sammen
722,lange::ADV,lengi,lenge
723,plötzlich::ADV,skyndilega,plutselig
724,sofort::ADV,strax,straks
725,sofort::ADV,þegar í stað,straks
726,später::ADV,seinna,senere
727,jetzt::ADV,nú,nå
728,jetzt::ADV,núna,nå
729,heute::ADV,í dag,i dag
730,morgen::ADV,á morgun,i morgen
731,bald::ADV,brátt,snart
732,bald::ADV,bráðum,snart
733,dann::ADV,svo,så
734,dann::ADV,síðan,så
735,gestern::ADV,í gær,i går
736,einst::ADV,forðum,engang
737,damals::ADV,þá,den gang
738,damals::ADV,á þeim tímum,den gang
739,danach::ADV,á eftir því,deretter
740,vorher::ADV,áður,før
741,vorher::ADV,áður,i forveien
742,zuerst::ADV,fyrst,først
743,einmal::ADV,einu sinni,en gang
744,manchmal::ADV,stundum,somme tider
745,oft::ADV,oft,ofte
746,immer::ADV,alltaf,alltid
747,immer::ADV,sífellt,alltid
748,niemals::ADV,aldrei,aldri
749,hier::ADV,hér,her
750,hierhin::ADV,hingað,hit
751,von hier::ADV,héðan,herfra
752,dort::ADV,þar,der
753,dort::ADV,þarna,der
754,dorthin::ADV,þangað,dit
755,geradeaus::ADV,beint áfram,rett fram
756,vorwärts::ADV,áfram,fram
757,vorwärts::ADV,áfram,framover
758,rückwärts::ADV,aftur á bak,baklengs
759,zurück::ADV,aftur,tilbake
760,zurück::ADV,til baka,tilbake
761,unten::ADV,niðri,nede
762,unten::ADV,fyrir neðan,nede
763,hinab::ADV,niður,ned
764,hinab::ADV,niður,nedover
765,hinab::ADV,niður eftir,ned
766,hinab::ADV,niður eftir,nedover
767,oben::ADV,uppi,oppe
768,oben::ADV,uppi,ovenpå
769,hinauf::ADV,upp,opp
770,hinauf::ADV,upp,oppover
771,hinauf::ADV,upp eftir,opp
772,hinauf::ADV,upp eftir,oppover
773,überall::ADV,alls staðar,overalt
774,nicht::ADV,ekki,ikke
775,ein wenig::ADV,dálítið,litt
776,kaum::ADV,varla,neppe
777,kaum::ADV,tæplega,neppe
778,sehr::ADV,mjög,svært
779,so::ADV,svo,så
780,so::ADV,þannig,så
781,noch::ADV,enn,enda
782,noch::ADV,ennþá,enda
783,nur::ADV,bara,bare
784,nur::ADV,aðeins,bare
785,schon::ADV,nú þegar,alt
786,schon::ADV,nú þegar,allerede
787,wieder::ADV,aftur,igjen
788,wieder::ADV,að nýju,igjen
789,vergebens::ADV,árangurslaust,forgjeves
790,vor::PRP,fyrir,foran
791,vor::PRP,fyrir,utenfor
792,hinter::PRP,bak við,bak
793,hinter::PRP,bak við,bakom
794,hinter::PRP,aftur fyrir,bak
795,hinter::PRP,aftur fyrir,bakom
796,unter::PRP,undir,under
797,durch::PRP,gegnum,gjennom
798,durch::PRP,gegnum,igjennom
799,neben::PRP,hjá,ved siden av
800,neben::PRP,við hliðina á,ved siden av
801,zwischen::PRP,milli,mellom
802,zwischen::PRP,á milli,mellom
803,wegen::PRP,vegna,på grunn av
804,dies::PRN,þetta,dette
805,das::PRN,það,det
806,alles::PRN,allt,alt
807,ich::PRN,ég,jeg
808,du::PRN,þú,du
809,er::PRN,hann,han
810,wir::PRN,við,vi
811,ihr::PRN,þið,dere
812,sie::PRN,þær,de
813,sie::PRN,þeir,de
814,was::FPRN,hvað,hva
815,wer::FPRN,hver,hvem
816,wo::FADV,hvar,hvor
817,wohin::FADV,hvert,hvor ... hen
818,wie::FADV,hvernig,hvordan
819,warum::FADV,hvers vegna,hvorfor
820,wieviel::FNUM,hve mikill,hvor mye
821,eins::NUM,einn,en
822,eins::NUM,einn,ett
823,zwei::NUM,tveir,to
824,drei::NUM,þrír,tre
825,vier::NUM,fjórir,fire
826,fünf::NUM,fimm,fem
827,sechs::NUM,sex,seks
828,sieben::NUM,sjö,sju
829,acht::NUM,átta,åtte
830,neun::NUM,níu,ni
831,zehn::NUM,tíu,ti
832,elf::NUM,ellefu,elleve
833,zwölf::NUM,tólf,tolv
834,zwanzig::NUM,tuttugu,tjue
835,dreißig::NUM,þrjátíu,tretti
836,vierzig::NUM,fjörutíu,førti
837,fünfzig::NUM,fimmtíu,femti
838,sechzig::NUM,sextíu,seksti
839,siebzig::NUM,sjötíu,sytti
840,achtzig::NUM,áttatíu,åtti
