,Concept_ID,os,br
180,Spinne::N,хӕлуарӕг,kevnidenn
181,Ameise::N,мæлдзыг,merion
182,Laus::N,сыст,laouenn
183,Mücke::N,къогъо,moustik
184,Fliege::N,бындз,kelienenn
185,Schmetterling::N,гæлæбу,balafenn
186,Beere::N,гагадыргъ,hog
187,Apfel::N,фӕткъуы,aval
188,Pilz::N,зокъо,kabell-touseg
189,Pilz::N,къозо,kabell-touseg
190,Zwiebel::N,хъӕдындз,ognonenn
191,Saat::N,тауинаг,had
192,Saat::N,мыггаг,had
193,Korn::N,мыггаг,ed
194,Korn::N,тауинаг,ed
195,Heu::N,хос,foenn
196,Schale::N,цъар,peliadur
197,Grube::N,урм,
198,Grube::N,къахт,
199,Grube::N,дзыхъхъ,
200,Falle::N,цъысым,pech
201,Falle::N,къӕппӕг,pech
202,Schlinge::N,цасм,krouglas
203,Spur::N,фæд,
204,Asche::N,фӕнык,ludu
205,Asche::N,ӕртхутӕг,ludu
206,Dreck::N,цъыф,fank
207,Eisen::N,ӕфсӕйнаг,houarn
208,Gold::N,сыгъзӕрин,aour
209,Silber::N,ӕвзист,arc'hant
210,Kohle::N,ӕвзалы,glaou
211,Glas::N,авг,gwer
212,Lehm::N,ӕлыг,
213,Sand::N,змис,traezh
214,Mensch::N,лӕг,den
215,Mensch::N,адӕймаг,den
216,Mensch::N,удгоймаг,den
217,Mann::N,лӕг,den
218,Mann::N,нӕлгоймаг,den
219,Frau::N,сылгоймаг,maouez
220,Kind::N,сывӕллон,bugel
221,Junge::N,лӕппу,paotr
222,Mädchen::N,чызг,plac'h
223,Familie::N,бинонтæ,familh
224,Großvater::N,фыдыфыд,tad-kozh
225,Großvater::N,мадыфыд,tad-kozh
226,Großmutter::N,фыды мад,mamm-gozh
227,Großmutter::N,мады мад,mamm-gozh
228,Eltern::N,ныййарджытæ,kerent
229,Vater::N,фыд,tad
230,Mutter::N,мад,mamm
231,Sohn::N,фырт,mab
232,Tochter::N,чызг,merc'h
233,Bruder::N,ӕфсымӕр,breur
234,Schwester::N,хо,c'hoar
235,Onkel::N,фыдыфсымӕр,eontr
236,Tante::N,мадыхо,moereb
237,Ehemann::N,мой,gwaz
238,Ehefrau::N,ус,gwreg
239,Freude::N,цин,levenez
240,Freude::N,циндзинад,levenez
241,Gelächter::N,худын,c'hoarzherezh
242,Gelächter::N,худт,c'hoarzherezh
243,Gelächter::N,худæг,c'hoarzherezh
244,Glück::N,амонд,chañs
245,Kummer::N,хъыг,doan
246,Wunsch::N,бӕллиц,c'hoant
247,Lust::N,монц,c'hoant
248,Geist::N,уд,spered
249,Gedanke::N,хъуыды,soñj
250,Gedächtnis::N,мысæн,eñvor
251,Gedächtnis::N,мысын,eñvor
252,Gedächtnis::N,зæрдылдарын,eñvor
253,Verstand::N,зонд,skiant
254,Sinn::N,нысаниуæг,ster
255,Grund::N,ӕфсон,kaoz
256,Wahrheit::N,æцæг,gwirionez
257,Gespräch::N,ныхас,kaozeadenn
258,Märchen::N,аргъау,kaoz korriganez
259,Erzählung::N,радзырд,kontadenn
260,Nachricht::N,уац,keloù
261,Neuigkeit::N,хабар,kelaouenn
262,Name::N,ном,anv
263,Rätsel::N,уыци-уыци,divinatez
264,Rätsel::N,базон-базон,divinatez
265,Rede::N,раныхас,diskour
266,Sprache::N,ӕвзаг,yezh
267,Stimme::N,хъӕлӕс,mouezh
268,Wort::N,дзырд,ger
269,Zeichen::N,нысан,sin
270,Ruf::N,сидт,galv
271,Lärm::N,уынæр,trouz
272,Laut::N,зӕл,
273,Laut::N,мыр,
274,Ton::N,мыр,ton
275,Lied::N,зарӕг,kanaouenn
276,Ruhe::N,æнцой,sioulded
277,Leute::N,адӕм,tud
278,Volk::N,адӕм,pobl
279,Arbeit::N,фӕллой,labour
280,Gast::N,уазӕг,kouviad
281,Geschenk::N,хуын,prof
282,Spiel::N,хъазт,c'hoari
283,Gesellschaft::N,дзыллæ,kompagnunezh
284,Gesellschaft::N,дзыллæ,kavandad
285,Gesellschaft::N,æхсæнад,kompagnunezh
286,Gesellschaft::N,æхсæнад,kavandad
287,Hilfe::N,æххуыс,sikour
288,Hilfe::N,ахъаз,sikour
289,Freund::N,лымӕн,mignon
290,Kamerad::N,ӕмбал,kamarad
291,Angelegenheit::N,хъуыддаг,afer
292,Anzahl::N,бӕрц,niver
293,Art::N,хуыз,sort
294,Art::N,хуызад,sort
295,Stück::N,кæрдих,tamm
296,Stück::N,комдзаг,tamm
297,Teil::N,хай,pezh
298,Hälfte::N,æрдæг,hanterenn
299,Hälfte::N,æмбис,hanterenn
300,Kreis::N,зиллакк,kelc'h
301,Kreuz::N,дзуар,kroaz
302,Linie::N,хахх,linenn
303,Strich::N,хахх,tenn
304,Abstand::N,æхсæнуат,distok
305,Entfernung::N,дæрддзæг,keid
306,Entfernung::N,дæрддзæг,kehid
307,Entfernung::N,дардцæг,keid
308,Entfernung::N,дардцæг,kehid
309,Gegend::N,ран,korn-bro
310,Platz::N,бууат,plasenn
311,Ort::N,ран,lec'h
312,Ort::N,бынат,lec'h
313,Seite::N,фахс,tu
314,Mitte::N,астӕу,kreiz
315,Gegenstand::N,дзаума,tra
316,Sache::N,дзаума,tra
317,Rand::N,кӕрон,kantenn
318,Kante::N,фӕрск,kantenn
319,Ecke::N,тигъ,korn
320,Ecke::N,фисын,korn
321,Spitze::N,бырынкъ,begell
322,Ende::N,кӕрон,dibenn
323,Loch::N,хуынкъ,toull
324,Winkel::N,къуым,
325,Muster::N,нывæфтыд,tresadenn
326,Muster::N,кæдзист,tresadenn
327,Größe::N,ас,ment
328,Länge::N,дӕргъ,hirder
329,Höhe::N,бæрзонд,uhelder
330,Höhe::N,бæрзæнд,uhelder
331,Höhe::N,бæрзонддзинад,uhelder
332,Gewicht::N,уӕз,pouez
333,Menge::N,бӕрц,bern
334,Haufen::N,кӕри,bern
335,Reihe::N,рӕнхъ,steud
336,Boot::N,чема,bag
337,Ruder::N,къохар,roeñv
338,Schlitten::N,дзоныгъ,trainell
339,Ski::N,къахдзоныгътæ,ski
340,Ski::N,лыжæтæ,ski
341,Lagerfeuer::N,арт,
342,Last::N,уаргъ,karg
343,Gang::N,цыд,kerzh
344,Schritt::N,санчъех,paz
345,Schritt::N,къахдзӕф,paz
346,Norden::N,цæгат,norzh
347,Norden::N,цæгат,hanternoz
348,Süden::N,хуссар,su
349,Süden::N,хуссар,kreisteiz
350,Westen::N,ныгуылæн,kuzh-heol
351,Osten::N,скæсæн,reter
352,Osten::N,скæсæн,sav-heol
353,Holz::N,хъӕдӕрмӕг,koad
354,Brett::N,фæйнæг,plankenn
355,Platte::N,къӕй,plakenn
356,Stütze::N,быцæу,harp
357,Stange::N,хъил,sparl
358,Stock::N,лӕдзӕг,bazh
359,Stab::N,хъил,bazh
360,Rohr::N,хӕтӕл,tub
361,Rohr::N,хӕтӕл,korz
362,Haus::N,хӕдзар,ti
363,Heim::N,къона,kêr
364,Ofen::N,пец,forn
365,Fußboden::N,астӕрд,plañchod
366,Tisch::N,стъол,taol
367,Stuhl::N,бандон,kador
368,Wiege::N,авдæн,kavell
369,Bett::N,сынтӕг,gwele
370,Regal::N,тӕрхӕг,estajerenn
371,Regal::N,уӕлвӕйнӕг,estajerenn
372,Kiste::N,асыкк,kased
373,Fenster::N,рудзынг,prenestr
374,Fenster::N,фæрссаг,prenestr
375,Tür::N,дуар,dor
376,Tor::N,кулдуар,portal
377,Zaun::N,æмбонд,sklotur
378,Zaun::N,быру,sklotur
379,Zaun::N,гæрæн,sklotur
380,Dach::N,уӕлхӕдзар,toenn
381,Leiter::N,асин,skeul
382,Besen::N,уисой,skubell
383,Spaten::N,бел,pal
384,Schaufel::N,æвгæнæн,pal
385,Schaufel::N,кæфой,pal
386,Gabel::N,вилкæ,fourchetez
387,Löffel::N,уидыг,loa
388,Messer::N,кард,kontell
389,Nagel::N,зӕгӕл,tach
390,Netz::N,хыз,roued
391,Haken::N,хæдз,krog
392,Haken::N,хæбырæгъ,krog
393,Griff::N,фистон,kemer
394,Schloss::N,гуыдыр,potenn
395,Bild::N,ныв,skeudenn
396,Figur::N,кæрдгæныв,skeud
397,Figur::N,кæрдгæныв,figur
398,Puppe::N,чындз,merc'hodenn
399,Beutel::N,дзӕкъул,sac'h
400,Bündel::N,баст,feskenn
401,Tasche::N,хызын,sac'h
402,Tasche::N,дзæкъул,sac'h
403,Eimer::N,къæрта,sailh
404,Eimer::N,чъыбыла,sailh
405,Eimer::N,ведра,sailh
406,Deckel::N,сæр,pallenn
407,Deckel::N,æмбæрзæн,pallenn
408,Geschirr::N,мигæнæн,listriaj
409,Geschirr::N,мигæнæнтæ,listriaj
410,Sack::N,голлаг,sac'h
411,Tasse::N,пиала,tas
412,Tasse::N,къус,tas
413,Topf::N,аг,pod
414,Topf::N,чысыл аг,pod
415,Kessel::N,аг,chaodouron
416,Essen::N,хӕрд,pred
417,Nahrung::N,хойраг,boued
418,Speise::N,хӕринаг,meuz
419,Fleisch::N,дзидза,kig
420,Fleisch::N,фыдызгъӕл,kig
421,Getreide::N,халсар,ed
422,Brei::N,кас,yod
423,Brot::N,дзул,bara
424,Scheibe::N,къӕбӕр,tailhenn
425,Fett::N,сой,lard
426,Butter::N,нӕлхӕ,amann
427,Öl::N,зети,eoul
428,Salz::N,цӕхх,holen
429,Suppe::N,бас,soubenn
430,Honig::N,мыд,mel
431,Milch::N,ӕхсыр,laezh
432,Tee::N,цай,te
433,Leder::N,мæскуы,lêr
434,Wolle::N,фӕсмын,gloan
435,Stoff::N,хъуымац,danvez
436,Nadel::N,судзин,nadoz
437,Faden::N,ӕндах,neudenn
438,Knopf::N,цӕппӕр,bouton
439,Knoten::N,ӕлхынцъ,skoulm
440,Farbe::N,ахорæн,liv
441,Kleidung::N,дарӕс,dilhad
442,Hemd::N,хӕдон,roc'hed
443,Kragen::N,æфцæггот,gouzoug
444,Ärmel::N,дыс,milgin
445,Hose::N,хæлаф,bragoù
446,Hose::N,æддаг хæлаф,bragoù
447,Hose::N,салбар,bragoù
448,Gürtel::N,рон,gouriz
449,Mütze::N,худ,boned
450,Schuh::N,басмахъ,botez
451,Stiefel::N,цырыхъхъ,botez
452,Ring::N,къухдарӕн,gwalenn
453,Band::N,лент,bagad
454,Kamm::N,сӕрвасӕн,krib
455,Spiegel::N,айдæн,melezour
456,Spiegel::N,кæсæн,melezour
457,Riemen::N,гӕрз,lerenn
458,Schnur::N,бӕндӕн,kordenn
459,Decke::N,хъӕццул,golo
460,Kissen::N,баз,goubenner
461,Tuch::N,кæлмæрзæн,mezher
462,Tuch::N,кæрдæн,mezher
463,Handtuch::N,хисæрфæн,toailhon
464,Kraft::N,тых,nerzh
465,Kraft::N,хъомыс,nerzh
466,Stärke::N,тых,nerzhder
467,Stärke::N,æхсар,nerzhder
468,Gesundheit::N,æнæниздзинад,yec'hed
469,Krankheit::N,низ,klañved
470,Krankheit::N,рын,klañved
471,Schmerz::N,рис,poan
472,Schmerz::N,рис,droug
473,Wunde::N,цӕф,gloazadenn
474,Fieber::N,ризӕг,terzhienn
475,Fieber::N,тӕфсӕг,terzhienn
476,Arznei::N,хос,louzoù
477,Brücke::N,хид,pont
478,Brunnen::N,цъай,puñs
479,Weide::N,хизæн,prad
480,Weide::N,хизæнуат,prad
481,Weide::N,сæрвæт,prad
482,Pfad::N,къахвæндаг,gwenodenn
483,Pfad::N,къахвæд,gwenodenn
484,Weg::N,фӕндаг,hent
485,Straße::N,фӕндаг,ru
486,Straße::N,фӕндаг,hent
487,Dorf::N,хъӕу,kêr
488,Dorf::N,хъӕу,kêriadenn
489,Stadt::N,сахар,kêr
490,Brief::N,фыстӕг,lizher
491,Buch::N,чиныг,levr
492,Buchstabe::N,дамгъӕ,lizherenn
493,Zeitung::N,газет,kazetenn
494,Leben::N,цард,buhez
495,Leben::N,цӕрӕнбон,buhez
496,Tod::N,мæлæт,marv
497,Tod::N,адзал,marv
498,Grab::N,ингӕн,bez
499,Kirche::N,аргъуан,iliz
500,Sünde::N,тæригъæд,pec'hed
501,Gott::N,хуыцау,doue
502,Arbeiter::N,кусæг,labourer
503,Arbeiter::N,кусæг,micherour
504,Chef::N,ӕмцег,penn
505,Meister::N,мастер,mestr
506,Meister::N,дæсны,mestr
507,Arzt::N,хосгæнæг,mezeg
508,Arzt::N,хосгæнæг,medisin
509,Arzt::N,дохтыр,mezeg
510,Arzt::N,дохтыр,medisin
511,Lehrer::N,ахуыргæнæг,skolaer
512,Lehrer::N,ахуыргæнæг,kelenner
513,Geld::N,ӕхца,arc'hant
514,Geschäft::N,бизнес,stal
515,Geschäft::N,хъуыддаг,stal
516,Laden::N,дукани,stal
517,Preis::N,аргъ,priz
518,Ware::N,базайраг,marc'hadourezh
519,Nutzen::N,пайда,gounidegezh
520,Nutzen::N,пайда,lañs
521,Nutzen::N,пайда,profit
522,Nutzen::N,пайда,spleit
523,Reichtum::N,хъæздыгдзинад,pinvidigezh
524,Reichtum::N,исбон,pinvidigezh
525,Reichtum::N,мулк,pinvidigezh
526,Welt::N,дуне,douar
527,Land::N,бӕстӕ,bro
528,Staat::N,паддзахад,stad
529,König::N,къарол,roue
530,Macht::N,хицаудзинад,galloud
531,Grenze::N,арӕн,harzoù
532,Krieg::N,хӕст,brezel
533,Feind::N,знаг,eneber
534,Feind::N,фыдгул,eneber
535,Feind::N,фыдзæрдæ,eneber
536,Feind::N,сон,eneber
537,Gewalt::N,тыхми,tâerder
538,Gewalt::N,тыхдзинад,tâerder
539,Kampf::N,хæст,kann
540,Kampf::N,хъæбысæйхæст,kann
541,Kampf::N,тох,kann
542,Bogen[Waffe]::N,ӕрдын,gwareg
543,Pfeil::N,фат,saezh
544,Gewehr::N,топп,fuzuilh
545,Fehler::N,рӕдыд,fazi
546,Lüge::N,мӕнг,gaou
547,Lüge::N,гӕдыдзинад,gaou
548,Schaden::N,зиан,gwall
549,Unglück::N,бæллæх,gwalleur
550,Schuld::N,азым,kablusted
551,Schuld::N,азым,pec'hedigezh
552,Alter::N,кар,oad
553,Schluss::N,кæрон,diwezh
554,Zeit::N,рӕстӕг,amzer
555,Tag::N,бон,deizh
556,Morgen::N,райсом,beure
557,Morgen::N,райсом,mintin
558,Mittag::N,æмбисбон,kreisteiz
559,Abend::N,изӕр,abardaez
560,Nacht::N,ӕхсӕв,noz
561,Woche::N,къуыри,sizhun
562,Monat::N,мӕй,miz
563,Jahr::N,аз,bloaz
564,Jahr::N,афӕдз,bloaz
565,Frühling::N,уалдзæг,nevezamzer
566,Sommer::N,сӕрд,hañv
567,Herbst::N,фæззæг,diskaramzer
568,Winter::N,зымӕг,goañv
569,Januar::N,январь,Genver
570,Februar::N,февраль,C'hwevrer
571,März::N,мартъи,Meurzh
572,April::N,апрель,Ebrel
573,Mai::N,май,Mae
574,Juni::N,июнь,Mezheven
575,Juli::N,июль,Gouhere
576,August::N,август,Eost
577,September::N,сентябрь,Gwengolo
578,Oktober::N,октябрь,Here
579,November::N,ноябрь,Du
580,Dezember::N,декабрь,Kerzu
581,Montag::N,къуырисæр,Lun
582,Dienstag::N,дыццæг,Meurzh
583,Mittwoch::N,æртыццæг,Merc'her
584,Donnerstag::N,цыппæрæм,Yaou
585,Freitag::N,майрæмбон,Gwener
586,Samstag::N,сабат,Sadorn
587,Sonntag::N,хуыцаубон,Sul
588,groß::A,дынджыр,bras
589,klein::A,гыццыл,bihan
590,lang::A,даргъ,hir
591,kurz::A,цыбыр,berr
592,breit::A,фӕтӕн,ledan
593,schmal::A,нарӕг,strizh
594,schmal::A,уынгӕг,strizh
595,dicht::A,бæзджын,stank
596,dicht::A,тар,stank
597,dick[Gegenstand]::A,сӕвджын,tev
598,dünn::A,тæнæг,moan
599,fein::A,лыстӕг,munut
600,fest::A,фидар,start
601,fest::A,хъӕддых,start
602,flach::A,тъӕпӕн,plaen
603,glatt::A,лӕгъз,lintr
604,glatt::A,лӕгъз,levn
605,hart::A,хъӕбӕр,kalet
606,weich::A,фӕлмӕн,blot
607,rund::A,тымбыл,ront
608,spitz::A,цыргъбырынкъ,poentet
609,spitz::A,цыргъфындз,poentet
610,scharf::A,цыргъ,dremm
611,stumpf::A,къуымых,talsoc'h
612,schwer::A,уӕззау,pounner
613,schön::A,аив,kaer
614,schön::A,рӕсугъд,kaer
615,heiß::A,тӕвд,tomm
616,warm::A,хъарм,tomm
617,kalt::A,уазал,yen
618,kühl::A,сатæг,yen
619,kühl::A,уазалгомау,yen
620,frisch::A,сатæг,fresk
621,feucht::A,уымӕл,gleb
622,nass::A,хуылыдз,gleb
623,trocken::A,хус,sec'h
624,voll::A,дзаг,leun
625,voll::A,йедзаг ,leun
626,leer::A,афтид,goullo
627,offen::A,гом,digor
628,geschlossen::A,æхгæд,serr
629,sauber::A,сыгъдæг,naet
630,schmutzig::A,чъиллон,lous
631,roh::A,хом,kriz
632,reif::A,рӕгъӕд,darev
633,lecker::A,хӕрзад,lipous
634,lecker::A,хӕрзад,saourus
635,süß::A,адджын,dous
636,bitter::A,судзаг,c'hwerv
637,sauer::A,туаг,trenk
638,hell::A,рухс,sklaer
639,dunkel::A,талынг,teñval
640,schwarz::A,сау,du
641,weiß::A,урс,gwenn
642,rot::A,сырх,ruz
643,gelb::A,бур,melen
644,blau::A,цъӕх,glas
645,grün::A,цъӕх,gwer
646,grün::A,кӕрдӕгхуыз,gwer
647,grau::A,цъӕх,louet
648,grau::A,фӕныкхуыз,louet
649,bunt::A,хъулон,liesliv
650,bunt::A,гæрæм,liesliv
651,billig::A,аслам,marc'had-mat
652,teuer::A,зынаргъ,ker
653,wertvoll::A,зынаргъ,prizius
654,blind::A,куырм,dall
655,taub::A,къуырма,bouzar
656,kräftig::A,домбай,start
657,kräftig::A,тыхджын,start
658,stark::A,тыхджын,kreñv
659,schwach::A,ӕнӕбон,gwan
660,fett::A,нард,lard
661,schlank::A,гуырвидыц,sinkl
662,schlank::A,хæрзконд,sinkl
663,schlank::A,рæхснæг,sinkl
664,schlank::A,сагамад,sinkl
665,hübsch::A,аив,koant
666,hübsch::A,рӕсугъд,koant
667,böse::A,фыдзӕрдӕ,gwall
668,dumm::A,ӕдылы,glep
669,faul::A,зивӕг,lezirek
670,faul::A,зивӕггӕнаг,lezirek
671,fleißig::A,æнæзивæг,studius
672,fleißig::A,æнувыд,studius
673,geizig::A,чъынды,tost
674,geizig::A,æлгъин,tost
675,geizig::A,мæрддзæст,tost
676,klug::A,зондджын,speredek
677,geschickt::A,хӕрзарӕхст,dornet
678,lieb::A,уарзон,koant
679,lustig::A,хъӕлдзӕг,laouen
680,sanft::A,мынчын,flour
681,hungrig::A,ӕххормаг,marnaon
682,krank::A,нӕфӕразгӕ,klañv
683,nackt::A,бӕгънӕг,noazh
684,traurig::A,ӕрхӕндӕг,trist
685,lebendig::A,цардӕгас,bev
686,gut::A,хорз,mad
687,schlecht::A,цауд,fall
688,schlecht::A,цауд,gwall
689,richtig::A,раст,reizh
690,schlimm::A,ӕвзӕр,gwall
691,wahr::A,ӕцӕг,gwir
692,alt::A,зӕронд,kozh
693,neu::A,ног,nevez
694,ehemalig::A,раздӕры,kozh
695,alt[Lebewesen]::A,ацӕргӕ,kozh
696,jung::A,ӕрыгон,yaouank
697,arm::A,мӕгуыр,paour
698,reich::A,хъӕздыг,pinvidik
699,bekannt::A,зонгӕ,anavezet
700,berühmt::A,номдзыд,brudet
701,fremd::A,æцæгæлон,dizanav
702,verschieden::A,æндæр æмæ æндæр,disheñel
703,verschieden::A,алы,disheñel
704,verschieden::A,алыхуызон,disheñel
705,nah::A,хӕстӕг,nes
706,fern::A,дард,diabell
707,fern::A,дӕрддаг,diabell
708,linker::A,галиу,kleiz
709,rechter::A,рахиз,dehoù
710,anderer::A,иннӕ,all
711,anderer::A,ӕндӕр,all
712,erster::A,фыццаг,kentañ
713,erster::A,фыццӕгӕм,kentañ
714,zweiter::A,дыккаг,eil
715,zweiter::A,дыккæгæм,eil
716,dritter::A,æртыккаг,trede
717,dritter::A,æртыккæгæм,trede
718,letzter::A,фӕстаг,diwezhañ
719,allein::ADV,иунæг,e-unan
720,auf einmal::ADV,уайтагъд,ar un dro
721,auf einmal::ADV,æвиппайды,ar un dro
722,auf einmal::ADV,æваст,ar un dro
723,zusammen::ADV,иумӕ,asambles
724,lange::ADV,бирæ рæстæг,pell
725,plötzlich::ADV,æвиппайды,en un taol
726,plötzlich::ADV,æваст,en un taol
727,sofort::ADV,уыцы сахат,diouzhtu
728,sofort::ADV,уайтагъд,diouzhtu
729,später::ADV,фæстæдæр,diwezhatoc'h
730,jetzt::ADV,ныр,bremañ
731,heute::ADV,абон,hiziv
732,morgen::ADV,райсом,arc'hoazh
733,bald::ADV,тагъд,hepdale
734,bald::ADV,рæхджы,hepdale
735,dann::ADV,стæй,a-c'houde
736,gestern::ADV,знон,dec'h
737,einst::ADV,кӕддӕр,gwechall
738,damals::ADV,уæд,neuze
739,danach::ADV,стæй,goude
740,danach::ADV,уый фæстæ,goude
741,vorher::ADV,раздæр,diagent
742,zuerst::ADV,фыццаг,da gentañ
743,einmal::ADV,иу хатт,ur wech
744,manchmal::ADV,хатт,a-wechoù
745,oft::ADV,арæх,alies
