,Concept_ID,he,zh
65,Boden::N,קרקע,地面
66,Erde::N,אדמה,地
67,Staub::N,אבק,灰尘
68,Rauch::N,עשן,烟
69,Funke::N,ניצוץ,火花
70,Feuer::N,אש,火
71,Licht::N,אור,光
72,Schatten::N,צל,影子
73,Wetter::N,מזג אויר,天气
74,Nebel::N,ערפל,雾
75,Wolke::N,ענן,云
76,Regen::N,גשם,雨
77,Schnee::N,שלג,雪
78,Eis::N,קרח,冰
79,Frost::N,צנה,霜冻
80,Kälte::N,קר,寒冷
81,Hitze::N,חם,炎热
82,Raureif::N,כפור,霜
83,Regenbogen::N,קשת,虹
84,Donner::N,רעם,雷
85,Strömung::N,זרימה,水流
86,Tropfen::N,טפה,滴
87,Schaum::N,קצף,泡沫
88,Schmutz::N,לכלוך,赃物
89,See::N,אגם,湖
90,Sumpf::N,בצה,沼泽
91,Moor::N,בצה,沼泽
92,Wiese::N,מרעה,草地
93,Wald::N,יער,森林
94,Hügel::N,תל,丘陵
95,Anhöhe::N,מעלה,山丘
96,Berg::N,הר,山
97,Gipfel::N,פסגה,峰
98,Höhle::N,מערה,洞穴
99,Abhang::N,מדרון,斜坡
100,Abhang::N,שפוע,斜坡
101,Quelle::N,מעין,泉
102,Bach::N,נחל,溪
103,Fluss::N,נהר,河流
104,Ufer::N,גדה,岸
105,Küste::N,חוף,海岸
106,Festland::N,יבשה,大陆
107,Meer::N,ים,海
108,Bucht::N,מפרץ,海湾
109,Insel::N,אי,岛
110,Blume::N,פרח,花
111,Gras::N,דשא,草
112,Wurzel::N,שרש,根
113,Baum::N,עץ,树
114,Stamm::N,גזע,树干
115,Rinde::N,קלפת עץ,树皮
116,Ast::N,ענף,树枝
117,Zweig::N,ענף,树枝
118,Blatt::N,עלה,叶子
119,Birke::N,שדר,桦木
120,Kiefer[Baum]::N,ארן,松树
121,Weide[Baum]::N,ערבה,柳树
122,Tanne::N,אשוח,冷杉
123,Horn::N,קרן,角
124,Feder::N,נוצה,羽毛
125,Fell::N,פרוה,皮毛
126,Flügel::N,כנף,翅膀
127,Klaue::N,טלף,爪子
128,Kralle::N,טפר,爪子
129,Schwanz::N,זנב,尾巴
130,Ei::N,ביצה,蛋
131,Nest::N,קן,巢
132,Bau::N,מחלה,穴
133,Tier::N,חיה,动物
134,Herde::N,עדר,群
135,Kuh::N,פרה,母牛
136,Bulle::N,פר,公牛
137,Pferd::N,סוס,马
138,Schaf::N,כבשה,羊
139,Schwein::N,חזיר,猪
140,Hund::N,כלב,狗
141,Katze::N,חתול,猫
142,Bär::N,דב,熊
143,Eichhörnchen::N,סנאי,松鼠
144,Elch::N,דישון,麋鹿
145,Fuchs::N,שועל,狐狸
146,Hase::N,ארנב,兔子
147,Maus::N,עכבר,老鼠
148,Wolf::N,זאב,狼
149,Vogel::N,צפור,鸟
150,Schwarm::N,נחיל,群
151,Schwarm::N,להקה,群
152,Huhn::N,תרנגלת,鸡
153,Hahn::N,תרנגול,公鸡
154,Gans::N,אוז,鹅
155,Adler::N,עיט,鹰
156,Ente::N,ברוז,鸭
157,Eule::N,ינשוף,猫头鹰
158,Kranich::N,עגור,鹤
159,Kranich::N,כרוכיה,鹤
160,Krähe::N,עורב,乌鸦
161,Kuckuck::N,קוקיה,布谷鸟
162,Schwan::N,ברבור,天鹅
163,Fisch::N,דג,鱼
164,Barsch::N,אוקונוס,鲈鱼
165,Hecht::N,זאב הים,狗鱼
166,Schlange[Tier]::N,נחש,蛇
167,Wurm::N,תולעת,蠕虫
168,Spinne::N,עכביש,蜘蛛
169,Ameise::N,נמלה,蚂蚁
170,Laus::N,כנה,虱子
171,Mücke::N,יתוש,蚊子
172,Fliege::N,זבוב,苍蝇
173,Schmetterling::N,פרפר,蝴蝶
174,Beere::N,ענבה,将果
175,Apfel::N,תפוח,苹果
176,Pilz::N,פטריה,蘑菇
177,Zwiebel::N,בצל,洋葱
178,Saat::N,זרעים,种子
179,Korn::N,גרעין,谷粒
180,Heu::N,חציר,干草
181,Schale::N,קלפה,壳
182,Grube::N,בור,坑
183,Grube::N,שוחה,坑
184,Falle::N,מלכדת,圈套
185,Schlinge::N,לולאה,活扣
186,Spur::N,עקבה,踪迹
187,Asche::N,אפר,灰烬
188,Dreck::N,זהמה,污垢
189,Eisen::N,ברזל,铁
190,Gold::N,זהב,金子
191,Silber::N,כסף,银
192,Kohle::N,פחם,煤
193,Glas::N,זכוכית,玻璃
194,Lehm::N,חרסית,粘土
195,Sand::N,חול,沙
196,Mensch::N,אדם,人
197,Mann::N,איש,男子
198,Mann::N,גבר,男子
199,Frau::N,אשה,妇女
200,Frau::N,גברת,妇女
201,Kind::N,ילד,小孩
202,Junge::N,ילד,男孩
203,Mädchen::N,נערה,女孩
204,Familie::N,משפחה,家庭
205,Großvater::N,סבא,祖父
206,Großmutter::N,סבתא,祖母
207,Eltern::N,הורים,父母
208,Vater::N,אב,父亲
209,Mutter::N,אם,母亲
210,Sohn::N,בן,儿子
211,Tochter::N,בת,女儿
212,Bruder::N,אח,兄弟
213,Schwester::N,אחות,姐妹
214,Onkel::N,דוד,伯父
215,Tante::N,דודה,阿姨
216,Ehemann::N,איש,丈夫
217,Ehemann::N,בעל,丈夫
218,Ehefrau::N,אשה,妻子
219,Freude::N,שמחה,愉快
220,Gelächter::N,צחוק,大笑
221,Glück::N,אשר,运气
222,Kummer::N,יגון,苦恼
223,Kummer::N,עגמה,苦恼
224,Wunsch::N,אחול,愿望
225,Wunsch::N,משאלה,愿望
226,Lust::N,חשק,乐趣
227,Lust::N,תשוקה,乐趣
228,Geist::N,רוח,精神
229,Gedanke::N,מחשבה,思想
230,Gedächtnis::N,זכרון,记性
231,Verstand::N,שכל,理智
232,Sinn::N,מובן,感觉
233,Sinn::N,משמעות,感觉
234,Grund::N,סבה,理由
235,Wahrheit::N,אמת,真理
236,Gespräch::N,דיון,谈话
237,Märchen::N,אגדה,童话
238,Erzählung::N,ספור,故事
239,Nachricht::N,ידיעה,消息
240,Neuigkeit::N,חדשה,新闻
241,Name::N,שם,名字
242,Rätsel::N,תעלומה,谜语
243,Rede::N,נאום,讲话
244,Sprache::N,לשון,语言
245,Stimme::N,קול,声音
246,Wort::N,מלה,词
247,Zeichen::N,סימן,标记
248,Ruf::N,קריאה,呼喊
249,Lärm::N,רעש,噪音
250,Laut::N,הגה,响声
251,Ton::N,צליל,声音
252,Lied::N,שיר,歌曲
253,Ruhe::N,שלוה,安静
254,Leute::N,אנשים,人们
255,Volk::N,עם,人民
256,Arbeit::N,עבודה,劳动
257,Gast::N,אורח,客人
258,Geschenk::N,מתנה,礼物
259,Spiel::N,משחק,游戏
260,Gesellschaft::N,חברה,陪同
261,Hilfe::N,עזרה,帮助
262,Freund::N,חבר,朋友
263,Freund::N,ידיד,朋友
264,Kamerad::N,רע,同志
265,Angelegenheit::N,ענין,事情
266,Anzahl::N,מספר,数目
267,Art::N,סוג,种类
268,Stück::N,חתיכה,块
269,Teil::N,פרק,部分
270,Hälfte::N,חצי,一半
271,Kreis::N,מעגל,圆
272,Kreuz::N,צלב,十字架
273,Linie::N,קו,线条
274,Strich::N,קו קצר,划
275,Abstand::N,מרחק,距离
276,Entfernung::N,מרחק,距离
277,Gegend::N,נוף,地区
278,Platz::N,שטח,场所
279,Ort::N,אתר,地点
280,Ort::N,מקום,地点
281,Seite::N,צד,面
282,Mitte::N,אמצע,中间
283,Gegenstand::N,אוביקט,物品
284,Sache::N,דבר,物
285,Rand::N,פרור,边
286,Kante::N,קצה,棱
287,Ecke::N,פנה,角
288,Spitze::N,קצה,尖
289,Ende::N,סוף,结尾
290,Loch::N,חר,洞
291,Winkel::N,פנה,角度
292,Muster::N,תבנית,模型
293,Größe::N,גדל,大小
294,Länge::N,ארך,长度
295,Höhe::N,קומה,高度
296,Höhe::N,גבה,高度
297,Gewicht::N,משקל,重量
298,Menge::N,כמות,数量
299,Haufen::N,ערמה,堆
300,Reihe::N,רצף,行
301,Boot::N,סירה,小船
302,Ruder::N,משוט,奖
303,Schlitten::N,מזחלת,雪橇
304,Ski::N,מגלשים,雪板
305,Lagerfeuer::N,מדורה,营火
306,Last::N,משא,负担
307,Gang::N,הליכה,行走
308,Schritt::N,צעד,步伐
309,Norden::N,צפון,北
310,Süden::N,דרום,南
311,Westen::N,מערב,西
312,Osten::N,מזרח,东
313,Holz::N,עץ,木材
314,Brett::N,קרש,木板
315,Platte::N,לוח,平板
316,Stütze::N,משען,支架
317,Stange::N,מוט,杆
318,Stock::N,מקל,棒
319,Stab::N,מוט,棍
320,Rohr::N,צנור,管子
321,Haus::N,בית,房屋
322,Heim::N,בית,家
323,Ofen::N,תנור,炉子
324,Fußboden::N,רצפה,地板
325,Tisch::N,שלחן,桌子
326,Stuhl::N,כסא,椅子
327,Wiege::N,ערש,摇蓝
328,Bett::N,מטה,床
329,Regal::N,מדף,架子
330,Kiste::N,תבה,箱子
331,Kiste::N,ארגז,箱子
332,Fenster::N,חלון,窗户
333,Tür::N,דלת,门
334,Tor::N,שער,大门
335,Zaun::N,גדר,篱笆
336,Dach::N,גג,屋顶
337,Leiter::N,סלם,梯子
338,Besen::N,מטאטא,扫帚
339,Spaten::N,את,铁锹
340,Schaufel::N,את,铁锹
341,Gabel::N,מזלג,叉
342,Löffel::N,כף,食匙
343,Messer::N,סכין,刀
344,Nagel::N,מסמר,钉子
345,Netz::N,רשת,网
346,Haken::N,וו,钩子
347,Haken::N,קרס,钩子
348,Griff::N,ידית,把柄
349,Schloss::N,מנעול,锁
350,Bild::N,תמונה,图画
351,Figur::N,פסל,人像
352,Puppe::N,בבה,娃娃
353,Beutel::N,שק,袋子
354,Bündel::N,צרור,捆
355,Tasche::N,שקית,手提包
356,Eimer::N,דלי,桶
357,Deckel::N,מכסה,盖子
358,Geschirr::N,כלים,餐具
359,Sack::N,שק,袋子
360,Tasse::N,ספל,杯子
361,Topf::N,סיר,锅
362,Kessel::N,קנקן,水壶
363,Essen::N,אכל,进餐
364,Essen::N,ארוחה,进餐
365,Nahrung::N,הזנה,食物
366,Nahrung::N,תזונה,食物
367,Speise::N,מאכל,菜肴
368,Speise::N,ארוחה,菜肴
369,Fleisch::N,בשר,肉
370,Getreide::N,דגן,谷物
371,Brei::N,מחית,粥
372,Brot::N,לחם,面包
373,Scheibe::N,עגול,片
374,Scheibe::N,פרוסה,片
375,Fett::N,שמן,脂肪
376,Butter::N,חמאה,黄油
377,Öl::N,שמן,油
378,Salz::N,מלח,盐
379,Suppe::N,מרק,汤
380,Honig::N,דבש,蜂蜜
381,Milch::N,חלב,奶
382,Tee::N,תה,茶
383,Leder::N,עור,皮革
384,Wolle::N,צמר,毛线
385,Stoff::N,בד,织物
386,Stoff::N,אריג,织物
387,Nadel::N,מחט,针
388,Faden::N,חוט,线
389,Knopf::N,כפתור,纽扣
390,Knoten::N,קשר,结
391,Farbe::N,צבע,颜色
392,Kleidung::N,בגדים,衣服
393,Hemd::N,חלצה,衬衫
394,Kragen::N,צוארון,领子
395,Ärmel::N,שרוול,袖子
396,Hose::N,מכנסים,裤子
397,Gürtel::N,חגורה,腰带
398,Mütze::N,כובע,帽子
399,Schuh::N,נעל,鞋
400,Stiefel::N,מגף,靴子
401,Ring::N,טבעת,戒指
402,Band::N,סרט,带子
403,Kamm::N,מסרק,梳子
404,Spiegel::N,מראה,镜子
405,Riemen::N,רצועה,皮带
406,Schnur::N,חבל,绳子
407,Leine::N,מושכות,皮带
408,Decke::N,שמיכה,被子
409,Kissen::N,כרית,软垫
410,Tuch::N,צעיף,巾
411,Handtuch::N,מגבת,手巾
412,Kraft::N,כוח,力
413,Stärke::N,און,力量
414,Gesundheit::N,בריאות,健康
415,Krankheit::N,מחלה,病
416,Schmerz::N,כאב,痛
417,Wunde::N,פציעה,伤口
418,Fieber::N,חם,发烧
419,Arznei::N,תרופה,药
420,Brücke::N,גשר,桥
421,Brunnen::N,באר,井
422,Weide::N,אחו,牧场
423,Weide::N,מרעה,牧场
424,Pfad::N,שביל,小路
425,Pfad::N,מדרכה,小路
426,Weg::N,דרך,路
427,Straße::N,כביש,街
428,Dorf::N,כפר,村庄
429,Stadt::N,עיר,城市
430,Brief::N,מכתב,信
431,Buch::N,ספר,书
432,Buchstabe::N,אות,字母
433,Zeitung::N,עתון,报纸
434,Leben::N,חיים,生命
435,Tod::N,מות,死亡
436,Grab::N,קבר,坟墓
437,Kirche::N,כנסיה,教堂
438,Sünde::N,חטא,罪
439,Gott::N,אל,上帝
440,Arbeiter::N,פועל,工人
441,Chef::N,ראש,上司
442,Chef::N,מנהל,上司
443,Meister::N,ממחה,师傅
444,Arzt::N,רופא,医生
445,Lehrer::N,מורה,教师
446,Geld::N,כסף,钱
447,Geschäft::N,עסקה,交易
448,Laden::N,חנות,商店
449,Preis::N,מחיר,价格
450,Ware::N,סחורה,商品
451,Nutzen::N,תועלת,好处
452,Reichtum::N,עשר,财富
453,Welt::N,עולם,世界
454,Land::N,ארץ,国家
455,Staat::N,מדינה,国家
456,König::N,מלך,国王
457,Macht::N,כוח,权力
458,Grenze::N,גבול,边界
459,Krieg::N,מלחמה,战争
460,Feind::N,אויב,敌人
461,Gewalt::N,אלימות,暴力
462,Kampf::N,קרב,战斗
463,Kampf::N,לחימה,战斗
464,Bogen[Waffe]::N,קשת,弓
465,Pfeil::N,חץ,箭
466,Gewehr::N,רובה,枪
467,Fehler::N,טעות,错误
468,Lüge::N,שקר,谎话
469,Schaden::N,נזק,损失
470,Unglück::N,מזל רע,不幸
471,Schuld::N,אשמה,过错
472,Alter::N,גיל,年龄
473,Schluss::N,סיום,结束
474,Zeit::N,זמן,时间
475,Tag::N,יום,天
476,Morgen::N,בקר,早晨
477,Mittag::N,צהרים,中午
478,Abend::N,ערב,晚上
479,Nacht::N,לילה,夜
480,Woche::N,שבוע,星期
481,Monat::N,חדש,月
482,Jahr::N,שנה,年
483,Frühling::N,אביב,春天
484,Sommer::N,קיץ,夏天
485,Herbst::N,סתו,秋天
486,Winter::N,חרף,冬天
487,Januar::N,ינואר,一月
488,Februar::N,פברואר,二月
489,März::N,מרץ,三月
490,April::N,אפריל,四月
491,Mai::N,מאי,五月
492,Juni::N,יוני,六月
493,Juli::N,יולי,七月
494,August::N,אוגוסט,八月
495,September::N,ספטמבר,九月
496,Oktober::N,אוקטובר,十月
497,November::N,נובמבר,十一月
498,Dezember::N,דצמבר,十二月
499,Montag::N,יום שני,星期一
500,Dienstag::N,יום שלישי,星期二
501,Mittwoch::N,יום רביעי,星期三
502,Donnerstag::N,יום חמישי,星期四
503,Freitag::N,יום ששי,星期五
504,Samstag::N,יום שבת,星期六
505,Sonntag::N,יום ראשון,星期日
506,groß::A,גדול,大
507,klein::A,קטן,小
508,lang::A,ארך,长
509,kurz::A,קצר,短
510,breit::A,רחב,宽
511,schmal::A,צר,细长的
512,dicht::A,צפוף,密
513,dick[Gegenstand]::A,עבה,厚
514,dünn::A,דק,薄
515,fein::A,מעדן,细小
516,fest::A,מוצק,固体
517,flach::A,שטוח,平坦
518,glatt::A,חלק,光滑
519,hart::A,קשיח,硬
520,weich::A,רך,软
521,rund::A,עגל,圆
522,spitz::A,חד,尖
523,scharf::A,חד,锋利
524,stumpf::A,קהה,钝
525,schwer::A,כבד,重
526,schön::A,יפה,美丽
527,heiß::A,חם,烫
528,warm::A,חם,暖和
529,kalt::A,קר,冷
530,kühl::A,צונן,凉
531,frisch::A,טרי,新鲜
532,feucht::A,לח,潮湿
533,nass::A,רטוב,湿
534,trocken::A,יבש,干
535,voll::A,מלא,满
536,leer::A,ריק,空
537,offen::A,פתוח,敞开
538,geschlossen::A,סגור,关闭
539,sauber::A,נקי,干净
540,schmutzig::A,מלכלך,肮脏
541,roh::A,חי,生
542,reif::A,בשל,成熟
543,lecker::A,טעים,好吃
544,süß::A,מתוק,甜
545,bitter::A,מר,苦
546,sauer::A,חמוץ,酸
547,hell::A,בהיר,亮
548,dunkel::A,עמום,阴暗
549,schwarz::A,שחר,黑
550,weiß::A,לבן,白
551,rot::A,אדם,红
552,gelb::A,צהב,黄
553,blau::A,כחל,蓝
554,grün::A,ירק,绿
555,grau::A,אפר,灰色
556,bunt::A,צבעוני,五彩
557,billig::A,זול,便宜
558,teuer::A,יקר,贵
559,wertvoll::A,יקר ערך,贵重
560,blind::A,עור,瞎
561,taub::A,חרש,聋
562,kräftig::A,חסן,强壮
563,stark::A,חזק,强壮
564,schwach::A,חלש,弱
565,fett::A,שמן,胖
566,schlank::A,רזה,苗条
567,hübsch::A,יפה תאר,漂亮
568,böse::A,רשע,邪恶
569,dumm::A,טפש,笨
570,faul::A,עצלן,懒惰
571,fleißig::A,חרוץ,勤奋
572,geizig::A,קמצן,吝啬
573,klug::A,נבון,聪明
574,klug::A,פקח,聪明
575,geschickt::A,מימן,灵巧
576,lieb::A,יקר,可爱
577,lieb::A,אהוב,可爱
578,lustig::A,עליז,快乐
579,sanft::A,עדין,柔和
580,hungrig::A,רעב,饥饿
581,krank::A,חולה,患病
582,nackt::A,ערום,裸体
583,traurig::A,עצוב,悲哀
584,lebendig::A,חי,活
585,gut::A,טוב,好
586,schlecht::A,גרוע,坏
587,richtig::A,נכון,正确
588,schlimm::A,רע,糟糕
589,wahr::A,אמתי,真
590,alt::A,ישן,旧
591,neu::A,חדש,新
592,ehemalig::A,לשעבר,以前
593,alt[Lebewesen]::A,זקן,老
594,jung::A,צעיר,年轻
595,arm::A,עני,贫穷
596,reich::A,עשיר,富裕
597,bekannt::A,ידוע,出名
598,berühmt::A,מפרסם,著名
599,fremd::A,זר,陌生
600,verschieden::A,שונה,不同
601,nah::A,קרוב,近
602,fern::A,רחוק,遥远
603,linker::A,שמאלי,左
604,rechter::A,ימין,右
605,anderer::A,אחר,别的
606,erster::A,ראשון,第一
607,zweiter::A,שני,第二
608,dritter::A,שלישי,第三
609,letzter::A,אחרון,最后
610,allein::ADV,לבד,单独
611,auf einmal::ADV,בו-זמנית,同时
612,zusammen::ADV,ביחד,一起
613,lange::ADV,הרבה זמן,许久
614,plötzlich::ADV,לפתע,忽然
615,plötzlich::ADV,פתאום,忽然
616,sofort::ADV,מיד,立刻
617,später::ADV,לאחר זמן,以后
618,später::ADV,יותר מאחר,以后
619,jetzt::ADV,עכשיו,现在
620,heute::ADV,היום,今天
621,morgen::ADV,מחר,明天
622,bald::ADV,בקרוב,即将
623,dann::ADV,אחר-כך,然后
624,gestern::ADV,אתמול,昨天
625,einst::ADV,לפנים,曾经
626,damals::ADV,אז,当时
627,danach::ADV,אחר-כך,随后
628,vorher::ADV,לפני זה,事先
629,zuerst::ADV,קדם,首先
630,einmal::ADV,פעם,一次
631,manchmal::ADV,לפעמים,有时
632,oft::ADV,לעתים קרובות,时常
633,immer::ADV,תמיד,总是
634,niemals::ADV,אף פעם,从未
635,hier::ADV,כאן,这里
636,hierhin::ADV,פה,到这里
637,von hier::ADV,מפה,由此
638,dort::ADV,שם,那里
639,dorthin::ADV,שם,到那里
640,geradeaus::ADV,ישר,一直往前
641,vorwärts::ADV,קדימה,向前
642,rückwärts::ADV,לאחור,向后
643,zurück::ADV,בחזרה,退后
644,zurück::ADV,אחורנית,退后
645,unten::ADV,למטה,下面
646,hinab::ADV,למטה,向下
647,oben::ADV,מעל,上面
648,oben::ADV,למעלה,上面
649,hinauf::ADV,למעלה,向上
650,überall::ADV,בכל מקום,到处
651,nicht::ADV,לא,不
652,ein wenig::ADV,קצת,一点儿
653,kaum::ADV,בקשי,几乎不
654,sehr::ADV,מאוד,很
655,so::ADV,כך,如此
656,so::ADV,ככה,如此
657,noch::ADV,עוד,还
658,noch::ADV,עדין,还
659,nur::ADV,רק,只
660,schon::ADV,כבר,已经
661,wieder::ADV,שוב,又
662,vergebens::ADV,לריק,
663,vergebens::ADV,לשוא,
664,vor::PRP,מול,在...面前
665,hinter::PRP,מאחורי,在...背后
666,unter::PRP,מתחת,在...下面
667,durch::PRP,דרך,穿过
668,neben::PRP,ליד,在...旁
669,neben::PRP,על-יד,在...旁
670,zwischen::PRP,בין,在...之间
671,wegen::PRP,בשל,由于
672,wegen::PRP,בגלל,由于
673,dies::PRN,זה,这
674,das::PRN,זה,那
675,alles::PRN,הכל,一切
676,ich::PRN,אני,我
677,du::PRN,את,你
678,du::PRN,אתה,你
679,er::PRN,הוא,他
680,wir::PRN,אנחנו,我们
681,ihr::PRN,לה,你们
682,sie::PRN,הם,她
683,was::FPRN,מה,什么
684,wer::FPRN,מי,谁
685,wo::FADV,איפה,哪里
686,wohin::FADV,לאן,去哪里
687,wie::FADV,איך,怎么
688,warum::FADV,למה,为什么
689,wieviel::FNUM,כמה,多少
690,eins::NUM,אחד,一
691,zwei::NUM,שתים,二
692,drei::NUM,שלושה,三
693,vier::NUM,ארבעה,四
694,fünf::NUM,חמשה,五
695,sechs::NUM,ששה,六
696,sieben::NUM,שבעה,七
697,acht::NUM,שמונה,八
698,neun::NUM,תשעה,九
699,zehn::NUM,עשרה,十
700,elf::NUM,אחת עשרה,十一
701,zwölf::NUM,שתים עשרה,十二
702,zwanzig::NUM,עשרים,二十
703,dreißig::NUM,שלושים,三十
704,vierzig::NUM,ארבעים,四十
705,fünfzig::NUM,חמשים,五十
706,sechzig::NUM,ששים,六十
707,siebzig::NUM,שבעים,七十
708,achtzig::NUM,שמונים,八十
709,neunzig::NUM,תשעים,九十
710,hundert::NUM,מאה,百
711,tausend::NUM,אלף,千
712,und::CNJ,ו,和
713,oder::CNJ,או,或者
714,stehen::V,עמד,站
715,sitzen::V,ישב,坐
716,liegen::V,שכב,躺着
717,hängen::V,היה תלוי,挂着
718,werden::V,הפך ל,成为
719,passieren::V,קרה,发生
720,beginnen::V,התחיל,开始
721,enden::V,הסתים,终止
722,wechseln::V,השתנה,变迁
723,aufgehen[Sonne]::V,זרח,升起
724,untergehen[Sonne]::V,שקע,下落
725,scheinen[Sonne]::V,בהק,照射
726,donnern::V,רעם,打雷
727,wehen::V,נשב,飘扬
728,strömen::V,זרם,流
729,fließen::V,זרם,流动
730,sich drehen::V,הסתובב,转动
731,schwanken::V,התנודד,摇摆
732,schwingen::V,התנענע,摇
733,fallen::V,נפל,坠落
734,brennen::V,בער,燃烧
735,rauchen::V,עשן,冒烟
736,regnen::V,ירד גשם,下雨
737,gefrieren::V,קפא,结冰
738,tauen::V,נמס,融化
739,schmelzen::V,התיך,溶化
740,trocknen::V,התיבש,变干
741,sieden::V,רתח,煮
742,faulen::V,רקב,腐烂
743,verfaulen::V,רקב,腐烂
744,reißen::V,נקרע,撕
745,versinken::V,טבע,下沉
746,vergehen::V,עבר,流逝
747,erscheinen::V,נגלה,出现
748,erscheinen::V,הופיע,出现
749,verschwinden::V,נעלם,消失
750,sinken::V,ירד,下降
751,abnehmen::V,הפחית,减少
752,zunehmen::V,רבה,增加
753,steigen::V,עלה,上升
754,wachsen::V,גדל,生长
755,glänzen::V,נצץ,发光
756,glänzen::V,בהק,发光
757,funkeln::V,נצנץ,闪烁
758,lärmen::V,רעש,吵闹
759,läuten::V,צלצל,响
760,klingeln::V,צלצל,按铃
761,klirren::V,קרקש,
762,brausen::V,געש,疾驶
763,rauschen::V,רשרש,
764,klingen::V,נשמע,听起来
765,bellen::V,נבח,吠
766,heulen::V,ילל,嗥
767,blasen::V,נשף,吹
768,pfeifen::V,שרק,吹口哨
769,schreien::V,צעק,叫喊
770,stöhnen::V,נאנק,呻吟
771,zittern::V,רעד,颤抖
772,leben::V,חי,生存
773,geboren werden::V,נולד,出生
774,atmen::V,נשם,呼吸
775,trinken::V,שתה,喝
776,essen::V,אכל,吃
777,schlucken::V,בלע,咽
778,müde werden::V,התעיף,疲倦
779,einschlafen::V,נרדם,入睡
780,schlafen::V,ישן,睡觉
781,aufwachen::V,התעורר,睡醒
782,aufstehen::V,קם,起床
783,sich erholen::V,נפש,休养
784,krank werden::V,חלה,生病
785,krank sein::V,היה חולה,生病
786,schmerzen::V,כאב,疼痛
787,husten::V,השתעל,咳
788,genesen::V,הבריא,痊愈
789,sterben::V,מת,死
790,umkommen::V,נספה,丧命
791,sich bewegen::V,נע,移动
792,sich rühren::V,זז,动弹
793,sich erheben::V,קם,站起
794,sich setzen::V,התישב,坐
795,hinfallen::V,נפל,跌倒
796,laufen::V,הלך ברגל,步行
797,schreiten::V,פסע,迈步
798,spazierengehen::V,טיל,散步
799,eilen::V,אץ,急忙
800,eilen::V,מהר,急忙
801,sich beeilen::V,מהר,赶快
802,sausen::V,אץ,疾驰
803,rennen::V,רץ,奔跑
804,springen::V,קפץ,跳
805,klettern::V,טפס,攀缘
806,schaukeln::V,התנדנד,荡秋千
807,kriechen::V,זחל,爬行
808,schwimmen::V,שחה,游泳
809,tauchen::V,צלל,潜水
810,rudern::V,חתר,划船
811,fahren::V,נסע,行驶
812,fliegen::V,עף,飞
813,gehen::V,הלך,走
814,weggehen::V,עזב,离去
815,abfahren::V,יצא,出发
816,anhalten::V,עצר,停住
817,hineingehen::V,נכנס,进去
818,eintreten::V,נכנס,进入
819,kommen::V,בא,来
820,ankommen::V,הגיע,到达
821,zurückkommen::V,שב,回来
822,zurückkommen::V,חזר,回来
823,bleiben::V,נשאר,停留
824,warten::V,חכה,等
825,warten::V,המתין,等
826,erwarten::V,צפה,等候
827,suchen::V,חפש,找
828,finden::V,מצא,找到
829,versuchen::V,נסה,尝试
830,vorbereiten::V,הכין,预备
831,lieben::V,אהב,爱
832,mögen::V,אהב,喜欢
833,lachen::V,צחק,笑
834,rühren::V,נגע ללב,
835,weinen::V,בכה,哭
836,schimpfen::V,גער,骂
837,sich ärgern::V,זעם,生气
