,Concept_ID,bg,cv
178,Maus::N,мишка,шӑши
179,Wolf::N,вълк,кашкӑр
180,Vogel::N,птица,кайӑк
181,Vogel::N,птица,вӗҫен кайӑк
182,Schwarm::N,рой,ушкӑн
183,Schwarm::N,рояк,ушкӑн
184,Huhn::N,кокошка,чӑх
185,Huhn::N,кокошка,чӑхӑ
186,Hahn::N,петел,автан
187,Gans::N,гъска,хур
188,Adler::N,орел,ӑмӑрт кайӑк
189,Ente::N,патица,кӑвакал
190,Eule::N,сова,тӑмана
191,Kranich::N,жерав,тӑрна
192,Krähe::N,врана,ула курак
193,Kuckuck::N,кукувица,куккук
194,Schwan::N,лебед,акӑш
195,Fisch::N,риба,пулӑ
196,Barsch::N,костур,уланкӑ
197,Hecht::N,щука,ҫӑрттан
198,Schlange[Tier]::N,змия,ҫӗлен
199,Wurm::N,червей,ӑман
200,Spinne::N,паяк,эрешмен
201,Ameise::N,мравка,кӑткӑ
202,Laus::N,въшка,пыйтӑ
203,Mücke::N,комар,вӑрӑм туна
204,Fliege::N,муха,шӑна
205,Schmetterling::N,пеперуда,лӗпӗш
206,Beere::N,плод,ҫырла
207,Apfel::N,ябълка,улма
208,Apfel::N,ябълка,пан улми
209,Pilz::N,гъба,кӑмпа
210,Zwiebel::N,лук,сухан
211,Zwiebel::N,кромид,сухан
212,Saat::N,семе,вӑрӑ
213,Korn::N,зърно,тӗшӗ
214,Korn::N,зърно,пӗрчӗ
215,Heu::N,сено,утӑ
216,Schale::N,кора,хупӑ
217,Grube::N,яма,шӑтӑк
218,Grube::N,дупка,шӑтӑк
219,Falle::N,примка,тапӑ
220,Falle::N,примка,капкӑн
221,Schlinge::N,клуп,йӑлӑ
222,Spur::N,диря,йӗр
223,Spur::N,следа,йӗр
224,Asche::N,пепел,кӗл
225,Dreck::N,кал,пылчӑк
226,Eisen::N,желязо,тимӗр
227,Gold::N,злато,ылтӑн
228,Silber::N,сребро,кӗмӗл
229,Kohle::N,въглища,кӑмрӑк
230,Glas::N,стъкло,кӗленче
231,Lehm::N,глина,тӑм
232,Sand::N,пясък,хӑйӑр
233,Mensch::N,човек,ҫын
234,Mensch::N,човек,этем
235,Mann::N,мъж,ар
236,Frau::N,жена,хӗрарӑм
237,Kind::N,дете,ача
238,Junge::N,момче,ача
239,Junge::N,момче,ар ҫын ача
240,Mädchen::N,момиче,хӗр ача
241,Familie::N,фамилия,ҫемье
242,Familie::N,фамилия,кил-йыш
243,Familie::N,семейство,ҫемье
244,Familie::N,семейство,кил-йыш
245,Großvater::N,дядо,кукаҫи
246,Großmutter::N,баба,кукамай
247,Eltern::N,родители,аҫа-ама
248,Vater::N,баща,атте
249,Mutter::N,майка,анне
250,Sohn::N,син,ывӑл
251,Tochter::N,дъщеря,хӗр
252,Bruder::N,брат,ар тӑван
253,Schwester::N,сестра,аппа
254,Schwester::N,сестра,йӑмӑк
255,Onkel::N,чичо,мучи
256,Onkel::N,чичо,пичче
257,Onkel::N,вуйчо,мучи
258,Onkel::N,вуйчо,пичче
259,Tante::N,леля,аппа
260,Ehemann::N,съпруг,упӑшка
261,Ehefrau::N,съпруга,арӑм
262,Freude::N,радост,савӑнӑҫ
263,Freude::N,радост,хаваслӑх
264,Gelächter::N,смях,кулӑ
265,Glück::N,щастие,телей
266,Glück::N,щастие,ӑраскал
267,Kummer::N,тъга,хурлӑх
268,Wunsch::N,желание,ӗмӗт
269,Wunsch::N,желание,кӑмӑл
270,Lust::N,желание,кӑмӑл
271,Geist::N,дух,чун-чӗм
272,Geist::N,дух,ыр-усал
273,Geist::N,дух,чун хавалӗ
274,Gedanke::N,мисъл,шухӑш
275,Gedächtnis::N,памет,ас
276,Verstand::N,ум,ӑс
277,Verstand::N,ум,ӑс-тӑн
278,Verstand::N,ум,ӑс-хакӑл
279,Verstand::N,разум,ӑс
280,Verstand::N,разум,ӑс-тӑн
281,Verstand::N,разум,ӑс-хакӑл
282,Sinn::N,смисъл,тупсӑм
283,Sinn::N,смисъл,пӗлтерӗш
284,Grund::N,причина,сӑлтав
285,Wahrheit::N,правда,чӑнлӑх
286,Gespräch::N,разговор,калаҫу
287,Märchen::N,приказка,юмах
288,Erzählung::N,разказ,акалав
289,Erzählung::N,разказ,каласа пани
290,Nachricht::N,вест,хыпар
291,Nachricht::N,известие,хыпар
292,Neuigkeit::N,новина,ҫӗнӗ хыпар
293,Name::N,име,ят
294,Rätsel::N,гатанка,сутмалли юмах
295,Rede::N,реч,сӑмах
296,Rede::N,слово,сӑмах
297,Sprache::N,език,чӗлхе
298,Stimme::N,глас,сасӑ
299,Wort::N,дума,сӑмах
300,Zeichen::N,знак,паллӑ
301,Ruf::N,зов,йыхрав
302,Ruf::N,зов,чӗнӳ
303,Lärm::N,шум,шав
304,Lärm::N,глъчка,шав
305,Laut::N,звук,сасӑ
306,Ton::N,тон,сасӑ
307,Lied::N,песен,юрӑ
308,Ruhe::N,тишина,канӑҫлӑх
309,Ruhe::N,тишина,лӑпкӑлӑх
310,Ruhe::N,спокойствие,канӑҫлӑх
311,Ruhe::N,спокойствие,лӑпкӑлӑх
312,Leute::N,хора,ҫамрӑксем
313,Leute::N,хора,ҫамрӑк ҫынсем
314,Volk::N,народ,халӑх
315,Arbeit::N,труд,ӗҫхӗл
316,Arbeit::N,труд,ӗҫлев
317,Arbeit::N,работа,ӗҫхӗл
318,Arbeit::N,работа,ӗҫлев
319,Gast::N,гост,хӑна
320,Geschenk::N,дар,парне
321,Geschenk::N,дар,кучченеҫ
322,Geschenk::N,подарък,парне
323,Geschenk::N,подарък,кучченеҫ
324,Spiel::N,игра,вӑйӑ
325,Gesellschaft::N,общество,общество
326,Hilfe::N,помощ,пулӑшу
327,Freund::N,приятел,тус
328,Kamerad::N,другар,юлташ
329,Kamerad::N,другар,тус
330,Angelegenheit::N,работа,ӗҫ
331,Anzahl::N,брой,йыш
332,Anzahl::N,брой,хисеп
333,Anzahl::N,количество,йыш
334,Anzahl::N,количество,хисеп
335,Art::N,вид,тӗс
336,Stück::N,къс,татӑк
337,Stück::N,парче,татӑк
338,Teil::N,дял,пай
339,Teil::N,част,пай
340,Hälfte::N,половина,ҫурӑ
341,Kreis::N,кръг,ункӑ
342,Kreis::N,кръг,ҫавракӑш
343,Kreuz::N,кръст,хӗрес
344,Linie::N,черта,йӗр
345,Strich::N,щрих,йӗр
346,Strich::N,черта,йӗр
347,Abstand::N,дистанция,хушӑ
348,Abstand::N,разстояние,хушӑ
349,Entfernung::N,разстояние,хушӑ
350,Gegend::N,местност,вырӑн
351,Platz::N,място,хутлӑх
352,Ort::N,място,вырӑн
353,Seite::N,страна,ен
354,Seite::N,страна,аяк
355,Seite::N,страна,айӑк
356,Mitte::N,среда,варӑ
357,Gegenstand::N,предмет,япала
358,Sache::N,вещ,япала
359,Rand::N,ръб,вӗҫ
360,Rand::N,ръб,хӗрӗ
361,Rand::N,ръб,хӗрри
362,Kante::N,ръб,хайкача
363,Kante::N,ръб,хысак
364,Kante::N,кант,хайкача
365,Kante::N,кант,хысак
366,Ecke::N,ъгъл,кӗтес
367,Spitze::N,връх,вӗҫ
368,Spitze::N,острие,вӗҫ
369,Ende::N,край,вӗҫ
370,Loch::N,дупка,шӑтӑк
371,Winkel::N,кът,кӗтес
372,Winkel::N,ъгъл,кӗтес
373,Muster::N,десен,эреш
374,Muster::N,образец,эреш
375,Größe::N,големина,пысӑкӑш
376,Länge::N,дължина,вӑрӑмӑш
377,Höhe::N,висота,ҫӳллӗш
378,Höhe::N,височина,ҫӳллӗш
379,Gewicht::N,тегло,виҫе
380,Gewicht::N,тегло,йывӑрӑш
381,Gewicht::N,тежест,виҫе
382,Gewicht::N,тежест,йывӑрӑш
383,Menge::N,количество,йыш
384,Haufen::N,куп,купа
385,Haufen::N,грамада,купа
386,Reihe::N,ред,рет
387,Reihe::N,редица,рет
388,Boot::N,лодка,кимӗ
389,Ruder::N,весло,кӗсмен
390,Ruder::N,гребло,кӗсмен
391,Schlitten::N,шейна,ҫуна
392,Ski::N,ски,йӗлтӗр
393,Lagerfeuer::N,огнище,вут
394,Lagerfeuer::N,огнище,кӑвайт
395,Last::N,товар,сулмаклӑх
396,Last::N,товар,йывӑр япала
397,Gang::N,ход,куҫӑм
398,Gang::N,вървеж,куҫӑм
399,Schritt::N,стъпка,утӑм
400,Schritt::N,стъпка,пусӑм
401,Norden::N,север,ҫурҫӗр
402,Süden::N,юг,кӑнтӑр
403,Westen::N,запад,анӑҫ
404,Westen::N,запад,хӗвел анӑҫ
405,Osten::N,изток,хӗвел тухӑҫ
406,Holz::N,дърво,йывӑҫ
407,Brett::N,дъска,хӑма
408,Stange::N,прът,шерте
409,Stange::N,върлина,шерте
410,Stock::N,прът,патак
411,Stock::N,тояга,патак
412,Stab::N,прът,шӑчӑ
413,Rohr::N,цев,пӑрӑх
414,Rohr::N,тръба,пӑрӑх
415,Haus::N,къща,ҫурт
416,Heim::N,дом,кил
417,Ofen::N,печка,кӑмака
418,Fußboden::N,под,урай
419,Tisch::N,маса,сӗтел
420,Stuhl::N,стол,пукан
421,Wiege::N,люлка,сӑпка
422,Bett::N,легло,кравать
423,Bett::N,креват,кравать
424,Regal::N,рафт,ҫӳлӗк
425,Regal::N,рафт,сентре
426,Regal::N,етажерка,ҫӳлӗк
427,Regal::N,етажерка,сентре
428,Kiste::N,кутия,ещӗк
429,Kiste::N,кутия,сунтӑх
430,Kiste::N,сандък,ещӗк
431,Kiste::N,сандък,сунтӑх
432,Fenster::N,прозорец,чӳрече
433,Tür::N,врата,алӑк
434,Tor::N,врата,хапха
435,Zaun::N,ограда,хӳме
436,Dach::N,покрив,тӑрӑ
437,Leiter::N,стълба,пусма
438,Besen::N,метла,шӑпӑр
439,Spaten::N,лопата,кӗреҫе
440,Schaufel::N,лопата,кӗреҫе
441,Gabel::N,вилица,вилка
442,Löffel::N,лъжица,кашӑк
443,Messer::N,нож,ҫӗҫӗ
444,Nagel::N,гвоздей,пӑта
445,Netz::N,мрежа,тетел
446,Haken::N,кука,йӑрхах
447,Haken::N,кука,ҫекӗл
448,Haken::N,закачалка,йӑрхах
449,Haken::N,закачалка,ҫекӗл
450,Griff::N,ръчка,хӑлӑп
451,Griff::N,дръжка,хӑлӑп
452,Schloss::N,брава,ҫӑра
453,Schloss::N,ключалка,ҫӑра
454,Bild::N,картина,сӑн
455,Bild::N,картина,сӑнлӑх
456,Bild::N,картина,картина
457,Figur::N,фигура,кӗлетке
458,Puppe::N,кукла,пукане
459,Beutel::N,кесия,михӗ
460,Bündel::N,връзка,ҫыхӑ
461,Bündel::N,връзка,тӗрке
462,Tasche::N,чанта,сумка
463,Eimer::N,кофа,витре
464,Deckel::N,капак,хупӑ
465,Deckel::N,похлупак,хупӑ
466,Geschirr::N,съдове,савӑт-сапа
467,Sack::N,чувал,михӗ
468,Tasse::N,чаша,курка
469,Topf::N,гърне,кастрюль
470,Topf::N,тенджера,кастрюль
471,Kessel::N,котел,хуран
472,Essen::N,ядене,апат
473,Nahrung::N,храна,апат-ҫимӗс
474,Speise::N,ястие,апат
475,Speise::N,ястие,ҫимӗҫ
476,Fleisch::N,месо,аш
477,Fleisch::N,месо,какай
478,Getreide::N,зърнено храни,тырӑ
479,Brei::N,каша,пӑтӑ
480,Brot::N,хляб,ҫӑкӑр
481,Scheibe::N,резен,чӗлӗ
482,Scheibe::N,резен,касӑк
483,Fett::N,мазнина,ҫу
484,Butter::N,масло,ҫу
485,Öl::N,олио,ҫу
486,Öl::N,оливия,ҫу
487,Salz::N,сол,тӑвар
488,Suppe::N,супа,яшка
489,Honig::N,мед,пыл
490,Milch::N,мляко,сӗт
491,Tee::N,чай,чей
492,Leder::N,кожа,сӑран
493,Wolle::N,вълна,ҫӑм
494,Stoff::N,плат,тӗртӗм
495,Stoff::N,материал,тӗртӗм
496,Nadel::N,игла,йӗп
497,Faden::N,конец,ҫип
498,Knopf::N,копче,тӳме
499,Knoten::N,възел,йӑлӑ
500,Farbe::N,боя,сӑрӑ
501,Kleidung::N,дрехи,тум
502,Kleidung::N,дрехи,ҫипуҫ
503,Kleidung::N,дрехи,тум-тир
504,Kleidung::N,облекло,тум
505,Kleidung::N,облекло,ҫипуҫ
506,Kleidung::N,облекло,тум-тир
507,Hemd::N,риза,кӗпе
508,Kragen::N,яка,ҫуха
509,Ärmel::N,ръкав,ҫанӑ
510,Hose::N,панталони,шӑлавар
511,Gürtel::N,пояс,пиҫиххи
512,Gürtel::N,колан,пиҫиххи
513,Mütze::N,каскет,ҫӗлӗк
514,Mütze::N,фуражка,ҫӗлӗк
515,Schuh::N,обувка,пушмак
516,Schuh::N,обувка,ботинок
517,Stiefel::N,ботуш,атӑ
518,Ring::N,пръстен,ҫӗрӗ
519,Band::N,лента,хаю
520,Band::N,лента,йӗсме
521,Band::N,връзка,хаю
522,Band::N,връзка,йӗсме
523,Kamm::N,гребен,тура
524,Spiegel::N,огледало,тӗкӗр
525,Spiegel::N,огледало,куҫ кӗски
526,Riemen::N,каиш,чӗн
527,Riemen::N,ремък,чӗн
528,Schnur::N,връв,кантра
529,Leine::N,връв,касмӑк
530,Leine::N,въже,касмӑк
531,Decke::N,покривка,утиял
532,Kissen::N,възглавница,ҫытар
533,Kissen::N,възглавница,минтер
534,Tuch::N,сукно,тутӑр
535,Handtuch::N,пешкир,ал шӑлли
536,Handtuch::N,кърпа за лице,ал шӑлли
537,Kraft::N,мощ,вӑй
538,Kraft::N,мощ,хӑват
539,Kraft::N,сила,вӑй
540,Kraft::N,сила,хӑват
541,Stärke::N,сила,хал
542,Stärke::N,сила,хӑват
543,Gesundheit::N,здраве,хал
544,Gesundheit::N,здраве,сывлӑх
545,Krankheit::N,болест,чир
546,Schmerz::N,болка,ырату
547,Wunde::N,рана,суран
548,Fieber::N,треска,сив чир
549,Fieber::N,температура,сив чир
550,Arznei::N,лек,эмел
551,Arznei::N,лекарство,эмел
552,Brücke::N,мост,кӗпер
553,Brunnen::N,чешма,ҫӑл
554,Brunnen::N,чешма,пусӑ
555,Brunnen::N,кладенец,ҫӑл
556,Brunnen::N,кладенец,пусӑ
557,Weide::N,паша,ҫаран
558,Weide::N,пасище,ҫаран
559,Pfad::N,пътека,йӗр
560,Pfad::N,пътека,сукмак
561,Weg::N,път,ҫул
562,Weg::N,път,ҫул-йӗр
563,Straße::N,шосе,ҫӳрев
564,Straße::N,шосе,ҫул ҫӳрени
565,Dorf::N,село,ял
566,Stadt::N,град,хула
567,Brief::N,писмо,ҫыру
568,Buch::N,книга,кӗнеке
569,Buchstabe::N,буква,сас палли
570,Zeitung::N,вестник,хаҫат
571,Leben::N,живот,пурнӑҫ
572,Tod::N,смърт,вилӗм
573,Grab::N,гроб,масар шӑтӑкӗ
574,Kirche::N,църква,чиркӳ
575,Sünde::N,грях,ҫылӑх
576,Gott::N,бог,турӑ
577,Arbeiter::N,работник,рабочи
578,Chef::N,шеф,пуҫлӑх
579,Chef::N,началник,пуҫлӑх
580,Meister::N,майстор,ӑста
581,Meister::N,майстор,мастер
582,Arzt::N,лекар,врач
583,Arzt::N,лекар,тухтӑр
584,Lehrer::N,учител,учитель
585,Lehrer::N,учител,вӗрентекен
586,Geld::N,пари,укҫа
587,Geschäft::N,сделка,бизнес
588,Laden::N,дюкян,магазин
589,Laden::N,магазин,магазин
590,Preis::N,цена,хак
591,Ware::N,стока,тавар
592,Nutzen::N,полза,пайта
593,Nutzen::N,облага,пайта
594,Reichtum::N,богатство,мул
595,Welt::N,свят,тӗнче
596,Land::N,страна,ҫӗр-шыв
597,Staat::N,щат,патшàлӑх
598,Staat::N,държава,патшàлӑх
599,König::N,крал,король
600,Macht::N,мощ,власть
601,Macht::N,власт,власть
602,Grenze::N,граница,чикӗ
603,Krieg::N,война,вӑрҫӑ
604,Feind::N,враг,тӑшман
605,Feind::N,неприятел,тӑшман
606,Gewalt::N,сила,ирӗксӗрлӳ
607,Gewalt::N,насилие,ирӗксӗрлӳ
608,Kampf::N,борба,кӗрешӳ
609,Kampf::N,сражение,кӗрешӳ
610,Bogen[Waffe]::N,лък,ухӑ
611,Pfeil::N,стрела,ҫӗмрен
612,Pfeil::N,стрела,ухӑ йӗппи
613,Gewehr::N,пушка,пӑшал
614,Fehler::N,грешка,йӑнӑш
615,Lüge::N,лъжа,суя
616,Lüge::N,лъжа,ултав
617,Schaden::N,повреда,сиен
618,Unglück::N,нещастие,шар
619,Unglück::N,нещастие,инкек
620,Schuld::N,вина,айӑп
621,Alter::N,възраст,ҫул шучӗ
622,Schluss::N,край,пӗтни
623,Schluss::N,край,пӗтмӗш
624,Zeit::N,време,вӑхӑт
625,Tag::N,ден,кун
626,Morgen::N,утро,ир
627,Morgen::N,сутрин,ир
628,Mittag::N,обед,кӑнтӑрла
629,Mittag::N,пладне,кӑнтӑрла
630,Abend::N,вечер,каҫ
631,Nacht::N,нощ,каҫ
632,Woche::N,седмица,эрне
633,Monat::N,месец,уйӑх
634,Jahr::N,година,ҫулталӑк
635,Frühling::N,пролет,ҫур
636,Frühling::N,пролет,ҫуркунне
637,Sommer::N,лято,ҫу
638,Sommer::N,лято,ҫулла
639,Herbst::N,есен,кӗр
640,Herbst::N,есен,кӗркунне
641,Winter::N,зима,хӗл
642,Winter::N,зима,хӗлле
643,Januar::N,януари,январь
644,Februar::N,февруари,февраль
645,Februar::N,февруари,кӗҫӗн кӑрлач
646,März::N,март,март
647,März::N,март,пуш уйӑхӗ
648,April::N,април,апрель
649,Mai::N,май,май
650,Juni::N,юни,июнь
651,Juli::N,юли,июль
652,August::N,август,август
653,September::N,септември,сентябрь
654,September::N,септември,авӑн уйӑхӗ
655,Oktober::N,октомври,октябрь
656,November::N,ноември,ноябрь
657,Dezember::N,декември,раштав
658,Dezember::N,декември,декабрь
659,Montag::N,понеделник,тунти кун
660,Dienstag::N,вторник,ытлари кун
661,Mittwoch::N,сряда,юн кун
662,Donnerstag::N,четвъртък,кӗҫнерни кун
663,Freitag::N,петък,эрне кун
664,Samstag::N,събота,шӑмат кун
665,Sonntag::N,неделя,вырсарни кун
666,groß::A,едър,пысӑк
667,groß::A,голям,пысӑк
668,klein::A,малък,пӗчӗк
669,klein::A,дребен,пӗчӗк
670,lang::A,дълъг,вӑрӑм
671,kurz::A,къс,кӗске
672,breit::A,широк,сарлака
673,schmal::A,тесен,ансӑр
674,dicht::A,гъст,йӑвӑ
675,dick[Gegenstand]::A,дебел,хулӑн
676,dünn::A,тънък,ҫинҫе
677,dünn::A,тънък,ҫӳхе
678,fein::A,фин,тарай
679,fein::A,фин,вӗлтӗрти
680,fein::A,тънък,тарай
681,fein::A,тънък,вӗлтӗрти
682,fest::A,твърд,тӗреклӗ
683,fest::A,плътен,тӗреклӗ
684,flach::A,равен,лаптак
685,flach::A,плосък,лаптак
686,glatt::A,гладък,такӑр
687,hart::A,твърд,хытӑ
688,hart::A,корав,хытӑ
689,weich::A,мек,ҫемҫе
690,rund::A,кръгъл,ҫавра
691,spitz::A,островръх,шӗвӗр
692,scharf::A,остър,ҫивӗч
693,stumpf::A,тъп,мӑка
694,stumpf::A,тъп,пуклак
695,stumpf::A,тъп,тӗрӗнчӗк
696,stumpf::A,тъп,ӑнкарусӑр
697,schwer::A,тежък,йывӑр
698,schön::A,хубав,илемлӗ
699,schön::A,красив,илемлӗ
700,heiß::A,жарък,вӗри
701,warm::A,топъл,ӑшӑ
702,kalt::A,студен,сивӗ
703,kühl::A,хладен,уҫӑ
704,frisch::A,свеж,уҫӑ
705,feucht::A,влажен,йӗпе
706,nass::A,мокър,нӳрӗ
707,trocken::A,сух,типӗ
708,voll::A,пълен,тулли
709,leer::A,празен,пушӑ
710,offen::A,откровен,уҫӑ
711,geschlossen::A,закрит,хупӑ
712,geschlossen::A,затворен,хупӑ
713,sauber::A,чист,таса
714,schmutzig::A,мръсен,пылчӑклӑ
715,schmutzig::A,мръсен,вараланчӑк
716,roh::A,суров,чӗрӗ
717,reif::A,зрял,пулнӑ
718,reif::A,зрял,пиҫӗхнӗ
719,reif::A,зрял,аталаннӑ
720,reif::A,зрял,пиҫсе ҫитнӗ
721,lecker::A,вкусен,тутлӑ
722,lecker::A,вкусен,техӗмлӗ
723,süß::A,сладък,пылак
724,bitter::A,горчив,йӳҫӗ
725,sauer::A,кисел,йӳҫӗ
726,sauer::A,кисел,йӳҫек
727,sauer::A,кисел,кӑвасак
728,hell::A,ясен,ҫутӑ
729,hell::A,светъл,ҫутӑ
730,dunkel::A,тъмен,тӗттӗм
731,schwarz::A,черен,хура
732,weiß::A,бял,шурӑ
733,rot::A,червен,хӗрлӗ
734,gelb::A,жълт,сарӑ
735,blau::A,син,кӑвак
736,grün::A,зелен,симӗс
737,grün::A,зелен,пиҫмен
738,grün::A,зелен,ӑс пухман
739,grau::A,сив,кӑвак
740,bunt::A,шарен,чӑпар
741,bunt::A,пъстър,чӑпар
742,billig::A,евтин,йӳнӗ
743,teuer::A,скъп,хаклӑ
744,wertvoll::A,ценен,паха
745,blind::A,сляп,суккӑр
746,taub::A,глух,хӑлхасӑр
747,kräftig::A,силен,хӑватлӑ
