,Concept_ID,lbe,ce
175,Schlange[Tier]::N,шатта,лаьхьа
176,Wurm::N,кьюнукьай шатта,нӏаьна
177,Spinne::N,ххялцу,гезг
178,Ameise::N,митӏикьукьу,зингат
179,Mücke::N,мичӏак,чуьрк
180,Fliege::N,зимиз,моза
181,Schmetterling::N,чӏимучӏали,полла
182,Beere::N,хӏаллил ахъулсса,цӏазам
183,Apfel::N,гьивч,ӏаж
184,Pilz::N,ттуккул иис,жӏаьлин нускал
185,Zwiebel::N,лаччул чсмусул бакӏ,xох
186,Saat::N,гьанна,чlу
187,Korn::N,къама,буьртиг
188,Heu::N,ххулув,йол
189,Schale::N,ккиртту,пардо
190,Grube::N,кӏаланг,ор
191,Falle::N,къатӏа,кӏело
192,Schlinge::N,хӏатӏ,
193,Spur::N,ша,лар
194,Asche::N,лах,чим
195,Dreck::N,кьяркьи,мода
196,Dreck::N,венп,мода
197,Eisen::N,мах,эчиг
198,Gold::N,муси,деши
199,Silber::N,арцу,дети
200,Kohle::N,кӏалаш,кӏора
201,Kohle::N,хъуручӏ,кӏора
202,Glas::N,пюрун,aнгали
203,Lehm::N,сина аьрщи,поппар
204,Sand::N,къун,гӏум
205,Mensch::N,инсан,адам
206,Mann::N,чув,майра
207,Mann::N,адимина,майра
208,Frau::N,щарсса,зуда
209,Frau::N,хъамитайпа,зуда
210,Kind::N,чӏиви оьрчӏ,бер
211,Junge::N,оьрчӏ,жимха
212,Junge::N,бурхьин оьрчӏ,жимха
213,Mädchen::N,душ,жима йоӏ
214,Familie::N,кулпат,доьзал
215,Großvater::N,ттатта,ненада
216,Großvater::N,ниттил ппу,ненада
217,Großmutter::N,буттал нину,денана
218,Eltern::N,нину-ппу,да-нана
219,Vater::N,ппу,да
220,Mutter::N,нину,нана
221,Sohn::N,арс,кӏант
222,Tochter::N,душ,йоӏ
223,Bruder::N,уссу,ваша
224,Schwester::N,ссу,йиша
225,Onkel::N,буттауссу,деваша
226,Tante::N,буттал ссу,дейиша
227,Ehemann::N,лас,майра
228,Ehefrau::N,щар,зуда
229,Ehefrau::N,щарсса,зуда
230,Freude::N,шадшиву,самукъа
231,Freude::N,шадшиву,хазахетар
232,Freude::N,ххаришиву,самукъа
233,Freude::N,ххаришиву,хазахетар
234,Gelächter::N,хъяхъаву,белам
235,Glück::N,талихӏ,ирс
236,Kummer::N,дард,бала
237,Wunsch::N,мурад,лаам
238,Lust::N,гьавас,лаам
239,Lust::N,ччаву,лаам
240,Geist::N,рухӏ,са
241,Gedanke::N,пикри,ойла
242,Gedächtnis::N,дакӏний личӏаву,диццадалар
243,Verstand::N,аькьлу,хьекъал
244,Sinn::N,мяъна,маьӏна
245,Grund::N,багьана,бахьана
246,Wahrheit::N,тӏайламур,бакъдерг
247,Wahrheit::N,хӏакьмур,бакъдерг
248,Gespräch::N,ихтилат,къамел
249,Märchen::N,магьа,туьйра
250,Erzählung::N,хавар,дийцар
251,Nachricht::N,хавар,хаам
252,Neuigkeit::N,хавар,керланиг
253,Name::N,цӏа,цӏе
254,Rätsel::N,ссигьа,хӏетал-метал
255,Rede::N,гъалгъа,къамел
256,Sprache::N,маз,мотт
257,Stimme::N,чӏу,aз
258,Stimme::N,чӏукӏа,aз
259,Wort::N,махъ,дош
260,Zeichen::N,лишан,билгало
261,Lärm::N,чӏу,гӏовгӏа
262,Laut::N,чӏу,аз
263,Ton::N,чӏу,aз
264,Lied::N,балай,илли
265,Ruhe::N,дигьалагру,тийналла
266,Leute::N,инсантал,нах
267,Volk::N,ил,халкъ
268,Volk::N,халкь,халкъ
269,Arbeit::N,заву,болх
270,Gast::N,хъамаличу,хьаша
271,Geschenk::N,бухчакарши,совгӏат
272,Geschenk::N,лажинккакку,совгӏат
273,Spiel::N,тӏуркӏу,ловзар
274,Gesellschaft::N,жямат,юкъаралла
275,Gesellschaft::N,ккуран,юкъаралла
276,Hilfe::N,кумаг,гӏо
277,Freund::N,дус,доттагl
278,Kamerad::N,хӏаласу,накъост
279,Angelegenheit::N,иш,гӏуллакх
280,Anzahl::N,аьдад,терахь
281,Art::N,жинс,
282,Stück::N,касак,юьхк
283,Teil::N,бутӏа,дакъа
284,Hälfte::N,дачӏи,ах
285,Kreis::N,кюрщан,го
286,Kreuz::N,ххач,жӏара
287,Linie::N,щва,сиз
288,Strich::N,щва,сиз
289,Abstand::N,манзил,юкъ
290,Entfernung::N,манзил,
291,Gegend::N,кӏану,мeттиг
292,Ort::N,кӏану,меттиг
293,Seite::N,чул,aгӏo
294,Seite::N,чулухалу,aгӏo
295,Mitte::N,дя,юкъ
296,Gegenstand::N,зат,хӏума
297,Sache::N,зат,хӏума
298,Rand::N,зума,йист
299,Ecke::N,мурцӏу,са
300,Spitze::N,мицӏ,ралла
301,Ende::N,зума,юьхьиг
302,Loch::N,ккутӏ,ӏуьрг
303,Winkel::N,мурцӏу,са
304,Muster::N,накьич,дагар
305,Muster::N,накьич,тӏамар
306,Länge::N,лахъишиву,йохалла
307,Höhe::N,лахъшиву,локхалла
308,Gewicht::N,дуццин,йозалла
309,Gewicht::N,кӏушиву,йозалла
310,Haufen::N,бакӏу,сал
311,Haufen::N,бакӏу,оьла
312,Reihe::N,кьюкьа,рагӏ
313,Reihe::N,кьюкьа,могӏа
314,Boot::N,луткка,кема
315,Ruder::N,весло,пийсиг
316,Ruder::N,чӏатӏа,пийсиг
317,Schlitten::N,чана,салаз
318,Schlitten::N,санкка,салаз
319,Ski::N,лижарду,когсалаз
320,Lagerfeuer::N,къавтӏн,цӏе
321,Last::N,гьиву,дукъ
322,Gang::N,нанаву,лелар
323,Schritt::N,ша,гӏулч
324,Norden::N,ухссав,къилбаседе
325,Norden::N,ухссавнил чулухалу,къилбаседе
326,Süden::N,кьилва,къилбе
327,Westen::N,баргълагавал,малхбузе
328,Westen::N,баргълагавал чул,малхбузе
329,Osten::N,баргъбуккай чулухалу,малхбале
330,Holz::N,тӏама,дечиг
331,Brett::N,тахта,у
332,Platte::N,гъуни,у
333,Stütze::N,гьалакӏу,гӏopтоp
334,Stange::N,къазихъ,гӏуркх
335,Stock::N,ттархь,ӏаса
