,Concept_ID,vep,ku
254,Wunsch::N,taht,daxwaz
255,Wunsch::N,taht,xwestek
256,Lust::N,himo,şewq
257,Geist::N,heng,aqil
258,Gedanke::N,meletuz,fikir
259,Gedächtnis::N,mušt,aqil
260,Verstand::N,mel',fêm
261,Sinn::N,jüvä,aqil
262,Grund::N,sü,asas
263,Wahrheit::N,tozi,rastî
264,Gespräch::N,lodu,guftûgo
265,Gespräch::N,pagin,guftûgo
266,Märchen::N,sarn,çirok
267,Erzählung::N,sanutez,çirok
268,Erzählung::N,sanutez,vegotin
269,Nachricht::N,tedotuz,nûçe
270,Neuigkeit::N,uzištuz,hewal
271,Name::N,nimi,nav
272,Name::N,nimi,paşnav
273,Rätsel::N,ozoitez,tiştonek
274,Rede::N,pagin,gotar
275,Rede::N,pagin,axavtin
276,Rede::N,sanad,gotar
277,Rede::N,sanad,axavtin
278,Sprache::N,kel',ziman
279,Stimme::N,än',pejn
280,Wort::N,sana,gotin
281,Zeichen::N,znam,şanek
282,Ruf::N,kida,hawar
283,Ruf::N,kucund,hawar
284,Lärm::N,judu,xarbalix
285,Laut::N,kulund,deng
286,Laut::N,kulund,hês
287,Ton::N,kulund,awaz
288,Lied::N,pajo,sitran
289,Ruhe::N,lebu,rihetî
290,Leute::N,rahvaz,xelk
291,Volk::N,rahvaz,xelk
292,Arbeit::N,tö,xebat
293,Arbeit::N,rad,xebat
294,Gast::N,adiv,mêvan
295,Geschenk::N,lahj,diyarî
296,Spiel::N,vänd,lîstik
297,Gesellschaft::N,sebr,komal
298,Hilfe::N,abu,alîkarî
299,Freund::N,sebranik,heval
300,Kamerad::N,sebranik,heval
301,Angelegenheit::N,azj,pirsgirêk
302,Anzahl::N,lugu,çend
303,Art::N,rod,çeh
304,Art::N,rodsugu,çeh
305,Stück::N,pala,lib
306,Stück::N,pala,parçe
307,Stück::N,supal,lib
308,Stück::N,supal,parçe
309,Teil::N,pala,parçe
310,Hälfte::N,pol',nîvî
311,Kreis::N,ümbruz,çemil
312,Kreis::N,kehkruz,çemil
313,Kreuz::N,rist,xaç
314,Linie::N,pird,xezik
315,Strich::N,pird,xezik
316,Abstand::N,keskust,dûrahî
317,Entfernung::N,matk,dûrahî
318,Gegend::N,taho,dever
319,Platz::N,avaruz',çih
320,Ort::N,koht,dever
321,Seite::N,pol',rûpel
322,Seite::N,kül'g,rûpel
323,Mitte::N,kesk,nav
324,Mitte::N,kesk,nabênê
325,Gegenstand::N,kalu,tişt
326,Sache::N,azj,tişt
327,Rand::N,röun,kevî
328,Kante::N,röun,kevî
329,Ecke::N,saum,qunç
330,Spitze::N,agjaine,derzî
331,Ende::N,agj,talî
332,Loch::N,reig,qul
333,Winkel::N,čoga,kurnîşk
334,Winkel::N,saum,kurnîşk
335,Muster::N,kirjam,desen
336,Größe::N,suruz',mezinî
337,Länge::N,piduz,dirêjahî
338,Höhe::N,korktuz',bilindayî
339,Gewicht::N,jügu,giranî
340,Gewicht::N,vedäduz,giranî
341,Menge::N,äjüz',qas
342,Haufen::N,kogo,lod
343,Reihe::N,rivi,rêz
344,Boot::N,veneh,kelek
345,Ruder::N,air,bêrik
346,Schlitten::N,regi,xîjik
347,Schlitten::N,regut,xîjik
348,Ski::N,suks',lakan
349,Lagerfeuer::N,nodj,agir
350,Lagerfeuer::N,pažag,agir
351,Last::N,jüguz,bar
352,Gang::N,astund,fîtêz
353,Schritt::N,hašk,gav
354,Norden::N,pohjoine,bakur
355,Süden::N,suvi,başur
356,Westen::N,päivlaskm,rojava
357,Osten::N,päivnouzm,rojhilat
358,Holz::N,pu,dep
359,Brett::N,laud,dep
360,Platte::N,keitim,dep
361,Stütze::N,tugi,destek
362,Stange::N,arz',sing
363,Stock::N,kalu,çam
364,Stab::N,seibaz,qat
365,Rohr::N,torv,borî
366,Haus::N,pert',mal
367,Haus::N,pert',xanî
368,Heim::N,kodi,mal
369,Ofen::N,päč,sobe
370,Fußboden::N,lava,binpê
371,Tisch::N,laud,mase
372,Tisch::N,stal'c,mase
373,Stuhl::N,ištim,kursî
374,Wiege::N,kätte,derguş
375,Bett::N,sija,qerewêle
376,Bett::N,magaduzsija,qerewêle
377,Regal::N,palič,rêbaz
378,Kiste::N,mülütim,sindoq
379,Fenster::N,ikun,çam
380,Fenster::N,ikun,şibeke
381,Tür::N,uks',derî
382,Tor::N,verai,derge
383,Zaun::N,aid,hejik
384,Dach::N,katuz,sere xanî
385,Leiter::N,pordhad,pêling
386,Besen::N,lud,melkes
387,Besen::N,vast,melkes
388,Spaten::N,labid,mer
389,Schaufel::N,labid,bêr
390,Gabel::N,hangoine,çetel
391,Löffel::N,luzik,kevçî
392,Messer::N,veič,kêr
393,Nagel::N,nagl,bizmar
394,Netz::N,verk,tor
395,Haken::N,kouk,çenqel
396,Griff::N,kägä,destî
397,Griff::N,varz',destî
398,Schloss::N,lukkol,qonax
399,Bild::N,kuva,dimen
400,Figur::N,figur,figûr
401,Puppe::N,tätüine,bûk
402,Beutel::N,havad,kîsik
403,Bündel::N,toppaz,pêçek
404,Bündel::N,käč,pêçek
405,Tasche::N,sumk,bêrîk
406,Eimer::N,vädr,dewl
407,Deckel::N,katuz,devik
408,Geschirr::N,astii,ferax
409,Sack::N,havad,tûr
410,Tasse::N,čašk,kada
411,Topf::N,pada,beroş
412,Kessel::N,katil,şîril
413,Essen::N,sönd,xwarin
414,Nahrung::N,söm,xwarin
415,Speise::N,sömine,xwarin
416,Fleisch::N,liha,goşt
417,Getreide::N,vill',zad
418,Brei::N,pudr,hewdêl
419,Brot::N,leib,
420,Scheibe::N,bibaleh,parçe
421,Scheibe::N,šlik,parçe
422,Fett::N,razv,rûn
423,Butter::N,voi,rûn
424,Öl::N,voi,rûn
425,Salz::N,sol,xwe
426,Suppe::N,lem',şorbe
