,Concept_ID,no,tr
59,Träne::N,tåre,gözyaşı
60,Geschmack::N,smak,tat
61,Geschmack::N,smak,lezzet
62,Geruch::N,lukt,koku
63,Schlaf::N,søvn,uyku
64,Traum::N,drøm,düş
65,Traum::N,drøm,rüya
66,Himmel::N,himmel,gök
67,Sonne::N,sol,güneş
68,Mond::N,måne,ay
69,Stern::N,stjerne,yıldız
70,Luft::N,luft,hava
71,Wind::N,vind,yel
72,Wind::N,vind,rüzgâr
73,Welle::N,bølge,dalga
74,Wasser::N,vann,su
75,Stein::N,stein,taş
76,Boden::N,bakke,yer
77,Boden::N,bakke,zemin
78,Erde::N,jord,toprak
79,Staub::N,støv,toz
80,Rauch::N,røyk,duman
81,Funke::N,gnist,kıvılcım
82,Feuer::N,ild,ateş
83,Licht::N,lys,ışık
84,Schatten::N,skygge,gölge
85,Wetter::N,vær,hava
86,Nebel::N,tåke,pus
87,Wolke::N,sky,bulut
88,Regen::N,regn,yağmur
89,Schnee::N,snø,kar
90,Eis::N,is,buz
91,Frost::N,frost,don
92,Kälte::N,kulde,soğukluk
93,Hitze::N,hete,sıcaklık
94,Raureif::N,rimfrost,kırç
95,Regenbogen::N,regnbue,gökkuşağı
96,Donner::N,torden,gök gürlemesi
97,Strömung::N,strømning,akıntı
98,Strömung::N,strømning,cereyan
99,Tropfen::N,dråpe,damla
100,Schaum::N,skum,köpük
101,Schmutz::N,søl,çamur
102,Schmutz::N,søl,pislik
103,Schmutz::N,skitt,çamur
104,Schmutz::N,skitt,pislik
105,See::N,sjø,göl
106,Sumpf::N,sump,batak
107,Sumpf::N,myrlende,batak
108,Moor::N,myr,cılgıt
109,Moor::N,myrhei,cılgıt
110,Wiese::N,eng,çimen
111,Wald::N,skog,koru
112,Wald::N,skog,orman
113,Hügel::N,haug,tepe
114,Hügel::N,bakke,tepe
115,Anhöhe::N,haug,tümsek
116,Anhöhe::N,haug,yükseklik
117,Anhöhe::N,bakke,tümsek
118,Anhöhe::N,bakke,yükseklik
119,Berg::N,berg,dağ
120,Berg::N,fjell,dağ
121,Gipfel::N,topp,zirve
122,Höhle::N,hule,in
123,Höhle::N,hule,mağara
124,Abhang::N,li,bayır
125,Abhang::N,skråning,bayır
126,Quelle::N,kilde,pınar
127,Quelle::N,kilde,kaynak
128,Bach::N,bekk,çay
129,Bach::N,bekk,dere
130,Fluss::N,elv,nehir
131,Ufer::N,bredd,kıyı
132,Ufer::N,bredd,sahil
133,Küste::N,kyst,kıyı
134,Küste::N,kyst,sahil
135,Festland::N,fastland,kara
136,Meer::N,hav,deniz
137,Bucht::N,bukt,koy
138,Bucht::N,bukt,körfez
139,Insel::N,øy,ada
140,Blume::N,blomst,çiçek
141,Gras::N,gress,ot
142,Gras::N,gress,çim
143,Wurzel::N,rot,kök
144,Baum::N,tre,ağaç
145,Stamm::N,stamme,gövde
146,Rinde::N,bark,kabuk
147,Ast::N,gren,dal
148,Ast::N,gren,budak
149,Zweig::N,kvist,dal
150,Blatt::N,blad,yaprak
151,Birke::N,bjørk,huş
152,Kiefer[Baum]::N,furu,çam
153,Weide[Baum]::N,selje,söğüt
154,Weide[Baum]::N,piletre,söğüt
155,Tanne::N,gran,çam
156,Tanne::N,gran,köknar
157,Horn::N,horn,boynuz
158,Feder::N,fjær,tüy
159,Fell::N,skinn,post
160,Flügel::N,vinge,kanat
161,Klaue::N,klauv,pençe
162,Kralle::N,klo,tırnak
163,Schwanz::N,hale,kuyruk
164,Ei::N,egg,yumurta
165,Nest::N,rede,yuva
166,Bau::N,hi,in
167,Tier::N,dyr,hayvan
168,Herde::N,flokk,sürü
169,Kuh::N,ku,inek
170,Bulle::N,tyr,boğa
171,Pferd::N,hest,at
172,Pferd::N,hest,beygir
173,Schaf::N,får,koyun
174,Schwein::N,gris,domuz
175,Hund::N,hund,it
176,Hund::N,hund,köpek
177,Katze::N,katt,kedi
178,Bär::N,bjørn,ayı
179,Eichhörnchen::N,ekorn,sincap
180,Elch::N,elg,büyük kuzey geyiği
181,Fuchs::N,rev,tilki
182,Hase::N,hare,tavşan
183,Maus::N,mus,fare
184,Maus::N,mus,sıçan
185,Wolf::N,ulv,kurt
186,Wolf::N,varg,kurt
187,Vogel::N,fugl,kuş
188,Schwarm::N,sverm,sürü
189,Huhn::N,høne,tavuk
190,Hahn::N,hane,horoz
191,Gans::N,gås,kaz
192,Adler::N,ørn,kartal
193,Adler::N,ørn,karakuş
194,Ente::N,and,ördek
195,Eule::N,ugle,baykuş
196,Kranich::N,trane,turna
197,Krähe::N,kråke,karga
198,Kuckuck::N,gjøk,guguk
199,Schwan::N,svane,kuğu
200,Fisch::N,fisk,balık
201,Barsch::N,abbor,hani
202,Barsch::N,abbor,levrek
203,Hecht::N,gjedde,turnabalığı
204,Schlange[Tier]::N,orm,yılan
205,Schlange[Tier]::N,slange,yılan
206,Wurm::N,orm,kurt
207,Wurm::N,orm,solucan
208,Wurm::N,mark,kurt
209,Wurm::N,mark,solucan
210,Spinne::N,edderkopp,örümcek
211,Ameise::N,maur,karınca
212,Laus::N,lus,bit
213,Mücke::N,mygg,sivrisinek
214,Fliege::N,flue,sinek
215,Schmetterling::N,sommerfugl,kelebek
216,Beere::N,bær,tane
217,Apfel::N,eple,elma
218,Pilz::N,sopp,mantar
219,Zwiebel::N,løk,soğan
220,Saat::N,sæd,ekin
221,Korn::N,korn,tane
222,Heu::N,høy,kuru ot
223,Schale::N,skall,kabuk
224,Grube::N,grop,çukur
225,Falle::N,felle,tuzak
226,Schlinge::N,snare,ilmik
227,Spur::N,spor,iz
228,Asche::N,aske,kül
229,Dreck::N,møkk,pislik
230,Dreck::N,skitt,pislik
231,Eisen::N,jern,demir
232,Gold::N,gull,altın
233,Silber::N,sølv,gümüş
234,Kohle::N,kol,kömür
235,Kohle::N,kull,kömür
236,Glas::N,glass,cam
237,Lehm::N,leire,balçık
238,Sand::N,sand,kum
239,Mensch::N,menneske,insan
240,Mann::N,mann,adam
241,Mann::N,mann,erkek
242,Frau::N,kvinne,bayan
243,Kind::N,barn,çocuk
244,Junge::N,gutt,erkek çocuk
245,Mädchen::N,pike,kız
246,Mädchen::N,jente,kız
247,Familie::N,familie,aile
248,Großvater::N,bestefar,dede
249,Großvater::N,bestefar,büyükbaba
250,Großmutter::N,bestemor,nine
251,Großmutter::N,bestemor,büyükanne
252,Eltern::N,foreldre,ebeveyn
253,Eltern::N,foreldre,ana baba
254,Vater::N,far,ata
255,Vater::N,far,baba
256,Mutter::N,mor,ana
257,Mutter::N,mor,anne
258,Sohn::N,sønn,oğul
259,Tochter::N,datter,kız
260,Tochter::N,datter,kız evlât
261,Bruder::N,bror,abi
262,Bruder::N,bror,erkek kardeş
263,Schwester::N,søster,abla
264,Schwester::N,søster,kız kardeş
265,Onkel::N,onkel,dayı
266,Tante::N,tante,hala
267,Tante::N,tante,teyze
268,Ehemann::N,ektemann,koca
269,Ehefrau::N,hustru,karı
270,Freude::N,glede,neşe
271,Freude::N,glede,sevinç
272,Gelächter::N,latter,gülme
273,Gelächter::N,latter,kahkaha
274,Glück::N,lykke,mutluluk
275,Kummer::N,sorg,dert
276,Kummer::N,sorg,keder
277,Wunsch::N,ønske,arzu
278,Wunsch::N,ønske,istek
279,Lust::N,lyst,arzu
280,Lust::N,lyst,heves
281,Geist::N,ånd,tin
282,Gedanke::N,tanke,fikir
283,Gedanke::N,tanke,düşünce
284,Gedächtnis::N,minne,bellek
285,Gedächtnis::N,hukommelse,bellek
286,Verstand::N,forstand,zekâ
287,Sinn::N,mening,anlam
288,Sinn::N,betydning,anlam
289,Grund::N,grunn,sebep
290,Wahrheit::N,sannhet,doğruluk
291,Wahrheit::N,sannhet,gerçeklik
292,Gespräch::N,samtale,görüşme
293,Märchen::N,eventyr,masal
294,Erzählung::N,fortelling,öykü
295,Erzählung::N,fortelling,hikâye
296,Nachricht::N,melding,haber
297,Neuigkeit::N,nyhet,haber
298,Name::N,navn,ad
299,Name::N,navn,isim
300,Rätsel::N,gåte,bilmece
301,Rede::N,tale,söylev
302,Rede::N,tale,konuşma
303,Sprache::N,språk,dil
304,Sprache::N,språk,lisan
305,Stimme::N,stemme,ses
306,Wort::N,ord,kelime
307,Zeichen::N,tegn,işaret
308,Ruf::N,rop,çağırma
309,Lärm::N,bråk,şamata
310,Lärm::N,bråk,gürültü
311,Laut::N,lyd,ses
312,Ton::N,tone,ses
313,Lied::N,vise,türkü
314,Ruhe::N,ro,sakinlik
315,Leute::N,folk,halk
316,Leute::N,folk,insanlar
317,Volk::N,folk,ulus
318,Volk::N,folk,millet
319,Arbeit::N,arbeid,iş
320,Arbeit::N,arbeid,çalışma
321,Gast::N,gjest,konuk
322,Gast::N,gjest,misafir
323,Geschenk::N,gave,hediye
324,Geschenk::N,gave,armağan
325,Spiel::N,lek,oyun
326,Spiel::N,spill,oyun
327,Gesellschaft::N,selskap,çevre
328,Gesellschaft::N,selskap,arkadaşlık
329,Hilfe::N,hjelp,yardım
330,Freund::N,venn,dost
331,Freund::N,venn,arkadaş
332,Kamerad::N,kamerat,arkadaş
333,Angelegenheit::N,sak,iş
334,Angelegenheit::N,sak,husus
335,Angelegenheit::N,anliggende,iş
336,Angelegenheit::N,anliggende,husus
337,Anzahl::N,antall,sayı
338,Art::N,art,çeşit
339,Art::N,slag,çeşit
340,Stück::N,stykke,tane
341,Stück::N,stykke,parça
342,Teil::N,del,kısım
343,Hälfte::N,halvdel,yarı
344,Kreis::N,ring,daire
345,Kreis::N,sirkel,daire
346,Kreuz::N,kors,haç
347,Kreuz::N,kryss,haç
348,Linie::N,linje,hat
349,Linie::N,linje,çizgi
350,Strich::N,strek,çizgi
351,Abstand::N,avstand,aralık
352,Entfernung::N,avstand,mesafe
353,Entfernung::N,avstand,uzaklık
354,Gegend::N,strøk,yöre
355,Platz::N,plass,yer
356,Ort::N,sted,yer
357,Seite::N,side,yan
358,Seite::N,side,taraf
359,Mitte::N,midte,orta
360,Mitte::N,midte,merkez
361,Gegenstand::N,gjenstand,şey
362,Sache::N,sak,iş
363,Sache::N,sak,şey
364,Rand::N,rand,kenar
365,Kante::N,kant,kenar
366,Ecke::N,hjørne,köşe
367,Spitze::N,spiss,uç
368,Spitze::N,spiss,baş
369,Ende::N,ende,uç
370,Loch::N,hull,oyuk
371,Loch::N,hull,delik
372,Winkel::N,vinkel,köşe
373,Muster::N,mønster,örnek
374,Größe::N,størrelse,büyüklük
375,Länge::N,lengde,uzunluk
376,Höhe::N,høyde,yükseklik
377,Gewicht::N,vekt,ağırlık
378,Menge::N,mengde,miktar
379,Haufen::N,haug,küme
380,Haufen::N,haug,yığın
381,Haufen::N,bunke,küme
382,Haufen::N,bunke,yığın
383,Reihe::N,rekke,sıra
384,Boot::N,båt,kayık
385,Boot::N,båt,sandal
386,Ruder::N,åre,kürek
387,Schlitten::N,slede,kızak
388,Schlitten::N,kjelke,kızak
389,Ski::N,ski,kayak
390,Lagerfeuer::N,leirbål,kamp ateşi
391,Last::N,bør,yük
392,Last::N,last,yük
393,Gang::N,gang,gidiş
394,Gang::N,gang,yürüyüş
395,Schritt::N,steg,adım
396,Schritt::N,skritt,adım
397,Norden::N,nord,kuzey
398,Süden::N,sør,güney
399,Westen::N,vest,batı
400,Osten::N,øst,doğu
401,Holz::N,tre,ağaç
402,Holz::N,tre,tahta
403,Brett::N,fjøl,tahta
404,Brett::N,brett,tahta
405,Platte::N,plate,levha
406,Stütze::N,støtte,dayak
407,Stütze::N,støtte,destek
408,Stange::N,stang,çubuk
409,Stock::N,pinne,sopa
410,Stock::N,pinne,değnek
411,Stab::N,stav,sırık
412,Stab::N,stav,baston
413,Stab::N,kjepp,sırık
414,Stab::N,kjepp,baston
415,Rohr::N,rør,boru
416,Haus::N,hus,ev
417,Heim::N,hjem,ev
418,Heim::N,hjem,yurt
419,Ofen::N,ovn,soba
420,Fußboden::N,gulv,taban
421,Fußboden::N,gulv,döşeme
422,Tisch::N,bord,masa
423,Stuhl::N,stol,iskemle
424,Stuhl::N,stol,sandalye
425,Wiege::N,vogge,beşik
426,Bett::N,seng,yatak
427,Regal::N,reol,raf
428,Regal::N,hylle,raf
429,Kiste::N,kasse,sandık
430,Fenster::N,vindu,pencere
431,Tür::N,dør,kapı
432,Tor::N,port,kapı
433,Zaun::N,gjerde,çit
434,Dach::N,tak,dam
435,Dach::N,tak,çatı
436,Leiter::N,stige,merdiven
437,Besen::N,kost,süpürge
438,Spaten::N,spade,bel
439,Schaufel::N,skuffe,kürek
440,Gabel::N,gaffel,çatal
441,Löffel::N,skje,kaşık
442,Messer::N,kniv,bıçak
443,Nagel::N,spiker,çivi
444,Netz::N,nett,ağ
445,Haken::N,krok,çengel
446,Griff::N,tak,kulp
447,Griff::N,tak,tutamak
448,Griff::N,håndtak,kulp
449,Griff::N,håndtak,tutamak
450,Schloss::N,lås,kilit
451,Bild::N,bilde,imaj
452,Bild::N,bilde,resim
453,Figur::N,figur,şekil
454,Figur::N,figur,heykel
455,Puppe::N,dukke,kukla
456,Beutel::N,pose,kese
457,Beutel::N,pose,torba
458,Bündel::N,bylt,deste
459,Tasche::N,veske,çanta
460,Eimer::N,bøtte,kova
461,Deckel::N,lokk,kapak
462,Geschirr::N,kjøkkentøy,kap kacak
463,Sack::N,sekk,torba
464,Tasse::N,kopp,fincan
465,Topf::N,gryte,tencere
466,Kessel::N,kjele,kazan
467,Essen::N,mål,yemek
468,Nahrung::N,mat,gıda
469,Nahrung::N,mat,besin
470,Nahrung::N,næring,gıda
471,Nahrung::N,næring,besin
472,Speise::N,matrett,yemek
473,Fleisch::N,kjøtt,et
474,Getreide::N,korn,tahıl
475,Getreide::N,korn,hububat
476,Brei::N,grøt,ezme
477,Brot::N,brød,ekmek
478,Scheibe::N,skive,dilim
479,Fett::N,fett,yağ
480,Butter::N,smør,tereyağı
481,Öl::N,olje,yağ
482,Öl::N,olje,akar yağ
483,Salz::N,salt,tuz
484,Suppe::N,suppe,çorba
485,Honig::N,honning,bal
486,Milch::N,melk,süt
487,Tee::N,te,çay
488,Leder::N,lær,deri
489,Leder::N,lær,meşin
490,Leder::N,skinn,deri
491,Leder::N,skinn,meşin
492,Wolle::N,ull,yün
493,Stoff::N,tøy,kumaş
494,Stoff::N,stoff,kumaş
495,Nadel::N,nål,iğne
496,Faden::N,tråd,tire
497,Faden::N,tråd,iplik
498,Knopf::N,knapp,düğme
499,Knoten::N,knute,düğüm
500,Farbe::N,farge,boya
501,Kleidung::N,påkledning,giyim
502,Hemd::N,skjorte,gömlek
503,Kragen::N,krage,yaka
504,Ärmel::N,erme,yen
505,Ärmel::N,erme,elbise kolu
506,Hose::N,bukse,pantolon
507,Gürtel::N,belte,kuşak
508,Mütze::N,lue,bere
509,Mütze::N,lue,kasket
510,Schuh::N,sko,kundura
511,Schuh::N,sko,ayakkabı
512,Stiefel::N,støvel,çizme
513,Ring::N,ring,yüzük
514,Band::N,band,bağ
515,Band::N,band,şerit
516,Kamm::N,kam,tarak
517,Spiegel::N,speil,ayna
518,Riemen::N,rem,kayış
519,Schnur::N,snor,ip
520,Schnur::N,snor,sicim
521,Leine::N,line,kayış
522,Decke::N,teppe,örtü
523,Decke::N,teppe,yorgan
524,Kissen::N,pute,yastık
525,Tuch::N,tøy,bez
526,Handtuch::N,håndkle,havlu
527,Kraft::N,kraft,güç
528,Kraft::N,kraft,kuvvet
529,Stärke::N,styrke,kuvvet
530,Gesundheit::N,helse,sağlık
531,Gesundheit::N,sunnhet,sağlık
532,Krankheit::N,syke,hastalık
533,Krankheit::N,sykdom,hastalık
534,Schmerz::N,smerte,ağrı
535,Schmerz::N,smerte,sancı
536,Wunde::N,sår,yara
537,Fieber::N,feber,ateş
538,Arznei::N,medisin,ilâç
539,Arznei::N,legemiddel,ilâç
540,Brücke::N,bro,köprü
541,Brunnen::N,brønn,kuyu
542,Brunnen::N,brønn,çeşme
543,Weide::N,beite,otlak
544,Pfad::N,sti,patika
545,Pfad::N,sti,keçiyolu
546,Weg::N,vei,yol
547,Straße::N,gate,yol
548,Straße::N,gate,cadde
549,Dorf::N,landsby,köy
550,Stadt::N,by,kent
551,Stadt::N,by,şehir
552,Brief::N,brev,mektup
553,Buch::N,bok,kitap
554,Buchstabe::N,bokstav,harf
555,Zeitung::N,avis,gazete
556,Leben::N,liv,hayat
557,Tod::N,død,ölüm
558,Grab::N,grav,kabir
559,Kirche::N,kirke,kilise
560,Sünde::N,synd,günah
561,Gott::N,gud,tanrı
562,Arbeiter::N,arbeider,işçi
563,Chef::N,sjef,şef
564,Chef::N,sjef,müdür
565,Meister::N,mester,usta
566,Arzt::N,lege,hekim
567,Arzt::N,lege,doktor
568,Lehrer::N,lærer,hoca
569,Lehrer::N,lærer,öğretmen
570,Geld::N,penger,para
571,Geschäft::N,forretning,ticaret
572,Laden::N,butikk,dükkân
573,Preis::N,pris,fiyat
574,Ware::N,vare,mal
575,Nutzen::N,nytte,fayda
576,Reichtum::N,rikdom,servet
577,Reichtum::N,rikdom,zenginlik
578,Welt::N,verden,dünya
579,Land::N,land,ülke
580,Staat::N,stat,devlet
581,König::N,konge,kral
582,Macht::N,makt,kudret
583,Macht::N,makt,iktidar
584,Grenze::N,grense,had
585,Grenze::N,grense,sınır
586,Krieg::N,krig,savaş
587,Feind::N,fiende,düşman
588,Gewalt::N,vold,zor
589,Gewalt::N,vold,cebir
590,Kampf::N,kamp,savaş
591,Bogen[Waffe]::N,bue,yay
592,Pfeil::N,pil,ok
593,Gewehr::N,gevær,tüfek
594,Fehler::N,feil,hata
595,Fehler::N,feil,yanlış
596,Lüge::N,løgn,yalan
597,Schaden::N,skade,zarar
598,Unglück::N,uhell,felâket
599,Unglück::N,uhell,talihsizlik
600,Schuld::N,skyld,suç
601,Schuld::N,skyld,kabahat
602,Alter::N,alder,yaş
603,Schluss::N,slutt,son
604,Zeit::N,tid,zaman
605,Tag::N,dag,gün
606,Morgen::N,morgen,sabah
607,Mittag::N,middag,öğle
608,Abend::N,aften,akşam
609,Nacht::N,natt,gece
610,Woche::N,uke,hafta
611,Monat::N,måned,ay
612,Jahr::N,år,yıl
613,Jahr::N,år,sene
614,Frühling::N,vår,ilkbahar
615,Sommer::N,sommer,yaz
616,Herbst::N,høst,güz
617,Herbst::N,høst,sonbahar
618,Winter::N,vinter,kış
619,Januar::N,januar,ocak
620,Februar::N,februar,şubat
621,März::N,mars,mart
622,April::N,april,nisan
623,Mai::N,mai,mayıs
624,Juni::N,juni,haziran
625,Juli::N,juli,temmuz
626,August::N,august,ağustos
627,September::N,september,eylül
628,Oktober::N,oktober,ekim
629,November::N,november,kasım
630,Dezember::N,desember,aralık
631,Montag::N,mandag,pazartesi
632,Dienstag::N,tirsdag,salı
633,Mittwoch::N,onsdag,çarşamba
634,Donnerstag::N,torsdag,perşembe
635,Freitag::N,fredag,cuma
636,Samstag::N,lørdag,cumartesi
637,Sonntag::N,søndag,pazar
638,groß::A,stor,büyük
639,klein::A,liten,ufak
640,klein::A,liten,küçük
641,lang::A,lang,uzun
642,kurz::A,kort,kısa
643,breit::A,bred,enli
644,breit::A,bred,geniş
645,schmal::A,smal,dar
646,dicht::A,tett,sık
647,dicht::A,tett,yoğun
648,dick[Gegenstand]::A,tykk,kalın
649,dick[Gegenstand]::A,tykk,iri
650,dünn::A,tynn,ince
651,fein::A,fin,ince
652,fein::A,fin,narin
653,fest::A,fast,sabit
654,fest::A,fast,sağlam
655,flach::A,flat,düz
656,flach::A,flat,yassı
657,glatt::A,glatt,düz
658,hart::A,hard,katı
659,weich::A,myk,yumuşak
660,weich::A,bløt,yumuşak
661,rund::A,rund,yuvarlak
662,spitz::A,spiss,sivri
663,scharf::A,kvass,keskin
664,stumpf::A,stubb,kör
665,schwer::A,tung,ağır
666,schön::A,pen,güzel
667,schön::A,vakker,güzel
668,heiß::A,het,kızgın
669,warm::A,varm,sıcak
670,kalt::A,kald,soğuk
671,kühl::A,kjølig,serin
672,frisch::A,fersk,taze
673,feucht::A,fuktig,nemli
674,feucht::A,fuktig,rutubetli
675,nass::A,våt,yaş
676,nass::A,våt,ıslak
677,trocken::A,tørr,kuru
678,voll::A,full,dolu
679,voll::A,full,dolmuş
680,leer::A,tom,boş
681,offen::A,åpen,açık
682,geschlossen::A,lukket,kapalı
683,sauber::A,ren,pak
684,sauber::A,ren,temiz
685,schmutzig::A,skitten,pis
686,schmutzig::A,skitten,kirli
687,roh::A,rå,çiğ
688,reif::A,moden,olgun
689,lecker::A,lekker,lezzetli
690,süß::A,søt,tatlı
691,süß::A,søt,şekerli
692,bitter::A,besk,acı
693,bitter::A,bitter,acı
694,sauer::A,sur,ekşi
695,hell::A,lys,aydınlık
696,dunkel::A,mørk,karanlık
697,schwarz::A,svart,kara
698,schwarz::A,svart,siyah
699,weiß::A,hvit,ak
700,weiß::A,hvit,beyaz
701,rot::A,rød,kırmızı
702,gelb::A,gul,sarı
703,blau::A,blå,mavi
704,grün::A,grønn,yeşil
705,grau::A,grå,boz
706,bunt::A,broket,renkli
707,billig::A,billig,ucuz
708,teuer::A,dyr,pahalı
709,wertvoll::A,verdifull,değerli
710,blind::A,blind,kör
711,taub::A,døv,sağır
712,kräftig::A,kraftig,dinç
713,kräftig::A,kraftig,kuvvetli
714,stark::A,sterk,güçlü
715,stark::A,sterk,kuvvetli
716,schwach::A,svak,zayıf
717,schwach::A,svak,güçsüz
718,fett::A,fet,şişman
719,schlank::A,slank,narin
720,hübsch::A,pen,güzel
721,hübsch::A,pen,sevimli
722,böse::A,slem,kötü
723,dumm::A,dum,aptal
724,faul::A,lat,tembel
725,faul::A,doven,tembel
726,fleißig::A,flittig,çalışkan
727,geizig::A,gjerrig,cimri
728,klug::A,klok,zekî
729,klug::A,klok,akıllı
730,geschickt::A,hendig,becerikli
731,geschickt::A,skikket,becerikli
732,lieb::A,kjær,sevimli
733,lieb::A,snill,sevimli
734,lustig::A,morsom,neşeli
735,sanft::A,blid,nazik
736,hungrig::A,sulten,aç
737,krank::A,syk,hasta
738,krank::A,syk,rahatsız
739,nackt::A,naken,çıplak
740,traurig::A,sørgmodig,kederli
741,traurig::A,sørgmodig,üzüntülü
742,lebendig::A,levende,canlı
743,gut::A,god,iyi
744,schlecht::A,dårlig,kötü
745,richtig::A,riktig,doğru
746,schlimm::A,slem,kötü
747,wahr::A,sann,doğru
748,wahr::A,sann,gerçek
749,alt::A,gammel,eski
750,neu::A,ny,yeni
751,ehemalig::A,forhenværende,önceki
752,alt[Lebewesen]::A,gammel,yaşlı
753,jung::A,ung,genç
754,arm::A,fattig,fakir
755,reich::A,rik,zengin
756,bekannt::A,kjent,bilinen
757,berühmt::A,berømt,ünlü
758,berühmt::A,berømt,meşhur
759,fremd::A,fremmed,yabancı
760,verschieden::A,forskjellig,ayrı
761,verschieden::A,forskjellig,farklı
762,nah::A,nær,yakın
763,nah::A,nær,bitişik
764,fern::A,fjern,uzak
765,linker::A,venstre,sol
766,rechter::A,høyre,sağ
767,anderer::A,annen,diğer
768,erster::A,første,ilk
769,erster::A,første,birinci
770,zweiter::A,annen,ikinci
771,dritter::A,tredje,üçüncü
772,letzter::A,sist,son
773,letzter::A,sist,sonuncu
774,allein::ADV,alene,yalnız
775,allein::ADV,alene,tek başına
776,auf einmal::ADV,med ett,birden
777,zusammen::ADV,sammen,beraber
778,zusammen::ADV,sammen,birlikte
779,lange::ADV,lenge,çok
780,lange::ADV,lenge,uzun
781,plötzlich::ADV,plutselig,ansızın
782,plötzlich::ADV,plutselig,birdenbire
783,sofort::ADV,straks,hemen
784,sofort::ADV,straks,derhal
785,später::ADV,senere,daha sonra
786,jetzt::ADV,nå,şimdi
787,heute::ADV,i dag,bugün
788,morgen::ADV,i morgen,yarın
789,bald::ADV,snart,yakında
790,dann::ADV,så,sonra
791,gestern::ADV,i går,dün
792,einst::ADV,engang,eskiden
793,damals::ADV,den gang,o zamanlar
794,danach::ADV,deretter,sonradan
795,danach::ADV,deretter,ondan sonra
796,vorher::ADV,før,önce
797,vorher::ADV,før,önceden
798,vorher::ADV,i forveien,önce
799,vorher::ADV,i forveien,önceden
800,zuerst::ADV,først,ilk önce
801,einmal::ADV,en gang,bir defa
802,manchmal::ADV,somme tider,bazan
803,oft::ADV,ofte,sık sık
804,oft::ADV,ofte,çok defa
805,immer::ADV,alltid,daima
806,immer::ADV,alltid,her zaman
807,niemals::ADV,aldri,asla değil
808,niemals::ADV,aldri,hiçbir zaman
809,hier::ADV,her,burada
810,hierhin::ADV,hit,buraya
811,von hier::ADV,herfra,buradan
812,dort::ADV,der,orada
813,dort::ADV,der,şurada
814,dorthin::ADV,dit,oraya
815,dorthin::ADV,dit,şuraya
816,geradeaus::ADV,rett fram,doğru
817,vorwärts::ADV,fram,ileri
818,vorwärts::ADV,framover,ileri
819,rückwärts::ADV,baklengs,geri
820,zurück::ADV,tilbake,geriye
821,unten::ADV,nede,aşağıda
822,hinab::ADV,ned,aşağıya
823,hinab::ADV,nedover,aşağıya
824,oben::ADV,oppe,yukarıda
825,oben::ADV,ovenpå,yukarıda
826,hinauf::ADV,opp,yukarı
827,hinauf::ADV,opp,yukarıya
828,hinauf::ADV,oppover,yukarı
829,hinauf::ADV,oppover,yukarıya
830,überall::ADV,overalt,her yerde
831,nicht::ADV,ikke,-mi-
832,nicht::ADV,ikke,değil
833,ein wenig::ADV,litt,biraz
834,kaum::ADV,neppe,dar
835,kaum::ADV,neppe,hemen hemen değil
836,sehr::ADV,svært,pek
837,sehr::ADV,svært,gayet
838,so::ADV,så,öyle
839,so::ADV,så,böyle
840,noch::ADV,enda,hâlâ
841,noch::ADV,enda,henüz
842,nur::ADV,bare,ancak
843,nur::ADV,bare,yalnız
844,schon::ADV,alt,çoktan
845,schon::ADV,allerede,çoktan
