,Concept_ID,ca,ml
48,Gehirn::N,cervell,തലച്ചോറ്
49,Herz::N,cor,ഹൃദയം
50,Magen::N,estómac,വയർ
51,Leber::N,fetge,കരൾ
52,Atem::N,alè,ശ്വാസം
53,Atem::N,hàlit,ശ്വാസം
54,Hunger::N,fam,വിശപ്പ്
55,Hunger::N,gana,വിശപ്പ്
56,Träne::N,llàgrima,കണ്ണീർ
57,Geschmack::N,gust,രുചി
58,Geschmack::N,sabor,രുചി
59,Geruch::N,olor,ഗന്ധം
60,Schlaf::N,son,ഉറകും
61,Traum::N,somni,സ്വപ്നം
62,Himmel::N,celm,ആകാശം
63,Sonne::N,sol,സൂര്യൻ
64,Mond::N,lluna,ചന്ദ്രൻ
65,Stern::N,estel,നക്ഷത്രം
66,Stern::N,estrella,നക്ഷത്രം
67,Luft::N,aire,കാറ്റ്
68,Wind::N,vent,കാറ്റ്
69,Welle::N,ona,തിരമാല
70,Wasser::N,āigua,വെള്ളം
71,Stein::N,pedra,ശില
72,Stein::N,pedra,കല്ല്
73,Boden::N,sòl,തറ
74,Boden::N,sòl,നിലം
75,Erde::N,terra,മണ്ണ്
76,Staub::N,pols,പൊടി
77,Rauch::N,fum,പുക
78,Funke::N,guspira,തീപ്പൊരി
79,Funke::N,centella,തീപ്പൊരി
80,Feuer::N,foc,തീ
81,Licht::N,llum,വിളക്ക്
82,Licht::N,llum,സൂര്യപ്രകാശം
83,Schatten::N,ombra,തണൽ
84,Wetter::N,temps,കാലാവസ്ഥ
85,Nebel::N,boira,മൂടൽമഞ്ഞ്
86,Wolke::N,núvol,മേഘം
87,Regen::N,pluja,മഴ
88,Schnee::N,neu,മഞ്ഞ്
89,Eis::N,gel,ഐസ്
90,Eis::N,glaç,ഐസ്
91,Frost::N,glaçada,മൂടൽമഞ്ഞ്
92,Kälte::N,fred,തണുപ്പ്
93,Hitze::N,calor,ചൂട്
94,Raureif::N,gebre,കോടമഞ്ഞ്
95,Regenbogen::N,arc iris,മഴവില്ല്
96,Donner::N,tro,ഇടി
97,Strömung::N,corrent,പ്രവാഹം
98,Tropfen::N,gota,തുള്ളി
99,Schaum::N,escuma,നുര
100,Schmutz::N,brutícia,അഴുക്ക്
101,See::N,llac,തടാകം
102,Sumpf::N,pantà,ചതുപ്പുനിലം
103,Moor::N,pantà,പാഴ്നിലം
104,Wiese::N,prat,പുൽത്തകിടി
105,Wiese::N,prada,പുൽത്തകിടി
106,Wald::N,bosc,വനം
107,Wald::N,bosc,കാട്
108,Hügel::N,puig,കുന്ന്
109,Hügel::N,pujol,കുന്ന്
110,Anhöhe::N,turó,ഉയർന്ന ഭൂമി
111,Berg::N,muntanya,പർവ്വതം
112,Gipfel::N,cim,ഉച്ചകോടി
113,Höhle::N,cova,ഗുഹ
114,Abhang::N,coster,ചരിവ്
115,Quelle::N,font,ഉറവിടം
116,Bach::N,riera,അരുവി
117,Fluss::N,riu,നദി
118,Ufer::N,riba,തീരം
119,Küste::N,costa,കടൽത്തീരം
120,Festland::N,terra ferma,കര
121,Meer::N,mar,കടൽ
122,Bucht::N,cala,ഉൾക്കടല്
123,Bucht::N,badia,ഉൾക്കടല്
124,Insel::N,illa,ദ്വീപ്
125,Blume::N,flor,പൂവ്
126,Gras::N,herba,പുല്ല്
127,Wurzel::N,rel,വേര്
128,Wurzel::N,arrel,വേര്
129,Baum::N,arbre,മരം
130,Stamm::N,tronc,തായ്ത്തടി
131,Rinde::N,escorça,പട്ട
132,Ast::N,branca,ശാഖ
133,Zweig::N,ram,ശാഖ
134,Blatt::N,fulla,ഇല
135,Birke::N,bedoll,പൂവരശ്
136,Kiefer[Baum]::N,pi,പൈൻമരം
137,Weide[Baum]::N,salze,വില്ലോ
138,Tanne::N,avet,ദേവദാരു
139,Horn::N,corn,മൃഗത്തിൻറെ കൊമ്പ്
140,Horn::N,banya,മൃഗത്തിൻറെ കൊമ്പ്
141,Feder::N,ploma,തൂവൽ
142,Fell::N,pell,മൃദുരോമം
143,Flügel::N,ala,ചിറക്
144,Klaue::N,urpa,നഖം
145,Kralle::N,grapa,നഖം
146,Schwanz::N,cua,വാൽ
147,Ei::N,ou,മുട്ട
148,Nest::N,niu,കൂട്
149,Bau::N,cau,മാളം
150,Tier::N,animāl,മൃഗം
151,Herde::N,ramat,കൂട്ടം
152,Kuh::N,vaca,പശു
153,Bulle::N,toro,കാള
154,Pferd::N,cavāll,കുതിര
155,Schaf::N,be,ആട്
156,Schaf::N,ovella,ആട്
157,Schwein::N,bacó,പന്നി
158,Hund::N,ca,നായ്
159,Hund::N,gos,നായ്
160,Katze::N,gat,പൂച്ച
161,Bär::N,ós,കരടി
162,Eichhörnchen::N,esquirol,അണ്ണാൻ
163,Elch::N,ant,കടമാന്
164,Fuchs::N,guilla,കുറുക്കൻ
165,Hase::N,llebre,മുയൽ
166,Maus::N,ratolí,ചുണ്ടലി
167,Wolf::N,llop,ചെന്നായ
168,Vogel::N,au,പക്ഷി
169,Vogel::N,ocēll,പക്ഷി
170,Schwarm::N,bandada,കൂട്ടം
171,Huhn::N,gallina,കോഴി
172,Hahn::N,gall,പൂവൻകോഴി
173,Gans::N,oca,അരയന്നം
174,Adler::N,àguila,കഴുകൻ
175,Ente::N,ànec,താറാവ്
176,Eule::N,òliba,മൂങ്ങ
177,Eule::N,mussol,മൂങ്ങ
178,Kranich::N,grua,കൊക്ക്
179,Krähe::N,cornella,കാക്ക
180,Kuckuck::N,cucut,കുയിൽ
181,Schwan::N,cigne,അരയന്നം
182,Fisch::N,peix,മത്സ്യം
183,Barsch::N,perca,ഒരിനം മത്സ്യം
184,Hecht::N,lluç,ഒരു മത്സ്യം
185,Schlange[Tier]::N,serp,പാമ്പ്
186,Wurm::N,cuc,വിര
187,Spinne::N,aranya,ചിലന്തി
188,Ameise::N,formiga,ഉറുമ്പ്
189,Laus::N,poll,പേന്
190,Mücke::N,mosquit,മശകം
191,Fliege::N,mosca,ഈച്ച
192,Schmetterling::N,papallona,ചിത്രശലഭം
193,Beere::N,baia,ബെറി
194,Apfel::N,poma,ആപ്പിൾ
195,Pilz::N,bolet,കൂൺ
196,Zwiebel::N,ceba,സവാള
197,Saat::N,sembra,വിത്ത്
198,Korn::N,gra,ധാന്യം
199,Heu::N,fenc,വയ്ക്കോൽ
200,Schale::N,closca,തൊലി
201,Grube::N,sot,കുഴി
202,Grube::N,clot,കുഴി
203,Falle::N,trampa,കെണി
204,Schlinge::N,baga,കുടുക്ക്
205,Spur::N,traça,ചുവട്
206,Asche::N,cendra,ചാരം
207,Dreck::N,llot,അഴുക്ക്
208,Eisen::N,ferro,ഇരുമ്പ്
209,Gold::N,or,സ്വർണ്ണം
210,Silber::N,plata,വെള്ളി
211,Kohle::N,carbó,കൽക്കരി
212,Glas::N,vidre,ഗ്ലാസ്
213,Lehm::N,fang,കളിമണ്ണ്
214,Lehm::N,argila,കളിമണ്ണ്
215,Sand::N,arena,മണൽ
216,Mensch::N,humà,മനുഷ്യർ
217,Mensch::N,persona,മനുഷ്യർ
218,Mann::N,home,പുരുഷൻ
219,Frau::N,dona,സ്ത്രീ
220,Kind::N,nen,കുഞ്ഞ്
221,Junge::N,noi,ആൺകുട്ടി
222,Mädchen::N,noia,പെൺകുട്ടി
223,Familie::N,família,കുടുംബം
224,Großvater::N,avi,അപ്പൂപ്പൻ
225,Großmutter::N,àvia,അമ്മുമ്മ
226,Eltern::N,pares,മാതാപിതാക്കള്
227,Vater::N,pare,അച്ഛൻ
228,Mutter::N,mare,അമ്മ
229,Sohn::N,fill,മകൻ
230,Tochter::N,filla,മകൾ
231,Bruder::N,germà,ചേട്ടൻ
232,Bruder::N,germà,അനിയൻ
233,Schwester::N,germana,ചേച്ചി
234,Schwester::N,germana,അനിയത്തി
235,Onkel::N,oncle,അമ്മാവൻ
236,Tante::N,tia,മാമി
237,Ehemann::N,espòs,ഭർത്താവ്
238,Ehefrau::N,muller,ഭാര്യ
239,Freude::N,goig,ആഹ്ലാദം
240,Freude::N,alegria,ആഹ്ലാദം
241,Gelächter::N,riallada,ചിരിയുടെ ശബ്ദം
242,Glück::N,felicitat,സന്തോഷം
243,Glück::N,felicitat,സന്തുഷ്ടി
244,Kummer::N,pena,ശോകം
245,Wunsch::N,desig,ആഗ്രഹം
246,Lust::N,ganes,ആഗ്രഹം
247,Geist::N,ment,ചുറുചുറുക്ക്
248,Geist::N,esperit,ചുറുചുറുക്ക്
249,Gedanke::N,pensament,ചിന്ത
250,Gedächtnis::N,memòria,ഓർമ്മശക്തി
251,Verstand::N,raó,മനസ്സ്
252,Verstand::N,seny,മനസ്സ്
253,Sinn::N,solta,അർത്ഥം
254,Sinn::N,sentit,അർത്ഥം
255,Grund::N,raó,കാരണം
256,Grund::N,causa,കാരണം
257,Wahrheit::N,veritāt,സത്യം
258,Gespräch::N,conversa,സല്ലാപം
259,Märchen::N,conte,യക്ഷിക്കഥ
260,Erzählung::N,narració,കഥ
261,Nachricht::N,missatge,സന്ദേശം
262,Neuigkeit::N,novetat,വാർത്ത
263,Name::N,nom,പേര്
264,Rätsel::N,endevinalla,പ്രഹേളിക
265,Rede::N,discurs,സംസാരം
266,Sprache::N,llēngua,ഭാഷ
267,Stimme::N,veu,സ്വരം
268,Wort::N,mot,വാക്ക്
269,Wort::N,paraula,വാക്ക്
270,Zeichen::N,signe,സംജ്ഞ
271,Zeichen::N,senyal,സംജ്ഞ
272,Ruf::N,crida,വിളി
273,Lärm::N,sorōll,ആരവം
274,Laut::N,so,ശബ്ദം
275,Ton::N,to,സ്വരഭേദം
276,Lied::N,cançó,പാട്ട്
277,Ruhe::N,calma,നിശ്ചലത
278,Ruhe::N,silenci,നിശ്ചലത
279,Leute::N,gent,ജനങ്ങൾ
280,Volk::N,poble,രാഷ്ടം
281,Arbeit::N,labor,ജോലി
282,Arbeit::N,treball,ജോലി
283,Gast::N,hoste,അതിലി
284,Geschenk::N,regal,സമ്മാനം
285,Geschenk::N,obsequi,സമ്മാനം
286,Spiel::N,joc,കളി
287,Gesellschaft::N,companyia,കൂട്ടായ്മ
288,Hilfe::N,ajut,സഹായം
289,Freund::N,amīc,സുഹൃത്ത്
290,Kamerad::N,company,കൂട്ടാളി
291,Kamerad::N,camarada,കൂട്ടാളി
292,Angelegenheit::N,afer,കാര്യം
293,Angelegenheit::N,assumpte,കാര്യം
294,Anzahl::N,nombre,എണ്ണം
295,Anzahl::N,quantitat,എണ്ണം
296,Art::N,tipus,തരം
297,Art::N,classe,തരം
298,Stück::N,peça,കഷണം
299,Teil::N,part,ഭാഗം
300,Hälfte::N,meitat,പകുതി
301,Kreis::N,cercle,വൃത്തം
302,Kreuz::N,creu,കുരിശടയാളം
303,Linie::N,línia,വര
304,Linie::N,línia,രേഖ
305,Strich::N,traç,പക്ഷാഘാതം
306,Strich::N,ratlla,പക്ഷാഘാതം
307,Abstand::N,distància,വിടവ്
308,Entfernung::N,distància,അകലം
309,Gegend::N,regió,പ്രദേശം
310,Gegend::N,contrada,പ്രദേശം
311,Platz::N,cabuda,ഇടം
312,Ort::N,lloc,സ്ഥലം
313,Seite::N,banda,വശം
314,Seite::N,costāt,വശം
315,Mitte::N,mig,മധ്യസ്ഥാനം
316,Mitte::N,centre,മധ്യസ്ഥാനം
317,Gegenstand::N,objecte,സാധനം
318,Sache::N,cosa,വസ്തു
319,Rand::N,vora,തൊങ്ങൽ
320,Rand::N,marge,തൊങ്ങൽ
321,Kante::N,caire,അറ്റം
322,Kante::N,cantell,അറ്റം
323,Ecke::N,cantonada,മൂല
324,Spitze::N,punta,അഗ്രം
325,Ende::N,cap,അവസാനം
326,Loch::N,forāt,ദ്വാരം
327,Winkel::N,racó,കോൺ
328,Muster::N,dibuix,ക്രമം
329,Muster::N,disseny,ക്രമം
330,Größe::N,grandària,വലുപ്പം
331,Länge::N,longitud,നീളം
332,Höhe::N,altura,ഉയരം
333,Höhe::N,altitud,ഉയരം
334,Gewicht::N,pes,കട്ടി
335,Menge::N,quantitat,അളവ്
336,Haufen::N,pila,കൂമ്പാരം
337,Reihe::N,fila,വരി
338,Boot::N,bot,ബോട്ട്
339,Boot::N,barca,ബോട്ട്
340,Ruder::N,rem,പങ്കായം
341,Schlitten::N,trineu,ഉരുളില്ലാവണ്ടി
342,Ski::N,esquí,ഹിമപാദുകം
343,Lagerfeuer::N,foc de campament,തീ
344,Last::N,càrrega,ഭാരം
345,Gang::N,marxa,നടത്തം
346,Schritt::N,pas,ചുവട്
347,Norden::N,nord,വടക്ക്
348,Süden::N,sud,തെക്ക്
349,Westen::N,oest,പടിഞ്ഞാറ്
350,Westen::N,occident,പടിഞ്ഞാറ്
351,Osten::N,est,കിഴക്ക്
352,Osten::N,orient,കിഴക്ക്
353,Holz::N,fusta,തടി
354,Brett::N,taula,ബോർഡ്
355,Platte::N,placa,തകിട്
356,Stütze::N,suport,താങ്ങ്
357,Stange::N,vara,കമ്പ്
358,Stock::N,pal,വടി
359,Stab::N,bastó,കുറുവടി
360,Rohr::N,tub,കുഴൽ
361,Haus::N,casa,വീട്
362,Heim::N,llar,വീട്
363,Ofen::N,estufa,സ്റ്റൌ
364,Fußboden::N,terra,തറ
365,Tisch::N,taula,മേശ
366,Stuhl::N,cadira,കസേര
367,Wiege::N,bressol,തൊട്ടിൽ
368,Bett::N,llit,കിടക്ക
369,Regal::N,prestatgeria,ഷെൽഫ്
370,Kiste::N,caixa,പെട്ടി
371,Fenster::N,finestra,ജനൽ
372,Tür::N,porta,വാതിൽ
373,Tor::N,portal,കവാടം
374,Zaun::N,tanca,വേലി
375,Dach::N,teulada,മേൽക്കുര
376,Leiter::N,escala,ഏണി
377,Leiter::N,escala de mà,ഏണി
378,Besen::N,escombra,ചൂല്
379,Spaten::N,pala,തൂമ്പ
380,Schaufel::N,pala,തൂമ്പ
381,Gabel::N,forquilla,മുൾക്കത്തി
382,Löffel::N,cullera,സ്പൂൺ
383,Messer::N,coltell,കത്തി
384,Nagel::N,clau,ആണി
385,Netz::N,filat,വല
386,Haken::N,ganxo,കൊളുത്ത്
387,Griff::N,puny,കൈപ്പിടി
388,Griff::N,mànec,കൈപ്പിടി
389,Schloss::N,pany,പൂട്ട്
390,Bild::N,imatge,ചിത്രം
391,Figur::N,figura,കണക്ക്
392,Puppe::N,nina,പാവ
393,Beutel::N,bossa,ബാഗ്
394,Bündel::N,feix,കെട്ട്
395,Bündel::N,paquet,കെട്ട്
396,Tasche::N,bossa,ബാഗ്
397,Eimer::N,galleda,ബക്കറ്റ്
398,Deckel::N,tapa,ഉറ
399,Deckel::N,tapadora,ഉറ
400,Geschirr::N,vaixella,പിഞ്ഞാണം
401,Sack::N,sac,ചാക്ക്
402,Sack::N,saca,ചാക്ക്
403,Tasse::N,tassa,കപ്പ്
404,Topf::N,pot,പാത്രം
405,Topf::N,olla,പാത്രം
406,Kessel::N,caldera,കെറ്റ്ല്
407,Essen::N,àpat,ആഹാരസമയം
408,Essen::N,menjada,ആഹാരസമയം
409,Nahrung::N,aliment,ഭക്ഷണം
410,Speise::N,plat,ഡിഷ്
411,Fleisch::N,carn,മാംസം
412,Getreide::N,cereals,ചോളം
413,Brei::N,puré,കഞ്ഞി
414,Brot::N,pa,റോട്ടി
415,Scheibe::N,tall,തുണ്ട്
416,Scheibe::N,llesca,തുണ്ട്
417,Fett::N,greix,കൊഴുപ്പ്
418,Butter::N,mantega,വെണ്ണ
419,Öl::N,oli,എണ്ണ
420,Salz::N,sal,ഉപ്പ്
421,Suppe::N,sopa,സൂപ്പ്
422,Honig::N,mel,തേൻ
423,Milch::N,llet,പാൽ
424,Tee::N,te,ചായ
425,Leder::N,cuir,തുകൽ
426,Wolle::N,llana,കമ്പിളി
427,Stoff::N,tela,തുണി
428,Nadel::N,agulla,സൂചി
429,Faden::N,fil,നൂല്
430,Knopf::N,botó,ബട്ടൺ
431,Knoten::N,nus,കുരുക്ക്
432,Farbe::N,pintura,പെയിൻറ്
433,Kleidung::N,roba,വസ്ത്രങ്ങൾ
434,Kleidung::N,vestits,വസ്ത്രങ്ങൾ
435,Hemd::N,camisa,ഷർട്ട്
436,Kragen::N,coll,കുപ്പായക്കഴുത്ത്
437,Ärmel::N,màniga,കുപ്പായക്കൈ
438,Hose::N,pantalōns,ട്രൌസർ
439,Gürtel::N,cinturó,ബെൽറ്റ്
440,Mütze::N,gorra,തൊപ്പി
441,Schuh::N,sabata,ഷൂ
442,Stiefel::N,bota,ബൂട്ട്
443,Ring::N,anell,മോതിരം
444,Band::N,veta,റിബൺ
445,Band::N,cinta,റിബൺ
446,Kamm::N,pinta,ചീപ്പ്
447,Spiegel::N,mirāll,കണ്ണാടി
448,Riemen::N,corretja,സ്ട്രാപ്പ്
449,Schnur::N,corda,ചരട്
450,Leine::N,corretja,കെട്ടാനുള്ള തോൽവാർ
451,Decke::N,manta,പുതപ്പ്
452,Decke::N,flassada,പുതപ്പ്
453,Kissen::N,coixí,തലയിണ
454,Tuch::N,mocador,സ്കാർഫ്
455,Handtuch::N,tovallola,തോർത്ത്
456,Kraft::N,força,ശക്തി
457,Stärke::N,vigor,ശക്തി
458,Gesundheit::N,salut,ആരോഗ്യം
459,Krankheit::N,malaltia,അസുഖം
460,Schmerz::N,dolor,വേദന
461,Wunde::N,ferida,മുറിവ്
462,Fieber::N,febre,പനി
463,Arznei::N,medicament,മരുന്ന്
464,Brücke::N,pont,പാലം
465,Brunnen::N,pou,കിണർ
466,Weide::N,pastura,മേച്ചൽ
467,Pfad::N,senda,വഴി
468,Pfad::N,sender,വഴി
469,Weg::N,camí,വഴി
470,Straße::N,carretera,റോഡ്
471,Dorf::N,poble,ഗ്രാമം
472,Stadt::N,ciutāt,നഗരം
473,Brief::N,carta,കത്ത്
474,Buch::N,llibre,പുസ്തകം
475,Buchstabe::N,lletra,അക്ഷരം
476,Zeitung::N,diāri,വർത്തമാനപത്രം
477,Leben::N,vida,ജീവൻ
478,Tod::N,mort,മരണം
479,Grab::N,tomba,ശവക്കുഴി
480,Kirche::N,església,പള്ളി
481,Sünde::N,pecat,പാപം
482,Gott::N,déu,ദൈവം
483,Arbeiter::N,obrer,ജോലിക്കാരൻ
484,Chef::N,cap,മേധാവി
485,Meister::N,mestre,യജമാനൻ
486,Arzt::N,metge,ഡോക്ടർ
487,Lehrer::N,mestre,അധ്യാപകൻ
488,Geld::N,dinērs,പണം
489,Geschäft::N,negoci,ബിസിനസ്
490,Laden::N,tenda,കട
491,Laden::N,botiga,കട
492,Preis::N,preu,വില
493,Ware::N,mercaderia,ചരക്ക്
494,Nutzen::N,profit,ലാഭം
495,Reichtum::N,riquesa,ധനം
496,Welt::N,món,ലോകം
497,Land::N,país,രാജ്യം
498,Staat::N,estat,രാജ്യം
499,König::N,rei,രാജാവ്
500,Macht::N,poder,അധികാരം
501,Macht::N,potència,അധികാരം
502,Grenze::N,frontera,അതിർത്തി
503,Krieg::N,guerra,യുദ്ധം
504,Feind::N,enemic,ശത്രു
505,Gewalt::N,violència,അക്രമം
506,Kampf::N,lluita,പോരാട്ടം
507,Bogen[Waffe]::N,arc,വില്ല്
508,Pfeil::N,fletxa,അമ്പ്
509,Gewehr::N,fusell,തോക്ക്
510,Gewehr::N,escopeta,തോക്ക്
511,Fehler::N,falta,പിശക്
512,Lüge::N,mentida,കള്ളം
513,Schaden::N,dany,കേടുപാട്
514,Unglück::N,desgràcia,ദൌർഭാഗ്യം
515,Schuld::N,culpa,തെറ്റ്
516,Alter::N,edat,വയസ്സ്
517,Schluss::N,fi,നിഗമനം
518,Schluss::N,final,നിഗമനം
519,Zeit::N,temps,സമയം
520,Tag::N,dia,ദിവസം
521,Morgen::N,matí,പ്രഭാതം
522,Mittag::N,migdia,ഉച്ച
523,Abend::N,vespre,സായാഹ്നം
524,Nacht::N,nit,രാത്രി
525,Woche::N,setmana,ആഴ്ച
526,Monat::N,mes,മാസം
527,Jahr::N,any,വർഷം
528,Frühling::N,primavera,വസന്തം
529,Sommer::N,estīu,വേനൽ
530,Herbst::N,tardor,ശരത്കാലം
531,Winter::N,hivērn,ശൈത്യം
532,Januar::N,gener,ജനുവരി
533,Februar::N,febrer,ഫെബ്രുവരി
534,März::N,març,മാർച്ച്
535,April::N,abril,ഏപ്രിൾ മാസം
536,Mai::N,maig,മെയ് മാസം
537,Juni::N,juny,ജൂൺ
538,Juli::N,juliol,ജൂലൈ
539,August::N,agost,ആഗസ്റ്റ്
540,September::N,setembre,സെപ്തംബർ
541,Oktober::N,octubre,ഒക്ടോബർ
542,November::N,novembre,നവംബർ
543,Dezember::N,desembre,ഡിസംബർ
544,Montag::N,dilluns,തിങ്കളാഴ്ച
545,Dienstag::N,dimarts,ചൊവ്വ
546,Mittwoch::N,dimecres,ബുധനാഴ്ച
547,Donnerstag::N,dijous,വ്യാഴാഴ്ച
548,Freitag::N,divendres,വെള്ളിയാഴ്ച
549,Samstag::N,dissabte,ശനിയാഴ്ച
550,Sonntag::N,diumenge,ഞായറാഴ്ച
551,groß::A,gros,വലിയ
552,klein::A,petīt,ചെറിയ
553,lang::A,llarg,നീണ്ട
554,kurz::A,curt,ഹ്രസ്വമായ
555,breit::A,ample,വിശാലമായ
556,schmal::A,estret,ഇടുങ്ങിയ
557,dicht::A,dens,നിബിഡമായ
558,dick[Gegenstand]::A,gruixūt,തടിച്ച
559,dünn::A,prim,മെലിഞ്ഞ
560,fein::A,fi,നേർത്ത
561,fest::A,ferm,ഉറപ്പുള്ള
562,fest::A,sòlid,ഉറപ്പുള്ള
563,flach::A,pla,പരന്ന
564,glatt::A,llis,മിനുസമുള്ള
565,hart::A,dur,കട്ടിയുള്ള
566,weich::A,tou,മൃദുവായ
567,rund::A,rodó,വട്ടത്തിലുള്ള
568,spitz::A,punxegut,മുനയുള്ള
569,scharf::A,agut,മൂർച്ചയുള്ള
570,stumpf::A,rom,തുറന്നടിക്കുന്ന
571,stumpf::A,esmussat,തുറന്നടിക്കുന്ന
572,schwer::A,pesāt,ഭാരമുള്ള
573,schön::A,bonīc,മനോഹരമായ
574,heiß::A,calēnt,ചൂടുള്ള
575,warm::A,càlid,ചൂടുള്ള
576,kalt::A,fred,തണുത്ത
577,kühl::A,fresc,തണുപ്പുള്ള
578,frisch::A,fresc,ശുദ്ധമായ
579,feucht::A,humit,ഈറനുള്ള
580,nass::A,mullat,നനഞ്ഞ
581,trocken::A,sec,വരണ്ട
582,voll::A,ple,നിറയെ
583,leer::A,buit,ഒഴിഞ്ഞ
584,offen::A,obert,തുറന്ന
585,geschlossen::A,tancat,അടച്ച
586,sauber::A,net,വൃത്തിയുള്ള
587,schmutzig::A,brut,അഴുക്കുനിറഞ്ഞ
588,roh::A,cru,അസംസ്കൃതമായ
589,reif::A,madur,പഴുത്ത
590,lecker::A,deliciós,രുചികരമായ
591,süß::A,dolç,മധുരമുള്ള
592,bitter::A,amarg,കടുത്ത
593,sauer::A,agre,പുളിപ്പുള്ള
594,hell::A,clar,ജ്വലിക്കുന്ന
595,dunkel::A,fosc,ഇരുണ്ട
596,schwarz::A,negre,കറുത്ത
597,weiß::A,blanc,വെളുത്ത
598,rot::A,vermēll,ചുവന്ന
599,gelb::A,groc,മഞ്ഞനിറമായ
600,blau::A,blau,നീലനിറമുള്ള
601,grün::A,verd,പച്ചനിറമുള്ള
602,grau::A,gris,ചാരനിറത്തിലുള്ള
603,bunt::A,multicolor,വർണ്ണശബളമായ
604,billig::A,barat,വിലകുറഞ്ഞ
605,teuer::A,car,ചെലവേറിയ
606,wertvoll::A,preciós,വിലപിടിപ്പുള്ള
607,blind::A,cec,അന്ധനായ
608,taub::A,sord,കേൾവിക്കുറവുള്ള
609,kräftig::A,fort,ശക്തിയുള്ള
610,kräftig::A,vigorós,ശക്തിയുള്ള
611,stark::A,fort,ബലമുള്ള
612,schwach::A,feble,ക്ഷീണിച്ച
613,fett::A,gras,കൊഴുപ്പുള്ള
614,schlank::A,esvelt,മെലിഞ്ഞ
615,hübsch::A,maco,മനോഹരമായ
616,böse::A,dolent,പാപിയായ
617,dumm::A,ximple,വിവരംകെട്ട
618,dumm::A,estúpid,വിവരംകെട്ട
619,faul::A,gandūl,അലസനായ
620,faul::A,mandrós,അലസനായ
621,fleißig::A,diligēnt,അദ്ധ്വാനശീലമുള്ള
622,geizig::A,avar,പിശുക്കനായ
623,klug::A,intel·ligent,ബുദ്ധിസാമർഥ്യമുള്ള
624,geschickt::A,hàbil,പ്രതിഭാശാലി
625,lieb::A,amat,പ്രിയപ്പെട്ട
626,lieb::A,estimat,പ്രിയപ്പെട്ട
627,lustig::A,alegre,ആനന്ദകരമായ
628,sanft::A,suau,സൌമ്യമായ
629,hungrig::A,afamat,വിശപ്പുള്ള
630,krank::A,malālt,അസുഖമുള്ള
631,nackt::A,nu,നഡമായ
632,traurig::A,trist,വിഷമമുള്ള
633,lebendig::A,viu,ഉപജീവനം
634,gut::A,bo,നല്ല
635,schlecht::A,dolēnt,മോശമായ
636,richtig::A,just,ശരിയായ
637,richtig::A,correcte,ശരിയായ
638,schlimm::A,greu,വൃത്തികെട്ട
639,wahr::A,vertader,ശരിയായ
640,wahr::A,veritable,ശരിയായ
641,alt::A,vell,പഴയ
642,neu::A,nou,പുതിയ
643,ehemalig::A,antic,മുൻ
644,alt[Lebewesen]::A,vell,വയസ്സുള്ള
645,jung::A,jove,കൌമാരമായ
646,arm::A,pobre,പാവപ്പെട്ട
647,reich::A,ric,സമ്പന്നമായ
648,bekannt::A,conegut,പരിചിതമായ
649,berühmt::A,famós,പ്രശസ്തനായ
650,fremd::A,estrany,വൈദേശികമായ
651,verschieden::A,diferent,വ്യത്യസ്തമായ
652,nah::A,pròxim,അരികത്തുള്ള
653,fern::A,llunyà,അകലെയുള്ള
654,fern::A,distant,അകലെയുള്ള
