,Concept_ID,ru,kv
153,Fuchs::N,лиса,руч
154,Hase::N,заяц,кӧч
155,Maus::N,мышь,шыр
156,Wolf::N,волк,кӧин
157,Vogel::N,птица,кай
158,Schwarm::N,стая,стая
159,Schwarm::N,стая,чукӧр
160,Huhn::N,курица,курӧг
161,Hahn::N,петух,петух
162,Hahn::N,петух,ай курӧг
163,Gans::N,гусь,дзодзог
164,Adler::N,орел,куч
165,Adler::N,орел,кутш
166,Ente::N,утка,утка
167,Eule::N,сова,тупка
168,Kranich::N,журавль,тури
169,Krähe::N,ворона,рака
170,Kuckuck::N,кукушка,кӧк
171,Schwan::N,лебедь,юсь
172,Fisch::N,рыба,чери
173,Barsch::N,окунь,ёкыш
174,Hecht::N,щука,сирпинь
175,Schlange[Tier]::N,змея,змей
176,Wurm::N,червяк,номыр
177,Spinne::N,паук,черань
178,Ameise::N,муравей,кӧдзывкар
179,Laus::N,вошь,ляпа той
180,Mücke::N,комар,ном
181,Fliege::N,муха,гут
182,Schmetterling::N,бабочка,бабыв
183,Beere::N,ягода,ягӧд
184,Apfel::N,яблоко,яблоко
185,Pilz::N,гриб,тшак
186,Zwiebel::N,луковица,грез
187,Saat::N,семя,кӧдзыс
188,Korn::N,зерно,сю
189,Heu::N,сено,турун
190,Schale::N,шелуха,кыш
191,Schale::N,шелуха,киль
192,Grube::N,яма,яма
193,Falle::N,ловушка,нальк
194,Falle::N,ловушка,кляпча
195,Schlinge::N,силок,лӧч
196,Spur::N,след,туй
197,Asche::N,зола,пӧим
198,Asche::N,пепел,пӧим
199,Dreck::N,грязь,нять
200,Eisen::N,железо,кӧрт
201,Gold::N,золото,зарни
202,Silber::N,серебро,язісь
203,Kohle::N,уголь,шом
204,Kohle::N,уголь,уголь
205,Glas::N,стекло,стекло
206,Lehm::N,глина,сёй
207,Sand::N,песок,лыа
208,Mensch::N,человек,морт
209,Mann::N,мужчина,мужик
210,Frau::N,женщина,инька
211,Kind::N,ребенок,кага
212,Junge::N,мальчик,зонка
213,Mädchen::N,девочка,нывкаок
214,Familie::N,семья,семья
215,Großvater::N,дедушка,дед
216,Großmutter::N,бабушка,баб
217,Eltern::N,родители,ай-мам
218,Vater::N,отец,ай
219,Mutter::N,мать,мам
220,Sohn::N,сын,зон
221,Tochter::N,дочь,ныв
222,Bruder::N,брат,вон
223,Schwester::N,сестра,сой
224,Onkel::N,дядя,дядь
225,Tante::N,тетя,айӧлӧн сой
226,Tante::N,тетя,ичинь
227,Ehemann::N,муж,жӧник
228,Ehefrau::N,жена,инь
229,Freude::N,радость,гаж
230,Freude::N,радость,радъялӧм
231,Gelächter::N,смех,сералӧм
232,Glück::N,счастье,мичлун
233,Kummer::N,горе,шог
234,Wunsch::N,желание,мӧдӧм
235,Wunsch::N,желание,охотитӧм
236,Lust::N,влечение,охота
237,Geist::N,дух,лов
238,Gedanke::N,мысль,дума
239,Gedächtnis::N,память,тӧдвыв
240,Verstand::N,ум,вежӧр
241,Sinn::N,смысл,ылӧс
242,Grund::N,повод,мог
243,Wahrheit::N,правда,правда
244,Gespräch::N,беседа,сёрни
245,Märchen::N,сказка,сказка
246,Erzählung::N,рассказ,висьт
247,Nachricht::N,сообщение,юӧр
248,Nachricht::N,сообщение,висьталӧм
249,Neuigkeit::N,новость,новость
250,Name::N,имя,ним
251,Rätsel::N,загадка,загадка
252,Rede::N,речь,сёрни
253,Sprache::N,язык,кыв
254,Stimme::N,голос,голос
255,Wort::N,слово,кыв
256,Zeichen::N,знак,пас
257,Ruf::N,зов,чуксӧм
258,Ruf::N,зов,чукӧстӧм
259,Lärm::N,шум,шум
260,Laut::N,звук,шы
261,Ton::N,звучание,гор
262,Lied::N,песня,сьыланкыв
263,Ruhe::N,покой,спокой
264,Leute::N,люди,йӧз
265,Volk::N,народ,йӧз
266,Volk::N,народ,народ
267,Arbeit::N,работа,удж
268,Gast::N,гость,гӧсь
269,Geschenk::N,подарок,гӧснеч
270,Geschenk::N,подарок,подарок
271,Spiel::N,игра,орсӧм
272,Gesellschaft::N,общество,компания
273,Hilfe::N,помощь,отсӧт
274,Freund::N,друг,модз
275,Freund::N,друг,дружок
276,Kamerad::N,приятель,тӧдса
277,Angelegenheit::N,дело,дело
278,Anzahl::N,количество,лыд
279,Art::N,вид,пӧлӧс
280,Stück::N,кусок,тор
281,Teil::N,часть,юкӧм
282,Hälfte::N,половина,джын
283,Kreis::N,круг,круг
284,Kreuz::N,крест,перна
285,Linie::N,линия,визь
286,Strich::N,черта,кырӧв
287,Abstand::N,промежуток,колас
288,Entfernung::N,расстояние,ылына
289,Gegend::N,местность,места
290,Platz::N,пространство,места
291,Ort::N,место,места
292,Seite::N,сторона,ладор
293,Mitte::N,середина,шӧр
294,Gegenstand::N,предмет,тор
295,Sache::N,вещь,тор
296,Rand::N,край,дор
297,Kante::N,ребро,ордлы
298,Ecke::N,угол,пельӧс
299,Spitze::N,кончик,йыв
300,Ende::N,конец,йыв
301,Loch::N,дыра,осьта
302,Winkel::N,угол,пельӧс
303,Muster::N,узор,сер
304,Größe::N,размер,ыжда
305,Länge::N,длина,кузя
306,Höhe::N,высота,сувда
307,Höhe::N,высота,вылына
308,Gewicht::N,вес,сьӧкта
309,Menge::N,количество,
310,Haufen::N,куча,куча
311,Reihe::N,ряд,лёдз
312,Boot::N,лодка,пыж
313,Ruder::N,весло,пелыс
314,Schlitten::N,сани,додь
315,Ski::N,лыжа,лямпа
316,Lagerfeuer::N,костер,бипур
317,Last::N,тяжесть,тягота
318,Gang::N,ход,мунӧм
319,Schritt::N,шаг,вожмӧв
320,Norden::N,север,ой
321,Süden::N,юг,лун
322,Westen::N,запад,рытвыв
323,Osten::N,восток,асыв
324,Holz::N,древесина,пу
325,Brett::N,доска,пӧв
326,Platte::N,плита,плита
327,Stütze::N,подпорка,пика
328,Stange::N,жердь,зор
329,Stange::N,жердь,потш
330,Stock::N,палка,бедь
331,Stab::N,шест,шест
332,Rohr::N,труба,труба
333,Haus::N,дом,керку
334,Heim::N,дом,керку
335,Ofen::N,печь,пӧжавны
336,Fußboden::N,пол,джодж
337,Tisch::N,стол,пызан
338,Stuhl::N,стул,стул
339,Wiege::N,колыбель,зыбка
340,Bett::N,постель,кровать
341,Regal::N,полка,джадж
342,Kiste::N,ящик,ящик
343,Fenster::N,окно,ӧшын
344,Tür::N,дверь,ыбӧс
345,Tor::N,ворота,ворота
346,Zaun::N,забор,забор
347,Dach::N,крыша,крыша
348,Leiter::N,лестница,лиснич
349,Besen::N,метла,рос
350,Spaten::N,лопата,зыр
351,Schaufel::N,совок,зыр
352,Gabel::N,вилка,вила
353,Löffel::N,ложка,пань
354,Messer::N,нож,пурт
355,Nagel::N,гвоздь,кӧрттув
356,Netz::N,сеть,кыйӧт
357,Haken::N,крюк,ем
358,Griff::N,ручка,пу
359,Schloss::N,замок,замок
360,Bild::N,картина,картина
361,Figur::N,фигура,мыгӧр
362,Puppe::N,кукла,акань
363,Beutel::N,мешок,мешӧк
364,Bündel::N,связка,нин
365,Tasche::N,сумка,сумка
366,Eimer::N,ведро,ведра
367,Deckel::N,крышка,вевт
368,Geschirr::N,посуда,доз
369,Geschirr::N,посуда,бекӧрпань
370,Sack::N,мешок,мешӧк
371,Tasse::N,чашка,бекӧр
372,Topf::N,кастрюля,кастрюля
373,Kessel::N,котел,пӧрт
374,Essen::N,еда,сёйӧм
375,Nahrung::N,пища,вердан
376,Speise::N,блюдо,сёян
377,Speise::N,кушанье,сёян
378,Fleisch::N,мясо,яй
379,Getreide::N,хлеб,сю
380,Brei::N,каша,каша
381,Brot::N,хлеб,нянь
382,Scheibe::N,ломоть,шӧрӧм
383,Fett::N,жир,гос
384,Butter::N,масло,ви
385,Öl::N,масло,ви
386,Salz::N,соль,сов
387,Suppe::N,суп,шыд
388,Honig::N,мед,ма
389,Milch::N,молоко,йӧв
390,Tee::N,чай,чай
391,Leder::N,кожа,кучик
392,Wolle::N,шерсть,гӧн
393,Stoff::N,ткань,дӧра
394,Nadel::N,игла,ем
395,Faden::N,нитка,сунис
396,Knopf::N,пуговица,кизь
397,Knoten::N,узел,узӧв
398,Knoten::N,узел,гӧрӧд
399,Farbe::N,краска,краска
400,Kleidung::N,одежда,паськӧм
401,Hemd::N,рубашка,йӧрнӧс
402,Kragen::N,воротник,воротник
403,Ärmel::N,рукав,сос
404,Hose::N,брюки,вешьян
405,Gürtel::N,пояс,йи
406,Mütze::N,шапка,шапка
407,Schuh::N,ботинок,ботинки
408,Stiefel::N,сапог,сапог
409,Ring::N,кольцо,чунькытш
410,Band::N,лента,ленточка
411,Kamm::N,расческа,сынан
412,Spiegel::N,зеркало,зеркало
413,Riemen::N,ремень,ремень
414,Schnur::N,веревка,гез
415,Leine::N,поводок,повод
416,Decke::N,одеяло,одеяло
417,Kissen::N,подушка,подушка
418,Tuch::N,платок,чышьян
419,Handtuch::N,полотенце,чышкӧт
420,Kraft::N,сила,прак
421,Stärke::N,крепость,вын
422,Gesundheit::N,здоровье,здоровье
423,Krankheit::N,болезнь,шог
424,Schmerz::N,боль,зубыт
425,Wunde::N,рана,рана
426,Fieber::N,лихорадка,лёк тресся
427,Fieber::N,лихорадка,кынтан шогӧт
428,Fieber::N,температура,лёк тресся
429,Fieber::N,температура,кынтан шогӧт
430,Arznei::N,лекарство,лекарство
431,Brücke::N,мост,пос
432,Brunnen::N,колодец,колодец 
433,Weide::N,пастбище,пода йирсян
434,Pfad::N,тропа,туй
435,Weg::N,путь,туй
436,Weg::N,дорога,туй
437,Straße::N,улица,туй
438,Straße::N,дорога,туй
439,Dorf::N,деревня,деревня
440,Stadt::N,город,город
441,Brief::N,письмо,гижӧт
442,Buch::N,книга,книга
443,Buchstabe::N,буква,буква
444,Zeitung::N,газета,газета
445,Leben::N,жизнь,олан
446,Tod::N,смерть,кулӧм
447,Grab::N,могила,гу
448,Kirche::N,церковь,вичку
449,Sünde::N,грех,грек
450,Gott::N,бог,ен
451,Arbeiter::N,рабочий,уджалiсь
452,Chef::N,начальник,начальник
453,Meister::N,мастер,мастер
454,Arzt::N,врач,врач
455,Lehrer::N,учитель,велӧтісь
456,Geld::N,деньги,деньга
457,Geschäft::N,занятие,удж
458,Laden::N,магазин,магазин
459,Preis::N,цена,дон
460,Ware::N,товар,товар
461,Nutzen::N,выгода,путь
462,Reichtum::N,богатство,богатство
463,Welt::N,мир,му
464,Land::N,страна,страна
465,Staat::N,государство,государство
466,König::N,король,кан
467,Macht::N,власть,власть
468,Grenze::N,граница,граница
469,Krieg::N,война,война
470,Feind::N,враг,враг
471,Gewalt::N,насилие,
472,Kampf::N,борьба,нярасьӧм
473,Kampf::N,борьба,вермасьӧм
474,Bogen[Waffe]::N,лук,лук
475,Pfeil::N,стрела,ньӧв
476,Gewehr::N,ружье,ружьё
477,Fehler::N,ошибка,ошибка
478,Lüge::N,ложь,ылӧтӧм
479,Lüge::N,ложь,пӧрьялӧм
480,Schaden::N,вред,лёк
481,Unglück::N,беда,пик
482,Unglück::N,беда,оказзё
483,Schuld::N,вина,вина
484,Alter::N,возраст,
485,Schluss::N,окончание,ком
486,Zeit::N,время,кад
487,Tag::N,день,лун
488,Morgen::N,утро,асыв
489,Mittag::N,полдень,луншӧр кад
490,Abend::N,вечер,рыт
491,Nacht::N,ночь,ой
492,Woche::N,неделя,неделя
493,Monat::N,месяц,тӧлicь
494,Jahr::N,год,год
495,Frühling::N,весна,тулыс
496,Sommer::N,лето,гожум
497,Herbst::N,осень,ар
498,Winter::N,зима,тӧв
499,Januar::N,январь,январ
500,Februar::N,февраль,февраль
501,März::N,март,март
502,April::N,апрель,апрель
503,Mai::N,май,май
504,Juni::N,июнь,юнь
505,Juli::N,июль,юль
506,August::N,август,август
507,September::N,сентябрь,сентяб
508,Oktober::N,октябрь,октяб
509,November::N,ноябрь,нояб
510,Dezember::N,декабрь,декаб
511,Montag::N,понедельник,вильлун
512,Dienstag::N,вторник,мӧдӧдзлун
513,Mittwoch::N,среда,шӧрлун
514,Donnerstag::N,четверг,нёльӧдзлун
515,Freitag::N,пятница,витӧдзлун
516,Samstag::N,суббота,пывсянлун
517,Sonntag::N,воскресенье,кресення
518,groß::A,большой,ыджыт
519,klein::A,маленький,учӧтик
520,lang::A,длинный,кузь
521,kurz::A,короткий,дженыт
522,breit::A,широкий,ота
523,schmal::A,узкий,векнит
524,dicht::A,густой,тшӧк
525,dick[Gegenstand]::A,толстый,кыз
526,dünn::A,тонкий,вӧснит
527,fein::A,тонкий,вӧснит
528,fest::A,крепкий,крепыт
529,flach::A,плоский,лапкӧса
530,glatt::A,гладкий,волькыт
531,hart::A,твердый,чӧрыт
532,weich::A,мягкий,небыт
533,rund::A,круглый,гӧгрӧса
534,spitz::A,остроконечный,ёся
535,scharf::A,острый,лэчыт
536,stumpf::A,тупой,ныж
537,schwer::A,тяжелый,сьӧкыт
538,schön::A,красивый,басӧк
539,heiß::A,жаркий,жар
540,warm::A,теплый,шоныт
541,kalt::A,холодный,кӧдзыт
542,kühl::A,прохладный,сайкыт
543,frisch::A,свежий,виль
544,feucht::A,влажный,вакодь
545,nass::A,мокрый,ва
546,trocken::A,сухой,кӧс
547,voll::A,полный,тыра
548,voll::A,наполненный,тыра
549,leer::A,пустой,тыртӧм
550,offen::A,открытый,оссьӧм
551,geschlossen::A,закрытый,игана
552,geschlossen::A,закрытый,пӧдана
553,sauber::A,чистый,сӧдз
554,sauber::A,чистый,сӧстӧм
555,schmutzig::A,грязный,нятьӧсь
556,roh::A,сырой,путӧм
557,reif::A,зрелый,кисьмалӧм
558,lecker::A,вкусный,кӧра 
559,süß::A,сладкий,чӧскыт
560,bitter::A,горький,курыт
561,sauer::A,кислый,шӧма 
562,hell::A,светлый,югыт
563,dunkel::A,темный,пемыт
564,schwarz::A,черный,сьӧд
565,weiß::A,белый,чочком
566,rot::A,красный,гӧрд
567,gelb::A,желтый,веж
568,blau::A,синий,лӧз
569,grün::A,зеленый,веж
570,grau::A,серый,руд
571,grau::A,серый,бусӧй
572,bunt::A,пестрый,быдрӧма
573,billig::A,дешевый,донтӧм
574,teuer::A,дорогой,дона
575,wertvoll::A,ценный,дона
576,blind::A,слепой,синтӧм
577,taub::A,глухой,пельтӧм
578,kräftig::A,могучий,вына
579,stark::A,сильный,вына
580,schwach::A,слабый,некодя
581,fett::A,жирный,госа
582,schlank::A,стройный,статя
583,hübsch::A,прелестный,басӧк
584,böse::A,злой,лёк
585,dumm::A,глупый,бӧбӧв
586,dumm::A,глупый,вежӧртӧм
587,faul::A,ленивый,дыш
588,fleißig::A,прилежный,уджалicь
589,geizig::A,жадный,жикмӧра
590,geizig::A,жадный,горшаліcь
591,klug::A,умный,авья
592,klug::A,умный,вежӧра
593,geschickt::A,искусный,кипода
594,lieb::A,милый,муса
595,lieb::A,милый,дзулиньӧй
596,lustig::A,веселый,гажа
597,sanft::A,нежный,лебезнӧй
598,hungrig::A,голодный,тшыг
599,krank::A,больной,шогалiсь
600,nackt::A,голый,куш
601,traurig::A,грустный,жугыль
602,lebendig::A,живой,ловья
603,gut::A,хороший,бур
604,schlecht::A,плохой,умӧль
605,richtig::A,правильный,
606,schlimm::A,отвратительный,нештӧм
607,schlimm::A,мерзкий,нештӧм
608,wahr::A,настоящий,
609,alt::A,старый,важ
610,neu::A,новый,виль
611,ehemalig::A,бывший,вӧвлӧм
612,alt[Lebewesen]::A,пожилой,года
613,alt[Lebewesen]::A,пожилой,годдэза
614,jung::A,молодой,том
615,arm::A,бедный,гов
616,arm::A,бедный,беднӧй
617,reich::A,богатый,эма
618,bekannt::A,знакомый,тӧдса
619,berühmt::A,знаменитый,
620,fremd::A,чужой,чужӧй
621,verschieden::A,разный,быдкодь
622,nah::A,близкий,матiсь
623,fern::A,далекий,ылicь
624,linker::A,левый,шульга
625,rechter::A,правый,веськытланись
626,anderer::A,другой,мукӧд
627,erster::A,первый,медодзза
628,zweiter::A,второй,кыкӧт
629,dritter::A,третий,куимӧт
630,dritter::A,третий,куимӧдз
631,letzter::A,последний,бӧрья
632,letzter::A,последний,мёдбӧрья
633,allein::ADV,один,
634,auf einmal::ADV,сразу,тшӧтш
635,zusammen::ADV,вместе,ӧтлаын
636,lange::ADV,долго,дыр
637,plötzlich::ADV,вдруг,друг
638,sofort::ADV,тотчас,тшӧтш
639,später::ADV,позже,медбӧрын
640,jetzt::ADV,сейчас,ӧні
641,heute::ADV,сегодня,талун
642,morgen::ADV,завтра,ашын
643,bald::ADV,скоро,чожа
644,dann::ADV,потом,сыбӧрын
645,gestern::ADV,вчера,тӧн
646,einst::ADV,однажды,ӧтпыр
647,damals::ADV,тогда,сэк
648,damals::ADV,тогда,сэки
649,danach::ADV,затем,сэсся
650,vorher::ADV,раньше,одзжык
651,zuerst::ADV,сперва,наперво
652,einmal::ADV,раз,ӧтпыр
653,manchmal::ADV,иногда,мукӧдпыр
654,oft::ADV,часто,-лы-
655,immer::ADV,всегда,быдпыр
656,immer::ADV,всегда,быдпырся
657,niemals::ADV,никогда,некӧр
658,hier::ADV,здесь,татӧн
659,hierhin::ADV,сюда,татчӧ
660,von hier::ADV,отсюда,тасянь
661,dort::ADV,там,сэтӧн
662,dorthin::ADV,туда,сэтчин
663,geradeaus::ADV,прямо,веськыта
664,vorwärts::ADV,вперед,одзӧ
665,rückwärts::ADV,назад,бӧр
666,zurück::ADV,обратно,бӧр
667,unten::ADV,внизу,увтын
668,hinab::ADV,вниз,увтас
669,oben::ADV,наверху,вевдӧрас
670,hinauf::ADV,вверх,вывлань
671,hinauf::ADV,вверх,вывланьӧ
672,überall::ADV,везде,быдлан
673,nicht::ADV,не,ог
674,ein wenig::ADV,немного,-ышт
675,ein wenig::ADV,немного,невна
676,kaum::ADV,едва,ӧдва
677,sehr::ADV,очень,вывтi
678,so::ADV,так,сiдз
679,noch::ADV,еще,эшӧ
680,nur::ADV,только,только
681,schon::ADV,уже,ни
682,wieder::ADV,опять,бӧра
683,vergebens::ADV,напрасно,весись
684,vor::PRP,перед,одзас
685,hinter::PRP,за,бӧрӧ
686,hinter::PRP,позади,бӧрӧ
687,unter::PRP,под,увтын
688,durch::PRP,сквозь,пыр
689,neben::PRP,возле,бокам
690,neben::PRP,возле,боксиным
691,zwischen::PRP,между,коласас
692,wegen::PRP,из-за,понда
693,dies::PRN,это,эта
694,das::PRN,то,сiя
695,alles::PRN,все,быдӧс
696,ich::PRN,я,ме
697,du::PRN,ты,тэ
698,er::PRN,он,сiя
699,wir::PRN,мы,мийӧ
700,ihr::PRN,вы,ті
701,sie::PRN,они,нія
702,was::FPRN,что,мый
703,wer::FPRN,кто,кин
704,wo::FADV,где,кытӧн
705,wohin::FADV,куда,кытчӧ
706,wie::FADV,как,дзик
707,warum::FADV,почему,мыля
708,warum::FADV,почему,мыйсянь
709,wieviel::FNUM,сколько,мымда
710,eins::NUM,один,ӧт
711,zwei::NUM,два,кык
712,drei::NUM,три,куим
713,vier::NUM,четыре,нёль
714,fünf::NUM,пять,вит
715,sechs::NUM,шесть,квать
716,sieben::NUM,семь,сизим
717,acht::NUM,восемь,кыкьямыс
718,neun::NUM,девять,ӧкмыс
719,zehn::NUM,десять,дас
720,elf::NUM,одиннадцать,дасотік
721,zwölf::NUM,двенадцать,даскык
722,zwanzig::NUM,двадцать,кыкдас
723,dreißig::NUM,тридцать,куимдас
724,vierzig::NUM,сорок,нёльдас
725,fünfzig::NUM,пятьдесят,витдас
726,sechzig::NUM,шестьдесят,кватьдас
727,siebzig::NUM,семьдесят,сизимдас
728,achtzig::NUM,восемьдесят,кыкьямысдас
729,neunzig::NUM,девяносто,ӧкмысдас
730,hundert::NUM,сто,сто
731,tausend::NUM,тысяча,тысяча
732,und::CNJ,и,и
733,und::CNJ,и,да
734,oder::CNJ,или,или
735,oder::CNJ,либо,или
736,stehen::V,стоять,сулавны
737,sitzen::V,сидеть,пукавны
738,liegen::V,лежать,куйлыны
739,hängen::V,висеть,ӧшавны
740,werden::V,стать,лоны
741,passieren::V,случиться,аркмыны
742,beginnen::V,начаться,петны
743,enden::V,кончиться,-сь
744,enden::V,кончиться,бырны
745,wechseln::V,меняться,вежсьыны
746,aufgehen[Sonne]::V,взойти,петавны
747,untergehen[Sonne]::V,зайти,пуксьыны
748,scheinen[Sonne]::V,светить,югьявны
749,donnern::V,греметь,гымавны
750,wehen::V,дуть,пӧлявны
751,strömen::V,литься,киссьыны
752,fließen::V,течь,визывтны
753,sich drehen::V,вращаться,бергавны
754,schwanken::V,колебаться,кӧвьясьны
755,schwingen::V,качаться,дюттясьны
756,fallen::V,падать,усьны
757,brennen::V,гореть,сотчыны
758,rauchen::V,дымить,тшынасьны
759,regnen::V,дождить,зэрны
760,gefrieren::V,замерзнуть,гегдыны
761,tauen::V,таять,сывны
762,schmelzen::V,плавиться,сывны
763,trocknen::V,сохнуть,косьмыны
764,sieden::V,кипеть,пизьны
765,faulen::V,гнить,нёльзьыны
766,verfaulen::V,сгнить,тӧрмыны
767,verfaulen::V,сгнить,сiсьмыны
768,reißen::V,рваться,косясьны
769,versinken::V,тонуть,вӧйны
770,vergehen::V,проходить,мунны
771,erscheinen::V,появиться,мыччисьны
772,verschwinden::V,исчезнуть,ӧшны
773,sinken::V,спадать,ямны
774,abnehmen::V,уменьшиться,ямны
775,zunehmen::V,увеличиваться,паськавны
776,steigen::V,подниматься,лэбтiсьны
777,wachsen::V,расти,быдмыны
778,glänzen::V,блестеть,свиттявны
779,funkeln::V,сверкать,югйовтлыны
780,funkeln::V,сверкать,югйӧв-керны
781,lärmen::V,шуметь,чавзыны
782,läuten::V,звонить,диньгыны
783,klingeln::V,звонить,силькӧтны
784,klirren::V,звякать,жольӧтны
785,brausen::V,бушевать,гуасьны
786,rauschen::V,шелестеть,кышӧтны
787,klingen::V,звучать,горавны
788,bellen::V,лаять,увтны
789,bellen::V,лаять,вувтны
790,heulen::V,выть,уннявны
791,blasen::V,дунуть,пӧлявны
792,pfeifen::V,свистеть,пиксыны
793,schreien::V,кричать,айзыны
794,stöhnen::V,стонать,ойзыны
795,stöhnen::V,стонать,ружтыны
796,zittern::V,дрожать,легьявны
797,leben::V,жить,овны
798,geboren werden::V,родиться,шогмыны
799,atmen::V,дышать,лолавны
800,trinken::V,пить,юны
801,essen::V,есть,сёйны
802,essen::V,кушать,сёйны
803,schlucken::V,глотать,ньылавны
804,müde werden::V,устать,мыдзны
805,einschlafen::V,заснуть,ланьтны
806,schlafen::V,спать,узьны
807,aufwachen::V,проснуться,саймыны
808,aufwachen::V,проснуться,пальмыны
809,aufstehen::V,встать,сувтны
810,sich erholen::V,отдыхать,шоччисьлыны
811,krank werden::V,заболеть,моржитны
