,Concept_ID,mrj,fi
257,Freude::N,ӹвӹртӹмӓш,ilo
258,Freude::N,ӹвӹртӹмӓш,riemu
259,Gelächter::N,ваштылмаш,nauru
260,Glück::N,пиӓл,onni
261,Kummer::N,ясы,suru
262,Kummer::N,ясы,murhe
263,Wunsch::N,охата,toive
264,Wunsch::N,охата,toivomus
265,Wunsch::N,шанымаш,toive
266,Wunsch::N,шанымаш,toivomus
267,Lust::N,шӓр,himo
268,Lust::N,охата,himo
269,Lust::N,шанымаш,himo
270,Geist::N,тух,henki
271,Gedanke::N,шанымаш,aate
272,Gedanke::N,шанымаш,ajatus
273,Gedächtnis::N,ӓш,muisti
274,Verstand::N,ыш,äly
275,Verstand::N,ыш,järki
276,Verstand::N,ыш,ymmärrys
277,Sinn::N,кын,merkitys
278,Grund::N,вир,syy
279,Grund::N,вир,peruste
280,Wahrheit::N,тöр,tosi
281,Wahrheit::N,тöр,totuus
282,Gespräch::N,хытырымаш,puhelu
283,Gespräch::N,хытырымаш,keskustelu
284,Märchen::N,ямак,satu
285,Erzählung::N,шайыштмаш,tarina
286,Erzählung::N,шайыштмаш,kertomus
287,Nachricht::N,увертӓрӹмӓш,tieto
288,Nachricht::N,увертӓрӹмӓш,ilmoitus
289,Neuigkeit::N,увер,uutinen
290,Name::N,лӹм,nimi
291,Rätsel::N,тышты,arvoitus
292,Rede::N,шая,puhe
293,Rede::N,шамак,puhe
294,Sprache::N,йӹлмӹ,kieli
295,Stimme::N,юк,ääni
296,Wort::N,шамак,sana
297,Zeichen::N,палӹ,merkki
298,Ruf::N,сӹгӹрӹмӓш,kutsu
299,Lärm::N,юкланымащ,melu
300,Lärm::N,юкланымащ,hälinä
301,Laut::N,юк,ääni
302,Ton::N,юк,sävel
303,Lied::N,мыры,laulu
304,Ruhe::N,тыр,lepo
305,Ruhe::N,тыр,rauha
306,Leute::N,эдемвлӓ,väki
307,Leute::N,эдемвлӓ,ihmiset
308,Volk::N,халык,kansa
309,Arbeit::N,пӓшӓ,työ
310,Gast::N,хына,vieras
311,Geschenk::N,подарка,lahja
312,Spiel::N,мадыш,peli
313,Spiel::N,мадыш,leikki
314,Gesellschaft::N,йӓл,seura
315,Gesellschaft::N,йӓлвлӓ,seura
316,Hilfe::N,палшык,apu
317,Freund::N,тӓнг,ystävä
318,Kamerad::N,тос,toveri
319,Angelegenheit::N,дела,asia
320,Angelegenheit::N,йела,asia
321,Angelegenheit::N,йыла,asia
322,Angelegenheit::N,пӓшӓ,asia
323,Anzahl::N,шот,lukumäärä
324,Art::N,цӹре,laji
325,Stück::N,лаштык,pala
326,Stück::N,лаштык,kappale
327,Teil::N,пай,osa
328,Teil::N,часть,osa
329,Hälfte::N,пел,puoli
330,Kreis::N,тӹртӹш,ympyrä
331,Kreuz::N,крестӹ,risti
332,Abstand::N,ло,väli
333,Abstand::N,ло,väljyys
334,Entfernung::N,ло,etäisyys
335,Gegend::N,вӓр,seutu
336,Platz::N,вӓр,tila
337,Ort::N,вӓр,kohta
338,Ort::N,вӓр,paikka
339,Seite::N,öрдӹж,sivu
340,Seite::N,öрдӹж,kylki
341,Mitte::N,ло,keskus
342,Mitte::N,ло,puoliväli
343,Gegenstand::N,хӓдӹр,kalu
344,Gegenstand::N,хӓдӹр,esine
345,Sache::N,хӓдӹр,asia
346,Rand::N,шöр,ääri
347,Rand::N,шöр,syrjä
348,Kante::N,шöр,särmä
349,Ecke::N,лык,nurkka
350,Spitze::N,вуй,terä
351,Spitze::N,вуй,kärki
352,Ende::N,вуй,pää
353,Ende::N,вуй,perä
354,Ende::N,мычаш,pää
355,Ende::N,мычаш,perä
356,Loch::N,ыраж,kolo
357,Loch::N,ыраж,reikä
358,Winkel::N,лык,kulma
359,Muster::N,тӹрлец,kuvio
360,Größe::N,кӱкшӹц,koko
361,Größe::N,кӱкшӹц,suuruus
362,Länge::N,кыт,pituus
363,Höhe::N,кӱкшӹц,korkeus
364,Gewicht::N,нелӹц,paino
365,Menge::N,шот,määrä
366,Haufen::N,ара,kasa
367,Reihe::N,ряд,rivi
368,Boot::N,пыш,vene
369,Ruder::N,вешлӓ,airo
370,Schlitten::N,тир,reki
371,Schlitten::N,тир,kelkka
372,Ski::N,ечӹ,suksi
373,Lagerfeuer::N,тыл,nuotio
374,Last::N,нелӹц,kuorma
375,Gang::N,ход,kulku
376,Gang::N,ход,käynti
377,Schritt::N,ашкыл,askel
378,Norden::N,йыдпелвел,pohjoinen
379,Süden::N,кечӹвӓлвел,etelä
380,Westen::N,кечӹ шӹцмӹ,länsi
381,Osten::N,ирвел,itä
382,Osten::N,кечӹ лӱлтмӹ,itä
383,Holz::N,пушӓнгӹ,puu
384,Brett::N,ханга,lauta
385,Platte::N,плитӓ,levy
386,Stütze::N,цӓрӓк,noja
387,Stange::N,равы,tanko
