,Concept_ID,ja,uk
212,Großmutter::N,祖母,бабуся
213,Großmutter::N,おばあさん,бабуся
214,Eltern::N,親,батьки
215,Eltern::N,両親,батьки
216,Vater::N,父,батько
217,Vater::N,お父さん,батько
218,Mutter::N,母,мати
219,Mutter::N,お母さん,мати
220,Sohn::N,息子,син
221,Sohn::N,息子さん,син
222,Tochter::N,娘,дочка
223,Tochter::N,お嬢さん,дочка
224,Bruder::N,弟,брат
225,Schwester::N,妹,сестра
226,Onkel::N,伯父,дядько
227,Onkel::N,伯父さん,дядько
228,Tante::N,叔母,тітка
229,Tante::N,叔母さん,тітка
230,Ehemann::N,夫,чоловік
231,Ehemann::N,主人,чоловік
232,Ehefrau::N,妻,жінка
233,Ehefrau::N,妻,дружина
234,Ehefrau::N,奥さん,жінка
235,Ehefrau::N,奥さん,дружина
236,Freude::N,喜び,радощі
237,Gelächter::N,笑い,сміх
238,Glück::N,幸せ,щастя
239,Kummer::N,悩み,горе
240,Wunsch::N,希望,бажання
241,Lust::N,気,бажання
242,Geist::N,精神,дух
243,Gedanke::N,考え,думка
244,Gedächtnis::N,記憶,пам’ять
245,Verstand::N,理解力,розум
246,Sinn::N,意味,зміст
247,Sinn::N,意味,значення
248,Grund::N,理由,причина
249,Wahrheit::N,真実,правда
250,Gespräch::N,会話,розмова
251,Märchen::N,童話,байка
252,Erzählung::N,物語,повість
253,Erzählung::N,物語,оповідання
254,Nachricht::N,報告,повідомлення
255,Neuigkeit::N,ニュース,новина
256,Name::N,名前,ім’я
257,Rätsel::N,謎,загадка
258,Rede::N,演説,промова
259,Sprache::N,言語,мова
260,Stimme::N,声,голос
261,Wort::N,言葉,слово
262,Zeichen::N,記号,знак
263,Ruf::N,呼び声,оклик
264,Lärm::N,騒音,шум
265,Laut::N,音,звук
266,Ton::N,音,тон
267,Lied::N,歌,пісня
268,Ruhe::N,静けさ,спокій
269,Leute::N,人々,люди
270,Volk::N,民族,народ
271,Arbeit::N,仕事,робота
272,Gast::N,客,гість
273,Geschenk::N,贈り物,подарунок
274,Spiel::N,遊び,гра
275,Gesellschaft::N,社会,товариство
276,Hilfe::N,援助,допомога
277,Freund::N,友達,друг
278,Freund::N,友達,приятель
279,Kamerad::N,同志,товариш
280,Angelegenheit::N,件,справа
281,Anzahl::N,数,число
282,Art::N,種類,рід
283,Stück::N,部分,кусок
284,Teil::N,部分,частина
285,Hälfte::N,半分,половина
286,Kreis::N,円,круг
287,Kreis::N,円,коло
288,Kreuz::N,十字,хрест
289,Linie::N,線,лінія
290,Strich::N,線,штрих
291,Abstand::N,距離,проміжок
292,Entfernung::N,距離,відстань
293,Gegend::N,辺,місцевість
294,Gegend::N,地域,місцевість
295,Platz::N,ゆとり,площа
296,Ort::N,所,місце
297,Ort::N,場所,місце
298,Seite::N,横,сторона
299,Mitte::N,真ん中,середина
300,Gegenstand::N,物件,предмет
301,Sache::N,物,річ
302,Rand::N,端,край
303,Kante::N,縁,ребро
304,Ecke::N,角,ріг
305,Spitze::N,先頭,кінчик
306,Ende::N,端,кінець
307,Loch::N,穴,діра
308,Winkel::N,片隅,куток
309,Muster::N,模様,узор
310,Größe::N,大きさ,розмір
311,Länge::N,長さ,довжина
312,Höhe::N,高さ,висота
313,Gewicht::N,重さ,вага
314,Menge::N,量,кількість
315,Haufen::N,堆積,купа
316,Reihe::N,並び,ряд
317,Boot::N,ボート,човен
318,Ruder::N,オール,весло
319,Schlitten::N,そり,сани
320,Ski::N,スキー,лижа
321,Lagerfeuer::N,篝火,вогнище
322,Last::N,荷物,тягар
323,Last::N,荷物,вантаж
324,Gang::N,歩み,хід
325,Schritt::N,歩,крок
326,Norden::N,北,північ
327,Süden::N,南,південь
328,Westen::N,西,захід
329,Osten::N,東,схід
330,Holz::N,木,дрова
331,Holz::N,木材,дрова
332,Brett::N,板,дошка
333,Platte::N,盤,плита
334,Stütze::N,支柱,підпірка
335,Stange::N,棒,жердина
336,Stock::N,杖,палиця
337,Stab::N,棒,палиця
338,Rohr::N,管,труба
339,Haus::N,家,дім
340,Haus::N,家,хата
341,Heim::N,家,житло
342,Ofen::N,ストーブ,піч
343,Fußboden::N,床,підлога
344,Tisch::N,机,стіл
345,Stuhl::N,椅子,стілець
346,Wiege::N,揺籃,колиска
347,Bett::N,ベッド,ліжко
348,Bett::N,ベッド,постіль
349,Regal::N,棚,полиця
350,Kiste::N,箱,ящик
351,Fenster::N,窓,вікно
352,Tür::N,戸,двері
353,Tür::N,ドア,двері
354,Tor::N,門,ворота
355,Zaun::N,垣根,паркан
356,Zaun::N,垣根,огорожа
357,Dach::N,屋根,дах
358,Leiter::N,梯子,драбина
359,Besen::N,ほうき,мітла
360,Spaten::N,スコップ,заступ
361,Schaufel::N,シャベル,совок
362,Schaufel::N,シャベル,лопата
363,Gabel::N,フォーク,виделка
364,Löffel::N,スプーン,ложка
365,Messer::N,ナイフ,ніж
366,Nagel::N,釘,цвях
367,Netz::N,網,сіть
368,Haken::N,鉤,крюк
369,Haken::N,フック,крюк
370,Griff::N,取っ手,ручка
371,Griff::N,取っ手,держак
372,Schloss::N,錠,замок
373,Bild::N,絵,картина
374,Figur::N,像,фігура
375,Puppe::N,人形,лялька
376,Beutel::N,袋,мішечок
377,Beutel::N,袋,торбинка
378,Bündel::N,束,в’язка
379,Bündel::N,包み,в’язка
380,Tasche::N,かばん,сумка
381,Eimer::N,バケツ,відро
382,Deckel::N,蓋,кришка
383,Geschirr::N,食器,посуд
384,Sack::N,袋,мішок
385,Tasse::N,カップ,чашка
386,Topf::N,鍋,горщик
387,Kessel::N,釜,котел
388,Essen::N,食事,їжа
389,Nahrung::N,食物,харч
390,Speise::N,料理,страва
391,Fleisch::N,肉,м’ясо
392,Getreide::N,麦,хліб
393,Getreide::N,麦,збіжжя
394,Getreide::N,穀物,хліб
395,Getreide::N,穀物,збіжжя
396,Brei::N,粥,каша
397,Brot::N,パン,хліб
398,Scheibe::N,枚,скибочка
399,Scheibe::N,切れ,скибочка
400,Fett::N,脂肪,жир
401,Butter::N,バター,масло
402,Öl::N,油,олія
403,Salz::N,塩,сіль
404,Suppe::N,スープ,суп
405,Honig::N,蜂蜜,мед
406,Milch::N,牛乳,молоко
407,Tee::N,茶,чай
408,Tee::N,お茶,чай
409,Leder::N,革,шкіра
410,Wolle::N,毛糸,шерсть
411,Stoff::N,布,тканина
412,Nadel::N,針,голка
413,Faden::N,糸,нитка
414,Knopf::N,ボタン,ґудзик
415,Knoten::N,結び目,вузол
416,Farbe::N,ペンキ,фарба
417,Kleidung::N,衣服,одяг
418,Kleidung::N,衣服,убрання
419,Hemd::N,シャツ,сорочка
420,Kragen::N,襟,комір
421,Ärmel::N,袖,рукав
422,Hose::N,ズボン,брюки
423,Gürtel::N,帯,пояс
424,Gürtel::N,ベルト,пояс
425,Mütze::N,帽子,шапка
426,Schuh::N,靴,ботинок
427,Stiefel::N,ブーツ,чобіт
428,Ring::N,輪,кільце
429,Band::N,リボン,стрічка
430,Kamm::N,櫛,гребінець
431,Spiegel::N,鏡,дзеркало
432,Riemen::N,緒,ремінь
433,Schnur::N,紐,вірьовка
434,Leine::N,綱,шворка
435,Decke::N,掛け布団,ковдра
436,Kissen::N,枕,подушка
437,Tuch::N,スカーフ,хустка
438,Handtuch::N,タオル,рушник
439,Kraft::N,力,сила
440,Stärke::N,強さ,сила
441,Gesundheit::N,健康,здоров’я
442,Krankheit::N,病気,хвороба
443,Schmerz::N,痛み,біль
444,Wunde::N,傷,рана
445,Fieber::N,熱,гарячка
446,Arznei::N,薬,ліки
447,Brücke::N,橋,міст
448,Brunnen::N,井戸,колодязь
449,Weide::N,牧場,пасовище
450,Pfad::N,小路,стежка
451,Weg::N,道,шлях
452,Weg::N,道,дорога
453,Straße::N,街道,вулиця
454,Dorf::N,村,село
455,Stadt::N,町,місто
456,Stadt::N,都市,місто
457,Brief::N,手紙,лист
458,Buch::N,本,книга
459,Buch::N,本,книжка
460,Buchstabe::N,文字,буква
461,Buchstabe::N,文字,літера
462,Zeitung::N,新聞,газета
463,Leben::N,生活,життя
464,Tod::N,死,смерть
465,Grab::N,墓,могила
466,Kirche::N,教会,церква
467,Sünde::N,罪,гріх
468,Gott::N,神,бог
469,Arbeiter::N,労働者,робітник
470,Chef::N,上司,хазяїн
471,Meister::N,達人,умілець
472,Meister::N,マイスター,умілець
473,Arzt::N,医者,лікар
474,Lehrer::N,先生,вчитель
475,Geld::N,金,гроші
476,Geschäft::N,取り引き,заняття
477,Laden::N,店,магазин
478,Laden::N,店,крамниця
479,Preis::N,値段,ціна
480,Ware::N,商品,товар
481,Nutzen::N,利益,вигода
482,Nutzen::N,利益,користь
483,Reichtum::N,豊かさ,багатство
484,Welt::N,世界,світ
485,Land::N,国,країна
486,Staat::N,国家,держава
487,König::N,国王,король
488,Macht::N,権力,влада
489,Grenze::N,国境,кордон
490,Krieg::N,戦争,війна
491,Feind::N,敵,ворог
492,Gewalt::N,暴力,насильство
493,Kampf::N,戦い,бій
494,Kampf::N,戦い,боротьба
495,Bogen[Waffe]::N,弓,лук
496,Pfeil::N,矢,стріла
497,Gewehr::N,銃,рушниця
498,Gewehr::N,銃,гвинтівка
499,Fehler::N,間違い,помилка
500,Lüge::N,嘘,брехня
501,Schaden::N,損害,шкода
502,Schaden::N,損害,збиток
503,Unglück::N,不幸,нещастя
504,Schuld::N,罪,провина
505,Alter::N,年,вік
506,Alter::N,年,літа
507,Alter::N,年齢,вік
508,Alter::N,年齢,літа
509,Schluss::N,終わり,кінець
510,Zeit::N,時,час
511,Zeit::N,時間,час
512,Tag::N,日,день
513,Morgen::N,朝,ранок
514,Mittag::N,昼,південь
515,Abend::N,晩,вечір
516,Abend::N,夕方,вечір
517,Nacht::N,夜,ніч
518,Woche::N,週,тиждень
519,Monat::N,月,місяць
520,Jahr::N,年,рік
521,Frühling::N,春,весна
522,Sommer::N,夏,літо
523,Herbst::N,秋,осінь
524,Winter::N,冬,зима
525,Januar::N,一月,січень
526,Februar::N,二月,лютий
527,März::N,三月,березень
528,April::N,四月,квітень
529,Mai::N,五月,травень
530,Juni::N,六月,червень
531,Juli::N,七月,липень
532,August::N,八月,серпень
533,September::N,九月,вересень
534,Oktober::N,十月,жовтень
535,November::N,十一月,листопад
536,Dezember::N,十二月,грудень
537,Montag::N,月曜日,понеділок
538,Dienstag::N,火曜日,вівторок
539,Mittwoch::N,水曜日,середа
540,Donnerstag::N,木曜日,четвер
541,Freitag::N,金曜日,п’ятниця
542,Samstag::N,土曜日,субота
543,Sonntag::N,日曜日,неділя
544,groß::A,大きい,великий
545,klein::A,小さい,малий
546,klein::A,小さい,маленький
547,lang::A,長い,довгий
548,kurz::A,短い,короткий
549,breit::A,広い,широкий
550,schmal::A,狭い,вузький
551,dicht::A,密な,густий
552,dick[Gegenstand]::A,厚い,товстий
553,dünn::A,薄い,тонкий
554,fein::A,細い,дрібний
555,fest::A,硬い,міцний
556,flach::A,平らな,плоский
557,glatt::A,滑らかな,рівний
558,glatt::A,滑らかな,гладенький
559,hart::A,堅い,твердий
560,weich::A,柔らかい,м’який
561,rund::A,丸い,круглий
562,spitz::A,尖った,гострокінцевий
563,scharf::A,鋭い,гострий
564,stumpf::A,鈍い,тупий
565,schwer::A,重い,важкий
566,schön::A,綺麗な,вродливий
567,heiß::A,熱い,жаркий
568,heiß::A,熱い,гарячий
569,warm::A,温かい,теплий
570,kalt::A,寒い,холодний
571,kalt::A,冷たい,холодний
572,kühl::A,涼しい,прохолодний
573,frisch::A,ひんやりした,свіжий
574,feucht::A,湿った,вогкий
575,nass::A,濡れた,мокрий
576,trocken::A,乾いた,сухий
577,voll::A,いっぱいの,повний
578,leer::A,空の,пустий
579,offen::A,開いた,відкритий
580,geschlossen::A,閉まった,закритий
581,geschlossen::A,閉まった,зачинений
582,sauber::A,清潔な,чистий
583,sauber::A,清潔な,охайний
584,schmutzig::A,汚い,брудний
585,roh::A,生の,сирий
586,reif::A,熟した,зрілий
587,lecker::A,美味しい,смачний
588,süß::A,甘い,солодкий
589,bitter::A,苦い,гіркий
590,sauer::A,酸っぱい,кислий
591,hell::A,明るい,світлий
592,dunkel::A,暗い,темний
593,schwarz::A,黒い,чорний
594,weiß::A,白い,сивий
595,rot::A,赤い,червоний
596,gelb::A,黄色い,жовтий
597,blau::A,青い,синій
598,grün::A,緑の,зелений
599,grau::A,灰色の,сірий
600,bunt::A,色取り取りの,барвистий
601,billig::A,安い,дешевий
602,teuer::A,高い,дорогий
603,wertvoll::A,貴重な,цінний
604,blind::A,盲目の,сліпий
605,taub::A,耳が聞こえない,глухий
606,kräftig::A,強力な,могутній
607,stark::A,強い,сильний
608,schwach::A,弱い,слабкий
609,fett::A,太った,жирний
610,fett::A,太った,товстий
611,schlank::A,ほっそりした,тонкий
612,schlank::A,ほっそりした,стрункий
613,hübsch::A,素敵な,чарівний
614,böse::A,悪い,злий
615,böse::A,悪い,лихий
616,dumm::A,馬鹿な,дурний
617,faul::A,怠惰な,ледачий
618,fleißig::A,勤勉な,старанний
619,geizig::A,けちな,скупий
620,klug::A,賢い,мудрий
621,klug::A,賢い,розумний
622,klug::A,頭のいい,мудрий
623,klug::A,頭のいい,розумний
624,geschickt::A,器用な,умілий
625,lieb::A,愛らしい,милий
626,lustig::A,楽しい,веселий
627,sanft::A,温和な,лагідний
628,hungrig::A,空腹の,голодний
629,krank::A,病気の,слабий
630,nackt::A,裸の,голий
631,traurig::A,悲しい,сумний
632,lebendig::A,生きた,живий
633,gut::A,良い,добрий
634,schlecht::A,悪い,поганий
635,schlecht::A,悪い,кепський
636,schlecht::A,駄目な,поганий
637,schlecht::A,駄目な,кепський
638,richtig::A,正しい,правильний
639,schlimm::A,ひどい,бридкий
640,wahr::A,本当の,справжній
641,alt::A,古い,старий
642,neu::A,新しい,новий
643,ehemalig::A,以前の,колишній
644,alt[Lebewesen]::A,年を取った,старий
645,jung::A,若い,молодий
646,arm::A,貧乏な,бідний
647,reich::A,裕福な,багатий
648,bekannt::A,有名な,знайомий
649,berühmt::A,有名な,славетний
650,fremd::A,見知らぬ,чужий
651,verschieden::A,色々な,різний
652,nah::A,近い,близький
653,fern::A,遠い,далекий
654,linker::A,左の,лівий
655,rechter::A,右の,правий
656,anderer::A,別の,інакший
657,erster::A,一番目,перший
658,zweiter::A,二番目,другий
659,dritter::A,三番目,третій
660,letzter::A,最後の,останній
661,allein::ADV,一人で,сам
662,allein::ADV,一人で,один
663,auf einmal::ADV,同時に,відразу
664,zusammen::ADV,一緒に,разом
665,zusammen::ADV,一緒に,спільно
666,lange::ADV,長い間,довго
667,plötzlich::ADV,急に,раптом
668,sofort::ADV,すぐに,зараз
669,später::ADV,後で,пізніше
670,jetzt::ADV,今,тепер
671,heute::ADV,今日,сьогодні
672,morgen::ADV,明日,завтра
673,bald::ADV,間もなく,незабаром
674,dann::ADV,それから,потім
675,gestern::ADV,昨日,вчора
676,einst::ADV,過去に,колись
677,damals::ADV,あの時,тоді
678,danach::ADV,その後で,згодом
679,vorher::ADV,以前に,раніше
680,zuerst::ADV,まず,спершу
681,zuerst::ADV,まず,спочатку
682,zuerst::ADV,最初に,спершу
683,zuerst::ADV,最初に,спочатку
684,einmal::ADV,一回,один раз
685,manchmal::ADV,時々,іноді
686,manchmal::ADV,時々,інколи
687,oft::ADV,よく,часто
688,immer::ADV,いつも,завжди
689,niemals::ADV,一度も...ない,ніколи
690,hier::ADV,こちら,тут
691,hierhin::ADV,ここへ,сюди
692,hierhin::ADV,こちらへ,сюди
693,von hier::ADV,ここから,звідси
694,dort::ADV,そちら,там
695,dorthin::ADV,そこへ,туди
696,dorthin::ADV,そちらへ,туди
697,geradeaus::ADV,真っ直ぐに,прямо
698,vorwärts::ADV,前へ,вперед
699,rückwärts::ADV,後ろへ,назад
700,zurück::ADV,後ろへ,назад
701,unten::ADV,下に,внизу
702,hinab::ADV,下へ,вниз
703,oben::ADV,上に,вгорі
704,hinauf::ADV,上へ,вгору
705,überall::ADV,どこでも,скрізь
706,nicht::ADV,ない,не
707,ein wenig::ADV,少し,трохи
708,ein wenig::ADV,少し,небагато
709,ein wenig::ADV,ちょっと,трохи
710,ein wenig::ADV,ちょっと,небагато
711,kaum::ADV,ほとんど～ない,ледве
712,sehr::ADV,とても,дуже
713,so::ADV,こう,так
714,noch::ADV,まだ,ще
715,nur::ADV,～だけ,лише
716,nur::ADV,～だけ,тільки
717,schon::ADV,もう,вже
718,wieder::ADV,再び,знову
719,vergebens::ADV,無駄に,дарма
720,vor::PRP,前に,перед
721,hinter::PRP,後ろに,ззаду
722,hinter::PRP,後ろに,позаду
723,unter::PRP,下に,під
724,durch::PRP,通して,крізь
725,neben::PRP,横に,біля
726,zwischen::PRP,間に,між
727,wegen::PRP,為に,з-за
728,wegen::PRP,為に,через
729,wegen::PRP,せいで,з-за
730,wegen::PRP,せいで,через
731,dies::PRN,これ,це
732,das::PRN,それ,то
733,alles::PRN,全部,все
734,ich::PRN,私,я
735,du::PRN,あなた,ти
736,er::PRN,彼,він
737,wir::PRN,私達,ми
738,ihr::PRN,あなた達,ви
739,sie::PRN,彼ら,вони
740,was::FPRN,何,що
741,wer::FPRN,誰,хто
742,wer::FPRN,どなた,хто
743,wo::FADV,どこ,де
744,wo::FADV,どこに,де
745,wohin::FADV,どこへ,куди
746,wie::FADV,どう,як
747,warum::FADV,何故,чому
748,warum::FADV,どうして,чому
749,wieviel::FNUM,どのくらい,скільки
750,eins::NUM,一,один
751,zwei::NUM,二,два
752,zwei::NUM,二つ,два
753,drei::NUM,三,три
754,drei::NUM,三つ,три
755,vier::NUM,四,чотири
756,vier::NUM,四つ,чотири
757,fünf::NUM,五,п’ять
758,fünf::NUM,五つ,п’ять
759,sechs::NUM,六,шість
760,sechs::NUM,六つ,шість
761,sieben::NUM,七,сім
762,sieben::NUM,七つ,сім
763,acht::NUM,八,вісім
764,acht::NUM,八つ,вісім
765,neun::NUM,九,дев’ять
766,neun::NUM,九つ,дев’ять
767,zehn::NUM,十,десять
768,elf::NUM,十一,одинадцять
769,zwölf::NUM,十二,дванадцять
770,zwanzig::NUM,二十,двадцять
771,dreißig::NUM,三十,тридцять
772,vierzig::NUM,四十,сорок
773,fünfzig::NUM,五十,п’ятдесят
774,sechzig::NUM,六十,шістдесят
775,siebzig::NUM,七十,сімдесят
776,achtzig::NUM,八十,вісімдесят
777,neunzig::NUM,九十,дев’яносто
778,hundert::NUM,百,сто
779,tausend::NUM,千,тисяча
780,und::CNJ,-と,і
781,und::CNJ,そして,і
782,oder::CNJ,或いは,або
783,stehen::V,立っている,стояти
784,sitzen::V,座っている,сидіти
785,liegen::V,横になっている,лежати
786,hängen::V,掛かっている,висіти
787,werden::V,なる,стати
788,werden::V,なる,робитися
789,passieren::V,起こる,трапитися
790,beginnen::V,始まる,початися
791,enden::V,終わる,кінчитися
792,wechseln::V,変わる,мінятися
793,aufgehen[Sonne]::V,出る,зійти
794,untergehen[Sonne]::V,沈む,зайти
795,scheinen[Sonne]::V,輝く,світити
796,donnern::V,雷が鳴る,гриміти
797,wehen::V,吹く,віяти
798,strömen::V,流れる,литися
799,fließen::V,流れる,текти
800,sich drehen::V,回転する,обертатися
801,schwanken::V,揺れる,коливатися
802,schwingen::V,振動する,хитатися
803,schwingen::V,振動する,гойдатися
804,fallen::V,落ちる,падати
805,brennen::V,燃える,горіти
806,rauchen::V,煙を出す,диміти
807,regnen::V,雨が降る,дощити
808,gefrieren::V,凍る,змерзнути
809,tauen::V,溶ける,танути
810,schmelzen::V,溶ける,плавитися
811,trocknen::V,乾く,сохнути
812,sieden::V,沸く,кипіти
813,faulen::V,腐る,гнити
814,verfaulen::V,朽ちる,згнити
815,reißen::V,切れる,рватися
816,versinken::V,沈む,тонути
817,vergehen::V,経つ,проходити
818,erscheinen::V,現れる,з’явитися
819,verschwinden::V,消える,щезнути
820,verschwinden::V,消える,зникнути
821,sinken::V,下がる,спадати
822,abnehmen::V,減る,поменшитися
823,zunehmen::V,増える,збільшуватися
824,steigen::V,上がる,підніматися
825,wachsen::V,伸びる,рости
826,glänzen::V,輝く,блищати
827,funkeln::V,ぴかぴか光る,блискати
828,lärmen::V,騒ぐ,шуміти
829,läuten::V,鳴る,дзвонити
830,klingeln::V,鳴る,дзвонити
831,klirren::V,がらんがらんと鳴る,дзвякати
832,brausen::V,逆巻く,бушувати
833,rauschen::V,戦ぐ,шелестіти
834,klingen::V,鳴る,лунати
835,klingen::V,鳴る,звучати
836,bellen::V,吠える,гавкати
837,heulen::V,きゃんきゃん鳴く,вити
838,blasen::V,吹く,дунути
839,pfeifen::V,口笛を吹く,свистіти
840,schreien::V,叫ぶ,кричати
841,stöhnen::V,うめく,стогнати
842,zittern::V,震える,тремтіти
843,leben::V,生きている,жити
844,geboren werden::V,生まれる,народитися
845,atmen::V,呼吸する,дихати
846,trinken::V,飲む,пити
847,essen::V,食べる,їсти
848,schlucken::V,飲み込む,ковтати
849,müde werden::V,眠くなる,втомитися
