,Concept_ID,av,ka
278,Nachricht::N,хабар,ამბავი
279,Neuigkeit::N,хабар-гӏазаб,სიახლე
280,Name::N,цӏар,სახელი
281,Rätsel::N,бицанкӏо,გამოცანა
282,Rede::N,речь,სიტყვა
283,Rede::N,калам,სიტყვა
284,Sprache::N,мацӏ,ენა
285,Stimme::N,гьаракь,ხმა
286,Wort::N,рагӏи,სიტყვა
287,Zeichen::N,ишара,ნიშანი
288,Zeichen::N,гӏаламат,ნიშანი
289,Ruf::N,ахӏи,ძახილი
290,Lärm::N,хъуй,ხმაური
291,Lärm::N,хъуди,ხმაური
292,Laut::N,гьаракь,ხმა
293,Laut::N,гьаракь,ბგერა
294,Laut::N,сас,ხმა
295,Laut::N,сас,ბგერა
296,Lied::N,кечӏ,სიმღერა
297,Ruhe::N,рахӏат,სიწყნარე
298,Leute::N,гӏадамал,ადამიანები
299,Volk::N,халкъ,ერი
300,Volk::N,халкъ,ხალხი
301,Arbeit::N,хӏалтӏи,მუშაობა
302,Gast::N,гьобол,სტუმარი
303,Geschenk::N,сайигъат,საჩუქარი
304,Spiel::N,хӏай,თამაში
305,Spiel::N,расанди,თამაში
306,Gesellschaft::N,жамагӏат,საზოგადოება
307,Hilfe::N,кумек,შველა
308,Hilfe::N,кумек,დახმარება
309,Freund::N,гьудул,მეგობარი
310,Kamerad::N,гьалмагъ,ამხანაგი
311,Angelegenheit::N,къваригӏел,საქმე
312,Anzahl::N,рикӏкӏен,ოდენობა
313,Art::N,жинс,სახეობა
314,Stück::N,кесек,ნატეხი
315,Teil::N,пай,წილი
316,Hälfte::N,бащдаб,ნახევარი
317,Kreis::N,гор,წრე
318,Kreuz::N,хъанч,ჯვარი
319,Linie::N,мухъ,ხაზი
320,Strich::N,хӏучч,შტრიხი
321,Abstand::N,манзил,მანძილი
322,Entfernung::N,манзил,სიშორე
323,Gegend::N,рахъ,არე
324,Gegend::N,рахъ,მხარე
325,Platz::N,бакӏ,ფართობი
326,Ort::N,бакӏ,ადგილი
327,Seite::N,рахъ,მხარე
328,Mitte::N,бакьулъбакӏ,შუა
329,Gegenstand::N,жо,საგანი
330,Sache::N,жо,ნივთი
331,Rand::N,мицӏир,კიდე
332,Kante::N,рагӏал,ნაწიბული
333,Kante::N,рагӏа-ракьан,ნაწიბული
334,Ecke::N,цили,კუთხე
335,Spitze::N,тӏогь,წვეტი
336,Ende::N,кӏал,ბოლო
337,Loch::N,каратӏ,ხვრელი
338,Muster::N,накъиш,მოხატულობა
339,Größe::N,кӏодо́лъи,ზომა
340,Größe::N,кӏодо́лъи,სიდიდე
341,Länge::N,халалъи,სიგრძე
342,Höhe::N,борхалъи,სიმაღლე
343,Gewicht::N,бакӏлъи,წონა
344,Haufen::N,гъуни,გროვა
345,Reihe::N,ирга́,რიგი
346,Reihe::N,ирга́,წყება
347,Boot::N,раса,გემი
348,Ruder::N,раххан,ხოფი
349,Ruder::N,раххан,ნიჩაბი
350,Schlitten::N,чанагъ,მარხილი
351,Ski::N,лыжаби,თხილამური
352,Lagerfeuer::N,цӏа,კოცონი
353,Last::N,бакӏлъи,ტვირთი
354,Gang::N,хьвади,სვლა
355,Gang::N,хьвада-чӏвади,სვლა
356,Schritt::N,гали,ბიჯი
357,Norden::N,шимал,ჩრდილოეთი
358,Süden::N,юг,სამხრეთი
359,Süden::N,къибла,სამხრეთი
360,Westen::N,гъарб,დასავლეთი
361,Westen::N,магъриб,დასავლეთი
362,Osten::N,шаркъ,აღმოსავლეთი
363,Osten::N,машрикъ,აღმოსავლეთი
364,Holz::N,цӏул,ხე
365,Brett::N,хъарщи,დაფა
366,Brett::N,хъарщи,ფიცარი
367,Platte::N,къоно,თლილი ქვა
368,Stange::N,гӏер,ჭოკი
369,Stock::N,тӏил,კეტი
370,Stab::N,гӏер,ლატანი
371,Rohr::N,турба,მილაკი
372,Haus::N,ригь,სახლი
373,Haus::N,рукъзал,სახლი
374,Heim::N,рукъ,ოჯახის კერა
375,Ofen::N,печь,ღუმელი
376,Fußboden::N,чӏабар,იატაკი
377,Tisch::N,стол,სუფრა
378,Tisch::N,стол,მაგიდა
379,Stuhl::N,бакӏу,სკამი
380,Wiege::N,кини,აკვანი
381,Bett::N,кровать,საწოლი
382,Bett::N,кровать,სარეცელი
383,Regal::N,хъарщи,თაროები
384,Kiste::N,ящик,ყუთი
385,Kiste::N,ящик,სკივრი
386,Kiste::N,тӏалагъуд,ყუთი
387,Kiste::N,тӏалагъуд,სკივრი
388,Fenster::N,гордо,ფანჯარა
389,Fenster::N,гордо,სარკმელი
390,Tür::N,нуцӏа,ბჭე
391,Tür::N,нуцӏа,კარი
392,Tor::N,каву,ჭიშკარი
393,Zaun::N,раци,ღობე
394,Zaun::N,раци,გალავანი
395,Dach::N,тӏох,სახურავი
396,Leiter::N,мали,კიბე
397,Besen::N,жул,ცოცხი
398,Spaten::N,бел,ნიჩაბი
399,Schaufel::N,раххан,ბარი
400,Gabel::N,гӏучӏ,ჩანგალი
401,Löffel::N,гъуд,კოვზი
402,Messer::N,нус,დანა
403,Nagel::N,магӏ,ლურსმანი
404,Netz::N,гьин,ბადე
405,Haken::N,гъанцӏа,კავი
406,Haken::N,гъанцӏа,კაუჭი
407,Griff::N,гӏоркь,ტარი
408,Schloss::N,кӏулал,კლიტე
409,Schloss::N,кӏулал,საკეტი
410,Bild::N,сурат,სურათი
411,Puppe::N,нани,თოჯინა
412,Beutel::N,таргьа,პარკი
413,Bündel::N,къай,გალა
414,Bündel::N,къай,ასხმა
415,Tasche::N,сумка,ჩანთა
416,Tasche::N,къвачӏа,ჩანთა
417,Eimer::N,ведро,ჩამჩა
418,Deckel::N,тӏалъел,ხუფი
419,Deckel::N,тӏалъел,სარქველი
420,Deckel::N,дадитӏалъел,ხუფი
421,Deckel::N,дадитӏалъел,სარქველი
422,Geschirr::N,цӏарагӏ,ჭურჭელი
423,Sack::N,хъап,ტომარა
424,Sack::N,къандалъо,ტომარა
425,Tasse::N,чашка,ფინჯანი
426,Topf::N,хьаг,ქოთანი
427,Kessel::N,хьаг,ქვაბი
428,Kessel::N,гереги,ქვაბი
429,Essen::N,тӏагӏам,ჭამა
430,Nahrung::N,квен,საზრდო
431,Nahrung::N,квен,საკვები
432,Speise::N,квен,საჭმელი
433,Fleisch::N,гьан,ხორცი
434,Getreide::N,бугӏа-ролъ,მარცვლოვანი
435,Getreide::N,могьолабл_культураби,მარცვლოვანი
436,Brei::N,карщ,ფაფა
437,Brot::N,чед,პური
438,Scheibe::N,мочӏу,ნაჭერი
439,Fett::N,беэнлъи,ქონი
440,Fett::N,беэнлъи,ცხიმი
441,Butter::N,нах,კარაქი
442,Öl::N,нах,ზეთი
443,Salz::N,цӏам,მარილი
444,Suppe::N,чурпа,სუფი
445,Honig::N,гьоцӏо,თაფლი
446,Milch::N,рахь,რძე
447,Tee::N,чай,ჩაი
448,Leder::N,тӏом,ტყავი
449,Wolle::N,квас,მატყლი
