,Concept_ID,cy,kv
97,Wiese::N,dôl,видз
98,Wald::N,coedwig,вӧр
99,Hügel::N,bryn,мыльк
100,Anhöhe::N,bryn,вывтас
101,Anhöhe::N,bryn,вылынін
102,Berg::N,mynydd,керӧс
103,Gipfel::N,copa,йыв
104,Höhle::N,ogof,нора
105,Abhang::N,llethr,покат
106,Quelle::N,tarddiad,больган
107,Quelle::N,ffynhonnell,больган
108,Bach::N,nant,шор
109,Bach::N,afonig,шор
110,Bach::N,cornant,шор
111,Fluss::N,afon,ю
112,Ufer::N,glan,берег
113,Küste::N,traeth,берег
114,Küste::N,arfordir,берег
115,Festland::N,tir,му
116,Meer::N,môr,море
117,Bucht::N,bae,курья
118,Insel::N,ynys,
119,Blume::N,blodyn,цветок
120,Gras::N,glaswellt,турун
121,Wurzel::N,gwreiddyn,вуж
122,Baum::N,coeden,пу
123,Stamm::N,colfen,мыр
124,Stamm::N,colfen,кер
125,Stamm::N,boncyff,мыр
126,Stamm::N,boncyff,кер
127,Rinde::N,rhisgl,кач
128,Ast::N,cangen,ув
129,Zweig::N,cainc,ув
130,Zweig::N,cangen,ув
131,Blatt::N,deilen,лист
132,Birke::N,bedwen,кыдз
133,Kiefer[Baum]::N,pinwydden,пожум
134,Weide[Baum]::N,helygen,бадь
135,Tanne::N,ffynidwydden,кӧз
136,Horn::N,corn,сюр
137,Feder::N,plufyn,гӧн
138,Fell::N,ffwr,кучик
139,Flügel::N,adain,борд
140,Klaue::N,crafanc,гыж
141,Kralle::N,ewin,кабыр
142,Schwanz::N,cwt,бӧж
143,Schwanz::N,cynffon,бӧж
144,Ei::N,wy,кольть
145,Nest::N,nyth,поз
146,Bau::N,ffau,осьта
147,Bau::N,ffau,нора
148,Tier::N,anifail,зверь
149,Herde::N,praidd,гурт
150,Herde::N,diadell,гурт
151,Kuh::N,buwch,мӧс
152,Bulle::N,tarw,ӧшка
153,Pferd::N,ceffyl,вӧв
154,Schaf::N,dafad,баля
155,Schwein::N,mochyn,порсь
156,Hund::N,ci,пон
157,Katze::N,cath,кань
158,Bär::N,arth,ош
159,Eichhörnchen::N,gwiwer,ур
160,Elch::N,elc,вӧр мӧс
161,Fuchs::N,cadno,руч
162,Hase::N,ysgyfarnog,кӧч
163,Maus::N,llygoden,шыр
164,Wolf::N,blaidd,кӧин
165,Vogel::N,aderyn,кай
166,Schwarm::N,haid,стая
167,Schwarm::N,haid,чукӧр
168,Huhn::N,cyw,курӧг
169,Hahn::N,ceiliog,петух
170,Hahn::N,ceiliog,ай курӧг
171,Gans::N,gŵydd,дзодзог
172,Adler::N,eryr,куч
173,Adler::N,eryr,кутш
174,Ente::N,hwyad,утка
175,Eule::N,tylluan,тупка
176,Kranich::N,garan,тури
177,Kranich::N,crychydd,тури
178,Krähe::N,brân,рака
179,Kuckuck::N,cog,кӧк
180,Kuckuck::N,cwcw,кӧк
181,Schwan::N,alarch,юсь
182,Fisch::N,pysgod,чери
183,Barsch::N,draenog,ёкыш
184,Hecht::N,penhwyad,сирпинь
185,Schlange[Tier]::N,neidr,змей
186,Wurm::N,abwydyn,номыр
187,Wurm::N,pryf genwair,номыр
188,Spinne::N,cor,черань
189,Spinne::N,pryf copyn,черань
190,Ameise::N,morgrugyn,кӧдзывкар
191,Laus::N,lleuen,ляпа той
192,Mücke::N,gwybedyn,ном
193,Fliege::N,cleren,гут
194,Schmetterling::N,glöyn byw,бабыв
195,Schmetterling::N,iâr fach yr haf,бабыв
196,Beere::N,aeronen,ягӧд
197,Apfel::N,afal,яблоко
198,Pilz::N,madarch,тшак
199,Zwiebel::N,nionyn,грез
200,Zwiebel::N,winwnsyn,грез
201,Saat::N,had,кӧдзыс
202,Korn::N,grawn,сю
203,Heu::N,gwair,турун
204,Schale::N,croen,кыш
205,Schale::N,croen,киль
206,Schale::N,plisgyn,кыш
207,Schale::N,plisgyn,киль
208,Grube::N,pwll,яма
209,Grube::N,pydew,яма
210,Falle::N,magl,нальк
211,Falle::N,magl,кляпча
212,Schlinge::N,cwlwm rhedeg,лӧч
213,Spur::N,ôl,туй
214,Asche::N,lludw,пӧим
215,Dreck::N,baw,нять
216,Dreck::N,budreddi,нять
217,Eisen::N,haearn,кӧрт
218,Gold::N,aur,зарни
219,Silber::N,arian,язісь
220,Kohle::N,glo,шом
221,Kohle::N,glo,уголь
222,Glas::N,gwydr,стекло
223,Lehm::N,clai,сёй
224,Sand::N,tywod,лыа
225,Mensch::N,dyn,морт
226,Mann::N,dyn,мужик
227,Frau::N,merch,инька
228,Frau::N,gwraig,инька
229,Kind::N,plentyn,кага
230,Junge::N,hogyn,зонка
231,Junge::N,bachgen,зонка
232,Mädchen::N,merch,нывкаок
233,Mädchen::N,geneth,нывкаок
234,Familie::N,teulu,семья
235,Familie::N,tylwyth,семья
236,Großvater::N,taid,дед
237,Großvater::N,tad-cu,дед
238,Großmutter::N,nain,баб
239,Großmutter::N,mam-gu,баб
240,Eltern::N,rhieni,ай-мам
241,Vater::N,tad,ай
242,Mutter::N,mam,мам
243,Sohn::N,mab,зон
244,Tochter::N,merch,ныв
245,Bruder::N,brawd,вон
246,Schwester::N,chwaer,сой
247,Onkel::N,ewythr,дядь
248,Tante::N,modryb,айӧлӧн сой
249,Tante::N,modryb,ичинь
250,Ehemann::N,gŵr,жӧник
251,Ehefrau::N,gwraig,инь
252,Freude::N,gorfoledd,гаж
253,Freude::N,gorfoledd,радъялӧм
254,Gelächter::N,chwerthin,сералӧм
255,Glück::N,hapusrwydd,мичлун
256,Kummer::N,galar,шог
257,Wunsch::N,dymuniad,мӧдӧм
258,Wunsch::N,dymuniad,охотитӧм
259,Lust::N,chwant,охота
260,Geist::N,ysbryd,лов
261,Gedanke::N,meddwl,дума
262,Gedächtnis::N,cof,тӧдвыв
263,Verstand::N,meddwl,вежӧр
264,Sinn::N,ystyr,ылӧс
265,Grund::N,achos,мог
266,Grund::N,rheswm,мог
267,Wahrheit::N,gwir,правда
268,Wahrheit::N,gwirionedd,правда
269,Gespräch::N,sgwrs,сёрни
270,Märchen::N,chwedl werin,сказка
271,Erzählung::N,stori,висьт
272,Nachricht::N,neges,юӧр
273,Nachricht::N,neges,висьталӧм
274,Neuigkeit::N,newydd,новость
275,Name::N,enw,ним
276,Rätsel::N,pos,загадка
277,Rede::N,araith,сёрни
278,Sprache::N,iaith,кыв
279,Stimme::N,llais,голос
280,Wort::N,gair,кыв
281,Zeichen::N,arwydd,пас
282,Ruf::N,galwad,чуксӧм
283,Ruf::N,galwad,чукӧстӧм
284,Lärm::N,trwst,шум
285,Laut::N,sain,шы
286,Ton::N,tôn,гор
287,Lied::N,cân,сьыланкыв
288,Ruhe::N,tawelwch,спокой
289,Leute::N,pobl,йӧз
290,Volk::N,pobl,йӧз
291,Volk::N,pobl,народ
292,Arbeit::N,gwaith,удж
293,Gast::N,gwestai,гӧсь
294,Geschenk::N,rhodd,гӧснеч
295,Geschenk::N,rhodd,подарок
296,Geschenk::N,anrheg,гӧснеч
297,Geschenk::N,anrheg,подарок
298,Spiel::N,chwarae,орсӧм
299,Gesellschaft::N,cwmni,компания
300,Hilfe::N,cymorth,отсӧт
301,Freund::N,cyfaill,модз
302,Freund::N,cyfaill,дружок
303,Kamerad::N,cydymaith,тӧдса
304,Angelegenheit::N,pwnc,дело
305,Anzahl::N,cyfrif,лыд
306,Art::N,bath,пӧлӧс
307,Stück::N,darn,тор
308,Teil::N,rhan,юкӧм
309,Hälfte::N,hanner,джын
310,Kreis::N,cylch,круг
311,Kreuz::N,croes,перна
312,Linie::N,llinell,визь
313,Strich::N,strôc,кырӧв
314,Strich::N,trawiad,кырӧв
315,Abstand::N,bwlch,колас
316,Abstand::N,pellter,колас
317,Entfernung::N,pellter,ылына
318,Gegend::N,cylch,места
319,Platz::N,lle,места
320,Ort::N,lle,места
321,Seite::N,ochr,ладор
322,Mitte::N,canol,шӧр
323,Gegenstand::N,eitem,тор
324,Sache::N,peth,тор
325,Rand::N,cwr,дор
326,Rand::N,ymyl,дор
327,Kante::N,min,ордлы
328,Kante::N,ymyl,ордлы
329,Ecke::N,cornel,пельӧс
330,Spitze::N,blaen,йыв
331,Ende::N,pen,йыв
332,Loch::N,twll,осьта
333,Winkel::N,congl,пельӧс
334,Muster::N,patrwm,сер
335,Größe::N,maint,ыжда
336,Größe::N,maintioli,ыжда
337,Länge::N,hyd,кузя
338,Höhe::N,uchder,сувда
339,Höhe::N,uchder,вылына
340,Gewicht::N,pwysau,сьӧкта
341,Menge::N,swm,
342,Menge::N,maint,
343,Haufen::N,pentwr,куча
344,Reihe::N,rhes,лёдз
345,Boot::N,cwch,пыж
346,Ruder::N,rhwyf,пелыс
347,Schlitten::N,sled,додь
348,Schlitten::N,car llusg,додь
349,Ski::N,sgi,лямпа
350,Lagerfeuer::N,coelcerth,бипур
351,Last::N,llwyth,тягота
352,Gang::N,tro,мунӧм
353,Schritt::N,cam,вожмӧв
354,Norden::N,gogledd,ой
355,Süden::N,de,лун
356,Westen::N,gorllewin,рытвыв
357,Osten::N,dwyrain,асыв
358,Holz::N,pren,пу
359,Brett::N,bwrdd,пӧв
360,Brett::N,astell,пӧв
361,Platte::N,llech,плита
362,Stütze::N,ateg,пика
363,Stütze::N,cynhalydd,пика
364,Stange::N,polyn,зор
365,Stange::N,polyn,потш
366,Stock::N,ffon,бедь
367,Stock::N,brigyn,бедь
368,Stab::N,ffon,шест
369,Rohr::N,pibell,труба
370,Haus::N,tŷ,керку
371,Heim::N,cartref,керку
372,Ofen::N,stof,пӧжавны
373,Fußboden::N,llawr,джодж
374,Tisch::N,bwrdd,пызан
375,Stuhl::N,cadair,стул
376,Wiege::N,crud,зыбка
377,Bett::N,gwely,кровать
378,Regal::N,silff,джадж
379,Kiste::N,bocs,ящик
380,Kiste::N,blwch,ящик
381,Fenster::N,ffenestr,ӧшын
382,Tür::N,drws,ыбӧс
383,Tor::N,porth,ворота
384,Zaun::N,ffens,забор
385,Dach::N,to,крыша
386,Leiter::N,ysgol,лиснич
387,Besen::N,ysgub,рос
388,Spaten::N,rhaw,зыр
389,Schaufel::N,rhaw,зыр
390,Gabel::N,fforc,вила
391,Löffel::N,llwy,пань
392,Messer::N,cyllell,пурт
393,Nagel::N,hoel,кӧрттув
394,Netz::N,gwe,кыйӧт
395,Netz::N,rhwyd,кыйӧт
396,Haken::N,bach,ем
397,Griff::N,carn,пу
398,Schloss::N,clo,замок
399,Bild::N,llun,картина
400,Bild::N,pictiwr,картина
401,Figur::N,ffigur,мыгӧр
402,Puppe::N,dol,акань
403,Beutel::N,cwd,мешӧк
404,Bündel::N,bwndel,нин
405,Bündel::N,coflaid,нин
406,Tasche::N,cod,сумка
407,Eimer::N,bwced,ведра
408,Eimer::N,cunnog,ведра
409,Deckel::N,caead,вевт
410,Geschirr::N,llestri,доз
411,Geschirr::N,llestri,бекӧрпань
412,Sack::N,sach,мешӧк
413,Tasse::N,cwpan,бекӧр
414,Topf::N,pot,кастрюля
415,Topf::N,crochan,кастрюля
416,Kessel::N,tegell,пӧрт
417,Essen::N,pryd o fwyd,сёйӧм
418,Nahrung::N,bwyd,вердан
419,Speise::N,saig,сёян
420,Fleisch::N,cig,яй
421,Getreide::N,ŷd,сю
422,Getreide::N,llafur,сю
423,Brei::N,uwd,каша
424,Brot::N,bara,нянь
425,Scheibe::N,tafell,шӧрӧм
426,Fett::N,saim,гос
427,Fett::N,braster,гос
428,Butter::N,ymenyn,ви
429,Öl::N,olew,ви
430,Salz::N,halen,сов
431,Suppe::N,cawl,шыд
432,Honig::N,mêl,ма
433,Milch::N,llaeth,йӧв
434,Milch::N,llefrith,йӧв
435,Tee::N,te,чай
436,Leder::N,lledr,кучик
437,Wolle::N,gwlân,гӧн
438,Stoff::N,lliain,дӧра
439,Stoff::N,brethyn,дӧра
440,Nadel::N,nodwydd,ем
441,Faden::N,edau,сунис
442,Faden::N,edefyn,сунис
443,Knopf::N,botwm,кизь
444,Knoten::N,cwlwm,узӧв
445,Knoten::N,cwlwm,гӧрӧд
446,Farbe::N,paent,краска
447,Kleidung::N,dillad,паськӧм
448,Kleidung::N,gwisgoedd,паськӧм
449,Hemd::N,crys,йӧрнӧс
450,Kragen::N,coler,воротник
451,Ärmel::N,llawes,сос
452,Hose::N,trowsus,вешьян
453,Gürtel::N,gwregys,йи
454,Mütze::N,cap,шапка
455,Schuh::N,esgid,ботинки
456,Stiefel::N,botasen,сапог
457,Ring::N,modrwy,чунькытш
458,Band::N,rhuban,ленточка
459,Kamm::N,crib,сынан
460,Spiegel::N,drych,зеркало
461,Riemen::N,strap,ремень
462,Schnur::N,llinyn,гез
463,Leine::N,tennyn,повод
464,Decke::N,blanced,одеяло
465,Decke::N,gwrthban,одеяло
466,Kissen::N,clustog,подушка
467,Kissen::N,gobennydd,подушка
468,Tuch::N,sgarff,чышьян
469,Handtuch::N,tywel,чышкӧт
470,Handtuch::N,lliain sychu,чышкӧт
471,Kraft::N,grym,прак
472,Stärke::N,nerth,вын
473,Stärke::N,cryfder,вын
474,Gesundheit::N,iechyd,здоровье
475,Krankheit::N,afiechyd,шог
476,Krankheit::N,anhwylder,шог
477,Schmerz::N,poen,зубыт
478,Schmerz::N,gwayw,зубыт
479,Wunde::N,clwyf,рана
480,Fieber::N,twymyn,лёк тресся
481,Fieber::N,twymyn,кынтан шогӧт
482,Arznei::N,meddyginiaeth,лекарство
483,Brücke::N,pont,пос
484,Brunnen::N,ffynnon,колодец 
485,Weide::N,porfa,пода йирсян
486,Pfad::N,llwybr,туй
487,Weg::N,ffordd,туй
488,Straße::N,heol,туй
489,Straße::N,ffordd,туй
490,Dorf::N,pentref,деревня
491,Stadt::N,tref,город
492,Brief::N,llythyr,гижӧт
493,Buch::N,llyfr,книга
494,Buchstabe::N,llythyren,буква
495,Zeitung::N,papur newydd,газета
496,Leben::N,bywyd,олан
497,Tod::N,marwolaeth,кулӧм
498,Grab::N,bedd,гу
499,Kirche::N,eglwys,вичку
500,Sünde::N,pechod,грек
501,Gott::N,duw,ен
502,Arbeiter::N,gweithiwr,уджалiсь
503,Chef::N,pennaeth,начальник
504,Meister::N,meistr,мастер
505,Arzt::N,meddyg,врач
506,Lehrer::N,athro,велӧтісь
507,Geld::N,pres,деньга
508,Geld::N,arian,деньга
509,Geschäft::N,busnes,удж
510,Laden::N,siop,магазин
511,Preis::N,pris,дон
512,Ware::N,nwydd,товар
513,Nutzen::N,elw,путь
514,Nutzen::N,budd,путь
515,Reichtum::N,cyfoeth,богатство
516,Welt::N,byd,му
517,Land::N,gwlad,страна
518,Staat::N,gwladwriaeth,государство
519,König::N,brenin,кан
520,Macht::N,grym,власть
521,Macht::N,awdurdod,власть
522,Grenze::N,ffin,граница
523,Grenze::N,goror,граница
524,Krieg::N,rhyfel,война
525,Feind::N,gelyn,враг
526,Gewalt::N,ffyrnigrwydd,
527,Kampf::N,brwydr,нярасьӧм
528,Kampf::N,brwydr,вермасьӧм
529,Bogen[Waffe]::N,bwa,лук
530,Pfeil::N,saeth,ньӧв
531,Gewehr::N,dryll,ружьё
532,Fehler::N,gwall,ошибка
533,Fehler::N,camgymeriad,ошибка
534,Lüge::N,celwydd,ылӧтӧм
535,Lüge::N,celwydd,пӧрьялӧм
536,Lüge::N,anwiredd,ылӧтӧм
537,Lüge::N,anwiredd,пӧрьялӧм
538,Schaden::N,niwed,лёк
539,Schaden::N,difrod,лёк
540,Unglück::N,anffawd,пик
541,Unglück::N,anffawd,оказзё
542,Schuld::N,bai,вина
543,Alter::N,oed,
544,Schluss::N,diwedd,ком
545,Zeit::N,amser,кад
546,Tag::N,dydd,лун
547,Tag::N,diwrnod,лун
548,Morgen::N,bore,асыв
549,Mittag::N,nawn,луншӧр кад
550,Abend::N,noswaith,рыт
551,Nacht::N,nos,ой
552,Woche::N,wythnos,неделя
553,Monat::N,mis,тӧлicь
554,Jahr::N,blwyddyn,год
555,Frühling::N,gwanwyn,тулыс
556,Sommer::N,haf,гожум
557,Herbst::N,hydref,ар
558,Winter::N,gaeaf,тӧв
559,Januar::N,Ionawr,январ
560,Februar::N,Chwefror,февраль
561,März::N,Mawrth,март
562,April::N,Ebrill,апрель
563,Mai::N,Mai,май
564,Juni::N,Mehefin,юнь
565,Juli::N,Gorffennaf,юль
566,August::N,Awst,август
567,September::N,Medi,сентяб
568,Oktober::N,Hydref,октяб
569,November::N,Tachwedd,нояб
570,Dezember::N,Rhagfyr,декаб
571,Montag::N,dydd Llun,вильлун
572,Dienstag::N,dydd Mawrth,мӧдӧдзлун
573,Mittwoch::N,dydd Mercher,шӧрлун
574,Donnerstag::N,dydd Iau,нёльӧдзлун
575,Freitag::N,dydd Gwener,витӧдзлун
576,Samstag::N,dydd Sadwrn,пывсянлун
577,Sonntag::N,dydd Sul,кресення
578,groß::A,mawr,ыджыт
579,klein::A,bach,учӧтик
580,lang::A,hir,кузь
581,kurz::A,byr,дженыт
582,kurz::A,cwta,дженыт
583,breit::A,llydan,ота
584,schmal::A,cul,векнит
585,dicht::A,dwys,тшӧк
586,dick[Gegenstand]::A,trwchus,кыз
587,dünn::A,tenau,вӧснит
588,fein::A,main,вӧснит
589,fest::A,cadarn,крепыт
590,flach::A,gwastad,лапкӧса
591,glatt::A,llyfn,волькыт
592,hart::A,caled,чӧрыт
593,weich::A,meddal,небыт
594,rund::A,crwn,гӧгрӧса
595,spitz::A,pigfain,ёся
596,scharf::A,miniog,лэчыт
597,stumpf::A,pŵl,ныж
598,schwer::A,trwm,сьӧкыт
599,schön::A,teg,басӧк
600,schön::A,hardd,басӧк
601,schön::A,prydferth,басӧк
602,heiß::A,poeth,жар
603,warm::A,twym,шоныт
604,warm::A,cynnes,шоныт
605,kalt::A,oer,кӧдзыт
606,kühl::A,oeraidd,сайкыт
607,frisch::A,iach,виль
608,feucht::A,llaith,вакодь
609,nass::A,gwlyb,ва
610,trocken::A,sych,кӧс
611,voll::A,llawn,тыра
612,leer::A,gwag,тыртӧм
613,offen::A,agored,оссьӧм
614,geschlossen::A,caead,игана
615,geschlossen::A,caead,пӧдана
616,geschlossen::A,caeëdig,игана
617,geschlossen::A,caeëdig,пӧдана
618,sauber::A,glân,сӧдз
619,sauber::A,glân,сӧстӧм
620,schmutzig::A,budr,нятьӧсь
621,schmutzig::A,brwnt,нятьӧсь
622,roh::A,amrwd,путӧм
623,reif::A,aeddfed,кисьмалӧм
624,lecker::A,blasus,кӧра 
625,lecker::A,danteithiol,кӧра 
626,süß::A,melys,чӧскыт
627,bitter::A,chwerw,курыт
628,sauer::A,sur,шӧма 
629,hell::A,disglair,югыт
630,dunkel::A,tywyll,пемыт
631,schwarz::A,du,сьӧд
632,weiß::A,gwyn,чочком
633,rot::A,coch,гӧрд
634,gelb::A,melyn,веж
635,blau::A,glas,лӧз
636,grün::A,gwyrdd,веж
637,grau::A,llwyd,руд
638,grau::A,llwyd,бусӧй
639,bunt::A,lliwgar,быдрӧма
640,billig::A,rhad,донтӧм
641,teuer::A,drud,дона
642,wertvoll::A,gwerthfawr,дона
643,blind::A,dall,синтӧм
644,taub::A,byddar,пельтӧм
645,kräftig::A,nerthol,вына
646,kräftig::A,grymus,вына
647,stark::A,cryf,вына
648,stark::A,cadarn,вына
649,schwach::A,gwan,некодя
650,fett::A,tew,госа
651,schlank::A,main,статя
652,hübsch::A,tlws,басӧк
653,böse::A,drwg,лёк
654,dumm::A,twp,бӧбӧв
655,dumm::A,twp,вежӧртӧм
656,faul::A,diog,дыш
657,fleißig::A,dyfal,уджалicь
658,geizig::A,crintach,жикмӧра
659,geizig::A,crintach,горшаліcь
660,geizig::A,cybyddlyd,жикмӧра
661,geizig::A,cybyddlyd,горшаліcь
662,klug::A,deallus,авья
663,klug::A,deallus,вежӧра
664,geschickt::A,medrus,кипода
665,geschickt::A,deheuig,кипода
666,lieb::A,hoff,муса
667,lieb::A,hoff,дзулиньӧй
668,lieb::A,annwyl,муса
669,lieb::A,annwyl,дзулиньӧй
670,lustig::A,llon,гажа
671,sanft::A,mwyn,лебезнӧй
672,hungrig::A,newynog,тшыг
673,krank::A,sâl,шогалiсь
674,krank::A,gwael,шогалiсь
675,nackt::A,noeth,куш
676,traurig::A,trist,жугыль
677,lebendig::A,yn fyw,ловья
678,gut::A,da,бур
679,schlecht::A,drwg,умӧль
680,schlecht::A,gwael,умӧль
681,richtig::A,cywir,
682,schlimm::A,enbyd,нештӧм
683,wahr::A,gwir,
684,alt::A,hen,важ
685,neu::A,newydd,виль
686,ehemalig::A,blaenorol,вӧвлӧм
687,alt[Lebewesen]::A,oedrannus,года
688,alt[Lebewesen]::A,oedrannus,годдэза
689,jung::A,ifanc,том
690,arm::A,tlawd,гов
691,arm::A,tlawd,беднӧй
692,reich::A,cyfoethog,эма
693,bekannt::A,cynefin,тӧдса
694,bekannt::A,cyfarwydd,тӧдса
695,berühmt::A,enwog,
696,fremd::A,estron,чужӧй
697,verschieden::A,gwahanol,быдкодь
698,nah::A,agos,матiсь
699,fern::A,pell,ылicь
700,linker::A,aswy,шульга
701,linker::A,chwith,шульга
702,rechter::A,de,веськытланись
703,rechter::A,deau,веськытланись
704,anderer::A,arall,мукӧд
705,erster::A,cyntaf,медодзза
706,zweiter::A,ail,кыкӧт
707,dritter::A,trydydd,куимӧт
708,dritter::A,trydydd,куимӧдз
709,letzter::A,olaf,бӧрья
710,letzter::A,olaf,мёдбӧрья
711,allein::ADV,unig,
712,allein::ADV,ar ei ben ei hun,
713,auf einmal::ADV,ar yr un pryd,тшӧтш
714,zusammen::ADV,ynghyd,ӧтлаын
715,zusammen::ADV,gyda'i gilydd,ӧтлаын
716,lange::ADV,amser hir,дыр
717,plötzlich::ADV,yn sydyn,друг
718,sofort::ADV,ar unwaith,тшӧтш
719,später::ADV,yn ddiweddarach,медбӧрын
720,jetzt::ADV,yn awr,ӧні
721,heute::ADV,heddiw,талун
722,morgen::ADV,yfory,ашын
723,bald::ADV,yn fuan,чожа
724,bald::ADV,gyda hyn,чожа
725,dann::ADV,yna,сыбӧрын
726,dann::ADV,y pryd hwnnw,сыбӧрын
727,gestern::ADV,ddoe,тӧн
728,einst::ADV,gynt,ӧтпыр
729,damals::ADV,ar y pryd,сэк
730,damals::ADV,ar y pryd,сэки
731,damals::ADV,bryd hynny,сэк
732,damals::ADV,bryd hynny,сэки
733,danach::ADV,wedyn,сэсся
734,vorher::ADV,o'r blaen,одзжык
735,zuerst::ADV,yn gyntaf,наперво
736,einmal::ADV,unwaith,ӧтпыр
737,manchmal::ADV,weithiau,мукӧдпыр
738,manchmal::ADV,ar brydiau,мукӧдпыр
739,oft::ADV,yn aml,-лы-
740,oft::ADV,yn fynych,-лы-
741,immer::ADV,bob amser,быдпыр
742,immer::ADV,bob amser,быдпырся
743,niemals::ADV,ni ... byth,некӧр
744,niemals::ADV,ni ... erioed,некӧр
745,hier::ADV,yma,татӧн
746,hierhin::ADV,hyd yma,татчӧ
747,von hier::ADV,oddi yma,тасянь
748,dort::ADV,acw,сэтӧн
749,dorthin::ADV,tuag yno,сэтчин
750,geradeaus::ADV,syth ymlaen,веськыта
751,vorwärts::ADV,ymlaen,одзӧ
752,rückwärts::ADV,yn ôl,бӧр
753,zurück::ADV,yn ôl,бӧр
754,unten::ADV,isod,увтын
755,unten::ADV,oddi tanodd,увтын
756,hinab::ADV,i lawr,увтас
757,hinab::ADV,i waered,увтас
758,oben::ADV,fry,вевдӧрас
759,hinauf::ADV,i fyny,вывлань
760,hinauf::ADV,i fyny,вывланьӧ
761,hinauf::ADV,i'r lan,вывлань
762,hinauf::ADV,i'r lan,вывланьӧ
763,überall::ADV,ym mhobman,быдлан
764,nicht::ADV,ni,ог
765,nicht::ADV,nid,ог
766,ein wenig::ADV,tipyn,-ышт
767,ein wenig::ADV,tipyn,невна
768,ein wenig::ADV,ychydig,-ышт
769,ein wenig::ADV,ychydig,невна
770,kaum::ADV,prin,ӧдва
771,sehr::ADV,iawn,вывтi
772,so::ADV,fel,сiдз
773,so::ADV,felly,сiдз
774,noch::ADV,eto,эшӧ
775,nur::ADV,yn unig,только
776,schon::ADV,eisoes,ни
777,schon::ADV,yn barod,ни
778,wieder::ADV,drachefn,бӧра
779,vergebens::ADV,yn ofer,весись
780,vor::PRP,o flaen,одзас
781,hinter::PRP,ar ôl,бӧрӧ
782,unter::PRP,islaw,увтын
783,durch::PRP,trwy,пыр
