,Concept_ID,uz,uk
87,Schaum::N,ko'pik,піна
88,Schmutz::N,gard,бруд
89,See::N,ko'l,озеро
90,Sumpf::N,botqoq,драговина
91,Moor::N,qir-adir,болото
92,Wiese::N,o'tzor,луг
93,Wiese::N,o'tzor,лука
94,Wald::N,o'rmon,ліс
95,Hügel::N,tepa,горб
96,Anhöhe::N,adir,височина
97,Berg::N,tog',гора
98,Gipfel::N,cho'qqi,вершина
99,Höhle::N,kavak,печера
100,Abhang::N,to'sh,схил
101,Quelle::N,buloq,джерело
102,Bach::N,o'zan,струмок
103,Fluss::N,daryo,річка
104,Ufer::N,sohil,берег
105,Küste::N,qirg'oq,узбережжя
106,Festland::N,materik,суша
107,Meer::N,dengiz,море
108,Bucht::N,qo'ltiq,бухта
109,Bucht::N,qo'ltiq,затока
110,Insel::N,orol,острів
111,Blume::N,gul,квітка
112,Gras::N,sabza,трава
113,Wurzel::N,tub,корінь
114,Wurzel::N,tomir,корінь
115,Baum::N,daraxt,дерево
116,Stamm::N,o'simta,стовбур
117,Rinde::N,qobiq,кора
118,Ast::N,shox,гілка
119,Zweig::N,butoq,галузь
120,Blatt::N,barg,лист
121,Birke::N,qayin,береза
122,Kiefer[Baum]::N,qarag'ay,сосна
123,Weide[Baum]::N,shum,верба
124,Tanne::N,archa,ялиця
125,Horn::N,mugiz,ріг
126,Feder::N,par,перо
127,Fell::N,mo'yna,хутро
128,Flügel::N,qanot,крило
129,Klaue::N,tirnoq,кіготь
130,Kralle::N,tirnoq,лапа
131,Schwanz::N,quyruq,хвіст
132,Ei::N,tuxum,яйце
133,Nest::N,oshyon,гніздо
134,Bau::N,o'pqon,лігво
135,Tier::N,hayvon,тварина
136,Herde::N,gala,стадо
137,Kuh::N,inak,корова
138,Bulle::N,ho'kiz,бик
139,Bulle::N,ho'kiz,бугай
140,Pferd::N,ot,кінь
141,Schaf::N,qo'y,вівця
142,Schwein::N,cho'chqa,свиня
143,Hund::N,it,собака
144,Katze::N,mushuk,кішка
145,Bär::N,ayiq,ведмідь
146,Eichhörnchen::N,tiyin,білка
147,Elch::N,los,лось
148,Fuchs::N,tulki,лисиця
149,Hase::N,kuyon,заєць
150,Maus::N,sichqon,миша
151,Wolf::N,bo'ri,вовк
152,Vogel::N,qush,птах
153,Schwarm::N,to'da,зграя
154,Huhn::N,tovuq,курка
155,Hahn::N,xo'roz,півень
156,Gans::N,g'oz,гуска
157,Adler::N,burgut,орел
158,Ente::N,o'rdak,качка
159,Eule::N,boyo'g'li,сова
160,Kranich::N,turna,журавель
161,Krähe::N,qarg'a,ворона
162,Kuckuck::N,kakku,зозуля
163,Schwan::N,oqkush,лебідь
164,Fisch::N,baliq,риба
165,Barsch::N,olabug'a,окунь
166,Hecht::N,cho'rtan,щука
167,Schlange[Tier]::N,ilon,змія
168,Wurm::N,qurt,черв’як
169,Spinne::N,o'rgimchak,павук
170,Ameise::N,chumoli,мурашка
171,Laus::N,bit,воша
172,Mücke::N,chivin,комар
173,Fliege::N,pashsha,муха
174,Schmetterling::N,kapalak,метелик
175,Beere::N,meva,ягода
176,Apfel::N,olma,яблуко
177,Pilz::N,qo'ziqorin,гриб
178,Zwiebel::N,piyoz,цибуля
179,Saat::N,äkin,сім’я
180,Korn::N,zarra,зерно
181,Heu::N,xashak,сіно
182,Schale::N,po'choq,шкірка
183,Grube::N,co'ra,яма
184,Falle::N,qopqon,пастка
185,Schlinge::N,sirtmoq,петля
186,Spur::N,iz,слід
187,Asche::N,kul,зола
188,Asche::N,kul,попіл
189,Dreck::N,kir,бруд
190,Eisen::N,temir,залізо
191,Gold::N,tilla,золото
192,Silber::N,kumush,срібло
193,Kohle::N,ko'mir,вугілля
194,Glas::N,oyna,скло
195,Lehm::N,loy,глина
196,Sand::N,qum,пісок
197,Mensch::N,odam,людина
198,Mann::N,ärkak,чоловік
199,Frau::N,ayol,жінка
200,Kind::N,bola,дитина
201,Kind::N,kichkintoy,дитина
202,Junge::N,bola,хлопець
203,Mädchen::N,qiz,дівчина
204,Familie::N,oila,сім’я
205,Familie::N,oila,родина
206,Großvater::N,buva,дідусь
207,Großvater::N,katta ota,дідусь
208,Großmutter::N,buvi,бабуся
209,Großmutter::N,katta oyi,бабуся
210,Eltern::N,ota-ona,батьки
211,Vater::N,ota,батько
212,Mutter::N,ona,мати
213,Sohn::N,o'g'il,син
214,Tochter::N,qiz,дочка
215,Bruder::N,og'a,брат
216,Bruder::N,uka,брат
217,Schwester::N,opa,сестра
218,Schwester::N,singil,сестра
219,Onkel::N,amaki,дядько
220,Tante::N,amma,тітка
221,Tante::N,xola,тітка
222,Ehemann::N,är,чоловік
223,Ehefrau::N,rafiqa,жінка
224,Ehefrau::N,rafiqa,дружина
225,Freude::N,ayish,радощі
226,Gelächter::N,kulgi,сміх
227,Glück::N,saodat,щастя
228,Kummer::N,g'am,горе
229,Wunsch::N,orzu,бажання
230,Lust::N,rag'bat,бажання
231,Geist::N,ruh,дух
232,Gedanke::N,fikr,думка
233,Gedächtnis::N,äs,пам’ять
234,Verstand::N,aql,розум
235,Sinn::N,ma'ni,зміст
236,Sinn::N,ma'ni,значення
237,Grund::N,sabab,причина
238,Wahrheit::N,haq,правда
239,Gespräch::N,gap,розмова
240,Märchen::N,ärtak,байка
241,Erzählung::N,rivoyat,повість
242,Erzählung::N,rivoyat,оповідання
243,Nachricht::N,xabar,повідомлення
244,Neuigkeit::N,yangilik,новина
245,Name::N,ot,ім’я
246,Rätsel::N,topishmoq,загадка
247,Rede::N,nutq,промова
248,Sprache::N,til,мова
249,Stimme::N,ovoz,голос
250,Wort::N,so'z,слово
251,Zeichen::N,alomat,знак
252,Ruf::N,chaqiriq,оклик
253,Lärm::N,taraq,шум
254,Laut::N,tovush,звук
255,Ton::N,un,тон
256,Lied::N,ashula,пісня
257,Ruhe::N,tinchlik,спокій
258,Leute::N,xaloyiq,люди
259,Volk::N,xalq,народ
260,Arbeit::N,ish,робота
261,Gast::N,mehmon,гість
262,Geschenk::N,hadya,подарунок
263,Spiel::N,o'yin,гра
264,Gesellschaft::N,jamiyat,товариство
265,Hilfe::N,yordam,допомога
266,Freund::N,do'st,друг
267,Freund::N,do'st,приятель
268,Kamerad::N,yo'ldosh,товариш
269,Angelegenheit::N,daxl,справа
270,Anzahl::N,son,число
271,Art::N,tur,рід
272,Stück::N,parcha,кусок
273,Teil::N,bo'lak,частина
274,Hälfte::N,yarim,половина
275,Kreis::N,aylana,круг
276,Kreis::N,aylana,коло
277,Kreuz::N,xoch,хрест
278,Linie::N,liniya,лінія
279,Strich::N,chiziq,штрих
280,Abstand::N,oralik,проміжок
281,Entfernung::N,uzoqlik,відстань
282,Gegend::N,yer,місцевість
283,Platz::N,oralig,площа
284,Ort::N,joy,місце
285,Seite::N,yon,сторона
286,Mitte::N,o'rta,середина
287,Gegenstand::N,ashyo,предмет
288,Sache::N,buyum,річ
289,Rand::N,chek,край
290,Kante::N,tig',ребро
291,Ecke::N,burchak,ріг
292,Spitze::N,uch,кінчик
293,Ende::N,oxir,кінець
294,Loch::N,teshik,діра
295,Winkel::N,go'sha,куток
296,Muster::N,nusha,узор
297,Größe::N,kattalik,розмір
298,Länge::N,uzunlik,довжина
299,Höhe::N,yuksaklik,висота
300,Gewicht::N,solmoq,вага
301,Menge::N,miqdor,кількість
302,Haufen::N,uyum,купа
303,Reihe::N,saf,ряд
304,Boot::N,qayiq,човен
305,Ruder::N,äshkak,весло
306,Schlitten::N,chana,сани
307,Ski::N,chang'i,лижа
308,Lagerfeuer::N,gulxan,вогнище
309,Last::N,yuk,тягар
310,Last::N,yuk,вантаж
311,Gang::N,yurish,хід
312,Schritt::N,qadam,крок
313,Norden::N,shimol,північ
314,Süden::N,janub,південь
315,Westen::N,g'arb,захід
316,Osten::N,sharq,схід
317,Holz::N,yog'och,дрова
318,Brett::N,taxta,дошка
319,Platte::N,tabaqa,плита
320,Stütze::N,tayanchi,підпірка
321,Stange::N,qo'noq,жердина
322,Stock::N,tayoq,палиця
323,Stab::N,gavron,палиця
324,Rohr::N,tarnov,труба
325,Haus::N,uy,дім
326,Haus::N,uy,хата
327,Heim::N,makon,житло
328,Ofen::N,pechka,піч
329,Fußboden::N,pol,підлога
330,Tisch::N,mosa,стіл
331,Stuhl::N,o'rindiq,стілець
332,Wiege::N,beshik,колиска
333,Bett::N,yotoq,ліжко
334,Bett::N,yotoq,постіль
335,Regal::N,tokcha,полиця
336,Kiste::N,sandiq,ящик
337,Fenster::N,deraza,вікно
338,Tür::N,äshik,двері
339,Tor::N,darvoza,ворота
340,Zaun::N,panjara,паркан
341,Zaun::N,panjara,огорожа
342,Dach::N,tom,дах
343,Leiter::N,narvon,драбина
344,Besen::N,supurgi,мітла
345,Spaten::N,bel,заступ
346,Schaufel::N,kurak,совок
347,Schaufel::N,kurak,лопата
348,Gabel::N,bilka,виделка
349,Löffel::N,qoshiq,ложка
350,Messer::N,pichoq,ніж
351,Nagel::N,mix,цвях
352,Netz::N,to'r,сіть
353,Haken::N,ilgak,крюк
354,Griff::N,sop,ручка
355,Griff::N,sop,держак
356,Griff::N,tutqich,ручка
357,Griff::N,tutqich,держак
358,Schloss::N,qulf,замок
359,Bild::N,rasm,картина
360,Figur::N,shakl,фігура
361,Puppe::N,ko'g'irchoq,лялька
362,Beutel::N,to'rva,мішечок
363,Beutel::N,to'rva,торбинка
364,Bündel::N,bog'lam,в’язка
365,Tasche::N,kissa,сумка
366,Eimer::N,chelak,відро
367,Deckel::N,qopqoq,кришка
368,Geschirr::N,idish,посуд
369,Sack::N,qop,мішок
370,Tasse::N,piyola,чашка
371,Topf::N,tuvak,горщик
372,Kessel::N,qozon,котел
373,Essen::N,tomoq,їжа
374,Nahrung::N,emak,харч
375,Speise::N,taom,страва
376,Fleisch::N,go'sht,м’ясо
377,Getreide::N,g'alla,хліб
378,Getreide::N,g'alla,збіжжя
379,Brei::N,bo'tqa,каша
380,Brot::N,non,хліб
381,Scheibe::N,disk,скибочка
382,Fett::N,moy,жир
383,Butter::N,yog',масло
384,Öl::N,moy,олія
385,Salz::N,tuz,сіль
386,Suppe::N,sho'rva,суп
387,Honig::N,asal,мед
388,Milch::N,sut,молоко
389,Tee::N,choy,чай
390,Leder::N,charm,шкіра
391,Wolle::N,jun,шерсть
392,Stoff::N,mato,тканина
393,Nadel::N,igna,голка
394,Faden::N,ip,нитка
395,Knopf::N,tugma,ґудзик
396,Knoten::N,tugun,вузол
397,Farbe::N,bo'yok,фарба
398,Kleidung::N,kiyim,одяг
399,Kleidung::N,kiyim,убрання
400,Hemd::N,ko'ylak,сорочка
401,Kragen::N,yoqa,комір
402,Ärmel::N,yeng,рукав
403,Hose::N,shim,брюки
404,Gürtel::N,tasma,пояс
405,Mütze::N,shapka,шапка
406,Schuh::N,but,ботинок
407,Stiefel::N,botinka,чобіт
408,Ring::N,yuzuk,кільце
409,Band::N,rishta,стрічка
410,Kamm::N,taroq,гребінець
411,Spiegel::N,ko'zgu,дзеркало
412,Riemen::N,qayish,ремінь
413,Schnur::N,bog'ich,вірьовка
414,Leine::N,etak,шворка
415,Decke::N,odyol,ковдра
416,Kissen::N,yostiq,подушка
417,Tuch::N,gazlama,хустка
418,Handtuch::N,sochiq,рушник
419,Kraft::N,kuch,сила
420,Stärke::N,quvvat,сила
421,Gesundheit::N,sog'lik,здоров’я
422,Krankheit::N,kasallik,хвороба
423,Schmerz::N,og'riq,біль
424,Wunde::N,yara,рана
425,Fieber::N,bezgak,гарячка
426,Arznei::N,dori,ліки
427,Brücke::N,ko'prik,міст
428,Brunnen::N,buloq,колодязь
429,Weide::N,yaylov,пасовище
430,Pfad::N,dorojka,стежка
431,Weg::N,yo'l,шлях
432,Weg::N,yo'l,дорога
433,Straße::N,ko'cha,вулиця
434,Dorf::N,ovul,село
435,Stadt::N,shahar,місто
436,Brief::N,maktub,лист
437,Buch::N,kitob,книга
438,Buch::N,kitob,книжка
439,Buchstabe::N,harf,буква
440,Buchstabe::N,harf,літера
441,Zeitung::N,gazet,газета
442,Leben::N,hayot,життя
443,Tod::N,o'lim,смерть
444,Grab::N,go'r,могила
445,Kirche::N,cherkov,церква
446,Sünde::N,gunoh,гріх
447,Gott::N,olloh,бог
448,Arbeiter::N,ishchi,робітник
449,Chef::N,rais,хазяїн
450,Meister::N,usta,умілець
451,Arzt::N,hakim,лікар
452,Lehrer::N,muallim,вчитель
453,Geld::N,pul,гроші
454,Geschäft::N,savdo,заняття
455,Laden::N,do'kon,магазин
456,Laden::N,do'kon,крамниця
457,Preis::N,baho,ціна
458,Ware::N,mol,товар
459,Nutzen::N,foyda,вигода
460,Nutzen::N,foyda,користь
461,Reichtum::N,boylik,багатство
462,Welt::N,olam,світ
463,Land::N,o'lka,країна
464,Staat::N,davlat,держава
465,König::N,qirol,король
466,Macht::N,iqtidor,влада
467,Grenze::N,chegara,кордон
468,Krieg::N,harb,війна
469,Feind::N,dushman,ворог
470,Gewalt::N,zo'rlik,насильство
471,Kampf::N,kurash,бій
472,Kampf::N,kurash,боротьба
473,Bogen[Waffe]::N,yoy,лук
474,Pfeil::N,o'q,стріла
475,Gewehr::N,vintovka,рушниця
476,Gewehr::N,vintovka,гвинтівка
477,Fehler::N,xato,помилка
478,Lüge::N,yolg'on,брехня
479,Schaden::N,ziyon,шкода
480,Schaden::N,ziyon,збиток
481,Unglück::N,balo,нещастя
482,Schuld::N,ayb,провина
483,Alter::N,yosh,вік
484,Alter::N,yosh,літа
485,Schluss::N,tamom,кінець
486,Zeit::N,vaqt,час
487,Tag::N,kun,день
488,Morgen::N,saboh,ранок
489,Mittag::N,kun tushlik,південь
490,Abend::N,oqshom,вечір
491,Nacht::N,tun,ніч
492,Woche::N,hafta,тиждень
493,Monat::N,oy,місяць
494,Jahr::N,yil,рік
495,Frühling::N,bahor,весна
496,Sommer::N,yoz,літо
497,Herbst::N,kuz,осінь
498,Herbst::N,xazon,осінь
499,Winter::N,qish,зима
500,Januar::N,yanvar',січень
501,Februar::N,fevral',лютий
502,März::N,mart,березень
503,April::N,aprel',квітень
504,Mai::N,may,травень
505,Juni::N,iyun',червень
506,Juli::N,iyul',липень
507,August::N,avgust,серпень
508,September::N,sentyabr',вересень
509,Oktober::N,oktyabr',жовтень
510,November::N,noyabr',листопад
511,Dezember::N,dekabr',грудень
512,Montag::N,dushanba,понеділок
513,Dienstag::N,seshanba,вівторок
514,Mittwoch::N,chorshanba,середа
515,Donnerstag::N,payshanba,четвер
516,Freitag::N,juma,п’ятниця
517,Samstag::N,shanba,субота
518,Sonntag::N,yakshanba,неділя
519,groß::A,buyuk,великий
520,klein::A,kichik,малий
521,klein::A,kichik,маленький
522,lang::A,uzun,довгий
523,kurz::A,qisqa,короткий
524,breit::A,keng,широкий
525,schmal::A,änsiz,вузький
526,dicht::A,quyuq,густий
527,dick[Gegenstand]::A,qalin,товстий
528,dünn::A,ingichka,тонкий
529,fein::A,mayin,дрібний
530,fest::A,qattiq,міцний
531,flach::A,yalpoq,плоский
532,glatt::A,tekis,рівний
533,glatt::A,tekis,гладенький
534,hart::A,qattiq,твердий
535,weich::A,yumshoq,м’який
536,rund::A,yumaloq,круглий
537,spitz::A,uchli,гострокінцевий
538,scharf::A,keskir,гострий
539,stumpf::A,to'mtoq,тупий
540,schwer::A,salmoqli,важкий
541,schön::A,go'zal,вродливий
542,heiß::A,qiziq,жаркий
543,heiß::A,qiziq,гарячий
544,warm::A,issiq,теплий
545,kalt::A,sovuq,холодний
546,kühl::A,salqin,прохолодний
547,frisch::A,toza,свіжий
548,feucht::A,namli,вогкий
549,nass::A,nam,мокрий
550,trocken::A,quruq,сухий
551,voll::A,to'la,повний
552,leer::A,puch,пустий
553,offen::A,ochiq,відкритий
554,geschlossen::A,berk,закритий
555,geschlossen::A,berk,зачинений
556,sauber::A,ozoda,чистий
557,sauber::A,ozoda,охайний
558,schmutzig::A,kir,брудний
559,roh::A,xom,сирий
560,reif::A,pishiq,зрілий
561,lecker::A,shirin,смачний
562,süß::A,shirin,солодкий
563,bitter::A,achchiq,гіркий
564,sauer::A,achchiq,кислий
565,hell::A,yorug',світлий
566,dunkel::A,qorong'i,темний
567,schwarz::A,qora,чорний
568,weiß::A,oq,сивий
569,rot::A,qizil,червоний
570,gelb::A,sariq,жовтий
571,blau::A,zangori,синій
572,grün::A,yashil,зелений
573,grau::A,bo'z,сірий
574,bunt::A,ola,барвистий
575,billig::A,arzon,дешевий
576,teuer::A,qimmat,дорогий
577,wertvoll::A,qimmat,цінний
578,blind::A,ko'r,сліпий
579,taub::A,garang,глухий
580,kräftig::A,kuchli,могутній
581,stark::A,quvvatli,сильний
582,schwach::A,kuchsiz,слабкий
583,fett::A,semiz,жирний
584,fett::A,semiz,товстий
585,schlank::A,ingichka,тонкий
586,schlank::A,ingichka,стрункий
587,hübsch::A,ko'rkam,чарівний
588,böse::A,yovuz,злий
589,böse::A,yovuz,лихий
590,dumm::A,aqlsiz,дурний
591,faul::A,ärinchak,ледачий
592,fleißig::A,ishchan,старанний
593,geizig::A,qurumsoq,скупий
594,klug::A,oqil,мудрий
595,klug::A,oqil,розумний
596,geschickt::A,äpchil,умілий
597,lieb::A,aziz,милий
598,lustig::A,chaqchaq,веселий
599,sanft::A,asta,лагідний
600,hungrig::A,och,голодний
601,krank::A,kasal,слабий
602,nackt::A,yalang,голий
603,traurig::A,xafa,сумний
604,lebendig::A,hayotiy,живий
605,gut::A,soz,добрий
606,schlecht::A,yomon,поганий
607,schlecht::A,yomon,кепський
608,richtig::A,rost,правильний
609,schlimm::A,yovuz,бридкий
610,wahr::A,haqiqiy,справжній
611,alt::A,äski,старий
612,neu::A,yangi,новий
613,ehemalig::A,sobiq,колишній
614,alt[Lebewesen]::A,qari,старий
615,jung::A,navqiron,молодий
616,arm::A,abgor,бідний
617,reich::A,boy,багатий
618,bekannt::A,ma'lum,знайомий
619,berühmt::A,mashhur,славетний
620,fremd::A,yot,чужий
621,verschieden::A,turli,різний
622,nah::A,yaqindagi,близький
623,fern::A,uzoq,далекий
624,linker::A,so'l,лівий
625,rechter::A,o'ng,правий
626,anderer::A,boshqa,інакший
627,erster::A,birinchi,перший
628,zweiter::A,ikkinchi,другий
629,dritter::A,uchinchi,третій
630,letzter::A,oxirgi,останній
631,allein::ADV,o'zicha,сам
632,allein::ADV,o'zicha,один
633,auf einmal::ADV,varakay,відразу
634,zusammen::ADV,barobar,разом
635,zusammen::ADV,barobar,спільно
636,lange::ADV,uzoq,довго
637,plötzlich::ADV,qo'qqisdan,раптом
638,sofort::ADV,darrov,зараз
639,später::ADV,so'ngra,пізніше
640,jetzt::ADV,hozirgina,тепер
641,heute::ADV,bugun,сьогодні
642,morgen::ADV,ärta,завтра
643,bald::ADV,toz,незабаром
644,dann::ADV,keyin,потім
645,gestern::ADV,kecha,вчора
646,einst::ADV,avvallari,колись
647,damals::ADV,ugal,тоді
648,danach::ADV,so'ngra,згодом
649,vorher::ADV,avval,раніше
650,zuerst::ADV,avval,спершу
651,zuerst::ADV,avval,спочатку
652,einmal::ADV,bir marta,один раз
653,manchmal::ADV,onda-sonda,іноді
654,manchmal::ADV,onda-sonda,інколи
655,oft::ADV,tez-tez,часто
656,immer::ADV,har vaqt,завжди
657,niemals::ADV,hargiz,ніколи
658,hier::ADV,shu erda,тут
659,hierhin::ADV,beri,сюди
660,von hier::ADV,shu erdan,звідси
661,dort::ADV,ana,там
662,dorthin::ADV,u yerga,туди
663,geradeaus::ADV,to'g'ri,прямо
664,vorwärts::ADV,ilgari,вперед
665,rückwärts::ADV,qoloq,назад
666,zurück::ADV,orqada,назад
667,unten::ADV,pastda,внизу
668,hinab::ADV,tubanga,вниз
669,oben::ADV,ustida,вгорі
670,hinauf::ADV,yuqorida,вгору
671,überall::ADV,har erda,скрізь
672,nicht::ADV,ämas,не
673,ein wenig::ADV,biroz,трохи
674,ein wenig::ADV,biroz,небагато
675,kaum::ADV,arang,ледве
676,sehr::ADV,ancha,дуже
677,so::ADV,shunday,так
678,noch::ADV,hali,ще
679,nur::ADV,yolg'iz,лише
680,nur::ADV,yolg'iz,тільки
681,schon::ADV,endi,вже
682,wieder::ADV,yana,знову
683,vergebens::ADV,bekorga,дарма
684,vor::PRP,burun,перед
685,hinter::PRP,ketida,ззаду
686,hinter::PRP,ketida,позаду
687,unter::PRP,ostida,під
688,durch::PRP,bo'ylab,крізь
689,neben::PRP,yonida,біля
690,zwischen::PRP,orada,між
691,wegen::PRP,sababli,з-за
692,wegen::PRP,sababli,через
693,dies::PRN,o'sha,це
694,das::PRN,narigi,то
695,alles::PRN,har nima,все
696,ich::PRN,men,я
697,du::PRN,sen,ти
698,er::PRN,u,він
699,wir::PRN,biz,ми
700,ihr::PRN,siz,ви
701,sie::PRN,ular,вони
702,was::FPRN,nima,що
703,wer::FPRN,kim,хто
704,wo::FADV,qaerda,де
705,wohin::FADV,qayerga,куди
706,wie::FADV,qanday,як
707,warum::FADV,nega,чому
708,wieviel::FNUM,qancha,скільки
709,eins::NUM,bir,один
710,zwei::NUM,ikki,два
711,drei::NUM,uch,три
712,vier::NUM,to'rt,чотири
713,fünf::NUM,besh,п’ять
714,sechs::NUM,olti,шість
715,sieben::NUM,etti,сім
716,acht::NUM,sakkiz,вісім
717,neun::NUM,to'qqiz,дев’ять
718,zehn::NUM,o'n,десять
719,elf::NUM,o'n bir,одинадцять
720,zwölf::NUM,o'n ikki,дванадцять
721,zwanzig::NUM,yigirma,двадцять
722,dreißig::NUM,o'ttiz,тридцять
723,vierzig::NUM,qirq,сорок
724,fünfzig::NUM,ällik,п’ятдесят
725,sechzig::NUM,oltmish,шістдесят
726,siebzig::NUM,etmish,сімдесят
727,achtzig::NUM,sakson,вісімдесят
728,neunzig::NUM,to'qson,дев’яносто
729,hundert::NUM,yuz,сто
730,tausend::NUM,ming,тисяча
731,und::CNJ,va,і
732,oder::CNJ,yo,або
733,stehen::V,turmoq,стояти
734,sitzen::V,o'tirmoq,сидіти
735,liegen::V,yotmoq,лежати
736,hängen::V,osilmoq,висіти
737,werden::V,bo'lmoq,стати
738,werden::V,bo'lmoq,робитися
739,passieren::V,bo'lib o'tmoq,трапитися
740,beginnen::V,boshlanmoq,початися
741,enden::V,bitmoq,кінчитися
742,wechseln::V,o'zgarmoq,мінятися
743,aufgehen[Sonne]::V,chiqmoq,зійти
744,untergehen[Sonne]::V,botmoq,зайти
745,scheinen[Sonne]::V,yaraqlamoq,світити
746,donnern::V,gulduramoq,гриміти
747,wehen::V,elpimoq,віяти
748,strömen::V,oqmoq,литися
749,fließen::V,oqmoq,текти
750,sich drehen::V,aylanmoq,обертатися
751,schwanken::V,qoqilmoq,коливатися
752,schwingen::V,lopillamoq,хитатися
753,schwingen::V,lopillamoq,гойдатися
754,fallen::V,tushmoq,падати
755,brennen::V,yonmoq,горіти
756,rauchen::V,tutamoq,диміти
757,regnen::V,yomg'ir yog'moq,дощити
758,gefrieren::V,muzlamoq,змерзнути
759,tauen::V,ärimoq,танути
760,schmelzen::V,ärimoq,плавитися
761,trocknen::V,qurimoq,сохнути
762,sieden::V,qaynamoq,кипіти
763,faulen::V,chirimoq,гнити
764,verfaulen::V,chirimoq,згнити
765,reißen::V,qayt qilmoq,рватися
766,versinken::V,g'arq bo'lmoq,тонути
767,vergehen::V,o'tmoq,проходити
768,erscheinen::V,zuhur ätmoq,з’явитися
769,verschwinden::V,yo'qolmoq,щезнути
770,verschwinden::V,yo'qolmoq,зникнути
771,sinken::V,pasaymoq,спадати
772,abnehmen::V,kamaymoq,поменшитися
773,zunehmen::V,urchimoq,збільшуватися
774,steigen::V,oshmoq,підніматися
775,wachsen::V,o'smoq,рости
776,glänzen::V,porlamoq,блищати
777,funkeln::V,yalt ätmoq,блискати
778,lärmen::V,taraq ätmoq,шуміти
779,läuten::V,jiringlamoq,дзвонити
780,klingeln::V,jiringlamoq,дзвонити
781,klirren::V,sharaqlamoq,дзвякати
782,brausen::V,vag'illamoq,бушувати
783,rauschen::V,shitirlamoq,шелестіти
784,klingen::V,yangramoq,лунати
785,klingen::V,yangramoq,звучати
786,bellen::V,hurmoq,гавкати
787,heulen::V,uvlamoq,вити
788,blasen::V,puflamoq,дунути
789,pfeifen::V,xushtak chalmoq ,свистіти
790,schreien::V,qiyqirmoq,кричати
791,stöhnen::V,nola qilmoq,стогнати
792,zittern::V,titramoq,тремтіти
793,leben::V,yashamoq,жити
794,geboren werden::V,tug'ilmoq,народитися
795,atmen::V,nafas chiqarmoq,дихати
796,trinken::V,ichmoq,пити
797,essen::V,emoq,їсти
798,schlucken::V,yutmoq,ковтати
799,müde werden::V,horimoq,втомитися
800,einschlafen::V,uxlab qolmoq,заснути
801,schlafen::V,uxlamoq,спати
802,aufwachen::V,uyg'onmoq,прокинутися
