,Concept_ID,ca,et
307,Geschenk::N,obsequi,kingitus
308,Spiel::N,joc,mäng
309,Gesellschaft::N,companyia,selts
310,Hilfe::N,ajut,abi
311,Freund::N,amīc,sõber
312,Kamerad::N,company,sõber
313,Kamerad::N,camarada,sõber
314,Angelegenheit::N,afer,asi
315,Angelegenheit::N,assumpte,asi
316,Anzahl::N,nombre,arv
317,Anzahl::N,nombre,hulk
318,Anzahl::N,quantitat,arv
319,Anzahl::N,quantitat,hulk
320,Art::N,tipus,liik
321,Art::N,classe,liik
322,Stück::N,peça,tükk
323,Teil::N,part,osa
324,Hälfte::N,meitat,pool
325,Kreis::N,cercle,ring
326,Kreuz::N,creu,rist
327,Linie::N,línia,joon
328,Strich::N,traç,joon
329,Strich::N,ratlla,joon
330,Abstand::N,distància,vahe
331,Entfernung::N,distància,kaugus
332,Entfernung::N,distància,vahemaa
333,Gegend::N,regió,ümbrus
334,Gegend::N,contrada,ümbrus
335,Platz::N,cabuda,ruum
336,Ort::N,lloc,paik
337,Seite::N,banda,pool
338,Seite::N,costāt,pool
339,Mitte::N,mig,keskpaik
340,Mitte::N,centre,keskpaik
341,Gegenstand::N,objecte,ese
342,Sache::N,cosa,ese
343,Rand::N,vora,äär
344,Rand::N,vora,serv
345,Rand::N,marge,äär
346,Rand::N,marge,serv
347,Kante::N,caire,kant
348,Kante::N,cantell,kant
349,Ecke::N,cantonada,nurk
350,Spitze::N,punta,teravik
351,Ende::N,cap,ots
352,Ende::N,cap,jupp
353,Loch::N,forāt,auk
354,Winkel::N,racó,nurk
355,Muster::N,dibuix,muster
356,Muster::N,disseny,muster
357,Größe::N,grandària,suurus
358,Länge::N,longitud,pikkus
359,Höhe::N,altura,kõrgus
360,Höhe::N,altitud,kõrgus
361,Gewicht::N,pes,kaal
362,Gewicht::N,pes,raskus
363,Menge::N,quantitat,arv
364,Menge::N,quantitat,hulk
365,Haufen::N,pila,hunnik
366,Reihe::N,fila,rivi
367,Boot::N,bot,paat
368,Boot::N,barca,paat
369,Ruder::N,rem,aer
370,Schlitten::N,trineu,saan
371,Ski::N,esquí,suusk
372,Lagerfeuer::N,foc de campament,lõke
373,Last::N,càrrega,koorem
374,Gang::N,marxa,käik
375,Schritt::N,pas,samm
376,Norden::N,nord,põhi
377,Süden::N,sud,lõuna
378,Westen::N,oest,lääs
379,Westen::N,occident,lääs
380,Osten::N,est,ida
381,Osten::N,orient,ida
382,Holz::N,fusta,puu
383,Brett::N,taula,saelaud
384,Platte::N,placa,plaat
385,Stütze::N,suport,tugi
386,Stange::N,vara,latt
387,Stange::N,vara,teivas
388,Stock::N,pal,kepp
389,Stab::N,bastó,varras
390,Rohr::N,tub,toru
391,Haus::N,casa,maja
392,Heim::N,llar,kodu
393,Ofen::N,estufa,ahi
394,Fußboden::N,terra,põrand
395,Tisch::N,taula,laud
396,Stuhl::N,cadira,tool
397,Wiege::N,bressol,häll
398,Wiege::N,bressol,kätki
399,Bett::N,llit,voodi
400,Regal::N,prestatgeria,riiul
401,Kiste::N,caixa,kast
402,Fenster::N,finestra,aken
403,Tür::N,porta,uks
404,Tor::N,portal,värav
405,Zaun::N,tanca,aed
406,Zaun::N,tanca,tara
407,Dach::N,teulada,katus
408,Leiter::N,escala,redel
409,Leiter::N,escala de mà,redel
410,Besen::N,escombra,luud
411,Spaten::N,pala,labidas
412,Schaufel::N,pala,kühvel
413,Gabel::N,forquilla,kahvel
414,Löffel::N,cullera,lusikas
415,Messer::N,coltell,nuga
416,Nagel::N,clau,nael
417,Netz::N,filat,võrk
418,Haken::N,ganxo,haak
419,Haken::N,ganxo,konks
420,Griff::N,puny,sang
421,Griff::N,puny,käepide
422,Griff::N,mànec,sang
423,Griff::N,mànec,käepide
424,Schloss::N,pany,lukk
425,Bild::N,imatge,pilt
426,Figur::N,figura,kuju
427,Figur::N,figura,kujund
428,Puppe::N,nina,nukk
429,Beutel::N,bossa,paun
430,Bündel::N,feix,kimp
431,Bündel::N,paquet,kimp
432,Tasche::N,bossa,kott
433,Eimer::N,galleda,pang
434,Eimer::N,galleda,ämber
435,Deckel::N,tapa,kaas
436,Deckel::N,tapadora,kaas
437,Geschirr::N,vaixella,nõud
438,Sack::N,sac,kott
439,Sack::N,saca,kott
440,Tasse::N,tassa,tass
441,Topf::N,pot,pada
442,Topf::N,olla,pada
443,Kessel::N,caldera,pada
444,Essen::N,àpat,söök
445,Essen::N,menjada,söök
446,Nahrung::N,aliment,toit
447,Speise::N,plat,roog
448,Fleisch::N,carn,liha
449,Getreide::N,cereals,teravili
450,Brei::N,puré,puder
451,Brot::N,pa,sai
452,Brot::N,pa,leib
453,Scheibe::N,tall,viil
454,Scheibe::N,tall,viilukas
455,Scheibe::N,llesca,viil
456,Scheibe::N,llesca,viilukas
457,Fett::N,greix,rasv
458,Butter::N,mantega,või
459,Öl::N,oli,õli
460,Salz::N,sal,sool
461,Suppe::N,sopa,supp
462,Honig::N,mel,mesi
463,Milch::N,llet,piim
464,Tee::N,te,tee
465,Leder::N,cuir,nahk
466,Wolle::N,llana,vill
467,Stoff::N,tela,kangas
468,Nadel::N,agulla,nõel
469,Faden::N,fil,niit
470,Knopf::N,botó,nööp
471,Knoten::N,nus,sõlm
472,Farbe::N,pintura,värv
473,Kleidung::N,roba,riided
474,Kleidung::N,roba,riietus
475,Kleidung::N,vestits,riided
476,Kleidung::N,vestits,riietus
477,Hemd::N,camisa,särk
478,Kragen::N,coll,krae
479,Ärmel::N,màniga,varrukas
480,Hose::N,pantalōns,püksid
481,Gürtel::N,cinturó,vöö
482,Mütze::N,gorra,müts
483,Schuh::N,sabata,king
484,Stiefel::N,bota,saabas
485,Ring::N,anell,sõrmus
486,Band::N,veta,lint
487,Band::N,cinta,lint
488,Kamm::N,pinta,kamm
489,Spiegel::N,mirāll,peegel
490,Riemen::N,corretja,rihm
491,Schnur::N,corda,nöör
492,Leine::N,corretja,jalutusrihm
493,Decke::N,manta,tekk
494,Decke::N,flassada,tekk
495,Kissen::N,coixí,padi
496,Tuch::N,mocador,kalev
497,Handtuch::N,tovallola,käterätik
498,Kraft::N,força,jõud
499,Stärke::N,vigor,tugevus
500,Gesundheit::N,salut,tervis
501,Krankheit::N,malaltia,haigus
502,Schmerz::N,dolor,valu
503,Wunde::N,ferida,haav
504,Fieber::N,febre,palavik
505,Arznei::N,medicament,ravim
506,Brücke::N,pont,sild
507,Brunnen::N,pou,kaev
508,Weide::N,pastura,karjamaa
509,Pfad::N,senda,rada
510,Pfad::N,sender,rada
511,Weg::N,camí,tee
512,Straße::N,carretera,tee
513,Dorf::N,poble,küla
514,Stadt::N,ciutāt,linn
515,Brief::N,carta,kiri
516,Buch::N,llibre,raamat
517,Buchstabe::N,lletra,täht
518,Zeitung::N,diāri,ajaleht
519,Leben::N,vida,elu
520,Tod::N,mort,surm
521,Grab::N,tomba,haud
522,Kirche::N,església,kirik
523,Sünde::N,pecat,patt
524,Gott::N,déu,jumal
525,Arbeiter::N,obrer,tööline
526,Chef::N,cap,ülemus
527,Chef::N,cap,juhataja
528,Meister::N,mestre,meister
529,Arzt::N,metge,arst
530,Lehrer::N,mestre,õpetaja
531,Geld::N,dinērs,raha
532,Geschäft::N,negoci,äri
533,Laden::N,tenda,pood
534,Laden::N,tenda,kauplus
535,Laden::N,botiga,pood
536,Laden::N,botiga,kauplus
537,Preis::N,preu,hind
538,Ware::N,mercaderia,kaup
539,Nutzen::N,profit,tulu
540,Nutzen::N,profit,kasulikkus
541,Reichtum::N,riquesa,rikkus
542,Welt::N,món,maailm
543,Land::N,país,maa
544,Staat::N,estat,riik
545,König::N,rei,kuningas
546,Macht::N,poder,võim
547,Macht::N,potència,võim
548,Grenze::N,frontera,piir
549,Krieg::N,guerra,sõda
550,Feind::N,enemic,vaenlane
551,Gewalt::N,violència,väevõim
552,Kampf::N,lluita,võitlus
553,Bogen[Waffe]::N,arc,vibu
554,Pfeil::N,fletxa,nool
555,Gewehr::N,fusell,püss
556,Gewehr::N,escopeta,püss
557,Fehler::N,falta,viga
558,Lüge::N,mentida,vale
559,Schaden::N,dany,kahju
560,Unglück::N,desgràcia,häda
561,Unglück::N,desgràcia,õnnetus
562,Schuld::N,culpa,süü
563,Alter::N,edat,iga
564,Schluss::N,fi,lõpp
565,Schluss::N,final,lõpp
566,Zeit::N,temps,aeg
567,Tag::N,dia,päev
568,Morgen::N,matí,hommik
569,Mittag::N,migdia,lõuna
570,Mittag::N,migdia,keskpäev
571,Abend::N,vespre,õhtu
572,Nacht::N,nit,öö
573,Woche::N,setmana,nädal
574,Monat::N,mes,kuu
575,Jahr::N,any,aasta
576,Frühling::N,primavera,kevad
577,Sommer::N,estīu,suvi
578,Herbst::N,tardor,sügis
579,Winter::N,hivērn,talv
580,Januar::N,gener,jaanuar
581,Februar::N,febrer,veebruar
582,März::N,març,märts
583,April::N,abril,aprill
584,Mai::N,maig,mai
585,Juni::N,juny,juuni
586,Juli::N,juliol,juuli
587,August::N,agost,august
588,September::N,setembre,september
589,Oktober::N,octubre,oktoober
590,November::N,novembre,november
591,Dezember::N,desembre,detsember
592,Montag::N,dilluns,esmaspäev
593,Dienstag::N,dimarts,teisipäev
594,Mittwoch::N,dimecres,kesknädal
595,Donnerstag::N,dijous,neljapäev
596,Freitag::N,divendres,reede
597,Samstag::N,dissabte,laupäev
598,Sonntag::N,diumenge,pühapäev
599,groß::A,gros,suur
600,klein::A,petīt,väike
601,klein::A,petīt,pisike
602,lang::A,llarg,pikk
603,kurz::A,curt,lühike
604,breit::A,ample,lai
605,schmal::A,estret,kitsas
606,dicht::A,dens,tihe
607,dick[Gegenstand]::A,gruixūt,jäme
608,dünn::A,prim,õhuke
609,dünn::A,prim,peenike
610,fein::A,fi,peen
611,fein::A,fi,õhuke
612,fest::A,ferm,püsiv
613,fest::A,ferm,kindel
614,fest::A,sòlid,püsiv
615,fest::A,sòlid,kindel
616,flach::A,pla,lame
617,flach::A,pla,tasane
618,glatt::A,llis,sile
619,hart::A,dur,kõva
620,weich::A,tou,pehme
621,rund::A,rodó,ümar
622,spitz::A,punxegut,torkav
623,scharf::A,agut,terav
624,stumpf::A,rom,nüri
625,stumpf::A,esmussat,nüri
626,schwer::A,pesāt,raske
627,schön::A,bonīc,kena
628,heiß::A,calēnt,kuum
629,heiß::A,calēnt,palav
630,warm::A,càlid,soe
631,kalt::A,fred,külm
632,kühl::A,fresc,jahe
633,frisch::A,fresc,värske
634,feucht::A,humit,niiske
635,nass::A,mullat,märg
636,trocken::A,sec,kuiv
637,voll::A,ple,täis
638,leer::A,buit,tühi
639,offen::A,obert,avatud
640,offen::A,obert,lahtine
641,geschlossen::A,tancat,suletud
642,sauber::A,net,puhas
643,schmutzig::A,brut,räpane
644,schmutzig::A,brut,määrdunud
645,roh::A,cru,toores
646,reif::A,madur,küps
647,lecker::A,deliciós,hõrk
648,lecker::A,deliciós,maitsev
649,süß::A,dolç,magus
650,bitter::A,amarg,mõru
651,sauer::A,agre,hapu
652,hell::A,clar,hele
653,dunkel::A,fosc,pime
654,schwarz::A,negre,must
655,weiß::A,blanc,valge
656,rot::A,vermēll,punane
657,gelb::A,groc,kollane
658,blau::A,blau,sinine
659,grün::A,verd,roheline
660,grau::A,gris,hall
661,bunt::A,multicolor,kirju
662,bunt::A,multicolor,värviline
663,billig::A,barat,odav
664,teuer::A,car,kallis
665,wertvoll::A,preciós,väärtuslik
666,blind::A,cec,pime
667,taub::A,sord,kurt
668,kräftig::A,fort,jõuline
669,kräftig::A,vigorós,jõuline
670,stark::A,fort,tugev
671,schwach::A,feble,nõrk
672,schwach::A,feble,jõuetu
673,fett::A,gras,rasvane
674,schlank::A,esvelt,sale
675,hübsch::A,maco,kena
676,böse::A,dolent,tige
677,dumm::A,ximple,juhm
678,dumm::A,ximple,rumal
679,dumm::A,estúpid,juhm
680,dumm::A,estúpid,rumal
681,faul::A,gandūl,laisk
682,faul::A,mandrós,laisk
683,fleißig::A,diligēnt,virk
684,fleißig::A,diligēnt,hoolas
685,geizig::A,avar,ihne
686,klug::A,intel·ligent,tark
687,klug::A,intel·ligent,arukas
688,klug::A,intel·ligent,mõistlik
689,geschickt::A,hàbil,osav
690,lieb::A,amat,armas
691,lieb::A,estimat,armas
692,lustig::A,alegre,lõbus
693,sanft::A,suau,õrn
694,hungrig::A,afamat,näljane
695,krank::A,malālt,haige
696,nackt::A,nu,alasti
697,traurig::A,trist,kurb
698,lebendig::A,viu,elus
699,gut::A,bo,hea
700,schlecht::A,dolēnt,halb
701,richtig::A,just,õige
702,richtig::A,correcte,õige
703,schlimm::A,greu,paha
704,wahr::A,vertader,tõene
705,wahr::A,veritable,tõene
706,alt::A,vell,vana
707,neu::A,nou,uus
708,ehemalig::A,antic,endine
709,alt[Lebewesen]::A,vell,vana
710,jung::A,jove,noor
711,arm::A,pobre,vaene
712,reich::A,ric,rikas
713,bekannt::A,conegut,teada
714,bekannt::A,conegut,tuttav
715,berühmt::A,famós,tuntud
716,fremd::A,estrany,võõras
717,verschieden::A,diferent,erinev
718,nah::A,pròxim,lähedane
719,fern::A,llunyà,kauge
720,fern::A,distant,kauge
721,linker::A,esquerre,vasak
722,rechter::A,dret,parem
723,anderer::A,altre,muu
724,anderer::A,altre,teine
725,erster::A,primer,esimene
726,zweiter::A,segon,teine
727,dritter::A,tercer,kolmas
728,letzter::A,últim,viimane
729,allein::ADV,sol,üksi
730,auf einmal::ADV,d'una vegada,korraga
731,auf einmal::ADV,d'una vegada,ühekorraga
732,zusammen::ADV,junt,koos
733,zusammen::ADV,junt,üheskoos
734,lange::ADV,molt de temps,kaua
735,plötzlich::ADV,de cop,äkki
736,plötzlich::ADV,de cop,järsku
737,plötzlich::ADV,de sobte,äkki
738,plötzlich::ADV,de sobte,järsku
739,sofort::ADV,de seguida,kohe
740,später::ADV,més tard,hiljem
741,jetzt::ADV,ara,nüüd
742,heute::ADV,avūi,täna
743,morgen::ADV,demà,homme
744,bald::ADV,aviāt,pea
745,bald::ADV,aviāt,varsti
746,dann::ADV,després,siis
747,gestern::ADV,ahir,eile
748,einst::ADV,anteriorment,vanasti
749,damals::ADV,llavōrs,tookord
750,damals::ADV,aleshores,tookord
751,danach::ADV,després,seejärel
752,vorher::ADV,abāns,enne
753,zuerst::ADV,primer,enne
754,zuerst::ADV,primer,esmalt
755,einmal::ADV,una vegada,kord
756,einmal::ADV,una vegada,üks kord
757,manchmal::ADV,de vegades,mõnikord
758,oft::ADV,sovint,tihti
759,oft::ADV,sovint,sageli
760,immer::ADV,sempre,ikka
761,immer::ADV,sempre,alati
762,niemals::ADV,no ... mai,mitte kunagi
763,hier::ADV,aquí,siin
764,hierhin::ADV,per aquí,siia
765,von hier::ADV,des d'aquí,siit
766,dort::ADV,allí,seal
767,dorthin::ADV,hi,sinna
768,geradeaus::ADV,tot dret,otse edasi
769,vorwärts::ADV,endavānt,edasi
770,rückwärts::ADV,endarrera,tagurpidi
771,zurück::ADV,darrere,tagasi
772,unten::ADV,a baix,all
773,unten::ADV,a baix,allpool
774,hinab::ADV,cap avall,alla
775,oben::ADV,dalt,ülal
776,hinauf::ADV,cap amunt,üles
777,überall::ADV,pertot,kõikjal
778,überall::ADV,per tot arreu,kõikjal
779,nicht::ADV,no,ei
780,nicht::ADV,no,mitte
781,ein wenig::ADV,una mica,veidi
782,ein wenig::ADV,una mica,natuke
783,kaum::ADV,a penes,vaevalt
784,sehr::ADV,molt,väga
785,so::ADV,així,nii
786,noch::ADV,encara,veel
787,nur::ADV,només,ainult
788,schon::ADV,ja,juba
789,wieder::ADV,de nou,jälle
790,vergebens::ADV,en va,asjata
791,vor::PRP,davānt,ees
792,vor::PRP,enfront de,ees
793,hinter::PRP,darrera,taha
794,unter::PRP,sota,all
795,durch::PRP,per,läbi
796,durch::PRP,per,kaudu
797,neben::PRP,al costāt de,kõrval
798,zwischen::PRP,entre,vahel
799,wegen::PRP,a causa de,tõttu
800,wegen::PRP,a causa de,pärast
801,dies::PRN,aquest,see
802,das::PRN,això,see
803,alles::PRN,tot,kõik
804,ich::PRN,jo,mina
805,du::PRN,tu,sina
806,er::PRN,ell,tema
807,wir::PRN,nosaltres,me
808,ihr::PRN,vosaltres,te
809,sie::PRN,ells,nad
810,sie::PRN,elles,nad
811,was::FPRN,què,mis
812,wer::FPRN,qui,kes
813,wo::FADV,on,kus
814,wohin::FADV,cap a on,kuhu
815,wie::FADV,com,kuidas
816,warum::FADV,per què,miks
817,wieviel::FNUM,quant,mitu
818,wieviel::FNUM,quant,kui palju
819,eins::NUM,u,üks
820,zwei::NUM,dos,kaks
821,drei::NUM,tres,kolm
822,vier::NUM,quatre,neli
823,fünf::NUM,cinc,viis
824,sechs::NUM,sis,kuus
825,sieben::NUM,set,seitse
826,acht::NUM,vuit,kaheksa
827,neun::NUM,nou,üheksa
828,zehn::NUM,deu,kümme
829,elf::NUM,onze,üksteist
830,zwölf::NUM,dotze,kaksteist
831,zwanzig::NUM,vint,kakskümmend
832,dreißig::NUM,trenta,kolmkümmend
833,vierzig::NUM,quaranta,nelikümmend
834,fünfzig::NUM,cinquanta,viiskümmend
835,sechzig::NUM,seixanta,kuuskümmend
836,siebzig::NUM,setanta,seitsekümmend
837,achtzig::NUM,vuitanta,kaheksakümmend
838,neunzig::NUM,noranta,üheksakümmend
839,hundert::NUM,cent,sada
840,tausend::NUM,mil,tuhat
841,und::CNJ,i,ja
842,oder::CNJ,o,või
843,stehen::V,estar de peu,seisma
844,sitzen::V,seure,istuma
845,liegen::V,jeure,lamama
846,hängen::V,penjar,rippuma
847,werden::V,fer-se,saama
848,werden::V,fer-se,hakkama
849,werden::V,posar-se,saama
850,werden::V,posar-se,hakkama
851,passieren::V,succeir,juhtuma
