,Concept_ID,kk,kn
117,Küste::N,жиегі,ದಂಡೆ
118,Küste::N,жағалау,ದಂಡೆ
119,Festland::N,құрылық,ಭೂಮಿ
120,Meer::N,теңіз,ಕಡಲು
121,Bucht::N,шығанақ,ಖಾರಿ
122,Insel::N,арал,ದ್ವೀಪ
123,Blume::N,гүл,ಸುಮ
124,Gras::N,от,ಹುಲ್ಲು
125,Wurzel::N,түбір,ಬೇರು
126,Baum::N,ағаш,ಮರ
127,Baum::N,дарақ,ಮರ
128,Stamm::N,сояу,ಕಾಂಡ
129,Stamm::N,оқпан,ಕಾಂಡ
130,Rinde::N,қабық,ತೂಗಟಿ
131,Ast::N,бұтақ,ಶಾಖೆ
132,Zweig::N,шыбық,ರೆಂಬೆ
133,Blatt::N,жапырақ,ಎಲೆ
134,Birke::N,қайың,ಬರ್ಚ್ ಮರ
135,Kiefer[Baum]::N,қарағай,ದೇವದಾರು ಮರ
136,Weide[Baum]::N,тал,ವಿಲೋಮರ
137,Tanne::N,шырша,ಭದ್ರದಾರು
138,Horn::N,мүйіз,ಕೊಂಬು
139,Feder::N,қаламұш,ಪುಕ್ಕ
140,Fell::N,тері,ರೋಮ
141,Flügel::N,қанат,ರೆಕ್ಕೆ
142,Klaue::N,тырнақ,ಪಂಜ
143,Kralle::N,аяқ,ಉಗುರು
144,Schwanz::N,құйрық,ಬಾಲ
145,Ei::N,жұмыртқа,ಮೊಟ್ಟೆ
146,Nest::N,ұя,ಗೂಡು
147,Bau::N,жатақ,ಅಡಗುದಾಣ
148,Tier::N,айуан,ಪ್ರಾಣಿ
149,Tier::N,жануар,ಪ್ರಾಣಿ
150,Herde::N,пада,ಗುಂಪು
151,Kuh::N,сиыр,ಹಸು
152,Bulle::N,өгіз,ಗೂಳಿ
153,Pferd::N,жылқы,ಕುದುರೆ
154,Schaf::N,қой,ಕುರಿ
155,Schwein::N,шошқа,ಹಂದಿ
156,Hund::N,ит,ನಾಯಿ
157,Katze::N,мысық,ಬೆಕ್ಕು
158,Bär::N,аю,ಕರಡಿ
159,Eichhörnchen::N,тиін,ಉಡುತೆ
160,Elch::N,бұғы,ಕಡವೆ
161,Fuchs::N,түлкі,ನರಿ
162,Hase::N,қоян,ಮೊಲ
163,Maus::N,қаптесер,ಇಲಿ
164,Wolf::N,бөрі,ತೋಳ
165,Wolf::N,қасқыр,ತೋಳ
166,Vogel::N,құс,ಪಕ್ಷಿ
167,Schwarm::N,топ,ಗುಂಪು
168,Schwarm::N,үйір,ಗುಂಪು
169,Huhn::N,тауық,ಚಿಕ್
170,Huhn::N,мекиен,ಚಿಕ್
171,Hahn::N,әтеш,ಹುಂಜ
172,Hahn::N,қораз,ಹುಂಜ
173,Gans::N,қаз,ವರಟೆ
174,Adler::N,бүркіт,ಗರುಡ
175,Ente::N,үйрек,ಬಾತು
176,Eule::N,жапалақ,ಗೂಬೆ
177,Kranich::N,тырна,ಕೊಕ್ಕರ
178,Krähe::N,қарға,ಕಾಗೆ
179,Kuckuck::N,көкек,ಕೋಗಿಲೆ
180,Schwan::N,аққу,ಹಂಸಪಕ್ಷಿ
181,Fisch::N,балық,ಮೀನು
182,Barsch::N,алабұға,ಪರ್ಚ್ ಮೀನು
183,Hecht::N,шортан,ಪೈಕ್ ಮೀನು
184,Schlange[Tier]::N,жылан,ಹಾವು
185,Wurm::N,шұбалшаң,ಹುಳು
186,Spinne::N,өрмекші,ಊರ್ಣನಾಭ
187,Ameise::N,қүмырска,ಇರುವೆ
188,Laus::N,бит,ಹೇನು
189,Mücke::N,маса,ಸೊಳ್ಳೆ
190,Fliege::N,шыбын,ನೊಣ
191,Schmetterling::N,көбелек,ಪತಂಗ
192,Beere::N,жидек,ನಯವಣ್ಣು
193,Apfel::N,алма,ಸೇಬು
194,Pilz::N,қозықұйрық,ಅಣಬೆ
195,Pilz::N,саңыраукулақ,ಅಣಬೆ
196,Zwiebel::N,жуа,ನೀರುಳ್ಳಿ
197,Saat::N,тұқым,ಬಿತ್ತ
198,Korn::N,дән,ಬೀಜ
199,Heu::N,шөп,ಕರಡ
200,Schale::N,қабық,ಹೊಟ್ಟು
201,Schale::N,қабығы,ಹೊಟ್ಟು
202,Grube::N,ор,ಗುಂಡಿ
203,Falle::N,дұзақ,ಬೋನು
204,Falle::N,қақпан,ಬೋನು
205,Schlinge::N,ілмек,ಉರುಲು
206,Spur::N,із,ಜಾಡು
207,Asche::N,күл,ಬೂದಿ
208,Dreck::N,былғаныш,ಹೊಲಸು
209,Eisen::N,темір,ಕಬ್ಬಿಣ
210,Gold::N,алтын,ಚಿನ್ನ
211,Silber::N,күміс,ಬೆಳ್ಳಿ
212,Kohle::N,көмір,ಕಲ್ಲಿದ್ದಲು
213,Glas::N,шыны,ಗಾಜು
214,Lehm::N,балшық,ಜೇಡಿಮಣ್ಣು
215,Sand::N,құм,ಮರಳು
216,Mensch::N,адам,ಪುರುಷ
217,Mann::N,еркек,ಆಳು
218,Mann::N,ер адам,ಆಳು
219,Frau::N,бике,ಹೆಣ್ಣು
220,Frau::N,қатын,ಹೆಣ್ಣು
221,Kind::N,бала,ಮಗು
222,Kind::N,перзент,ಮಗು
223,Junge::N,бала,ಹುಡುಗ
224,Junge::N,ер бала,ಹುಡುಗ
225,Mädchen::N,қыз,ಹುಡುಗಿ
226,Familie::N,жанұя,ಕುಟುಂಬ
227,Großvater::N,ата,ಅಜ್ಜ
228,Großmutter::N,әже,ಅಮ್ಮ
229,Großmutter::N,әжей,ಅಮ್ಮ
230,Eltern::N,ата-аналар,ಹೆತ್ತವರು
231,Vater::N,әке,ತಂದೆ
232,Mutter::N,ана,ಅಮ್ಮ
233,Sohn::N,ұл,ಮಗ 
234,Tochter::N,қызым,ಮಗಳು
235,Bruder::N,бауырым,ತಮ್ಮ
236,Schwester::N,әпке,ತಂಗಿ
237,Onkel::N,көке,ಸೋದರಮಾವ
238,Onkel::N,көке,ದೊಡ್ಡಪ್ಪ
239,Tante::N,тәте,ಚಿಕ್ಕಮ್ಮ
240,Ehemann::N,ер,ಗಂಡ
241,Ehefrau::N,зайып,ಹೆಂಡತಿ
242,Freude::N,қуаныш,ನಲಿವು
243,Freude::N,сүйініш,ನಲಿವು
244,Freude::N,шат-думан,ನಲಿವು
245,Freude::N,қуаныштылық,ನಲಿವು
246,Gelächter::N,күлу,ನಗೆ
247,Glück::N,бақыт,ಆನಂದ
248,Glück::N,бақыттылық,ಆನಂದ
249,Kummer::N,аза,ದುಃಖ
250,Kummer::N,қайғы,ದುಃಖ
251,Kummer::N,қасырет,ದುಃಖ
252,Wunsch::N,мүдде,ಬಯಕೆ
253,Lust::N,тәбет,ಇಷ್ಟ
254,Lust::N,ынтызар,ಇಷ್ಟ
255,Lust::N,құштарлық,ಇಷ್ಟ
256,Geist::N,рух,ಆತ್ಮ
257,Gedanke::N,ой,ಯೋಚನೆ
258,Gedächtnis::N,ес,ಸ್ಮರಣೆ
259,Gedächtnis::N,жады,ಸ್ಮರಣೆ
260,Gedächtnis::N,ақыл-ес,ಸ್ಮರಣೆ
261,Verstand::N,ақыл,ಮನಸ್ಸು
262,Verstand::N,парасат,ಮನಸ್ಸು
263,Sinn::N,мән,ಅರ್ಥ
264,Sinn::N,маныз,ಅರ್ಥ
265,Sinn::N,мағына,ಅರ್ಥ
266,Sinn::N,мән-мағына,ಅರ್ಥ
267,Grund::N,себеп,ಕಾರಣ
268,Wahrheit::N,рас,ಸತ್ಯ
269,Gespräch::N,әңгіме,ಸಂಭಾಷಣೆ
270,Märchen::N,ертеп,ಸುಳ್ಳು ಕಥೆ
271,Märchen::N,ертек,ಸುಳ್ಳು ಕಥೆ
272,Erzählung::N,әңгіме,ಕಥೆ
273,Nachricht::N,хабар,ಸಂದೇಶ
274,Neuigkeit::N,жаңалық,ಸುದ್ದಿ
275,Name::N,ат,ಹೆಸರು
276,Name::N,атау,ಹೆಸರು
277,Rätsel::N,жұмбақ,ಒಗಟು
278,Rede::N,сөз,ಮಾತು
279,Sprache::N,тіл,ಭಾಷೆ
280,Stimme::N,үн,ಧ್ವನಿ
281,Stimme::N,әуен,ಧ್ವನಿ
282,Stimme::N,дауыс,ಧ್ವನಿ
283,Wort::N,сөз,ಮಾತು
284,Zeichen::N,ишара,ಗುರುತು
285,Ruf::N,айғай,ಕೂಗು
286,Lärm::N,айғай-шу,ಸದ್ದು
287,Lärm::N,айғай-ұйғай,ಸದ್ದು
288,Laut::N,дыбыс,ಶಬ್ದ
289,Laut::N,дауыс,ಶಬ್ದ
290,Ton::N,әуен,ನಾದ
291,Lied::N,ән,ಗಾನ
292,Lied::N,жыр,ಗಾನ
293,Lied::N,ән-жыр,ಗಾನ
294,Ruhe::N,тыныштық,ಶಾಂತಿ
295,Leute::N,кісілер,ಮಂದಿ
296,Volk::N,халық,ಜನಾಂಗ
297,Arbeit::N,еңбек,ಕೆಲಸ
298,Gast::N,қонақ,ಅತಿಥಿ
299,Gast::N,мейман,ಅತಿಥಿ
300,Geschenk::N,қадия,ಕಾಣಿಕೆ
301,Spiel::N,ойын,ಆಟ
302,Gesellschaft::N,қауым,ಸಂಗ
303,Gesellschaft::N,жұртшылық,ಸಂಗ
304,Hilfe::N,жэрдем,ಸಹಾಯ
305,Freund::N,дос,ಸ್ನೇಹಿತ
306,Kamerad::N,дос-жар,ಜೊತೆಗಾರ
307,Angelegenheit::N,жұмыс,ವಿಚಾರ
308,Anzahl::N,сан,ಎಣಿಕೆ
309,Anzahl::N,саны,ಎಣಿಕೆ
310,Art::N,түр,ತರ
311,Stück::N,тілім,ತುಂಡು
312,Teil::N,үлес,ಭಾಗ
313,Teil::N,бөлшек,ಭಾಗ
314,Hälfte::N,жарты,ಅರ್ಧ
315,Kreis::N,шеңбер,ವೃತ್ತ
316,Kreuz::N,крест,ಶಿಲುಬೆ
317,Linie::N,сызық,ರೀಖೆ
318,Strich::N,сызық,ಗೀಟು
319,Abstand::N,ара,ಅಂತರ
320,Abstand::N,аралық,ಅಂತರ
321,Entfernung::N,аралық,ದೂರ
322,Gegend::N,өңір,ವಿಸ್ತೀರ್ಣ
323,Platz::N,орны,ಅಂತರ
324,Ort::N,орын,ಸ್ಥಳ
325,Seite::N,жақ,ಪಕ್ಷ
326,Seite::N,бүйір,ಪಕ್ಷ
327,Mitte::N,ортасы,ನಡು
328,Gegenstand::N,зат,ವಸ್ತು
329,Gegenstand::N,нәрсе,ವಸ್ತು
330,Sache::N,бұйым,ವಸ್ತು
331,Rand::N,шет,ಅಂಚು
332,Rand::N,шеті,ಅಂಚು
333,Kante::N,қыр,ಅಂಚು
334,Kante::N,қыры,ಅಂಚು
335,Ecke::N,қыры,ಮೂಲೆ
336,Ecke::N,бұрыш,ಮೂಲೆ
337,Spitze::N,ұшы,ತುದಿ
338,Ende::N,аяқ,ಕೊನೆ
339,Ende::N,соңы,ಕೊನೆ
340,Loch::N,тесік,ತೂತು
341,Winkel::N,мүйіс,ಕೋನ
342,Muster::N,мәнер,ನಮೂನೆ
343,Größe::N,ауқым,ಪ್ರಮಾಣ
344,Größe::N,көлемдік,ಪ್ರಮಾಣ
345,Länge::N,бой,ಉದ್ದ
346,Länge::N,ұзындық,ಉದ್ದ
347,Höhe::N,жоғарылық,ಎತ್ತರ
348,Höhe::N,биіктік,ಎತ್ತರ
349,Gewicht::N,салмақ,ತೂಕ
350,Menge::N,мөлшер,ಮೊತ್ತ
351,Haufen::N,үйме,ರಾಶಿ
352,Haufen::N,үйінді,ರಾಶಿ
353,Reihe::N,сап,ಸಾಲು
354,Boot::N,қайық,ದೋಣಿ
355,Ruder::N,ескек,ಹುಟ್ಟು
356,Schlitten::N,шана,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ
357,Ski::N,шаңғы,ಜಾರುಪಟ್ಟಿ
358,Lagerfeuer::N,алау,ಶಿಬಿರಾಗ್ನಿ
359,Last::N,ауырлық,ಹೊರೆ
360,Last::N,ауыр зат,ಹೊರೆ
361,Gang::N,жүріс,ತಿರುಗಾಟ
362,Schritt::N,адым,ಹೆಜ್ಜೆ
363,Norden::N,солтүстік,ಉತ್ತರ
364,Norden::N,терістік,ಉತ್ತರ
365,Süden::N,оңтүстік,ದಕ್ಷಿಣ
366,Westen::N,батыс,ಪಶ್ಚಿಮ
367,Osten::N,күншығыс,ಮೂಡಲು
368,Holz::N,ағаш,ಚೌಬೀನೆ
369,Holz::N,сүрек,ಚೌಬೀನೆ
370,Brett::N,тақта,ಹಲಗೆ
371,Platte::N,тақта,ಹಲಗೆ
372,Stütze::N,тіреу,ಆಸರೆ
373,Stange::N,қада,ಕಂಬ
374,Stock::N,сойыл,ಕೋಲು
375,Stab::N,сырық,ದೊಣ್ಣೆ
376,Rohr::N,құбыр,ನಳಿಕೆ
377,Haus::N,үй,ಮನೆ
378,Heim::N,үйлі,ಗೃಹ
379,Heim::N,шаңырақ,ಗೃಹ
380,Ofen::N,ошақ,ಒಲೆ
381,Ofen::N,пеш,ಒಲೆ
382,Fußboden::N,еден,ನೆಲ
383,Tisch::N,үстел,ಮೇಜು
384,Stuhl::N,орындық,ಕುರ್ಚಿ
385,Wiege::N,бесік,ತೊಟ್ಟಿಲು
386,Bett::N,кереует,ಹಾಸಿಗೆ
387,Regal::N,сөре,ಬೀರು
388,Kiste::N,жәшік,ಪಟ್ಟಿಗೆ
389,Fenster::N,терезе,ಕಿಟಕಿ
390,Tür::N,есік,ಬಾಗಿಲು
391,Tor::N,дарбаза,ಹೆಬ್ಬಾಗಿಲು
392,Zaun::N,дуал,ಬೇಲಿ
393,Dach::N,шатыр,ಮಾಳಿಗೆ
394,Leiter::N,саты,ಏಣಿ
395,Leiter::N,басқыш,ಏಣಿ
396,Besen::N,сыпырғыш,ಪೊರಕೆ
397,Spaten::N,күрек,ಗುದ್ದಲಿ
398,Schaufel::N,қалақ,ಸನಿಕೆ
399,Gabel::N,аша,ಕವಲು
400,Gabel::N,шанышқы,ಕವಲು
401,Löffel::N,қасық,ಚಮಚ
402,Messer::N,пышақ,ಚಾಕು
403,Nagel::N,мық,ಆಣಿ
404,Nagel::N,шеге,ಆಣಿ
405,Netz::N,керегекөз,ಬಲೆ
406,Haken::N,ілмек,ಕೊಂಡಿ
407,Griff::N,сап,ಹಿಡಿ
408,Griff::N,тұтқа,ಹಿಡಿ
409,Schloss::N,құлып,ವೀಗ
410,Schloss::N,бекіткіш,ವೀಗ
411,Bild::N,сурет,ಚಿತ್ರ
412,Figur::N,тұлға,ಆಕಾರ
413,Puppe::N,қуыршақ,ಗೊಂಬೆ
414,Beutel::N,қапшық,ಸಂಚಿ
415,Bündel::N,байлам,ಕಟ್ಟು
416,Tasche::N,дорба,ಚೀಲ
417,Eimer::N,шелек,ಬಾನೆ
418,Deckel::N,жапқыш,ಮುಚ್ಚಳ
419,Geschirr::N,ыдыс,ಭಕ್ಷ್ಯಗಳು
420,Sack::N,қап,ಮೂಟೆ
421,Tasse::N,шыныаяқ,ಬಟ್ಟಲು
422,Topf::N,кәстрөл,ಮಡಕೆ
423,Kessel::N,қазан,ಕೆಟಲ್
424,Essen::N,ас,ಊಟ
425,Nahrung::N,ас,ಆಹಾರ
426,Nahrung::N,тамақ,ಆಹಾರ
427,Speise::N,тағам,ಊಟ
428,Fleisch::N,ет,ಮಾಂಸ
429,Getreide::N,дәнді,ಧಾನ್ಯ
430,Brei::N,ботқа,ಗಂಜಿ
431,Brot::N,күлше,ರೊಟ್ಟಿ
432,Scheibe::N,тілім,ಹೋಳು
433,Fett::N,май,ಕೊಬ್ಬು
434,Butter::N,май,ಬೆಣ್ಣೆ
435,Öl::N,май,ಎಣ್ಣೆ
436,Salz::N,тұз,ಉಪ್ಪು
437,Suppe::N,көже,ಎಸರು
438,Honig::N,бал,ಮಧು
439,Milch::N,сүт,ಹಾಲು
440,Tee::N,шай,ಚಹ
441,Leder::N,көн,ಚಕ್ಕಳ
442,Wolle::N,жүн,ಉಣ್ಣೆ
443,Stoff::N,мата,ಬಟ್ಟೆ
444,Stoff::N,кездеме,ಬಟ್ಟೆ
445,Nadel::N,ине,ಸೂಜಿ
446,Faden::N,жіп,ದಾರ
447,Knopf::N,түйме,ಗುಂಡು
448,Knoten::N,түйін,ಗಂಟು
449,Farbe::N,рең,ಬಣ್ಣ
450,Kleidung::N,киім,ಅರಿವೆ
451,Hemd::N,жейде,ಅಂಗಿ
452,Kragen::N,жаға,ಕುತ್ತಿಗೆಪಟ್ಟಿ
453,Ärmel::N,жең,ತೋಳು
454,Hose::N,шалбар,ಇಜಾರ
455,Gürtel::N,белбеу,ಬೆಲ್ಟು
456,Mütze::N,қалпақ,ಟೋಪಿ
457,Schuh::N,кебіс,ಪಾದರಕ್ಷೆ
458,Stiefel::N,етік,ಬೂಟು
459,Ring::N,жүзік,ಉಂಗುರ
460,Band::N,таспа,ರಿಬ್ಬನ್
461,Kamm::N,тарақ,ಹಣಿಗೆ
462,Spiegel::N,айна,ಕನ್ನಡಿ
463,Riemen::N,қайыс,ಬಾರು
464,Schnur::N,жіп,ಹುರಿ
465,Leine::N,тізгін,ಹಗ್ಗ
466,Decke::N,көрпе,ಕಂಬಳಿ
467,Kissen::N,жастық,ದಿಂಬು
468,Tuch::N,орамал,ಕೊರಳ ಬಟ್ಟೆ
469,Handtuch::N,сүлгі,ಚೌಕ
470,Kraft::N,қуат,ಬಲ
471,Kraft::N,қарқын,ಬಲ
472,Kraft::N,әл-шама,ಬಲ
473,Kraft::N,әл-дәрмен,ಬಲ
474,Stärke::N,әл,ಶಕ್ತಿ
475,Stärke::N,күш,ಶಕ್ತಿ
476,Gesundheit::N,денсаулык,ಆರೋಗ್ಯ
477,Krankheit::N,ауру,ರೋಗ
478,Schmerz::N,ауру,ನೋವು
479,Wunde::N,зақым,ಗಾಯ
480,Wunde::N,жарақат,ಗಾಯ
481,Fieber::N,безгек,ಜ್ವರ
482,Fieber::N,қалтырау,ಜ್ವರ
483,Fieber::N,қызу көтерілуі,ಜ್ವರ
484,Arznei::N,дәрі,ಔಷಧ
485,Arznei::N,дәрі-дәрмек,ಔಷಧ
486,Brücke::N,көпір,ಸೇತುವೆ
487,Brunnen::N,құдық,ಬಾವಿ
488,Weide::N,өріс,ಗೋಮಾಳ
489,Weide::N,жайылым,ಗೋಮಾಳ
490,Pfad::N,жол,ದಾರಿ
491,Weg::N,жол,ಹಾದಿ
492,Straße::N,жол,ರಸ್ತೆ
493,Dorf::N,ауыл,ಹಳ್ಳಿ
494,Stadt::N,қала,ಪಟ್ಟಣ
495,Stadt::N,шаһар,ಪಟ್ಟಣ
496,Brief::N,хат,ಕಾಗದ
497,Brief::N,жазу,ಕಾಗದ
498,Buch::N,кітап,ಪುಸ್ತಕ
499,Buchstabe::N,әріп,ಅಕ್ಷರ
500,Buchstabe::N,қаріп,ಅಕ್ಷರ
501,Zeitung::N,газет,ವಾರ್ತಾಪತ್ರಿಕೆ
502,Leben::N,өмір,ಜೀವನ
503,Leben::N,тіршілік,ಜೀವನ
504,Tod::N,опат,ಮರಣ
505,Grab::N,мола,ಗೋರಿ
506,Grab::N,мазар,ಗೋರಿ
507,Kirche::N,шіркеу,ಚರ್ಚು
508,Sünde::N,күнә,ಪಾಪ
509,Gott::N,алла,ದೇವರು
510,Gott::N,құдай,ದೇವರು
511,Gott::N,тәңірі,ದೇವರು
512,Gott::N,пәруардігер,ದೇವರು
513,Gott::N,жаратқан тәңірі,ದೇವರು
514,Arbeiter::N,жүмысшы,ಕೆಲಸಗಾರ
515,Chef::N,басшы,ದಣಿ
516,Chef::N,жұмыс басқарушысы,ದಣಿ
517,Meister::N,шебер,ಶಿಕ್ಷಕ
518,Meister::N,өнерпаз,ಶಿಕ್ಷಕ
519,Arzt::N,дәрігер,ವೈದ್ಯ
520,Lehrer::N,мұғалім,ಉಪಾಧ್ಯಾಯ
521,Geld::N,пұл,ಹಣ
522,Geschäft::N,бизнес,ವಾಣಿಜ್ಯ
523,Laden::N,дүкен,ಅಂಗಡಿ
524,Preis::N,ақы,ಬೆಲೆ
525,Preis::N,құны,ಬೆಲೆ
526,Preis::N,нарық,ಬೆಲೆ
527,Ware::N,тауар,ಸರಕು
528,Nutzen::N,пайда,ಲಾಭ
529,Reichtum::N,бақ-дәулет,ಸಂಪತ್ತು
530,Welt::N,әлем,ಭೂಲೋಕ
531,Welt::N,жиһан,ಭೂಲೋಕ
532,Land::N,аймақ,ದೇಶ
533,Staat::N,мемлекет,ರಾಜ್ಯ
534,König::N,патша,ರಾಜ
535,Macht::N,өкімет,ಅಧಿಕಾರ
536,Macht::N,қожалық,ಅಧಿಕಾರ
537,Grenze::N,шек,ಗಡಿ
538,Krieg::N,соғыс,ಯುದ್ಧ
539,Feind::N,жау,ಶತ್ರು
540,Feind::N,дұшпан,ಶತ್ರು
541,Gewalt::N,зорлык,ಹಿಂಸೆ
542,Gewalt::N,зорлық-зомбылык,ಹಿಂಸೆ
543,Kampf::N,күрес,ಹೋರಾಟ
544,Kampf::N,алыспақ,ಹೋರಾಟ
545,Bogen[Waffe]::N,саржа,ಬಿಲ್ಲು
546,Pfeil::N,жебе,ಅಂಬು
547,Gewehr::N,қару,ಬಂದೂಕು
548,Fehler::N,әбес,ತಪ್ಪು
549,Fehler::N,қаталық,ತಪ್ಪು
550,Lüge::N,өтірік,ಸುಳ್ಳು
551,Schaden::N,зиян,ಹಾನಿ
552,Schaden::N,зарар,ಹಾನಿ
553,Unglück::N,пәле,ಅಪಾಯ
554,Unglück::N,қасырет,ಅಪಾಯ
555,Unglück::N,ауыртпалық,ಅಪಾಯ
556,Schuld::N,айыптылық,ದೋಷ
557,Alter::N,жас,ಮುಪ್ಪು
558,Alter::N,жас шамасы,ಮುಪ್ಪು
559,Schluss::N,ада,ಮುಕ್ತಾಯ
560,Schluss::N,бітуі,ಮುಕ್ತಾಯ
561,Zeit::N,уақыт,ಕಾಲ
562,Tag::N,күн,ದಿನ
563,Morgen::N,таң,ಮುಂಜಾನೆ
564,Morgen::N,таңертең,ಮುಂಜಾನೆ
