,Concept_ID,sq,ar
75,Stein::N,gur,حجر
76,Boden::N,tokë,تراب
77,Boden::N,truall,تراب
78,Erde::N,dhe,أرض
79,Erde::N,baltë,أرض
80,Staub::N,pluhur,غبار
81,Rauch::N,tym,دخان
82,Funke::N,xixë,شرارة
83,Funke::N,shkëndijë,شرارة
84,Feuer::N,zjarr,نار
85,Licht::N,dritë,نور
86,Licht::N,dritë,ضوء
87,Schatten::N,hije,ظل
88,Schatten::N,hije,فيء
89,Wetter::N,mot,جو
90,Wetter::N,mot,طقس
91,Nebel::N,mjegull,ضباب
92,Wolke::N,re,غيمة
93,Wolke::N,re,سحابة
94,Regen::N,shi,مطر
95,Schnee::N,borë,ثلج
96,Eis::N,akull,جليد
97,Frost::N,ngricë,صقيع
98,Kälte::N,të ftohtë,برد
99,Hitze::N,vapë,حر
100,Hitze::N,vapë,حرارة
101,Hitze::N,nxehtësi,حر
102,Hitze::N,nxehtësi,حرارة
103,Raureif::N,cikmë,صقيع
104,Regenbogen::N,ylber,قوس قزح
105,Donner::N,gjëmim,رعد
106,Donner::N,bubullimë,رعد
107,Strömung::N,rrymë,تيار
108,Tropfen::N,pikë,قطرة
109,Schaum::N,shkumë,زبد
110,Schaum::N,shkumë,رغوة
111,Schmutz::N,baltë,وسخ
112,See::N,liqen,بحيرة
113,Sumpf::N,batak,مستنقع
114,Moor::N,kënetë,مستنقع
115,Wiese::N,livadh,مرج
116,Wald::N,pyll,غابة
117,Hügel::N,kodër,تل
118,Anhöhe::N,bregore,تل
119,Berg::N,mal,جبل
120,Gipfel::N,kulm,قمة
121,Höhle::N,shpellë,كهف
122,Höhle::N,zgafelle,كهف
123,Abhang::N,shpat,منحدر
124,Abhang::N,tatëpjetë,منحدر
125,Quelle::N,krua,منبع
126,Quelle::N,burim,منبع
127,Bach::N,virua,مجرى
128,Fluss::N,lumë,نهر
129,Ufer::N,breg,ضفة
130,Küste::N,anëdet,ساحل
131,Küste::N,bregdet,ساحل
132,Festland::N,kontinent,بر
133,Meer::N,det,بحر
134,Bucht::N,gji deti,خليج
135,Insel::N,ishull,جزيرة
136,Insel::N,ujdhesë,جزيرة
137,Blume::N,lule,زهرة
138,Gras::N,bar,حشيش
139,Wurzel::N,rrënjë,أصل
140,Baum::N,pemë,شجرة
141,Stamm::N,trung,جذع
142,Rinde::N,lëvore,قشرة
143,Ast::N,degë,فرع
144,Zweig::N,bisk,غصن
145,Blatt::N,fletë,ورقة
146,Blatt::N,gjethe,ورقة
147,Birke::N,mështekën,قضبان
148,Kiefer[Baum]::N,pishë,صنوبرة
149,Weide[Baum]::N,shelg,صفصاف
150,Tanne::N,bredh,شوح
151,Tanne::N,bredh,تبوب
152,Horn::N,bri,قرن
153,Feder::N,pupël,ريشة
154,Fell::N,lëkurë,فرو
155,Flügel::N,krah,جناح
156,Flügel::N,fletë,جناح
157,Klaue::N,kthetër,مخلب
158,Kralle::N,thua,مخلب
159,Kralle::N,kthetër,مخلب
160,Schwanz::N,bisht,ذيل
161,Ei::N,vezë,بيض
162,Nest::N,fole,عش
163,Bau::N,strofkë,جحر
164,Tier::N,kafshë,حيوان
165,Herde::N,kope,قطيع
166,Herde::N,grigjë,قطيع
167,Kuh::N,lopë,بقرة
168,Bulle::N,dem,ثور
169,Pferd::N,kalë,خيل
170,Schaf::N,dele,شاة
171,Schwein::N,derr,خنزير
172,Hund::N,qen,كلب
173,Katze::N,mace,قطة
174,Bär::N,ari,دب
175,Eichhörnchen::N,ketër,سنجاب
176,Elch::N,dre brilopatë,موظ
177,Fuchs::N,dhelpër,ثعلب
178,Hase::N,lepur,أرنب
179,Maus::N,mi,فأرة
180,Wolf::N,ujk,ذئب
181,Vogel::N,zog,طير
182,Vogel::N,shpend,طير
183,Schwarm::N,luzmë,سرب
184,Huhn::N,pulë,دجاجة
185,Hahn::N,gjel,ديك
186,Hahn::N,këndes,ديك
187,Gans::N,patë,وزة
188,Adler::N,shqiponjë,نسر
189,Ente::N,rosë,بطة
190,Eule::N,buf,بوم
191,Kranich::N,lejlek,كركي
192,Kranich::N,kurrillë,كركي
193,Krähe::N,sorrë,غراب
194,Kuckuck::N,qyqe,وقواق
195,Schwan::N,mjellmë,إوز عراقي
196,Fisch::N,peshk,سمك
197,Barsch::N,purtekë,فرخ أوربي
198,Hecht::N,mlysh,سمك الكراكي
199,Schlange[Tier]::N,gjarpër,حية
200,Schlange[Tier]::N,gjarpër,ثعبان
201,Wurm::N,krimb,دودة
202,Spinne::N,marimangë,عنكبوت
203,Ameise::N,thnegël,نملة
204,Ameise::N,milingonë,نملة
205,Laus::N,morr,قملة
206,Mücke::N,kunup,ناموسة
207,Mücke::N,mushkonjë,ناموسة
208,Fliege::N,mizë,ذبابة
209,Schmetterling::N,flutur,فراشة
210,Beere::N,frutë,حبة
211,Beere::N,manaferrë,حبة
212,Apfel::N,mollë,تفاح
213,Pilz::N,kërpudhë,فطر
214,Zwiebel::N,qepë,بصل
215,Saat::N,farë,زرع
216,Korn::N,grurë,حبة
217,Korn::N,kokërr,حبة
218,Heu::N,sanë,دريس
219,Schale::N,lëkurë,قشرة
220,Grube::N,gropë,نقرة
221,Falle::N,kurth,فخ
222,Falle::N,kurth,مصيدة
223,Falle::N,grackë,فخ
224,Falle::N,grackë,مصيدة
225,Schlinge::N,nyjë,عروة
226,Spur::N,gjurmë,أثر
227,Asche::N,hi,رماد
228,Dreck::N,baltë,قذر
229,Eisen::N,hekur,حديد
230,Gold::N,ar,ذهب
231,Gold::N,flori,ذهب
232,Silber::N,argjend,فضة
233,Kohle::N,qymyr,فحم
234,Glas::N,qelq,زجاج
235,Lehm::N,argjilë,طين
236,Sand::N,rërë,رمل
237,Mensch::N,njeri,إنسان
238,Mann::N,burrë,رجل
239,Mann::N,mashkull,رجل
240,Frau::N,grua,امرأة
241,Frau::N,femër,امرأة
242,Kind::N,kalama,طفل
243,Junge::N,djalë,ولد
244,Mädchen::N,gocë,بنت
245,Mädchen::N,vajzë,بنت
246,Familie::N,familje,عائلة
247,Großvater::N,gjysh,جد
248,Großmutter::N,gjyshe,جدة
249,Eltern::N,prindër,أبوان
250,Eltern::N,prindër,والدان
251,Vater::N,atë,أب
252,Mutter::N,nënë,أم
253,Sohn::N,bir,إبن
254,Tochter::N,bijë,بنت
255,Tochter::N,bijë,إبنة
256,Bruder::N,vëlla,أخ
257,Bruder::N,vëlla,شقيق
258,Schwester::N,motër,أخت
259,Onkel::N,dajë,عم
260,Onkel::N,xhaxha,عم
261,Tante::N,teze,عمة
262,Tante::N,hallë,عمة
263,Ehemann::N,burrë,زوج
264,Ehemann::N,bashkëshort,زوج
265,Ehefrau::N,grua,زوجة
266,Ehefrau::N,bashkëshorte,زوجة
267,Freude::N,gaz,فرح
268,Freude::N,gaz,سرور
269,Freude::N,gëzim,فرح
270,Freude::N,gëzim,سرور
271,Gelächter::N,qeshje,قهقهة
272,Glück::N,lumturi,سعادة
273,Kummer::N,brengë,غم
274,Kummer::N,pikëllim,غم
275,Wunsch::N,dëshirë,منية
276,Lust::N,epsh,شهوة
277,Lust::N,dashuri,شهوة
278,Geist::N,frymë,روح
279,Geist::N,shpirt,روح
280,Gedanke::N,ide,فكرة
281,Gedanke::N,mendim,فكرة
282,Gedächtnis::N,kujtesë,ذاكرة
283,Verstand::N,mend,عقل
284,Sinn::N,kuptim,معنى
285,Grund::N,arsye,سبب
286,Wahrheit::N,vërtetë,حقيقة
287,Gespräch::N,bisedim,محادثة
288,Märchen::N,përrallë,خرافة
289,Erzählung::N,tregim,قصة
290,Erzählung::N,tregim,حكاية
291,Nachricht::N,lajm,خبر
292,Neuigkeit::N,risi,خبر جديد
293,Name::N,emër,اسم
294,Rätsel::N,gjëzë,لغز
295,Rätsel::N,gjëegjëzë,لغز
296,Rede::N,fjalim,خطبة
297,Sprache::N,gjuhë,لغة
298,Stimme::N,zë,صوت
299,Wort::N,fjalë,كلمة
300,Zeichen::N,shenjë,رمز
301,Zeichen::N,shenjë,إشارة
302,Ruf::N,thirrmë,نداء
303,Lärm::N,zhurmë,صخب
304,Lärm::N,zhurmë,ضجة
305,Laut::N,tingull,صوت
306,Ton::N,ton,نغمة
307,Lied::N,këngë,أغنية
308,Ruhe::N,qetësi,هدوء
309,Leute::N,botë,ناس
310,Leute::N,njerëz,ناس
311,Volk::N,popull,شعب
312,Arbeit::N,punë,عمل
313,Gast::N,mik,ضيف
314,Gast::N,mysafir,ضيف
315,Geschenk::N,dhuratë,هدية
316,Geschenk::N,peshqesh,هدية
317,Spiel::N,lojë,لعب
318,Gesellschaft::N,shoqëri,صحبة
319,Hilfe::N,ndihmë,عون
320,Hilfe::N,ndihmë,مساعدة
321,Freund::N,mik,صديق
322,Kamerad::N,shok,زميل
323,Angelegenheit::N,punë,أمر
324,Angelegenheit::N,punë,شأن
325,Anzahl::N,sasi,عدد
326,Art::N,lloj,نوع
327,Stück::N,copë,قطعة
328,Teil::N,pjesë,قسم
329,Hälfte::N,gjysmë,نصف
330,Kreis::N,qark,دائرة
331,Kreis::N,rreth,دائرة
332,Kreuz::N,kryq,صليب
333,Linie::N,vijë,خط
334,Strich::N,vizë,شرطة
335,Abstand::N,distancë,مسافة
336,Entfernung::N,largim,بعد
337,Gegend::N,vise,ناحية
338,Gegend::N,krahinë,ناحية
339,Platz::N,shesh,فراغ
340,Ort::N,vend,مكان
341,Seite::N,anë,جانب
342,Mitte::N,mes,وسط
343,Gegenstand::N,send,موضوع
344,Sache::N,gjë,شيء
345,Sache::N,send,شيء
346,Rand::N,qoshe,حافة
347,Kante::N,teh,حافة
348,Ecke::N,qoshe,ركن
349,Spitze::N,majë,سن
350,Ende::N,skaj,طرف
351,Ende::N,bisht,طرف
352,Loch::N,vrimë,ثقب
353,Winkel::N,kënd,زاوية
354,Muster::N,mostër,عينة
355,Größe::N,madhësi,حجم
356,Länge::N,gjatësi,طول
357,Höhe::N,lartësi,علو
358,Höhe::N,lartësi,ارتفاع
359,Gewicht::N,peshë,وزن
360,Menge::N,sasi,كمية
361,Haufen::N,grumbull,كوم
362,Reihe::N,radhë,صف
363,Reihe::N,rresht,صف
364,Boot::N,barkë,قارب
365,Boot::N,barkë,زورق
366,Boot::N,lundër,قارب
367,Boot::N,lundër,زورق
368,Ruder::N,rrem,مجذاف
369,Schlitten::N,sajë,مزلقة
370,Ski::N,ski,زلاجة
371,Lagerfeuer::N,flakadan,نار المخيم
372,Lagerfeuer::N,zjarr i madh,نار المخيم
373,Last::N,barrë,حمل
374,Gang::N,ecje,مشية
375,Schritt::N,hap,خطوة
376,Norden::N,veri,شمال
377,Süden::N,jug,جنوب
378,Westen::N,perëndim,غرب
379,Osten::N,lindje,شرق
380,Holz::N,dru,خشب
381,Brett::N,dërrasë,لوح
382,Platte::N,pllakë,صفيحة
383,Stütze::N,shtyllë,سند
384,Stütze::N,shtyllë,دعامة
385,Stütze::N,mbështetesë,سند
386,Stütze::N,mbështetesë,دعامة
387,Stange::N,shufër,عود
388,Stock::N,dajak,عصا
389,Stab::N,shkop,قضيب
390,Rohr::N,tub,أنبوبة
391,Haus::N,shtëpi,دار
392,Haus::N,shtëpi,بيت
393,Heim::N,konak,بيت
394,Heim::N,konak,مسكن
395,Heim::N,shtëpi,بيت
396,Heim::N,shtëpi,مسكن
397,Ofen::N,sobë,مدفأة
398,Ofen::N,stufë,مدفأة
399,Fußboden::N,dysheme,أرضية
400,Tisch::N,tryezë,مائدة
401,Stuhl::N,karrige,كرسي
402,Wiege::N,djep,مهد
403,Bett::N,shtrat,سرير
404,Regal::N,raft,رف
405,Kiste::N,kuti,صندوق
406,Fenster::N,dritare,شباك
407,Fenster::N,dritare,نافذة
408,Tür::N,derë,باب
409,Tor::N,portë,بوابة
410,Zaun::N,gardh,سياج
411,Dach::N,çati,سطح
412,Leiter::N,shkallë,سلم
413,Besen::N,fshesë,مكنسة
414,Spaten::N,lopatë,مسحاة
415,Schaufel::N,qyrek,مجرفة
416,Gabel::N,pirun,شوكة
417,Löffel::N,lugë,ملعقة
418,Messer::N,thikë,سكين
419,Nagel::N,gozhdë,مسمار
420,Netz::N,rrjetë,شبكة
421,Haken::N,grep,خطاف
422,Haken::N,grep,صنارة
423,Haken::N,grremç,خطاف
424,Haken::N,grremç,صنارة
425,Griff::N,dorak,قبضة
426,Griff::N,dorezë,قبضة
427,Schloss::N,bravë,قفل
428,Bild::N,tablo,صورة
429,Bild::N,pikturë,صورة
430,Figur::N,figurë,تمثال
431,Puppe::N,kukull,دمية
432,Beutel::N,qese,كيس
433,Beutel::N,trastë,كيس
434,Bündel::N,deng,ربطة
435,Tasche::N,çantë,شنطة
436,Tasche::N,çantë,محفظة
437,Eimer::N,kovë,سطل
438,Eimer::N,kovë,جردل
439,Deckel::N,kapak,سداد
440,Deckel::N,mbulesë,سداد
441,Geschirr::N,enë,أوان
442,Sack::N,thes,زكيبة
443,Sack::N,torbë,زكيبة
444,Tasse::N,filxhan,فنجان
445,Topf::N,kusi,قدر
446,Topf::N,kusi,طنجرة
447,Topf::N,tenxhere,قدر
448,Topf::N,tenxhere,طنجرة
449,Kessel::N,kazan,قدر
450,Kessel::N,kazan,غلاية
451,Essen::N,ngrënie,طعام
452,Nahrung::N,ushqim,غذاء
453,Speise::N,gatesë,أكل
454,Fleisch::N,mish,لحم
455,Getreide::N,drithë,حبوب
456,Brei::N,qull,عصيدة
457,Brot::N,bukë,خبز
458,Scheibe::N,fetë,شريحة
459,Fett::N,lyrë,سمن
460,Fett::N,yndyrë,سمن
461,Butter::N,gjalpë,زبدة
462,Öl::N,vaj,زيت
463,Salz::N,kripë,ملح
464,Suppe::N,supë,حساء
465,Suppe::N,supë,شربة
466,Suppe::N,çorbë,حساء
467,Suppe::N,çorbë,شربة
468,Honig::N,mjaltë,عسل
469,Milch::N,qumësht,حليب
470,Tee::N,çaj,شاي
471,Leder::N,lëkurë,جلد
472,Wolle::N,lesh,صوف
473,Stoff::N,pëlhurë,قماش
474,Nadel::N,gjilpërë,إبرة
475,Faden::N,pe,خيط
476,Faden::N,fije,خيط
477,Knopf::N,kopsë,زر
478,Knoten::N,komb,عقدة
479,Farbe::N,bojë,صبغة
480,Kleidung::N,veshje,ملابس
481,Hemd::N,këmishë,قميص
482,Kragen::N,jakë,ياقة
483,Ärmel::N,mëngë,كم
484,Hose::N,brekë,سروال
485,Hose::N,brekë,بنطلون
486,Gürtel::N,rrip,حزام
487,Mütze::N,kësulë,طاقية
488,Schuh::N,këpucë,حذاء
489,Stiefel::N,çizme,جزمة
490,Stiefel::N,çizme,حذاء طويل
491,Ring::N,unazë,حلقة
492,Band::N,shirit,شريط
493,Kamm::N,krehër,مشط
494,Spiegel::N,pasqyrë,مرآة
495,Riemen::N,rrip,سير
496,Schnur::N,litar,حبل
497,Schnur::N,litar,دوبارة
498,Schnur::N,cikomë,حبل
499,Schnur::N,cikomë,دوبارة
500,Leine::N,rrip,قيد
501,Decke::N,batanije,بطانية
502,Kissen::N,jastëk,وسادة
503,Tuch::N,shami,منديل
504,Handtuch::N,peshqir,فوطة
505,Handtuch::N,peshqir,منشفة
506,Kraft::N,forcë,قدرة
507,Stärke::N,koll,قوة
508,Gesundheit::N,shëndet,صحة
509,Krankheit::N,sëmundje,مرض
510,Schmerz::N,dhimbje,ألم
511,Schmerz::N,dhimbje,وجع
512,Wunde::N,plagë,جرح
513,Fieber::N,ethe,حمى
514,Arznei::N,ilaç,دواء
515,Brücke::N,urë,جسر
516,Brunnen::N,pus,بئر
517,Weide::N,kullotë,مرعى
518,Pfad::N,ravë,درب
519,Pfad::N,shteg,درب
520,Weg::N,udhë,سكة
521,Weg::N,shteg,سكة
522,Straße::N,rrugë,طريق
523,Dorf::N,fshat,قرية
524,Dorf::N,katund,قرية
525,Stadt::N,qytet,مدينة
526,Brief::N,letër,خطاب
527,Brief::N,letër,مكتوب
528,Buch::N,libër,كتاب
529,Buchstabe::N,shkronjë,حرف
530,Zeitung::N,gazetë,جريدة
531,Leben::N,jetë,عيش
532,Leben::N,jetë,حياة
533,Tod::N,mortje,موت
534,Tod::N,mortje,وفاة
535,Grab::N,varr,قبر
536,Kirche::N,kishë,كنيسة
537,Sünde::N,mëkat,خطيئة
538,Sünde::N,gjynah,خطيئة
539,Gott::N,hy,إله
540,Gott::N,zot,إله
541,Arbeiter::N,punëtor,عامل
542,Chef::N,shef,رئيس
543,Chef::N,drejtues,رئيس
544,Meister::N,mjeshtër,أسطى
545,Arzt::N,mjek,طبيب
546,Arzt::N,doktor,طبيب
547,Lehrer::N,mësues,مدرس
548,Lehrer::N,arsimtar,مدرس
549,Geld::N,para,نقود
550,Geld::N,holla,نقود
551,Geschäft::N,ujdi,صفقة
552,Geschäft::N,biznes,صفقة
553,Laden::N,dyqan,دكان
554,Preis::N,çmim,سعر
555,Ware::N,mall,بضاعة
556,Nutzen::N,dobi,فائدة
557,Nutzen::N,leverdi,فائدة
558,Reichtum::N,kamje,غنى
559,Reichtum::N,kamje,ثروة
560,Reichtum::N,pasuri,غنى
561,Reichtum::N,pasuri,ثروة
562,Welt::N,botë,عالم
563,Welt::N,botë,دنيا
564,Land::N,vend,بلد
565,Staat::N,shtet,دولة
566,König::N,mbret,ملك
567,Macht::N,fuqi,سلطة
568,Macht::N,pushtet,سلطة
569,Grenze::N,kufi,حدود
570,Krieg::N,luftë,حرب
571,Feind::N,armik,عدو
572,Gewalt::N,dhunë,عنف
573,Kampf::N,luftim,قتال
574,Bogen[Waffe]::N,hark,قوس
575,Pfeil::N,shigjetë,سهم
576,Gewehr::N,pushkë,بندقية
577,Fehler::N,gafë,خطأ
578,Fehler::N,gabim,خطأ
579,Lüge::N,gënjeshtër,كذب
580,Schaden::N,dëm,تلف
581,Schaden::N,zarar,تلف
582,Unglück::N,fatkeqësi,نحس
583,Schuld::N,faj,ذنب
584,Alter::N,moshë,سن
585,Alter::N,moshë,عمر
586,Schluss::N,fund,ختام
587,Schluss::N,fund,نهاية
588,Zeit::N,kohë,وقت
589,Tag::N,ditë,يوم
590,Morgen::N,mëngjes,صباح
591,Mittag::N,mesditë,ظهر
592,Abend::N,mbrëmje,مساء
593,Nacht::N,natë,ليلة
594,Woche::N,javë,أسبوع
595,Monat::N,muaj,شهر
596,Jahr::N,vit,عام
597,Jahr::N,vit,سنة
598,Frühling::N,pranverë,ربيع
599,Sommer::N,verë,صيف
600,Herbst::N,vjeshtë,خريف
601,Winter::N,dimër,شتاء
602,Januar::N,janar,يناير
603,Januar::N,janar,كانون الثاني
604,Februar::N,shkurt,شباط
605,Februar::N,shkurt,فبراير
606,März::N,mars,آذار
607,März::N,mars,مارس
608,April::N,prill,نيسان
609,Mai::N,maj,مايو
610,Juni::N,qershor,يونيو
611,Juni::N,qershor,حزيران
612,Juli::N,korrik,تموز
613,Juli::N,korrik,يوليو
614,August::N,gusht,آب
615,August::N,gusht,أغسطس
616,September::N,shtator,أيلول
617,September::N,shtator,سبتمبر
618,Oktober::N,tetor,أكتوبر
619,Oktober::N,tetor,تشرين الأول
620,November::N,nëntor,نوفمبر
621,November::N,nëntor,تشرين الثاني
622,Dezember::N,dhjetor,ديسمبر
623,Dezember::N,dhjetor,كانون الأول
624,Montag::N,hënë,يوم الاثنين
625,Dienstag::N,martë,يوم الثلاثاء
626,Mittwoch::N,mërkurë,يوم الأربعاء
627,Donnerstag::N,enjte,يوم الخميس
628,Freitag::N,premte,يوم الجمعة
629,Samstag::N,shtunë,يوم السبت
630,Sonntag::N,diel,يوم الأحد
631,groß::A,madh,كبير
632,klein::A,vogël,صغير
633,lang::A,gjatë,طويل
634,kurz::A,shkurtër,قصير
635,breit::A,gjerë,واسع
636,schmal::A,ngushtë,ضيق
637,dicht::A,dendur,كث
638,dicht::A,dendur,كثيف
639,dick[Gegenstand]::A,trashë,غليظ
640,dünn::A,hollë,رفيع
641,fein::A,imët,رقيق
642,fest::A,fortë,متين
643,flach::A,sheshtë,سهل
644,flach::A,sheshtë,منبسط
645,glatt::A,rrafshët,ناعم
646,hart::A,fortë,صلب
647,hart::A,fortë,جامد
648,weich::A,butë,لين
649,rund::A,rrumbullakët,مستدير
650,spitz::A,majëmprehtë,مدبب
651,scharf::A,mprehtë,حاد
652,stumpf::A,topitur,ثالم
653,schwer::A,rëndë,ثقيل
654,schön::A,bukur,جميل
655,heiß::A,nxehtë,حار
656,heiß::A,nxehtë,ساخن
657,warm::A,ngrohtë,دافئ
658,kalt::A,ftohtë,بارد
659,kühl::A,freskët,قر
660,frisch::A,pastër,طازج
661,feucht::A,lagësht,رطب
662,nass::A,lagur,مبلول
663,trocken::A,thatë,جاف
664,voll::A,plotë,ملء
665,leer::A,bosh,خال
666,leer::A,bosh,فارغ
667,leer::A,zbrazët,خال
668,leer::A,zbrazët,فارغ
669,offen::A,hapur,مفتوح
670,geschlossen::A,mbyllur,مغلق
671,sauber::A,dëlirë,نظيف
672,schmutzig::A,ndyrë,قذر
673,roh::A,gjallë,نيء
674,reif::A,arrirë,ناضج
675,lecker::A,shijshëm,لذيذ
676,süß::A,ëmbël,حلو
677,bitter::A,hidhur,مر
678,sauer::A,thartë,حامض
679,hell::A,me dritë,نير
680,dunkel::A,errët,مظلم
681,schwarz::A,i zi,أسود
682,weiß::A,bardhë,أبيض
683,rot::A,kuq,أحمر
684,gelb::A,verdhë,أصفر
685,blau::A,blu,أزرق
686,blau::A,kaltër,أزرق
687,grün::A,blertë,أخضر
688,grün::A,gjelbër,أخضر
689,grau::A,hirtë,رمادي
690,grau::A,bojë hiri,رمادي
691,bunt::A,shumëngjyrëshëm,ملوب
692,billig::A,lirë,رخيص
693,teuer::A,shtrenjtë,غال
694,wertvoll::A,çmuar,ثمين
695,wertvoll::A,vlershëm,ثمين
696,blind::A,qorr,أعمى
697,blind::A,verbër,أعمى
698,taub::A,shurdhër,أصم
699,taub::A,shurdhër,أطرش
700,kräftig::A,fuqishëm,قوي
701,stark::A,fortë,قوي
702,schwach::A,dobët,ضعيف
703,fett::A,dhjamur,سمين
704,schlank::A,hollë,أهيف
705,hübsch::A,bukur,جميل
706,hübsch::A,hijshëm,جميل
707,böse::A,keq,رديء
708,dumm::A,teveqel,أبله
709,dumm::A,teveqel,أحمق
710,faul::A,dembel,كسلان
711,fleißig::A,zellshëm,مجتهد
712,geizig::A,kurnac,بخيل
713,geizig::A,dorështrënguar,بخيل
714,klug::A,mençur,ذكي
715,klug::A,mençur,عاقل
716,geschickt::A,aftë,ماهر
717,lieb::A,dashur,عزيز
718,lustig::A,gëzuar,مرح
719,sanft::A,butë,حليم
720,hungrig::A,uritur,جائع
721,krank::A,sëmurë,مريض
722,nackt::A,lakuriq,عار
723,nackt::A,zhveshur,عار
724,traurig::A,trishtuar,حزين
725,lebendig::A,gjallë,حي
726,gut::A,mirë,جيد
727,schlecht::A,keq,سيء
728,richtig::A,drejtë,صحيح
729,schlimm::A,keq,خبيث
730,wahr::A,vërtetë,حق
731,alt::A,vjetër,قديم
732,neu::A,i ri,جديد
733,ehemalig::A,dikurshëm,سابق
734,alt[Lebewesen]::A,plak,مسن
735,jung::A,i ri,شاب
736,jung::A,i ri,صغير
737,arm::A,varfër,فقير
738,arm::A,vobektë,فقير
739,reich::A,pasur,غني
740,bekannt::A,njohur,معلوم
741,berühmt::A,famshëm,مشهور
742,fremd::A,huaj,أجنبي
743,verschieden::A,ndryshëm,مختلف
744,nah::A,afërt,قريب
745,fern::A,largët,بعيد
746,linker::A,majtë,يسار
747,rechter::A,djathtë,يمين
748,anderer::A,tjetër,آخر
749,erster::A,parë,أول
750,zweiter::A,dytë,ثان
751,dritter::A,i tretë,ثالث
752,letzter::A,fundit,أخير
753,allein::ADV,vetëm,وحده
754,auf einmal::ADV,njëkohësisht,بالمرة
755,zusammen::ADV,bashkë,معا
756,zusammen::ADV,së bashku,معا
757,lange::ADV,për një kohë të gjatë,مدة طويلة
758,plötzlich::ADV,befas,فجأة
759,sofort::ADV,menjëherë,حالا
760,sofort::ADV,menjëherë,فورا
761,sofort::ADV,aty për aty,حالا
762,sofort::ADV,aty për aty,فورا
763,später::ADV,më vonë,فيما بعد
764,jetzt::ADV,tash,الآن
765,jetzt::ADV,tash,حاليا
766,heute::ADV,sot,اليوم
767,morgen::ADV,nesër,غدا
768,bald::ADV,shpejt,قريبا
769,bald::ADV,së shpejti,قريبا
770,dann::ADV,pastaj,ثم
771,gestern::ADV,dje,أمس
772,gestern::ADV,dje,البارحة
773,einst::ADV,dikur,قديما
774,damals::ADV,atëherë,حينئذ
775,danach::ADV,mandej,ثم
776,danach::ADV,mandej,بعد ذلك
777,vorher::ADV,më parë,من قبل
778,vorher::ADV,më parë,قبل ذلك
779,zuerst::ADV,së pari,أولا
780,einmal::ADV,njëherë,مرة
781,manchmal::ADV,nganjëherë,أحيانا
782,oft::ADV,shpesh,كثيرا
783,immer::ADV,përherë,دائما
784,immer::ADV,gjithnjë,دائما
785,niemals::ADV,kurrë,لا أبدا
786,niemals::ADV,asnjëherë,لا أبدا
787,hier::ADV,këtu,هنا
788,hierhin::ADV,knej,إلى هنا
789,von hier::ADV,që këtej,من هنا
790,von hier::ADV,prej këtej,من هنا
