,Concept_ID,te,et
63,Wind::N,వీచుచున్నగాలి,tuul
64,Welle::N,అల,laine
65,Wasser::N,నీరు,vesi
66,Stein::N,ఱాయి,kivi
67,Boden::N,నేల,maa
68,Boden::N,నేల,pinnas
69,Erde::N,మన్ను,maa
70,Staub::N,దుమ్ము,põrm
71,Rauch::N,పొగ,suits
72,Funke::N,అగ్నికణము,säde
73,Feuer::N,అగ్ని,tuli
74,Licht::N,కాంతి,valgus
75,Schatten::N,నీడ,vari
76,Wetter::N,వాతావరణ స్థితి,ilm
77,Nebel::N,పొగమంచు,udu
78,Wolke::N,మేఘము,pilv
79,Regen::N,వాన,sadu
80,Schnee::N,హిమము,lumi
81,Eis::N,మంచుగడ్డ,jää
82,Frost::N,పేరిన మంచు,pakane
83,Kälte::N,చలి,külm
84,Kälte::N,చలి,külmus
85,Hitze::N,వేడిమి,kuumus
86,Hitze::N,వేడిమి,palavus
87,Raureif::N,మంచు,härmatis
88,Regenbogen::N,ఇంద్రధనుస్సు,vikerkaar
89,Donner::N,ఉరుము,kõu
90,Donner::N,ఉరుము,müristamine
91,Strömung::N,ప్రవాహము,voolus
92,Strömung::N,ప్రవాహము,jõevool
93,Tropfen::N,చుక్క,tilk
94,Schaum::N,నురుగు,vaht
95,Schmutz::N,మైల,pori
96,Schmutz::N,మైల,mustus
97,See::N,సరస్సు,järv
98,Sumpf::N,చిత్తడినేల,soo
99,Moor::N,చిత్తడినేల,raba
100,Wiese::N,పచ్చిక బయలు,aas
101,Wiese::N,పచ్చిక బయలు,nurm
102,Wald::N,అడవి,mets
103,Hügel::N,చివ్నకొండ,küngas
104,Anhöhe::N,కొండ,küngas
105,Berg::N,పర్వతము,mägi
106,Gipfel::N,శిఖరము,mäetipp
107,Höhle::N,గుహ,koobas
108,Abhang::N,ఏటవాలు,nõlvak
109,Quelle::N,మూలము,allikas
110,Bach::N,కాలువ,oja
111,Fluss::N,నది,jõgi
112,Ufer::N,తీరము,kallas
113,Küste::N,తీరము,rannik
114,Festland::N,భూమి,mander
115,Festland::N,భూమి,maismaa
116,Meer::N,సముద్రము,meri
117,Bucht::N,మరుగు,laht
118,Insel::N,దీవి,saar
119,Blume::N,పుష్పము,lill
120,Gras::N,పచ్చగడ్డి,rohi
121,Wurzel::N,వేరు,juur
122,Baum::N,చెట్టు,puu
123,Stamm::N,చెట్టుబోదె,tüvi
124,Rinde::N,చెట్టుపట్ట,koor
125,Ast::N,కొమ్మ,oks
126,Zweig::N,చివుకు,oks
127,Blatt::N,ఆకు,leht
128,Birke::N,తరహా చెట్టు,kask
129,Kiefer[Baum]::N,దేవదారు చెట్టు,mänd
130,Weide[Baum]::N,జాతిచెట్టు,paju
131,Tanne::N,దేవదారుచెట్టు,nulg
132,Horn::N,కొమ్ము,sarv
133,Feder::N,ఈక,sulg
134,Fell::N,తోలు,karvkate
135,Fell::N,తోలు,karusnahk
136,Flügel::N,ఱెక్క,tiib
137,Flügel::N,ఱెక్క,tiivik
138,Klaue::N,వంకరగోరు,küüs
139,Kralle::N,వంకరగోరు,küünis
140,Schwanz::N,తోక,saba
141,Ei::N,గ్రుడ్డు,muna
142,Nest::N,పక్షిగూడు,pesa
143,Bau::N,గుహ,urg
144,Tier::N,జంతువు,loom
145,Herde::N,మంద,kari
146,Kuh::N,ఆవు,lehm
147,Bulle::N,గిత్త,pull
148,Pferd::N,గుఱ్ఱము,hobune
149,Schaf::N,గొఱ్ఱె,lammas
150,Schwein::N,పంది,siga
151,Hund::N,కుక్క,koer
152,Katze::N,పిల్లి,kass
153,Bär::N,ఎలుగుబంటి,karu
154,Eichhörnchen::N,ఉడుత,orav
155,Elch::N,కణంజు,põder
156,Fuchs::N,గుంటనక్క,rebane
157,Hase::N,కుందేలు,jänes
158,Maus::N,చిట్టెలుక,hiir
159,Wolf::N,తోడేలు,hunt
160,Vogel::N,పక్షి,lind
161,Schwarm::N,గుంపు,parv
162,Huhn::N,కోడిపిల్ల,kana
163,Hahn::N,కోడివుంజు,kukk
164,Gans::N,ఆడుబాతు,hani
165,Adler::N,గ్రద్ద,kotkas
166,Ente::N,పాట్టిబాతు,part
167,Eule::N,గ్రుడ్లగూబ,kakk
168,Eule::N,గ్రుడ్లగూబ,öökull
169,Kranich::N,కొంగ,kurg
170,Krähe::N,కాకి,vares
171,Kuckuck::N,కోయల,kägu
172,Schwan::N,హంస,luik
173,Fisch::N,చేప,kala
174,Barsch::N,ఒకచేఁప,ahven
175,Hecht::N,గండుమీను,haug
176,Schlange[Tier]::N,పాము,uss
177,Wurm::N,పురుగు,uss
178,Wurm::N,పురుగు,vagel
179,Spinne::N,సాలె పురుగు,ämblik
180,Ameise::N,చీమ,sipelgas
181,Laus::N,పేను,täi
182,Mücke::N,చీకటీగ,sääsk
183,Fliege::N,ఈగ,kärbes
184,Schmetterling::N,సీతాకోకచిలుక,liblikas
185,Beere::N,కాయ,mari
186,Apfel::N,ఆపిల్ పండు,õun
187,Pilz::N,కుక్కగొడుగు,seen
188,Zwiebel::N,నీరుల్లి,sibul
189,Saat::N,విత్తనము,seeme
190,Korn::N,గింజ,iva
191,Korn::N,గింజ,tera
192,Heu::N,ఎండుగడ్డి,hein
193,Schale::N,పొట్టు,koor
194,Grube::N,గొయ్యి,kaevand
195,Falle::N,బోను,lõks
196,Falle::N,బోను,püünis
197,Schlinge::N,ఉరి,aas
198,Spur::N,జాడ,jälg
199,Asche::N,బూడిద,tuhk
200,Dreck::N,ముఱికి,saast
201,Dreck::N,ముఱికి,mustus
202,Eisen::N,ఇనుము,raud
203,Gold::N,బంగారము,kuld
204,Silber::N,వెండి,hõbe
205,Kohle::N,నేలబొగ్గు,süsi
206,Glas::N,గాజు,klaas
207,Lehm::N,బంకమన్ను,savi
208,Sand::N,ఇసుక,liiv
209,Mensch::N,నరుడు,inimene
210,Mann::N,పురుమడు,mees
211,Frau::N,ఆడుది,naine
212,Kind::N,బిడ్డ,laps
213,Junge::N,బాలుడు,poiss
214,Mädchen::N,బాలిక,tüdruk
215,Familie::N,కుటుంబము,perekond
216,Großvater::N,తాత,vanaisa
217,Großmutter::N,అయ్యమ్మ,vanaema
218,Eltern::N,తల్లితండ్రులు,vanemad
219,Vater::N,తండ్రి,isa
220,Mutter::N,తల్లి,ema
221,Sohn::N,కొడుకు,poeg
222,Tochter::N,కూతురు,tütar
223,Bruder::N,పోదరుడు,vend
224,Schwester::N,సోదరి,õde
225,Onkel::N,మేనమామ,onu
226,Tante::N,మేనత్త,tädi
227,Tante::N,పినతల్లి,tädi
228,Ehemann::N,భర్త,mees
229,Ehemann::N,భర్త,abikaasa
230,Ehefrau::N,భార్య,naine
231,Ehefrau::N,భార్య,abikaasa
232,Freude::N,సంతోషము,rõõm
233,Gelächter::N,నవ్వు,naer
234,Glück::N,సంతోషము,õnn
235,Kummer::N,దుఃఖము,mure
236,Kummer::N,దుఃఖము,kurbus
237,Wunsch::N,కోరిక,soov
238,Lust::N,కోరిక,himu
239,Geist::N,ఆత్మ,vaim
240,Gedanke::N,ఆలోచన,mõte
241,Gedächtnis::N,జ్ఞాపకము,mälu
242,Verstand::N,మనస్సు,aru
243,Verstand::N,మనస్సు,mõistus
244,Sinn::N,అర్థము,tähendus
245,Grund::N,కారణము,põhjus
246,Wahrheit::N,సత్యము,tõde
247,Gespräch::N,పంభాషణ,kõne
248,Gespräch::N,పంభాషణ,vestlus
249,Märchen::N,అద్భుతకథ,muinasjutt
250,Erzählung::N,కథ,jutustus
251,Nachricht::N,వార్త,teade
252,Neuigkeit::N,వార్త,uudis
253,Name::N,పేరు,nimi
254,Rätsel::N,చిక్కు,mõistatus
255,Rede::N,ఉపన్యాసము,kõne
256,Sprache::N,భాష,keel
257,Stimme::N,కంరథ్సని,hääl
258,Wort::N,మాట,sõna
259,Zeichen::N,గుర్తు,märk
260,Ruf::N,పిలువు,hüüe
261,Lärm::N,సందడి,müra
262,Laut::N,ధ్వని,hääl
263,Ton::N,స్వరము,toon
264,Lied::N,పాట,laul
265,Ruhe::N,గాలిలేమి,rahu
266,Ruhe::N,గాలిలేమి,vaikus
267,Leute::N,జనులు,inimesed
268,Volk::N,జాతి,rahvas
269,Arbeit::N,పని,töö
270,Gast::N,అతిధి,külaline
271,Geschenk::N,దానము,kingitus
272,Spiel::N,ఆట,mäng
273,Gesellschaft::N,జట్టు,selts
274,Hilfe::N,సాహాయ్యము,abi
275,Freund::N,స్నేహితుడు,sõber
276,Kamerad::N,చెలికాడు,sõber
277,Angelegenheit::N,విషయము,asi
278,Anzahl::N,లెక్క,arv
279,Anzahl::N,లెక్క,hulk
280,Art::N,జాతి,liik
281,Stück::N,తునుక,tükk
282,Teil::N,భాగము,osa
283,Hälfte::N,సగము,pool
284,Kreis::N,వృత్తము,ring
285,Kreuz::N,సిలువ,rist
286,Linie::N,గీత,joon
287,Strich::N,గీత,joon
288,Abstand::N,సందు,vahe
289,Entfernung::N,దూరము,kaugus
290,Entfernung::N,దూరము,vahemaa
291,Gegend::N,విస్తీర్ణము,ümbrus
292,Platz::N,ఎడము,ruum
293,Ort::N,స్థలము,paik
294,Seite::N,ప్రక్క,pool
295,Mitte::N,నడిమి,keskpaik
296,Gegenstand::N,పద్దు,ese
297,Sache::N,వస్తువు,ese
298,Rand::N,అంచు,äär
299,Rand::N,అంచు,serv
300,Kante::N,అంచు,kant
301,Ecke::N,మూల,nurk
302,Spitze::N,మొన,teravik
303,Ende::N,కొన,ots
304,Ende::N,కొన,jupp
305,Loch::N,రంధ్రము,auk
306,Winkel::N,కోణము,nurk
307,Muster::N,మాదిరి,muster
308,Größe::N,పరిమాణము,suurus
309,Länge::N,పొడుగు,pikkus
310,Höhe::N,పొడుగు,kõrgus
311,Gewicht::N,భారము,kaal
312,Gewicht::N,భారము,raskus
313,Menge::N,మొత్తము,arv
314,Menge::N,మొత్తము,hulk
315,Haufen::N,రాశి,hunnik
316,Reihe::N,వరుస,rivi
317,Boot::N,పడవ,paat
318,Ruder::N,అడక,aer
319,Schlitten::N,సరవండ్లు,saan
320,Ski::N,స్కీ,suusk
321,Lagerfeuer::N,నెగడు,lõke
322,Last::N,బరువు,koorem
323,Gang::N,నడక,käik
324,Schritt::N,అడుగు,samm
325,Norden::N,ఉత్తరదిక్కు,põhi
326,Süden::N,దక్షిణము,lõuna
327,Westen::N,పడమర,lääs
328,Osten::N,తూర్పు,ida
329,Holz::N,కొయ్య,puu
330,Brett::N,పలక,saelaud
331,Platte::N,పలక,plaat
332,Stütze::N,వాల్సేడ్లు,tugi
333,Stange::N,స్తంభము,latt
334,Stange::N,స్తంభము,teivas
335,Stock::N,కఱ్ఱ,kepp
336,Stab::N,కఱ్ఱ,varras
337,Rohr::N,గొట్టము,toru
338,Haus::N,ఇల్లు,maja
339,Heim::N,స్వగృహము,kodu
340,Ofen::N,పొయ్యి,ahi
341,Fußboden::N,నేల,põrand
342,Tisch::N,మేజా,laud
343,Stuhl::N,కుర్చీ,tool
344,Wiege::N,ఉయ్యాల,häll
345,Wiege::N,ఉయ్యాల,kätki
346,Bett::N,పడక,voodi
347,Bett::N,మంచం,voodi
348,Regal::N,అటక,riiul
349,Kiste::N,వెట్టె,kast
350,Fenster::N,కిటికి,aken
351,Tür::N,ద్వారము,uks
352,Tor::N,ద్వారము,värav
353,Zaun::N,కంచె,aed
354,Zaun::N,కంచె,tara
355,Dach::N,ఇంటివైకప్పు,katus
356,Leiter::N,నిచ్చెన,redel
357,Besen::N,చీపురుకట్ట,luud
358,Spaten::N,పాఱ,labidas
359,Schaufel::N,పాఱ,kühvel
360,Gabel::N,ముండ్లగరిటె,kahvel
361,Löffel::N,గరిటె,lusikas
362,Messer::N,కత్తి,nuga
363,Nagel::N,మేకు,nael
364,Netz::N,వల,võrk
365,Haken::N,కొక్కెము,haak
366,Haken::N,కొక్కెము,konks
367,Griff::N,పిడి,sang
368,Griff::N,పిడి,käepide
369,Schloss::N,తాళము,lukk
370,Bild::N,చిత్రము,pilt
371,Figur::N,రూపము,kuju
372,Figur::N,రూపము,kujund
373,Puppe::N,బొమ్మ,nukk
374,Beutel::N,సంచి,paun
375,Bündel::N,మూట,kimp
376,Tasche::N,సంచి,kott
377,Eimer::N,చేద,pang
378,Eimer::N,చేద,ämber
379,Deckel::N,మూత,kaas
380,Geschirr::N,వంటకాలు,nõud
381,Sack::N,గోనెసంచి,kott
382,Tasse::N,గిన్నె,tass
383,Topf::N,కుండ,pada
384,Kessel::N,నీరుకాచుపాత్ర,pada
385,Essen::N,ఆహారము,söök
386,Nahrung::N,ఆహారము,toit
387,Speise::N,ఆహారము,roog
388,Fleisch::N,మాంసము,liha
389,Getreide::N,ధాన్యము,teravili
390,Brei::N,గుజ్జు,puder
391,Brot::N,రొట్టె,sai
392,Brot::N,రొట్టె,leib
393,Scheibe::N,బద్ద,viil
394,Scheibe::N,బద్ద,viilukas
395,Fett::N,క్రొవ్వు,rasv
396,Butter::N,వెన్న,või
397,Öl::N,నూనె,õli
398,Salz::N,ఉప్పు,sool
399,Suppe::N,చారు,supp
400,Honig::N,తెనె,mesi
401,Milch::N,పాలు,piim
402,Tee::N,తేనీరు,tee
403,Leder::N,బాగుచేసివతోలు,nahk
404,Wolle::N,ఉన్ని,vill
405,Stoff::N,బట్ట,kangas
406,Nadel::N,సూది,nõel
407,Faden::N,దారము,niit
408,Knopf::N,బొత్తాము,nööp
409,Knoten::N,ముడి,sõlm
410,Farbe::N,రంగు,värv
411,Kleidung::N,బట్టలు,riided
412,Kleidung::N,బట్టలు,riietus
413,Hemd::N,చొక్కాయ,särk
414,Kragen::N,మాల,krae
415,Ärmel::N,చొక్కాయచెయ్యి,varrukas
416,Hose::N,ఇజారు,püksid
417,Gürtel::N,పటకా,vöö
418,Mütze::N,టోపి,müts
419,Schuh::N,పాదరక్ష,king
420,Stiefel::N,బూటు,saabas
421,Ring::N,ఉంగరము,sõrmus
422,Band::N,నాడా,lint
423,Kamm::N,దువ్వెన,kamm
424,Spiegel::N,అద్దము,peegel
425,Riemen::N,వాడా,rihm
426,Schnur::N,దారము,nöör
427,Leine::N,వారు,jalutusrihm
428,Decke::N,కంబళి,tekk
429,Kissen::N,తలగడ,padi
430,Tuch::N,బట్ట,kalev
431,Handtuch::N,తువాలు,käterätik
432,Kraft::N,బలము,jõud
433,Stärke::N,శక్తి,tugevus
434,Gesundheit::N,ఆరోగ్యము,tervis
435,Krankheit::N,రోగము,haigus
436,Schmerz::N,నొప్పి,valu
437,Wunde::N,గాయము,haav
438,Fieber::N,జ్వరము,palavik
439,Arznei::N,మందు,ravim
440,Brücke::N,వంతెన,sild
441,Brunnen::N,బావి,kaev
442,Brunnen::N,కూపము,kaev
443,Brunnen::N,నుయ్యి,kaev
444,Weide::N,పచ్చికబయలు,karjamaa
445,Pfad::N,కాలిత్రోవ,rada
446,Weg::N,మార్గము,tee
447,Straße::N,బాట,tee
448,Dorf::N,గ్రామము,küla
449,Stadt::N,పట్టణము,linn
450,Brief::N,జాబు,kiri
451,Buch::N,పుస్తకము,raamat
452,Buchstabe::N,అక్షరము,täht
453,Zeitung::N,వార్తాపత్రిక,ajaleht
454,Leben::N,ప్రాణము,elu
455,Tod::N,మరణము,surm
456,Grab::N,సమాధి,haud
457,Kirche::N,క్రెస్తవులగుడి,kirik
458,Sünde::N,పాపము,patt
459,Gott::N,దేవుడు,jumal
460,Arbeiter::N,పనిపాటుచేశేవాడు,tööline
461,Chef::N,యజమానుడు,ülemus
462,Chef::N,యజమానుడు,juhataja
463,Meister::N,కళాకారుడు,meister
464,Arzt::N,వైద్యుడు,arst
465,Lehrer::N,ఉపాధ్యాయుడు,õpetaja
466,Geld::N,ద్రవ్యము,raha
467,Geschäft::N,వ్యాపారము,äri
468,Laden::N,అంగడి,pood
469,Laden::N,అంగడి,kauplus
470,Preis::N,వెల,hind
471,Ware::N,సరకులు,kaup
472,Nutzen::N,ప్రయోజనము,tulu
473,Nutzen::N,ప్రయోజనము,kasulikkus
474,Reichtum::N,ధనము,rikkus
475,Welt::N,ప్రపంచము,maailm
476,Land::N,దేశము,maa
477,Staat::N,రాజ్యము,riik
478,König::N,రాజు,kuningas
479,Macht::N,అధికారము,võim
480,Grenze::N,సరిహద్దు,piir
481,Krieg::N,యుద్ధము,sõda
482,Feind::N,శత్రువు,vaenlane
483,Gewalt::N,దౌర్జన్యము,väevõim
484,Kampf::N,పోట్లాట,võitlus
485,Bogen[Waffe]::N,విల్లు,vibu
486,Pfeil::N,బాణము,nool
487,Gewehr::N,తుపాకి,püss
488,Fehler::N,తప్ప,viga
489,Lüge::N,అసత్యము,vale
490,Schaden::N,నష్టము,kahju
491,Unglück::N,దురదృష్టము,häda
492,Unglück::N,దురదృష్టము,õnnetus
493,Schuld::N,తప్పు,süü
494,Alter::N,వయస్సు,iga
495,Schluss::N,ముగింపు,lõpp
496,Zeit::N,కాలము,aeg
497,Tag::N,దినము,päev
498,Morgen::N,ఉదయము,hommik
499,Mittag::N,మధ్యాహ్నము,lõuna
500,Mittag::N,మధ్యాహ్నము,keskpäev
501,Abend::N,సాయంకాలము,õhtu
502,Nacht::N,రత్రి,öö
503,Woche::N,వారము,nädal
504,Monat::N,నెల,kuu
505,Jahr::N,సంవత్సరము,aasta
506,Frühling::N,వసంతకాలము,kevad
507,Sommer::N,వేసవికాము,suvi
508,Herbst::N,ఆకురాలుకాలము,sügis
509,Winter::N,శీతకాలము,talv
510,Januar::N,జనవరి,jaanuar
511,Februar::N,ఫిబ్రవరి,veebruar
512,März::N,మార్చి,märts
513,April::N,ఏప్రిలు,aprill
514,Mai::N,మే,mai
515,Juni::N,జూన్,juuni
516,Juli::N,జూలై,juuli
517,August::N,ఆగస్టు,august
518,September::N,సెప్ఠెంబరు,september
519,Oktober::N,అక్టోబరు,oktoober
520,November::N,నవంబరు,november
521,Dezember::N,డిసెంబర్,detsember
522,Montag::N,సోమవారము,esmaspäev
523,Dienstag::N,మంగళవారము,teisipäev
524,Mittwoch::N,బుధవారము,kesknädal
525,Donnerstag::N,గురువారము,neljapäev
526,Freitag::N,శుక్రవారము,reede
527,Samstag::N,శనివారము,laupäev
528,Sonntag::N,ఆదివారము,pühapäev
529,groß::A,గొప్పైన,suur
530,klein::A,చిన్న,väike
531,klein::A,చిన్న,pisike
532,lang::A,పొడుగాటి,pikk
533,kurz::A,పొట్టి,lühike
534,breit::A,వెడల్పైన,lai
535,schmal::A,ఇఱుకైన,kitsas
536,dicht::A,దట్టమైన,tihe
537,dick[Gegenstand]::A,దట్టమైన,jäme
538,dünn::A,పలుచని,õhuke
539,dünn::A,పలుచని,peenike
540,fein::A,నాజాకైన,peen
541,fein::A,నాజాకైన,õhuke
542,fest::A,దృడమైవ,püsiv
543,fest::A,దృడమైవ,kindel
544,flach::A,చదువైన,lame
545,flach::A,చదువైన,tasane
546,glatt::A,నున్నని,sile
547,hart::A,కఠినమైన,kõva
548,weich::A,మృదువైన,pehme
549,rund::A,గుండ్రని,ümar
550,spitz::A,మొనగల,torkav
551,scharf::A,పదనైన,terav
552,stumpf::A,వాడిలేని,nüri
553,schwer::A,బరువ్తెన,raske
554,schön::A,సుందరమైన,kena
555,heiß::A,వేడియైన,kuum
556,heiß::A,వేడియైన,palav
557,warm::A,వెచ్చని,soe
558,kalt::A,చల్లని,külm
559,kühl::A,చల్లని,jahe
560,frisch::A,తాజాయైన,värske
561,feucht::A,చెమ్మగానున్న,niiske
562,nass::A,తడిగామన్న,märg
563,trocken::A,ఎండిన,kuiv
564,voll::A,నిండు,täis
565,leer::A,శూన్యమైన,tühi
566,offen::A,తెఱచియున్న,avatud
567,offen::A,తెఱచియున్న,lahtine
568,geschlossen::A,మూసిన,suletud
569,sauber::A,పరిశుద్ధమైన,puhas
570,schmutzig::A,ముఱికియైన,räpane
571,schmutzig::A,ముఱికియైన,määrdunud
572,roh::A,పచ్చి,toores
573,reif::A,పండివ,küps
574,lecker::A,రుచి గల,hõrk
575,lecker::A,రుచి గల,maitsev
576,süß::A,తియ్యని,magus
577,bitter::A,చేదైన,mõru
578,sauer::A,పుల్లని,hapu
579,hell::A,కాంతిగల,hele
580,dunkel::A,చీకటియైన,pime
581,schwarz::A,నల్లని,must
582,weiß::A,తెలుపు,valge
583,rot::A,ఎఱ్ఱని,punane
584,gelb::A,పసుపు పచ్చ,kollane
585,blau::A,నీలవర్ణము,sinine
586,grün::A,ఆకుపచ్చని,roheline
587,grau::A,నెరిసిన,hall
588,bunt::A,రంగేలీ,kirju
589,bunt::A,రంగేలీ,värviline
590,billig::A,చౌకయైన,odav
591,teuer::A,వెలపొడుగైన,kallis
592,wertvoll::A,విలుప్తెన,väärtuslik
593,blind::A,గ్రుడ్డి,pime
594,taub::A,చెవిటి,kurt
595,kräftig::A,శక్తి గల,jõuline
596,stark::A,బలమైన,tugev
597,schwach::A,బలహీనమైన,nõrk
598,schwach::A,బలహీనమైన,jõuetu
599,fett::A,క్రొవ్విన,rasvane
600,schlank::A,సన్నని,sale
601,hübsch::A,సాగప్తెన,kena
602,böse::A,చెడ్డ,tige
603,dumm::A,తెలివిలేని,juhm
604,dumm::A,తెలివిలేని,rumal
605,faul::A,సోమరియైన,laisk
606,fleißig::A,శ్రద్దగల,virk
607,fleißig::A,శ్రద్దగల,hoolas
608,geizig::A,పిసినారియైన,ihne
609,klug::A,తెలివిగల,tark
610,klug::A,తెలివిగల,arukas
611,klug::A,తెలివిగల,mõistlik
612,geschickt::A,నిపుణతగల,osav
613,lieb::A,ప్రియమైన,armas
614,lustig::A,ఉల్లాసము గల,lõbus
615,sanft::A,సాధువైన,õrn
616,hungrig::A,ఆకలిగొనిన,näljane
617,krank::A,వ్యాధిగల,haige
618,nackt::A,దిగంబరమైన,alasti
619,traurig::A,విచారముగల,kurb
620,lebendig::A,ప్రాణముతో నున్న,elus
621,gut::A,మంచి,hea
622,schlecht::A,చెడ్డ,halb
623,richtig::A,సరియైన,õige
624,schlimm::A,అసహ్యమైన,paha
625,wahr::A,నిజమైన,tõene
626,alt::A,ముసలి,vana
627,neu::A,క్రొత్త,uus
628,ehemalig::A,పూర్వపు,endine
629,alt[Lebewesen]::A,ముసలి,vana
630,jung::A,పసి,noor
631,arm::A,బీద,vaene
632,reich::A,ధనవంతుడైన,rikas
633,bekannt::A,తెలిసిన,teada
634,bekannt::A,తెలిసిన,tuttav
635,berühmt::A,ప్రపిద్దికెక్కివ,tuntud
636,fremd::A,అన్యమైన,võõras
637,verschieden::A,భేదమైన,erinev
638,nah::A,దగ్గఱనున్న,lähedane
639,fern::A,దూరమందున్న,kauge
640,linker::A,ఎడమప్రక్కగ,vasak
641,rechter::A,కుడి,parem
642,anderer::A,వేఱ్తెన,muu
643,anderer::A,వేఱ్తెన,teine
644,erster::A,మొదటి,esimene
645,zweiter::A,రెండన,teine
646,dritter::A,మూడో,kolmas
647,letzter::A,కడపటి,viimane
648,allein::ADV,ఒంటిగా,üksi
649,auf einmal::ADV,హరాత్తుగ,korraga
650,auf einmal::ADV,హరాత్తుగ,ühekorraga
651,zusammen::ADV,కలిసి,koos
652,zusammen::ADV,కలిసి,üheskoos
653,lange::ADV,బహుకాలము,kaua
654,plötzlich::ADV,హరాత్తుగ,äkki
655,plötzlich::ADV,హరాత్తుగ,järsku
656,sofort::ADV,తక్షణము,kohe
657,später::ADV,ఇటీవలి,hiljem
658,jetzt::ADV,ఇప్పుడు,nüüd
659,heute::ADV,నేడు,täna
660,morgen::ADV,ఱేపు,homme
661,bald::ADV,శీఘ్రముగ,pea
662,bald::ADV,శీఘ్రముగ,varsti
663,dann::ADV,అప్పుడు,siis
664,gestern::ADV,నిన్నటి దినము,eile
665,einst::ADV,పూర్వమొకప్పుడు,vanasti
666,damals::ADV,అప్పుడు,tookord
667,danach::ADV,అప్పుడు,seejärel
668,vorher::ADV,ఎదుట,enne
669,zuerst::ADV,మొదటిలో,enne
670,zuerst::ADV,మొదటిలో,esmalt
671,einmal::ADV,ఒకసారి,kord
672,einmal::ADV,ఒకసారి,üks kord
673,manchmal::ADV,అప్పటప్పటికి,mõnikord
674,oft::ADV,తఱచుగా,tihti
675,oft::ADV,తఱచుగా,sageli
676,immer::ADV,ఎల్లప్పుడు,ikka
677,immer::ADV,ఎల్లప్పుడు,alati
678,niemals::ADV,ఎప్పుడునులేదు,mitte kunagi
679,hier::ADV,ఇక్కడ,siin
680,hierhin::ADV,ఇక్కడకు,siia
681,von hier::ADV,ఇక్కడనుండి,siit
682,dort::ADV,అక్కడ,seal
683,dorthin::ADV,అక్కడికి,sinna
684,geradeaus::ADV,సూటిగా,otse edasi
685,vorwärts::ADV,ముందుకు,edasi
686,rückwärts::ADV,వెనుకకు,tagurpidi
687,zurück::ADV,వెనుకభాగము,tagasi
688,unten::ADV,క్రింద,all
689,unten::ADV,క్రింద,allpool
690,hinab::ADV,కిందికి,alla
691,oben::ADV,మీద,ülal
692,hinauf::ADV,పైకి,üles
693,überall::ADV,అంతటా,kõikjal
694,nicht::ADV,కాదు,ei
695,nicht::ADV,కాదు,mitte
696,ein wenig::ADV,కొంచెము,veidi
697,ein wenig::ADV,కొంచెము,natuke
698,kaum::ADV,చాలిచాలక,vaevalt
699,sehr::ADV,చాల,väga
700,so::ADV,ఆలాగున,nii
701,noch::ADV,ఇప్పటికిని,veel
702,nur::ADV,మాత్రము,ainult
