,Concept_ID,no,tt
203,Pilz::N,sopp,гөмбә
204,Zwiebel::N,løk,суган
205,Zwiebel::N,løk,суганбаш
206,Saat::N,sæd,орлык
207,Korn::N,korn,иген
208,Korn::N,korn,орлык
209,Heu::N,høy,печән
210,Schale::N,skall,кабык
211,Grube::N,grop,баз
212,Grube::N,grop,чокыр
213,Falle::N,felle,тозак
214,Falle::N,felle,капкын
215,Schlinge::N,snare,элмәк
216,Spur::N,spor,эз
217,Asche::N,aske,көл
218,Dreck::N,møkk,пычрак
219,Dreck::N,skitt,пычрак
220,Eisen::N,jern,тимер
221,Gold::N,gull,алтын
222,Silber::N,sølv,көмеш
223,Kohle::N,kol,күмер
224,Kohle::N,kull,күмер
225,Glas::N,glass,пыяла
226,Lehm::N,leire,балчык
227,Sand::N,sand,ком
228,Mensch::N,menneske,адәм
229,Mensch::N,menneske,инсан
230,Mann::N,mann,ир
231,Frau::N,kvinne,хатын
232,Kind::N,barn,бала
233,Junge::N,gutt,малай
234,Mädchen::N,pike,кыз
235,Mädchen::N,jente,кыз
236,Familie::N,familie,гаилә
237,Großvater::N,bestefar,бабай
238,Großmutter::N,bestemor,әби
239,Eltern::N,foreldre,ата-ана
240,Vater::N,far,ата
241,Mutter::N,mor,ана
242,Sohn::N,sønn,ул
243,Tochter::N,datter,кыз
244,Bruder::N,bror,кардәш
245,Schwester::N,søster,апа
246,Schwester::N,søster,сеңел
247,Onkel::N,onkel,дәдә
248,Onkel::N,onkel,дәдәй
249,Tante::N,tante,түти
250,Tante::N,tante,тәтәй
251,Ehemann::N,ektemann,ир
252,Ehefrau::N,hustru,хатын
253,Freude::N,glede,сөенеч
254,Gelächter::N,latter,көлү
255,Gelächter::N,latter,көлеш
256,Glück::N,lykke,бәхет
257,Kummer::N,sorg,хәсрәт
258,Wunsch::N,ønske,теләк
259,Lust::N,lyst,теләк
260,Lust::N,lyst,теләү
261,Geist::N,ånd,рух
262,Gedanke::N,tanke,уй
263,Gedanke::N,tanke,фикер
264,Gedächtnis::N,minne,хәтер
265,Gedächtnis::N,hukommelse,хәтер
266,Verstand::N,forstand,акыл
267,Sinn::N,mening,мәгънә
268,Sinn::N,betydning,мәгънә
269,Grund::N,grunn,сәбәп
270,Wahrheit::N,sannhet,хак
271,Gespräch::N,samtale,әңгәмә
272,Märchen::N,eventyr,әкият
273,Erzählung::N,fortelling,хикәя
274,Nachricht::N,melding,хәбәр
275,Neuigkeit::N,nyhet,яңалык
276,Name::N,navn,исем
277,Rätsel::N,gåte,табышмак
278,Rede::N,tale,нотык
279,Sprache::N,språk,тел
280,Stimme::N,stemme,тавыш
281,Wort::N,ord,сүз
282,Zeichen::N,tegn,ишарә
283,Ruf::N,rop,дәшү
284,Lärm::N,bråk,шау
285,Laut::N,lyd,аваз
286,Ton::N,tone,шалтырату
287,Lied::N,vise,җыр
288,Ruhe::N,ro,тынлык
289,Leute::N,folk,халык
290,Volk::N,folk,халык
291,Arbeit::N,arbeid,эш
292,Arbeit::N,arbeid,хезмәт
293,Gast::N,gjest,кунак
294,Geschenk::N,gave,бүләк
295,Spiel::N,lek,уен
296,Spiel::N,spill,уен
297,Gesellschaft::N,selskap,җәмгыять
298,Hilfe::N,hjelp,ярдәм
299,Hilfe::N,hjelp,булышлык
300,Freund::N,venn,дус
301,Kamerad::N,kamerat,иптәш
302,Angelegenheit::N,sak,эш
303,Angelegenheit::N,anliggende,эш
304,Anzahl::N,antall,микъдар
305,Art::N,art,төр
306,Art::N,slag,төр
307,Stück::N,stykke,кисәк
308,Teil::N,del,өлеш
309,Hälfte::N,halvdel,ярым
310,Kreis::N,ring,түгәрәк
311,Kreis::N,sirkel,түгәрәк
312,Kreuz::N,kors,хач
313,Kreuz::N,kors,тәре
314,Kreuz::N,kryss,хач
315,Kreuz::N,kryss,тәре
316,Linie::N,linje,сызык
317,Strich::N,strek,сызык
318,Abstand::N,avstand,ара
319,Entfernung::N,avstand,ераклык
320,Gegend::N,strøk,урын
321,Platz::N,plass,бушлык
322,Ort::N,sted,урын
323,Seite::N,side,як
324,Mitte::N,midte,урта
325,Gegenstand::N,gjenstand,нәрсә
326,Sache::N,sak,нәрсә
327,Rand::N,rand,чит
328,Kante::N,kant,кырый
329,Ecke::N,hjørne,почмак
330,Spitze::N,spiss,оч
331,Ende::N,ende,азак
332,Loch::N,hull,тишек
333,Winkel::N,vinkel,почмак
334,Muster::N,mønster,парча
335,Größe::N,størrelse,зурлык
336,Länge::N,lengde,озынлык
337,Höhe::N,høyde,биеклек
338,Gewicht::N,vekt,авырлык
339,Menge::N,mengde,микъдар
340,Haufen::N,haug,өем
341,Haufen::N,bunke,өем
342,Reihe::N,rekke,рәт
343,Boot::N,båt,каек
344,Boot::N,båt,көймә
345,Ruder::N,åre,ишкәк
346,Schlitten::N,slede,чана
347,Schlitten::N,kjelke,чана
348,Ski::N,ski,чаңгы
349,Lagerfeuer::N,leirbål,костёр
350,Last::N,bør,йөк
351,Last::N,last,йөк
352,Gang::N,gang,йөреш
353,Schritt::N,steg,адым
354,Schritt::N,skritt,адым
355,Norden::N,nord,төньяк
356,Süden::N,sør,көньяк
357,Westen::N,vest,көнбатыш
358,Osten::N,øst,шәрык
359,Osten::N,øst,көнчыгыш
360,Holz::N,tre,агач
361,Brett::N,fjøl,такта
362,Brett::N,brett,такта
363,Platte::N,plate,плитә
364,Stütze::N,støtte,таяу
365,Stange::N,stang,колга
366,Stock::N,pinne,таяк
367,Stab::N,stav,таяк
368,Stab::N,kjepp,таяк
369,Rohr::N,rør,торба
370,Haus::N,hus,өй
371,Haus::N,hus,йорт
372,Heim::N,hjem,гаилә
373,Heim::N,hjem,нәсел
374,Ofen::N,ovn,мич
375,Fußboden::N,gulv,идән
376,Tisch::N,bord,өстәл
377,Stuhl::N,stol,утыргыч
378,Wiege::N,vogge,бишек
379,Bett::N,seng,ятак
380,Bett::N,seng,урын-җир
381,Regal::N,reol,киштә
382,Regal::N,reol,шүрлек
383,Regal::N,hylle,киштә
384,Regal::N,hylle,шүрлек
385,Kiste::N,kasse,әрҗә
386,Fenster::N,vindu,тәрәзә
387,Tür::N,dør,ишек
388,Tor::N,port,капка
389,Zaun::N,gjerde,койма
390,Dach::N,tak,түбә
391,Leiter::N,stige,баскыч
392,Besen::N,kost,себерке
393,Spaten::N,spade,көрәк
394,Schaufel::N,skuffe,көрәк
395,Gabel::N,gaffel,чәннечке
396,Löffel::N,skje,кашык
397,Messer::N,kniv,пычак
398,Nagel::N,spiker,кадак
399,Netz::N,nett,челтәр
400,Haken::N,krok,ыргак
401,Griff::N,tak,тотка
402,Griff::N,håndtak,тотка
403,Schloss::N,lås,йозак
404,Bild::N,bilde,рәсем
405,Bild::N,bilde,картина
406,Figur::N,figur,сын
407,Figur::N,figur,фигура
408,Puppe::N,dukke,курчак
409,Beutel::N,pose,луза
410,Bündel::N,bylt,бәйләм
411,Tasche::N,veske,букча
412,Eimer::N,bøtte,чиләк
413,Deckel::N,lokk,капкач
414,Geschirr::N,kjøkkentøy,савыт-саба
415,Geschirr::N,kjøkkentøy,кашык-аяк
416,Sack::N,sekk,капчык
417,Tasse::N,kopp,чынаяк
418,Topf::N,gryte,чүлмәк
419,Kessel::N,kjele,казан
420,Essen::N,mål,ашау
421,Nahrung::N,mat,азык
422,Nahrung::N,mat,тәгам
423,Nahrung::N,mat,ашамлык
424,Nahrung::N,næring,азык
425,Nahrung::N,næring,тәгам
426,Nahrung::N,næring,ашамлык
427,Speise::N,matrett,ризык
428,Fleisch::N,kjøtt,ит
429,Getreide::N,korn,ашлык
430,Brei::N,grøt,ботка
431,Brot::N,brød,ипи
432,Brot::N,brød,икмәк
433,Scheibe::N,skive,телем
434,Fett::N,fett,май
435,Butter::N,smør,май
436,Öl::N,olje,май
437,Salz::N,salt,тоз
438,Suppe::N,suppe,шулпа
439,Honig::N,honning,бал
440,Milch::N,melk,сөт
441,Tee::N,te,чәй
442,Leder::N,lær,күн
443,Leder::N,skinn,күн
444,Wolle::N,ull,йон
445,Stoff::N,tøy,тукыма
446,Stoff::N,stoff,тукыма
447,Nadel::N,nål,энә
448,Faden::N,tråd,җеп
449,Knopf::N,knapp,төймә
450,Knoten::N,knute,төен
451,Farbe::N,farge,буяу
452,Kleidung::N,påkledning,кием
453,Hemd::N,skjorte,күлмәк
454,Kragen::N,krage,яка
455,Ärmel::N,erme,җиң
456,Hose::N,bukse,чалбар
457,Gürtel::N,belte,билбау
458,Mütze::N,lue,бүрек
459,Schuh::N,sko,башмак
460,Stiefel::N,støvel,итек
461,Ring::N,ring,балдак
462,Band::N,band,тасма
463,Kamm::N,kam,тарак
464,Spiegel::N,speil,көзге
465,Riemen::N,rem,каеш
466,Schnur::N,snor,бау
467,Leine::N,line,тезген
468,Decke::N,teppe,юрган
469,Kissen::N,pute,мендәр
470,Tuch::N,tøy,яулык
471,Handtuch::N,håndkle,сөлгә
472,Kraft::N,kraft,егәр
473,Kraft::N,kraft,дәрман
474,Stärke::N,styrke,көч
475,Stärke::N,styrke,дәрман
476,Gesundheit::N,helse,саулык
477,Gesundheit::N,sunnhet,саулык
478,Krankheit::N,syke,чир
479,Krankheit::N,syke,хаста
480,Krankheit::N,syke,сырхау
481,Krankheit::N,sykdom,чир
482,Krankheit::N,sykdom,хаста
483,Krankheit::N,sykdom,сырхау
484,Schmerz::N,smerte,авырту
485,Wunde::N,sår,яра
486,Wunde::N,sår,җәрәхәт
487,Fieber::N,feber,бизгәк
488,Arznei::N,medisin,дару
489,Arznei::N,legemiddel,дару
490,Brücke::N,bro,күпер
491,Brunnen::N,brønn,кое
492,Weide::N,beite,утлавык
493,Pfad::N,sti,сукмак
494,Weg::N,vei,юл
495,Straße::N,gate,урам
496,Dorf::N,landsby,авыл
497,Stadt::N,by,шәһәр
498,Brief::N,brev,хат
499,Buch::N,bok,китап
500,Buchstabe::N,bokstav,хәреф
501,Zeitung::N,avis,газет
502,Zeitung::N,avis,газета
503,Leben::N,liv,гомер
504,Leben::N,liv,тормыш
505,Leben::N,liv,тереклек
506,Tod::N,død,үлем
507,Grab::N,grav,гүр
508,Grab::N,grav,кабер
509,Kirche::N,kirke,чиркәү
510,Sünde::N,synd,язык
511,Sünde::N,synd,гөнаһ
512,Gott::N,gud,алла
513,Gott::N,gud,ходай
514,Arbeiter::N,arbeider,эшче
515,Chef::N,sjef,башлык
516,Meister::N,mester,оста
517,Arzt::N,lege,врач
518,Arzt::N,lege,табиб
519,Lehrer::N,lærer,укытучы
520,Lehrer::N,lærer,мөгаллим
521,Geld::N,penger,акча
522,Geschäft::N,forretning,эш
523,Laden::N,butikk,кибет
524,Laden::N,butikk,магазин
525,Preis::N,pris,бәя
526,Preis::N,pris,бәһа
527,Ware::N,vare,товар
528,Nutzen::N,nytte,файда
529,Reichtum::N,rikdom,байлык
530,Welt::N,verden,дөнья
531,Land::N,land,ил
532,Staat::N,stat,дәүләт
533,König::N,konge,патша
534,Macht::N,makt,хакимият
535,Grenze::N,grense,чик
536,Krieg::N,krig,сугыш
537,Feind::N,fiende,дошман
538,Gewalt::N,vold,көчләү
539,Kampf::N,kamp,көрәш
540,Bogen[Waffe]::N,bue,җәя
541,Pfeil::N,pil,ук
542,Gewehr::N,gevær,мылтык
543,Fehler::N,feil,хата
544,Lüge::N,løgn,ялган
545,Schaden::N,skade,зыян
546,Schaden::N,skade,зарар
547,Unglück::N,uhell,бәла
548,Schuld::N,skyld,гаеп
549,Alter::N,alder,яшь
550,Schluss::N,slutt,ахыр
551,Zeit::N,tid,заман
552,Tag::N,dag,көн
553,Morgen::N,morgen,иртә
554,Mittag::N,middag,өйлә
555,Abend::N,aften,кич
556,Nacht::N,natt,төн
557,Woche::N,uke,атна
558,Monat::N,måned,ай
559,Jahr::N,år,ел
560,Frühling::N,vår,яз
561,Sommer::N,sommer,җәй
562,Herbst::N,høst,көз
563,Winter::N,vinter,кыш
564,Januar::N,januar,гыйнвар
565,Februar::N,februar,февраль
566,März::N,mars,март
567,April::N,april,апрель
568,Mai::N,mai,май
569,Juni::N,juni,июнь
570,Juli::N,juli,июль
571,August::N,august,август
572,September::N,september,сентябрь
573,Oktober::N,oktober,октябрь
574,November::N,november,ноябрь
575,Dezember::N,desember,декабрь
576,Montag::N,mandag,дүшәмбе
577,Dienstag::N,tirsdag,сишәмбе
578,Mittwoch::N,onsdag,чәршәмбе
579,Donnerstag::N,torsdag,атнакич
580,Donnerstag::N,torsdag,пәнҗешәмбе
581,Freitag::N,fredag,җомга
582,Samstag::N,lørdag,шимбә
583,Sonntag::N,søndag,якшәмбе
584,groß::A,stor,зур
585,klein::A,liten,кечкенә
586,lang::A,lang,озын
587,kurz::A,kort,кыска
588,breit::A,bred,киң
589,schmal::A,smal,кысык
590,dicht::A,tett,куе
591,dick[Gegenstand]::A,tykk,калын
592,dünn::A,tynn,нечкә
593,fein::A,fin,нәзакәтле
594,fest::A,fast,нык
595,flach::A,flat,яссы
596,flach::A,flat,ялпак
597,glatt::A,glatt,шома
598,hart::A,hard,каты
599,weich::A,myk,йомшак
600,weich::A,bløt,йомшак
601,rund::A,rund,түгәрәк
602,spitz::A,spiss,очлы
603,scharf::A,kvass,үткен
604,stumpf::A,stubb,үтмәс
605,schwer::A,tung,салмак
606,schön::A,pen,гүзәл
607,schön::A,vakker,гүзәл
608,heiß::A,het,эссе
609,warm::A,varm,җылы
610,kalt::A,kald,суык
611,kalt::A,kald,салкын
612,kühl::A,kjølig,салкынча
613,frisch::A,fersk,салкынча
614,feucht::A,fuktig,юеш
615,nass::A,våt,дымлы
616,trocken::A,tørr,коры
617,voll::A,full,тулы
618,leer::A,tom,буш
619,offen::A,åpen,ачык
620,geschlossen::A,lukket,йомык
621,sauber::A,ren,пакь
622,sauber::A,ren,чиста
623,schmutzig::A,skitten,керле
624,schmutzig::A,skitten,пычрак
625,roh::A,rå,чи
626,reif::A,moden,өлгергән
627,lecker::A,lekker,тәмле
628,süß::A,søt,татлы
629,bitter::A,besk,ачы
630,bitter::A,bitter,ачы
631,sauer::A,sur,әче
632,hell::A,lys,якты
633,dunkel::A,mørk,кара
634,schwarz::A,svart,кара
635,weiß::A,hvit,ак
636,rot::A,rød,кызыл
637,gelb::A,gul,сары
638,blau::A,blå,күк
639,grün::A,grønn,яшел
640,grau::A,grå,соры
641,bunt::A,broket,чуар
642,billig::A,billig,арзан
643,teuer::A,dyr,хаклы
644,wertvoll::A,verdifull,кыйммәтле
645,blind::A,blind,сукыр
646,blind::A,blind,күзсез
647,taub::A,døv,чукрак
648,taub::A,døv,саңгырау
649,kräftig::A,kraftig,егәрле
650,stark::A,sterk,нык
651,stark::A,sterk,базык
652,schwach::A,svak,зәгыйфь
653,fett::A,fet,симез
654,schlank::A,slank,нәзек
655,hübsch::A,pen,чибәр
656,böse::A,slem,усал
657,dumm::A,dum,акылсыз
658,faul::A,lat,ялкау
659,faul::A,lat,иренчәк
660,faul::A,doven,ялкау
661,faul::A,doven,иренчәк
662,fleißig::A,flittig,тырыш
663,fleißig::A,flittig,тырышучан
664,geizig::A,gjerrig,саран
665,klug::A,klok,акыллы
666,geschickt::A,hendig,маһир
667,geschickt::A,skikket,маһир
668,lieb::A,kjær,сөекле
669,lieb::A,snill,сөекле
670,lustig::A,morsom,күңелле
671,sanft::A,blid,басынкы
672,hungrig::A,sulten,ач
673,krank::A,syk,чирле
674,krank::A,syk,сырхау
675,nackt::A,naken,шәрә
676,traurig::A,sørgmodig,ямансу
677,lebendig::A,levende,тере
678,gut::A,god,яхшы
679,schlecht::A,dårlig,начар
680,richtig::A,riktig,дөрес
681,schlimm::A,slem,әшәкә
682,wahr::A,sann,чып-чын
683,alt::A,gammel,иске
684,neu::A,ny,яңа
685,ehemalig::A,forhenværende,элекке
686,alt[Lebewesen]::A,gammel,карт
687,jung::A,ung,яшь
688,arm::A,fattig,фәкыйрь
689,reich::A,rik,бай
690,bekannt::A,kjent,таныш
691,berühmt::A,berømt,атаклы
692,fremd::A,fremmed,ят
693,verschieden::A,forskjellig,төрле
694,nah::A,nær,якын
695,fern::A,fjern,ерак
696,linker::A,venstre,сул
697,rechter::A,høyre,уң
698,anderer::A,annen,бүтән
699,erster::A,første,беренче
700,zweiter::A,annen,икенче
701,dritter::A,tredje,өченче
702,letzter::A,sist,ахыргы
703,allein::ADV,alene,ялгыз
704,auf einmal::ADV,med ett,бердән
705,zusammen::ADV,sammen,бергә
706,lange::ADV,lenge,озак
707,plötzlich::ADV,plutselig,искәрмәстән
708,sofort::ADV,straks,хәзер
709,später::ADV,senere,соңрак
710,jetzt::ADV,nå,хәзер
711,heute::ADV,i dag,бүген
712,morgen::ADV,i morgen,иртәгә
713,bald::ADV,snart,тиздән
714,dann::ADV,så,аннары
715,gestern::ADV,i går,кичә
716,einst::ADV,engang,берчак
717,damals::ADV,den gang,ул вакытта
718,damals::ADV,den gang,ул чакта
719,danach::ADV,deretter,да
720,vorher::ADV,før,элек
721,vorher::ADV,i forveien,элек
722,zuerst::ADV,først,башта
723,einmal::ADV,en gang,бер
724,einmal::ADV,en gang,бер мәртәбә
725,manchmal::ADV,somme tider,кайчакта
726,oft::ADV,ofte,еш
727,immer::ADV,alltid,һәркайчан
728,niemals::ADV,aldri,hичбер вакыт
729,hier::ADV,her,монда
730,hier::ADV,her,биредә
731,hierhin::ADV,hit,монда
732,von hier::ADV,herfra,моннан
733,dort::ADV,der,анда
734,dorthin::ADV,dit,тегеләй
735,geradeaus::ADV,rett fram,турыдан-туры
736,vorwärts::ADV,fram,алга
737,vorwärts::ADV,framover,алга
738,rückwärts::ADV,baklengs,кире
739,zurück::ADV,tilbake,кире
740,unten::ADV,nede,түбәндә
741,hinab::ADV,ned,аска
742,hinab::ADV,nedover,аска
743,oben::ADV,oppe,өстә
744,oben::ADV,oppe,югарыда
745,oben::ADV,ovenpå,өстә
746,oben::ADV,ovenpå,югарыда
747,hinauf::ADV,opp,өскә
748,hinauf::ADV,oppover,өскә
749,überall::ADV,overalt,hәркайда
750,nicht::ADV,ikke,түгел
751,ein wenig::ADV,litt,бераз
752,kaum::ADV,neppe,көчкә
753,sehr::ADV,svært,бик
754,so::ADV,så,алай
755,noch::ADV,enda,янә
756,noch::ADV,enda,тагын
757,nur::ADV,bare,фәкать
758,schon::ADV,alt,инде
759,schon::ADV,allerede,инде
760,wieder::ADV,igjen,янә
761,wieder::ADV,igjen,тагын
762,vergebens::ADV,forgjeves,юкка
763,vor::PRP,foran,алдыннан
764,vor::PRP,utenfor,алдыннан
765,hinter::PRP,bak,арттан
766,hinter::PRP,bakom,арттан
767,unter::PRP,under,астында
768,durch::PRP,gjennom,аша
769,durch::PRP,igjennom,аша
770,neben::PRP,ved siden av,тирәсендә
771,zwischen::PRP,mellom,арасында
772,wegen::PRP,på grunn av,сәбәпле
773,dies::PRN,dette,бу
774,das::PRN,det,ул
775,alles::PRN,alt,һәммә
776,ich::PRN,jeg,мин
777,du::PRN,du,син
778,er::PRN,han,ул
779,wir::PRN,vi,без
780,ihr::PRN,dere,сез
781,sie::PRN,de,ул
782,was::FPRN,hva,ни
783,was::FPRN,hva,нәрсә
784,wer::FPRN,hvem,кем
785,wo::FADV,hvor,кайда
786,wohin::FADV,hvor ... hen,кая
787,wie::FADV,hvordan,ничек
788,warum::FADV,hvorfor,нигә
789,wieviel::FNUM,hvor mye,ничә
790,eins::NUM,en,бер
791,eins::NUM,ett,бер
792,zwei::NUM,to,ике
793,drei::NUM,tre,өч
794,vier::NUM,fire,дүрт
795,fünf::NUM,fem,биш
796,sechs::NUM,seks,алты
797,sieben::NUM,sju,җиде
798,acht::NUM,åtte,сигез
799,neun::NUM,ni,тугыз
800,zehn::NUM,ti,ун
801,elf::NUM,elleve,унбер
802,zwölf::NUM,tolv,унике
803,zwanzig::NUM,tjue,егерме
804,dreißig::NUM,tretti,утыз
805,vierzig::NUM,førti,кырык
806,fünfzig::NUM,femti,илле
807,sechzig::NUM,seksti,алтмыш
808,siebzig::NUM,sytti,җитмеш
809,achtzig::NUM,åtti,сиксән
810,neunzig::NUM,nitti,туксан
811,hundert::NUM,hundre,йөз
812,tausend::NUM,tusen,мең
813,und::CNJ,og,вә
814,oder::CNJ,eller,яки
815,oder::CNJ,eller,яисә
816,stehen::V,stå,тору
817,sitzen::V,sitte,утыру
818,liegen::V,ligge,яту
819,hängen::V,henge,эленү
820,werden::V,bli,булу
821,passieren::V,skje,булу
822,passieren::V,hende,булу
823,beginnen::V,begynne,башлану
824,enden::V,ende,бетү
825,enden::V,slutte,бетү
826,wechseln::V,veksle,үзгәртү
827,aufgehen[Sonne]::V,stå opp,чыгу
828,untergehen[Sonne]::V,gå ned,бату
829,scheinen[Sonne]::V,skinne,яктырту
830,donnern::V,tordne,күкрәү
831,wehen::V,blåse,исү
832,strömen::V,strømme,агу
833,fließen::V,flyte,агу
834,sich drehen::V,dreie seg,бөтерелү
835,schwanken::V,svaie,икеләнү
836,schwingen::V,svinge,тирбәлү
837,fallen::V,falle,егылу
838,brennen::V,brenne,яну
