,Concept_ID,ca,av
194,Fisch::N,peix,ччугӏа
195,Barsch::N,perca,окунь
196,Hecht::N,lluç,щука
197,Schlange[Tier]::N,serp,борохь
198,Wurm::N,cuc,хӏапара
199,Spinne::N,aranya,хъанхъра
200,Ameise::N,formiga,цӏунцӏра
201,Laus::N,poll,нацӏ
202,Mücke::N,mosquit,кӏкӏара
203,Fliege::N,mosca,тӏутӏ
204,Schmetterling::N,papallona,кӏалкӏучӏ
205,Beere::N,baia,
206,Apfel::N,poma,гӏеч
207,Pilz::N,bolet,гӏурдахӏан
208,Zwiebel::N,ceba,кӏочӏопер
209,Saat::N,sembra,хьон
210,Korn::N,gra,мугь
211,Heu::N,fenc,хер
212,Schale::N,closca,хъал
213,Grube::N,sot,гвенд
214,Grube::N,clot,гвенд
215,Falle::N,trampa,къор
216,Falle::N,trampa,къотен
217,Schlinge::N,baga,кӏичӏ
218,Spur::N,traça,лъалкӏ
219,Asche::N,cendra,рахъу
220,Dreck::N,llot,гъиз
221,Dreck::N,llot,хӏарщ
222,Eisen::N,ferro,махх
223,Gold::N,or,месед
224,Silber::N,plata,гӏарац
225,Kohle::N,carbó,тӏурччи
226,Glas::N,vidre,цӏер
227,Lehm::N,fang,хӏатӏ
228,Lehm::N,argila,хӏатӏ
229,Sand::N,arena,сали
230,Mensch::N,humà,чи
231,Mensch::N,persona,чи
232,Mann::N,home,бихьинчи
233,Frau::N,dona,гӏадан
234,Kind::N,nen,лъимер
235,Junge::N,noi,вас
236,Mädchen::N,noia,яс
237,Familie::N,família,хъизан
238,Großvater::N,avi,кӏудада
239,Großmutter::N,àvia,кӏодо
240,Eltern::N,pares,эбел-эмен
241,Vater::N,pare,эмен
242,Mutter::N,mare,эбел
243,Sohn::N,fill,вас
244,Tochter::N,filla,яс
245,Bruder::N,germà,вац
246,Schwester::N,germana,яц
247,Onkel::N,oncle,даци
248,Tante::N,tia,ада
249,Ehemann::N,espòs,рос
250,Ehefrau::N,muller,чӏужу
251,Freude::N,goig,ракӏбохи
252,Freude::N,alegria,ракӏбохи
253,Gelächter::N,riallada,релъи
254,Glück::N,felicitat,талихӏ
255,Glück::N,felicitat,талихӏ-рохел
256,Kummer::N,pena,хӏалкъай
257,Wunsch::N,desig,къасд
258,Lust::N,ganes,гъира
259,Geist::N,ment,чӏанкӏ
260,Geist::N,ment,рухӏ-жан
261,Geist::N,esperit,чӏанкӏ
262,Geist::N,esperit,рухӏ-жан
263,Gedanke::N,pensament,пикру
264,Gedächtnis::N,memòria,
265,Verstand::N,raó,лумалъи
266,Verstand::N,raó,цӏодорлъи
267,Verstand::N,seny,лумалъи
268,Verstand::N,seny,цӏодорлъи
269,Sinn::N,solta,магӏна
270,Sinn::N,sentit,магӏна
271,Grund::N,raó,багьана
272,Grund::N,causa,багьана
273,Wahrheit::N,veritāt,ритӏухълъи
274,Gespräch::N,conversa,накъит
275,Märchen::N,conte,маргьа
276,Erzählung::N,narració,къиса
277,Nachricht::N,missatge,хабар
278,Neuigkeit::N,novetat,хабар-гӏазаб
279,Name::N,nom,цӏар
280,Rätsel::N,endevinalla,бицанкӏо
281,Rede::N,discurs,речь
282,Rede::N,discurs,калам
283,Sprache::N,llēngua,мацӏ
284,Stimme::N,veu,гьаракь
285,Wort::N,mot,рагӏи
286,Wort::N,paraula,рагӏи
287,Zeichen::N,signe,ишара
288,Zeichen::N,signe,гӏаламат
289,Zeichen::N,senyal,ишара
290,Zeichen::N,senyal,гӏаламат
291,Ruf::N,crida,ахӏи
292,Lärm::N,sorōll,хъуй
293,Lärm::N,sorōll,хъуди
294,Laut::N,so,гьаракь
295,Laut::N,so,сас
296,Ton::N,to,
297,Lied::N,cançó,кечӏ
298,Ruhe::N,calma,рахӏат
299,Ruhe::N,silenci,рахӏат
300,Leute::N,gent,гӏадамал
301,Volk::N,poble,халкъ
302,Arbeit::N,labor,хӏалтӏи
303,Arbeit::N,treball,хӏалтӏи
304,Gast::N,hoste,гьобол
305,Geschenk::N,regal,сайигъат
306,Geschenk::N,obsequi,сайигъат
307,Spiel::N,joc,хӏай
308,Spiel::N,joc,расанди
309,Gesellschaft::N,companyia,жамагӏат
310,Hilfe::N,ajut,кумек
311,Freund::N,amīc,гьудул
312,Kamerad::N,company,гьалмагъ
313,Kamerad::N,camarada,гьалмагъ
314,Angelegenheit::N,afer,къваригӏел
315,Angelegenheit::N,assumpte,къваригӏел
316,Anzahl::N,nombre,рикӏкӏен
317,Anzahl::N,quantitat,рикӏкӏен
318,Art::N,tipus,жинс
319,Art::N,classe,жинс
320,Stück::N,peça,кесек
321,Teil::N,part,пай
322,Hälfte::N,meitat,бащдаб
323,Kreis::N,cercle,гор
324,Kreuz::N,creu,хъанч
325,Linie::N,línia,мухъ
326,Strich::N,traç,хӏучч
327,Strich::N,ratlla,хӏучч
328,Abstand::N,distància,манзил
329,Entfernung::N,distància,манзил
330,Gegend::N,regió,рахъ
331,Gegend::N,contrada,рахъ
332,Platz::N,cabuda,бакӏ
333,Ort::N,lloc,бакӏ
334,Seite::N,banda,рахъ
335,Seite::N,costāt,рахъ
336,Mitte::N,mig,бакьулъбакӏ
337,Mitte::N,centre,бакьулъбакӏ
338,Gegenstand::N,objecte,жо
339,Sache::N,cosa,жо
340,Rand::N,vora,мицӏир
341,Rand::N,marge,мицӏир
342,Kante::N,caire,рагӏал
343,Kante::N,caire,рагӏа-ракьан
344,Kante::N,cantell,рагӏал
345,Kante::N,cantell,рагӏа-ракьан
346,Ecke::N,cantonada,цили
347,Spitze::N,punta,тӏогь
348,Ende::N,cap,кӏал
349,Loch::N,forāt,каратӏ
350,Winkel::N,racó,
351,Muster::N,dibuix,накъиш
352,Muster::N,disseny,накъиш
353,Größe::N,grandària,кӏодо́лъи
354,Länge::N,longitud,халалъи
355,Höhe::N,altura,борхалъи
356,Höhe::N,altitud,борхалъи
357,Gewicht::N,pes,бакӏлъи
358,Menge::N,quantitat,
359,Haufen::N,pila,гъуни
360,Reihe::N,fila,ирга́
361,Boot::N,bot,раса
362,Boot::N,barca,раса
363,Ruder::N,rem,раххан
364,Schlitten::N,trineu,чанагъ
365,Ski::N,esquí,лыжаби
366,Lagerfeuer::N,foc de campament,цӏа
367,Last::N,càrrega,бакӏлъи
368,Gang::N,marxa,хьвади
369,Gang::N,marxa,хьвада-чӏвади
370,Schritt::N,pas,гали
371,Norden::N,nord,шимал
372,Süden::N,sud,юг
373,Süden::N,sud,къибла
374,Westen::N,oest,гъарб
375,Westen::N,oest,магъриб
376,Westen::N,occident,гъарб
377,Westen::N,occident,магъриб
378,Osten::N,est,шаркъ
379,Osten::N,est,машрикъ
380,Osten::N,orient,шаркъ
381,Osten::N,orient,машрикъ
382,Holz::N,fusta,цӏул
383,Brett::N,taula,хъарщи
384,Platte::N,placa,къоно
385,Stütze::N,suport,
386,Stange::N,vara,гӏер
387,Stock::N,pal,тӏил
388,Stab::N,bastó,гӏер
389,Rohr::N,tub,турба
390,Haus::N,casa,ригь
391,Haus::N,casa,рукъзал
392,Heim::N,llar,рукъ
393,Ofen::N,estufa,печь
394,Fußboden::N,terra,чӏабар
395,Tisch::N,taula,стол
396,Stuhl::N,cadira,бакӏу
397,Wiege::N,bressol,кини
398,Bett::N,llit,кровать
399,Regal::N,prestatgeria,хъарщи
400,Kiste::N,caixa,ящик
401,Kiste::N,caixa,тӏалагъуд
402,Fenster::N,finestra,гордо
403,Tür::N,porta,нуцӏа
404,Tor::N,portal,каву
405,Zaun::N,tanca,раци
406,Dach::N,teulada,тӏох
407,Leiter::N,escala,мали
408,Leiter::N,escala de mà,мали
409,Besen::N,escombra,жул
410,Spaten::N,pala,бел
411,Schaufel::N,pala,раххан
412,Gabel::N,forquilla,гӏучӏ
413,Löffel::N,cullera,гъуд
414,Messer::N,coltell,нус
415,Nagel::N,clau,магӏ
416,Netz::N,filat,гьин
417,Haken::N,ganxo,гъанцӏа
418,Griff::N,puny,гӏоркь
419,Griff::N,mànec,гӏоркь
420,Schloss::N,pany,кӏулал
421,Bild::N,imatge,сурат
422,Figur::N,figura,
423,Puppe::N,nina,нани
424,Beutel::N,bossa,таргьа
425,Bündel::N,feix,къай
426,Bündel::N,paquet,къай
427,Tasche::N,bossa,сумка
428,Tasche::N,bossa,къвачӏа
429,Eimer::N,galleda,ведро
430,Deckel::N,tapa,тӏалъел
431,Deckel::N,tapa,дадитӏалъел
432,Deckel::N,tapadora,тӏалъел
433,Deckel::N,tapadora,дадитӏалъел
434,Geschirr::N,vaixella,цӏарагӏ
435,Sack::N,sac,хъап
436,Sack::N,sac,къандалъо
437,Sack::N,saca,хъап
438,Sack::N,saca,къандалъо
439,Tasse::N,tassa,чашка
440,Topf::N,pot,хьаг
441,Topf::N,olla,хьаг
442,Kessel::N,caldera,хьаг
443,Kessel::N,caldera,гереги
444,Essen::N,àpat,тӏагӏам
445,Essen::N,menjada,тӏагӏам
446,Nahrung::N,aliment,квен
447,Speise::N,plat,квен
448,Fleisch::N,carn,гьан
449,Getreide::N,cereals,бугӏа-ролъ
450,Getreide::N,cereals,могьолабл_культураби
451,Brei::N,puré,карщ
452,Brot::N,pa,чед
453,Scheibe::N,tall,мочӏу
454,Scheibe::N,llesca,мочӏу
455,Fett::N,greix,беэнлъи
456,Butter::N,mantega,нах
457,Öl::N,oli,нах
458,Salz::N,sal,цӏам
459,Suppe::N,sopa,чурпа
460,Honig::N,mel,гьоцӏо
461,Milch::N,llet,рахь
462,Tee::N,te,чай
463,Leder::N,cuir,тӏом
464,Wolle::N,llana,квас
465,Stoff::N,tela,ххам
466,Nadel::N,agulla,рокӏкӏен
467,Faden::N,fil,кун
468,Knopf::N,botó,маргъал
469,Knoten::N,nus,гарацӏ
470,Farbe::N,pintura,релъен
471,Kleidung::N,roba,ретӏел
472,Kleidung::N,vestits,ретӏел
473,Hemd::N,camisa,гурде
474,Kragen::N,coll,габур
475,Ärmel::N,màniga,къвал
476,Hose::N,pantalōns,тӏажу
477,Gürtel::N,cinturó,рачел
478,Mütze::N,gorra,тӏагъур
479,Schuh::N,sabata,
480,Stiefel::N,bota,этек
481,Stiefel::N,bota,чакма
482,Ring::N,anell,баргъич
483,Band::N,veta,лента
484,Band::N,cinta,лента
485,Kamm::N,pinta,гьоркьо
486,Spiegel::N,mirāll,матӏу
487,Riemen::N,corretja,рижу
488,Schnur::N,corda,
489,Leine::N,corretja,
490,Decke::N,manta,одея́ло
491,Decke::N,flassada,одея́ло
492,Kissen::N,coixí,къандалъо
493,Tuch::N,mocador,квархьи
494,Handtuch::N,tovallola,беркӏалрацӏцӏ
495,Kraft::N,força,гуч
496,Kraft::N,força,къуват
497,Stärke::N,vigor,хӏалкӏвей
498,Gesundheit::N,salut,сахлъи́
499,Krankheit::N,malaltia,унти
500,Krankheit::N,malaltia,щокълъи
501,Schmerz::N,dolor,унти
502,Wunde::N,ferida,ругъун
503,Fieber::N,febre,цӏа-кан
504,Arznei::N,medicament,дару
505,Brücke::N,pont,кьо
506,Brunnen::N,pou,гъуй
507,Weide::N,pastura,рицӏцӏ
508,Weide::N,pastura,лъичӏирма
509,Weide::N,pastura,гӏурдаллъи
510,Weide::N,pastura,ри́цӏигъветӏ
511,Weide::N,pastura,рицӏцӏигъветӏ
512,Pfad::N,senda,сухъмахъ
513,Pfad::N,sender,сухъмахъ
514,Weg::N,camí,нух
515,Straße::N,carretera,нух
516,Dorf::N,poble,росу
517,Stadt::N,ciutāt,шагьар
518,Brief::N,carta,кагъат
519,Brief::N,carta,рисалат
520,Buch::N,llibre,тӏехь
521,Buchstabe::N,lletra,хӏарп
522,Zeitung::N,diāri,газет
523,Leben::N,vida,яшав
524,Tod::N,mort,хвел
525,Grab::N,tomba,хоб
526,Kirche::N,església,килиса
527,Sünde::N,pecat,хӏакъ
528,Sünde::N,pecat,мунагь
529,Gott::N,déu,бичас
530,Gott::N,déu,аллагь
531,Arbeiter::N,obrer,хӏалтӏухъан
532,Chef::N,cap,хӏаким
533,Chef::N,cap,начальник
534,Meister::N,mestre,устар
535,Meister::N,mestre,мастер
536,Meister::N,mestre,махщалилав
537,Arzt::N,metge,жайрахӏ
538,Lehrer::N,mestre,мугӏалим
539,Geld::N,dinērs,гӏарац
540,Geschäft::N,negoci,
541,Laden::N,tenda,тукен
542,Laden::N,botiga,тукен
543,Preis::N,preu,багьа
544,Ware::N,mercaderia,къайи
545,Nutzen::N,profit,мунпагӏат
546,Reichtum::N,riquesa,бечелъи
547,Welt::N,món,дуниял
548,Land::N,país,улка
549,Land::N,país,икълим
550,Staat::N,estat,пачалихъ
551,König::N,rei,пача
552,König::N,rei,малик
553,König::N,rei,къирал
554,König::N,rei,падишагь
555,Macht::N,poder,кверщел
556,Macht::N,potència,кверщел
557,Grenze::N,frontera,гӏорхъи
558,Krieg::N,guerra,рагъ
559,Feind::N,enemic,тушман
560,Gewalt::N,violència,зулму
561,Kampf::N,lluita,къеркьей
562,Bogen[Waffe]::N,arc,газаргъо
563,Pfeil::N,fletxa,чӏор
564,Gewehr::N,fusell,туманкӏ
565,Gewehr::N,escopeta,туманкӏ
566,Fehler::N,falta,гъалатӏ
567,Lüge::N,mentida,гьереси
568,Schaden::N,dany,зиян
569,Schaden::N,dany,зарал
570,Unglück::N,desgràcia,балагь
571,Schuld::N,culpa,гӏайиб
572,Alter::N,edat,гӏумру
573,Schluss::N,fi,ахир
574,Schluss::N,final,ахир
575,Zeit::N,temps,заман
576,Tag::N,dia,къо
577,Morgen::N,matí,радалмех
578,Mittag::N,migdia,къадемех
579,Abend::N,vespre,релъедамех
580,Nacht::N,nit,сордо
581,Woche::N,setmana,анкь
582,Monat::N,mes,моцӏ
583,Jahr::N,any,сон
584,Jahr::N,any,лъагӏел
585,Frühling::N,primavera,их
586,Sommer::N,estīu,рии
587,Herbst::N,tardor,хасалихълъи
588,Winter::N,hivērn,кьин
589,Januar::N,gener,январь
590,Februar::N,febrer,февра́ль
591,März::N,març,март
592,April::N,abril,апрель
593,Mai::N,maig,май
594,Juni::N,juny,июнь
595,Juli::N,juliol,июль
596,August::N,agost,август
597,September::N,setembre,сентябрь
598,Oktober::N,octubre,октябрь
599,November::N,novembre,ноябрь
600,Dezember::N,desembre,декабрь
601,Montag::N,dilluns,итни
602,Dienstag::N,dimarts,талат
603,Mittwoch::N,dimecres,арбагӏ
604,Donnerstag::N,dijous,хамиз
605,Freitag::N,divendres,рузман
606,Samstag::N,dissabte,щамат
607,Sonntag::N,diumenge,гьатӏан
608,groß::A,gros,кӏудияб
609,klein::A,petīt,гьитӏинаб
610,lang::A,llarg,халатаб
611,kurz::A,curt,къокъаб
612,breit::A,ample,гӏебаб
613,schmal::A,estret,къваридаб
614,dicht::A,dens,ризаб
615,dick[Gegenstand]::A,gruixūt,бицатаб
616,dünn::A,prim,тӏеренаб
617,fein::A,fi,тӏеренаб
618,fest::A,ferm,къвакӏараб
619,fest::A,sòlid,къвакӏараб
620,flach::A,pla,чӏепараб
621,glatt::A,llis,цӏвакараб
622,hart::A,dur,кьварараб
623,weich::A,tou,тамахаб
624,rund::A,rodó,гургинаб
625,spitz::A,punxegut,бегӏераб
626,scharf::A,agut,рекӏараб
627,stumpf::A,rom,тӏехӏараб
628,stumpf::A,rom,рекӏинчӏеб
629,stumpf::A,esmussat,тӏехӏараб
630,stumpf::A,esmussat,рекӏинчӏеб
631,schwer::A,pesāt,бакӏаб
632,schön::A,bonīc,берцинаб
633,heiß::A,calēnt,лагьараб
634,warm::A,càlid,хинаб
635,kalt::A,fred,квачараб
636,kühl::A,fresc,квачараб
637,frisch::A,fresc,цӏияб
638,feucht::A,humit,рагьараб
639,nass::A,mullat,би́ччараб
640,trocken::A,sec,бакъвараб
641,voll::A,ple,
642,leer::A,buit,чӏобогояб
643,offen::A,obert,рагьараб
644,geschlossen::A,tancat,рахараб-къараб
645,sauber::A,net,бацӏцӏадаб
646,schmutzig::A,brut,гъизараб
647,roh::A,cru,хамаб
648,roh::A,cru,гӏатӏгояб
649,reif::A,madur,барщараб
650,lecker::A,deliciós,тӏагӏамаб
651,süß::A,dolç,гьуинаб
652,bitter::A,amarg,кьогӏаб
653,sauer::A,agre,цӏекӏаб
654,hell::A,clar,канаб
655,dunkel::A,fosc,бецӏаб
656,schwarz::A,negre,чӏегӏераб
657,weiß::A,blanc,хъахӏаб
658,rot::A,vermēll,багӏараб
659,gelb::A,groc,гӏобилаб
660,gelb::A,groc,тӏогьилаб
661,blau::A,blau,хъахӏилаб
662,grün::A,verd,гӏурччинаб
663,grau::A,gris,накӏкӏуяб
664,bunt::A,multicolor,къвекӏаб
665,bunt::A,multicolor,чара-гъараб
666,billig::A,barat,учузаб
667,teuer::A,car,хири́яб
668,wertvoll::A,preciós,къиматаб
669,blind::A,cec,беццаб
670,taub::A,sord,гъугъаб
671,kräftig::A,fort,гучаб
672,kräftig::A,vigorós,гучаб
673,stark::A,fort,къуватаб
674,schwach::A,feble,гӏажизаб
675,fett::A,gras,кьарияб
676,schlank::A,esvelt,чергесаб
677,hübsch::A,maco,гьайбатаб
678,böse::A,dolent,ракӏквешаб
679,dumm::A,ximple,гьагаб
680,dumm::A,ximple,гӏантаб
681,dumm::A,estúpid,гьагаб
682,dumm::A,estúpid,гӏантаб
683,faul::A,gandūl,кӏохӏалаб
684,faul::A,gandūl,кӏухӏа́лаб
685,faul::A,mandrós,кӏохӏалаб
686,faul::A,mandrós,кӏухӏа́лаб
687,fleißig::A,diligēnt,хӏаракатаб
688,geizig::A,avar,къарумаб
689,klug::A,intel·ligent,лумияб
690,geschickt::A,hàbil,махщел бугев
691,lieb::A,amat,гӏазизаб
692,lieb::A,estimat,гӏазизаб
693,lustig::A,alegre,кепаб
694,sanft::A,suau,хӏалимаб
695,sanft::A,suau,хӏере́наб
696,hungrig::A,afamat,бакъараб
697,krank::A,malālt,щокъаб
698,krank::A,malālt,унтараб
699,nackt::A,nu,гӏицӏаб
700,nackt::A,nu,чӏанкӏараб
701,traurig::A,trist,пашманаб
702,lebendig::A,viu,чӏагояб
703,gut::A,bo,лъикӏаб
704,schlecht::A,dolēnt,къадараб
705,richtig::A,just,битӏараб
706,richtig::A,correcte,битӏараб
707,schlimm::A,greu,нажасаб
708,schlimm::A,greu,къабихӏаб
709,wahr::A,vertader,хӏакъаб
710,wahr::A,vertader,битӏараб
711,wahr::A,veritable,хӏакъаб
712,wahr::A,veritable,битӏараб
713,alt::A,vell,басрияб
714,neu::A,nou,цӏияб
715,ehemalig::A,antic,цебе́госеб
716,alt[Lebewesen]::A,vell,хераб
717,jung::A,jove,тӏинчӏаб
718,jung::A,jove,гӏолохъанаб
719,arm::A,pobre,пакъираб
720,reich::A,ric,бечедаб
721,bekannt::A,conegut,лъалеб
722,berühmt::A,famós,машгьураб
723,fremd::A,estrany,чияр
724,verschieden::A,diferent,батӏи-батӏияб
725,nah::A,pròxim,гӏагарда бугеб
726,fern::A,llunyà,рикӏкӏадаб
727,fern::A,distant,рикӏкӏадаб
728,linker::A,esquerre,квегӏаб
729,rechter::A,dret,кваранаб
730,anderer::A,altre,батӏияб
731,erster::A,primer,тӏоцебесеб
732,zweiter::A,segon,кӏиабилеб
733,dritter::A,tercer,лъабабилеб
734,letzter::A,últim,ахирисеб
735,allein::ADV,sol,ялгъузго
736,auf einmal::ADV,d'una vegada,цихӏинтӏаго
737,zusammen::ADV,junt,цойида
738,lange::ADV,molt de temps,
739,plötzlich::ADV,de cop,цойидасанго
740,plötzlich::ADV,de sobte,цойидасанго
741,sofort::ADV,de seguida,гьебсагӏат
742,später::ADV,més tard,
743,jetzt::ADV,ara,гьанже
744,heute::ADV,avūi,жакъа
745,morgen::ADV,demà,метер
746,bald::ADV,aviāt,гьабсагӏаталъ
747,dann::ADV,després,цинги
748,gestern::ADV,ahir,сон
749,einst::ADV,anteriorment,цин
750,damals::ADV,llavōrs,гьебмехалъ
751,damals::ADV,llavōrs,гьебмехалда
752,damals::ADV,aleshores,гьебмехалъ
753,damals::ADV,aleshores,гьебмехалда
754,danach::ADV,després,цинги
755,danach::ADV,després,хадуса
756,vorher::ADV,abāns,цебе
757,zuerst::ADV,primer,тӏоцебе
758,einmal::ADV,una vegada,цинцӏул
759,einmal::ADV,una vegada,цихӏин
760,einmal::ADV,una vegada,цоцӏул
761,manchmal::ADV,de vegades,олоцӏул
762,oft::ADV,sovint,гӏемерго
763,immer::ADV,sempre,кидаго
764,niemals::ADV,no ... mai,киданиги
765,hier::ADV,aquí,аниб
766,hierhin::ADV,per aquí,анибехун
767,von hier::ADV,des d'aquí,гьаниса
768,dort::ADV,allí,гьениб
769,dorthin::ADV,hi,гьадаба
770,geradeaus::ADV,tot dret,битӏутӏа
771,vorwärts::ADV,endavānt,цебехун
772,rückwärts::ADV,endarrera,нахъ-нахъ
773,zurück::ADV,darrere,нахъе
