,Concept_ID,pl,hy
185,Ente::N,kaczka,բադ
186,Eule::N,sowa,բու
187,Kranich::N,żuraw,կռունկ
188,Krähe::N,wrona,ագռավ
189,Kuckuck::N,kukułka,կուկու
190,Schwan::N,łabędż,կարապ
191,Fisch::N,ryba,ձուկ
192,Barsch::N,okoń,պերկես
193,Hecht::N,szczupak,գայլաձուկ
194,Schlange[Tier]::N,wąż,օձ
195,Schlange[Tier]::N,żmija,օձ
196,Wurm::N,robak,որդ
197,Wurm::N,robak,ճիճու
198,Spinne::N,pająk,սարդ
199,Ameise::N,mrówka,միջյուն
200,Laus::N,wesz,ոջիլ
201,Mücke::N,komar,մժղուկ
202,Fliege::N,mucha,ճանճ
203,Schmetterling::N,motyl,թիթեռ
204,Beere::N,jagoda,հատապտուղ
205,Apfel::N,jabłko,խնձոր
206,Pilz::N,grzyb,սունկ
207,Zwiebel::N,cebula,սոխ
208,Saat::N,siew,սերմ
209,Korn::N,ziarno,հատիկ
210,Heu::N,siano,խոտ
211,Schale::N,łupina,կեղեւ
212,Grube::N,dół,փոս
213,Grube::N,jama,փոս
214,Falle::N,pułapka,ծուղակ
215,Schlinge::N,sidła,խեղդան
216,Spur::N,ślad,հետք
217,Asche::N,popiół,մոխիր
218,Dreck::N,brud,աղտ
219,Eisen::N,żelazo,երկաթ
220,Gold::N,złoto,ոսկի
221,Silber::N,srebro,արծաթ
222,Kohle::N,węgiel,քարածուխ
223,Glas::N,szkło,ապակի
224,Lehm::N,glina,կավ
225,Sand::N,piasek,ավազ
226,Mensch::N,człowiek,մարդ
227,Mann::N,mężczyzna,մարդ
228,Mann::N,mężczyzna,տղամարդ
229,Frau::N,kobieta,կին
230,Kind::N,dziecko,զավակ
231,Junge::N,chłopak,տղա
232,Junge::N,chłopiec,տղա
233,Mädchen::N,dziewczynka,աղջիկ
234,Familie::N,rodzina,ընտանիք
235,Großvater::N,dziadek,պապ
236,Großmutter::N,babka,տատ
237,Eltern::N,rodzice,ծնողներ
238,Vater::N,ojciec,հայր
239,Mutter::N,matka,մայր
240,Sohn::N,syn,որդի
241,Tochter::N,córka,աղջիկ
242,Tochter::N,córka,դուստր
243,Bruder::N,brat,եղբայր
244,Schwester::N,siostra,քույր
245,Onkel::N,wuj,քեռի
246,Onkel::N,wuj,հորեղբայր
247,Onkel::N,stryj,քեռի
248,Onkel::N,stryj,հորեղբայր
249,Tante::N,ciotka,մորաքույր
250,Ehemann::N,mąż,մարդ
251,Ehemann::N,mąż,ամուսին
252,Ehefrau::N,żona,կին ամուսին
253,Freude::N,radość,ուրախություն
254,Gelächter::N,śmiech,ծիծաղ
255,Glück::N,szczęście,երջանկություն
256,Kummer::N,zmartwienie,վիշտ
257,Wunsch::N,życzenie,ցանկություն
258,Lust::N,chęć,փափագ
259,Lust::N,chęć,իղձ
260,Lust::N,ochota,փափագ
261,Lust::N,ochota,իղձ
262,Geist::N,duch,ոգի
263,Gedanke::N,myśl,միտք
264,Gedächtnis::N,pamięć,հիշողություն
265,Verstand::N,rozum,խելք
266,Sinn::N,zmysł,իմաստ
267,Grund::N,powód,պատճառ
268,Wahrheit::N,prawda,ճշմարտություն
269,Gespräch::N,rozmowa,զրույց
270,Märchen::N,bajka,պայիկի պատմություն
271,Erzählung::N,opowiadanie,պատմվածք
272,Erzählung::N,opowiadanie,պատմություն
273,Nachricht::N,wiadomość,հաղորդագրություն
274,Neuigkeit::N,nowina,լուր
275,Neuigkeit::N,nowina,նորություն
276,Name::N,imię,անուն
277,Rätsel::N,zagadka,բարդ խնդիր
278,Rede::N,mowa,ճառ
279,Rede::N,mowa,ելույթ
280,Sprache::N,język,լեզու
281,Stimme::N,głos,ձայն
282,Wort::N,słowo,բառ
283,Zeichen::N,znak,նշան
284,Ruf::N,wołanie,կոչ
285,Ruf::N,wołanie,կանչ
286,Lärm::N,hałas,աղմուկ
287,Lärm::N,zgiełk,աղմուկ
288,Laut::N,dźwięk,հնչյուն
289,Laut::N,dźwięk,ձայն
290,Ton::N,ton,տոն
291,Ton::N,dźwięk,տոն
292,Lied::N,pieśń,երգ
293,Lied::N,piosenka,երգ
294,Ruhe::N,spokój,անդորրություն
295,Leute::N,ludzie,մարդիկ
296,Volk::N,naród,ազգ
297,Arbeit::N,praca,գործ
298,Arbeit::N,praca,աշխատանք
299,Arbeit::N,robota,գործ
300,Arbeit::N,robota,աշխատանք
301,Gast::N,gość,հյուր
302,Geschenk::N,prezent,նվեր
303,Geschenk::N,podarunek,նվեր
304,Spiel::N,gra,խաղ
305,Spiel::N,zabawa,խաղ
306,Gesellschaft::N,towarzystwo,ընկերություն
307,Hilfe::N,pomoc,օգնությթուն
308,Freund::N,przyjaciel,ընկեր
309,Freund::N,przyjaciel,բարեկամ
310,Kamerad::N,kolega,ուղեկից
311,Angelegenheit::N,sprawa,բան
312,Angelegenheit::N,sprawa,գործ
313,Anzahl::N,ilość,քանակ
314,Anzahl::N,ilość,գումար
315,Art::N,rodzaj,տեսակ
316,Stück::N,kawałek,կտոր
317,Teil::N,część,մաս
318,Hälfte::N,połowa,կես
319,Kreis::N,krąg,շիջանակ
320,Kreuz::N,krzyż,խաչ
321,Linie::N,linia,գիծ
322,Strich::N,kreska,գիծ
323,Abstand::N,odstęp,անջրպետ
324,Entfernung::N,odległość,հեռավորություն
325,Gegend::N,okolica,շրջան
326,Platz::N,miejsce,տարածություն
327,Ort::N,miejsce,տեղ
328,Ort::N,miejsce,վայր
329,Seite::N,bok,կողմ
330,Seite::N,strona,կողմ
331,Mitte::N,środek,մեջտեղ
332,Gegenstand::N,przedmiot,առարկա
333,Sache::N,rzecz,բան
334,Rand::N,skraj,վերջք
335,Rand::N,krawędź,վերջք
336,Kante::N,kant,եզր
337,Kante::N,krawędź,եզր
338,Ecke::N,róg,անկյուն
339,Spitze::N,ostrze,ծայր
340,Ende::N,koniec,ծայր
341,Loch::N,dziura,անցք
342,Winkel::N,kąt,անկյուն
343,Winkel::N,kącik,անկյուն
344,Muster::N,wzór,օրինակ
345,Größe::N,rozmiar,մեծություն
346,Größe::N,wielkość,մեծություն
347,Länge::N,długość,երկարություն
348,Höhe::N,wysokość,բարձրություն
349,Gewicht::N,ciężar,կշիռ
350,Menge::N,ilość,քանակ
351,Haufen::N,kupa,դեզ
352,Haufen::N,kupa,կույտ
353,Reihe::N,rząd,շարք
354,Reihe::N,rząd,կարգ
355,Reihe::N,szereg,շարք
356,Reihe::N,szereg,կարգ
357,Boot::N,łódź,նավակ
358,Boot::N,łódka,նավակ
359,Ruder::N,wiosło,թի
360,Ruder::N,wiosło,թիակ
361,Schlitten::N,sanki,բալխիր
362,Ski::N,narta,դահուկ
363,Lagerfeuer::N,ognisko,բացօդեայ կրակ
364,Last::N,ciężar,բեռ
365,Last::N,brzemię,բեռ
366,Gang::N,chód,զբոսանք
367,Schritt::N,krok,քայլ
368,Norden::N,północ,հյուսիս
369,Süden::N,południe,հարավ
370,Westen::N,zachód,արեւմուտք
371,Osten::N,wschód,արեւելք
372,Holz::N,drzewo,փայտ
373,Brett::N,deska,տախտակ
374,Platte::N,płyta,թիթեղ
375,Stütze::N,podpora,նեցուկ
376,Stange::N,drąg,ձող
377,Stange::N,żerdź,ձող
378,Stock::N,kij,փայտ
379,Stock::N,laska,փայտ
380,Stab::N,pręt,ցուպ
381,Stab::N,pręt,գավազան
382,Rohr::N,rura,խողովակ
383,Haus::N,dom,տուն
384,Heim::N,dom,տուն
385,Ofen::N,piec,վառարան
386,Fußboden::N,podłoga,հատակ
387,Tisch::N,stół,սեղան
388,Stuhl::N,krzesło,աթոռ
389,Wiege::N,kołyska,օրորոց
390,Bett::N,łóżko,անկողին
391,Bett::N,pościel,անկողին
392,Regal::N,regał,դարակ
393,Kiste::N,skrzynia,տուփ
394,Fenster::N,okno,պատուհան
395,Tür::N,drzwi,դուռ
396,Tor::N,brama,դարպաս
397,Zaun::N,płot,ցանկապատ
398,Zaun::N,parkan,ցանկապատ
399,Dach::N,dach,տանիք
400,Dach::N,dach,կտուր
401,Leiter::N,drabina,սանդուղք
402,Besen::N,miotła,ավել
403,Spaten::N,rydel,բահ
404,Schaufel::N,łopata,թի
405,Gabel::N,widelec,պատառաքաղ
