,Concept_ID,no,br
94,Schmutz::N,skitt,fank
95,See::N,sjø,lenn
96,Sumpf::N,sump,gwern
97,Sumpf::N,myrlende,gwern
98,Moor::N,myr,taouarc'heg
99,Moor::N,myrhei,taouarc'heg
100,Wiese::N,eng,prad
101,Wald::N,skog,koad
102,Hügel::N,haug,torgenn
103,Hügel::N,bakke,torgenn
104,Anhöhe::N,haug,run
105,Anhöhe::N,bakke,run
106,Berg::N,berg,menez
107,Berg::N,fjell,menez
108,Gipfel::N,topp,barr
109,Höhle::N,hule,kav
110,Abhang::N,li,naou
111,Abhang::N,skråning,naou
112,Quelle::N,kilde,feunteun
113,Bach::N,bekk,gwazh
114,Fluss::N,elv,stêr
115,Ufer::N,bredd,ribl
116,Küste::N,kyst,aod
117,Festland::N,fastland,douar
118,Meer::N,hav,mor
119,Bucht::N,bukt,mor-bihan
120,Insel::N,øy,enez
121,Blume::N,blomst,bleunienn
122,Gras::N,gress,geot
123,Wurzel::N,rot,gwrizienn
124,Baum::N,tre,gwezenn
125,Stamm::N,stamme,kef
126,Rinde::N,bark,rusk
127,Ast::N,gren,barr
128,Zweig::N,kvist,bod
129,Blatt::N,blad,delienn
130,Birke::N,bjørk,bezvenn
131,Kiefer[Baum]::N,furu,pinenn
132,Weide[Baum]::N,selje,halegenn
133,Weide[Baum]::N,piletre,halegenn
134,Tanne::N,gran,sapenn
135,Horn::N,horn,korn
136,Feder::N,fjær,pluñv
137,Fell::N,skinn,kreoñ
138,Flügel::N,vinge,askell
139,Klaue::N,klauv,skilf
140,Kralle::N,klo,skilf
141,Schwanz::N,hale,lost
142,Ei::N,egg,vi
143,Nest::N,rede,neizh
144,Bau::N,hi,douarenn
145,Tier::N,dyr,loen
146,Herde::N,flokk,tropell
147,Kuh::N,ku,buoc'h
148,Bulle::N,tyr,tarv
149,Pferd::N,hest,marc'h
150,Schaf::N,får,dañvad
151,Schwein::N,gris,pemoc'h
152,Hund::N,hund,ki
153,Katze::N,katt,kazh
154,Bär::N,bjørn,arzh
155,Eichhörnchen::N,ekorn,gwiñver
156,Elch::N,elg,karv-dour
157,Fuchs::N,rev,louarn
158,Hase::N,hare,gad
159,Maus::N,mus,logodenn
160,Wolf::N,ulv,bleiz
161,Wolf::N,varg,bleiz
162,Vogel::N,fugl,labous
163,Schwarm::N,sverm,nijad
164,Huhn::N,høne,yar
165,Hahn::N,hane,kilhog
166,Gans::N,gås,gwazenn
167,Adler::N,ørn,erer
168,Ente::N,and,houad
169,Eule::N,ugle,toud
170,Kranich::N,trane,garan
171,Krähe::N,kråke,bran
172,Kuckuck::N,gjøk,koukoug
173,Schwan::N,svane,alarc'h
174,Fisch::N,fisk,pesk
175,Barsch::N,abbor,brell
176,Hecht::N,gjedde,beked
177,Schlange[Tier]::N,orm,naer
178,Schlange[Tier]::N,slange,naer
179,Wurm::N,orm,preñv
180,Wurm::N,mark,preñv
181,Spinne::N,edderkopp,kevnidenn
182,Ameise::N,maur,merion
183,Laus::N,lus,laouenn
184,Mücke::N,mygg,moustik
185,Fliege::N,flue,kelienenn
186,Schmetterling::N,sommerfugl,balafenn
187,Beere::N,bær,hog
188,Apfel::N,eple,aval
189,Pilz::N,sopp,kabell-touseg
190,Zwiebel::N,løk,ognonenn
191,Saat::N,sæd,had
192,Korn::N,korn,ed
193,Heu::N,høy,foenn
194,Schale::N,skall,peliadur
195,Grube::N,grop,
196,Falle::N,felle,pech
197,Schlinge::N,snare,krouglas
198,Spur::N,spor,
199,Asche::N,aske,ludu
200,Dreck::N,møkk,fank
201,Dreck::N,skitt,fank
202,Eisen::N,jern,houarn
203,Gold::N,gull,aour
204,Silber::N,sølv,arc'hant
205,Kohle::N,kol,glaou
206,Kohle::N,kull,glaou
207,Glas::N,glass,gwer
208,Lehm::N,leire,
209,Sand::N,sand,traezh
210,Mensch::N,menneske,den
211,Mann::N,mann,den
212,Frau::N,kvinne,maouez
213,Kind::N,barn,bugel
214,Junge::N,gutt,paotr
215,Mädchen::N,pike,plac'h
216,Mädchen::N,jente,plac'h
217,Familie::N,familie,familh
218,Großvater::N,bestefar,tad-kozh
219,Großmutter::N,bestemor,mamm-gozh
220,Eltern::N,foreldre,kerent
221,Vater::N,far,tad
222,Mutter::N,mor,mamm
223,Sohn::N,sønn,mab
224,Tochter::N,datter,merc'h
225,Bruder::N,bror,breur
226,Schwester::N,søster,c'hoar
227,Onkel::N,onkel,eontr
228,Tante::N,tante,moereb
229,Ehemann::N,ektemann,gwaz
230,Ehefrau::N,hustru,gwreg
231,Freude::N,glede,levenez
232,Gelächter::N,latter,c'hoarzherezh
233,Glück::N,lykke,chañs
234,Kummer::N,sorg,doan
235,Wunsch::N,ønske,c'hoant
236,Lust::N,lyst,c'hoant
237,Geist::N,ånd,spered
238,Gedanke::N,tanke,soñj
239,Gedächtnis::N,minne,eñvor
240,Gedächtnis::N,hukommelse,eñvor
241,Verstand::N,forstand,skiant
242,Sinn::N,mening,ster
243,Sinn::N,betydning,ster
244,Grund::N,grunn,kaoz
245,Wahrheit::N,sannhet,gwirionez
246,Gespräch::N,samtale,kaozeadenn
247,Märchen::N,eventyr,kaoz korriganez
248,Erzählung::N,fortelling,kontadenn
249,Nachricht::N,melding,keloù
250,Neuigkeit::N,nyhet,kelaouenn
251,Name::N,navn,anv
252,Rätsel::N,gåte,divinatez
253,Rede::N,tale,diskour
254,Sprache::N,språk,yezh
255,Stimme::N,stemme,mouezh
256,Wort::N,ord,ger
257,Zeichen::N,tegn,sin
258,Ruf::N,rop,galv
259,Lärm::N,bråk,trouz
260,Laut::N,lyd,
261,Ton::N,tone,ton
262,Lied::N,vise,kanaouenn
263,Ruhe::N,ro,sioulded
264,Leute::N,folk,tud
265,Volk::N,folk,pobl
266,Arbeit::N,arbeid,labour
267,Gast::N,gjest,kouviad
268,Geschenk::N,gave,prof
269,Spiel::N,lek,c'hoari
270,Spiel::N,spill,c'hoari
271,Gesellschaft::N,selskap,kompagnunezh
272,Gesellschaft::N,selskap,kavandad
273,Hilfe::N,hjelp,sikour
274,Freund::N,venn,mignon
275,Kamerad::N,kamerat,kamarad
276,Angelegenheit::N,sak,afer
277,Angelegenheit::N,anliggende,afer
278,Anzahl::N,antall,niver
279,Art::N,art,sort
280,Art::N,slag,sort
281,Stück::N,stykke,tamm
282,Teil::N,del,pezh
283,Hälfte::N,halvdel,hanterenn
284,Kreis::N,ring,kelc'h
285,Kreis::N,sirkel,kelc'h
286,Kreuz::N,kors,kroaz
287,Kreuz::N,kryss,kroaz
288,Linie::N,linje,linenn
289,Strich::N,strek,tenn
290,Abstand::N,avstand,distok
291,Entfernung::N,avstand,keid
292,Entfernung::N,avstand,kehid
293,Gegend::N,strøk,korn-bro
294,Platz::N,plass,plasenn
295,Ort::N,sted,lec'h
296,Seite::N,side,tu
297,Mitte::N,midte,kreiz
298,Gegenstand::N,gjenstand,tra
299,Sache::N,sak,tra
300,Rand::N,rand,kantenn
301,Kante::N,kant,kantenn
302,Ecke::N,hjørne,korn
303,Spitze::N,spiss,begell
304,Ende::N,ende,dibenn
305,Loch::N,hull,toull
306,Winkel::N,vinkel,
307,Muster::N,mønster,tresadenn
308,Größe::N,størrelse,ment
309,Länge::N,lengde,hirder
310,Höhe::N,høyde,uhelder
311,Gewicht::N,vekt,pouez
312,Menge::N,mengde,bern
313,Haufen::N,haug,bern
314,Haufen::N,bunke,bern
315,Reihe::N,rekke,steud
316,Boot::N,båt,bag
317,Ruder::N,åre,roeñv
318,Schlitten::N,slede,trainell
319,Schlitten::N,kjelke,trainell
320,Ski::N,ski,ski
321,Lagerfeuer::N,leirbål,
322,Last::N,bør,karg
323,Last::N,last,karg
324,Gang::N,gang,kerzh
325,Schritt::N,steg,paz
326,Schritt::N,skritt,paz
327,Norden::N,nord,norzh
328,Norden::N,nord,hanternoz
329,Süden::N,sør,su
330,Süden::N,sør,kreisteiz
331,Westen::N,vest,kuzh-heol
332,Osten::N,øst,reter
333,Osten::N,øst,sav-heol
334,Holz::N,tre,koad
335,Brett::N,fjøl,plankenn
336,Brett::N,brett,plankenn
337,Platte::N,plate,plakenn
338,Stütze::N,støtte,harp
339,Stange::N,stang,sparl
340,Stock::N,pinne,bazh
341,Stab::N,stav,bazh
342,Stab::N,kjepp,bazh
343,Rohr::N,rør,tub
344,Rohr::N,rør,korz
345,Haus::N,hus,ti
346,Heim::N,hjem,kêr
347,Ofen::N,ovn,forn
348,Fußboden::N,gulv,plañchod
349,Tisch::N,bord,taol
350,Stuhl::N,stol,kador
351,Wiege::N,vogge,kavell
352,Bett::N,seng,gwele
353,Regal::N,reol,estajerenn
354,Regal::N,hylle,estajerenn
355,Kiste::N,kasse,kased
356,Fenster::N,vindu,prenestr
357,Tür::N,dør,dor
358,Tor::N,port,portal
359,Zaun::N,gjerde,sklotur
360,Dach::N,tak,toenn
361,Leiter::N,stige,skeul
362,Besen::N,kost,skubell
363,Spaten::N,spade,pal
364,Schaufel::N,skuffe,pal
365,Gabel::N,gaffel,fourchetez
366,Löffel::N,skje,loa
367,Messer::N,kniv,kontell
368,Nagel::N,spiker,tach
369,Netz::N,nett,roued
370,Haken::N,krok,krog
371,Griff::N,tak,kemer
372,Griff::N,håndtak,kemer
373,Schloss::N,lås,potenn
374,Bild::N,bilde,skeudenn
375,Figur::N,figur,skeud
376,Figur::N,figur,figur
377,Puppe::N,dukke,merc'hodenn
378,Beutel::N,pose,sac'h
379,Bündel::N,bylt,feskenn
380,Tasche::N,veske,sac'h
381,Eimer::N,bøtte,sailh
382,Deckel::N,lokk,pallenn
383,Geschirr::N,kjøkkentøy,listriaj
384,Sack::N,sekk,sac'h
385,Tasse::N,kopp,tas
386,Topf::N,gryte,pod
387,Kessel::N,kjele,chaodouron
388,Essen::N,mål,pred
389,Nahrung::N,mat,boued
390,Nahrung::N,næring,boued
391,Speise::N,matrett,meuz
392,Fleisch::N,kjøtt,kig
393,Getreide::N,korn,ed
394,Brei::N,grøt,yod
395,Brot::N,brød,bara
396,Scheibe::N,skive,tailhenn
397,Fett::N,fett,lard
398,Butter::N,smør,amann
399,Öl::N,olje,eoul
400,Salz::N,salt,holen
401,Suppe::N,suppe,soubenn
402,Honig::N,honning,mel
403,Milch::N,melk,laezh
404,Tee::N,te,te
405,Leder::N,lær,lêr
406,Leder::N,skinn,lêr
407,Wolle::N,ull,gloan
408,Stoff::N,tøy,danvez
409,Stoff::N,stoff,danvez
410,Nadel::N,nål,nadoz
411,Faden::N,tråd,neudenn
412,Knopf::N,knapp,bouton
413,Knoten::N,knute,skoulm
414,Farbe::N,farge,liv
415,Kleidung::N,påkledning,dilhad
416,Hemd::N,skjorte,roc'hed
417,Kragen::N,krage,gouzoug
418,Ärmel::N,erme,milgin
419,Hose::N,bukse,bragoù
420,Gürtel::N,belte,gouriz
421,Mütze::N,lue,boned
422,Schuh::N,sko,botez
423,Stiefel::N,støvel,botez
424,Ring::N,ring,gwalenn
425,Band::N,band,bagad
426,Kamm::N,kam,krib
427,Spiegel::N,speil,melezour
428,Riemen::N,rem,lerenn
429,Schnur::N,snor,kordenn
430,Leine::N,line,roll
431,Decke::N,teppe,golo
432,Kissen::N,pute,goubenner
433,Tuch::N,tøy,mezher
434,Handtuch::N,håndkle,toailhon
435,Kraft::N,kraft,nerzh
436,Stärke::N,styrke,nerzhder
437,Gesundheit::N,helse,yec'hed
438,Gesundheit::N,sunnhet,yec'hed
439,Krankheit::N,syke,klañved
440,Krankheit::N,sykdom,klañved
441,Schmerz::N,smerte,poan
442,Schmerz::N,smerte,droug
443,Wunde::N,sår,gloazadenn
444,Fieber::N,feber,terzhienn
445,Arznei::N,medisin,louzoù
446,Arznei::N,legemiddel,louzoù
447,Brücke::N,bro,pont
448,Brunnen::N,brønn,puñs
449,Weide::N,beite,prad
450,Pfad::N,sti,gwenodenn
451,Weg::N,vei,hent
452,Straße::N,gate,ru
453,Straße::N,gate,hent
454,Dorf::N,landsby,kêr
455,Dorf::N,landsby,kêriadenn
456,Stadt::N,by,kêr
457,Brief::N,brev,lizher
458,Buch::N,bok,levr
459,Buchstabe::N,bokstav,lizherenn
460,Zeitung::N,avis,kazetenn
461,Leben::N,liv,buhez
462,Tod::N,død,marv
463,Grab::N,grav,bez
464,Kirche::N,kirke,iliz
465,Sünde::N,synd,pec'hed
466,Gott::N,gud,doue
467,Arbeiter::N,arbeider,labourer
468,Arbeiter::N,arbeider,micherour
469,Chef::N,sjef,penn
470,Meister::N,mester,mestr
471,Arzt::N,lege,mezeg
472,Arzt::N,lege,medisin
473,Lehrer::N,lærer,skolaer
474,Lehrer::N,lærer,kelenner
475,Geld::N,penger,arc'hant
476,Geschäft::N,forretning,stal
477,Laden::N,butikk,stal
478,Preis::N,pris,priz
479,Ware::N,vare,marc'hadourezh
480,Nutzen::N,nytte,gounidegezh
481,Nutzen::N,nytte,lañs
482,Nutzen::N,nytte,profit
483,Nutzen::N,nytte,spleit
484,Reichtum::N,rikdom,pinvidigezh
485,Welt::N,verden,douar
486,Land::N,land,bro
487,Staat::N,stat,stad
488,König::N,konge,roue
489,Macht::N,makt,galloud
490,Grenze::N,grense,harzoù
491,Krieg::N,krig,brezel
492,Feind::N,fiende,eneber
493,Gewalt::N,vold,tâerder
494,Kampf::N,kamp,kann
495,Bogen[Waffe]::N,bue,gwareg
496,Pfeil::N,pil,saezh
497,Gewehr::N,gevær,fuzuilh
498,Fehler::N,feil,fazi
499,Lüge::N,løgn,gaou
500,Schaden::N,skade,gwall
501,Unglück::N,uhell,gwalleur
502,Schuld::N,skyld,kablusted
503,Schuld::N,skyld,pec'hedigezh
504,Alter::N,alder,oad
505,Schluss::N,slutt,diwezh
506,Zeit::N,tid,amzer
507,Tag::N,dag,deizh
508,Morgen::N,morgen,beure
509,Morgen::N,morgen,mintin
510,Mittag::N,middag,kreisteiz
511,Abend::N,aften,abardaez
512,Nacht::N,natt,noz
513,Woche::N,uke,sizhun
514,Monat::N,måned,miz
515,Jahr::N,år,bloaz
516,Frühling::N,vår,nevezamzer
517,Sommer::N,sommer,hañv
518,Herbst::N,høst,diskaramzer
519,Winter::N,vinter,goañv
520,Januar::N,januar,Genver
521,Februar::N,februar,C'hwevrer
522,März::N,mars,Meurzh
523,April::N,april,Ebrel
524,Mai::N,mai,Mae
525,Juni::N,juni,Mezheven
526,Juli::N,juli,Gouhere
527,August::N,august,Eost
528,September::N,september,Gwengolo
529,Oktober::N,oktober,Here
530,November::N,november,Du
531,Dezember::N,desember,Kerzu
532,Montag::N,mandag,Lun
533,Dienstag::N,tirsdag,Meurzh
534,Mittwoch::N,onsdag,Merc'her
535,Donnerstag::N,torsdag,Yaou
536,Freitag::N,fredag,Gwener
537,Samstag::N,lørdag,Sadorn
538,Sonntag::N,søndag,Sul
539,groß::A,stor,bras
540,klein::A,liten,bihan
541,lang::A,lang,hir
542,kurz::A,kort,berr
543,breit::A,bred,ledan
544,schmal::A,smal,strizh
545,dicht::A,tett,stank
546,dick[Gegenstand]::A,tykk,tev
547,dünn::A,tynn,moan
548,fein::A,fin,munut
549,fest::A,fast,start
550,flach::A,flat,plaen
551,glatt::A,glatt,lintr
552,glatt::A,glatt,levn
553,hart::A,hard,kalet
554,weich::A,myk,blot
555,weich::A,bløt,blot
556,rund::A,rund,ront
557,spitz::A,spiss,poentet
558,scharf::A,kvass,dremm
559,stumpf::A,stubb,talsoc'h
560,schwer::A,tung,pounner
561,schön::A,pen,kaer
562,schön::A,vakker,kaer
563,heiß::A,het,tomm
564,warm::A,varm,tomm
565,kalt::A,kald,yen
566,kühl::A,kjølig,yen
567,frisch::A,fersk,fresk
568,feucht::A,fuktig,gleb
569,nass::A,våt,gleb
570,trocken::A,tørr,sec'h
571,voll::A,full,leun
572,leer::A,tom,goullo
573,offen::A,åpen,digor
574,geschlossen::A,lukket,serr
575,sauber::A,ren,naet
576,schmutzig::A,skitten,lous
577,roh::A,rå,kriz
578,reif::A,moden,darev
579,lecker::A,lekker,lipous
580,lecker::A,lekker,saourus
581,süß::A,søt,dous
582,bitter::A,besk,c'hwerv
583,bitter::A,bitter,c'hwerv
584,sauer::A,sur,trenk
585,hell::A,lys,sklaer
586,dunkel::A,mørk,teñval
587,schwarz::A,svart,du
588,weiß::A,hvit,gwenn
589,rot::A,rød,ruz
590,gelb::A,gul,melen
591,blau::A,blå,glas
592,grün::A,grønn,gwer
593,grau::A,grå,louet
594,bunt::A,broket,liesliv
595,billig::A,billig,marc'had-mat
596,teuer::A,dyr,ker
597,wertvoll::A,verdifull,prizius
598,blind::A,blind,dall
599,taub::A,døv,bouzar
600,kräftig::A,kraftig,start
601,stark::A,sterk,kreñv
602,schwach::A,svak,gwan
603,fett::A,fet,lard
604,schlank::A,slank,sinkl
605,hübsch::A,pen,koant
606,böse::A,slem,gwall
607,dumm::A,dum,glep
608,faul::A,lat,lezirek
609,faul::A,doven,lezirek
610,fleißig::A,flittig,studius
611,geizig::A,gjerrig,tost
612,klug::A,klok,speredek
613,geschickt::A,hendig,dornet
614,geschickt::A,skikket,dornet
615,lieb::A,kjær,koant
616,lieb::A,snill,koant
617,lustig::A,morsom,laouen
618,sanft::A,blid,flour
619,hungrig::A,sulten,marnaon
620,krank::A,syk,klañv
621,nackt::A,naken,noazh
622,traurig::A,sørgmodig,trist
623,lebendig::A,levende,bev
624,gut::A,god,mad
625,schlecht::A,dårlig,fall
626,schlecht::A,dårlig,gwall
627,richtig::A,riktig,reizh
628,schlimm::A,slem,gwall
629,wahr::A,sann,gwir
630,alt::A,gammel,kozh
631,neu::A,ny,nevez
632,ehemalig::A,forhenværende,kozh
633,alt[Lebewesen]::A,gammel,kozh
634,jung::A,ung,yaouank
635,arm::A,fattig,paour
636,reich::A,rik,pinvidik
637,bekannt::A,kjent,anavezet
638,berühmt::A,berømt,brudet
639,fremd::A,fremmed,dizanav
640,verschieden::A,forskjellig,disheñel
641,nah::A,nær,nes
642,fern::A,fjern,diabell
643,linker::A,venstre,kleiz
644,rechter::A,høyre,dehoù
645,anderer::A,annen,all
646,erster::A,første,kentañ
647,zweiter::A,annen,eil
648,dritter::A,tredje,trede
649,letzter::A,sist,diwezhañ
650,allein::ADV,alene,e-unan
651,auf einmal::ADV,med ett,ar un dro
652,zusammen::ADV,sammen,asambles
653,lange::ADV,lenge,pell
654,plötzlich::ADV,plutselig,en un taol
655,sofort::ADV,straks,diouzhtu
656,später::ADV,senere,diwezhatoc'h
657,jetzt::ADV,nå,bremañ
658,heute::ADV,i dag,hiziv
659,morgen::ADV,i morgen,arc'hoazh
660,bald::ADV,snart,hepdale
661,dann::ADV,så,a-c'houde
662,gestern::ADV,i går,dec'h
663,einst::ADV,engang,gwechall
664,damals::ADV,den gang,neuze
665,danach::ADV,deretter,goude
666,vorher::ADV,før,diagent
667,vorher::ADV,i forveien,diagent
668,zuerst::ADV,først,da gentañ
669,einmal::ADV,en gang,ur wech
670,manchmal::ADV,somme tider,a-wechoù
671,oft::ADV,ofte,alies
672,immer::ADV,alltid,atav
673,immer::ADV,alltid,bepred
674,niemals::ADV,aldri,gwech ebet
675,hier::ADV,her,amañ
676,hierhin::ADV,hit,dre amañ
677,von hier::ADV,herfra,alemañ
678,dort::ADV,der,aze
679,dort::ADV,der,ahont
680,dorthin::ADV,dit,di
681,dorthin::ADV,dit,aze
682,dorthin::ADV,dit,ahont
683,geradeaus::ADV,rett fram,war-eeun
684,vorwärts::ADV,fram,war-raok
685,vorwärts::ADV,framover,war-raok
686,rückwärts::ADV,baklengs,war-lerc'h
687,zurück::ADV,tilbake,war-dreñv
688,unten::ADV,nede,en traoñ
689,hinab::ADV,ned,a-izel
690,hinab::ADV,nedover,a-izel
691,oben::ADV,oppe,en nec'h
692,oben::ADV,ovenpå,en nec'h
693,hinauf::ADV,opp,e-krec'h
694,hinauf::ADV,oppover,e-krec'h
695,überall::ADV,overalt,dre-holl
696,nicht::ADV,ikke,ne ... ket
697,ein wenig::ADV,litt,un tammig
698,kaum::ADV,neppe,a-boan
699,sehr::ADV,svært,-tre
700,sehr::ADV,svært,-kenañ
701,so::ADV,så,evel-se
702,noch::ADV,enda,c'hoazh
703,nur::ADV,bare,hepken
704,schon::ADV,alt,dija
705,schon::ADV,allerede,dija
706,wieder::ADV,igjen,adarre
707,vergebens::ADV,forgjeves,
708,vor::PRP,foran,dirak
709,vor::PRP,utenfor,dirak
710,hinter::PRP,bak,a-drek
711,hinter::PRP,bak,a-dreñv
712,hinter::PRP,bakom,a-drek
713,hinter::PRP,bakom,a-dreñv
714,unter::PRP,under,dindan
715,durch::PRP,gjennom,dre
716,durch::PRP,igjennom,dre
717,neben::PRP,ved siden av,e-kichen
718,zwischen::PRP,mellom,etre
719,wegen::PRP,på grunn av,abalamour da
720,dies::PRN,dette,hemañ
721,das::PRN,det,se
722,das::PRN,det,hennezh
723,alles::PRN,alt,pep tra
724,ich::PRN,jeg,me
725,du::PRN,du,te
726,er::PRN,han,eñ
727,wir::PRN,vi,ni
728,ihr::PRN,dere,c'hwi
729,sie::PRN,de,int
730,was::FPRN,hva,petra
731,wer::FPRN,hvem,piv
732,wo::FADV,hvor,pelec'h
733,wohin::FADV,hvor ... hen,da belec'h
734,wie::FADV,hvordan,penaos
735,warum::FADV,hvorfor,perak
736,wieviel::FNUM,hvor mye,pet
737,eins::NUM,en,unan
738,eins::NUM,ett,unan
739,zwei::NUM,to,daou
740,drei::NUM,tre,tri
741,vier::NUM,fire,pevar
742,fünf::NUM,fem,pemp
743,sechs::NUM,seks,c'hwec'h
744,sieben::NUM,sju,seizh
745,acht::NUM,åtte,eizh
746,neun::NUM,ni,nav
747,zehn::NUM,ti,dek
748,elf::NUM,elleve,unnek
749,zwölf::NUM,tolv,daouzek
750,zwanzig::NUM,tjue,ugent
751,dreißig::NUM,tretti,tregont
752,vierzig::NUM,førti,daou-ugent
753,fünfzig::NUM,femti,hanter-kant
754,sechzig::NUM,seksti,tri-ugent
755,siebzig::NUM,sytti,dek ha tri-ugent
756,achtzig::NUM,åtti,pevar-ugent
757,neunzig::NUM,nitti,dek ha pevar-ugent
758,hundert::NUM,hundre,kant
759,tausend::NUM,tusen,mil
760,und::CNJ,og,ha
761,oder::CNJ,eller,pe
762,stehen::V,stå,bezañ a-sav
763,sitzen::V,sitte,azezañ
764,sitzen::V,sitte,bezañ en e goazez
765,liegen::V,ligge,bezañ en e c'hourvez
766,hängen::V,henge,krougañ
767,werden::V,bli,dazonet
768,passieren::V,skje,c'hoarvezout
769,passieren::V,hende,c'hoarvezout
770,beginnen::V,begynne,stagañ
771,enden::V,ende,achuiñ
772,enden::V,slutte,achuiñ
773,wechseln::V,veksle,cheñch
774,aufgehen[Sonne]::V,stå opp,dirouzañ
775,untergehen[Sonne]::V,gå ned,
776,scheinen[Sonne]::V,skinne,lugernañ
777,donnern::V,tordne,taranal
778,wehen::V,blåse,c'hwezhañ
779,strömen::V,strømme,deredek
780,fließen::V,flyte,redek
781,sich drehen::V,dreie seg,troiñ
782,schwanken::V,svaie,trantellat
783,schwingen::V,svinge,froumal
784,fallen::V,falle,kouezhañ
785,brennen::V,brenne,deviñ
786,rauchen::V,ryke,divogedañ
787,regnen::V,regne,glavañ
788,gefrieren::V,fryse,reviñ
789,tauen::V,tine,diskornañ
790,schmelzen::V,smelte,teuziñ
791,trocknen::V,tørre,sec'hañ
792,sieden::V,koke,berviñ
793,faulen::V,råtne,breinañ
794,verfaulen::V,råtne,breinañ
795,reißen::V,briste,darnaouiñ
796,versinken::V,synke,sodellañ
797,versinken::V,synke ned,sodellañ
798,vergehen::V,forløpe,tremen
799,erscheinen::V,synes,donet war-wel
800,verschwinden::V,forsvinne,monet diwar wel
801,sinken::V,synke,en em izelat
802,abnehmen::V,avta,nebeutaat
803,abnehmen::V,minske,nebeutaat
804,zunehmen::V,tilta,kreskiñ
805,steigen::V,stige,sevel
806,wachsen::V,gro,kreskiñ
807,wachsen::V,vokse,kreskiñ
808,glänzen::V,skinne,lugernañ
809,funkeln::V,tindre,elieniñ
810,lärmen::V,bråke,rabotat
811,läuten::V,ringe,
812,klingeln::V,ringe,
813,klirren::V,klirre,diridignat
814,klirren::V,klirre,sterlinkañ
815,brausen::V,bruse,gwegal
816,rauschen::V,suse,trouzal
817,klingen::V,lyde,seniñ
818,klingen::V,klinge,seniñ
819,bellen::V,gjø,harzhal
820,bellen::V,bjeffe,harzhal
821,heulen::V,ule,yudal
822,blasen::V,blåse,c'hwezhañ
823,pfeifen::V,plystre,c'hwitellat
824,schreien::V,skrike,huchal
825,stöhnen::V,stønne,hirvoudiñ
826,zittern::V,dirre,krenañ
827,zittern::V,skjelve,krenañ
828,leben::V,leve,bevañ
