,Concept_ID,eu,uz
136,Wurzel::N,sustrai,tomir
137,Baum::N,zuhaitz,daraxt
138,Stamm::N,enbor,o'simta
139,Rinde::N,azal,qobiq
140,Ast::N,adar,shox
141,Zweig::N,abar,butoq
142,Blatt::N,hosto,barg
143,Birke::N,urki,qayin
144,Kiefer[Baum]::N,ler,qarag'ay
145,Weide[Baum]::N,zume,shum
146,Weide[Baum]::N,sahats,shum
147,Tanne::N,izei,archa
148,Horn::N,adar,mugiz
149,Feder::N,luma,par
150,Feder::N,hegaki,par
151,Fell::N,ile,mo'yna
152,Fell::N,larru,mo'yna
153,Flügel::N,hego,qanot
154,Klaue::N,atzapar,tirnoq
155,Kralle::N,erpe,tirnoq
156,Kralle::N,atzapar,tirnoq
157,Schwanz::N,isats,quyruq
158,Schwanz::N,buztan,quyruq
159,Ei::N,arrautza,tuxum
160,Nest::N,habia,oshyon
161,Bau::N,ohantze,o'pqon
162,Tier::N,abere,hayvon
163,Tier::N,piztia,hayvon
164,Herde::N,saldo,gala
165,Herde::N,abere talde,gala
166,Kuh::N,behi,inak
167,Bulle::N,zezen,ho'kiz
168,Pferd::N,zaldi,ot
169,Schaf::N,ardi,qo'y
170,Schwein::N,urde,cho'chqa
171,Schwein::N,txerri,cho'chqa
172,Hund::N,txakur,it
173,Katze::N,katu,mushuk
174,Bär::N,hartz,ayiq
175,Eichhörnchen::N,urtxintxa,tiyin
176,Elch::N,altze,los
177,Fuchs::N,azeri,tulki
178,Hase::N,erbi,kuyon
179,Maus::N,sagu,sichqon
180,Wolf::N,otso,bo'ri
181,Vogel::N,txori,qush
182,Vogel::N,hegazti,qush
183,Schwarm::N,aldra,to'da
184,Huhn::N,oilo,tovuq
185,Hahn::N,oilar,xo'roz
186,Gans::N,antzara,g'oz
187,Adler::N,arrano,burgut
188,Ente::N,ahate,o'rdak
189,Eule::N,hontza,boyo'g'li
190,Kranich::N,kurrilo,turna
191,Krähe::N,bele,qarg'a
192,Kuckuck::N,kuku,kakku
193,Schwan::N,beltxarga,oqkush
194,Fisch::N,arrain,baliq
195,Barsch::N,perka,olabug'a
196,Hecht::N,lutxo,cho'rtan
197,Schlange[Tier]::N,suge,ilon
198,Wurm::N,har,qurt
199,Spinne::N,armiarma,o'rgimchak
200,Ameise::N,inurri,chumoli
201,Laus::N,zorri,bit
202,Mücke::N,eltxo,chivin
203,Fliege::N,euli,pashsha
204,Schmetterling::N,pinpirin,kapalak
205,Schmetterling::N,tximeleta,kapalak
206,Beere::N,baia,meva
207,Apfel::N,sagar,olma
208,Pilz::N,onddo,qo'ziqorin
209,Pilz::N,perretxiko,qo'ziqorin
210,Zwiebel::N,tipula,piyoz
211,Saat::N,haziak,äkin
212,Korn::N,ale,zarra
213,Korn::N,pikor,zarra
214,Heu::N,belar ondu,xashak
215,Schale::N,azal,po'choq
216,Grube::N,hobi,co'ra
217,Falle::N,harrapagailu,qopqon
218,Schlinge::N,bilur,sirtmoq
219,Schlinge::N,xedera,sirtmoq
220,Spur::N,lorratz,iz
221,Asche::N,errauts,kul
222,Dreck::N,satsukeria,kir
223,Eisen::N,burdina,temir
224,Gold::N,urre,tilla
225,Gold::N,urregorri,tilla
226,Silber::N,zilar,kumush
227,Silber::N,urrezuri,kumush
228,Kohle::N,ikatz,ko'mir
229,Glas::N,beira,oyna
230,Lehm::N,buztin,loy
231,Sand::N,harea,qum
232,Sand::N,hondar,qum
233,Mensch::N,gizaki,odam
234,Mann::N,gizon,ärkak
235,Frau::N,andere,ayol
236,Frau::N,emakume,ayol
237,Kind::N,haur,bola
238,Kind::N,haur,kichkintoy
239,Junge::N,mutil,bola
240,Mädchen::N,neska,qiz
241,Familie::N,sendi,oila
242,Familie::N,familia,oila
243,Großvater::N,aitona,buva
244,Großvater::N,aitona,katta ota
245,Großvater::N,aitatxi,buva
246,Großvater::N,aitatxi,katta ota
247,Großmutter::N,amona,buvi
248,Großmutter::N,amona,katta oyi
249,Großmutter::N,amatxi,buvi
250,Großmutter::N,amatxi,katta oyi
251,Eltern::N,gurasoak,ota-ona
252,Vater::N,aita,ota
253,Mutter::N,ama,ona
254,Sohn::N,seme,o'g'il
255,Tochter::N,alaba,qiz
256,Bruder::N,neba,og'a
257,Bruder::N,neba,uka
258,Bruder::N,anaia,og'a
259,Bruder::N,anaia,uka
260,Schwester::N,ahizpa,opa
261,Schwester::N,ahizpa,singil
262,Onkel::N,osaba,amaki
263,Tante::N,izeba,amma
264,Tante::N,izeba,xola
265,Ehemann::N,senar,är
266,Ehefrau::N,emazte,rafiqa
267,Freude::N,poz,ayish
268,Freude::N,pozkari,ayish
269,Gelächter::N,barre,kulgi
270,Gelächter::N,karkara,kulgi
271,Glück::N,zori,saodat
272,Kummer::N,xangrin,g'am
273,Kummer::N,atsekabe,g'am
274,Wunsch::N,nahi,orzu
275,Wunsch::N,nahikunde,orzu
276,Lust::N,gogo,rag'bat
277,Geist::N,gogo,ruh
278,Gedanke::N,gogoeta,fikr
279,Gedächtnis::N,oroimen,äs
280,Gedächtnis::N,gogoramen,äs
281,Verstand::N,adimen,aql
282,Verstand::N,ulermen,aql
283,Sinn::N,zentzu,ma'ni
284,Grund::N,zergati,sabab
285,Wahrheit::N,egia,haq
286,Gespräch::N,hizketa,gap
287,Gespräch::N,elkarrizketa,gap
288,Märchen::N,ipuin,ärtak
289,Erzählung::N,edesti,rivoyat
290,Erzählung::N,kontakizun,rivoyat
291,Nachricht::N,albiste,xabar
292,Neuigkeit::N,berri,yangilik
293,Name::N,izen,ot
294,Rätsel::N,asmakizun,topishmoq
295,Rede::N,hitzaldi,nutq
296,Rede::N,mintzaldi,nutq
297,Sprache::N,hizkuntza,til
298,Stimme::N,ahots,ovoz
299,Wort::N,hitz,so'z
300,Zeichen::N,agerbide,alomat
301,Zeichen::N,agergarri,alomat
302,Ruf::N,dei,chaqiriq
303,Lärm::N,zarata,taraq
304,Lärm::N,harrabots,taraq
305,Laut::N,hots,tovush
306,Ton::N,tonu,un
307,Ton::N,soinu,un
308,Lied::N,abesti,ashula
309,Ruhe::N,nasaitasun,tinchlik
310,Leute::N,jende,xaloyiq
311,Volk::N,herri,xalq
312,Volk::N,populu,xalq
313,Arbeit::N,lan,ish
314,Gast::N,arrotz,mehmon
315,Gast::N,apopilo,mehmon
316,Geschenk::N,opari,hadya
317,Spiel::N,jolas,o'yin
318,Gesellschaft::N,gizarte,jamiyat
319,Hilfe::N,helpide,yordam
320,Hilfe::N,laguntza,yordam
321,Freund::N,lagun,do'st
322,Kamerad::N,adiskide,yo'ldosh
323,Kamerad::N,lagunkide,yo'ldosh
324,Angelegenheit::N,afera,daxl
325,Anzahl::N,kopuru,son
326,Art::N,mota,tur
327,Stück::N,puska,parcha
328,Teil::N,atal,bo'lak
329,Hälfte::N,erdi,yarim
330,Kreis::N,biribilki,aylana
331,Kreuz::N,gurutze,xoch
332,Linie::N,linea,liniya
333,Strich::N,marra,chiziq
334,Abstand::N,tarte,oralik
335,Entfernung::N,urrunera,uzoqlik
336,Gegend::N,alderdi,yer
337,Gegend::N,eskualde,yer
338,Platz::N,leku,oralig
339,Ort::N,toki,joy
340,Seite::N,albo,yon
341,Mitte::N,erdi,o'rta
342,Gegenstand::N,gauzaki,ashyo
343,Sache::N,gauza,buyum
344,Rand::N,ertz,chek
345,Kante::N,ertz,tig'
346,Ecke::N,kantoi,burchak
347,Spitze::N,punta,uch
348,Ende::N,buru,oxir
349,Ende::N,mutur,oxir
350,Loch::N,zulo,teshik
351,Winkel::N,zoko,go'sha
352,Winkel::N,bazter,go'sha
353,Muster::N,eredu,nusha
354,Muster::N,marrazki,nusha
355,Größe::N,kaizu,kattalik
356,Größe::N,tamaina,kattalik
357,Länge::N,luzera,uzunlik
358,Höhe::N,goiera,yuksaklik
359,Höhe::N,garaiera,yuksaklik
360,Gewicht::N,hazta,solmoq
361,Menge::N,kopuru,miqdor
362,Haufen::N,pila,uyum
363,Haufen::N,mendoi,uyum
364,Reihe::N,ilara,saf
365,Reihe::N,errenkada,saf
366,Boot::N,potin,qayiq
367,Boot::N,txalupa,qayiq
368,Ruder::N,arraun,äshkak
369,Schlitten::N,lera,chana
370,Schlitten::N,narra,chana
371,Ski::N,eski,chang'i
372,Lagerfeuer::N,su,gulxan
373,Last::N,zama,yuk
374,Last::N,karga,yuk
375,Gang::N,ibilera,yurish
376,Schritt::N,pauso,qadam
377,Schritt::N,urrats,qadam
378,Norden::N,ipar,shimol
379,Norden::N,iparralde,shimol
380,Süden::N,hego,janub
381,Süden::N,hegoalde,janub
382,Westen::N,sartalde,g'arb
383,Westen::N,mendebalde,g'arb
384,Osten::N,ekialde,sharq
385,Osten::N,sortalde,sharq
386,Holz::N,zur,yog'och
387,Brett::N,ohol,taxta
388,Platte::N,lauza,tabaqa
389,Stütze::N,irozgarri,tayanchi
390,Stütze::N,bermagailu,tayanchi
391,Stange::N,haga,qo'noq
392,Stock::N,makila,tayoq
393,Stab::N,makila,gavron
394,Rohr::N,hodi,tarnov
395,Haus::N,etxe,uy
396,Heim::N,etxe,makon
397,Heim::N,etxaleku,makon
398,Ofen::N,berogailu,pechka
399,Fußboden::N,zoru,pol
400,Tisch::N,mahai,mosa
401,Stuhl::N,aulki,o'rindiq
402,Wiege::N,kuma,beshik
403,Wiege::N,sehaska,beshik
404,Bett::N,ohe,yotoq
405,Bett::N,ohatze,yotoq
406,Regal::N,apalategi,tokcha
407,Kiste::N,kutxa,sandiq
408,Fenster::N,leiho,deraza
409,Tür::N,ate,äshik
410,Tor::N,atari,darvoza
411,Zaun::N,hesi,panjara
412,Dach::N,teilatu,tom
413,Leiter::N,zurubi,narvon
414,Besen::N,erratz,supurgi
415,Spaten::N,burdinpala,bel
416,Schaufel::N,pala,kurak
417,Gabel::N,sardexka,bilka
418,Löffel::N,koilara,qoshiq
419,Messer::N,aizto,pichoq
420,Nagel::N,iltze,mix
421,Netz::N,sare,to'r
422,Haken::N,mako,ilgak
423,Griff::N,eskutoki,sop
424,Griff::N,eskutoki,tutqich
425,Schloss::N,sarraila,qulf
426,Bild::N,irudi,rasm
427,Figur::N,figura,shakl
428,Puppe::N,panpina,ko'g'irchoq
429,Puppe::N,andrakila,ko'g'irchoq
430,Beutel::N,zorro,to'rva
431,Bündel::N,azao,bog'lam
432,Bündel::N,espal,bog'lam
433,Tasche::N,poltsa,kissa
434,Eimer::N,treska,chelak
435,Deckel::N,tapa,qopqoq
436,Deckel::N,estalki,qopqoq
437,Geschirr::N,baxera,idish
438,Geschirr::N,ontziteria,idish
439,Sack::N,zaku,qop
440,Tasse::N,kikara,piyola
441,Topf::N,ontzi,tuvak
442,Topf::N,lapiko,tuvak
443,Kessel::N,pazia,qozon
444,Essen::N,janaldi,tomoq
445,Nahrung::N,jan,emak
446,Speise::N,jaki,taom
447,Fleisch::N,okela,go'sht
448,Fleisch::N,haragi,go'sht
449,Getreide::N,labore,g'alla
450,Brei::N,ahi,bo'tqa
451,Brei::N,pure,bo'tqa
452,Brot::N,ogi,non
453,Scheibe::N,xerra,disk
454,Scheibe::N,pirripita,disk
455,Fett::N,urin,moy
456,Fett::N,koipe,moy
457,Butter::N,gurin,yog'
458,Öl::N,olio,moy
459,Salz::N,gatz,tuz
460,Suppe::N,zopa,sho'rva
461,Suppe::N,salda,sho'rva
462,Honig::N,ezti,asal
463,Milch::N,esne,sut
464,Tee::N,te,choy
465,Leder::N,larru,charm
466,Wolle::N,artile,jun
467,Stoff::N,ehun,mato
468,Nadel::N,orratz,igna
469,Nadel::N,jostorratz,igna
470,Faden::N,hari,ip
471,Knopf::N,botoi,tugma
472,Knoten::N,korapilo,tugun
473,Farbe::N,pintura,bo'yok
474,Kleidung::N,arropa,kiyim
475,Kleidung::N,jantziak,kiyim
476,Hemd::N,atorra,ko'ylak
477,Hemd::N,alkandora,ko'ylak
478,Kragen::N,idun,yoqa
479,Ärmel::N,mahuka,yeng
480,Hose::N,prakak,shim
481,Hose::N,galtzak,shim
482,Gürtel::N,gerriko,tasma
483,Mütze::N,txano,shapka
484,Mütze::N,txapel,shapka
485,Schuh::N,oski,but
486,Schuh::N,oinetako,but
487,Stiefel::N,bota,botinka
488,Ring::N,uztai,yuzuk
489,Band::N,zinta,rishta
490,Band::N,xingola,rishta
491,Kamm::N,orrazi,taroq
492,Spiegel::N,mirail,ko'zgu
493,Riemen::N,uhal,qayish
494,Schnur::N,lokailu,bog'ich
495,Leine::N,lotura,etak
496,Decke::N,burusi,odyol
497,Kissen::N,kuxin,yostiq
498,Tuch::N,zapi,gazlama
499,Tuch::N,oihal,gazlama
500,Handtuch::N,eskuzapi,sochiq
501,Handtuch::N,eskuoihal,sochiq
502,Kraft::N,indar,kuch
503,Stärke::N,indar,quvvat
504,Gesundheit::N,osasun,sog'lik
505,Krankheit::N,eritasun,kasallik
506,Krankheit::N,gaixotasun,kasallik
507,Schmerz::N,min,og'riq
508,Wunde::N,zauri,yara
509,Fieber::N,sukar,bezgak
510,Arznei::N,osagai,dori
511,Arznei::N,sendagai,dori
512,Brücke::N,zubi,ko'prik
513,Brunnen::N,putzu,buloq
514,Weide::N,alha,yaylov
515,Weide::N,bazkaleku,yaylov
516,Pfad::N,zidor,dorojka
517,Pfad::N,bidexka,dorojka
518,Weg::N,bide,yo'l
519,Straße::N,errepide,ko'cha
520,Dorf::N,herri,ovul
521,Stadt::N,hiri,shahar
522,Brief::N,gutun,maktub
523,Brief::N,eskutitz,maktub
524,Buch::N,liburu,kitob
525,Buchstabe::N,hizki,harf
526,Zeitung::N,egunkari,gazet
527,Leben::N,bizi,hayot
528,Leben::N,bizitza,hayot
529,Tod::N,herio,o'lim
530,Tod::N,heriotza,o'lim
531,Grab::N,hobi,go'r
532,Grab::N,hilobi,go'r
533,Kirche::N,eliza,cherkov
534,Sünde::N,hoben,gunoh
535,Sünde::N,bekatu,gunoh
536,Gott::N,jainko,olloh
537,Arbeiter::N,langile,ishchi
538,Arbeiter::N,behargin,ishchi
539,Chef::N,nagusi,rais
540,Meister::N,maisu,usta
541,Arzt::N,osagile,hakim
542,Arzt::N,sendagile,hakim
543,Lehrer::N,irakasle,muallim
544,Geld::N,diru,pul
545,Geschäft::N,negozio,savdo
546,Laden::N,denda,do'kon
547,Laden::N,saltegi,do'kon
548,Preis::N,prezio,baho
549,Preis::N,salneurri,baho
550,Ware::N,salgai,mol
551,Nutzen::N,onura,foyda
552,Nutzen::N,probetxu,foyda
553,Reichtum::N,aberastasun,boylik
554,Welt::N,ludi,olam
555,Welt::N,mundu,olam
556,Land::N,herrialde,o'lka
557,Staat::N,estatu,davlat
558,König::N,errege,qirol
559,Macht::N,botere,iqtidor
560,Grenze::N,muga,chegara
561,Krieg::N,guda,harb
562,Feind::N,etsai,dushman
563,Feind::N,arerio,dushman
564,Gewalt::N,bortxa,zo'rlik
565,Gewalt::N,bortizkeria,zo'rlik
566,Kampf::N,gudu,kurash
567,Kampf::N,auska,kurash
568,Bogen[Waffe]::N,arku,yoy
569,Pfeil::N,gezi,o'q
570,Gewehr::N,fusil,vintovka
571,Fehler::N,huts,xato
572,Fehler::N,hutsegin,xato
573,Lüge::N,gezur,yolg'on
574,Schaden::N,kalte,ziyon
575,Unglück::N,zoritxar,balo
576,Unglück::N,zorigaitz,balo
577,Schuld::N,erru,ayb
578,Alter::N,adin,yosh
579,Schluss::N,bukaera,tamom
580,Zeit::N,aldi,vaqt
581,Zeit::N,denbora,vaqt
582,Tag::N,egun,kun
583,Morgen::N,goiz,saboh
584,Mittag::N,eguerdi,kun tushlik
585,Abend::N,arrats,oqshom
586,Nacht::N,gau,tun
587,Woche::N,aste,hafta
588,Monat::N,hil,oy
589,Jahr::N,urte,yil
590,Frühling::N,udalehen,bahor
591,Sommer::N,uda,yoz
592,Herbst::N,udazken,kuz
593,Herbst::N,udazken,xazon
594,Herbst::N,neguantz,kuz
595,Herbst::N,neguantz,xazon
596,Winter::N,negu,qish
597,Januar::N,urtarril,yanvar'
598,Februar::N,otsail,fevral'
599,März::N,martxo,mart
600,April::N,apiril,aprel'
601,Mai::N,maiatz,may
602,Juni::N,ekain,iyun'
603,Juli::N,uztail,iyul'
604,August::N,abuztu,avgust
605,September::N,irail,sentyabr'
606,Oktober::N,urri,oktyabr'
607,November::N,azaro,noyabr'
608,Dezember::N,abendu,dekabr'
609,Montag::N,astelehen,dushanba
610,Dienstag::N,astearte,seshanba
611,Mittwoch::N,asteazken,chorshanba
612,Donnerstag::N,ostegun,payshanba
613,Freitag::N,ostiral,juma
614,Samstag::N,larunbat,shanba
615,Sonntag::N,igande,yakshanba
616,groß::A,handi,buyuk
617,klein::A,txiki,kichik
618,lang::A,luze,uzun
619,kurz::A,labur,qisqa
620,breit::A,zabal,keng
621,schmal::A,mehar,änsiz
622,dicht::A,sarri,quyuq
623,dicht::A,trinko,quyuq
624,dick[Gegenstand]::A,lodi,qalin
625,dünn::A,mehe,ingichka
626,fein::A,fin,mayin
627,fest::A,tinko,qattiq
628,flach::A,lau,yalpoq
629,flach::A,ordoki,yalpoq
630,glatt::A,leun,tekis
631,hart::A,gogor,qattiq
632,weich::A,bigun,yumshoq
633,weich::A,beratz,yumshoq
634,rund::A,biribil,yumaloq
635,spitz::A,puntadun,uchli
636,scharf::A,zorrotz,keskir
637,stumpf::A,kamuts,to'mtoq
638,schwer::A,astun,salmoqli
639,schwer::A,pisutsu,salmoqli
640,schön::A,eder,go'zal
641,heiß::A,bero,qiziq
642,heiß::A,oso bero,qiziq
643,warm::A,bero,issiq
644,kalt::A,hotz,sovuq
645,kühl::A,hotzil,salqin
646,frisch::A,fresko,toza
647,frisch::A,hozkirri,toza
648,feucht::A,heze,namli
649,nass::A,busti,nam
650,trocken::A,siku,quruq
651,trocken::A,lehor,quruq
652,voll::A,bete,to'la
653,leer::A,huts,puch
654,offen::A,ireki,ochiq
655,geschlossen::A,itxita,berk
656,sauber::A,xahu,ozoda
657,sauber::A,garbi,ozoda
658,schmutzig::A,lohi,kir
659,schmutzig::A,zikin,kir
660,roh::A,gordin,xom
661,reif::A,umo,pishiq
662,reif::A,heldu,pishiq
663,lecker::A,goxo,shirin
664,süß::A,goxo,shirin
665,bitter::A,karmin,achchiq
666,bitter::A,garratz,achchiq
667,sauer::A,mingots,achchiq
668,hell::A,argi,yorug'
669,dunkel::A,ilun,qorong'i
670,schwarz::A,beltz,qora
671,weiß::A,zuri,oq
672,rot::A,gorri,qizil
673,gelb::A,hori,sariq
674,blau::A,urdin,zangori
675,grün::A,berde,yashil
676,grün::A,musker,yashil
677,grau::A,urdin,bo'z
678,grau::A,urdinabar,bo'z
679,bunt::A,koloretsu,ola
680,billig::A,merke,arzon
681,teuer::A,garesti,qimmat
682,wertvoll::A,baliotsu,qimmat
683,blind::A,itsu,ko'r
684,taub::A,gor,garang
685,kräftig::A,kementsu,kuchli
686,stark::A,bizkor,quvvatli
687,stark::A,indartsu,quvvatli
688,schwach::A,ahul,kuchsiz
689,schwach::A,indargabe,kuchsiz
690,fett::A,gizen,semiz
691,schlank::A,lerden,ingichka
692,hübsch::A,polit,ko'rkam
693,böse::A,tzar,yovuz
694,böse::A,gaizto,yovuz
695,dumm::A,lelo,aqlsiz
696,dumm::A,pello,aqlsiz
697,faul::A,nagi,ärinchak
698,faul::A,alfer,ärinchak
699,fleißig::A,maratz,ishchan
700,fleißig::A,lanzale,ishchan
701,geizig::A,zeken,qurumsoq
702,geizig::A,zikoitz,qurumsoq
703,klug::A,zuhur,oqil
704,geschickt::A,trebe,äpchil
705,geschickt::A,antzetsu,äpchil
706,lieb::A,maite,aziz
707,lieb::A,laztan,aziz
708,lustig::A,alaitsu,chaqchaq
709,sanft::A,eme,asta
710,sanft::A,ezti,asta
711,hungrig::A,gose,och
712,krank::A,eri,kasal
713,krank::A,gaixo,kasal
714,nackt::A,biluzi,yalang
715,traurig::A,itun,xafa
716,traurig::A,betilun,xafa
717,lebendig::A,bizirik,hayotiy
718,gut::A,on,soz
719,schlecht::A,txar,yomon
720,richtig::A,zuzen,rost
721,schlimm::A,larri,yovuz
722,wahr::A,egiazko,haqiqiy
723,alt::A,zahar,äski
724,neu::A,berri,yangi
725,ehemalig::A,lehengo,sobiq
726,alt[Lebewesen]::A,adindun,qari
727,jung::A,gazte,navqiron
728,arm::A,txiro,abgor
729,arm::A,behartsu,abgor
730,reich::A,dirudun,boy
731,bekannt::A,ezagun,ma'lum
732,berühmt::A,entzun,mashhur
733,berühmt::A,ospetsu,mashhur
734,fremd::A,arrotz,yot
735,verschieden::A,ezberdin,turli
736,verschieden::A,desberdin,turli
737,nah::A,hurre,yaqindagi
738,nah::A,hurbil,yaqindagi
739,fern::A,urrun,uzoq
740,linker::A,ezker,so'l
741,rechter::A,eskuin,o'ng
742,anderer::A,beste,boshqa
743,erster::A,lehen,birinchi
744,erster::A,aurren,birinchi
745,zweiter::A,bigarren,ikkinchi
746,dritter::A,hirugarren,uchinchi
747,letzter::A,azken,oxirgi
748,letzter::A,hondar,oxirgi
749,allein::ADV,bakarrik,o'zicha
750,auf einmal::ADV,batera,varakay
751,zusammen::ADV,elkarrekin,barobar
752,lange::ADV,luzaro,uzoq
753,plötzlich::ADV,bat-batean,qo'qqisdan
754,sofort::ADV,berehala,darrov
755,später::ADV,gero,so'ngra
756,jetzt::ADV,orain,hozirgina
757,heute::ADV,gaur,bugun
758,morgen::ADV,bihar,ärta
759,bald::ADV,aurki,toz
760,bald::ADV,laster,toz
761,dann::ADV,ondoren,keyin
762,gestern::ADV,atzo,kecha
763,einst::ADV,antzina,avvallari
764,damals::ADV,orduan,ugal
765,danach::ADV,gerora,so'ngra
766,danach::ADV,ondoren,so'ngra
767,vorher::ADV,lehenago,avval
768,zuerst::ADV,aurrena,avval
769,zuerst::ADV,lehenbizi,avval
770,einmal::ADV,behin,bir marta
771,einmal::ADV,aldi bat,bir marta
772,manchmal::ADV,batzuetan,onda-sonda
773,manchmal::ADV,zenbaitetan,onda-sonda
774,oft::ADV,maiz,tez-tez
775,oft::ADV,askotan,tez-tez
776,immer::ADV,beti,har vaqt
777,niemals::ADV,inoiz ez,hargiz
778,niemals::ADV,sekula ez,hargiz
779,hier::ADV,hemen,shu erda
780,hierhin::ADV,hona,beri
781,von hier::ADV,hemendik,shu erdan
782,von hier::ADV,honetatik,shu erdan
783,dort::ADV,han,ana
784,dorthin::ADV,hara,u yerga
785,geradeaus::ADV,artez,to'g'ri
786,vorwärts::ADV,aurrera,ilgari
787,rückwärts::ADV,atzera,qoloq
788,rückwärts::ADV,atzerantz,qoloq
789,zurück::ADV,atzera,orqada
790,unten::ADV,behean,pastda
791,hinab::ADV,behera,tubanga
792,hinab::ADV,beherantz,tubanga
793,oben::ADV,goian,ustida
794,hinauf::ADV,gora,yuqorida
795,hinauf::ADV,gorantz,yuqorida
796,überall::ADV,edonon,har erda
797,nicht::ADV,ez,ämas
798,ein wenig::ADV,apur bat,biroz
799,ein wenig::ADV,pixka bat,biroz
800,kaum::ADV,ozta,arang
801,kaum::ADV,nekez,arang
802,sehr::ADV,oso,ancha
