,Concept_ID,is,ml
242,Gelächter::N,hlátur,ചിരിയുടെ ശബ്ദം
243,Glück::N,gæfa,സന്തോഷം
244,Glück::N,gæfa,സന്തുഷ്ടി
245,Kummer::N,sorg,ശോകം
246,Wunsch::N,ósk,ആഗ്രഹം
247,Lust::N,fýsn,ആഗ്രഹം
248,Lust::N,löngun,ആഗ്രഹം
249,Geist::N,andi,ചുറുചുറുക്ക്
250,Gedanke::N,hugsun,ചിന്ത
251,Gedächtnis::N,minni,ഓർമ്മശക്തി
252,Verstand::N,vit,മനസ്സ്
253,Sinn::N,merking,അർത്ഥം
254,Grund::N,ástæða,കാരണം
255,Wahrheit::N,sannleikur,സത്യം
256,Gespräch::N,samtal,സല്ലാപം
257,Märchen::N,ævintýri,യക്ഷിക്കഥ
258,Erzählung::N,saga,കഥ
259,Nachricht::N,frétt,സന്ദേശം
260,Neuigkeit::N,frétt,വാർത്ത
261,Name::N,nafn,പേര്
262,Rätsel::N,gáta,പ്രഹേളിക
263,Rede::N,ræða,സംസാരം
264,Sprache::N,mál,ഭാഷ
265,Sprache::N,tungumál,ഭാഷ
266,Stimme::N,rödd,സ്വരം
267,Wort::N,orð,വാക്ക്
268,Zeichen::N,tákn,സംജ്ഞ
269,Zeichen::N,merki,സംജ്ഞ
270,Ruf::N,kall,വിളി
271,Lärm::N,hávaði,ആരവം
272,Laut::N,hljóð,ശബ്ദം
273,Ton::N,tónn,സ്വരഭേദം
274,Lied::N,ljóð,പാട്ട്
275,Lied::N,söngur,പാട്ട്
276,Ruhe::N,ró,നിശ്ചലത
277,Ruhe::N,kyrrð,നിശ്ചലത
278,Leute::N,fólk,ജനങ്ങൾ
279,Volk::N,þjóð,രാഷ്ടം
280,Arbeit::N,vinna,ജോലി
281,Gast::N,gestur,അതിലി
282,Geschenk::N,gjöf,സമ്മാനം
283,Spiel::N,leikur,കളി
284,Gesellschaft::N,selskapur,കൂട്ടായ്മ
285,Hilfe::N,hjálp,സഹായം
286,Freund::N,vinur,സുഹൃത്ത്
287,Kamerad::N,félagi,കൂട്ടാളി
288,Angelegenheit::N,mál,കാര്യം
289,Angelegenheit::N,málefni,കാര്യം
290,Anzahl::N,tala,എണ്ണം
291,Anzahl::N,fjöldi,എണ്ണം
292,Art::N,tegund,തരം
293,Stück::N,biti,കഷണം
294,Stück::N,stykki,കഷണം
295,Teil::N,hluti,ഭാഗം
296,Teil::N,partur,ഭാഗം
297,Hälfte::N,helmingur,പകുതി
298,Kreis::N,hringur,വൃത്തം
299,Kreuz::N,kross,കുരിശടയാളം
300,Kreuz::N,krossmark,കുരിശടയാളം
301,Linie::N,lína,വര
302,Linie::N,lína,രേഖ
303,Strich::N,strik,പക്ഷാഘാതം
304,Abstand::N,millibil,വിടവ്
305,Entfernung::N,fjarlægð,അകലം
306,Gegend::N,hérað,പ്രദേശം
307,Platz::N,pláss,ഇടം
308,Ort::N,staður,സ്ഥലം
309,Seite::N,hlið,വശം
310,Mitte::N,miðja,മധ്യസ്ഥാനം
311,Gegenstand::N,hlutur,സാധനം
312,Sache::N,mál,വസ്തു
313,Rand::N,brún,തൊങ്ങൽ
314,Kante::N,rönd,അറ്റം
315,Ecke::N,horn,മൂല
316,Spitze::N,oddur,അഗ്രം
317,Ende::N,endi,അവസാനം
318,Loch::N,gat,ദ്വാരം
319,Loch::N,hola,ദ്വാരം
320,Winkel::N,skot,കോൺ
321,Winkel::N,krókur,കോൺ
322,Muster::N,munstur,ക്രമം
323,Größe::N,stærð,വലുപ്പം
324,Länge::N,lengd,നീളം
325,Höhe::N,hæð,ഉയരം
326,Gewicht::N,vigt,കട്ടി
327,Gewicht::N,þyngd,കട്ടി
328,Menge::N,magn,അളവ്
329,Haufen::N,hrúga,കൂമ്പാരം
330,Haufen::N,haugur,കൂമ്പാരം
331,Reihe::N,röð,വരി
332,Boot::N,bátur,ബോട്ട്
333,Ruder::N,ár,പങ്കായം
334,Schlitten::N,sleði,ഉരുളില്ലാവണ്ടി
335,Ski::N,skíði,ഹിമപാദുകം
336,Lagerfeuer::N,varðeldur,തീ
337,Last::N,byrði,ഭാരം
338,Last::N,farmur,ഭാരം
339,Gang::N,ganga,നടത്തം
340,Schritt::N,skref,ചുവട്
341,Norden::N,norður,വടക്ക്
342,Süden::N,suður,തെക്ക്
343,Westen::N,vestur,പടിഞ്ഞാറ്
344,Osten::N,austur,കിഴക്ക്
345,Holz::N,viður,തടി
346,Brett::N,fjöl,ബോർഡ്
347,Platte::N,flötur,തകിട്
348,Stütze::N,stoð,താങ്ങ്
349,Stange::N,stöng,കമ്പ്
350,Stock::N,prik,വടി
351,Stock::N,stafur,വടി
352,Stab::N,prik,കുറുവടി
353,Stab::N,stafur,കുറുവടി
354,Rohr::N,rör,കുഴൽ
355,Rohr::N,pípa,കുഴൽ
356,Haus::N,hús,വീട്
357,Heim::N,heimili,വീട്
358,Ofen::N,ofn,സ്റ്റൌ
359,Fußboden::N,gólf,തറ
360,Tisch::N,borð,മേശ
361,Stuhl::N,stóll,കസേര
362,Wiege::N,vagga,തൊട്ടിൽ
363,Bett::N,rúm,കിടക്ക
364,Bett::N,hvíla,കിടക്ക
365,Regal::N,hilla,ഷെൽഫ്
366,Kiste::N,kassi,പെട്ടി
367,Fenster::N,gluggi,ജനൽ
368,Tür::N,dyr,വാതിൽ
369,Tür::N,hurð,വാതിൽ
