,Concept_ID,pt,es
72,Welle::N,onda,onda
73,Wasser::N,água,agua
74,Stein::N,pedra,piedra
75,Boden::N,solo,suelo
76,Erde::N,terra,tierra
77,Staub::N,pó,polvo
78,Rauch::N,fumo,humo
79,Funke::N,faísca,chispa
80,Funke::N,centelha,chispa
81,Feuer::N,fogo,fuego
82,Licht::N,luz,luz
83,Schatten::N,sombra,sombra
84,Wetter::N,tempo,tiempo
85,Nebel::N,nevoeiro,niebla
86,Wolke::N,nuvem,nube
87,Regen::N,chuva,lluvia
88,Schnee::N,neve,nieve
89,Eis::N,gelo,hielo
90,Frost::N,gelo,helada
91,Frost::N,geada,helada
92,Kälte::N,frio,frío
93,Hitze::N,ardor,calor
94,Raureif::N,geada,escarcha
95,Regenbogen::N,arco-iris,arco iris
96,Donner::N,trovão,trueno
97,Strömung::N,corrente,corriente
98,Tropfen::N,gota,gota
99,Schaum::N,espuma,espuma
100,Schmutz::N,sujidade,suciedad
101,Schmutz::N,imundície,suciedad
102,See::N,lago,lago
103,Sumpf::N,charco,pantano
104,Sumpf::N,pântano,pantano
105,Moor::N,pântano,turbera
106,Wiese::N,prado,prado
107,Wiese::N,prado,pradera
108,Wald::N,bosque,bosque
109,Wald::N,floresta,bosque
110,Hügel::N,colina,colina
111,Anhöhe::N,alto,cerro
112,Anhöhe::N,outeiro,cerro
113,Berg::N,monte,monte
114,Berg::N,monte,montaña
115,Berg::N,montanha,monte
116,Berg::N,montanha,montaña
117,Gipfel::N,pico,cima
118,Gipfel::N,pico,cumbre
119,Höhle::N,caverna,cueva
120,Höhle::N,caverna,caverna
121,Abhang::N,encosta,cuesta
122,Abhang::N,encosta,declive
123,Quelle::N,fonte,fuente
124,Quelle::N,fonte,manantial
125,Bach::N,regato,arroyo
126,Bach::N,ribeiro,arroyo
127,Fluss::N,rio,río
128,Ufer::N,beira,orilla
129,Küste::N,costa,costa
130,Festland::N,terra firme,tierra firme
131,Meer::N,mar,mar
132,Bucht::N,baía,cala
133,Bucht::N,baía,bahía
134,Insel::N,ilha,isla
135,Blume::N,flor,flor
136,Gras::N,erva,hierba
137,Wurzel::N,raiz,raíz
138,Baum::N,árvore,árbol
139,Stamm::N,tronco,tronco
140,Rinde::N,casca,corteza
141,Ast::N,ramo,rama
142,Zweig::N,galho,ramo
143,Blatt::N,folha,hoja
144,Birke::N,bétula,abedul
145,Kiefer[Baum]::N,pinheiro,pino
146,Weide[Baum]::N,salgueiro,sauce
147,Tanne::N,abeto,abeto
148,Horn::N,corno,asta
149,Horn::N,corno,cuerno
150,Horn::N,chifre,asta
151,Horn::N,chifre,cuerno
152,Feder::N,pena,pluma
153,Fell::N,pele,piel
154,Flügel::N,asa,ala
155,Klaue::N,pata,garra
156,Kralle::N,unha,uña
157,Kralle::N,unha,garra
158,Kralle::N,garra,uña
159,Kralle::N,garra,garra
160,Schwanz::N,rabo,cola
161,Schwanz::N,cauda,cola
162,Ei::N,ovo,huevo
163,Nest::N,ninho,nido
164,Bau::N,toca,madriguera
165,Bau::N,covil,madriguera
166,Tier::N,animal,animal
167,Herde::N,rebanho,rebaño
168,Kuh::N,vaca,vaca
169,Bulle::N,touro,toro
170,Pferd::N,cavalo,caballo
171,Schaf::N,ovelha,oveja
172,Schwein::N,porco,cerdo
173,Hund::N,cão,perro
174,Katze::N,gata,gato
175,Bär::N,urso,oso
176,Eichhörnchen::N,esquilo,ardilla
177,Elch::N,alce,alce
178,Fuchs::N,raposa,zorro
179,Hase::N,lebre,liebre
180,Maus::N,rato,ratón
181,Wolf::N,lobo,lobo
182,Vogel::N,ave,ave
183,Vogel::N,ave,pájaro
184,Vogel::N,pássaro,ave
185,Vogel::N,pássaro,pájaro
186,Schwarm::N,bando,bandada
187,Schwarm::N,enxame,bandada
188,Huhn::N,galinha,gallina
189,Hahn::N,galo,gallo
190,Gans::N,ganso,oca
191,Gans::N,ganso,ganso
192,Adler::N,águia,águila
193,Ente::N,pata,pato
194,Eule::N,mocho,lechuza
195,Eule::N,coruja,lechuza
196,Kranich::N,grou,grulla
197,Krähe::N,gralha,corneja
198,Kuckuck::N,cuco,cuco
199,Schwan::N,cisne,cisne
200,Fisch::N,peixe,pez
201,Barsch::N,perca,perca
202,Hecht::N,lúcio,lucio
203,Schlange[Tier]::N,serpente,serpiente
204,Wurm::N,verme,gusano
205,Spinne::N,aranha,araña
206,Ameise::N,formiga,hormiga
207,Laus::N,piolho,piojo
208,Mücke::N,mosquito,mosquito
209,Fliege::N,mosca,mosca
210,Schmetterling::N,borboleta,mariposa
211,Beere::N,bago,baya
212,Apfel::N,maçã,manzana
213,Pilz::N,fungo,seta
214,Pilz::N,fungo,hongo
215,Pilz::N,cogumelo,seta
216,Pilz::N,cogumelo,hongo
217,Zwiebel::N,cebola,cebolla
218,Saat::N,sementeira,siembra
219,Korn::N,grão,grano
220,Heu::N,feno,heno
221,Schale::N,casca,cáscara
222,Grube::N,cova,foso
223,Grube::N,fossa,foso
224,Falle::N,armadilha,trampa
225,Schlinge::N,laço,lazo
226,Spur::N,pista,huella
227,Spur::N,vestígio,huella
228,Asche::N,cinza,ceniza
229,Dreck::N,sujidade,suciedad
230,Eisen::N,ferro,hierro
231,Gold::N,ouro,oro
232,Silber::N,prata,plata
233,Kohle::N,carvão,carbón
234,Glas::N,vidro,vidrio
235,Glas::N,vidro,cristal
236,Lehm::N,barro,barro
237,Lehm::N,argila,barro
238,Sand::N,areia,arena
239,Mensch::N,homem,hombre
240,Mensch::N,homem,ser humano
241,Mensch::N,pessoa,hombre
242,Mensch::N,pessoa,ser humano
243,Mann::N,homem,hombre
244,Frau::N,mulher,mujer
245,Kind::N,filho,niño
246,Kind::N,criança,niño
247,Junge::N,rapaz,chico
248,Junge::N,rapaz,muchacho
249,Junge::N,menino,chico
250,Junge::N,menino,muchacho
251,Mädchen::N,menina,chica
252,Mädchen::N,menina,muchacha
253,Mädchen::N,rapariga,chica
254,Mädchen::N,rapariga,muchacha
255,Familie::N,família,familia
256,Großvater::N,avô,abuelo
257,Großmutter::N,avó,abuela
258,Eltern::N,pais,padres
259,Vater::N,pai,padre
260,Mutter::N,mãe,madre
261,Sohn::N,filho,hijo
262,Tochter::N,filha,hija
263,Bruder::N,irmão,hermano
264,Schwester::N,irmã,hermana
265,Onkel::N,tio,tío
266,Tante::N,tia,tía
267,Ehemann::N,esposo,esposo
268,Ehefrau::N,esposa,esposa
269,Freude::N,prazer,placer
270,Freude::N,prazer,alegría
271,Freude::N,alegria,placer
272,Freude::N,alegria,alegría
273,Gelächter::N,risada,risa
274,Gelächter::N,risada,carcajada
275,Gelächter::N,gargalhada,risa
276,Gelächter::N,gargalhada,carcajada
277,Glück::N,felicidade,felicidad
278,Kummer::N,aflição,pena
279,Kummer::N,desgosto,pena
280,Wunsch::N,desejo,deseo
281,Lust::N,vontade,ganas
282,Geist::N,mente,mente
283,Geist::N,mente,espíritu
284,Geist::N,espírito,mente
285,Geist::N,espírito,espíritu
286,Gedanke::N,ideia,idea
287,Gedanke::N,ideia,pensamiento
288,Gedanke::N,pensamento,idea
289,Gedanke::N,pensamento,pensamiento
290,Gedächtnis::N,memória,memoria
291,Verstand::N,razão,razón
292,Verstand::N,razão,entendimiento
293,Verstand::N,inteligência,razón
294,Verstand::N,inteligência,entendimiento
295,Sinn::N,sentido,sentido
296,Sinn::N,sentido,significado
297,Sinn::N,significado,sentido
298,Sinn::N,significado,significado
299,Grund::N,causa,causa
300,Grund::N,motivo,causa
301,Wahrheit::N,verdade,verdad
302,Gespräch::N,conversa,conversación
303,Gespräch::N,conversação,conversación
304,Märchen::N,conto,cuento
305,Erzählung::N,conto,cuento
306,Erzählung::N,conto,narración
307,Erzählung::N,narrativa,cuento
308,Erzählung::N,narrativa,narración
309,Nachricht::N,mensagem,mensaje
310,Neuigkeit::N,notícia,noticia
311,Neuigkeit::N,novidade,noticia
312,Name::N,nome,nombre
313,Rätsel::N,adivinha,acertijo
314,Rätsel::N,adivinha,adivinanza
315,Rede::N,oração,discurso
316,Rede::N,discurso,discurso
317,Sprache::N,língua,lengua
318,Stimme::N,voz,voz
319,Wort::N,palavra,palabra
320,Zeichen::N,marca,señal
321,Ruf::N,grito,llamada
322,Ruf::N,chamada,llamada
323,Lärm::N,ruído,ruido
324,Lärm::N,ruído,barullo
325,Lärm::N,barulho,ruido
326,Lärm::N,barulho,barullo
327,Laut::N,som,sonido
328,Ton::N,tom,tono
329,Lied::N,canção,canción
330,Ruhe::N,calma,calma
331,Ruhe::N,calma,silencio
332,Ruhe::N,silêncio,calma
333,Ruhe::N,silêncio,silencio
334,Leute::N,gente,gente
335,Leute::N,pessoas,gente
336,Volk::N,povo,pueblo
337,Volk::N,nação,pueblo
338,Arbeit::N,trabalho,trabajo
339,Gast::N,hóspede,huésped
340,Gast::N,hóspede,invitado
341,Gast::N,convidado,huésped
342,Gast::N,convidado,invitado
343,Geschenk::N,prenda,regalo
344,Geschenk::N,presente,regalo
345,Spiel::N,jogo,juego
346,Gesellschaft::N,companhia,compañía
347,Hilfe::N,ajuda,ayuda
348,Hilfe::N,ajuda,socorro
349,Hilfe::N,socorro,ayuda
350,Hilfe::N,socorro,socorro
351,Freund::N,amigo,amigo
352,Kamerad::N,camarada,camarada
353,Kamerad::N,camarada,compañero
354,Angelegenheit::N,assunto,asunto
355,Anzahl::N,número,cantidad
356,Anzahl::N,quantidade,cantidad
357,Art::N,tipo,tipo
358,Art::N,tipo,clase
359,Art::N,espécie,tipo
360,Art::N,espécie,clase
361,Stück::N,pedaço,pieza
362,Teil::N,peça,parte
363,Teil::N,parte,parte
364,Hälfte::N,metade,mitad
365,Kreis::N,círculo,círculo
366,Kreuz::N,cruz,cruz
367,Linie::N,linha,línea
368,Strich::N,traço,raya
369,Strich::N,traço,trazo
370,Abstand::N,distância,distancia
371,Entfernung::N,distância,distancia
372,Gegend::N,área,región
373,Gegend::N,área,comarca
374,Gegend::N,região,región
375,Gegend::N,região,comarca
376,Platz::N,lugar,espacio
377,Ort::N,sítio,sitio
378,Seite::N,lado,lado
379,Seite::N,lado,costado
380,Mitte::N,meio,medio
381,Mitte::N,meio,centro
382,Gegenstand::N,objecto,objeto
383,Sache::N,coisa,cosa
384,Rand::N,bordo,borde
385,Rand::N,margem,borde
386,Kante::N,borda,borde
387,Kante::N,aresta,borde
388,Ecke::N,esquina,esquina
389,Spitze::N,ponta,punta
390,Ende::N,cabo,cabo
391,Ende::N,cabo,extremo
392,Ende::N,extremo,cabo
393,Ende::N,extremo,extremo
394,Loch::N,furo,agujero
395,Loch::N,furo,abertura
396,Loch::N,buraco,agujero
397,Loch::N,buraco,abertura
398,Winkel::N,canto,ángulo
399,Winkel::N,ângulo,ángulo
400,Muster::N,padrão,dibujo
401,Muster::N,desenho,dibujo
402,Größe::N,tamanho,tamaño
403,Länge::N,comprimento,longitud
404,Höhe::N,altura,altura
405,Höhe::N,altura,altitud
406,Höhe::N,altitude,altura
407,Höhe::N,altitude,altitud
408,Gewicht::N,peso,peso
409,Menge::N,quantidade,cantidad
410,Haufen::N,pilha,montón
411,Reihe::N,fila,fila
412,Boot::N,barco,bote
413,Boot::N,barco,barca
414,Ruder::N,remo,remo
415,Schlitten::N,trenó,trineo
416,Ski::N,esqui,esquí
417,Lagerfeuer::N,fogueira,hoguera
418,Last::N,carga,carga
419,Gang::N,curso,marcha
420,Gang::N,caminhada,marcha
421,Schritt::N,passo,paso
422,Norden::N,norte,norte
423,Süden::N,sul,sur
424,Westen::N,oeste,oeste
425,Westen::N,ocidente,oeste
426,Osten::N,este,este
427,Osten::N,leste,este
428,Osten::N,oriente,este
429,Holz::N,madeira,madera
430,Brett::N,tábua,tabla
431,Brett::N,prancha,tabla
432,Platte::N,laje,placa
433,Platte::N,laje,plancha
434,Platte::N,chapa,placa
435,Platte::N,chapa,plancha
436,Stütze::N,apoio,sostén
437,Stütze::N,apoio,soporte
438,Stütze::N,suporte,sostén
439,Stütze::N,suporte,soporte
440,Stange::N,vara,vara
441,Stange::N,vara,percha
442,Stange::N,barra,vara
443,Stange::N,barra,percha
444,Stock::N,pau,palo
445,Stock::N,pau,bastón
446,Stock::N,bengala,palo
447,Stock::N,bengala,bastón
448,Stab::N,bastão,vara
449,Stab::N,bastão,bastón
450,Rohr::N,cano,tubo
451,Haus::N,casa,casa
452,Heim::N,lar,hogar
453,Heim::N,casa,hogar
454,Ofen::N,estufa,estufa
455,Ofen::N,aquecedor,estufa
456,Fußboden::N,piso,suelo
457,Tisch::N,mesa,mesa
458,Stuhl::N,cadeira,silla
459,Wiege::N,berço,cuna
460,Bett::N,cama,cama
461,Regal::N,estante,estantería
462,Regal::N,prateleira,estantería
463,Kiste::N,caixa,caja
464,Fenster::N,janela,ventana
465,Tür::N,porta,puerta
466,Tor::N,portão,puerta
467,Zaun::N,cerca,valla
468,Zaun::N,cerca,cercado
469,Zaun::N,vedação,valla
470,Zaun::N,vedação,cercado
471,Dach::N,telhado,techo
472,Dach::N,telhado,tejado
473,Leiter::N,escada,escalera
474,Leiter::N,escada móvel,escalera
475,Besen::N,vassoura,escoba
476,Spaten::N,pá,pala
477,Schaufel::N,pá,pala
478,Schaufel::N,pá,paleta
479,Gabel::N,garfo,tenedor
480,Löffel::N,colher,cuchara
481,Messer::N,faca,cuchillo
482,Nagel::N,cravo,clavo
483,Netz::N,rede,red
484,Haken::N,gancho,gancho
485,Haken::N,gancho,corchete
486,Griff::N,asa,asa
487,Griff::N,asa,mango
488,Griff::N,cabo,asa
489,Griff::N,cabo,mango
490,Schloss::N,fechadura,cerradura
491,Bild::N,imagem,imagen
492,Figur::N,figura,figura
493,Puppe::N,boneca,muñeca
494,Beutel::N,saco,bolsa
495,Beutel::N,bolsa,bolsa
496,Bündel::N,fardo,haz
497,Tasche::N,saco,bolso
498,Tasche::N,bolso,bolso
499,Eimer::N,balde,cubo
500,Deckel::N,tampa,tapa
501,Deckel::N,tampa,tapadera
502,Geschirr::N,louça,vajilla
503,Sack::N,saca,saco
504,Tasse::N,chávena,taza
505,Topf::N,tacho,olla
506,Topf::N,tacho,marmita
507,Topf::N,panela,olla
508,Topf::N,panela,marmita
509,Kessel::N,caldeira,caldera
510,Essen::N,refeição,comida
511,Nahrung::N,comida,alimento
512,Nahrung::N,alimento,alimento
513,Speise::N,prato,plato
514,Fleisch::N,carne,carne
515,Getreide::N,cereais,cereales
516,Brei::N,puré,puré
517,Brei::N,puré,papilla
518,Brot::N,pão,pan
519,Scheibe::N,fatia,lonja
520,Scheibe::N,fatia,rebanada
521,Fett::N,banha,grasa
522,Fett::N,gordura,grasa
523,Butter::N,manteiga,mantequilla
524,Öl::N,azeite,aceite
525,Salz::N,sal,sal
526,Suppe::N,sopa,sopa
527,Suppe::N,caldo,sopa
528,Honig::N,mel,miel
529,Milch::N,leite,leche
530,Tee::N,chá,té
531,Leder::N,couro,cuero
532,Wolle::N,lã,lana
533,Stoff::N,pano,tela
534,Stoff::N,pano,tejido
535,Stoff::N,tecido,tela
536,Stoff::N,tecido,tejido
537,Nadel::N,agulha,aguja
538,Faden::N,fio,hilo
539,Knopf::N,botão,botón
540,Knoten::N,nó,nudo
541,Farbe::N,corante,pintura
542,Kleidung::N,roupa,ropa
543,Kleidung::N,roupa,vestidos
544,Kleidung::N,vestuário,ropa
545,Kleidung::N,vestuário,vestidos
546,Hemd::N,camisa,camisa
547,Kragen::N,gola,cuello
548,Ärmel::N,manga,manga
549,Hose::N,calça,pantalón
550,Gürtel::N,cinto,cinturón
551,Mütze::N,boné,gorro
552,Mütze::N,barrete,gorro
553,Schuh::N,sapato,zapato
554,Stiefel::N,bota,bota
555,Ring::N,anel,anillo
556,Band::N,fita,cinta
557,Band::N,faixa,cinta
558,Kamm::N,pente,peine
559,Spiegel::N,espelho,espejo
560,Riemen::N,correia,correa
561,Schnur::N,corda,cuerda
562,Schnur::N,cordel,cuerda
563,Leine::N,trela,correa
564,Decke::N,cobertor,manta
565,Kissen::N,almofada,almohada
566,Tuch::N,pano,pañuelo
567,Handtuch::N,toalha,toalla
568,Kraft::N,força,fuerza
569,Stärke::N,força,fuerza
570,Gesundheit::N,saúde,salud
571,Krankheit::N,doença,enfermedad
572,Krankheit::N,enfermidade,enfermedad
573,Schmerz::N,dor,dolor
574,Wunde::N,chaga,llaga
575,Wunde::N,chaga,herida
576,Wunde::N,ferida,llaga
577,Wunde::N,ferida,herida
578,Fieber::N,febre,fiebre
579,Arznei::N,remédio,medicina
580,Arznei::N,remédio,medicamento
581,Brücke::N,ponte,puente
582,Brunnen::N,poço,pozo
583,Weide::N,pastagem,pasto
584,Pfad::N,senda,sendero
585,Pfad::N,trilho,sendero
586,Weg::N,caminho,camino
587,Straße::N,via,vía
588,Straße::N,via,carretera
589,Straße::N,estrada,vía
590,Straße::N,estrada,carretera
591,Dorf::N,aldeia,aldea
592,Dorf::N,aldeia,pueblo
593,Stadt::N,cidade,ciudad
594,Brief::N,carta,carta
595,Buch::N,livro,libro
596,Buchstabe::N,letra,letra
597,Buchstabe::N,letra,carácter
598,Zeitung::N,jornal,diario
599,Zeitung::N,jornal,periódico
600,Leben::N,vida,vida
601,Tod::N,morte,muerte
602,Grab::N,túmulo,tumba
603,Grab::N,túmulo,sepulcro
604,Grab::N,sepultura,tumba
605,Grab::N,sepultura,sepulcro
606,Kirche::N,igreja,iglesia
607,Sünde::N,pecado,pecado
608,Gott::N,deus,dios
609,Arbeiter::N,operário,obrero
610,Arbeiter::N,operário,trabajador
611,Arbeiter::N,trabalhador,obrero
612,Arbeiter::N,trabalhador,trabajador
613,Chef::N,chefe,jefe
614,Chef::N,patrão,jefe
615,Meister::N,mestre,maestro
616,Arzt::N,médico,médico
617,Lehrer::N,professor,profesor
618,Geld::N,dinheiro,dinero
619,Geschäft::N,negócio,negocio
620,Laden::N,loja,tienda
621,Preis::N,preço,precio
622,Ware::N,mercadoria,mercancía
623,Nutzen::N,proveito,provecho
624,Reichtum::N,riqueza,riqueza
625,Welt::N,mundo,mundo
626,Land::N,país,país
627,Staat::N,Estado,Estado
628,König::N,rei,rey
629,Macht::N,poder,poder
630,Macht::N,poder,potencia
631,Macht::N,potência,poder
632,Macht::N,potência,potencia
633,Grenze::N,fronteira,frontera
634,Krieg::N,guerra,guerra
635,Feind::N,inimigo,enemigo
636,Gewalt::N,violência,violencia
637,Kampf::N,luta,lucha
638,Kampf::N,luta,combate
639,Kampf::N,combate,lucha
640,Kampf::N,combate,combate
641,Bogen[Waffe]::N,arco,arco
642,Pfeil::N,seta,flecha
643,Pfeil::N,flecha,flecha
644,Gewehr::N,espingarda,fusil
645,Gewehr::N,espingarda,escopeta
646,Fehler::N,erro,error
647,Fehler::N,falha,error
648,Lüge::N,mentira,mentira
649,Schaden::N,dano,daño
650,Schaden::N,estrago,daño
651,Unglück::N,desgraça,desgracia
652,Schuld::N,culpa,culpa
653,Alter::N,idade,edad
654,Schluss::N,fim,fin
655,Schluss::N,fim,final
656,Zeit::N,tempo,tiempo
657,Tag::N,dia,día
658,Morgen::N,manhã,mañana
659,Mittag::N,meio-dia,mediodía
660,Abend::N,noite,noche
661,Abend::N,tardinha,noche
662,Nacht::N,noite,noche
663,Woche::N,semana,semana
664,Monat::N,mês,mes
665,Jahr::N,ano,año
666,Frühling::N,primavera,primavera
667,Sommer::N,verão,verano
668,Herbst::N,outono,otoño
669,Winter::N,inverno,invierno
670,Januar::N,Janeiro,enero
671,Februar::N,Fevereiro,febrero
672,März::N,Março,marzo
673,April::N,Abril,abril
674,Mai::N,Maio,mayo
675,Juni::N,Junho,junio
676,Juli::N,Julho,julio
677,August::N,Agosto,agosto
678,September::N,Setembro,septiembre
679,Oktober::N,Outubro,octubre
680,November::N,Novembro,noviembre
681,Dezember::N,Dezembro,diciembre
682,Montag::N,segunda-feira,lunes
683,Dienstag::N,terça-feira,martes
684,Mittwoch::N,quarta-feira,miércoles
685,Donnerstag::N,quinta-feira,jueves
686,Freitag::N,sexta-feira,viernes
687,Samstag::N,sábado,sábado
688,Sonntag::N,domingo,domingo
689,groß::A,grande,grande
690,klein::A,pequeno,pequeño
691,lang::A,comprido,largo
692,kurz::A,curto,corto
693,breit::A,largo,ancho
694,schmal::A,estreito,estrecho
695,dicht::A,denso,denso
696,dick[Gegenstand]::A,grosso,grueso
697,dünn::A,delgado,fino
698,dünn::A,delgado,delgado
699,fein::A,fino,fino
700,fein::A,fino,delicado
701,fein::A,subtil,fino
702,fein::A,subtil,delicado
703,fest::A,firme,firme
704,fest::A,firme,sólido
705,fest::A,sólido,firme
706,fest::A,sólido,sólido
707,flach::A,plano,plano
708,glatt::A,liso,liso
709,hart::A,duro,duro
710,weich::A,mole,muelle
711,rund::A,redondo,redondo
712,spitz::A,agudo,agudo
713,spitz::A,agudo,apuntado
714,scharf::A,afiado,agudo
715,scharf::A,afiado,afilado
716,stumpf::A,rombo,sin filo
717,schwer::A,pesado,pesado
718,schön::A,belo,bello
719,schön::A,belo,hermoso
720,schön::A,bonito,bello
721,schön::A,bonito,hermoso
722,heiß::A,quente,caluroso
723,warm::A,quente,cálido
724,warm::A,quente,caliente
725,kalt::A,frio,frío
726,kühl::A,fresco,fresco
727,frisch::A,fresco,fresco
728,feucht::A,húmido,húmedo
729,nass::A,molhado,mojado
730,trocken::A,seco,seco
731,voll::A,cheio,lleno
732,leer::A,vazio,vacío
733,offen::A,aberto,abierto
734,geschlossen::A,fechado,cerrado
735,sauber::A,limpo,limpio
736,schmutzig::A,sujo,sucio
737,roh::A,cru,crudo
738,reif::A,maduro,maduro
739,lecker::A,delicioso,rico
740,lecker::A,delicioso,sabroso
741,süß::A,doce,dulce
742,bitter::A,amargo,amargo
743,sauer::A,azedo,agrio
744,hell::A,claro,claro
745,dunkel::A,escuro,oscuro
746,dunkel::A,sombrio,oscuro
747,schwarz::A,preto,negro
748,weiß::A,branco,blanco
749,rot::A,vermelho,rojo
750,gelb::A,amarelo,amarillo
751,blau::A,azul,azul
752,grün::A,verde,verde
753,grau::A,cinzento,gris
754,bunt::A,colorido,multicolor
755,billig::A,barato,barato
756,teuer::A,caro,caro
757,wertvoll::A,valioso,valioso
758,wertvoll::A,valioso,precioso
759,wertvoll::A,precioso,valioso
760,wertvoll::A,precioso,precioso
761,blind::A,cego,ciego
762,taub::A,surdo,sordo
763,kräftig::A,forte,fuerte
764,kräftig::A,poderoso,fuerte
765,stark::A,forte,fuerte
766,stark::A,forte,vigoroso
767,stark::A,robusto,fuerte
768,stark::A,robusto,vigoroso
769,schwach::A,débil,débil
770,fett::A,gordo,obeso
771,schlank::A,esbelto,esbelto
772,hübsch::A,giro,mono
773,hübsch::A,giro,guapo
774,hübsch::A,bonito,mono
775,hübsch::A,bonito,guapo
776,böse::A,mau,malo
777,dumm::A,parvo,tonto
778,dumm::A,parvo,estúpido
779,dumm::A,estúpido,tonto
780,dumm::A,estúpido,estúpido
781,faul::A,preguiçoso,vago
782,faul::A,preguiçoso,perezoso
783,fleißig::A,aplicado,aplicado
784,fleißig::A,aplicado,diligente
785,fleißig::A,diligente,aplicado
786,fleißig::A,diligente,diligente
787,geizig::A,avarento,avaro
788,klug::A,prudente,sensato
789,klug::A,prudente,inteligente
790,klug::A,inteligente,sensato
791,klug::A,inteligente,inteligente
792,geschickt::A,hábil,hábil
793,lieb::A,caro,querido
794,lieb::A,querido,querido
795,lustig::A,alegre,alegre
796,sanft::A,suave,suave
797,sanft::A,brando,suave
798,hungrig::A,faminto,hambriento
799,krank::A,doente,enfermo
800,krank::A,enfermo,enfermo
801,nackt::A,nu,desnudo
802,nackt::A,despido,desnudo
803,traurig::A,triste,triste
804,lebendig::A,vivo,vivo
805,lebendig::A,vivo,viviente
806,gut::A,bom,bueno
807,schlecht::A,mau,malo
808,schlecht::A,ruim,malo
809,richtig::A,justo,justo
810,richtig::A,justo,correcto
811,richtig::A,correcto,justo
812,richtig::A,correcto,correcto
813,schlimm::A,mau,malo
814,schlimm::A,mau,grave
815,schlimm::A,grave,malo
816,schlimm::A,grave,grave
817,wahr::A,verdadeiro,verídico
818,wahr::A,verdadeiro,verdadero
819,alt::A,velho,viejo
820,alt::A,antigo,viejo
821,neu::A,novo,nuevo
822,ehemalig::A,antigo,antiguo
823,alt[Lebewesen]::A,velho,viejo
824,jung::A,jovem,joven
825,arm::A,pobre,pobre
826,reich::A,rico,rico
827,bekannt::A,conhecido,conocido
828,berühmt::A,famoso,famoso
829,berühmt::A,famoso,célebre
830,berühmt::A,célebre,famoso
831,berühmt::A,célebre,célebre
832,fremd::A,alheio,extraño
833,fremd::A,estranho,extraño
834,verschieden::A,diverso,diverso
835,verschieden::A,diverso,distinto
836,verschieden::A,diverso,diferente
837,verschieden::A,diferente,diverso
838,verschieden::A,diferente,distinto
839,verschieden::A,diferente,diferente
840,nah::A,próximo,cercano
841,fern::A,remoto,lejano
842,fern::A,distante,lejano
843,linker::A,esquerdo,izquierdo
844,rechter::A,direito,derecho
845,anderer::A,outro,otro
846,erster::A,primeiro,primero
847,zweiter::A,segundo,segundo
848,dritter::A,terceiro,tercero
849,letzter::A,final,último
850,letzter::A,último,último
851,allein::ADV,só,a solo
852,auf einmal::ADV,de vez,de una vez
853,zusammen::ADV,juntos,juntos
854,lange::ADV,muito tempo,mucho tiempo
855,plötzlich::ADV,de repente,de repente
