,Concept_ID,se,tr
74,Bart::N,skaavtjoe,sakal
75,Bart::N,skávttjá,sakal
76,Bart::N,seamu,sakal
77,Bart::N,siämu,sakal
78,Bart::N,seäm,sakal
79,Bart::N,ся̄м,sakal
80,Kinn::N,gaejpie,çene
81,Kinn::N,gájbbe,çene
82,Kinn::N,gáibi,çene
83,Kinn::N,käibi,çene
84,Kinn::N,käi´bb,çene
85,Kinn::N,ка̄ййп,çene
86,Kiefer[Anatomie]::N,gaejpie,çene
87,Kiefer[Anatomie]::N,oalol,çene
88,Kiefer[Anatomie]::N,oaloldákte,çene
89,Kiefer[Anatomie]::N,gáibi,çene
90,Kiefer[Anatomie]::N,uá'lultähti,çene
91,Kiefer[Anatomie]::N,vuâl'lõš,çene
92,Kiefer[Anatomie]::N,вуаллнешш,çene
93,Kehle::N,gealoe,boğaz
94,Kehle::N,tjåttå,boğaz
95,Kehle::N,njiello,boğaz
96,Kehle::N,čotta,boğaz
97,Kehle::N,čuudâ,boğaz
98,Kehle::N,čoodd,boğaz
99,Kehle::N,чонт,boğaz
100,Kehle::N,кэ̄ҏс,boğaz
101,Hals::N,tjeapohke,boyun
102,Hals::N,tjeapohke,gerdan
103,Hals::N,tjiebet,boyun
104,Hals::N,tjiebet,gerdan
105,Hals::N,čeabet,boyun
106,Hals::N,čeabet,gerdan
107,Hals::N,čiäppát,boyun
108,Hals::N,čiäppát,gerdan
109,Hals::N,čeäppat,boyun
110,Hals::N,čeäppat,gerdan
111,Hals::N,ча̄пэх,boyun
112,Hals::N,ча̄пэх,gerdan
113,Genick::N,tjovrese,ense
114,Genick::N,nisske,ense
115,Genick::N,niehkki,ense
116,Genick::N,niski,ense
117,Genick::N,niek'ki,ense
118,Genick::N,nji´šǩǩmaadd,ense
119,Genick::N,нышшькмоант,ense
120,Kopf::N,åejjie,baş
121,Kopf::N,åejjie,kafa
122,Kopf::N,oajvve,baş
123,Kopf::N,oajvve,kafa
124,Kopf::N,oaivi,baş
125,Kopf::N,oaivi,kafa
126,Kopf::N,uái'vi,baş
127,Kopf::N,uái'vi,kafa
128,Kopf::N,vuei´vv,baş
129,Kopf::N,vuei´vv,kafa
130,Kopf::N,вуэййв,baş
131,Kopf::N,вуэййв,kafa
132,Rücken::N,rudtje,arka
133,Rücken::N,hárddo,arka
134,Rücken::N,tjavelk,arka
135,Rücken::N,sealgi,arka
136,Rücken::N,selgi,arka
137,Rücken::N,čielgi,arka
138,Rücken::N,seä´lǧǧ,arka
139,Rücken::N,се̄лльк,arka
140,Bauch::N,tjåejjie,karın
141,Bauch::N,tjoajvve,karın
142,Bauch::N,čoavji,karın
143,Bauch::N,čuáv'ji,karın
144,Bauch::N,čåu´jj,karın
145,Bauch::N,чо̄ввьй,karın
146,Nabel::N,naepie,göbek
147,Nabel::N,náhpe,göbek
148,Nabel::N,náhpi,göbek
149,Nabel::N,nääpi,göbek
150,Nabel::N,nää´pp,göbek
151,Nabel::N,на̄бпь,göbek
152,Busen::N,boenge,koyun
153,Busen::N,bållå,koyun
154,Busen::N,čižži,koyun
155,Busen::N,njamma,koyun
156,Busen::N,njižže,koyun
157,Busen::N,nje´ǯǯ,koyun
158,Busen::N,раннҍт,koyun
159,Brust::N,mïelke,göğüs
160,Brust::N,radde,göğüs
161,Brust::N,mielgga,göğüs
162,Brust::N,raddi,göğüs
163,Brust::N,radde,göğüs
164,Brust::N,râ´dd,göğüs
165,Brust::N,раннҍт,göğüs
166,Schulter::N,åelkie,omuz
167,Schulter::N,oalgge,omuz
168,Schulter::N,hárdu,omuz
169,Schulter::N,ärdee,omuz
170,Schulter::N,uál'gi,omuz
171,Schulter::N,a´rddi,omuz
172,Schulter::N,vuä´lǧǧ,omuz
173,Schulter::N,вуэллык,omuz
174,Arm::N,gïete,kol
175,Arm::N,giehta,kol
176,Arm::N,giehta,kol
177,Arm::N,kietâ,kol
178,Arm::N,kie'tâkaaṿâ,kol
179,Arm::N,ǩiõtt,kol
180,Arm::N,кӣдт,kol
181,Ellenbogen::N,gernjere,dirsek
182,Ellenbogen::N,garŋŋel,dirsek
183,Ellenbogen::N,gargŋil,dirsek
184,Ellenbogen::N,käŋŋir,dirsek
185,Ellenbogen::N,kõõnjâr,dirsek
186,Ellenbogen::N,карьнэль,dirsek
187,Hand::N,gïete,el
188,Hand::N,giehta,el
189,Hand::N,giehta,el
190,Hand::N,kietâ,el
191,Hand::N,ǩiõtt,el
192,Hand::N,кӣдт,el
193,Handfläche::N,gïeten-låapoe,avuç
194,Handfläche::N,gïeten-låapoe,el ayası
195,Handfläche::N,giehtavuodo,avuç
196,Handfläche::N,giehtavuodo,el ayası
197,Handfläche::N,tjårmmåvuodo,avuç
198,Handfläche::N,tjårmmåvuodo,el ayası
199,Handfläche::N,giehtaloahpu,avuç
200,Handfläche::N,giehtaloahpu,el ayası
201,Handfläche::N,kiämád,avuç
202,Handfläche::N,kiämád,el ayası
203,Handfläche::N,kuámmir,avuç
204,Handfläche::N,kuámmir,el ayası
205,Handfläche::N,kuä´m'mer,avuç
206,Handfläche::N,kuä´m'mer,el ayası
207,Handfläche::N,ǩiõttǩeä´m'men,avuç
208,Handfläche::N,ǩiõttǩeä´m'men,el ayası
209,Handfläche::N,ко̄а̄ллдэгк,avuç
210,Handfläche::N,ко̄а̄ллдэгк,el ayası
211,Handfläche::N,кӣдткоалдэгк,avuç
212,Handfläche::N,кӣдткоалдэгк,el ayası
213,Finger::N,soerme,parmak
214,Finger::N,tjuvdde,parmak
215,Finger::N,suorbma,parmak
216,Finger::N,čuvde,parmak
217,Finger::N,suor'mâ,parmak
218,Finger::N,suõrmm,parmak
219,Finger::N,це̄ххп,parmak
220,Fingernagel::N,gadtse,el tırnağı
221,Fingernagel::N,guehpere,el tırnağı
222,Fingernagel::N,gadtsa,el tırnağı
223,Fingernagel::N,gazza,el tırnağı
224,Fingernagel::N,kozzâ,el tırnağı
225,Fingernagel::N,kõʒʒ,el tırnağı
226,Fingernagel::N,кэ̄ннц,el tırnağı
227,Nagel[Anatomie]::N,gadtse,tırnak
228,Nagel[Anatomie]::N,guehpere,tırnak
229,Nagel[Anatomie]::N,gadtsa,tırnak
230,Nagel[Anatomie]::N,gazza,tırnak
231,Nagel[Anatomie]::N,kozzâ,tırnak
232,Nagel[Anatomie]::N,kõʒʒ,tırnak
233,Nagel[Anatomie]::N,кэ̄ннц,tırnak
234,Zeh::N,tjiehtjere,ayak parmağı
235,Zeh::N,juolggetjuvdde,ayak parmağı
236,Zeh::N,juolgesuorbma,ayak parmağı
237,Zeh::N,jyel'gisuor'mâ,ayak parmağı
238,Zeh::N,jue´lǧǧsuõrmm,ayak parmağı
239,Zeh::N,ю̄лльк-це̄һп,ayak parmağı
240,Fuß::N,juelkie,ayak
241,Fuß::N,juolgge,ayak
242,Fuß::N,juolgi,ayak
243,Fuß::N,jyel'gi,ayak
244,Fuß::N,jue´lǧǧ,ayak
245,Fuß::N,ла̄бпь,ayak
246,Ferse::N,båetskie,topuk
247,Ferse::N,boasske,topuk
248,Ferse::N,šušmi,topuk
249,Ferse::N,šušme,topuk
250,Ferse::N,jue´lǧǧkädd,topuk
251,Ferse::N,ка̄ннт,topuk
252,Knie::N,boelve,diz
253,Knie::N,buolvva,diz
254,Knie::N,čibbi,diz
255,Knie::N,veaŋki,diz
256,Knie::N,iidâ,diz
257,Knie::N,puõlvv,diz
258,Knie::N,пуллв,diz
259,Oberschenkel::N,ruaksja,uyluk
260,Oberschenkel::N,tjibbe,uyluk
261,Oberschenkel::N,gassaváhkká,uyluk
262,Oberschenkel::N,badjeváhkáa,uyluk
263,Oberschenkel::N,čuár'bpeeḷi,uyluk
264,Oberschenkel::N,če´bb,uyluk
265,Oberschenkel::N,чуаррбе̄лль,uyluk
266,Bein::N,juelkie,bacak
267,Bein::N,juolgge,bacak
268,Bein::N,juolgi,bacak
269,Bein::N,jyel'gi,bacak
270,Bein::N,jue´lǧǧ,bacak
271,Bein::N,ю̄лльк,bacak
272,Körper::N,kråahpe,vücut
273,Körper::N,rumáj,vücut
274,Körper::N,rumaš,vücut
275,Körper::N,ruumâš,vücut
276,Körper::N,rå´pp,vücut
277,Körper::N,лышшьк,vücut
278,Körper::N,роаӈӈьк,vücut
279,Haut::N,njaltja,cilt
280,Haut::N,lijkke,cilt
281,Haut::N,tjuobma,cilt
282,Haut::N,liiki,cilt
283,Haut::N,liške,cilt
284,Haut::N,le´šǩǩ,cilt
285,Haut::N,лышшьк,cilt
286,Blut::N,vïrre,kan
287,Blut::N,maelie,kan
288,Blut::N,varra,kan
289,Blut::N,varra,kan
290,Blut::N,vorrâ,kan
291,Blut::N,võrr,kan
292,Blut::N,вэ̄рр,kan
293,Ader::N,åerie,damar
294,Ader::N,aajroe,damar
295,Ader::N,suodna,damar
296,Ader::N,varrasuotna,damar
297,Ader::N,suoṇâ,damar
298,Ader::N,suõnn,damar
299,Ader::N,сӯнн,damar
300,Sehne::N,soene,kiriş
301,Sehne::N,gåårtenje,kiriş
302,Sehne::N,suodna,kiriş
303,Sehne::N,suotna,kiriş
304,Sehne::N,suoṇâ,kiriş
305,Sehne::N,suõnn,kiriş
306,Sehne::N,сӯнн,kiriş
307,Knochen::N,måara,kemik
308,Knochen::N,måaroe,kemik
309,Knochen::N,dákte,kemik
310,Knochen::N,dákti,kemik
311,Knochen::N,tähti,kemik
312,Knochen::N,tä´htt,kemik
313,Knochen::N,та̄ххт,kemik
314,Knochen::N,та̄ффьт,kemik
315,Gehirn::N,aajla,beyin
316,Gehirn::N,vuojŋam,beyin
317,Gehirn::N,vuoigŋašat,beyin
318,Gehirn::N,vuoi'ŋâšeh,beyin
319,Gehirn::N,vuo'ivâšneh,beyin
320,Gehirn::N,vuõivâšn,beyin
321,Gehirn::N,вуэййвэшна,beyin
322,Herz::N,vaajmoe,kalp
323,Herz::N,vaajmoe,yürek
324,Herz::N,tsåhke,kalp
325,Herz::N,tsåhke,yürek
326,Herz::N,váibmu,kalp
327,Herz::N,váibmu,yürek
328,Herz::N,váimu,kalp
329,Herz::N,váimu,yürek
330,Herz::N,čââ´đ,kalp
331,Herz::N,čââ´đ,yürek
332,Herz::N,кӯттҌк,kalp
333,Herz::N,кӯттҌк,yürek
334,Magen::N,tjåejjie,mide
335,Magen::N,tjoajvve,mide
336,Magen::N,čoavji,mide
337,Magen::N,čuáv'ji,mide
338,Magen::N,čåu´jj,mide
339,Magen::N,чо̄ввьй,mide
340,Leber::N,mueksie,karaciğer
341,Leber::N,librre,karaciğer
342,Leber::N,vuoivvas,karaciğer
343,Leber::N,vuoivâs,karaciğer
344,Leber::N,vuõivâs,karaciğer
345,Leber::N,вуйвас,karaciğer
346,Atem::N,voejngehtasse,nefes
347,Atem::N,båssånis,nefes
348,Atem::N,vuojŋadahka,nefes
349,Atem::N,vuoiŋŋahat,nefes
350,Atem::N,vuo'iŋâstim,nefes
351,Atem::N,jiõg'g,nefes
352,Atem::N,вӯйнас,nefes
353,Atem::N,вӯййнмушш,nefes
354,Hunger::N,nielkie,açlık
355,Hunger::N,nielgge,açlık
356,Hunger::N,nealgi,açlık
357,Hunger::N,nelgi,açlık
358,Hunger::N,neä´lǧǧ,açlık
359,Hunger::N,не̄лльк,açlık
360,Träne::N,gïknjele,gözyaşı
361,Träne::N,ganjál,gözyaşı
362,Träne::N,ganjal,gözyaşı
363,Träne::N,koonjâl,gözyaşı
364,Träne::N,kõõnjâl,gözyaşı
365,Träne::N,кэ̄нял,gözyaşı
366,Geschmack::N,aelmie,tat
367,Geschmack::N,aelmie,lezzet
368,Geschmack::N,muosse,tat
369,Geschmack::N,muosse,lezzet
370,Geschmack::N,smáhkka,tat
371,Geschmack::N,smáhkka,lezzet
372,Geschmack::N,máhku,tat
373,Geschmack::N,máhku,lezzet
374,Geschmack::N,smáhkka,tat
375,Geschmack::N,smáhkka,lezzet
376,Geschmack::N,mááhu,tat
377,Geschmack::N,mááhu,lezzet
378,Geschmack::N,smakkâ,tat
379,Geschmack::N,smakkâ,lezzet
380,Geschmack::N,njõõd,tat
381,Geschmack::N,njõõd,lezzet
382,Geschmack::N,smääkk,tat
383,Geschmack::N,smääkk,lezzet
384,Geschmack::N,ня̄лльк,tat
385,Geschmack::N,ня̄лльк,lezzet
386,Geruch::N,haaje,koku
387,Geruch::N,habjja,koku
388,Geruch::N,hádja,koku
389,Geruch::N,opsâ,koku
390,Geruch::N,haajâ,koku
391,Geruch::N,õpss,koku
392,Geruch::N,haajj,koku
393,Geruch::N,апс,koku
394,Geruch::N,лэ̄гк,koku
395,Schlaf::N,nahkerh,uyku
396,Schlaf::N,nager,uyku
397,Schlaf::N,oados,uyku
398,Schlaf::N,nagir,uyku
399,Schlaf::N,naṿer,uyku
400,Schlaf::N,nââ´er,uyku
401,Schlaf::N,нагерь,uyku
402,Traum::N,nahkere,düş
403,Traum::N,nahkere,rüya
404,Traum::N,niehko,düş
405,Traum::N,niehko,rüya
406,Traum::N,niehku,düş
407,Traum::N,niehku,rüya
408,Traum::N,naṿer,düş
409,Traum::N,naṿer,rüya
410,Traum::N,nââ´er,düş
411,Traum::N,nââ´er,rüya
412,Traum::N,нагерь,düş
413,Traum::N,нагерь,rüya
414,Himmel::N,elmie,gök
415,Himmel::N,almme,gök
416,Himmel::N,albmi,gök
417,Himmel::N,alme,gök
418,Himmel::N,â´lmm,gök
419,Himmel::N,алльм,gök
420,Sonne::N,biejjie,güneş
421,Sonne::N,bæjvásj,güneş
422,Sonne::N,beaivváš,güneş
423,Sonne::N,peivi,güneş
424,Sonne::N,piäiváš,güneş
425,Sonne::N,pei´vv,güneş
426,Sonne::N,пе̄ййв,güneş
427,Mond::N,aske,ay
428,Mond::N,mánno,ay
429,Mond::N,mánnu,ay
430,Mond::N,máánu,ay
431,Mond::N,mään,ay
432,Mond::N,ма̄нн,ay
433,Stern::N,daasta,yıldız
434,Stern::N,naestie,yıldız
435,Stern::N,násste,yıldız
436,Stern::N,násti,yıldız
437,Stern::N,täsni,yıldız
438,Stern::N,tä´snn,yıldız
439,Stern::N,та̄ссьт,yıldız
440,Luft::N,elmie,hava
441,Luft::N,ájmmo,hava
442,Luft::N,áibmu,hava
443,Luft::N,áimu,hava
444,Luft::N,šõŋŋ,hava
445,Luft::N,вӯйнас,hava
446,Wind::N,bïegke,yel
447,Wind::N,bïegke,rüzgâr
448,Wind::N,biegga,yel
449,Wind::N,biegga,rüzgâr
450,Wind::N,biegga,yel
451,Wind::N,biegga,rüzgâr
452,Wind::N,pieg'gâ,yel
453,Wind::N,pieg'gâ,rüzgâr
454,Wind::N,piõg'g,yel
455,Wind::N,piõg'g,rüzgâr
456,Wind::N,пӣӈӈк,yel
457,Wind::N,пӣӈӈк,rüzgâr
458,Welle::N,baaroe,dalga
459,Welle::N,bárro,dalga
460,Welle::N,bárru,dalga
461,Welle::N,pááṛu,dalga
462,Welle::N,päärr,dalga
463,Welle::N,нэ̄ммп,dalga
464,Wasser::N,tjaetsie,su
465,Wasser::N,tjáhtje,su
466,Wasser::N,čáhci,su
467,Wasser::N,čääci,su
468,Wasser::N,čää´cc,su
469,Wasser::N,ча̄дзь,su
470,Stein::N,gierkie,taş
471,Stein::N,giergge,taş
472,Stein::N,geađgi,taş
473,Stein::N,keđgi,taş
474,Stein::N,ǩeä´dǧǧ,taş
475,Stein::N,ке̄ддҌк,taş
476,Boden::N,betnie,yer
477,Boden::N,betnie,zemin
478,Boden::N,ednam,yer
479,Boden::N,ednam,zemin
480,Boden::N,bodni,yer
481,Boden::N,bodni,zemin
482,Boden::N,vuođđu,yer
483,Boden::N,vuođđu,zemin
484,Boden::N,ponne,yer
485,Boden::N,ponne,zemin
486,Boden::N,vuáđ̣u,yer
487,Boden::N,vuáđ̣u,zemin
488,Boden::N,vuâđđ,yer
489,Boden::N,vuâđđ,zemin
490,Boden::N,лаввьн,yer
491,Boden::N,лаввьн,zemin
492,Boden::N,е̄ммьне,yer
493,Boden::N,е̄ммьне,zemin
494,Erde::N,jåarta,toprak
495,Erde::N,mueltie,toprak
496,Erde::N,ednam,toprak
497,Erde::N,mållde,toprak
498,Erde::N,eana,toprak
499,Erde::N,eennâm,toprak
500,Erde::N,mädd,toprak
501,Erde::N,jânnam,toprak
502,Erde::N,е̄ммьне,toprak
503,Staub::N,heblie,toz
504,Staub::N,tsumhtsie,toz
505,Staub::N,dubme,toz
506,Staub::N,dopmu,toz
507,Staub::N,kovjâ,toz
508,Staub::N,põõ´l,toz
509,Staub::N,кэ̄ббьй,toz
510,Rauch::N,soeve,duman
511,Rauch::N,suovva,duman
512,Rauch::N,suovva,duman
513,Rauch::N,suoṿâ,duman
514,Rauch::N,suõvv,duman
515,Rauch::N,сӯвв,duman
516,Funke::N,naestie,kıvılcım
517,Funke::N,tjuonam,kıvılcım
518,Funke::N,čuotnan,kıvılcım
519,Funke::N,čuođâlm,kıvılcım
520,Funke::N,iiskâr,kıvılcım
521,Funke::N,čuõzzâm,kıvılcım
522,Funke::N,чӯссэм,kıvılcım
523,Feuer::N,dålle,ateş
524,Feuer::N,dållå,ateş
525,Feuer::N,dolla,ateş
526,Feuer::N,tullâ,ateş
527,Feuer::N,toll,ateş
528,Feuer::N,то̄лл,ateş
529,Licht::N,tjoevke,ışık
530,Licht::N,tjuovgga,ışık
531,Licht::N,čuovga,ışık
532,Licht::N,čuovggas,ışık
533,Licht::N,čuoṿâ,ışık
534,Licht::N,toll,ışık
535,Licht::N,čuõvv,ışık
536,Licht::N,то̄лл,ışık
537,Schatten::N,skugkie,gölge
538,Schatten::N,soejvene,gölge
539,Schatten::N,irkes,gölge
540,Schatten::N,sieges,gölge
541,Schatten::N,itku,gölge
542,Schatten::N,suoivâ,gölge
543,Schatten::N,õõtt,gölge
544,Schatten::N,ǩeeu´niǩ,gölge
545,Schatten::N,кывьнэхь,gölge
546,Wetter::N,vïerhtse,hava
547,Wetter::N,dálkke,hava
548,Wetter::N,dálki,hava
549,Wetter::N,šoŋŋâ,hava
550,Wetter::N,šõŋŋ,hava
551,Wetter::N,шэ̄ӈӈ,hava
552,Nebel::N,såavla,pus
553,Nebel::N,mearhka,pus
554,Nebel::N,murkko,pus
555,Nebel::N,mierkká,pus
556,Nebel::N,mierká,pus
557,Nebel::N,miär'kká,pus
558,Nebel::N,oṃo,pus
559,Nebel::N,sue´lnn,pus
560,Nebel::N,цӣгк,pus
561,Nebel::N,сулльн,pus
562,Wolke::N,balve,bulut
563,Wolke::N,balvva,bulut
564,Wolke::N,balva,bulut
565,Wolke::N,polvâ,bulut
566,Wolke::N,põlvv,bulut
567,Wolke::N,пэллв,bulut
568,Regen::N,ebrie,yağmur
569,Regen::N,harvve,yağmur
570,Regen::N,arvi,yağmur
571,Regen::N,arve,yağmur
572,Regen::N,â´brr,yağmur
573,Regen::N,аббьр,yağmur
574,Schnee::N,lopme,kar
575,Schnee::N,moehtege,kar
576,Schnee::N,muohta,kar
577,Schnee::N,muohta,kar
578,Schnee::N,muotâ,kar
579,Schnee::N,muõtt,kar
580,Schnee::N,вэ̄дз,kar
581,Schnee::N,куэллт,kar
582,Eis::N,jïenge,buz
583,Eis::N,jiegŋa,buz
584,Eis::N,jiekŋa,buz
585,Eis::N,jieŋ̣â,buz
586,Eis::N,jiõŋŋ,buz
587,Eis::N,ӣӈӈ,buz
588,Frost::N,baajkoe,don
589,Frost::N,tjoasskem,don
590,Frost::N,buolaš,don
591,Frost::N,puolâš,don
592,Frost::N,puõlâš,don
593,Frost::N,мӯнь,don
594,Kälte::N,jueskie,soğukluk
595,Kälte::N,tjåetskeme,soğukluk
596,Kälte::N,tjoasskem,soğukluk
597,Kälte::N,čoaskin,soğukluk
598,Kälte::N,ko'lmâsvuotâ,soğukluk
599,Kälte::N,ijss,soğukluk
600,Kälte::N,čuä´cǩǩem,soğukluk
601,Kälte::N,tuârggnjõs,soğukluk
602,Kälte::N,кэ̄лмас,soğukluk
603,Hitze::N,baahke,sıcaklık
604,Hitze::N,báhkka,sıcaklık
605,Hitze::N,báhkka,sıcaklık
606,Hitze::N,pakkâ,sıcaklık
607,Hitze::N,kuṃe,sıcaklık
608,Hitze::N,paašt,sıcaklık
609,Hitze::N,жоарр,sıcaklık
610,Raureif::N,jyjse,kırç
611,Raureif::N,ridne,kırç
612,Raureif::N,goarre,kırç
613,Raureif::N,ritni,kırç
614,Raureif::N,suhči,kırç
615,Raureif::N,riṇe,kırç
616,Raureif::N,ай,kırç
617,Regenbogen::N,aatjan goengere,gökkuşağı
618,Regenbogen::N,aatjan joekse,gökkuşağı
619,Regenbogen::N,ádjájuoksa,gökkuşağı
620,Regenbogen::N,arvedávgi,gökkuşağı
621,Regenbogen::N,bajándávgi,gökkuşağı
622,Regenbogen::N,äijihtävgi,gökkuşağı
623,Regenbogen::N,teârmmazjohss,gökkuşağı
624,Regenbogen::N,тӣрмесью̄ккс,gökkuşağı
625,Donner::N,raejrie,gök gürlemesi
626,Donner::N,átjek,gök gürlemesi
627,Donner::N,átjárájdde,gök gürlemesi
628,Donner::N,áddjá,gök gürlemesi
629,Donner::N,baján,gök gürlemesi
630,Donner::N,juuṛâ,gök gürlemesi
631,Donner::N,tie´rmes,gök gürlemesi
632,Donner::N,тӣрмесь,gök gürlemesi
633,Donner::N,ча̄ркнэгк,gök gürlemesi
634,Strömung::N,njuvvie,akıntı
635,Strömung::N,njuvvie,cereyan
636,Strömung::N,ájggedáhpe,akıntı
637,Strömung::N,ájggedáhpe,cereyan
638,Strömung::N,rávdnji,akıntı
639,Strömung::N,rávdnji,cereyan
640,Strömung::N,virde,akıntı
641,Strömung::N,virde,cereyan
642,Strömung::N,ve´rdd,akıntı
643,Strömung::N,ve´rdd,cereyan
644,Strömung::N,выррьт,akıntı
645,Strömung::N,выррьт,cereyan
646,Tropfen::N,gåajhkohts,damla
647,Tropfen::N,gåjkudis,damla
648,Tropfen::N,goaikkanas,damla
649,Tropfen::N,čalme,damla
650,Tropfen::N,čâ´lmm,damla
651,Tropfen::N,ча̄лльм,damla
652,Schaum::N,sapte,köpük
653,Schaum::N,såpptå,köpük
654,Schaum::N,sokta,köpük
655,Schaum::N,suptâ,köpük
656,Schaum::N,soptt,köpük
657,Schaum::N,со̄ппт,köpük
658,Schmutz::N,haaskoe,çamur
659,Schmutz::N,haaskoe,pislik
660,Schmutz::N,duolvva,çamur
661,Schmutz::N,duolvva,pislik
662,Schmutz::N,duolva,çamur
663,Schmutz::N,duolva,pislik
664,Schmutz::N,durdi,çamur
665,Schmutz::N,durdi,pislik
666,Schmutz::N,stänži,çamur
667,Schmutz::N,stänži,pislik
668,Schmutz::N,sähss,çamur
669,Schmutz::N,sähss,pislik
670,Schmutz::N,са̄ккьс,çamur
671,Schmutz::N,са̄ккьс,pislik
672,Schmutz::N,не̄шшь,çamur
673,Schmutz::N,не̄шшь,pislik
674,See::N,jaevrie,göl
675,See::N,jávrre,göl
676,See::N,jávri,göl
677,See::N,jävri,göl
678,See::N,jâu´rr,göl
679,See::N,я̄ввьр,göl
680,Sumpf::N,pluevie,batak
681,Sumpf::N,áhpe,batak
682,Sumpf::N,sæmssa,batak
683,Sumpf::N,jeaggi,batak
684,Sumpf::N,jeggi,batak
685,Sumpf::N,jeä´ǧ'ǧ,batak
686,Sumpf::N,ла̄ммьп,batak
687,Moor::N,pluevie,cılgıt
688,Moor::N,jiegge,cılgıt
689,Moor::N,suotnju,cılgıt
690,Moor::N,karrii,cılgıt
691,Moor::N,kä´rev,cılgıt
692,Moor::N,veättaǩ,cılgıt
693,Moor::N,ла̄ммьп,cılgıt
694,Wiese::N,ïentje,çimen
695,Wiese::N,giedde,çimen
696,Wiese::N,gieddi,çimen
697,Wiese::N,nijtto,çimen
698,Wiese::N,пуэшенҍ,çimen
699,Wald::N,skåake,koru
700,Wald::N,skåake,orman
701,Wald::N,skåajje,koru
702,Wald::N,skåajje,orman
703,Wald::N,miehtsie,koru
704,Wald::N,miehtsie,orman
705,Wald::N,vuovdde,koru
706,Wald::N,vuovdde,orman
707,Wald::N,miehttse,koru
708,Wald::N,miehttse,orman
709,Wald::N,vuovdi,koru
710,Wald::N,vuovdi,orman
711,Wald::N,meahcci,koru
712,Wald::N,meahcci,orman
713,Wald::N,mecci,koru
714,Wald::N,mecci,orman
715,Wald::N,vyemi,koru
716,Wald::N,vyemi,orman
717,Wald::N,vue´mm,koru
718,Wald::N,vue´mm,orman
719,Wald::N,meä´c'c,koru
720,Wald::N,meä´c'c,orman
721,Wald::N,ля̄ммт,koru
722,Wald::N,ля̄ммт,orman
723,Hügel::N,deava,tepe
724,Hügel::N,dievvá,tepe
725,Hügel::N,dievvá,tepe
726,Hügel::N,čummâ,tepe
727,Hügel::N,pä´rcc,tepe
728,Hügel::N,teä´rmm,tepe
729,Hügel::N,ка̄ннҌт,tepe
730,Anhöhe::N,deava,tümsek
731,Anhöhe::N,deava,yükseklik
732,Anhöhe::N,jalladahke,tümsek
733,Anhöhe::N,jalladahke,yükseklik
734,Anhöhe::N,dievásj,tümsek
