,Concept_ID,is,pl
175,Katze::N,köttur,kotka
176,Bär::N,björn,niedźwiedż
177,Eichhörnchen::N,íkorni,wiewiórka
178,Elch::N,elgur,łóś
179,Fuchs::N,refur,lis
180,Hase::N,héri,zając
181,Maus::N,mús,mysz
182,Wolf::N,úlfur,wilk
183,Vogel::N,fugl,ptak
184,Schwarm::N,sægur,stado
185,Huhn::N,hæna,kura
186,Hahn::N,hani,kogut
187,Gans::N,gæs,gęś
188,Adler::N,örn,orzeł
189,Ente::N,önd,kaczka
190,Eule::N,uggla,sowa
191,Kranich::N,trana,żuraw
192,Krähe::N,kráka,wrona
193,Kuckuck::N,gaukur,kukułka
194,Schwan::N,svanur,łabędż
195,Fisch::N,fiskur,ryba
196,Barsch::N,aborri,okoń
197,Hecht::N,gedda,szczupak
198,Schlange[Tier]::N,naðra,wąż
199,Schlange[Tier]::N,naðra,żmija
200,Wurm::N,ormur,robak
201,Spinne::N,kónguló,pająk
202,Ameise::N,maur,mrówka
203,Laus::N,lús,wesz
204,Mücke::N,mý,komar
205,Mücke::N,mýfluga,komar
206,Fliege::N,fluga,mucha
207,Schmetterling::N,fiðrildi,motyl
208,Beere::N,ber,jagoda
209,Apfel::N,epli,jabłko
210,Pilz::N,sveppur,grzyb
211,Zwiebel::N,laukur,cebula
212,Saat::N,fræ,siew
213,Saat::N,útsæði,siew
214,Korn::N,korn,ziarno
215,Heu::N,hey,siano
216,Schale::N,hýði,łupina
217,Grube::N,gryfja,dół
218,Grube::N,gryfja,jama
219,Falle::N,gildra,pułapka
220,Schlinge::N,snara,sidła
221,Spur::N,spor,ślad
222,Asche::N,aska,popiół
223,Dreck::N,óþverri,brud
224,Eisen::N,járn,żelazo
225,Gold::N,gull,złoto
226,Silber::N,silfur,srebro
227,Kohle::N,kol,węgiel
228,Glas::N,gler,szkło
229,Lehm::N,leir,glina
230,Sand::N,sandur,piasek
231,Mensch::N,maður,człowiek
232,Mensch::N,manneskja,człowiek
233,Mann::N,maður,mężczyzna
234,Mann::N,karlmaður,mężczyzna
235,Frau::N,kona,kobieta
236,Kind::N,barn,dziecko
237,Kind::N,krakki,dziecko
238,Junge::N,drengur,chłopak
239,Junge::N,drengur,chłopiec
240,Mädchen::N,stelpa,dziewczynka
241,Familie::N,fjölskylda,rodzina
242,Großvater::N,afi,dziadek
243,Großmutter::N,amma,babka
244,Eltern::N,foreldrar,rodzice
245,Vater::N,faðir,ojciec
246,Mutter::N,móðir,matka
247,Sohn::N,sonur,syn
248,Tochter::N,dóttir,córka
249,Bruder::N,bróðir,brat
250,Schwester::N,systir,siostra
251,Onkel::N,föðurbróðir,wuj
252,Onkel::N,föðurbróðir,stryj
253,Tante::N,frænka,ciotka
254,Tante::N,móðursystir,ciotka
255,Ehemann::N,eiginmaður,mąż
256,Ehefrau::N,eiginkona,żona
257,Freude::N,gleði,radość
258,Gelächter::N,hlátur,śmiech
259,Glück::N,gæfa,szczęście
260,Kummer::N,sorg,zmartwienie
261,Wunsch::N,ósk,życzenie
262,Lust::N,fýsn,chęć
263,Lust::N,fýsn,ochota
264,Lust::N,löngun,chęć
265,Lust::N,löngun,ochota
266,Geist::N,andi,duch
267,Gedanke::N,hugsun,myśl
268,Gedächtnis::N,minni,pamięć
269,Verstand::N,vit,rozum
270,Sinn::N,merking,zmysł
271,Grund::N,ástæða,powód
272,Wahrheit::N,sannleikur,prawda
273,Gespräch::N,samtal,rozmowa
274,Märchen::N,ævintýri,bajka
275,Erzählung::N,saga,opowiadanie
276,Nachricht::N,frétt,wiadomość
277,Neuigkeit::N,frétt,nowina
278,Name::N,nafn,imię
279,Rätsel::N,gáta,zagadka
280,Rede::N,ræða,mowa
281,Sprache::N,mál,język
282,Sprache::N,tungumál,język
283,Stimme::N,rödd,głos
284,Wort::N,orð,słowo
285,Zeichen::N,tákn,znak
286,Zeichen::N,merki,znak
287,Ruf::N,kall,wołanie
288,Lärm::N,hávaði,hałas
289,Lärm::N,hávaði,zgiełk
290,Laut::N,hljóð,dźwięk
291,Ton::N,tónn,ton
292,Ton::N,tónn,dźwięk
293,Lied::N,ljóð,pieśń
294,Lied::N,ljóð,piosenka
295,Lied::N,söngur,pieśń
296,Lied::N,söngur,piosenka
297,Ruhe::N,ró,spokój
298,Ruhe::N,kyrrð,spokój
299,Leute::N,fólk,ludzie
300,Volk::N,þjóð,naród
301,Arbeit::N,vinna,praca
302,Arbeit::N,vinna,robota
303,Gast::N,gestur,gość
304,Geschenk::N,gjöf,prezent
305,Geschenk::N,gjöf,podarunek
306,Spiel::N,leikur,gra
307,Spiel::N,leikur,zabawa
308,Gesellschaft::N,selskapur,towarzystwo
309,Hilfe::N,hjálp,pomoc
310,Freund::N,vinur,przyjaciel
311,Kamerad::N,félagi,kolega
312,Angelegenheit::N,mál,sprawa
313,Angelegenheit::N,málefni,sprawa
314,Anzahl::N,tala,ilość
315,Anzahl::N,fjöldi,ilość
316,Art::N,tegund,rodzaj
317,Stück::N,biti,kawałek
318,Stück::N,stykki,kawałek
319,Teil::N,hluti,część
320,Teil::N,partur,część
321,Hälfte::N,helmingur,połowa
322,Kreis::N,hringur,krąg
323,Kreuz::N,kross,krzyż
324,Kreuz::N,krossmark,krzyż
325,Linie::N,lína,linia
326,Strich::N,strik,kreska
327,Abstand::N,millibil,odstęp
328,Entfernung::N,fjarlægð,odległość
329,Gegend::N,hérað,okolica
330,Platz::N,pláss,miejsce
331,Ort::N,staður,miejsce
332,Seite::N,hlið,bok
333,Seite::N,hlið,strona
334,Mitte::N,miðja,środek
335,Gegenstand::N,hlutur,przedmiot
336,Sache::N,mál,rzecz
337,Rand::N,brún,skraj
338,Rand::N,brún,krawędź
339,Kante::N,rönd,kant
340,Kante::N,rönd,krawędź
341,Ecke::N,horn,róg
342,Spitze::N,oddur,ostrze
343,Ende::N,endi,koniec
344,Loch::N,gat,dziura
345,Loch::N,hola,dziura
346,Winkel::N,skot,kąt
347,Winkel::N,skot,kącik
348,Winkel::N,krókur,kąt
349,Winkel::N,krókur,kącik
350,Muster::N,munstur,wzór
351,Größe::N,stærð,rozmiar
352,Größe::N,stærð,wielkość
353,Länge::N,lengd,długość
354,Höhe::N,hæð,wysokość
355,Gewicht::N,vigt,ciężar
356,Gewicht::N,þyngd,ciężar
357,Menge::N,magn,ilość
358,Haufen::N,hrúga,kupa
359,Haufen::N,haugur,kupa
360,Reihe::N,röð,rząd
361,Reihe::N,röð,szereg
362,Boot::N,bátur,łódź
363,Boot::N,bátur,łódka
364,Ruder::N,ár,wiosło
365,Schlitten::N,sleði,sanki
366,Ski::N,skíði,narta
367,Lagerfeuer::N,varðeldur,ognisko
368,Last::N,byrði,ciężar
369,Last::N,byrði,brzemię
370,Last::N,farmur,ciężar
371,Last::N,farmur,brzemię
372,Gang::N,ganga,chód
373,Schritt::N,skref,krok
374,Norden::N,norður,północ
375,Süden::N,suður,południe
376,Westen::N,vestur,zachód
377,Osten::N,austur,wschód
378,Holz::N,viður,drzewo
379,Brett::N,fjöl,deska
380,Platte::N,flötur,płyta
381,Stütze::N,stoð,podpora
382,Stange::N,stöng,drąg
383,Stange::N,stöng,żerdź
384,Stock::N,prik,kij
385,Stock::N,prik,laska
386,Stock::N,stafur,kij
387,Stock::N,stafur,laska
388,Stab::N,prik,pręt
389,Stab::N,stafur,pręt
390,Rohr::N,rör,rura
391,Rohr::N,pípa,rura
392,Haus::N,hús,dom
393,Heim::N,heimili,dom
394,Ofen::N,ofn,piec
395,Fußboden::N,gólf,podłoga
396,Tisch::N,borð,stół
397,Stuhl::N,stóll,krzesło
398,Wiege::N,vagga,kołyska
399,Bett::N,rúm,łóżko
400,Bett::N,rúm,pościel
401,Bett::N,hvíla,łóżko
