,Concept_ID,uz,bn
89,Schmutz::N,gard,ধুলা
90,See::N,ko'l,হ্রদ
91,Sumpf::N,botqoq,জলা
92,Moor::N,qir-adir,মাঠ
93,Wiese::N,o'tzor,তৃণভূমি
94,Wald::N,o'rmon,বন
95,Hügel::N,tepa,পাহাড়
96,Anhöhe::N,adir,টিলা
97,Berg::N,tog',পর্বত
98,Gipfel::N,cho'qqi,শীর্ষ
99,Höhle::N,kavak,গুহা
100,Abhang::N,to'sh,ঢাল
101,Quelle::N,buloq,উৎস
102,Bach::N,o'zan,ক্ষুদ্র নদী
103,Fluss::N,daryo,নদী
104,Ufer::N,sohil,উপকূল
105,Küste::N,qirg'oq,তীর
106,Festland::N,materik,ভূমি
107,Meer::N,dengiz,সমুদ্র
108,Bucht::N,qo'ltiq,উপসাগর
109,Insel::N,orol,দ্বীপ
110,Blume::N,gul,ফুল
111,Gras::N,sabza,ঘাস
112,Wurzel::N,tub,শিকড়
113,Wurzel::N,tomir,শিকড়
114,Baum::N,daraxt,গাছ
115,Stamm::N,o'simta,স্কন্ধ
116,Rinde::N,qobiq,বল্কল
117,Ast::N,shox,শাখা
118,Zweig::N,butoq,ডাল
119,Blatt::N,barg,পর্ণ
120,Birke::N,qayin,ভুর্জ
121,Kiefer[Baum]::N,qarag'ay,পাইন গাছ
122,Weide[Baum]::N,shum,উইলো
123,Tanne::N,archa,দেবদারূ গাছ
124,Horn::N,mugiz,শিং
125,Feder::N,par,পালক
126,Fell::N,mo'yna,রোম
127,Flügel::N,qanot,ডানা
128,Klaue::N,tirnoq,নখর
129,Kralle::N,tirnoq,নখর
130,Schwanz::N,quyruq,লেজ
131,Ei::N,tuxum,ডিম
132,Nest::N,oshyon,কুলায়
133,Bau::N,o'pqon,ডেরা
134,Tier::N,hayvon,জন্তু
135,Herde::N,gala,ঝাঁক
136,Kuh::N,inak,গোরু
137,Bulle::N,ho'kiz,বৃষ
138,Pferd::N,ot,ঘোড়া
139,Schaf::N,qo'y,ভেড়া
140,Schwein::N,cho'chqa,শূকর
141,Hund::N,it,কুকুর
142,Katze::N,mushuk,বেড়াল
143,Bär::N,ayiq,ভল্লুক
144,Eichhörnchen::N,tiyin,কাঠবিড়াল
145,Elch::N,los,হরিণবিশেষ
146,Fuchs::N,tulki,পাঁতিশিয়াল
147,Hase::N,kuyon,শশক
148,Maus::N,sichqon,নেংটি ইঁদুর
149,Wolf::N,bo'ri,নেকড়ে
150,Vogel::N,qush,পক্ষী
151,Schwarm::N,to'da,ঝাঁক
152,Huhn::N,tovuq,মোরগ
153,Hahn::N,xo'roz,কুক্কুট
154,Gans::N,g'oz,হংসী
155,Adler::N,burgut,ইগল
156,Ente::N,o'rdak,হংসী
157,Eule::N,boyo'g'li,পেচক
158,Kranich::N,turna,সারস
159,Krähe::N,qarg'a,কাক
160,Kuckuck::N,kakku,কোকিল
161,Schwan::N,oqkush,মরাল
162,Fisch::N,baliq,মাছ
163,Barsch::N,olabug'a,মৎন্যবিশেষ
164,Hecht::N,cho'rtan,বানমাছ
165,Schlange[Tier]::N,ilon,সর্প
166,Wurm::N,qurt,কীট
167,Spinne::N,o'rgimchak,মাকড়সা
168,Ameise::N,chumoli,পিপীলিকা
169,Laus::N,bit,উকুন
170,Mücke::N,chivin,মশা
171,Fliege::N,pashsha,মাছি
172,Schmetterling::N,kapalak,প্রজাপতি
173,Beere::N,meva,বেরি
174,Apfel::N,olma,আপেল
175,Pilz::N,qo'ziqorin,ছত্রক
176,Zwiebel::N,piyoz,পিয়াজ
177,Saat::N,äkin,বীজ
178,Korn::N,zarra,শস্য
179,Heu::N,xashak,খড়
180,Schale::N,po'choq,খোসা
181,Grube::N,co'ra,গর্ত
182,Falle::N,qopqon,ফাঁদ
183,Schlinge::N,sirtmoq,পাশ
184,Spur::N,iz,চিহ্ন
185,Asche::N,kul,ভস্ম
186,Dreck::N,kir,ময়লা
187,Eisen::N,temir,লোহা
188,Gold::N,tilla,স্বর্ণ
189,Silber::N,kumush,রৌপ্য
190,Kohle::N,ko'mir,অঙ্গার
191,Glas::N,oyna,কাচ
192,Lehm::N,loy,মৃত্তিকা
193,Sand::N,qum,বালি
194,Mensch::N,odam,নর
195,Mensch::N,odam,মানুষ
196,Mann::N,ärkak,মানুষ
197,Frau::N,ayol,নারী
198,Kind::N,bola,বাচ্চা
199,Kind::N,kichkintoy,বাচ্চা
200,Junge::N,bola,ছেলে
201,Mädchen::N,qiz,মেয়ে
202,Familie::N,oila,পরিবার
203,Großvater::N,buva,মাতামহ
204,Großvater::N,katta ota,মাতামহ
205,Großmutter::N,buvi,মাতামহী
206,Großmutter::N,katta oyi,মাতামহী
207,Eltern::N,ota-ona,মাতাপিতা
208,Vater::N,ota,পিতা
209,Mutter::N,ona,মাতা
210,Sohn::N,o'g'il,ছেলে
211,Tochter::N,qiz,মেয়ে
212,Bruder::N,og'a,দাদা
213,Bruder::N,uka,দাদা
214,Schwester::N,opa,বোন
215,Schwester::N,opa,দিদি
216,Schwester::N,singil,বোন
217,Schwester::N,singil,দিদি
218,Onkel::N,amaki,মামা
219,Tante::N,amma,মাসী
220,Tante::N,xola,মাসী
221,Ehemann::N,är,স্বামী
222,Ehefrau::N,rafiqa,পত্নী
223,Freude::N,ayish,উল্লাস
224,Gelächter::N,kulgi,হাসি
225,Glück::N,saodat,সুখ
226,Kummer::N,g'am,দুঃখ
227,Wunsch::N,orzu,আকাঙ্ক্ষা
228,Lust::N,rag'bat,বাসনা
229,Geist::N,ruh,আত্না
230,Gedanke::N,fikr,চিন্তা
231,Gedächtnis::N,äs,স্মরণশক্তি
232,Verstand::N,aql,মন
233,Sinn::N,ma'ni,পদার্থ
234,Grund::N,sabab,কারণ
235,Wahrheit::N,haq,সত্য
236,Gespräch::N,gap,কথাবার্তা
237,Märchen::N,ärtak,রূপকথা
238,Erzählung::N,rivoyat,গল্প
239,Nachricht::N,xabar,তথ্য
240,Neuigkeit::N,yangilik,খবরাখবর
241,Name::N,ot,নাম
242,Rätsel::N,topishmoq,ধাঁধা
243,Rede::N,nutq,বক্তৃতা
244,Sprache::N,til,ভাষা
245,Stimme::N,ovoz,স্বর
246,Wort::N,so'z,শব্দ
247,Zeichen::N,alomat,প্রতীক
248,Ruf::N,chaqiriq,ডাক
249,Lärm::N,taraq,হৈচৈ
250,Laut::N,tovush,ধ্বনি
251,Ton::N,un,স্বর
252,Lied::N,ashula,গান
253,Ruhe::N,tinchlik,শান্তি
254,Leute::N,xaloyiq,প্রজাপুঞ্জ
255,Volk::N,xalq,জাতি
256,Arbeit::N,ish,চাকরি
257,Gast::N,mehmon,অতিথি
258,Geschenk::N,hadya,উপহার
259,Spiel::N,o'yin,খেলা
260,Gesellschaft::N,jamiyat,সঙ্গিগণ
261,Hilfe::N,yordam,সাহায্য
262,Freund::N,do'st,বন্ধু
263,Kamerad::N,yo'ldosh,সঙ্গী
264,Angelegenheit::N,daxl,বিষয়
265,Anzahl::N,son,পরিমাণ
266,Art::N,tur,রকম
267,Stück::N,parcha,টুকরো
268,Teil::N,bo'lak,অংশ
269,Hälfte::N,yarim,অর্ধেক
270,Kreis::N,aylana,বৃত্ত
271,Kreuz::N,xoch,ক্রুশ
272,Linie::N,liniya,রেখা
273,Strich::N,chiziq,কষি
274,Abstand::N,oralik,ফাঁক
275,Entfernung::N,uzoqlik,ব্যবধান
276,Gegend::N,yer,ক্ষেত্র
277,Platz::N,oralig,জায়গা
278,Ort::N,joy,স্থান
279,Seite::N,yon,পার্শ্ব
280,Mitte::N,o'rta,মধ্য
281,Gegenstand::N,ashyo,জিনিস
282,Sache::N,buyum,বস্তু
283,Rand::N,chek,কানা
284,Kante::N,tig',ধার
285,Ecke::N,burchak,কোণ
286,Spitze::N,uch,ডগা
287,Ende::N,oxir,প্রান্ত
288,Loch::N,teshik,গর্ত
289,Winkel::N,go'sha,কোণ
290,Muster::N,nusha,নমুন্
291,Größe::N,kattalik,আয়তন
292,Länge::N,uzunlik,দৈর্ঘ্য
293,Höhe::N,yuksaklik,উচ্চতা
294,Gewicht::N,solmoq,ওজন
295,Menge::N,miqdor,পরিমাণ
296,Haufen::N,uyum,পুঞ্জ
297,Reihe::N,saf,শ্রেণী
298,Boot::N,qayiq,নৌকা
299,Ruder::N,äshkak,দাঁড়
300,Schlitten::N,chana,স্নেজ্-গাড়ি
301,Ski::N,chang'i,শী
302,Lagerfeuer::N,gulxan,অগ্নি
303,Last::N,yuk,বোঝা
304,Gang::N,yurish,হণ্টন
305,Schritt::N,qadam,পদ
306,Norden::N,shimol,উত্তরদিক্
307,Süden::N,janub,দক্ষিণদিক
308,Westen::N,g'arb,পশ্চিমদিক্
309,Osten::N,sharq,পূর্বদিক
310,Holz::N,yog'och,কাঠ
311,Brett::N,taxta,তক্তা
312,Platte::N,tabaqa,ফলক
313,Stütze::N,tayanchi,নাগদণ্ড
314,Stange::N,qo'noq,দণ্ড
315,Stock::N,tayoq,ছড়ি
316,Stab::N,gavron,যষ্টি
317,Rohr::N,tarnov,নল
318,Haus::N,uy,ঘর
319,Heim::N,makon,বাসা
320,Ofen::N,pechka,স্টোভ্
321,Fußboden::N,pol,গহতল
322,Tisch::N,mosa,মেজ
323,Tisch::N,mosa,টেবিল
324,Stuhl::N,o'rindiq,চেয়ার
325,Stuhl::N,o'rindiq,কেদারা
326,Wiege::N,beshik,দোলনা
327,Bett::N,yotoq,শয্যা
328,Regal::N,tokcha,তাক
329,Kiste::N,sandiq,বাক্স
330,Fenster::N,deraza,জানালা
331,Tür::N,äshik,দ্বার
332,Tor::N,darvoza,দ্বার
333,Zaun::N,panjara,বেড়া
334,Dach::N,tom,ছাদ
335,Leiter::N,narvon,মই
336,Besen::N,supurgi,গুল্মবিশেষ
337,Spaten::N,bel,কোদাল
338,Schaufel::N,kurak,বেলচা
339,Gabel::N,bilka,কাঁটা
340,Löffel::N,qoshiq,চামচ
341,Messer::N,pichoq,ছুরি
342,Nagel::N,mix,পেরেক
343,Netz::N,to'r,জাল
344,Haken::N,ilgak,কাচি
345,Griff::N,sop,হাতল
346,Griff::N,tutqich,হাতল
347,Schloss::N,qulf,তালা
348,Bild::N,rasm,ছবি
349,Bild::N,rasm,চিত্র
350,Figur::N,shakl,আকার
351,Puppe::N,ko'g'irchoq,পুতুল
352,Beutel::N,to'rva,বটুয়া
353,Bündel::N,bog'lam,আঁটি
354,Tasche::N,kissa,থলি
355,Eimer::N,chelak,বাল্তি
356,Deckel::N,qopqoq,আবরণ
357,Geschirr::N,idish,থালা-বাসন
358,Sack::N,qop,বস্তা
359,Tasse::N,piyola,কাপ
360,Topf::N,tuvak,পাত্র
361,Kessel::N,qozon,কেটলি
362,Essen::N,tomoq,আহার
363,Nahrung::N,emak,খাদ্য
364,Speise::N,taom,খাদ্য
365,Fleisch::N,go'sht,মাংস
366,Getreide::N,g'alla,শস্য
367,Brei::N,bo'tqa,মণ্ড
368,Brot::N,non,রুটি
369,Scheibe::N,disk,ফালি
370,Fett::N,moy,মেদ
371,Butter::N,yog',মাখন
372,Öl::N,moy,তৈল
373,Salz::N,tuz,নুন
374,Suppe::N,sho'rva,শুরুয়া
375,Honig::N,asal,মধু
376,Milch::N,sut,দুধ
377,Tee::N,choy,চা
378,Leder::N,charm,পাকা চামড়া
379,Wolle::N,jun,পশম
380,Stoff::N,mato,বস্ত্র
381,Nadel::N,igna,সুচ
382,Faden::N,ip,সূত্র
383,Knopf::N,tugma,বোতাম
384,Knoten::N,tugun,গিঁট
385,Farbe::N,bo'yok,রং
386,Kleidung::N,kiyim,কাপড়
387,Hemd::N,ko'ylak,শার্ট
388,Kragen::N,yoqa,গলবন্ধ
389,Ärmel::N,yeng,আস্তিন্
390,Hose::N,shim,ট্রাউজার
391,Gürtel::N,tasma,কটিবন্ধ
392,Mütze::N,shapka,টুপি
393,Schuh::N,but,জুতো
394,Stiefel::N,botinka,বুট
395,Ring::N,yuzuk,আংটি
396,Band::N,rishta,ফিতা
397,Kamm::N,taroq,চিরুনি
398,Spiegel::N,ko'zgu,আয়না
399,Riemen::N,qayish,চাবুক
400,Schnur::N,bog'ich,দড়ি
401,Leine::N,etak,শিকল
402,Decke::N,odyol,কম্বল
403,Kissen::N,yostiq,উপাধান
404,Tuch::N,gazlama,বস্ত্র
405,Handtuch::N,sochiq,তোয়ালে
406,Kraft::N,kuch,জোর
407,Stärke::N,quvvat,শক্তি
408,Gesundheit::N,sog'lik,স্বাস্থ্য
409,Krankheit::N,kasallik,অসুখ
410,Krankheit::N,kasallik,ব্যামো
411,Schmerz::N,og'riq,যন্ত্রণা
412,Wunde::N,yara,ক্ষত
413,Fieber::N,bezgak,জ্বর
414,Arznei::N,dori,ঔষধ
415,Brücke::N,ko'prik,সেতু
416,Brunnen::N,buloq,কূপ
417,Weide::N,yaylov,পশুচারণভূমি
418,Pfad::N,dorojka,পথ
419,Weg::N,yo'l,পথ
420,Straße::N,ko'cha,রাস্তা
421,Dorf::N,ovul,গ্রাম
422,Stadt::N,shahar,শহর
423,Brief::N,maktub,চিঠি
424,Buch::N,kitob,বই
425,Buchstabe::N,harf,অক্ষর
426,Zeitung::N,gazet,সংবাদপত্র
427,Leben::N,hayot,জীবন
428,Tod::N,o'lim,মৃত্যু
429,Grab::N,go'r,কবর
430,Kirche::N,cherkov,গির্জা
431,Sünde::N,gunoh,পাপ
432,Gott::N,olloh,দেবতা
433,Arbeiter::N,ishchi,শ্রমিক
434,Chef::N,rais,নেতা
435,Meister::N,usta,ব্যক্তি
436,Arzt::N,hakim,চিকিৎসক
437,Lehrer::N,muallim,অধ্যাপক
438,Geld::N,pul,মুদ্রা
439,Geld::N,pul,টাকাপয়সা
440,Geschäft::N,savdo,ব্যস্ততা
441,Laden::N,do'kon,দোকান
442,Preis::N,baho,মূল্য
443,Ware::N,mol,পণ্যদ্রব্য
444,Nutzen::N,foyda,সুবিধা
445,Reichtum::N,boylik,ধনদৌলত
446,Welt::N,olam,জগৎ
447,Land::N,o'lka,খেত
448,Staat::N,davlat,রাষ্ট্র
449,König::N,qirol,রাজা
450,Macht::N,iqtidor,প্রভাব
451,Grenze::N,chegara,সীমা
452,Krieg::N,harb,যুদ্ধ
453,Feind::N,dushman,শত্রু
454,Gewalt::N,zo'rlik,জোর
455,Kampf::N,kurash,লড়াই
456,Bogen[Waffe]::N,yoy,ধনুক
457,Pfeil::N,o'q,বাণ
458,Gewehr::N,vintovka,বন্দুক
459,Fehler::N,xato,ভুল
460,Lüge::N,yolg'on,মিথ্যা
461,Schaden::N,ziyon,ক্ষতি
462,Unglück::N,balo,দুর্ভাগ্য
463,Schuld::N,ayb,অপরাধ
464,Alter::N,yosh,আয়ু
465,Schluss::N,tamom,শেষ
466,Zeit::N,vaqt,সময়
467,Tag::N,kun,দিন
468,Morgen::N,saboh,সকাল
469,Mittag::N,kun tushlik,মধ্যাহু
470,Abend::N,oqshom,সন্ধ্যা
471,Nacht::N,tun,রাত্রি
472,Woche::N,hafta,সপ্তাহ
473,Monat::N,oy,মাস
474,Jahr::N,yil,সৌরবর্ষ
475,Frühling::N,bahor,বসন্তকাল
476,Sommer::N,yoz,গ্রীষ্মকাল
477,Herbst::N,kuz,শরংঋতু
478,Herbst::N,xazon,শরংঋতু
479,Winter::N,qish,শীতকাল
480,Januar::N,yanvar',জানুয়ারী
481,Februar::N,fevral',ফেব্রুয়ারী
482,März::N,mart,মার্চ
483,April::N,aprel',এপ্রিল
484,Mai::N,may,মে
485,Juni::N,iyun',জুন
486,Juli::N,iyul',জুলাই
487,August::N,avgust,অগাস্ট
488,September::N,sentyabr',সেপ্টেম্বর
489,Oktober::N,oktyabr',অক্টোবর
490,November::N,noyabr',নভেম্বর
491,Dezember::N,dekabr',ডিসেম্বর
492,Montag::N,dushanba,সোমবার
493,Dienstag::N,seshanba,মঙ্গলবার
494,Mittwoch::N,chorshanba,বুধবার
495,Donnerstag::N,payshanba,বৃহম্পতিবার
496,Freitag::N,juma,শুক্রবার
497,Samstag::N,shanba,শনিবার
498,Sonntag::N,yakshanba,রবিবার
499,groß::A,buyuk,বৃহৎ
500,klein::A,kichik,ছোট
501,lang::A,uzun,দীর্ঘ
502,kurz::A,qisqa,খর্ব
503,kurz::A,qisqa,হ্রস্ব
504,breit::A,keng,চওড়া
505,schmal::A,änsiz,সরু
506,dicht::A,quyuq,ঘন
507,dick[Gegenstand]::A,qalin,পুরু
508,dünn::A,ingichka,কৃশ
509,fein::A,mayin,সূক্ষ্ম
510,fest::A,qattiq,দৃঢ়
511,flach::A,yalpoq,সমতল
512,glatt::A,tekis,মসৃণ
513,hart::A,qattiq,শক্ত
514,weich::A,yumshoq,নরম
515,rund::A,yumaloq,গোলাকার
516,spitz::A,uchli,তীক্ষ্ন
517,scharf::A,keskir,শাণিত
518,stumpf::A,to'mtoq,ভোঁতা
519,schwer::A,salmoqli,ভারী
520,schön::A,go'zal,সুন্দর
521,heiß::A,qiziq,গরম
522,warm::A,issiq,ঈষদুষ্ণ
523,kalt::A,sovuq,ঠাণ্ডা
524,kühl::A,salqin,শীতল
525,frisch::A,toza,তাজা
526,feucht::A,namli,ভিজা
527,nass::A,nam,ভিজা
528,trocken::A,quruq,শুষ্ক
529,voll::A,to'la,পূর্ণ
530,leer::A,puch,খালি
531,offen::A,ochiq,খোলা
532,geschlossen::A,berk,বন্ধ
533,sauber::A,ozoda,নির্মল
534,schmutzig::A,kir,নোংরা
535,roh::A,xom,কাঁচা
536,reif::A,pishiq,পাকা
537,lecker::A,shirin,সুস্বাদ
538,süß::A,shirin,মিষ্ট
539,bitter::A,achchiq,তিক্ত
540,sauer::A,achchiq,টক
541,hell::A,yorug',উজ্জ্বল
542,dunkel::A,qorong'i,অন্ধকারময়
543,schwarz::A,qora,কালো
544,weiß::A,oq,সাদা
545,rot::A,qizil,লাল
546,gelb::A,sariq,হলদে
547,blau::A,zangori,নীল
548,grün::A,yashil,সবুজ
549,grau::A,bo'z,ছাই-রঙা
550,bunt::A,ola,রঙিন
551,billig::A,arzon,সস্তা
552,teuer::A,qimmat,আক্রা
553,wertvoll::A,qimmat,মহার্ঘ
554,blind::A,ko'r,কানা
555,taub::A,garang,বধির
556,kräftig::A,kuchli,বিশাল
557,stark::A,quvvatli,শক্তিশালী
558,schwach::A,kuchsiz,দুর্বল
559,fett::A,semiz,মোটা
560,schlank::A,ingichka,কৃশ
561,hübsch::A,ko'rkam,সুন্দর
562,böse::A,yovuz,খারাপ
563,dumm::A,aqlsiz,মূর্খ
564,faul::A,ärinchak,শ্রমবিমুখ
565,fleißig::A,ishchan,পরিশ্রমী
566,geizig::A,qurumsoq,ব্যয়কুণ্ঠ
567,klug::A,oqil,দক্ষ
568,geschickt::A,äpchil,পটু
569,lieb::A,aziz,প্রেয়
570,lustig::A,chaqchaq,প্রফুল্ল
571,sanft::A,asta,নম্র
572,hungrig::A,och,ক্ষুধার্ত
573,krank::A,kasal,অসুস্থ
574,nackt::A,yalang,উলঙ্গ
575,traurig::A,xafa,দুঃখিত
576,lebendig::A,hayotiy,জীবিত
577,gut::A,soz,ভালো
578,schlecht::A,yomon,মন্দ
579,richtig::A,rost,ঠিক
580,schlimm::A,yovuz,কদর্য
581,wahr::A,haqiqiy,বাস্তব
582,alt::A,äski,পুরাতন
583,neu::A,yangi,নব
584,neu::A,yangi,নূতন
585,ehemalig::A,sobiq,পূর্বকালীন
586,alt[Lebewesen]::A,qari,বৃদ্ধ
587,jung::A,navqiron,তরুণ
588,arm::A,abgor,ক্ষুদ্র
589,reich::A,boy,ধনবান্
590,bekannt::A,ma'lum,সুপরিচিত
591,berühmt::A,mashhur,বিখ্যাত
592,fremd::A,yot,বিদেশি
593,verschieden::A,turli,বিসদৃশ
594,nah::A,yaqindagi,নিকটবতী
595,fern::A,uzoq,দুরবতী
596,linker::A,so'l,বাম
597,rechter::A,o'ng,ডান
598,rechter::A,o'ng,ডাইন
599,anderer::A,boshqa,অন্যতর
600,erster::A,birinchi,প্রথম
601,zweiter::A,ikkinchi,দ্বিতীয়
602,dritter::A,uchinchi,তৃতীয়
603,letzter::A,oxirgi,সর্বশেষ
604,allein::ADV,o'zicha,একক
605,auf einmal::ADV,varakay,জলদি
606,zusammen::ADV,barobar,একসঙ্গে
607,lange::ADV,uzoq,লম্বা
608,plötzlich::ADV,qo'qqisdan,হঠাৎ
609,sofort::ADV,darrov,মুহ্ণর্তমধ্যে
610,später::ADV,so'ngra,পশ্চাতে
611,jetzt::ADV,hozirgina,এখন
612,heute::ADV,bugun,আজ
613,morgen::ADV,ärta,আগামিকাল
614,bald::ADV,toz,অস্পকালমধ্যে
615,dann::ADV,keyin,তখন
616,gestern::ADV,kecha,গতকাল
617,einst::ADV,avvallari,একবার মাত্র
618,damals::ADV,ugal,তখন
619,danach::ADV,so'ngra,পরে
620,vorher::ADV,avval,আগে
621,zuerst::ADV,avval,আগে
622,einmal::ADV,bir marta,একবার
623,manchmal::ADV,onda-sonda,কখনও কখনও
624,oft::ADV,tez-tez,ঘনঘন
625,immer::ADV,har vaqt,সর্বদা
626,niemals::ADV,hargiz,কখলও নহে
627,hier::ADV,shu erda,এখানে
628,hierhin::ADV,beri,এখানে
629,von hier::ADV,shu erdan,ত্রই স্তান হইতে
630,dort::ADV,ana,ওখানে
631,dorthin::ADV,u yerga,ওখানে
632,geradeaus::ADV,to'g'ri,অগ্রগামী
633,vorwärts::ADV,ilgari,সন্মুখিকে
634,rückwärts::ADV,qoloq,খিরিয়া
635,zurück::ADV,orqada,পিঠ
636,unten::ADV,pastda,নীচে
637,hinab::ADV,tubanga,নিম্নগামী
638,oben::ADV,ustida,উপরে
639,hinauf::ADV,yuqorida,উচ্চতর অংশে
640,überall::ADV,har erda,সর্বত্র
641,nicht::ADV,ämas,না
642,ein wenig::ADV,biroz,অল্প
643,kaum::ADV,arang,কষ্টসহকাবে
644,sehr::ADV,ancha,খুব
645,so::ADV,shunday,তত
646,noch::ADV,hali,এখন পর্যস্ত
647,nur::ADV,yolg'iz,শুধু
648,schon::ADV,endi,ইতঃপুর্বে
649,wieder::ADV,yana,আবার
650,vergebens::ADV,bekorga,বিফলে
651,vor::PRP,burun,সম্মুখে
652,hinter::PRP,ketida,পশ্চাতে
653,unter::PRP,ostida,নীচে
654,durch::PRP,bo'ylab,দ্বারা
655,neben::PRP,yonida,কাছে
656,zwischen::PRP,orada,মধ্যে
657,wegen::PRP,sababli,জন্য
658,dies::PRN,o'sha,এটা
659,das::PRN,narigi,ওটা
660,alles::PRN,har nima,সব
661,ich::PRN,men,আমি
662,du::PRN,sen,তুমি
663,er::PRN,u,উনি
664,wir::PRN,biz,আমরা
665,ihr::PRN,siz,তোমরা
666,sie::PRN,ular,তারা
667,was::FPRN,nima,কি
668,wer::FPRN,kim,কে
669,wo::FADV,qaerda,কোথায়
670,wohin::FADV,qayerga,কোথায়
671,wie::FADV,qanday,কেমন
672,warum::FADV,nega,কেন
673,wieviel::FNUM,qancha,কত
674,eins::NUM,bir,অক
675,zwei::NUM,ikki,দুই
676,drei::NUM,uch,তিন
677,vier::NUM,to'rt,চার
678,fünf::NUM,besh,পাঁচ
679,sechs::NUM,olti,ছয়
680,sieben::NUM,etti,সাত
681,acht::NUM,sakkiz,আট
682,neun::NUM,to'qqiz,নয়
683,zehn::NUM,o'n,দশ
684,elf::NUM,o'n bir,এগারো
685,zwölf::NUM,o'n ikki,দ্বাদশ
686,zwanzig::NUM,yigirma,বিশ
687,dreißig::NUM,o'ttiz,ত্রিশ
688,vierzig::NUM,qirq,চল্লিশ
689,fünfzig::NUM,ällik,পঞ্চাশ
690,sechzig::NUM,oltmish,ষাট
691,siebzig::NUM,etmish,সত্তর
692,achtzig::NUM,sakson,আশি
693,neunzig::NUM,to'qson,নব্বুই
694,hundert::NUM,yuz,শত
695,tausend::NUM,ming,হাজার
696,und::CNJ,va,আর
697,und::CNJ,va,এবং
698,oder::CNJ,yo,বা
699,stehen::V,turmoq,দাঁড়ানো
700,sitzen::V,o'tirmoq,বসা
701,liegen::V,yotmoq,শোয়া
702,hängen::V,osilmoq,ঝোলা
703,werden::V,bo'lmoq,হইয়া উঠা
704,passieren::V,bo'lib o'tmoq,ঘটা
