,Concept_ID,et,uz
314,Größe::N,suurus,kattalik
315,Länge::N,pikkus,uzunlik
316,Höhe::N,kõrgus,yuksaklik
317,Gewicht::N,kaal,solmoq
318,Gewicht::N,raskus,solmoq
319,Menge::N,arv,miqdor
320,Menge::N,hulk,miqdor
321,Haufen::N,hunnik,uyum
322,Reihe::N,rivi,saf
323,Boot::N,paat,qayiq
324,Ruder::N,aer,äshkak
325,Schlitten::N,saan,chana
326,Ski::N,suusk,chang'i
327,Lagerfeuer::N,lõke,gulxan
328,Last::N,koorem,yuk
329,Gang::N,käik,yurish
330,Schritt::N,samm,qadam
331,Norden::N,põhi,shimol
332,Süden::N,lõuna,janub
333,Westen::N,lääs,g'arb
334,Osten::N,ida,sharq
335,Holz::N,puu,yog'och
336,Brett::N,saelaud,taxta
337,Platte::N,plaat,tabaqa
338,Stütze::N,tugi,tayanchi
339,Stange::N,latt,qo'noq
340,Stange::N,teivas,qo'noq
341,Stock::N,kepp,tayoq
342,Stab::N,varras,gavron
343,Rohr::N,toru,tarnov
344,Haus::N,maja,uy
345,Heim::N,kodu,makon
346,Ofen::N,ahi,pechka
347,Fußboden::N,põrand,pol
348,Tisch::N,laud,mosa
349,Stuhl::N,tool,o'rindiq
350,Wiege::N,häll,beshik
351,Wiege::N,kätki,beshik
352,Bett::N,voodi,yotoq
353,Regal::N,riiul,tokcha
354,Kiste::N,kast,sandiq
355,Fenster::N,aken,deraza
356,Tür::N,uks,äshik
357,Tor::N,värav,darvoza
358,Zaun::N,aed,panjara
359,Zaun::N,tara,panjara
360,Dach::N,katus,tom
361,Leiter::N,redel,narvon
362,Besen::N,luud,supurgi
363,Spaten::N,labidas,bel
364,Schaufel::N,kühvel,kurak
365,Gabel::N,kahvel,bilka
366,Löffel::N,lusikas,qoshiq
367,Messer::N,nuga,pichoq
368,Nagel::N,nael,mix
369,Netz::N,võrk,to'r
370,Haken::N,haak,ilgak
371,Haken::N,konks,ilgak
372,Griff::N,sang,sop
373,Griff::N,sang,tutqich
374,Griff::N,käepide,sop
375,Griff::N,käepide,tutqich
376,Schloss::N,lukk,qulf
377,Bild::N,pilt,rasm
378,Figur::N,kuju,shakl
379,Figur::N,kujund,shakl
380,Puppe::N,nukk,ko'g'irchoq
381,Beutel::N,paun,to'rva
382,Bündel::N,kimp,bog'lam
383,Tasche::N,kott,kissa
384,Eimer::N,pang,chelak
385,Eimer::N,ämber,chelak
386,Deckel::N,kaas,qopqoq
387,Geschirr::N,nõud,idish
388,Sack::N,kott,qop
389,Tasse::N,tass,piyola
390,Topf::N,pada,tuvak
391,Kessel::N,pada,qozon
392,Essen::N,söök,tomoq
393,Nahrung::N,toit,emak
394,Speise::N,roog,taom
395,Fleisch::N,liha,go'sht
396,Getreide::N,teravili,g'alla
397,Brei::N,puder,bo'tqa
398,Brot::N,sai,non
399,Brot::N,leib,non
400,Scheibe::N,viil,disk
401,Scheibe::N,viilukas,disk
402,Fett::N,rasv,moy
403,Butter::N,või,yog'
404,Öl::N,õli,moy
405,Salz::N,sool,tuz
406,Suppe::N,supp,sho'rva
407,Honig::N,mesi,asal
408,Milch::N,piim,sut
409,Tee::N,tee,choy
410,Leder::N,nahk,charm
411,Wolle::N,vill,jun
412,Stoff::N,kangas,mato
413,Nadel::N,nõel,igna
414,Faden::N,niit,ip
415,Knopf::N,nööp,tugma
416,Knoten::N,sõlm,tugun
417,Farbe::N,värv,bo'yok
418,Kleidung::N,riided,kiyim
419,Kleidung::N,riietus,kiyim
420,Hemd::N,särk,ko'ylak
421,Kragen::N,krae,yoqa
422,Ärmel::N,varrukas,yeng
423,Hose::N,püksid,shim
424,Gürtel::N,vöö,tasma
425,Mütze::N,müts,shapka
426,Schuh::N,king,but
427,Stiefel::N,saabas,botinka
428,Ring::N,sõrmus,yuzuk
429,Band::N,lint,rishta
430,Kamm::N,kamm,taroq
431,Spiegel::N,peegel,ko'zgu
432,Riemen::N,rihm,qayish
433,Schnur::N,nöör,bog'ich
434,Leine::N,jalutusrihm,etak
435,Decke::N,tekk,odyol
436,Kissen::N,padi,yostiq
437,Tuch::N,kalev,gazlama
438,Handtuch::N,käterätik,sochiq
439,Kraft::N,jõud,kuch
440,Stärke::N,tugevus,quvvat
441,Gesundheit::N,tervis,sog'lik
442,Krankheit::N,haigus,kasallik
443,Schmerz::N,valu,og'riq
444,Wunde::N,haav,yara
445,Fieber::N,palavik,bezgak
446,Arznei::N,ravim,dori
447,Brücke::N,sild,ko'prik
448,Brunnen::N,kaev,buloq
449,Weide::N,karjamaa,yaylov
450,Pfad::N,rada,dorojka
451,Weg::N,tee,yo'l
452,Straße::N,tee,ko'cha
453,Dorf::N,küla,ovul
454,Stadt::N,linn,shahar
455,Brief::N,kiri,maktub
456,Buch::N,raamat,kitob
457,Buchstabe::N,täht,harf
458,Zeitung::N,ajaleht,gazet
459,Leben::N,elu,hayot
460,Tod::N,surm,o'lim
461,Grab::N,haud,go'r
462,Kirche::N,kirik,cherkov
463,Sünde::N,patt,gunoh
464,Gott::N,jumal,olloh
465,Arbeiter::N,tööline,ishchi
466,Chef::N,ülemus,rais
467,Chef::N,juhataja,rais
468,Meister::N,meister,usta
469,Arzt::N,arst,hakim
470,Lehrer::N,õpetaja,muallim
471,Geld::N,raha,pul
472,Geschäft::N,äri,savdo
473,Laden::N,pood,do'kon
474,Laden::N,kauplus,do'kon
475,Preis::N,hind,baho
476,Ware::N,kaup,mol
477,Nutzen::N,tulu,foyda
478,Nutzen::N,kasulikkus,foyda
479,Reichtum::N,rikkus,boylik
480,Welt::N,maailm,olam
481,Land::N,maa,o'lka
482,Staat::N,riik,davlat
483,König::N,kuningas,qirol
484,Macht::N,võim,iqtidor
485,Grenze::N,piir,chegara
486,Krieg::N,sõda,harb
487,Feind::N,vaenlane,dushman
488,Gewalt::N,väevõim,zo'rlik
489,Kampf::N,võitlus,kurash
490,Bogen[Waffe]::N,vibu,yoy
491,Pfeil::N,nool,o'q
492,Gewehr::N,püss,vintovka
493,Fehler::N,viga,xato
494,Lüge::N,vale,yolg'on
495,Schaden::N,kahju,ziyon
496,Unglück::N,häda,balo
497,Unglück::N,õnnetus,balo
498,Schuld::N,süü,ayb
499,Alter::N,iga,yosh
500,Schluss::N,lõpp,tamom
501,Zeit::N,aeg,vaqt
502,Tag::N,päev,kun
503,Morgen::N,hommik,saboh
504,Mittag::N,lõuna,kun tushlik
505,Mittag::N,keskpäev,kun tushlik
506,Abend::N,õhtu,oqshom
507,Nacht::N,öö,tun
508,Woche::N,nädal,hafta
509,Monat::N,kuu,oy
510,Jahr::N,aasta,yil
511,Frühling::N,kevad,bahor
512,Sommer::N,suvi,yoz
513,Herbst::N,sügis,kuz
514,Herbst::N,sügis,xazon
515,Winter::N,talv,qish
516,Januar::N,jaanuar,yanvar'
517,Februar::N,veebruar,fevral'
518,März::N,märts,mart
519,April::N,aprill,aprel'
520,Mai::N,mai,may
521,Juni::N,juuni,iyun'
522,Juli::N,juuli,iyul'
523,August::N,august,avgust
524,September::N,september,sentyabr'
525,Oktober::N,oktoober,oktyabr'
526,November::N,november,noyabr'
527,Dezember::N,detsember,dekabr'
528,Montag::N,esmaspäev,dushanba
529,Dienstag::N,teisipäev,seshanba
530,Mittwoch::N,kesknädal,chorshanba
531,Donnerstag::N,neljapäev,payshanba
532,Freitag::N,reede,juma
533,Samstag::N,laupäev,shanba
534,Sonntag::N,pühapäev,yakshanba
535,groß::A,suur,buyuk
536,klein::A,väike,kichik
537,klein::A,pisike,kichik
538,lang::A,pikk,uzun
539,kurz::A,lühike,qisqa
540,breit::A,lai,keng
541,schmal::A,kitsas,änsiz
542,dicht::A,tihe,quyuq
543,dick[Gegenstand]::A,jäme,qalin
544,dünn::A,õhuke,ingichka
545,dünn::A,peenike,ingichka
546,fein::A,peen,mayin
547,fein::A,õhuke,mayin
548,fest::A,püsiv,qattiq
549,fest::A,kindel,qattiq
550,flach::A,lame,yalpoq
551,flach::A,tasane,yalpoq
552,glatt::A,sile,tekis
553,hart::A,kõva,qattiq
554,weich::A,pehme,yumshoq
555,rund::A,ümar,yumaloq
556,spitz::A,torkav,uchli
557,scharf::A,terav,keskir
558,stumpf::A,nüri,to'mtoq
559,schwer::A,raske,salmoqli
560,schön::A,kena,go'zal
561,heiß::A,kuum,qiziq
562,heiß::A,palav,qiziq
563,warm::A,soe,issiq
564,kalt::A,külm,sovuq
565,kühl::A,jahe,salqin
566,frisch::A,värske,toza
567,feucht::A,niiske,namli
568,nass::A,märg,nam
569,trocken::A,kuiv,quruq
570,voll::A,täis,to'la
571,leer::A,tühi,puch
572,offen::A,avatud,ochiq
573,offen::A,lahtine,ochiq
574,geschlossen::A,suletud,berk
575,sauber::A,puhas,ozoda
576,schmutzig::A,räpane,kir
577,schmutzig::A,määrdunud,kir
578,roh::A,toores,xom
579,reif::A,küps,pishiq
580,lecker::A,hõrk,shirin
581,lecker::A,maitsev,shirin
582,süß::A,magus,shirin
583,bitter::A,mõru,achchiq
584,sauer::A,hapu,achchiq
585,hell::A,hele,yorug'
586,dunkel::A,pime,qorong'i
587,schwarz::A,must,qora
588,weiß::A,valge,oq
589,rot::A,punane,qizil
590,gelb::A,kollane,sariq
591,blau::A,sinine,zangori
592,grün::A,roheline,yashil
593,grau::A,hall,bo'z
594,bunt::A,kirju,ola
595,bunt::A,värviline,ola
596,billig::A,odav,arzon
597,teuer::A,kallis,qimmat
598,wertvoll::A,väärtuslik,qimmat
599,blind::A,pime,ko'r
600,taub::A,kurt,garang
601,kräftig::A,jõuline,kuchli
602,stark::A,tugev,quvvatli
603,schwach::A,nõrk,kuchsiz
604,schwach::A,jõuetu,kuchsiz
605,fett::A,rasvane,semiz
606,schlank::A,sale,ingichka
607,hübsch::A,kena,ko'rkam
608,böse::A,tige,yovuz
609,dumm::A,juhm,aqlsiz
610,dumm::A,rumal,aqlsiz
611,faul::A,laisk,ärinchak
612,fleißig::A,virk,ishchan
613,fleißig::A,hoolas,ishchan
614,geizig::A,ihne,qurumsoq
615,klug::A,tark,oqil
616,klug::A,arukas,oqil
617,klug::A,mõistlik,oqil
618,geschickt::A,osav,äpchil
619,lieb::A,armas,aziz
620,lustig::A,lõbus,chaqchaq
621,sanft::A,õrn,asta
622,hungrig::A,näljane,och
623,krank::A,haige,kasal
624,nackt::A,alasti,yalang
625,traurig::A,kurb,xafa
626,lebendig::A,elus,hayotiy
627,gut::A,hea,soz
628,schlecht::A,halb,yomon
629,richtig::A,õige,rost
630,schlimm::A,paha,yovuz
631,wahr::A,tõene,haqiqiy
632,alt::A,vana,äski
633,neu::A,uus,yangi
634,ehemalig::A,endine,sobiq
635,alt[Lebewesen]::A,vana,qari
636,jung::A,noor,navqiron
637,arm::A,vaene,abgor
638,reich::A,rikas,boy
639,bekannt::A,teada,ma'lum
640,bekannt::A,tuttav,ma'lum
641,berühmt::A,tuntud,mashhur
642,fremd::A,võõras,yot
643,verschieden::A,erinev,turli
644,nah::A,lähedane,yaqindagi
645,fern::A,kauge,uzoq
646,linker::A,vasak,so'l
647,rechter::A,parem,o'ng
648,anderer::A,muu,boshqa
649,anderer::A,teine,boshqa
650,erster::A,esimene,birinchi
651,zweiter::A,teine,ikkinchi
652,dritter::A,kolmas,uchinchi
653,letzter::A,viimane,oxirgi
654,allein::ADV,üksi,o'zicha
655,auf einmal::ADV,korraga,varakay
656,auf einmal::ADV,ühekorraga,varakay
657,zusammen::ADV,koos,barobar
658,zusammen::ADV,üheskoos,barobar
659,lange::ADV,kaua,uzoq
660,plötzlich::ADV,äkki,qo'qqisdan
661,plötzlich::ADV,järsku,qo'qqisdan
662,sofort::ADV,kohe,darrov
663,später::ADV,hiljem,so'ngra
664,jetzt::ADV,nüüd,hozirgina
665,heute::ADV,täna,bugun
666,morgen::ADV,homme,ärta
667,bald::ADV,pea,toz
668,bald::ADV,varsti,toz
669,dann::ADV,siis,keyin
670,gestern::ADV,eile,kecha
671,einst::ADV,vanasti,avvallari
672,damals::ADV,tookord,ugal
673,danach::ADV,seejärel,so'ngra
674,vorher::ADV,enne,avval
675,zuerst::ADV,enne,avval
676,zuerst::ADV,esmalt,avval
677,einmal::ADV,kord,bir marta
678,einmal::ADV,üks kord,bir marta
679,manchmal::ADV,mõnikord,onda-sonda
680,oft::ADV,tihti,tez-tez
681,oft::ADV,sageli,tez-tez
682,immer::ADV,ikka,har vaqt
683,immer::ADV,alati,har vaqt
684,niemals::ADV,mitte kunagi,hargiz
685,hier::ADV,siin,shu erda
686,hierhin::ADV,siia,beri
687,von hier::ADV,siit,shu erdan
688,dort::ADV,seal,ana
689,dorthin::ADV,sinna,u yerga
690,geradeaus::ADV,otse edasi,to'g'ri
691,vorwärts::ADV,edasi,ilgari
692,rückwärts::ADV,tagurpidi,qoloq
693,zurück::ADV,tagasi,orqada
694,unten::ADV,all,pastda
695,unten::ADV,allpool,pastda
696,hinab::ADV,alla,tubanga
697,oben::ADV,ülal,ustida
698,hinauf::ADV,üles,yuqorida
699,überall::ADV,kõikjal,har erda
700,nicht::ADV,ei,ämas
701,nicht::ADV,mitte,ämas
702,ein wenig::ADV,veidi,biroz
703,ein wenig::ADV,natuke,biroz
704,kaum::ADV,vaevalt,arang
705,sehr::ADV,väga,ancha
706,so::ADV,nii,shunday
707,noch::ADV,veel,hali
708,nur::ADV,ainult,yolg'iz
709,schon::ADV,juba,endi
710,wieder::ADV,jälle,yana
711,vergebens::ADV,asjata,bekorga
712,vor::PRP,ees,burun
713,hinter::PRP,taha,ketida
714,unter::PRP,all,ostida
715,durch::PRP,läbi,bo'ylab
716,durch::PRP,kaudu,bo'ylab
717,neben::PRP,kõrval,yonida
718,zwischen::PRP,vahel,orada
719,wegen::PRP,tõttu,sababli
720,wegen::PRP,pärast,sababli
721,dies::PRN,see,o'sha
722,das::PRN,see,narigi
723,alles::PRN,kõik,har nima
724,ich::PRN,mina,men
725,du::PRN,sina,sen
726,er::PRN,tema,u
727,wir::PRN,me,biz
728,ihr::PRN,te,siz
729,sie::PRN,nad,ular
730,was::FPRN,mis,nima
731,wer::FPRN,kes,kim
732,wo::FADV,kus,qaerda
733,wohin::FADV,kuhu,qayerga
734,wie::FADV,kuidas,qanday
735,warum::FADV,miks,nega
736,wieviel::FNUM,mitu,qancha
737,wieviel::FNUM,kui palju,qancha
738,eins::NUM,üks,bir
739,zwei::NUM,kaks,ikki
740,drei::NUM,kolm,uch
741,vier::NUM,neli,to'rt
742,fünf::NUM,viis,besh
743,sechs::NUM,kuus,olti
744,sieben::NUM,seitse,etti
745,acht::NUM,kaheksa,sakkiz
746,neun::NUM,üheksa,to'qqiz
747,zehn::NUM,kümme,o'n
748,elf::NUM,üksteist,o'n bir
749,zwölf::NUM,kaksteist,o'n ikki
750,zwanzig::NUM,kakskümmend,yigirma
751,dreißig::NUM,kolmkümmend,o'ttiz
752,vierzig::NUM,nelikümmend,qirq
753,fünfzig::NUM,viiskümmend,ällik
754,sechzig::NUM,kuuskümmend,oltmish
755,siebzig::NUM,seitsekümmend,etmish
756,achtzig::NUM,kaheksakümmend,sakson
757,neunzig::NUM,üheksakümmend,to'qson
758,hundert::NUM,sada,yuz
759,tausend::NUM,tuhat,ming
760,und::CNJ,ja,va
761,oder::CNJ,või,yo
762,stehen::V,seisma,turmoq
763,sitzen::V,istuma,o'tirmoq
764,liegen::V,lamama,yotmoq
765,hängen::V,rippuma,osilmoq
766,werden::V,saama,bo'lmoq
767,werden::V,hakkama,bo'lmoq
768,passieren::V,juhtuma,bo'lib o'tmoq
769,beginnen::V,algama,boshlanmoq
770,beginnen::V,hakkama,boshlanmoq
771,enden::V,lõppema,bitmoq
772,wechseln::V,vahelduma,o'zgarmoq
773,aufgehen[Sonne]::V,tõusma,chiqmoq
774,untergehen[Sonne]::V,loojuma,botmoq
775,scheinen[Sonne]::V,paistma,yaraqlamoq
776,donnern::V,kõmisema,gulduramoq
777,wehen::V,puhuma,elpimoq
778,strömen::V,voolama,oqmoq
779,fließen::V,voolama,oqmoq
780,sich drehen::V,pöörduma,aylanmoq
781,schwanken::V,kõikuma,qoqilmoq
782,schwingen::V,võnkuma,lopillamoq
783,fallen::V,langema,tushmoq
784,brennen::V,põlema,yonmoq
785,rauchen::V,suitsema,tutamoq
786,regnen::V,sadama,yomg'ir yog'moq
787,gefrieren::V,kinni külmuma,muzlamoq
788,tauen::V,sulama,ärimoq
789,schmelzen::V,sulama,ärimoq
790,trocknen::V,kuivama,qurimoq
791,sieden::V,keema,qaynamoq
792,faulen::V,mädanema,chirimoq
793,verfaulen::V,mädanema,chirimoq
794,reißen::V,rebenema,qayt qilmoq
795,versinken::V,uppuma,g'arq bo'lmoq
796,vergehen::V,mööduma,o'tmoq
797,erscheinen::V,ilmuma,zuhur ätmoq
798,verschwinden::V,kaduma,yo'qolmoq
799,sinken::V,vajuma,pasaymoq
800,sinken::V,langema,pasaymoq
801,abnehmen::V,vähenema,kamaymoq
802,abnehmen::V,kahenema,kamaymoq
803,zunehmen::V,kasvama,urchimoq
804,steigen::V,tõusma,oshmoq
